year,migback,quintil_oecd,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Direct migration background,3rd Quintile,Very often,0.05982,32,468,0.03831,0.08133
2013,Direct migration background,3rd Quintile,Often,0.10007,60,468,0.07285,0.12729
2013,Direct migration background,3rd Quintile,Sometimes,0.07261,53,468,0.04907,0.09614
2013,Direct migration background,3rd Quintile,Seldom,0.17099,75,468,0.13684,0.20514
2013,Direct migration background,3rd Quintile,Never,0.59651,248,468,0.55202,0.64101
2013,Direct migration background,4th Quintile,Sometimes,0.10526,40,276,0.06899,0.14154
2013,Direct migration background,4th Quintile,Seldom,0.15706,58,276,0.11405,0.20007
2013,Direct migration background,4th Quintile,Never,0.59860,178,276,0.54066,0.65654
2013,Direct migration background,5th Quintile,Often,0.13558,40,304,0.09703,0.17412
2013,Direct migration background,5th Quintile,Sometimes,0.12094,45,304,0.08423,0.15766
2013,Direct migration background,5th Quintile,Seldom,0.15703,55,304,0.11606,0.19800
2013,Direct migration background,5th Quintile,Never,0.50645,164,304,0.45016,0.56275
2013,Indirect migration background,1st Quintile,Often,0.07493,31,250,0.04223,0.10763
2013,Indirect migration background,1st Quintile,Seldom,0.12601,37,250,0.08479,0.16723
2013,Indirect migration background,1st Quintile,Never,0.63122,182,250,0.57129,0.69115
2013,Indirect migration background,2nd Quintile,Seldom,0.24509,47,175,0.18118,0.30900
2013,Indirect migration background,2nd Quintile,Never,0.49190,128,175,0.41761,0.56618
2013,Indirect migration background,3rd Quintile,Never,0.65634,102,102,0.56371,0.74896
2013,Indirect migration background,4th Quintile,Seldom,0.21657,50,114,0.14062,0.29251
2013,Indirect migration background,4th Quintile,Never,0.46188,64,114,0.36995,0.55380
2013,Indirect migration background,5th Quintile,Seldom,0.17300,31,129,0.10747,0.23852
2013,Indirect migration background,5th Quintile,Never,0.51135,98,129,0.42475,0.59794
2018,No migration background,1st Quintile,Very often,0.06976,246,2835,0.06039,0.07914
2018,No migration background,1st Quintile,Often,0.09591,313,2835,0.08507,0.10675
2018,No migration background,1st Quintile,Sometimes,0.09733,262,2835,0.08641,0.10824
2018,No migration background,1st Quintile,Seldom,0.14293,405,2835,0.13004,0.15581
2018,No migration background,1st Quintile,Never,0.59407,1609,2835,0.57599,0.61215
2018,No migration background,2nd Quintile,Very often,0.06173,245,3646,0.05392,0.06955
2018,No migration background,2nd Quintile,Often,0.09618,382,3646,0.08661,0.10575
2018,No migration background,2nd Quintile,Sometimes,0.10491,392,3646,0.09496,0.11486
2018,No migration background,2nd Quintile,Seldom,0.16396,573,3646,0.15194,0.17598
2018,No migration background,2nd Quintile,Never,0.57322,2054,3646,0.55716,0.58928
2018,No migration background,3rd Quintile,Very often,0.05728,257,3677,0.04976,0.06479
2018,No migration background,3rd Quintile,Often,0.10192,422,3677,0.09214,0.11170
2018,No migration background,3rd Quintile,Sometimes,0.09757,368,3677,0.08798,0.10716
2018,No migration background,3rd Quintile,Seldom,0.17378,650,3677,0.16153,0.18603
2018,No migration background,3rd Quintile,Never,0.56946,1980,3677,0.55345,0.58546
2018,No migration background,4th Quintile,Very often,0.06551,288,3990,0.05783,0.07319
2018,No migration background,4th Quintile,Often,0.10969,452,3990,0.09999,0.11939
2018,No migration background,4th Quintile,Sometimes,0.12860,522,3990,0.11821,0.13899
2018,No migration background,4th Quintile,Seldom,0.19167,746,3990,0.17945,0.20388
2018,No migration background,4th Quintile,Never,0.50453,1982,3990,0.48902,0.52005
2018,No migration background,5th Quintile,Very often,0.06769,297,4413,0.06027,0.07510
2018,No migration background,5th Quintile,Often,0.09590,452,4413,0.08721,0.10459
2018,No migration background,5th Quintile,Sometimes,0.13751,596,4413,0.12735,0.14767
2018,No migration background,5th Quintile,Seldom,0.21325,938,4413,0.20116,0.22533
2018,No migration background,5th Quintile,Never,0.48565,2130,4413,0.47091,0.50040
2018,Direct migration background,1st Quintile,Very often,0.04896,84,1456,0.03787,0.06005
2018,Direct migration background,1st Quintile,Often,0.07056,114,1456,0.05740,0.08372
2018,Direct migration background,1st Quintile,Sometimes,0.07147,125,1456,0.05823,0.08471
2018,Direct migration background,1st Quintile,Seldom,0.15637,169,1456,0.13770,0.17503
2018,Direct migration background,1st Quintile,Never,0.65265,964,1456,0.62818,0.67711
2018,Direct migration background,2nd Quintile,Very often,0.05950,56,1071,0.04533,0.07368
2018,Direct migration background,2nd Quintile,Often,0.07021,82,1071,0.05490,0.08552
2018,Direct migration background,2nd Quintile,Sometimes,0.10374,102,1071,0.08547,0.12201
2018,Direct migration background,2nd Quintile,Seldom,0.12314,130,1071,0.10345,0.14283
2018,Direct migration background,2nd Quintile,Never,0.64340,701,1071,0.61470,0.67210
2018,Direct migration background,3rd Quintile,Very often,0.07733,50,754,0.05825,0.09640
2018,Direct migration background,3rd Quintile,Often,0.06910,75,754,0.05098,0.08721
2018,Direct migration background,3rd Quintile,Sometimes,0.12556,87,754,0.10189,0.14923
2018,Direct migration background,3rd Quintile,Seldom,0.18193,130,754,0.15438,0.20949
2018,Direct migration background,3rd Quintile,Never,0.54609,412,754,0.51053,0.58165
2018,Direct migration background,4th Quintile,Very often,0.08683,47,507,0.06230,0.11137
2018,Direct migration background,4th Quintile,Often,0.10214,48,507,0.07575,0.12853
2018,Direct migration background,4th Quintile,Sometimes,0.12623,61,507,0.09729,0.15516
2018,Direct migration background,4th Quintile,Seldom,0.12481,77,507,0.09601,0.15361
2018,Direct migration background,4th Quintile,Never,0.55999,274,507,0.51674,0.60324
2018,Direct migration background,5th Quintile,Very often,0.07864,35,425,0.05301,0.10426
2018,Direct migration background,5th Quintile,Often,0.11729,52,425,0.08666,0.14792
2018,Direct migration background,5th Quintile,Sometimes,0.08476,38,425,0.05825,0.11127
2018,Direct migration background,5th Quintile,Seldom,0.19727,69,425,0.15939,0.23515
2018,Direct migration background,5th Quintile,Never,0.52204,231,425,0.47449,0.56959
2018,Indirect migration background,1st Quintile,Very often,0.08004,33,419,0.05402,0.10605
2018,Indirect migration background,1st Quintile,Often,0.11795,47,419,0.08703,0.14887
2018,Indirect migration background,1st Quintile,Sometimes,0.10308,38,419,0.07393,0.13223
2018,Indirect migration background,1st Quintile,Seldom,0.13546,65,419,0.10265,0.16827
2018,Indirect migration background,1st Quintile,Never,0.56347,236,419,0.51593,0.61102
2018,Indirect migration background,2nd Quintile,Very often,0.07535,33,379,0.04874,0.10196
2018,Indirect migration background,2nd Quintile,Often,0.11234,47,379,0.08050,0.14417
2018,Indirect migration background,2nd Quintile,Sometimes,0.08044,37,379,0.05302,0.10786
2018,Indirect migration background,2nd Quintile,Seldom,0.16771,67,379,0.13005,0.20538
2018,Indirect migration background,2nd Quintile,Never,0.56416,195,379,0.51417,0.61415
2018,Indirect migration background,3rd Quintile,Often,0.08061,31,245,0.04645,0.11477
2018,Indirect migration background,3rd Quintile,Seldom,0.17319,53,245,0.12571,0.22067
2018,Indirect migration background,3rd Quintile,Never,0.60453,161,245,0.54318,0.66588
2018,Indirect migration background,4th Quintile,Seldom,0.28426,43,136,0.20817,0.36035
2018,Indirect migration background,4th Quintile,Never,0.45125,93,136,0.36731,0.53519
2018,Indirect migration background,5th Quintile,Seldom,0.19655,43,155,0.13378,0.25931
2018,Indirect migration background,5th Quintile,Never,0.52757,112,155,0.44872,0.60642
