"pld0045","year","bildungsniveau","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Manchmal","2003","(noch) kein Abschluss","kein Migrationshintergrund","62","0.102718124041533","0.0779682975186708","0.127467950564394"
"Manchmal","2003","(noch) kein Abschluss","direkter Migrationshintergrund","16","","",""
"Manchmal","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","8","","",""
"Manchmal","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","Hauptschule","kein Migrationshintergrund","597","0.0850269225851826","0.0783882139731004","0.0916656311972648"
"Manchmal","2003","Hauptschule","direkter Migrationshintergrund","118","0.0736689512724587","0.0597391227355396","0.0875987798093777"
"Manchmal","2003","Hauptschule","indirekter Migrationshintergrund","14","","",""
"Manchmal","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","Realschule","kein Migrationshintergrund","595","0.107843884932413","0.0995283072170385","0.116159462647787"
"Manchmal","2003","Realschule","direkter Migrationshintergrund","27","","",""
"Manchmal","2003","Realschule","indirekter Migrationshintergrund","16","","",""
"Manchmal","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","(Fach-)Abitur","kein Migrationshintergrund","221","0.133168810339737","0.117749065130334","0.14858855554914"
"Manchmal","2003","(Fach-)Abitur","direkter Migrationshintergrund","48","0.122873902388557","0.0909010471314151","0.154846757645699"
"Manchmal","2003","(Fach-)Abitur","indirekter Migrationshintergrund","11","","",""
"Manchmal","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2003","AkademikerIn","kein Migrationshintergrund","488","0.128532672895679","0.118032870168828","0.13903247562253"
"Manchmal","2003","AkademikerIn","direkter Migrationshintergrund","41","0.105221654453266","0.0736567067453632","0.136786602161168"
"Manchmal","2003","AkademikerIn","indirekter Migrationshintergrund","5","","",""
"Manchmal","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","(noch) kein Abschluss","kein Migrationshintergrund","119","0.202608806199124","0.16984087310762","0.235376739290628"
"Selten","2003","(noch) kein Abschluss","direkter Migrationshintergrund","30","0.144423763958053","0.0984928044181154","0.190354723497991"
"Selten","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","14","","",""
"Selten","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","Hauptschule","kein Migrationshintergrund","1084","0.154299784789299","0.14570189053234","0.162897679046257"
"Selten","2003","Hauptschule","direkter Migrationshintergrund","179","0.144104159509112","0.125377119739919","0.162831199278305"
"Selten","2003","Hauptschule","indirekter Migrationshintergrund","47","0.178538902554862","0.13144212817235","0.225635676937373"
"Selten","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","Realschule","kein Migrationshintergrund","1000","0.179074622684895","0.168795806510193","0.189353438859598"
"Selten","2003","Realschule","direkter Migrationshintergrund","20","","",""
"Selten","2003","Realschule","indirekter Migrationshintergrund","44","0.207156149678981","0.151268589250458","0.263043710107505"
"Selten","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","(Fach-)Abitur","kein Migrationshintergrund","365","0.183643700953013","0.166071079029308","0.201216322876719"
"Selten","2003","(Fach-)Abitur","direkter Migrationshintergrund","65","0.18853406775492","0.15044058819251","0.22662754731733"
"Selten","2003","(Fach-)Abitur","indirekter Migrationshintergrund","25","","",""
"Selten","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2003","AkademikerIn","kein Migrationshintergrund","804","0.199112728285185","0.186584662570266","0.211640794000104"
"Selten","2003","AkademikerIn","direkter Migrationshintergrund","60","0.17369808169307","0.134725276193013","0.212670887193127"
"Selten","2003","AkademikerIn","indirekter Migrationshintergrund","13","","",""
"Selten","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","(noch) kein Abschluss","kein Migrationshintergrund","312","0.535257778759771","0.494597370940706","0.575918186578836"
"Nie","2003","(noch) kein Abschluss","direkter Migrationshintergrund","160","0.690971766934867","0.6305927465488","0.751350787320934"
"Nie","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","46","0.637788861439262","0.531801541308841","0.743776181569682"
"Nie","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","Hauptschule","kein Migrationshintergrund","4364","0.659938269316174","0.648662874551848","0.671213664080501"
"Nie","2003","Hauptschule","direkter Migrationshintergrund","918","0.679466554809243","0.65458135486659","0.704351754751897"
"Nie","2003","Hauptschule","indirekter Migrationshintergrund","155","0.588394633147896","0.527873632705167","0.648915633590625"
"Nie","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","Realschule","kein Migrationshintergrund","3055","0.577177582110365","0.563933923834288","0.590421240386442"
"Nie","2003","Realschule","direkter Migrationshintergrund","130","0.653506461354741","0.588838534759756","0.718174387949725"
"Nie","2003","Realschule","indirekter Migrationshintergrund","116","0.577718698617291","0.509605457856195","0.645831939378386"
"Nie","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","(Fach-)Abitur","kein Migrationshintergrund","983","0.534240170183657","0.511601132744835","0.556879207622479"
"Nie","2003","(Fach-)Abitur","direkter Migrationshintergrund","238","0.552924548360511","0.504502414125219","0.601346682595803"
"Nie","2003","(Fach-)Abitur","indirekter Migrationshintergrund","86","0.579811304182215","0.497159311448286","0.662463296916144"
"Nie","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","AkademikerIn","kein Migrationshintergrund","2026","0.530217546426908","0.514559980134805","0.545875112719012"
"Nie","2003","AkademikerIn","direkter Migrationshintergrund","210","0.602303401917237","0.551955848124475","0.652650955709999"
"Nie","2003","AkademikerIn","indirekter Migrationshintergrund","35","0.556252518271989","0.432584844382641","0.679920192161336"
"Nie","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","Realschule","kein Migrationshintergrund","","","",""
"Oft","2004","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","Realschule","kein Migrationshintergrund","","","",""
"Selten","2004","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","Realschule","kein Migrationshintergrund","","","",""
"Nie","2004","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","Realschule","kein Migrationshintergrund","","","",""
"Oft","2005","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Oft","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","Realschule","kein Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","direkter Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Manchmal","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Manchmal","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Selten","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Selten","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","Realschule","kein Migrationshintergrund","","","",""
"Selten","2005","Realschule","direkter Migrationshintergrund","","","",""
"Selten","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Selten","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Selten","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Selten","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Selten","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","Realschule","kein Migrationshintergrund","","","",""
"Nie","2005","Realschule","direkter Migrationshintergrund","","","",""
"Nie","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","Realschule","kein Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr oft","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr oft","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Oft","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","Hauptschule","kein Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","direkter Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","indirekter Migrationshintergrund","","","",""
"Oft","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","Realschule","kein Migrationshintergrund","","","",""
"Oft","2006","Realschule","direkter Migrationshintergrund","","","",""
"Oft","2006","Realschule","indirekter Migrationshintergrund","","","",""
"Oft","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Oft","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Oft","2006","AkademikerIn","kein Migrationshintergrund","","","",""
"Oft","2006","AkademikerIn","direkter Migrationshintergrund","","","",""
"Oft","2006","AkademikerIn","indirekter Migrationshintergrund","","","",""
