,Unnamed: 0,year,quintil_oecd,sex,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
164,164,2018,2nd Quintile,male,Never,0.59221,1338,24268,0.55528,0.62941
165,165,2018,2nd Quintile,female,Very often,0.07082,210,24268,0.05899,0.08217
166,166,2018,2nd Quintile,female,Often,0.08598,303,24268,0.07481,0.09913
167,167,2018,2nd Quintile,female,Sometimes,0.11062,292,24268,0.09529,0.12985
168,168,2018,2nd Quintile,female,Seldom,0.14861,415,24268,0.12976,0.16484
169,169,2018,2nd Quintile,female,Never,0.58397,1703,24268,0.55764,0.61327
170,170,2018,3rd Quintile,male,Very often,0.04953,126,24268,0.0419,0.05907
171,171,2018,3rd Quintile,male,Often,0.09441,236,24268,0.07984,0.1105
172,172,2018,3rd Quintile,male,Sometimes,0.08895,201,24268,0.07342,0.10344
173,173,2018,3rd Quintile,male,Seldom,0.20992,430,24268,0.1894,0.23305
174,174,2018,3rd Quintile,male,Never,0.55718,1168,24268,0.52552,0.58729
175,175,2018,3rd Quintile,female,Very often,0.06578,205,24268,0.05616,0.07522
176,176,2018,3rd Quintile,female,Often,0.11722,304,24268,0.10472,0.13359
177,177,2018,3rd Quintile,female,Sometimes,0.11731,295,24268,0.10103,0.13243
178,178,2018,3rd Quintile,female,Seldom,0.1509,396,24268,0.13084,0.16928
179,179,2018,3rd Quintile,female,Never,0.54879,1369,24268,0.51811,0.57924
180,180,2018,4th Quintile,male,Very often,0.05758,141,24268,0.04993,0.06794
181,181,2018,4th Quintile,male,Often,0.09789,228,24268,0.08389,0.11377
182,182,2018,4th Quintile,male,Sometimes,0.13999,299,24268,0.12348,0.15961
183,183,2018,4th Quintile,male,Seldom,0.19581,418,24268,0.17413,0.21873
184,184,2018,4th Quintile,male,Never,0.50872,1118,24268,0.47658,0.53796
185,185,2018,4th Quintile,female,Very often,0.07924,214,24268,0.06604,0.09273
186,186,2018,4th Quintile,female,Often,0.11459,273,24268,0.10106,0.13156
187,187,2018,4th Quintile,female,Sometimes,0.11267,297,24268,0.09852,0.1315
188,188,2018,4th Quintile,female,Seldom,0.16844,427,24268,0.15392,0.18927
189,189,2018,4th Quintile,female,Never,0.52506,1185,24268,0.4961,0.55259
190,190,2018,5th Quintile,male,Very often,0.06061,161,24268,0.04843,0.07047
191,191,2018,5th Quintile,male,Often,0.09151,258,24268,0.07939,0.1043
192,192,2018,5th Quintile,male,Sometimes,0.1323,322,24268,0.11525,0.15114
193,193,2018,5th Quintile,male,Seldom,0.22572,560,24268,0.20773,0.24726
194,194,2018,5th Quintile,male,Never,0.48986,1257,24268,0.46156,0.51656
195,195,2018,5th Quintile,female,Very often,0.07896,178,24268,0.06609,0.09439
196,196,2018,5th Quintile,female,Often,0.09776,272,24268,0.08121,0.11156
197,197,2018,5th Quintile,female,Sometimes,0.12885,326,24268,0.11059,0.14823
198,198,2018,5th Quintile,female,Seldom,0.19496,496,24268,0.17619,0.21479
199,199,2018,5th Quintile,female,Never,0.49946,1240,24268,0.47148,0.52816
