year,regtyp,sex,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,Urban regions,male,Yes,0.07903,419,4468,0.07112,0.08694
1998,Urban regions,male,No,0.74019,4049,4468,0.72733,0.75305
1998,Urban regions,female,Yes,0.12443,668,4807,0.11510,0.13376
1998,Urban regions,female,No,0.71501,4139,4807,0.70224,0.72777
1998,Rural regions,male,Yes,0.09118,266,2412,0.07969,0.10267
1998,Rural regions,male,No,0.71677,2146,2412,0.69878,0.73475
1998,Rural regions,female,Yes,0.12933,380,2531,0.11626,0.14241
1998,Rural regions,female,No,0.68778,2151,2531,0.66973,0.70584
1999,Urban regions,male,Yes,0.08438,417,4286,0.07606,0.09271
1999,Urban regions,male,No,0.73923,3869,4286,0.72608,0.75237
1999,Urban regions,female,Yes,0.12673,648,4590,0.11711,0.13636
1999,Urban regions,female,No,0.70993,3942,4590,0.69680,0.72306
1999,Rural regions,male,Yes,0.09900,271,2318,0.08684,0.11116
1999,Rural regions,male,No,0.71258,2047,2318,0.69415,0.73100
1999,Rural regions,female,Yes,0.12165,333,2460,0.10873,0.13457
1999,Rural regions,female,No,0.70194,2127,2460,0.68386,0.72002
2000,Urban regions,male,Yes,0.08000,738,7510,0.07387,0.08614
2000,Urban regions,male,No,0.73602,6772,7510,0.72605,0.74599
2000,Urban regions,female,Yes,0.11106,1066,8197,0.10426,0.11787
2000,Urban regions,female,No,0.72585,7131,8197,0.71619,0.73551
2000,Rural regions,male,Yes,0.10078,454,4043,0.09150,0.11006
2000,Rural regions,male,No,0.71430,3589,4043,0.70037,0.72822
2000,Rural regions,female,Yes,0.11729,597,4304,0.10768,0.12691
2000,Rural regions,female,No,0.71228,3707,4304,0.69875,0.72581
2001,Urban regions,male,Yes,0.07944,661,6815,0.07302,0.08586
2001,Urban regions,male,No,0.73472,6154,6815,0.72424,0.74520
2001,Urban regions,female,Yes,0.11555,994,7471,0.10830,0.12280
2001,Urban regions,female,No,0.72005,6477,7471,0.70987,0.73023
2001,Rural regions,male,Yes,0.10354,416,3680,0.09370,0.11339
2001,Rural regions,male,No,0.72318,3264,3680,0.70872,0.73764
2001,Rural regions,female,Yes,0.12177,550,3886,0.11148,0.13205
2001,Rural regions,female,No,0.70604,3336,3886,0.69171,0.72037
2002,Urban regions,male,Yes,0.08863,764,7354,0.08214,0.09513
2002,Urban regions,male,No,0.73010,6590,7354,0.71996,0.74025
2002,Urban regions,female,Yes,0.11237,978,7914,0.10542,0.11933
2002,Urban regions,female,No,0.72604,6936,7914,0.71621,0.73587
2002,Rural regions,male,Yes,0.10053,435,3757,0.09091,0.11014
2002,Rural regions,male,No,0.72492,3322,3757,0.71064,0.73920
2002,Rural regions,female,Yes,0.12060,523,3954,0.11045,0.13075
2002,Rural regions,female,No,0.71131,3431,3954,0.69719,0.72544
2003,Urban regions,male,Yes,0.08901,752,7057,0.08237,0.09566
2003,Urban regions,male,No,0.73003,6305,7057,0.71968,0.74039
2003,Urban regions,female,Yes,0.11033,955,7641,0.10330,0.11735
2003,Urban regions,female,No,0.72385,6686,7641,0.71382,0.73388
2003,Rural regions,male,Yes,0.09106,376,3580,0.08163,0.10048
2003,Rural regions,male,No,0.73549,3204,3580,0.72104,0.74994
2003,Rural regions,female,Yes,0.12496,533,3806,0.11445,0.13547
2003,Rural regions,female,No,0.71385,3273,3806,0.69949,0.72821
2004,Urban regions,male,Yes,0.09211,711,6850,0.08526,0.09896
2004,Urban regions,male,No,0.72990,6139,6850,0.71938,0.74041
2004,Urban regions,female,Yes,0.11630,971,7478,0.10904,0.12357
2004,Urban regions,female,No,0.72361,6507,7478,0.71347,0.73375
2004,Rural regions,male,Yes,0.09760,379,3492,0.08776,0.10745
2004,Rural regions,male,No,0.73719,3113,3492,0.72259,0.75179
2004,Rural regions,female,Yes,0.12247,515,3730,0.11194,0.13299
2004,Rural regions,female,No,0.72144,3215,3730,0.70705,0.73582
2005,Urban regions,male,Yes,0.08104,618,6555,0.07443,0.08765
2005,Urban regions,male,No,0.74655,5937,6555,0.73602,0.75708
2005,Urban regions,female,Yes,0.10847,843,7187,0.10128,0.11566
2005,Urban regions,female,No,0.73742,6344,7187,0.72724,0.74759
2005,Rural regions,male,Yes,0.09614,370,3310,0.08609,0.10618
2005,Rural regions,male,No,0.73600,2940,3310,0.72099,0.75102
2005,Rural regions,female,Yes,0.11303,449,3573,0.10264,0.12341
2005,Rural regions,female,No,0.72908,3124,3573,0.71450,0.74365
2006,Urban regions,male,Yes,0.08622,709,6882,0.07959,0.09285
2006,Urban regions,male,No,0.73939,6173,6882,0.72901,0.74976
2006,Urban regions,female,Yes,0.11190,934,7582,0.10480,0.11899
2006,Urban regions,female,No,0.72812,6648,7582,0.71810,0.73813
2006,Rural regions,male,Yes,0.10285,386,3570,0.09289,0.11282
2006,Rural regions,male,No,0.71870,3184,3570,0.70395,0.73346
2006,Rural regions,female,Yes,0.11819,523,3895,0.10805,0.12833
2006,Rural regions,female,No,0.72224,3372,3895,0.70818,0.73631
2007,Urban regions,male,Yes,0.09254,689,6366,0.08543,0.09966
2007,Urban regions,male,No,0.73041,5677,6366,0.71951,0.74131
2007,Urban regions,female,Yes,0.10658,866,7082,0.09939,0.11377
2007,Urban regions,female,No,0.72892,6216,7082,0.71856,0.73927
2007,Rural regions,male,Yes,0.09335,385,3376,0.08353,0.10316
2007,Rural regions,male,No,0.72856,2991,3376,0.71356,0.74357
2007,Rural regions,female,Yes,0.12207,495,3628,0.11142,0.13273
2007,Rural regions,female,No,0.73027,3133,3628,0.71583,0.74472
2008,Urban regions,male,Yes,0.08120,614,5991,0.07428,0.08812
2008,Urban regions,male,No,0.74603,5377,5991,0.73500,0.75705
2008,Urban regions,female,Yes,0.10163,791,6666,0.09437,0.10888
2008,Urban regions,female,No,0.73818,5875,6666,0.72762,0.74873
2008,Rural regions,male,Yes,0.10468,388,3179,0.09404,0.11533
2008,Rural regions,male,No,0.72448,2791,3179,0.70895,0.74002
2008,Rural regions,female,Yes,0.11288,452,3414,0.10226,0.12350
2008,Rural regions,female,No,0.73996,2962,3414,0.72524,0.75467
2009,Urban regions,male,Yes,0.08914,641,5540,0.08163,0.09664
2009,Urban regions,male,No,0.74455,4899,5540,0.73306,0.75603
2009,Urban regions,female,Yes,0.11536,792,6152,0.10737,0.12334
2009,Urban regions,female,No,0.72849,5360,6152,0.71738,0.73961
2009,Rural regions,male,Yes,0.11171,386,3036,0.10050,0.12291
2009,Rural regions,male,No,0.72084,2650,3036,0.70488,0.73680
2009,Rural regions,female,Yes,0.12752,474,3248,0.11604,0.13899
2009,Rural regions,female,No,0.73049,2774,3248,0.71523,0.74575
2010,Urban regions,male,Yes,0.09564,756,7077,0.08878,0.10249
2010,Urban regions,male,No,0.73884,6321,7077,0.72861,0.74908
2010,Urban regions,female,Yes,0.11690,1370,8561,0.11009,0.12371
2010,Urban regions,female,No,0.73087,7191,8561,0.72147,0.74026
2010,Rural regions,male,Yes,0.10790,437,3809,0.09805,0.11776
2010,Rural regions,male,No,0.73318,3372,3809,0.71913,0.74723
2010,Rural regions,female,Yes,0.10592,708,4476,0.09690,0.11494
2010,Rural regions,female,No,0.74938,3768,4476,0.73668,0.76207
2011,Urban regions,male,Yes,0.09660,920,8181,0.09020,0.10300
2011,Urban regions,male,No,0.72997,7261,8181,0.72035,0.73959
2011,Urban regions,female,Yes,0.12132,1527,10017,0.11493,0.12772
2011,Urban regions,female,No,0.72236,8490,10017,0.71359,0.73113
2011,Rural regions,male,Yes,0.10686,565,4662,0.09799,0.11572
2011,Rural regions,male,No,0.72791,4097,4662,0.71513,0.74069
2011,Rural regions,female,Yes,0.13524,888,5492,0.12619,0.14429
2011,Rural regions,female,No,0.71477,4604,5492,0.70283,0.72672
2012,Urban regions,male,Yes,0.10111,952,7890,0.09446,0.10777
2012,Urban regions,male,No,0.72579,6938,7890,0.71594,0.73563
2012,Urban regions,female,Yes,0.12403,1325,9607,0.11744,0.13062
2012,Urban regions,female,No,0.71810,8282,9607,0.70910,0.72710
2012,Rural regions,male,Yes,0.12390,627,4635,0.11441,0.13338
2012,Rural regions,male,No,0.71467,4008,4635,0.70167,0.72767
2012,Rural regions,female,Yes,0.12826,820,5448,0.11938,0.13714
2012,Rural regions,female,No,0.72095,4628,5448,0.70904,0.73287
2013,Urban regions,male,Yes,0.09619,891,7334,0.08944,0.10294
2013,Urban regions,male,No,0.64336,6443,7334,0.63239,0.65432
2013,Urban regions,female,Yes,0.11531,1232,8979,0.10870,0.12192
2013,Urban regions,female,No,0.64905,7747,8979,0.63918,0.65892
2013,Rural regions,male,Yes,0.12314,568,4278,0.11329,0.13299
2013,Rural regions,male,No,0.67364,3710,4278,0.65959,0.68770
2013,Rural regions,female,Yes,0.12260,754,5061,0.11356,0.13163
2013,Rural regions,female,No,0.69262,4307,5061,0.67990,0.70533
2014,Urban regions,male,Yes,0.09511,902,8057,0.08870,0.10151
2014,Urban regions,male,No,0.73569,7155,8057,0.72606,0.74532
2014,Urban regions,female,Yes,0.12356,1355,9574,0.11697,0.13015
2014,Urban regions,female,No,0.71765,8219,9574,0.70863,0.72666
2014,Rural regions,male,Yes,0.12828,575,4357,0.11835,0.13821
2014,Rural regions,male,No,0.71501,3782,4357,0.70161,0.72842
2014,Rural regions,female,Yes,0.12942,719,5041,0.12015,0.13869
2014,Rural regions,female,No,0.72489,4322,5041,0.71256,0.73722
2015,Urban regions,male,Yes,0.09921,885,7372,0.09239,0.10604
2015,Urban regions,male,No,0.71224,6487,7372,0.70190,0.72257
2015,Urban regions,female,Yes,0.11561,1160,8795,0.10893,0.12229
2015,Urban regions,female,No,0.70953,7635,8795,0.70005,0.71902
2015,Rural regions,male,Yes,0.12091,544,4064,0.11088,0.13093
2015,Rural regions,male,No,0.70123,3520,4064,0.68715,0.71530
2015,Rural regions,female,Yes,0.13951,729,4761,0.12966,0.14935
2015,Rural regions,female,No,0.70401,4032,4761,0.69104,0.71698
2016,Urban regions,male,Yes,0.09463,793,7132,0.08784,0.10143
2016,Urban regions,male,No,0.72758,6339,7132,0.71725,0.73791
2016,Urban regions,female,Yes,0.12234,1190,8536,0.11539,0.12929
2016,Urban regions,female,No,0.71743,7346,8536,0.70787,0.72698
2016,Rural regions,male,Yes,0.11527,517,3911,0.10526,0.12528
2016,Rural regions,male,No,0.71482,3394,3911,0.70066,0.72897
2016,Rural regions,female,Yes,0.12393,684,4541,0.11434,0.13351
2016,Rural regions,female,No,0.72080,3857,4541,0.70775,0.73385
2017,Urban regions,male,Yes,0.10729,975,7836,0.10044,0.11415
2017,Urban regions,male,No,0.71112,6861,7836,0.70108,0.72116
2017,Urban regions,female,Yes,0.12198,1287,9230,0.11530,0.12866
2017,Urban regions,female,No,0.71421,7943,9230,0.70499,0.72343
2017,Rural regions,male,Yes,0.11419,570,4357,0.10474,0.12363
2017,Rural regions,male,No,0.70991,3787,4357,0.69643,0.72339
2017,Rural regions,female,Yes,0.13436,725,4959,0.12487,0.14386
2017,Rural regions,female,No,0.70733,4234,4959,0.69466,0.71999
2018,Urban regions,male,Yes,0.10349,914,7602,0.09664,0.11034
2018,Urban regions,male,No,0.71896,6688,7602,0.70885,0.72906
2018,Urban regions,female,Yes,0.12460,1252,9004,0.11777,0.13142
2018,Urban regions,female,No,0.71525,7752,9004,0.70593,0.72458
2018,Rural regions,male,Yes,0.10969,557,4138,0.10017,0.11921
2018,Rural regions,male,No,0.71444,3581,4138,0.70068,0.72821
2018,Rural regions,female,Yes,0.13752,696,4775,0.12775,0.14729
2018,Rural regions,female,No,0.71058,4079,4775,0.69771,0.72344
2019,Urban regions,male,Yes,0.10194,986,7751,0.09521,0.10868
2019,Urban regions,male,No,0.71570,6765,7751,0.70566,0.72575
2019,Urban regions,female,Yes,0.12475,1167,8608,0.11776,0.13173
2019,Urban regions,female,No,0.71268,7441,8608,0.70312,0.72224
2019,Rural regions,male,Yes,0.10782,524,4199,0.09844,0.11720
2019,Rural regions,male,No,0.71380,3675,4199,0.70013,0.72748
2019,Rural regions,female,Yes,0.13404,675,4565,0.12416,0.14393
2019,Rural regions,female,No,0.70784,3890,4565,0.69465,0.72103
2020,Urban regions,male,Yes,0.11292,1086,9360,0.10651,0.11933
2020,Urban regions,male,No,0.71077,8274,9360,0.70158,0.71996
2020,Urban regions,female,Yes,0.12135,1306,9661,0.11484,0.12786
2020,Urban regions,female,No,0.71944,8355,9661,0.71048,0.72840
2020,Rural regions,male,Yes,0.10679,576,4576,0.09784,0.11574
2020,Rural regions,male,No,0.72257,4000,4576,0.70960,0.73555
2020,Rural regions,female,Yes,0.13245,701,4754,0.12282,0.14209
2020,Rural regions,female,No,0.69989,4053,4754,0.68686,0.71292
2021,Urban regions,male,Yes,0.09100,618,5329,0.08328,0.09872
2021,Urban regions,male,No,0.71267,4711,5329,0.70051,0.72482
2021,Urban regions,female,Yes,0.10908,713,6047,0.10122,0.11694
2021,Urban regions,female,No,0.72082,5334,6047,0.70951,0.73212
2021,Rural regions,male,Yes,0.11122,352,2736,0.09944,0.12301
2021,Rural regions,male,No,0.71618,2384,2736,0.69928,0.73307
2021,Rural regions,female,Yes,0.11155,391,3045,0.10036,0.12273
2021,Rural regions,female,No,0.71698,2654,3045,0.70098,0.73299
2022,Urban regions,male,Yes,0.09066,891,9373,0.08484,0.09647
2022,Urban regions,male,No,0.72569,8482,9373,0.71665,0.73472
2022,Urban regions,female,Yes,0.10620,1073,9676,0.10006,0.11234
2022,Urban regions,female,No,0.72315,8603,9676,0.71423,0.73206
2022,Rural regions,male,Yes,0.10634,465,4179,0.09699,0.11568
2022,Rural regions,male,No,0.71651,3714,4179,0.70285,0.73018
2022,Rural regions,female,Yes,0.11386,581,4581,0.10466,0.12306
2022,Rural regions,female,No,0.72336,4000,4581,0.71040,0.73631
