year,age_gr,pgisced97,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,46-65 y.,Lower Secondary Level,No,0.88367,878,997,0.86376,0.90358
1985,46-65 y.,Upper Secondary Level,Yes,0.10586,167,1475,0.09016,0.12157
1985,46-65 y.,Upper Secondary Level,No,0.89414,1308,1475,0.87843,0.90984
1985,46-65 y.,Post-secondary Non-tertiary Level,No,0.92453,55,55,0.85408,0.99499
1985,46-65 y.,First Stage of Tertiary Education,No,0.88265,170,170,0.83413,0.93118
1985,46-65 y.,Second Stage of Tertiary Education,No,0.89576,194,194,0.85265,0.93887
1985,66 and older,Lower Secondary Level,Yes,0.16664,68,421,0.13100,0.20228
1985,66 and older,Lower Secondary Level,No,0.83336,353,421,0.79772,0.86900
1985,66 and older,Upper Secondary Level,Yes,0.15903,81,512,0.12732,0.19074
1985,66 and older,Upper Secondary Level,No,0.84097,431,512,0.80926,0.87268
1985,66 and older,First Stage of Tertiary Education,No,0.86534,69,69,0.78421,0.94648
1985,66 and older,Second Stage of Tertiary Education,No,0.84080,47,47,0.73507,0.94653
1986,17-29 y.,No answer / don't know,No,0.83146,54,54,0.73068,0.93225
1986,17-29 y.,Pre-primary Level,No,0.92231,173,173,0.88230,0.96231
1986,17-29 y.,Primary Level,No,0.84071,134,134,0.77852,0.90291
1986,17-29 y.,Lower Secondary Level,Yes,0.11913,114,947,0.09848,0.13977
1986,17-29 y.,Lower Secondary Level,No,0.88087,833,947,0.86023,0.90152
1986,17-29 y.,Upper Secondary Level,Yes,0.11670,165,1394,0.09984,0.13356
1986,17-29 y.,Upper Secondary Level,No,0.88330,1229,1394,0.86644,0.90016
1986,17-29 y.,Post-secondary Non-tertiary Level,No,0.94391,97,97,0.89788,0.98994
1986,17-29 y.,First Stage of Tertiary Education,No,0.88209,87,87,0.81393,0.95025
1986,17-29 y.,Second Stage of Tertiary Education,No,0.86205,83,83,0.78740,0.93669
1986,30-45 y.,Primary Level,Yes,0.12263,34,279,0.08407,0.16119
1986,30-45 y.,Primary Level,No,0.87737,245,279,0.83881,0.91593
1986,30-45 y.,Lower Secondary Level,Yes,0.12321,78,616,0.09724,0.14919
1986,30-45 y.,Lower Secondary Level,No,0.87679,538,616,0.85081,0.90276
1986,30-45 y.,Upper Secondary Level,Yes,0.09738,171,1652,0.08307,0.11168
1986,30-45 y.,Upper Secondary Level,No,0.90262,1481,1652,0.88832,0.91693
1986,30-45 y.,Post-secondary Non-tertiary Level,No,0.91703,81,81,0.85658,0.97747
1986,30-45 y.,First Stage of Tertiary Education,No,0.91322,194,194,0.87350,0.95293
1986,30-45 y.,Second Stage of Tertiary Education,Yes,0.08725,33,376,0.05869,0.11581
1986,30-45 y.,Second Stage of Tertiary Education,No,0.91275,343,376,0.88419,0.94131
1986,46-65 y.,Primary Level,Yes,0.11717,44,316,0.08165,0.15269
1986,46-65 y.,Primary Level,No,0.88283,272,316,0.84731,0.91835
1986,46-65 y.,Lower Secondary Level,Yes,0.11690,113,946,0.09641,0.13738
1986,46-65 y.,Lower Secondary Level,No,0.88310,833,946,0.86262,0.90359
1986,46-65 y.,Upper Secondary Level,Yes,0.11822,180,1465,0.10168,0.13476
1986,46-65 y.,Upper Secondary Level,No,0.88178,1285,1465,0.86524,0.89832
1986,46-65 y.,Post-secondary Non-tertiary Level,No,0.89068,47,47,0.80050,0.98086
1986,46-65 y.,First Stage of Tertiary Education,No,0.85089,163,163,0.79603,0.90574
1986,46-65 y.,Second Stage of Tertiary Education,No,0.90745,206,206,0.86777,0.94712
1986,66 and older,Lower Secondary Level,Yes,0.14838,58,390,0.11306,0.18371
1986,66 and older,Lower Secondary Level,No,0.85162,332,390,0.81629,0.88694
1986,66 and older,Upper Secondary Level,Yes,0.21386,99,469,0.17671,0.25101
1986,66 and older,Upper Secondary Level,No,0.78614,370,469,0.74899,0.82329
1986,66 and older,First Stage of Tertiary Education,No,0.88029,63,63,0.79949,0.96110
1986,66 and older,Second Stage of Tertiary Education,No,0.79348,42,42,0.66956,0.91739
1987,17-29 y.,No answer / don't know,No,0.84085,63,63,0.74979,0.93191
1987,17-29 y.,Pre-primary Level,No,0.91383,176,176,0.87225,0.95541
1987,17-29 y.,Primary Level,No,0.82309,115,115,0.75304,0.89314
1987,17-29 y.,Lower Secondary Level,Yes,0.12973,115,921,0.10802,0.15144
1987,17-29 y.,Lower Secondary Level,No,0.87027,806,921,0.84856,0.89198
1987,17-29 y.,Upper Secondary Level,Yes,0.10924,161,1395,0.09286,0.12561
1987,17-29 y.,Upper Secondary Level,No,0.89076,1234,1395,0.87439,0.90714
1987,17-29 y.,Post-secondary Non-tertiary Level,No,0.89437,96,96,0.83256,0.95618
1987,17-29 y.,First Stage of Tertiary Education,No,0.85673,73,73,0.77580,0.93765
1987,17-29 y.,Second Stage of Tertiary Education,No,0.91318,81,81,0.85148,0.97488
1987,30-45 y.,Primary Level,Yes,0.13054,34,276,0.09073,0.17036
1987,30-45 y.,Primary Level,No,0.86946,242,276,0.82964,0.90927
1987,30-45 y.,Lower Secondary Level,Yes,0.12226,64,585,0.09570,0.14883
1987,30-45 y.,Lower Secondary Level,No,0.87774,521,585,0.85117,0.90430
1987,30-45 y.,Upper Secondary Level,Yes,0.10092,165,1595,0.08613,0.11570
1987,30-45 y.,Upper Secondary Level,No,0.89908,1430,1595,0.88430,0.91387
1987,30-45 y.,Post-secondary Non-tertiary Level,No,0.96685,91,91,0.92986,1.00384
1987,30-45 y.,First Stage of Tertiary Education,No,0.86961,186,186,0.82109,0.91814
1987,30-45 y.,Second Stage of Tertiary Education,No,0.92133,336,336,0.89249,0.95016
1987,46-65 y.,Primary Level,Yes,0.10146,38,321,0.06838,0.13454
1987,46-65 y.,Primary Level,No,0.89854,283,321,0.86546,0.93162
1987,46-65 y.,Lower Secondary Level,Yes,0.10868,100,918,0.08854,0.12883
1987,46-65 y.,Lower Secondary Level,No,0.89132,818,918,0.87117,0.91146
1987,46-65 y.,Upper Secondary Level,Yes,0.10667,161,1464,0.09085,0.12249
1987,46-65 y.,Upper Secondary Level,No,0.89333,1303,1464,0.87751,0.90915
1987,46-65 y.,Post-secondary Non-tertiary Level,No,0.85022,47,47,0.74709,0.95335
1987,46-65 y.,First Stage of Tertiary Education,No,0.91147,173,173,0.86901,0.95392
1987,46-65 y.,Second Stage of Tertiary Education,No,0.87375,203,203,0.82795,0.91955
1987,66 and older,Lower Secondary Level,Yes,0.17904,73,404,0.14160,0.21647
1987,66 and older,Lower Secondary Level,No,0.82096,331,404,0.78353,0.85840
1987,66 and older,Upper Secondary Level,Yes,0.21160,100,497,0.17566,0.24755
1987,66 and older,Upper Secondary Level,No,0.78840,397,497,0.75245,0.82434
1987,66 and older,First Stage of Tertiary Education,No,0.85198,59,59,0.76059,0.94338
1987,66 and older,Second Stage of Tertiary Education,No,0.71070,42,42,0.57191,0.84950
1988,17-29 y.,No answer / don't know,No,0.90965,85,85,0.84834,0.97096
1988,17-29 y.,Pre-primary Level,No,0.87916,145,145,0.82592,0.93240
1988,17-29 y.,Primary Level,No,0.82330,108,108,0.75103,0.89557
1988,17-29 y.,Lower Secondary Level,Yes,0.12446,115,916,0.10307,0.14584
1988,17-29 y.,Lower Secondary Level,No,0.87554,801,916,0.85416,0.89693
1988,17-29 y.,Upper Secondary Level,Yes,0.10889,142,1311,0.09202,0.12576
1988,17-29 y.,Upper Secondary Level,No,0.89111,1169,1311,0.87424,0.90798
1988,17-29 y.,Post-secondary Non-tertiary Level,No,0.93876,98,98,0.89104,0.98648
1988,17-29 y.,First Stage of Tertiary Education,No,0.81942,61,61,0.72209,0.91676
1988,17-29 y.,Second Stage of Tertiary Education,No,0.94100,72,72,0.88620,0.99581
1988,30-45 y.,Primary Level,Yes,0.13613,33,238,0.09247,0.17979
1988,30-45 y.,Primary Level,No,0.86387,205,238,0.82021,0.90753
1988,30-45 y.,Lower Secondary Level,Yes,0.15761,76,532,0.12662,0.18861
1988,30-45 y.,Lower Secondary Level,No,0.84239,456,532,0.81139,0.87338
1988,30-45 y.,Upper Secondary Level,Yes,0.10489,151,1501,0.08939,0.12040
1988,30-45 y.,Upper Secondary Level,No,0.89511,1350,1501,0.87960,0.91061
1988,30-45 y.,Post-secondary Non-tertiary Level,No,0.90455,83,83,0.84095,0.96815
1988,30-45 y.,First Stage of Tertiary Education,No,0.90748,190,190,0.86617,0.94879
1988,30-45 y.,Second Stage of Tertiary Education,No,0.92670,317,317,0.89796,0.95544
1988,46-65 y.,Primary Level,Yes,0.12588,39,306,0.08865,0.16311
1988,46-65 y.,Primary Level,No,0.87412,267,306,0.83689,0.91135
1988,46-65 y.,Lower Secondary Level,Yes,0.10829,99,886,0.08781,0.12876
1988,46-65 y.,Lower Secondary Level,No,0.89171,787,886,0.87124,0.91219
1988,46-65 y.,Upper Secondary Level,Yes,0.11762,164,1421,0.10087,0.13438
1988,46-65 y.,Upper Secondary Level,No,0.88238,1257,1421,0.86562,0.89913
1988,46-65 y.,Post-secondary Non-tertiary Level,No,0.86951,43,43,0.76763,0.97138
1988,46-65 y.,First Stage of Tertiary Education,No,0.84868,152,152,0.79152,0.90584
1988,46-65 y.,Second Stage of Tertiary Education,No,0.88192,202,202,0.83730,0.92653
1988,66 and older,Lower Secondary Level,Yes,0.18981,72,377,0.15017,0.22944
1988,66 and older,Lower Secondary Level,No,0.81019,305,377,0.77056,0.84983
1988,66 and older,Upper Secondary Level,Yes,0.16835,81,493,0.13528,0.20141
1988,66 and older,Upper Secondary Level,No,0.83165,412,493,0.79859,0.86472
1988,66 and older,First Stage of Tertiary Education,No,0.74537,52,52,0.62580,0.86493
1988,66 and older,Second Stage of Tertiary Education,No,0.77144,43,43,0.64444,0.89843
1989,17-29 y.,No answer / don't know,No,0.87903,77,77,0.80571,0.95234
1989,17-29 y.,Pre-primary Level,No,0.94560,163,163,0.91067,0.98052
1989,17-29 y.,Primary Level,No,0.84825,104,104,0.77896,0.91754
1989,17-29 y.,Lower Secondary Level,Yes,0.10425,101,856,0.08376,0.12473
1989,17-29 y.,Lower Secondary Level,No,0.89575,755,856,0.87527,0.91624
1989,17-29 y.,Upper Secondary Level,Yes,0.11328,157,1307,0.09609,0.13047
1989,17-29 y.,Upper Secondary Level,No,0.88672,1150,1307,0.86953,0.90391
1989,17-29 y.,Post-secondary Non-tertiary Level,No,0.85394,106,106,0.78639,0.92149
1989,17-29 y.,First Stage of Tertiary Education,No,0.84249,66,66,0.75394,0.93105
1989,17-29 y.,Second Stage of Tertiary Education,No,0.90555,72,72,0.83753,0.97358
1989,30-45 y.,Primary Level,Yes,0.15814,33,219,0.10971,0.20658
1989,30-45 y.,Primary Level,No,0.84186,186,219,0.79342,0.89029
1989,30-45 y.,Lower Secondary Level,Yes,0.15246,65,495,0.12076,0.18416
1989,30-45 y.,Lower Secondary Level,No,0.84754,430,495,0.81584,0.87924
1989,30-45 y.,Upper Secondary Level,Yes,0.10514,154,1461,0.08941,0.12087
1989,30-45 y.,Upper Secondary Level,No,0.89486,1307,1461,0.87913,0.91059
1989,30-45 y.,Post-secondary Non-tertiary Level,No,0.94474,85,85,0.89588,0.99360
1989,30-45 y.,First Stage of Tertiary Education,No,0.91638,181,181,0.87594,0.95682
1989,30-45 y.,Second Stage of Tertiary Education,No,0.94042,319,319,0.91440,0.96644
1989,46-65 y.,Primary Level,Yes,0.14531,42,297,0.10517,0.18546
1989,46-65 y.,Primary Level,No,0.85469,255,297,0.81454,0.89483
1989,46-65 y.,Lower Secondary Level,Yes,0.11691,100,834,0.09509,0.13873
1989,46-65 y.,Lower Secondary Level,No,0.88309,734,834,0.86127,0.90491
1989,46-65 y.,Upper Secondary Level,Yes,0.11516,154,1372,0.09826,0.13205
1989,46-65 y.,Upper Secondary Level,No,0.88484,1218,1372,0.86795,0.90174
1989,46-65 y.,Post-secondary Non-tertiary Level,No,0.96443,47,47,0.91090,1.01795
1989,46-65 y.,First Stage of Tertiary Education,No,0.91268,155,155,0.86809,0.95727
1989,46-65 y.,Second Stage of Tertiary Education,No,0.89565,206,206,0.85380,0.93750
1989,66 and older,Lower Secondary Level,Yes,0.18460,68,378,0.14543,0.22376
1989,66 and older,Lower Secondary Level,No,0.81540,310,378,0.77624,0.85457
1989,66 and older,Upper Secondary Level,Yes,0.19216,86,467,0.15639,0.22793
1989,66 and older,Upper Secondary Level,No,0.80784,381,467,0.77207,0.84361
1989,66 and older,First Stage of Tertiary Education,No,0.78659,52,52,0.67415,0.89904
1989,66 and older,Second Stage of Tertiary Education,No,0.84485,48,48,0.74135,0.94836
1991,17-29 y.,No answer / don't know,No,0.78095,84,84,0.69197,0.86993
1991,17-29 y.,Pre-primary Level,No,0.92503,142,142,0.88156,0.96850
1991,17-29 y.,Primary Level,No,0.79999,98,98,0.72039,0.87960
1991,17-29 y.,Lower Secondary Level,Yes,0.13578,95,767,0.11152,0.16004
1991,17-29 y.,Lower Secondary Level,No,0.86422,672,767,0.83996,0.88848
1991,17-29 y.,Upper Secondary Level,Yes,0.14449,168,1260,0.12507,0.16391
1991,17-29 y.,Upper Secondary Level,No,0.85551,1092,1260,0.83609,0.87493
1991,17-29 y.,Post-secondary Non-tertiary Level,No,0.82233,112,112,0.75122,0.89344
1991,17-29 y.,First Stage of Tertiary Education,No,0.84126,68,68,0.75376,0.92876
1991,17-29 y.,Second Stage of Tertiary Education,No,0.91610,63,63,0.84710,0.98511
1991,30-45 y.,No answer / don't know,No,0.96051,38,38,0.89775,1.02326
1991,30-45 y.,Primary Level,No,0.90549,177,177,0.86227,0.94871
1991,30-45 y.,Lower Secondary Level,Yes,0.13227,59,476,0.10180,0.16273
1991,30-45 y.,Lower Secondary Level,No,0.86773,417,476,0.83727,0.89820
1991,30-45 y.,Upper Secondary Level,Yes,0.09404,130,1437,0.07894,0.10914
1991,30-45 y.,Upper Secondary Level,No,0.90596,1307,1437,0.89086,0.92106
1991,30-45 y.,Post-secondary Non-tertiary Level,No,0.92942,89,89,0.87591,0.98293
1991,30-45 y.,First Stage of Tertiary Education,No,0.89936,181,181,0.85541,0.94331
1991,30-45 y.,Second Stage of Tertiary Education,Yes,0.09109,31,355,0.06111,0.12106
1991,30-45 y.,Second Stage of Tertiary Education,No,0.90891,324,355,0.87894,0.93889
1991,46-65 y.,Primary Level,No,0.87119,258,258,0.83023,0.91214
1991,46-65 y.,Lower Secondary Level,Yes,0.13060,99,779,0.10692,0.15428
1991,46-65 y.,Lower Secondary Level,No,0.86940,680,779,0.84572,0.89308
1991,46-65 y.,Upper Secondary Level,Yes,0.11531,155,1321,0.09808,0.13254
1991,46-65 y.,Upper Secondary Level,No,0.88469,1166,1321,0.86746,0.90192
1991,46-65 y.,Post-secondary Non-tertiary Level,No,0.77303,39,39,0.63985,0.90622
1991,46-65 y.,First Stage of Tertiary Education,No,0.90462,140,140,0.85579,0.95346
1991,46-65 y.,Second Stage of Tertiary Education,No,0.92388,212,212,0.88809,0.95966
1991,66 and older,Lower Secondary Level,Yes,0.20397,70,371,0.16291,0.24503
1991,66 and older,Lower Secondary Level,No,0.79603,301,371,0.75497,0.83709
1991,66 and older,Upper Secondary Level,Yes,0.20006,100,498,0.16489,0.23523
1991,66 and older,Upper Secondary Level,No,0.79994,398,498,0.76477,0.83511
1991,66 and older,First Stage of Tertiary Education,No,0.79414,55,55,0.68630,0.90198
1991,66 and older,Second Stage of Tertiary Education,No,0.76353,50,50,0.64455,0.88251
1992,17-29 y.,No answer / don't know,No,0.87879,103,103,0.81545,0.94213
1992,17-29 y.,Pre-primary Level,No,0.91528,172,172,0.87355,0.95702
1992,17-29 y.,Primary Level,No,0.86688,116,116,0.80479,0.92897
1992,17-29 y.,Lower Secondary Level,Yes,0.12068,107,929,0.09972,0.14164
1992,17-29 y.,Lower Secondary Level,No,0.87932,822,929,0.85836,0.90028
1992,17-29 y.,Upper Secondary Level,Yes,0.11879,209,1760,0.10367,0.13391
1992,17-29 y.,Upper Secondary Level,No,0.88121,1551,1760,0.86609,0.89633
1992,17-29 y.,Post-secondary Non-tertiary Level,No,0.90088,158,158,0.85414,0.94762
1992,17-29 y.,First Stage of Tertiary Education,No,0.95222,97,97,0.90955,0.99489
1992,17-29 y.,Second Stage of Tertiary Education,No,0.90514,153,153,0.85856,0.95172
1992,30-45 y.,No answer / don't know,No,0.88246,38,38,0.77869,0.98624
1992,30-45 y.,Primary Level,No,0.91445,173,173,0.87265,0.95625
1992,30-45 y.,Lower Secondary Level,Yes,0.12435,58,486,0.09499,0.15372
1992,30-45 y.,Lower Secondary Level,No,0.87565,428,486,0.84628,0.90501
1992,30-45 y.,Upper Secondary Level,Yes,0.09954,216,2260,0.08719,0.11188
1992,30-45 y.,Upper Secondary Level,No,0.90046,2044,2260,0.88812,0.91281
1992,30-45 y.,Post-secondary Non-tertiary Level,No,0.88067,117,117,0.82167,0.93966
1992,30-45 y.,First Stage of Tertiary Education,No,0.90141,281,281,0.86650,0.93633
1992,30-45 y.,Second Stage of Tertiary Education,Yes,0.07701,64,825,0.05881,0.09522
1992,30-45 y.,Second Stage of Tertiary Education,No,0.92299,761,825,0.90478,0.94119
1992,46-65 y.,Primary Level,No,0.92654,249,249,0.89407,0.95901
1992,46-65 y.,Lower Secondary Level,Yes,0.09894,91,885,0.07926,0.11862
1992,46-65 y.,Lower Secondary Level,No,0.90106,794,885,0.88138,0.92074
1992,46-65 y.,Upper Secondary Level,Yes,0.10757,204,1966,0.09387,0.12127
1992,46-65 y.,Upper Secondary Level,No,0.89243,1762,1966,0.87873,0.90613
1992,46-65 y.,Post-secondary Non-tertiary Level,No,0.97266,52,52,0.92790,1.01742
1992,46-65 y.,First Stage of Tertiary Education,No,0.88756,226,226,0.84628,0.92884
1992,46-65 y.,Second Stage of Tertiary Education,Yes,0.09181,47,546,0.06757,0.11606
1992,46-65 y.,Second Stage of Tertiary Education,No,0.90819,499,546,0.88394,0.93243
1992,66 and older,Lower Secondary Level,Yes,0.19438,85,471,0.15860,0.23016
1992,66 and older,Lower Secondary Level,No,0.80562,386,471,0.76984,0.84140
1992,66 and older,Upper Secondary Level,Yes,0.20547,140,711,0.17575,0.23519
1992,66 and older,Upper Secondary Level,No,0.79453,571,711,0.76481,0.82425
1992,66 and older,First Stage of Tertiary Education,No,0.76057,72,72,0.66131,0.85983
1992,66 and older,Second Stage of Tertiary Education,No,0.77857,84,84,0.68924,0.86790
1994,17-29 y.,No answer / don't know,No,0.89901,117,117,0.84418,0.95385
1994,17-29 y.,Pre-primary Level,No,0.94357,224,224,0.91329,0.97386
1994,17-29 y.,Primary Level,No,0.85417,89,89,0.78043,0.92791
1994,17-29 y.,Lower Secondary Level,Yes,0.11412,87,770,0.09165,0.13659
1994,17-29 y.,Lower Secondary Level,No,0.88588,683,770,0.86341,0.90835
1994,17-29 y.,Upper Secondary Level,Yes,0.10791,168,1652,0.09295,0.12288
1994,17-29 y.,Upper Secondary Level,No,0.89209,1484,1652,0.87712,0.90705
1994,17-29 y.,Post-secondary Non-tertiary Level,No,0.92822,154,154,0.88732,0.96912
1994,17-29 y.,First Stage of Tertiary Education,No,0.93211,92,92,0.88042,0.98379
1994,17-29 y.,Second Stage of Tertiary Education,No,0.89590,148,148,0.84653,0.94527
1994,30-45 y.,No answer / don't know,No,0.96274,46,46,0.90741,1.01808
1994,30-45 y.,Primary Level,No,0.88761,139,139,0.83491,0.94031
1994,30-45 y.,Lower Secondary Level,Yes,0.11354,52,437,0.08376,0.14332
1994,30-45 y.,Lower Secondary Level,No,0.88646,385,437,0.85668,0.91624
1994,30-45 y.,Upper Secondary Level,Yes,0.09614,211,2226,0.08389,0.10838
1994,30-45 y.,Upper Secondary Level,No,0.90386,2015,2226,0.89162,0.91611
1994,30-45 y.,Post-secondary Non-tertiary Level,No,0.88227,132,132,0.82708,0.93746
1994,30-45 y.,First Stage of Tertiary Education,No,0.89397,281,281,0.85791,0.93004
1994,30-45 y.,Second Stage of Tertiary Education,Yes,0.07507,64,809,0.05690,0.09324
1994,30-45 y.,Second Stage of Tertiary Education,No,0.92493,745,809,0.90676,0.94310
1994,46-65 y.,Primary Level,Yes,0.13878,36,264,0.09699,0.18056
1994,46-65 y.,Primary Level,No,0.86122,228,264,0.81944,0.90301
1994,46-65 y.,Lower Secondary Level,Yes,0.11391,86,808,0.09199,0.13583
1994,46-65 y.,Lower Secondary Level,No,0.88609,722,808,0.86417,0.90801
1994,46-65 y.,Upper Secondary Level,Yes,0.12907,231,1935,0.11413,0.14401
1994,46-65 y.,Upper Secondary Level,No,0.87093,1704,1935,0.85599,0.88587
1994,46-65 y.,Post-secondary Non-tertiary Level,No,0.86614,37,37,0.75491,0.97737
1994,46-65 y.,First Stage of Tertiary Education,No,0.88031,218,218,0.83712,0.92350
1994,46-65 y.,Second Stage of Tertiary Education,Yes,0.09883,52,547,0.07380,0.12386
1994,46-65 y.,Second Stage of Tertiary Education,No,0.90117,495,547,0.87614,0.92620
1994,66 and older,Lower Secondary Level,Yes,0.20040,91,467,0.16406,0.23675
1994,66 and older,Lower Secondary Level,No,0.79960,376,467,0.76325,0.83594
1994,66 and older,Upper Secondary Level,Yes,0.24681,161,737,0.21566,0.27796
1994,66 and older,Upper Secondary Level,No,0.75319,576,737,0.72204,0.78434
1994,66 and older,First Stage of Tertiary Education,No,0.68399,60,60,0.56535,0.80262
1994,66 and older,Second Stage of Tertiary Education,No,0.85093,111,111,0.78437,0.91749
1995,17-29 y.,No answer / don't know,No,0.90299,139,139,0.85361,0.95237
1995,17-29 y.,Pre-primary Level,No,0.93175,264,264,0.90127,0.96222
1995,17-29 y.,Primary Level,No,0.88206,69,69,0.80540,0.95872
1995,17-29 y.,Lower Secondary Level,Yes,0.12014,92,760,0.09701,0.14327
1995,17-29 y.,Lower Secondary Level,No,0.87986,668,760,0.85673,0.90299
1995,17-29 y.,Upper Secondary Level,Yes,0.11510,180,1606,0.09949,0.13072
1995,17-29 y.,Upper Secondary Level,No,0.88490,1426,1606,0.86928,0.90051
1995,17-29 y.,Post-secondary Non-tertiary Level,No,0.89747,156,156,0.84971,0.94522
1995,17-29 y.,First Stage of Tertiary Education,No,0.88849,94,94,0.82452,0.95246
1995,17-29 y.,Second Stage of Tertiary Education,No,0.93841,161,161,0.90116,0.97566
1995,30-45 y.,No answer / don't know,No,0.91850,54,54,0.84484,0.99216
1995,30-45 y.,Primary Level,No,0.88692,132,132,0.83269,0.94115
1995,30-45 y.,Lower Secondary Level,Yes,0.14021,56,461,0.10848,0.17194
1995,30-45 y.,Lower Secondary Level,No,0.85979,405,461,0.82806,0.89152
1995,30-45 y.,Upper Secondary Level,Yes,0.09695,247,2378,0.08505,0.10885
1995,30-45 y.,Upper Secondary Level,No,0.90305,2131,2378,0.89115,0.91495
1995,30-45 y.,Post-secondary Non-tertiary Level,No,0.86990,182,182,0.82088,0.91891
