"hlf0094","year","bula_h","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr guenstig","1995","Hessen","4","4","","",""
"Sehr guenstig","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Rheinland-Pfalz,Saarland","2","27","","",""
"Sehr guenstig","1995","Rheinland-Pfalz,Saarland","3","11","","",""
"Sehr guenstig","1995","Rheinland-Pfalz,Saarland","4","16","","",""
"Sehr guenstig","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Baden-Wuerttemberg","2","57","0.197881602680763","0.150879693580153","0.244883511781373"
"Sehr guenstig","1995","Baden-Wuerttemberg","3","22","","",""
"Sehr guenstig","1995","Baden-Wuerttemberg","4","17","","",""
"Sehr guenstig","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Bayern","2","41","0.149739231006497","0.107019888107378","0.192458573905617"
"Sehr guenstig","1995","Bayern","3","26","","",""
"Sehr guenstig","1995","Bayern","4","23","","",""
"Sehr guenstig","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Saarland","2","","","",""
"Sehr guenstig","1995","Saarland","3","","","",""
"Sehr guenstig","1995","Saarland","4","","","",""
"Sehr guenstig","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Berlin","2","","","",""
"Sehr guenstig","1995","Berlin","3","","","",""
"Sehr guenstig","1995","Berlin","4","","","",""
"Sehr guenstig","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Brandenburg","2","7","","",""
"Sehr guenstig","1995","Brandenburg","3","6","","",""
"Sehr guenstig","1995","Brandenburg","4","","","",""
"Sehr guenstig","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Mecklenburg-Vorpommern","2","4","","",""
"Sehr guenstig","1995","Mecklenburg-Vorpommern","3","","","",""
"Sehr guenstig","1995","Mecklenburg-Vorpommern","4","","","",""
"Sehr guenstig","1995","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Sachsen","2","14","","",""
"Sehr guenstig","1995","Sachsen","3","9","","",""
"Sehr guenstig","1995","Sachsen","4","3","","",""
"Sehr guenstig","1995","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Sachsen-Anhalt","2","5","","",""
"Sehr guenstig","1995","Sachsen-Anhalt","3","8","","",""
"Sehr guenstig","1995","Sachsen-Anhalt","4","10","","",""
"Sehr guenstig","1995","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"Sehr guenstig","1995","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"Sehr guenstig","1995","Thueringen","2","12","","",""
"Sehr guenstig","1995","Thueringen","3","2","","",""
"Sehr guenstig","1995","Thueringen","4","3","","",""
"Sehr guenstig","1995","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Schleswig-Holstein","2","12","","",""
"Guenstig","1995","Schleswig-Holstein","3","22","","",""
"Guenstig","1995","Schleswig-Holstein","4","13","","",""
"Guenstig","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Hamburg","2","1","","",""
"Guenstig","1995","Hamburg","3","7","","",""
"Guenstig","1995","Hamburg","4","","","",""
"Guenstig","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Niedersachsen","2","54","0.265328513067104","0.199537951484323","0.331119074649885"
"Guenstig","1995","Niedersachsen","3","48","0.412241768068854","0.328585665633482","0.495897870504226"
"Guenstig","1995","Niedersachsen","4","22","","",""
"Guenstig","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Bremen","2","","","",""
"Guenstig","1995","Bremen","3","","","",""
"Guenstig","1995","Bremen","4","","","",""
"Guenstig","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Nordrhein-Westfalen","2","102","0.402868144232826","0.348269252369048","0.457467036096603"
"Guenstig","1995","Nordrhein-Westfalen","3","61","0.23483742911707","0.184368514713672","0.285306343520467"
"Guenstig","1995","Nordrhein-Westfalen","4","46","0.199283148187838","0.14810142137867","0.250464874997007"
"Guenstig","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Hessen","2","43","0.499634084820123","0.402122258128139","0.597145911512107"
"Guenstig","1995","Hessen","3","28","","",""
"Guenstig","1995","Hessen","4","22","","",""
"Guenstig","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Rheinland-Pfalz,Saarland","2","51","0.329387179502332","0.254423846293194","0.40435051271147"
"Guenstig","1995","Rheinland-Pfalz,Saarland","3","37","0.337017309521061","0.242949848446719","0.431084770595403"
"Guenstig","1995","Rheinland-Pfalz,Saarland","4","23","","",""
"Guenstig","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Baden-Wuerttemberg","2","97","0.367449280324691","0.310571855167877","0.424326705481505"
"Guenstig","1995","Baden-Wuerttemberg","3","66","0.327637026829067","0.263543692802825","0.391730360855309"
"Guenstig","1995","Baden-Wuerttemberg","4","58","0.362872293811896","0.289057325193047","0.436687262430745"
"Guenstig","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Bayern","2","104","0.38937528436348","0.330996899678706","0.447753669048254"
"Guenstig","1995","Bayern","3","81","0.333613379053255","0.272141181972786","0.395085576133724"
"Guenstig","1995","Bayern","4","36","0.26880202170624","0.194292394036235","0.343311649376244"
"Guenstig","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Saarland","2","","","",""
"Guenstig","1995","Saarland","3","","","",""
"Guenstig","1995","Saarland","4","","","",""
"Guenstig","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Berlin","2","8","","",""
"Guenstig","1995","Berlin","3","9","","",""
"Guenstig","1995","Berlin","4","8","","",""
"Guenstig","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Brandenburg","2","31","0.421987051221834","0.323703561125167","0.520270541318501"
"Guenstig","1995","Brandenburg","3","22","","",""
"Guenstig","1995","Brandenburg","4","6","","",""
"Guenstig","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Mecklenburg-Vorpommern","2","19","","",""
"Guenstig","1995","Mecklenburg-Vorpommern","3","31","0.830171077333246","0.715237800394833","0.945104354271659"
"Guenstig","1995","Mecklenburg-Vorpommern","4","","","",""
"Guenstig","1995","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Sachsen","2","29","","",""
"Guenstig","1995","Sachsen","3","18","","",""
"Guenstig","1995","Sachsen","4","5","","",""
"Guenstig","1995","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Sachsen-Anhalt","2","31","0.205335596653297","0.138422970507327","0.272248222799267"
"Guenstig","1995","Sachsen-Anhalt","3","10","","",""
"Guenstig","1995","Sachsen-Anhalt","4","3","","",""
"Guenstig","1995","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"Guenstig","1995","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"Guenstig","1995","Thueringen","2","39","0.288661773278707","0.211359220314691","0.365964326242722"
"Guenstig","1995","Thueringen","3","18","","",""
"Guenstig","1995","Thueringen","4","","","",""
"Guenstig","1995","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Schleswig-Holstein","2","20","","",""
"Angemessen","1995","Schleswig-Holstein","3","24","","",""
"Angemessen","1995","Schleswig-Holstein","4","7","","",""
"Angemessen","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Hamburg","2","1","","",""
"Angemessen","1995","Hamburg","3","","","",""
"Angemessen","1995","Hamburg","4","1","","",""
"Angemessen","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Niedersachsen","2","67","0.447705274091393","0.373607255880297","0.521803292302489"
"Angemessen","1995","Niedersachsen","3","41","0.223654230014848","0.152837083360475","0.294471376669221"
"Angemessen","1995","Niedersachsen","4","44","0.381655964867734","0.291283169340052","0.472028760395417"
"Angemessen","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Bremen","2","9","","",""
"Angemessen","1995","Bremen","3","","","",""
"Angemessen","1995","Bremen","4","","","",""
"Angemessen","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Nordrhein-Westfalen","2","125","0.387433322323982","0.333202971534359","0.441663673113605"
"Angemessen","1995","Nordrhein-Westfalen","3","132","0.496655942768489","0.437127607637493","0.556184277899486"
"Angemessen","1995","Nordrhein-Westfalen","4","132","0.559710522046929","0.496105552154606","0.623315491939253"
"Angemessen","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Hessen","2","53","0.439071925982072","0.34228675376276","0.535857098201385"
"Angemessen","1995","Hessen","3","45","0.521718265256102","0.42281856579839","0.620617964713814"
"Angemessen","1995","Hessen","4","27","","",""
"Angemessen","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Rheinland-Pfalz,Saarland","2","62","0.398928282160507","0.320824839428405","0.477031724892608"
"Angemessen","1995","Rheinland-Pfalz,Saarland","3","47","0.544602919229564","0.445497517220521","0.643708321238608"
"Angemessen","1995","Rheinland-Pfalz,Saarland","4","23","","",""
"Angemessen","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Baden-Wuerttemberg","2","100","0.350737568638276","0.294439327045053","0.407035810231499"
"Angemessen","1995","Baden-Wuerttemberg","3","81","0.36360398381601","0.297915003039955","0.429292964592065"
"Angemessen","1995","Baden-Wuerttemberg","4","67","0.434903897709382","0.358799089702452","0.511008705716311"
"Angemessen","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Bayern","2","105","0.40685100936652","0.34803706712089","0.46566495161215"
"Angemessen","1995","Bayern","3","91","0.443849302067598","0.379074232902628","0.508624371232568"
"Angemessen","1995","Bayern","4","61","0.433185378910882","0.349906273005913","0.51646448481585"
"Angemessen","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Saarland","2","","","",""
"Angemessen","1995","Saarland","3","","","",""
"Angemessen","1995","Saarland","4","","","",""
"Angemessen","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Berlin","2","1","","",""
"Angemessen","1995","Berlin","3","","","",""
"Angemessen","1995","Berlin","4","6","","",""
"Angemessen","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Brandenburg","2","50","0.407247949310907","0.309472862659529","0.505023035962284"
"Angemessen","1995","Brandenburg","3","16","","",""
"Angemessen","1995","Brandenburg","4","7","","",""
"Angemessen","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Mecklenburg-Vorpommern","2","20","","",""
"Angemessen","1995","Mecklenburg-Vorpommern","3","10","","",""
"Angemessen","1995","Mecklenburg-Vorpommern","4","7","","",""
"Angemessen","1995","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Sachsen","2","71","0.501369398776383","0.417948104555626","0.58479069299714"
"Angemessen","1995","Sachsen","3","39","0.443459672645798","0.332496692009956","0.55442265328164"
"Angemessen","1995","Sachsen","4","4","","",""
"Angemessen","1995","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Sachsen-Anhalt","2","69","0.534618090075422","0.451993247122951","0.617242933027893"
"Angemessen","1995","Sachsen-Anhalt","3","17","","",""
"Angemessen","1995","Sachsen-Anhalt","4","","","",""
"Angemessen","1995","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"Angemessen","1995","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"Angemessen","1995","Thueringen","2","62","0.461129568173027","0.376091225447628","0.546167910898425"
"Angemessen","1995","Thueringen","3","13","","",""
"Angemessen","1995","Thueringen","4","14","","",""
"Angemessen","1995","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Schleswig-Holstein","2","4","","",""
"Etwas zu hoch","1995","Schleswig-Holstein","3","","","",""
"Etwas zu hoch","1995","Schleswig-Holstein","4","","","",""
"Etwas zu hoch","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Hamburg","2","","","",""
"Etwas zu hoch","1995","Hamburg","3","","","",""
"Etwas zu hoch","1995","Hamburg","4","","","",""
"Etwas zu hoch","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Niedersachsen","2","13","","",""
"Etwas zu hoch","1995","Niedersachsen","3","22","","",""
"Etwas zu hoch","1995","Niedersachsen","4","8","","",""
"Etwas zu hoch","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Bremen","2","3","","",""
"Etwas zu hoch","1995","Bremen","3","","","",""
"Etwas zu hoch","1995","Bremen","4","2","","",""
"Etwas zu hoch","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Nordrhein-Westfalen","2","19","","",""
"Etwas zu hoch","1995","Nordrhein-Westfalen","3","16","","",""
"Etwas zu hoch","1995","Nordrhein-Westfalen","4","18","","",""
"Etwas zu hoch","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Hessen","2","1","","",""
"Etwas zu hoch","1995","Hessen","3","15","","",""
"Etwas zu hoch","1995","Hessen","4","4","","",""
"Etwas zu hoch","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Rheinland-Pfalz,Saarland","2","11","","",""
"Etwas zu hoch","1995","Rheinland-Pfalz,Saarland","3","2","","",""
"Etwas zu hoch","1995","Rheinland-Pfalz,Saarland","4","13","","",""
"Etwas zu hoch","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Baden-Wuerttemberg","2","22","","",""
"Etwas zu hoch","1995","Baden-Wuerttemberg","3","31","0.165186726495331","0.114476362590449","0.215897090400214"
"Etwas zu hoch","1995","Baden-Wuerttemberg","4","16","","",""
"Etwas zu hoch","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Bayern","2","13","","",""
"Etwas zu hoch","1995","Bayern","3","20","","",""
"Etwas zu hoch","1995","Bayern","4","16","","",""
"Etwas zu hoch","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Saarland","2","","","",""
"Etwas zu hoch","1995","Saarland","3","","","",""
"Etwas zu hoch","1995","Saarland","4","","","",""
"Etwas zu hoch","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Berlin","2","3","","",""
"Etwas zu hoch","1995","Berlin","3","6","","",""
"Etwas zu hoch","1995","Berlin","4","2","","",""
"Etwas zu hoch","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Brandenburg","2","6","","",""
"Etwas zu hoch","1995","Brandenburg","3","2","","",""
"Etwas zu hoch","1995","Brandenburg","4","","","",""
"Etwas zu hoch","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Mecklenburg-Vorpommern","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Mecklenburg-Vorpommern","2","6","","",""
"Etwas zu hoch","1995","Mecklenburg-Vorpommern","3","","","",""
"Etwas zu hoch","1995","Mecklenburg-Vorpommern","4","","","",""
"Etwas zu hoch","1995","Mecklenburg-Vorpommern","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Sachsen","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Sachsen","2","19","","",""
"Etwas zu hoch","1995","Sachsen","3","11","","",""
"Etwas zu hoch","1995","Sachsen","4","3","","",""
"Etwas zu hoch","1995","Sachsen","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Sachsen-Anhalt","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Sachsen-Anhalt","2","24","","",""
"Etwas zu hoch","1995","Sachsen-Anhalt","3","6","","",""
"Etwas zu hoch","1995","Sachsen-Anhalt","4","5","","",""
"Etwas zu hoch","1995","Sachsen-Anhalt","5 Einkommensstärkstes Quintil","","","",""
"Etwas zu hoch","1995","Thueringen","1 Einkommensschwächstes Quintil","","","",""
"Etwas zu hoch","1995","Thueringen","2","19","","",""
"Etwas zu hoch","1995","Thueringen","3","9","","",""
"Etwas zu hoch","1995","Thueringen","4","2","","",""
"Etwas zu hoch","1995","Thueringen","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Schleswig-Holstein","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Schleswig-Holstein","2","","","",""
"Viel zu hoch","1995","Schleswig-Holstein","3","","","",""
"Viel zu hoch","1995","Schleswig-Holstein","4","","","",""
"Viel zu hoch","1995","Schleswig-Holstein","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Hamburg","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Hamburg","2","","","",""
"Viel zu hoch","1995","Hamburg","3","","","",""
"Viel zu hoch","1995","Hamburg","4","","","",""
"Viel zu hoch","1995","Hamburg","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Niedersachsen","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Niedersachsen","2","","","",""
"Viel zu hoch","1995","Niedersachsen","3","","","",""
"Viel zu hoch","1995","Niedersachsen","4","3","","",""
"Viel zu hoch","1995","Niedersachsen","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Bremen","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Bremen","2","","","",""
"Viel zu hoch","1995","Bremen","3","","","",""
"Viel zu hoch","1995","Bremen","4","","","",""
"Viel zu hoch","1995","Bremen","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Nordrhein-Westfalen","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Nordrhein-Westfalen","2","","","",""
"Viel zu hoch","1995","Nordrhein-Westfalen","3","13","","",""
"Viel zu hoch","1995","Nordrhein-Westfalen","4","5","","",""
"Viel zu hoch","1995","Nordrhein-Westfalen","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Hessen","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Hessen","2","","","",""
"Viel zu hoch","1995","Hessen","3","","","",""
"Viel zu hoch","1995","Hessen","4","3","","",""
"Viel zu hoch","1995","Hessen","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Rheinland-Pfalz,Saarland","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Rheinland-Pfalz,Saarland","2","","","",""
"Viel zu hoch","1995","Rheinland-Pfalz,Saarland","3","","","",""
"Viel zu hoch","1995","Rheinland-Pfalz,Saarland","4","","","",""
"Viel zu hoch","1995","Rheinland-Pfalz,Saarland","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Baden-Wuerttemberg","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Baden-Wuerttemberg","2","","","",""
"Viel zu hoch","1995","Baden-Wuerttemberg","3","6","","",""
"Viel zu hoch","1995","Baden-Wuerttemberg","4","5","","",""
"Viel zu hoch","1995","Baden-Wuerttemberg","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Bayern","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Bayern","2","5","","",""
"Viel zu hoch","1995","Bayern","3","8","","",""
"Viel zu hoch","1995","Bayern","4","","","",""
"Viel zu hoch","1995","Bayern","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Saarland","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Saarland","2","","","",""
"Viel zu hoch","1995","Saarland","3","","","",""
"Viel zu hoch","1995","Saarland","4","","","",""
"Viel zu hoch","1995","Saarland","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Berlin","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Berlin","2","","","",""
"Viel zu hoch","1995","Berlin","3","","","",""
"Viel zu hoch","1995","Berlin","4","","","",""
"Viel zu hoch","1995","Berlin","5 Einkommensstärkstes Quintil","","","",""
"Viel zu hoch","1995","Brandenburg","1 Einkommensschwächstes Quintil","","","",""
"Viel zu hoch","1995","Brandenburg","2","3","","",""
"Viel zu hoch","1995","Brandenburg","3","","","",""
"Viel zu hoch","1995","Brandenburg","4","","","",""
"Viel zu hoch","1995","Brandenburg","5 Einkommensstärkstes Quintil","","","",""
