year,hhtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2013,Single parent,,,,,,,,,,,,
2013,Couple with children,,,,,,,,,,,,
2013,Multi-generational household,,,,,,,,,,,,
2013,Other Combinations,,,,,,,,,,,,
2014,Single-person household,,,,,,,,,,,,
2014,Couple without children,,,,,,,,,,,,
2014,Single parent,,,,,,,,,,,,
2014,Couple with children,,,,,,,,,,,,
2014,Multi-generational household,,,,,,,,,,,,
2014,Other Combinations,,,,,,,,,,,,
2015,Single-person household,,,,,,,,,,,,
2015,Couple without children,,,,,,,,,,,,
2015,Single parent,,,,,,,,,,,,
2015,Couple with children,,,,,,,,,,,,
2015,Multi-generational household,,,,,,,,,,,,
2015,Other Combinations,,,,,,,,,,,,
2016,Single-person household,,,,,,,,,,,,
2016,Couple without children,,,,,,,,,,,,
2016,Single parent,,,,,,,,,,,,
2016,Couple with children,,,,,,,,,,,,
2016,Multi-generational household,,,,,,,,,,,,
2016,Other Combinations,,,,,,,,,,,,
2017,Single-person household,2695,3.30757,3.19938,3.41577,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,3.00000
2017,Couple without children,2013,3.09202,2.97753,3.20652,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,2.00000,3.00000
2017,Single parent,1108,4.54622,4.36297,4.72947,2.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2017,Couple with children,2300,3.67651,3.56197,3.79104,1.00000,4.00000,5.00000,0.00000,10.00000,4.00000,3.00000,4.00000
2017,Multi-generational household,55,4.27126,3.34723,5.19530,1.00000,5.00000,7.00000,0.00000,10.00000,5.00000,2.00000,5.00000
2017,Other Combinations,150,4.16768,3.68413,4.65123,1.00000,5.00000,6.00000,0.00000,10.00000,5.00000,3.00000,5.00000
2018,Single-person household,3209,3.46066,3.36267,3.55865,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,4.00000
2018,Couple without children,2067,3.13411,3.02163,3.24658,0.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,3.00000
2018,Single parent,1130,4.56202,4.38881,4.73523,2.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2018,Couple with children,3287,3.85999,3.76261,3.95736,1.00000,4.00000,6.00000,0.00000,10.00000,4.00000,4.00000,4.00000
2018,Multi-generational household,95,4.90068,4.28844,5.51293,3.00000,5.00000,8.00000,0.00000,10.00000,5.00000,4.00000,7.00000
2018,Other Combinations,280,3.96683,3.63593,4.29772,1.00000,5.00000,6.00000,0.00000,10.00000,5.00000,3.00000,5.00000
2019,Single-person household,,,,,,,,,,,,
2019,Couple without children,,,,,,,,,,,,
2019,Single parent,,,,,,,,,,,,
2019,Couple with children,,,,,,,,,,,,
2019,Multi-generational household,,,,,,,,,,,,
2019,Other Combinations,,,,,,,,,,,,
2020,Single-person household,3382,3.50312,3.40765,3.59859,1.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,4.00000
2020,Couple without children,2305,3.24993,3.14444,3.35541,1.00000,3.00000,5.00000,0.00000,10.00000,3.00000,3.00000,3.00000
2020,Single parent,947,4.59564,4.40659,4.78470,2.00000,5.00000,7.00000,0.00000,10.00000,5.00000,5.00000,5.00000
2020,Couple with children,2147,3.63771,3.52275,3.75267,1.00000,4.00000,5.00000,0.00000,10.00000,4.00000,3.00000,4.00000
2020,Multi-generational household,59,4.52033,3.93998,5.10068,3.00000,5.00000,6.00000,0.00000,10.00000,5.00000,4.00000,5.00000
2020,Other Combinations,191,3.88833,3.49363,4.28303,1.00000,4.43532,6.41183,0.00000,10.00000,4.00000,3.00000,5.00000
2021,Single-person household,,,,,,,,,,,,
2021,Couple without children,,,,,,,,,,,,
2021,Single parent,,,,,,,,,,,,
2021,Couple with children,,,,,,,,,,,,
2021,Multi-generational household,,,,,,,,,,,,
2021,Other Combinations,,,,,,,,,,,,
