year,sex,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,female,Never,0.50503,5331,20404,0.50487,0.50520
2008,male,At least once per week,0.07017,680,19234,0.07008,0.07026
2008,male,At least once per month,0.06673,677,19234,0.06664,0.06681
2008,male,Seldom,0.29387,2722,19234,0.29372,0.29403
2008,male,Never,0.56923,5093,19234,0.56906,0.56940
2008,female,At least once per week,0.09368,894,19234,0.09359,0.09378
2008,female,At least once per month,0.10414,1068,19234,0.10404,0.10424
2008,female,Seldom,0.30176,3084,19234,0.30161,0.30192
2008,female,Never,0.50042,5016,19234,0.50025,0.50058
2009,male,At least once per week,0.06503,606,17925,0.06494,0.06511
2009,male,At least once per month,0.06705,638,17925,0.06696,0.06713
2009,male,Seldom,0.28351,2432,17925,0.28336,0.28367
2009,male,Never,0.58441,4885,17925,0.58424,0.58458
2009,female,At least once per week,0.08736,797,17925,0.08726,0.08745
2009,female,At least once per month,0.10079,951,17925,0.10069,0.10089
2009,female,Seldom,0.29850,2854,17925,0.29835,0.29865
2009,female,Never,0.51335,4762,17925,0.51319,0.51352
2011,male,At least once per week,0.06952,991,28293,0.06943,0.06961
2011,male,At least once per month,0.06852,1053,28293,0.06843,0.06861
2011,male,Seldom,0.26497,3409,28293,0.26482,0.26512
2011,male,Never,0.59699,7352,28293,0.59682,0.59716
2011,female,At least once per week,0.09066,1430,28293,0.09056,0.09076
2011,female,At least once per month,0.10234,1682,28293,0.10224,0.10244
2011,female,Seldom,0.27621,4207,28293,0.27606,0.27636
2011,female,Never,0.53079,8169,28293,0.53062,0.53095
2013,male,At least once per week,0.07129,900,25381,0.07120,0.07139
2013,male,At least once per month,0.06735,917,25381,0.06726,0.06744
2013,male,Seldom,0.26369,3067,25381,0.26353,0.26385
2013,male,Never,0.59766,6591,25381,0.59749,0.59784
2013,female,At least once per week,0.09234,1236,25381,0.09224,0.09244
2013,female,At least once per month,0.09864,1446,25381,0.09854,0.09874
2013,female,Seldom,0.27174,3820,25381,0.27158,0.27189
2013,female,Never,0.53728,7404,25381,0.53711,0.53746
2015,male,At least once per week,0.06729,926,26697,0.06720,0.06737
2015,male,At least once per month,0.06350,982,26697,0.06341,0.06358
2015,male,Seldom,0.25029,3062,26697,0.25014,0.25044
2015,male,Never,0.61893,7299,26697,0.61876,0.61909
2015,female,At least once per week,0.08705,1188,26697,0.08696,0.08714
2015,female,At least once per month,0.09064,1474,26697,0.09054,0.09073
2015,female,Seldom,0.26198,3808,26697,0.26183,0.26212
2015,female,Never,0.56034,7958,26697,0.56017,0.56050
2017,male,At least once per week,0.06808,1417,30405,0.06799,0.06816
2017,male,At least once per month,0.06540,1096,30405,0.06532,0.06549
2017,male,Seldom,0.23395,3263,30405,0.23381,0.23410
2017,male,Never,0.63256,8695,30405,0.63240,0.63273
2017,female,At least once per week,0.08663,1302,30405,0.08653,0.08672
2017,female,At least once per month,0.09899,1539,30405,0.09889,0.09909
2017,female,Seldom,0.25191,3913,30405,0.25176,0.25205
2017,female,Never,0.56247,9180,30405,0.56231,0.56264
2018,male,At least once per week,0.20816,392,3166,0.20671,0.20961
2018,male,At least once per month,0.11481,183,3166,0.11367,0.11595
2018,male,Seldom,0.17344,336,3166,0.17209,0.17479
2018,male,Never,0.50359,969,3166,0.50180,0.50538
2018,female,At least once per week,0.12050,136,3166,0.11887,0.12213
2018,female,At least once per month,0.08436,105,3166,0.08297,0.08576
2018,female,Seldom,0.17172,232,3166,0.16983,0.17361
2018,female,Never,0.62342,813,3166,0.62099,0.62585
2019,male,At least once per week,0.06723,1207,28690,0.06714,0.06731
2019,male,At least once per month,0.06503,1060,28690,0.06495,0.06512
2019,male,Seldom,0.24647,3505,28690,0.24632,0.24661
2019,male,Never,0.62127,8286,28690,0.62111,0.62144
2019,female,At least once per week,0.07918,1068,28690,0.07909,0.07927
2019,female,At least once per month,0.08193,1269,28690,0.08184,0.08202
2019,female,Seldom,0.26447,3865,28690,0.26432,0.26462
2019,female,Never,0.57442,8430,28690,0.57425,0.57458
