year,hhtyp,quintil_oecd_hh,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Couple without children,5th Quintile,No,0.95160,1349,1416,0.94042,0.96278
2011,Single parent,1st Quintile,Yes,0.12360,43,323,0.08765,0.15955
2011,Single parent,1st Quintile,No,0.87640,280,323,0.84045,0.91235
2011,Single parent,2nd Quintile,No,0.88041,149,149,0.82813,0.93269
2011,Single parent,3rd Quintile,No,0.90645,124,124,0.85499,0.95791
2011,Single parent,4th Quintile,No,0.93747,81,81,0.88442,0.99053
2011,Single parent,5th Quintile,No,0.87543,51,51,0.78389,0.96696
2011,Couple with children,1st Quintile,Yes,0.14565,69,405,0.11125,0.18005
2011,Couple with children,1st Quintile,No,0.85435,336,405,0.81995,0.88875
2011,Couple with children,2nd Quintile,Yes,0.13868,97,584,0.11062,0.16673
2011,Couple with children,2nd Quintile,No,0.86132,487,584,0.83327,0.88938
2011,Couple with children,3rd Quintile,Yes,0.19189,155,734,0.16338,0.22039
2011,Couple with children,3rd Quintile,No,0.80811,579,734,0.77961,0.83662
2011,Couple with children,4th Quintile,Yes,0.17752,154,800,0.15102,0.20401
2011,Couple with children,4th Quintile,No,0.82248,646,800,0.79599,0.84898
2011,Couple with children,5th Quintile,Yes,0.15152,112,717,0.12526,0.17779
2011,Couple with children,5th Quintile,No,0.84848,605,717,0.82221,0.87474
2016,Single-person household,1st Quintile,No,0.99122,978,978,0.98537,0.99707
2016,Single-person household,2nd Quintile,No,0.98863,718,718,0.98087,0.99639
2016,Single-person household,3rd Quintile,No,0.98367,623,623,0.97370,0.99363
2016,Single-person household,4th Quintile,No,0.98802,542,542,0.97885,0.99719
2016,Single-person household,5th Quintile,No,0.99587,476,476,0.99011,1.00164
2016,Couple without children,1st Quintile,No,0.98750,424,424,0.97691,0.99809
2016,Couple without children,2nd Quintile,No,0.97673,692,692,0.96549,0.98797
2016,Couple without children,3rd Quintile,No,0.96676,741,741,0.95385,0.97968
2016,Couple without children,4th Quintile,No,0.98407,910,910,0.97593,0.99221
2016,Couple without children,5th Quintile,No,0.98360,1246,1246,0.97654,0.99066
2016,Single parent,1st Quintile,Yes,0.06274,34,653,0.04413,0.08136
2016,Single parent,1st Quintile,No,0.93726,619,653,0.91864,0.95587
2016,Single parent,2nd Quintile,No,0.95649,389,389,0.93619,0.97679
2016,Single parent,3rd Quintile,No,0.95518,223,223,0.92796,0.98240
2016,Single parent,4th Quintile,No,0.96039,145,145,0.92853,0.99224
2016,Single parent,5th Quintile,No,0.96290,81,81,0.92148,1.00432
2016,Couple with children,1st Quintile,Yes,0.04012,45,926,0.02747,0.05277
2016,Couple with children,1st Quintile,No,0.95988,881,926,0.94723,0.97253
2016,Couple with children,2nd Quintile,Yes,0.05527,61,1112,0.04183,0.06871
2016,Couple with children,2nd Quintile,No,0.94473,1051,1112,0.93129,0.95817
2016,Couple with children,3rd Quintile,Yes,0.03449,47,1057,0.02348,0.04550
2016,Couple with children,3rd Quintile,No,0.96551,1010,1057,0.95450,0.97652
2016,Couple with children,4th Quintile,Yes,0.05384,49,993,0.03979,0.06789
2016,Couple with children,4th Quintile,No,0.94616,944,993,0.93211,0.96021
2016,Couple with children,5th Quintile,Yes,0.04419,35,901,0.03076,0.05762
2016,Couple with children,5th Quintile,No,0.95581,866,901,0.94238,0.96924
2016,Multi-generational household,2nd Quintile,No,0.94263,34,34,0.86329,1.02198
2016,Other Combinations,1st Quintile,No,0.94887,58,58,0.89169,1.00605
2016,Other Combinations,3rd Quintile,No,0.99343,38,38,0.96739,1.01947
2021,Single-person household,1st Quintile,No,0.98978,924,924,0.98329,0.99627
2021,Single-person household,2nd Quintile,No,0.97806,615,615,0.96647,0.98964
2021,Single-person household,3rd Quintile,No,0.99149,548,548,0.98379,0.99919
2021,Single-person household,4th Quintile,No,0.99234,504,504,0.98472,0.99996
2021,Single-person household,5th Quintile,No,0.99286,538,538,0.98574,0.99998
2021,Couple without children,1st Quintile,No,0.98287,330,330,0.96884,0.99689
2021,Couple without children,2nd Quintile,No,0.98348,548,548,0.97280,0.99416
2021,Couple without children,3rd Quintile,No,0.97286,550,550,0.95927,0.98645
2021,Couple without children,4th Quintile,No,0.97132,679,679,0.95876,0.98388
2021,Couple without children,5th Quintile,Yes,0.02770,37,1250,0.01860,0.03680
2021,Couple without children,5th Quintile,No,0.97230,1213,1250,0.96320,0.98140
2021,Single parent,1st Quintile,No,0.96400,262,262,0.94140,0.98660
2021,Single parent,2nd Quintile,No,0.94689,262,262,0.91968,0.97409
2021,Single parent,3rd Quintile,No,0.94340,132,132,0.90383,0.98297
2021,Single parent,4th Quintile,No,0.92092,114,114,0.87117,0.97068
2021,Single parent,5th Quintile,No,0.92114,72,72,0.85845,0.98383
2021,Couple with children,1st Quintile,No,0.96630,389,389,0.94835,0.98426
2021,Couple with children,2nd Quintile,Yes,0.03451,33,631,0.02026,0.04877
2021,Couple with children,2nd Quintile,No,0.96549,598,631,0.95123,0.97974
2021,Couple with children,3rd Quintile,Yes,0.07322,54,688,0.05374,0.09270
2021,Couple with children,3rd Quintile,No,0.92678,634,688,0.90730,0.94626
2021,Couple with children,4th Quintile,Yes,0.09502,51,669,0.07278,0.11726
2021,Couple with children,4th Quintile,No,0.90498,618,669,0.88274,0.92722
2021,Couple with children,5th Quintile,Yes,0.03730,42,769,0.02389,0.05070
2021,Couple with children,5th Quintile,No,0.96270,727,769,0.94930,0.97611
2021,Other Combinations,1st Quintile,No,0.94158,52,52,0.87722,1.00595
2021,Other Combinations,2nd Quintile,No,0.99731,53,53,0.98323,1.01139
2021,Other Combinations,3rd Quintile,No,0.94597,47,47,0.88063,1.01130
2021,Other Combinations,5th Quintile,No,0.87199,50,50,0.77844,0.96554
