year,bula_h,pgisced97,plj0092,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Lower Saxony,Lower Secondary Level,No,0.96196,35,35,0.89765,1.02626
2019,Lower Saxony,Upper Secondary Level,No,0.91972,104,104,0.86725,0.97220
2019,Lower Saxony,Second Stage of Tertiary Education,No,0.94035,67,67,0.88322,0.99749
2019,North Rhine-Westphalia,No answer / don't know,No,0.92019,38,38,0.83287,1.00751
2019,North Rhine-Westphalia,Lower Secondary Level,No,0.98426,71,71,0.95509,1.01342
2019,North Rhine-Westphalia,Upper Secondary Level,No,0.96399,268,268,0.94164,0.98634
2019,North Rhine-Westphalia,Post-secondary Non-tertiary Level,No,0.93609,89,89,0.88498,0.98719
2019,North Rhine-Westphalia,Second Stage of Tertiary Education,No,0.94192,196,196,0.90909,0.97475
2019,Hesse,Upper Secondary Level,No,0.91694,115,115,0.86628,0.96760
2019,Hesse,Second Stage of Tertiary Education,No,0.95976,76,76,0.91529,1.00424
2019,"Rhineland-Palatinate, Saarland",Upper Secondary Level,No,0.94850,61,61,0.89258,1.00443
2019,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,No,0.92588,37,37,0.84030,1.01146
2019,Baden-Wuerttemberg,Lower Secondary Level,No,0.93064,31,31,0.83973,1.02156
2019,Baden-Wuerttemberg,Upper Secondary Level,No,0.95804,152,152,0.92606,0.99002
2019,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,No,0.95930,38,38,0.89563,1.02297
2019,Baden-Wuerttemberg,Second Stage of Tertiary Education,No,0.93261,139,139,0.89078,0.97443
2019,Bavaria,Lower Secondary Level,No,0.90344,53,53,0.82317,0.98372
2019,Bavaria,Upper Secondary Level,No,0.92331,194,194,0.88576,0.96085
2019,Bavaria,Post-secondary Non-tertiary Level,No,0.64547,34,34,0.48225,0.80868
2019,Bavaria,Second Stage of Tertiary Education,No,0.94730,186,186,0.91510,0.97950
2019,Berlin,Upper Secondary Level,No,0.90392,69,69,0.83387,0.97396
2019,Berlin,Second Stage of Tertiary Education,No,0.94706,98,98,0.90250,0.99162
2019,Saxony,Upper Secondary Level,No,0.97771,61,61,0.94036,1.01506
2019,Saxony,Second Stage of Tertiary Education,No,0.79813,36,36,0.66514,0.93111
2019,Saxony-Anhalt,Upper Secondary Level,No,0.94701,38,38,0.87483,1.01919
