,Unnamed: 0,year,bula_h,migback,plj0092,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
45,45,2014,Thuringa,No migration background,No,1.0,64,2884,0.70383,1.31453
46,46,2019,Schleswig-Holstein,No migration background,No,1.0,94,3010,0.78254,1.26324
47,47,2019,Hamburg,No migration background,No,1.0,37,3010,0.65585,1.38607
48,48,2019,Lower Saxony,No migration background,No,1.0,198,3010,0.87331,1.14856
49,49,2019,Lower Saxony,Direct migration background,No,1.0,45,3010,0.61091,1.42471
50,50,2019,North Rhine-Westphalia,No migration background,Yes,0.04832,32,3010,0.03259,0.06578
51,51,2019,North Rhine-Westphalia,No migration background,No,0.95168,463,3010,0.84564,1.07302
52,52,2019,North Rhine-Westphalia,Direct migration background,No,1.0,178,3010,0.80392,1.27111
53,53,2019,North Rhine-Westphalia,Indirect migration background,No,1.0,98,3010,0.75046,1.27595
54,54,2019,Hesse,No migration background,No,1.0,181,3010,0.83336,1.19464
55,55,2019,Hesse,Direct migration background,No,1.0,59,3010,0.72102,1.29289
56,56,2019,"Rhineland-Palatinate, Saarland",No migration background,No,1.0,107,3010,0.77001,1.19642
57,57,2019,Baden-Wuerttemberg,No migration background,No,1.0,255,3010,0.86465,1.16501
58,58,2019,Baden-Wuerttemberg,Direct migration background,No,1.0,102,3010,0.74893,1.28567
59,59,2019,Baden-Wuerttemberg,Indirect migration background,No,1.0,50,3010,0.69296,1.38636
60,60,2019,Bavaria,No migration background,Yes,0.08465,35,3010,0.04958,0.11715
61,61,2019,Bavaria,No migration background,No,0.91535,345,3010,0.79533,1.05526
62,62,2019,Bavaria,Direct migration background,No,1.0,108,3010,0.7588,1.34585
63,63,2019,Bavaria,Indirect migration background,No,1.0,60,3010,0.69736,1.44322
64,64,2019,Berlin,No migration background,No,1.0,136,3010,0.80315,1.22401
65,65,2019,Berlin,Direct migration background,No,1.0,43,3010,0.73031,1.41076
66,66,2019,Brandenburg,No migration background,No,1.0,67,3010,0.72092,1.32212
67,67,2019,Mecklenburg-Western Pomerania,No migration background,No,1.0,46,3010,0.57785,1.59823
68,68,2019,Saxony,No migration background,No,1.0,125,3010,0.78921,1.25382
69,69,2019,Saxony-Anhalt,No migration background,No,1.0,74,3010,0.78529,1.20119
70,70,2019,Thuringa,No migration background,No,1.0,72,3010,0.74131,1.29986
