year,hhtyp,rentown,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Couple with children,Owner,No,0.43590,1009,2339,0.41580,0.45600
2001,Couple with children,Tenant,Yes,0.44970,804,1836,0.42694,0.47246
2001,Couple with children,Tenant,No,0.55030,1032,1836,0.52754,0.57306
2001,Multi-generational household,Owner,Yes,0.65963,71,116,0.57303,0.74623
2001,Multi-generational household,Owner,No,0.34037,45,116,0.25377,0.42697
2001,Multi-generational household,Tenant,No,0.80166,36,36,0.66956,0.93377
2001,Other Combinations,Owner,Yes,0.62936,40,40,0.47778,0.78095
2001,Other Combinations,Tenant,No,0.65614,40,40,0.50706,0.80522
2006,Single-person household,Owner,Yes,0.24436,248,956,0.21711,0.27162
2006,Single-person household,Owner,No,0.75564,708,956,0.72838,0.78289
2006,Single-person household,Tenant,Yes,0.19787,490,2331,0.18169,0.21405
2006,Single-person household,Tenant,No,0.80213,1841,2331,0.78595,0.81831
2006,Couple without children,Owner,Yes,0.36440,870,2308,0.34476,0.38404
2006,Couple without children,Owner,No,0.63560,1438,2308,0.61596,0.65524
2006,Couple without children,Tenant,Yes,0.29444,576,1850,0.27366,0.31522
2006,Couple without children,Tenant,No,0.70556,1274,1850,0.68478,0.72634
2006,Single parent,Owner,Yes,0.47790,109,225,0.41248,0.54331
2006,Single parent,Owner,No,0.52210,116,225,0.45669,0.58752
2006,Single parent,Tenant,Yes,0.47298,253,547,0.43110,0.51486
2006,Single parent,Tenant,No,0.52702,294,547,0.48514,0.56890
2006,Couple with children,Owner,Yes,0.57902,1372,2375,0.55916,0.59888
2006,Couple with children,Owner,No,0.42098,1003,2375,0.40112,0.44084
2006,Couple with children,Tenant,Yes,0.45891,691,1461,0.43335,0.48447
2006,Couple with children,Tenant,No,0.54109,770,1461,0.51553,0.56665
2006,Multi-generational household,Owner,Yes,0.57443,51,51,0.43739,0.71148
2006,Other Combinations,Owner,No,0.56628,37,37,0.40438,0.72817
2011,Single-person household,Owner,Yes,0.25548,288,1075,0.22940,0.28157
2011,Single-person household,Owner,No,0.74452,787,1075,0.71843,0.77060
2011,Single-person household,Tenant,Yes,0.20670,510,2435,0.19062,0.22279
2011,Single-person household,Tenant,No,0.79330,1925,2435,0.77721,0.80938
2011,Couple without children,Owner,Yes,0.33975,894,2514,0.32123,0.35827
2011,Couple without children,Owner,No,0.66025,1620,2514,0.64173,0.67877
2011,Couple without children,Tenant,Yes,0.31461,600,1857,0.29348,0.33574
2011,Couple without children,Tenant,No,0.68539,1257,1857,0.66426,0.70652
2011,Single parent,Owner,Yes,0.49910,108,223,0.43333,0.56488
2011,Single parent,Owner,No,0.50090,115,223,0.43512,0.56667
2011,Single parent,Tenant,Yes,0.37613,236,561,0.33601,0.41625
2011,Single parent,Tenant,No,0.62387,325,561,0.58375,0.66399
2011,Couple with children,Owner,Yes,0.56860,1168,2030,0.54705,0.59015
2011,Couple with children,Owner,No,0.43140,862,2030,0.40985,0.45295
2011,Couple with children,Tenant,Yes,0.47397,594,1210,0.44582,0.50212
2011,Couple with children,Tenant,No,0.52603,616,1210,0.49788,0.55418
2011,Other Combinations,Tenant,No,0.66071,32,32,0.49403,0.82738
2016,Single-person household,Owner,Yes,0.23512,240,932,0.20788,0.26236
2016,Single-person household,Owner,No,0.76488,692,932,0.73764,0.79212
2016,Single-person household,Tenant,Yes,0.18469,448,2455,0.16934,0.20004
2016,Single-person household,Tenant,No,0.81531,2007,2455,0.79996,0.83066
2016,Couple without children,Owner,Yes,0.33047,756,2222,0.31091,0.35004
2016,Couple without children,Owner,No,0.66953,1466,2222,0.64996,0.68909
2016,Couple without children,Tenant,Yes,0.32367,590,1875,0.30249,0.34486
2016,Couple without children,Tenant,No,0.67633,1285,1875,0.65514,0.69751
2016,Single parent,Owner,Yes,0.48611,202,382,0.43593,0.53630
2016,Single parent,Owner,No,0.51389,180,382,0.46370,0.56407
2016,Single parent,Tenant,Yes,0.47230,534,1142,0.44334,0.50127
2016,Single parent,Tenant,No,0.52770,608,1142,0.49873,0.55666
2016,Couple with children,Owner,Yes,0.53360,1466,2662,0.51464,0.55255
2016,Couple with children,Owner,No,0.46640,1196,2662,0.44745,0.48536
2016,Couple with children,Tenant,Yes,0.39261,936,2328,0.37277,0.41245
2016,Couple with children,Tenant,No,0.60739,1392,2328,0.58755,0.62723
2016,Multi-generational household,Owner,Yes,0.66691,32,32,0.50099,0.83282
2016,Other Combinations,Owner,No,0.56715,33,33,0.39547,0.73882
2016,Other Combinations,Tenant,Yes,0.27567,35,143,0.20217,0.34917
2016,Other Combinations,Tenant,No,0.72433,108,143,0.65083,0.79783
2021,No answer / don't know,Tenant,No,0.84197,32,32,0.71357,0.97038
2021,Single-person household,Owner,Yes,0.24634,227,862,0.21756,0.27512
2021,Single-person household,Owner,No,0.75366,635,862,0.72488,0.78244
2021,Single-person household,Tenant,Yes,0.18793,444,2336,0.17208,0.20377
2021,Single-person household,Tenant,No,0.81207,1892,2336,0.79623,0.82792
2021,Couple without children,Owner,Yes,0.33539,690,1924,0.31429,0.35650
2021,Couple without children,Owner,No,0.66461,1234,1924,0.64350,0.68571
2021,Couple without children,Tenant,Yes,0.30340,435,1497,0.28010,0.32670
2021,Couple without children,Tenant,No,0.69660,1062,1497,0.67330,0.71990
2021,Single parent,Owner,Yes,0.61086,164,249,0.55018,0.67154
2021,Single parent,Owner,No,0.38914,85,249,0.32846,0.44982
2021,Single parent,Tenant,Yes,0.52372,345,647,0.48520,0.56223
2021,Single parent,Tenant,No,0.47628,302,647,0.43777,0.51480
2021,Couple with children,Owner,Yes,0.51819,1082,1884,0.49562,0.54076
2021,Couple with children,Owner,No,0.48181,802,1884,0.45924,0.50438
2021,Couple with children,Tenant,Yes,0.39539,548,1288,0.36868,0.42211
2021,Couple with children,Tenant,No,0.60461,740,1288,0.57789,0.63132
2021,Other Combinations,Owner,Yes,0.56175,56,107,0.46729,0.65621
2021,Other Combinations,Owner,No,0.43825,51,107,0.34379,0.53271
2021,Other Combinations,Tenant,Yes,0.22602,43,158,0.16060,0.29145
2021,Other Combinations,Tenant,No,0.77398,115,158,0.70855,0.83940
