year,migback,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,No migration background,East,Born in Germany or immigrated <1950,0.81146,3681,3681,0.79882,0.82409
1993,Direct migration background,West,Not born in Germany,0.98503,2342,2342,0.98011,0.98995
1993,Direct migration background,East,Not born in Germany,0.97751,135,135,0.95241,1.00262
1993,Indirect migration background,West,Born in Germany or immigrated <1950,0.31617,454,454,0.27335,0.35899
1994,No migration background,West,Born in Germany or immigrated <1950,0.83416,6409,6409,0.82505,0.84327
1994,No migration background,East,Born in Germany or immigrated <1950,0.81594,3617,3617,0.80331,0.82857
1994,Direct migration background,West,Not born in Germany,0.98891,2215,2215,0.98455,0.99327
1994,Direct migration background,East,Not born in Germany,0.98335,143,143,0.96231,1.00440
1994,Indirect migration background,West,Born in Germany or immigrated <1950,0.33285,474,474,0.29038,0.37532
1995,No migration background,West,Born in Germany or immigrated <1950,0.83270,6467,6467,0.82360,0.84179
1995,No migration background,East,Born in Germany or immigrated <1950,0.82252,3535,3535,0.80993,0.83512
1995,Direct migration background,West,Not born in Germany,0.93699,2638,2638,0.92771,0.94626
1995,Direct migration background,East,Not born in Germany,0.99489,143,143,0.98316,1.00662
1995,Indirect migration background,West,Born in Germany or immigrated <1950,0.32899,488,488,0.28726,0.37072
1996,No migration background,West,Born in Germany or immigrated <1950,0.83464,6383,6383,0.82553,0.84376
1996,No migration background,East,Born in Germany or immigrated <1950,0.82670,3525,3525,0.81421,0.83920
1996,Direct migration background,West,Not born in Germany,0.94036,2458,2458,0.93099,0.94972
1996,Direct migration background,East,Not born in Germany,0.99419,140,140,0.98155,1.00683
1996,Indirect migration background,West,Born in Germany or immigrated <1950,0.33964,523,523,0.29902,0.38027
1997,No migration background,West,Born in Germany or immigrated <1950,0.83344,6307,6307,0.82424,0.84263
1997,No migration background,East,Born in Germany or immigrated <1950,0.83559,3485,3485,0.82328,0.84790
1997,Direct migration background,West,Not born in Germany,0.94435,2342,2342,0.93507,0.95364
1997,Indirect migration background,West,Born in Germany or immigrated <1950,0.37133,546,546,0.33076,0.41189
1998,No migration background,West,Born in Germany or immigrated <1950,0.83842,7523,7523,0.83010,0.84674
1998,No migration background,East,Born in Germany or immigrated <1950,0.83638,3723,3723,0.82449,0.84826
1998,Direct migration background,West,Not born in Germany,0.94243,2281,2281,0.93287,0.95199
1998,Indirect migration background,West,Born in Germany or immigrated <1950,0.39201,571,571,0.35193,0.43208
1999,No migration background,West,Born in Germany or immigrated <1950,0.83922,7213,7213,0.83074,0.84770
1999,No migration background,East,Born in Germany or immigrated <1950,0.84612,3653,3653,0.83441,0.85782
1999,Direct migration background,West,Not born in Germany,0.94769,2095,2095,0.93815,0.95723
1999,Indirect migration background,West,Born in Germany or immigrated <1950,0.40651,583,583,0.36660,0.44642
2000,No migration background,West,Born in Germany or immigrated <1950,0.84253,14311,14311,0.83657,0.84850
2000,No migration background,East,Born in Germany or immigrated <1950,0.84990,5678,5678,0.84061,0.85919
2000,Direct migration background,West,Not born in Germany,0.91736,3156,3156,0.90775,0.92697
2000,Direct migration background,East,Not born in Germany,0.94098,149,149,0.90301,0.97895
2000,Indirect migration background,West,Born in Germany or immigrated <1950,0.39850,793,793,0.36441,0.43260
2001,No migration background,West,Born in Germany or immigrated <1950,0.84418,12952,12952,0.83794,0.85043
2001,No migration background,East,Born in Germany or immigrated <1950,0.85700,5289,5289,0.84756,0.86643
2001,Direct migration background,West,Not born in Germany,0.93392,2794,2794,0.92471,0.94314
2001,Direct migration background,East,Not born in Germany,0.99275,122,122,0.97764,1.00787
2001,Indirect migration background,West,Born in Germany or immigrated <1950,0.37917,740,740,0.34419,0.41415
2002,No migration background,West,Born in Germany or immigrated <1950,0.84421,14170,14170,0.83823,0.85018
2002,No migration background,East,Born in Germany or immigrated <1950,0.86369,5291,5291,0.85445,0.87294
2002,Direct migration background,West,Not born in Germany,0.94236,2682,2682,0.93354,0.95118
2002,Indirect migration background,West,Born in Germany or immigrated <1950,0.38102,746,746,0.34614,0.41589
2003,No migration background,West,Born in Germany or immigrated <1950,0.84486,13561,13561,0.83876,0.85095
2003,No migration background,East,Born in Germany or immigrated <1950,0.86853,5209,5209,0.85935,0.87771
2003,Direct migration background,West,Not born in Germany,0.94781,2515,2515,0.93911,0.95650
2003,Indirect migration background,West,Born in Germany or immigrated <1950,0.39896,746,746,0.36380,0.43412
2003,Indirect migration background,East,Born in Germany or immigrated <1950,0.49718,31,31,0.31826,0.67610
2004,No migration background,West,Born in Germany or immigrated <1950,0.84700,13190,13190,0.84085,0.85314
2004,No migration background,East,Born in Germany or immigrated <1950,0.87352,5088,5088,0.86438,0.88265
2004,Direct migration background,West,Not born in Germany,0.95953,2437,2437,0.95171,0.96736
2004,Indirect migration background,West,Born in Germany or immigrated <1950,0.42390,764,764,0.38883,0.45896
2004,Indirect migration background,East,Born in Germany or immigrated <1950,0.59471,34,34,0.42721,0.76222
2005,No migration background,West,Born in Germany or immigrated <1950,0.85097,12602,12602,0.84475,0.85719
2005,No migration background,East,Born in Germany or immigrated <1950,0.87408,4903,4903,0.86479,0.88337
2005,Direct migration background,West,Not born in Germany,0.96522,2269,2269,0.95768,0.97276
2005,Indirect migration background,West,Born in Germany or immigrated <1950,0.46629,791,791,0.43151,0.50108
2005,Indirect migration background,East,Born in Germany or immigrated <1950,0.54311,35,35,0.37567,0.71056
2006,No migration background,West,Born in Germany or immigrated <1950,0.85217,13818,13818,0.84626,0.85809
2006,No migration background,East,Born in Germany or immigrated <1950,0.88345,5214,5214,0.87473,0.89216
2006,Direct migration background,West,Not born in Germany,0.96349,2275,2275,0.95578,0.97120
2006,Direct migration background,East,Not born in Germany,0.97173,110,110,0.94061,1.00284
2006,Indirect migration background,West,Born in Germany or immigrated <1950,0.48245,812,812,0.44806,0.51684
2006,Indirect migration background,East,Born in Germany or immigrated <1950,0.51242,42,42,0.35942,0.66543
2007,No migration background,West,Born in Germany or immigrated <1950,0.85463,12927,12927,0.84855,0.86070
2007,No migration background,East,Born in Germany or immigrated <1950,0.89039,4955,4955,0.88169,0.89909
2007,Direct migration background,West,Not born in Germany,0.97161,2042,2042,0.96440,0.97882
2007,Indirect migration background,West,Born in Germany or immigrated <1950,0.50226,791,791,0.46739,0.53712
2007,Indirect migration background,East,Born in Germany or immigrated <1950,0.60658,44,44,0.46056,0.75259
2008,No migration background,West,Born in Germany or immigrated <1950,0.85820,12154,12154,0.85199,0.86440
2008,No migration background,East,Born in Germany or immigrated <1950,0.88474,4685,4685,0.87560,0.89389
2008,Direct migration background,West,Not born in Germany,0.97711,1831,1831,0.97025,0.98396
2008,Indirect migration background,West,Born in Germany or immigrated <1950,0.53729,778,778,0.50223,0.57235
2008,Indirect migration background,East,Born in Germany or immigrated <1950,0.63857,44,44,0.49498,0.78216
2009,No migration background,West,Born in Germany or immigrated <1950,0.86113,11383,11383,0.85478,0.86748
2009,No migration background,East,Born in Germany or immigrated <1950,0.87620,4453,4453,0.86653,0.88588
2009,Direct migration background,West,Not born in Germany,0.98169,1592,1592,0.97510,0.98828
2009,Indirect migration background,West,Born in Germany or immigrated <1950,0.56687,709,709,0.53037,0.60337
2009,Indirect migration background,East,Born in Germany or immigrated <1950,0.60840,42,42,0.45899,0.75781
2010,No migration background,West,Born in Germany or immigrated <1950,0.86632,14856,14856,0.86084,0.87179
2010,No migration background,East,Born in Germany or immigrated <1950,0.88642,5308,5308,0.87789,0.89496
2010,Direct migration background,West,Not born in Germany,0.97382,2861,2861,0.96797,0.97967
2010,Direct migration background,East,Not born in Germany,0.96266,136,136,0.93067,0.99464
2010,Indirect migration background,West,Born in Germany or immigrated <1950,0.48099,1094,1094,0.45137,0.51061
2010,Indirect migration background,East,Born in Germany or immigrated <1950,0.60346,73,73,0.49046,0.71645
2011,No migration background,West,Born in Germany or immigrated <1950,0.86283,18052,18052,0.85781,0.86785
2011,No migration background,East,Born in Germany or immigrated <1950,0.87761,6132,6132,0.86940,0.88581
2011,Direct migration background,West,Not born in Germany,0.97386,3203,3203,0.96834,0.97939
2011,Direct migration background,East,Not born in Germany,0.96129,170,170,0.93221,0.99038
2011,Indirect migration background,West,Born in Germany or immigrated <1950,0.48165,1261,1261,0.45406,0.50924
2011,Indirect migration background,East,Born in Germany or immigrated <1950,0.49755,82,82,0.38866,0.60643
2012,No migration background,West,Born in Germany or immigrated <1950,0.86545,17662,17662,0.86041,0.87048
2012,No migration background,East,Born in Germany or immigrated <1950,0.87289,5993,5993,0.86445,0.88132
2012,Direct migration background,West,Not born in Germany,0.97113,3036,3036,0.96517,0.97708
2012,Direct migration background,East,Not born in Germany,0.97012,177,177,0.94496,0.99527
2012,Indirect migration background,West,Born in Germany or immigrated <1950,0.48508,1224,1224,0.45707,0.51309
2012,Indirect migration background,East,Born in Germany or immigrated <1950,0.57809,74,74,0.46480,0.69138
2013,No migration background,West,Born in Germany or immigrated <1950,0.86763,16814,16814,0.86251,0.87275
2013,No migration background,East,Born in Germany or immigrated <1950,0.87798,5645,5645,0.86944,0.88652
2013,Direct migration background,West,Not born in Germany,0.96919,6118,6118,0.96486,0.97352
2013,Direct migration background,East,Not born in Germany,0.95739,459,459,0.93890,0.97589
2013,Indirect migration background,West,Born in Germany or immigrated <1950,0.49759,2049,2049,0.47594,0.51925
2013,Indirect migration background,East,Born in Germany or immigrated <1950,0.52175,98,98,0.42234,0.62116
2014,No migration background,West,Born in Germany or immigrated <1950,0.87083,15297,15297,0.86551,0.87614
2014,No migration background,East,Born in Germany or immigrated <1950,0.86703,5188,5188,0.85779,0.87627
2014,Direct migration background,West,Not born in Germany,0.96906,4958,4958,0.96424,0.97388
2014,Direct migration background,East,Not born in Germany,0.95165,374,374,0.92988,0.97342
2014,Indirect migration background,West,Born in Germany or immigrated <1950,0.51854,1731,1731,0.49499,0.54208
2014,Indirect migration background,East,Born in Germany or immigrated <1950,0.53863,106,106,0.44328,0.63398
2015,No migration background,West,Born in Germany or immigrated <1950,0.87303,14573,14573,0.86763,0.87844
2015,No migration background,East,Born in Germany or immigrated <1950,0.86753,4939,4939,0.85807,0.87699
2015,Direct migration background,West,Not born in Germany,0.96576,5661,5661,0.96102,0.97049
2015,Direct migration background,East,Not born in Germany,0.95848,449,449,0.94000,0.97695
2015,Indirect migration background,West,Born in Germany or immigrated <1950,0.51296,1612,1612,0.48856,0.53737
2015,Indirect migration background,East,Born in Germany or immigrated <1950,0.49566,108,108,0.40092,0.59040
2016,No migration background,West,Born in Germany or immigrated <1950,0.87076,13502,13502,0.86510,0.87642
2016,No migration background,East,Born in Germany or immigrated <1950,0.86406,4641,4641,0.85420,0.87392
2016,Direct migration background,West,Not born in Germany,0.95806,7301,7301,0.95346,0.96266
2016,Direct migration background,East,Not born in Germany,0.91512,924,924,0.89713,0.93310
2016,Indirect migration background,West,Born in Germany or immigrated <1950,0.53505,1496,1496,0.50976,0.56033
2016,Indirect migration background,East,Born in Germany or immigrated <1950,0.56489,108,108,0.47096,0.65883
2017,No migration background,West,Born in Germany or immigrated <1950,0.87124,15294,15294,0.86594,0.87655
2017,No migration background,East,Born in Germany or immigrated <1950,0.86171,5173,5173,0.85230,0.87112
2017,Direct migration background,West,Not born in Germany,0.95523,8050,8050,0.95071,0.95975
2017,Direct migration background,East,Not born in Germany,0.89234,996,996,0.87308,0.91160
2017,Indirect migration background,West,Born in Germany or immigrated <1950,0.52960,1637,1637,0.50541,0.55378
2017,Indirect migration background,East,Born in Germany or immigrated <1950,0.49737,109,109,0.40307,0.59167
2018,No migration background,West,Born in Germany or immigrated <1950,0.87476,14649,14649,0.86940,0.88012
2018,No migration background,East,Born in Germany or immigrated <1950,0.86438,5088,5088,0.85497,0.87379
2018,Direct migration background,West,Not born in Germany,0.95251,7502,7502,0.94770,0.95733
2018,Direct migration background,East,Not born in Germany,0.90387,924,924,0.88486,0.92289
2018,Indirect migration background,West,Born in Germany or immigrated <1950,0.53821,1604,1604,0.51380,0.56261
2018,Indirect migration background,East,Born in Germany or immigrated <1950,0.52804,122,122,0.43909,0.61699
2019,No migration background,West,Born in Germany or immigrated <1950,0.86900,15255,15255,0.86365,0.87436
2019,No migration background,East,Born in Germany or immigrated <1950,0.86715,5218,5218,0.85794,0.87636
2019,Direct migration background,West,Not born in Germany,0.95862,6801,6801,0.95388,0.96335
2019,Direct migration background,East,Not born in Germany,0.89290,796,796,0.87140,0.91440
2019,Indirect migration background,West,Born in Germany or immigrated <1950,0.53583,1557,1557,0.51105,0.56061
2019,Indirect migration background,East,Born in Germany or immigrated <1950,0.48892,127,127,0.40163,0.57620
2020,No migration background,West,Born in Germany or immigrated <1950,0.86619,14059,14059,0.86056,0.87182
2020,No migration background,East,Born in Germany or immigrated <1950,0.86595,4787,4787,0.85630,0.87560
2020,Direct migration background,West,Not born in Germany,0.95543,8506,8506,0.95104,0.95981
2020,Direct migration background,East,Not born in Germany,0.90570,1038,1038,0.88791,0.92349
2020,Indirect migration background,West,Born in Germany or immigrated <1950,0.51778,1500,1500,0.49248,0.54307
2020,Indirect migration background,East,Born in Germany or immigrated <1950,0.53896,122,122,0.45014,0.62778
2021,No migration background,West,Born in Germany or immigrated <1950,0.86864,10061,10061,0.86204,0.87524
2021,No migration background,East,Born in Germany or immigrated <1950,0.85958,3326,3326,0.84777,0.87139
2021,Direct migration background,West,Not born in Germany,0.94812,5001,5001,0.94197,0.95427
2021,Direct migration background,East,Not born in Germany,0.89865,568,568,0.87381,0.92349
2021,Indirect migration background,West,Born in Germany or immigrated <1950,0.48716,892,892,0.45434,0.51998
2021,Indirect migration background,East,Born in Germany or immigrated <1950,0.43212,84,84,0.32555,0.53869
2022,No migration background,West,Born in Germany or immigrated <1950,0.85424,13798,13798,0.84835,0.86012
2022,No migration background,East,Born in Germany or immigrated <1950,0.85495,4726,4726,0.84491,0.86499
2022,Direct migration background,West,Not born in Germany,0.93482,7208,7208,0.92913,0.94052
2022,Direct migration background,East,Not born in Germany,0.92492,1036,1036,0.90886,0.94097
2022,Indirect migration background,West,Born in Germany or immigrated <1950,0.55385,1341,1341,0.52723,0.58046
2022,Indirect migration background,East,Born in Germany or immigrated <1950,0.55518,164,164,0.47889,0.63147
