year,sampreg,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,West,female,Not born in Germany,0.11342,1179,4794,0.10444,0.12239
1991,East,male,Born in Germany or immigrated <1950,0.96383,1916,1978,0.95560,0.97206
1991,East,male,Not born in Germany,0.03617,62,1978,0.02794,0.04440
1991,East,female,Born in Germany or immigrated <1950,0.95509,2083,2162,0.94636,0.96382
1991,East,female,Not born in Germany,0.04491,79,2162,0.03618,0.05364
1992,West,male,Born in Germany or immigrated <1950,0.86482,3312,4572,0.85491,0.87473
1992,West,male,Not born in Germany,0.13518,1260,4572,0.12527,0.14509
1992,West,female,Born in Germany or immigrated <1950,0.88125,3622,4769,0.87207,0.89043
1992,West,female,Not born in Germany,0.11875,1147,4769,0.10957,0.12793
1992,East,male,Born in Germany or immigrated <1950,0.95924,1827,1891,0.95032,0.96815
1992,East,male,Not born in Germany,0.04076,64,1891,0.03185,0.04968
1992,East,female,Born in Germany or immigrated <1950,0.95329,2004,2085,0.94423,0.96235
1992,East,female,Not born in Germany,0.04671,81,2085,0.03765,0.05577
1993,West,male,Born in Germany or immigrated <1950,0.85561,3317,4546,0.84539,0.86583
1993,West,male,Not born in Germany,0.14439,1229,4546,0.13417,0.15461
1993,West,female,Born in Germany or immigrated <1950,0.87655,3615,4728,0.86717,0.88593
1993,West,female,Not born in Germany,0.12345,1113,4728,0.11407,0.13283
1993,East,male,Born in Germany or immigrated <1950,0.96196,1762,1819,0.95316,0.97075
1993,East,male,Not born in Germany,0.03804,57,1819,0.02925,0.04684
1993,East,female,Born in Germany or immigrated <1950,0.95198,1932,2010,0.94263,0.96133
1993,East,female,Not born in Germany,0.04802,78,2010,0.03867,0.05737
1994,West,male,Born in Germany or immigrated <1950,0.85432,3274,4419,0.84392,0.86473
1994,West,male,Not born in Germany,0.14568,1145,4419,0.13527,0.15608
1994,West,female,Born in Germany or immigrated <1950,0.87142,3609,4679,0.86183,0.88101
1994,West,female,Not born in Germany,0.12858,1070,4679,0.11899,0.13817
1994,East,male,Born in Germany or immigrated <1950,0.95163,1732,1796,0.94170,0.96155
1994,East,male,Not born in Germany,0.04837,64,1796,0.03845,0.05830
1994,East,female,Born in Germany or immigrated <1950,0.94958,1901,1980,0.93994,0.95922
1994,East,female,Not born in Germany,0.05042,79,1980,0.04078,0.06006
1995,West,male,Born in Germany or immigrated <1950,0.82829,3312,4658,0.81746,0.83912
1995,West,male,Not born in Germany,0.17171,1346,4658,0.16088,0.18254
1995,West,female,Born in Germany or immigrated <1950,0.84570,3643,4935,0.83562,0.85578
1995,West,female,Not born in Germany,0.15430,1292,4935,0.14422,0.16438
1995,East,male,Born in Germany or immigrated <1950,0.95081,1689,1752,0.94068,0.96094
1995,East,male,Not born in Germany,0.04919,63,1752,0.03906,0.05932
1995,East,female,Born in Germany or immigrated <1950,0.94905,1861,1941,0.93927,0.95884
1995,East,female,Not born in Germany,0.05095,80,1941,0.04116,0.06073
1996,West,male,Born in Germany or immigrated <1950,0.83071,3288,4537,0.81979,0.84162
1996,West,male,Not born in Germany,0.16929,1249,4537,0.15838,0.18021
1996,West,female,Born in Germany or immigrated <1950,0.84695,3618,4827,0.83679,0.85711
1996,West,female,Not born in Germany,0.15305,1209,4827,0.14289,0.16321
1996,East,male,Born in Germany or immigrated <1950,0.95272,1697,1756,0.94279,0.96265
1996,East,male,Not born in Germany,0.04728,59,1756,0.03735,0.05721
1996,East,female,Born in Germany or immigrated <1950,0.94701,1847,1928,0.93700,0.95701
1996,East,female,Not born in Germany,0.05299,81,1928,0.04299,0.06300
1997,West,male,Born in Germany or immigrated <1950,0.83128,3268,4464,0.82029,0.84227
1997,West,male,Not born in Germany,0.16872,1196,4464,0.15773,0.17971
1997,West,female,Born in Germany or immigrated <1950,0.84757,3585,4731,0.83733,0.85782
1997,West,female,Not born in Germany,0.15243,1146,4731,0.14218,0.16267
1997,East,male,Born in Germany or immigrated <1950,0.95321,1690,1745,0.94330,0.96312
1997,East,male,Not born in Germany,0.04679,55,1745,0.03688,0.05670
1997,East,female,Born in Germany or immigrated <1950,0.94861,1815,1890,0.93866,0.95857
1997,East,female,Not born in Germany,0.05139,75,1890,0.04143,0.06134
1998,West,male,Born in Germany or immigrated <1950,0.83644,3856,5019,0.82621,0.84668
1998,West,male,Not born in Germany,0.16356,1163,5019,0.15332,0.17379
1998,West,female,Born in Germany or immigrated <1950,0.85074,4238,5356,0.84120,0.86029
1998,West,female,Not born in Germany,0.14926,1118,5356,0.13971,0.15880
1998,East,male,Born in Germany or immigrated <1950,0.96021,1821,1870,0.95135,0.96907
1998,East,male,Not born in Germany,0.03979,49,1870,0.03093,0.04865
1998,East,female,Born in Germany or immigrated <1950,0.95589,1926,1995,0.94687,0.96490
1998,East,female,Not born in Germany,0.04411,69,1995,0.03510,0.05313
1999,West,male,Born in Germany or immigrated <1950,0.83936,3727,4791,0.82896,0.84975
1999,West,male,Not born in Germany,0.16064,1064,4791,0.15025,0.17104
1999,West,female,Born in Germany or immigrated <1950,0.85276,4069,5100,0.84303,0.86248
1999,West,female,Not born in Germany,0.14724,1031,5100,0.13752,0.15697
1999,East,male,Born in Germany or immigrated <1950,0.96530,1774,1818,0.95688,0.97371
1999,East,male,Not born in Germany,0.03470,44,1818,0.02629,0.04312
1999,East,female,Born in Germany or immigrated <1950,0.95693,1900,1965,0.94795,0.96591
1999,East,female,Not born in Germany,0.04307,65,1965,0.03409,0.05205
2000,West,male,Born in Germany or immigrated <1950,0.84456,7222,8786,0.83699,0.85214
2000,West,male,Not born in Germany,0.15544,1564,8786,0.14786,0.16301
2000,West,female,Born in Germany or immigrated <1950,0.85157,7882,9474,0.84441,0.85873
2000,West,female,Not born in Germany,0.14843,1592,9474,0.14127,0.15559
2000,East,male,Born in Germany or immigrated <1950,0.97402,2741,2800,0.96812,0.97991
2000,East,male,Not born in Germany,0.02598,59,2800,0.02009,0.03188
2000,East,female,Born in Germany or immigrated <1950,0.96426,2962,3052,0.95767,0.97084
2000,East,female,Not born in Germany,0.03574,90,3052,0.02916,0.04233
2001,West,male,Born in Germany or immigrated <1950,0.84802,6523,7902,0.84010,0.85594
2001,West,male,Not born in Germany,0.15198,1379,7902,0.14406,0.15990
2001,West,female,Born in Germany or immigrated <1950,0.85382,7169,8584,0.84634,0.86129
2001,West,female,Not born in Germany,0.14618,1415,8584,0.13871,0.15366
2001,East,male,Born in Germany or immigrated <1950,0.97481,2572,2623,0.96881,0.98081
2001,East,male,Not born in Germany,0.02519,51,2623,0.01919,0.03119
2001,East,female,Born in Germany or immigrated <1950,0.96817,2741,2812,0.96168,0.97466
2001,East,female,Not born in Germany,0.03183,71,2812,0.02534,0.03832
2002,West,male,Born in Germany or immigrated <1950,0.84625,7181,8495,0.83858,0.85393
2002,West,male,Not born in Germany,0.15375,1314,8495,0.14607,0.16142
2002,West,female,Born in Germany or immigrated <1950,0.84960,7735,9103,0.84226,0.85695
2002,West,female,Not born in Germany,0.15040,1368,9103,0.14305,0.15774
2002,East,male,Born in Germany or immigrated <1950,0.97646,2586,2633,0.97067,0.98225
2002,East,male,Not born in Germany,0.02354,47,2633,0.01775,0.02933
2002,East,female,Born in Germany or immigrated <1950,0.96686,2728,2796,0.96022,0.97349
2002,East,female,Not born in Germany,0.03314,68,2796,0.02651,0.03978
2003,West,male,Born in Germany or immigrated <1950,0.84575,6874,8092,0.83788,0.85362
2003,West,male,Not born in Germany,0.15425,1218,8092,0.14638,0.16212
2003,West,female,Born in Germany or immigrated <1950,0.84810,7433,8730,0.84057,0.85563
2003,West,female,Not born in Germany,0.15190,1297,8730,0.14437,0.15943
2003,East,male,Born in Germany or immigrated <1950,0.97772,2539,2585,0.97202,0.98341
2003,East,male,Not born in Germany,0.02228,46,2585,0.01659,0.02798
2003,East,female,Born in Germany or immigrated <1950,0.97305,2701,2759,0.96700,0.97909
2003,East,female,Not born in Germany,0.02695,58,2759,0.02091,0.03300
2004,West,male,Born in Germany or immigrated <1950,0.84396,6705,7879,0.83595,0.85198
2004,West,male,Not born in Germany,0.15604,1174,7879,0.14802,0.16405
2004,West,female,Born in Germany or immigrated <1950,0.84540,7249,8512,0.83772,0.85308
2004,West,female,Not born in Germany,0.15460,1263,8512,0.14692,0.16228
2004,East,male,Born in Germany or immigrated <1950,0.97859,2458,2502,0.97292,0.98426
2004,East,male,Not born in Germany,0.02141,44,2502,0.01574,0.02708
2004,East,female,Born in Germany or immigrated <1950,0.97354,2664,2721,0.96750,0.97957
2004,East,female,Not born in Germany,0.02646,57,2721,0.02043,0.03250
2005,West,male,Born in Germany or immigrated <1950,0.84642,6403,7476,0.83825,0.85460
2005,West,male,Not born in Germany,0.15358,1073,7476,0.14540,0.16175
2005,West,female,Born in Germany or immigrated <1950,0.84413,6990,8186,0.83627,0.85199
2005,West,female,Not born in Germany,0.15587,1196,8186,0.14801,0.16373
2005,East,male,Born in Germany or immigrated <1950,0.97682,2380,2423,0.97082,0.98281
2005,East,male,Not born in Germany,0.02318,43,2423,0.01719,0.02918
2005,East,female,Born in Germany or immigrated <1950,0.96962,2558,2614,0.96303,0.97620
2005,East,female,Not born in Germany,0.03038,56,2614,0.02380,0.03697
2006,West,male,Born in Germany or immigrated <1950,0.84912,6989,8050,0.84131,0.85694
2006,West,male,Not born in Germany,0.15088,1061,8050,0.14306,0.15869
2006,West,female,Born in Germany or immigrated <1950,0.84291,7641,8855,0.83533,0.85049
2006,West,female,Not born in Germany,0.15709,1214,8855,0.14951,0.16467
2006,East,male,Born in Germany or immigrated <1950,0.97627,2535,2581,0.97040,0.98215
2006,East,male,Not born in Germany,0.02373,46,2581,0.01785,0.02960
2006,East,female,Born in Germany or immigrated <1950,0.96889,2721,2785,0.96245,0.97534
2006,East,female,Not born in Germany,0.03111,64,2785,0.02466,0.03755
2007,West,male,Born in Germany or immigrated <1950,0.85118,6549,7496,0.84313,0.85924
2007,West,male,Not born in Germany,0.14882,947,7496,0.14076,0.15687
2007,West,female,Born in Germany or immigrated <1950,0.84541,7169,8264,0.83761,0.85320
2007,West,female,Not born in Germany,0.15459,1095,8264,0.14680,0.16239
2007,East,male,Born in Germany or immigrated <1950,0.97922,2418,2456,0.97357,0.98486
2007,East,male,Not born in Germany,0.02078,38,2456,0.01514,0.02643
2007,East,female,Born in Germany or immigrated <1950,0.97107,2581,2634,0.96467,0.97747
2007,East,female,Not born in Germany,0.02893,53,2634,0.02253,0.03533
2008,West,male,Born in Germany or immigrated <1950,0.85052,6156,7007,0.84218,0.85887
2008,West,male,Not born in Germany,0.14948,851,7007,0.14113,0.15782
2008,West,female,Born in Germany or immigrated <1950,0.84936,6776,7756,0.84140,0.85732
2008,West,female,Not born in Germany,0.15064,980,7756,0.14268,0.15860
2008,East,male,Born in Germany or immigrated <1950,0.98503,2297,2329,0.98010,0.98996
2008,East,male,Not born in Germany,0.01497,32,2329,0.01004,0.01990
2008,East,female,Born in Germany or immigrated <1950,0.97388,2432,2479,0.96760,0.98016
2008,East,female,Not born in Germany,0.02612,47,2479,0.01984,0.03240
2009,West,male,Born in Germany or immigrated <1950,0.85878,5794,6528,0.85033,0.86723
2009,West,male,Not born in Germany,0.14122,734,6528,0.13277,0.14967
2009,West,female,Born in Germany or immigrated <1950,0.85237,6298,7156,0.84415,0.86059
2009,West,female,Not born in Germany,0.14763,858,7156,0.13941,0.15585
2009,East,male,Born in Germany or immigrated <1950,0.98630,2170,2170,0.98141,0.99119
2009,East,female,Born in Germany or immigrated <1950,0.97369,2325,2370,0.96725,0.98014
2009,East,female,Not born in Germany,0.02631,45,2370,0.01986,0.03275
2010,West,male,Born in Germany or immigrated <1950,0.84592,7276,8553,0.83827,0.85357
2010,West,male,Not born in Germany,0.15408,1277,8553,0.14643,0.16173
2010,West,female,Born in Germany or immigrated <1950,0.83385,8674,10258,0.82665,0.84106
2010,West,female,Not born in Germany,0.16615,1584,10258,0.15894,0.17335
2010,East,male,Born in Germany or immigrated <1950,0.98452,2479,2534,0.97971,0.98933
2010,East,male,Not born in Germany,0.01548,55,2534,0.01067,0.02029
2010,East,female,Born in Germany or immigrated <1950,0.97168,2902,2983,0.96573,0.97764
2010,East,female,Not born in Germany,0.02832,81,2983,0.02236,0.03427
2011,West,male,Born in Germany or immigrated <1950,0.85148,8793,10206,0.84458,0.85838
2011,West,male,Not born in Germany,0.14852,1413,10206,0.14162,0.15542
2011,West,female,Born in Germany or immigrated <1950,0.83867,10520,12310,0.83218,0.84517
2011,West,female,Not born in Germany,0.16133,1790,12310,0.15483,0.16782
2011,East,male,Born in Germany or immigrated <1950,0.98352,2856,2923,0.97891,0.98814
2011,East,male,Not born in Germany,0.01648,67,2923,0.01186,0.02109
2011,East,female,Born in Germany or immigrated <1950,0.97142,3358,3461,0.96587,0.97697
2011,East,female,Not born in Germany,0.02858,103,3461,0.02303,0.03413
2012,West,male,Born in Germany or immigrated <1950,0.84231,8611,9953,0.83515,0.84947
2012,West,male,Not born in Germany,0.15769,1342,9953,0.15053,0.16485
2012,West,female,Born in Germany or immigrated <1950,0.83371,10275,11969,0.82704,0.84038
2012,West,female,Not born in Germany,0.16629,1694,11969,0.15962,0.17296
2012,East,male,Born in Germany or immigrated <1950,0.97976,2788,2860,0.97460,0.98492
2012,East,male,Not born in Germany,0.02024,72,2860,0.01508,0.02540
2012,East,female,Born in Germany or immigrated <1950,0.96873,3279,3384,0.96286,0.97459
2012,East,female,Not born in Germany,0.03127,105,3384,0.02541,0.03714
2013,West,male,Born in Germany or immigrated <1950,0.83754,8673,11425,0.83077,0.84430
2013,West,male,Not born in Germany,0.16246,2752,11425,0.15570,0.16923
2013,West,female,Born in Germany or immigrated <1950,0.83639,10190,13556,0.83016,0.84262
2013,West,female,Not born in Germany,0.16361,3366,13556,0.15738,0.16984
2013,East,male,Born in Germany or immigrated <1950,0.96833,2637,2830,0.96188,0.97479
2013,East,male,Not born in Germany,0.03167,193,2830,0.02521,0.03812
2013,East,female,Born in Germany or immigrated <1950,0.95816,3106,3372,0.95140,0.96492
2013,East,female,Not born in Germany,0.04184,266,3372,0.03508,0.04860
2014,West,male,Born in Germany or immigrated <1950,0.83587,7878,10135,0.82866,0.84309
2014,West,male,Not born in Germany,0.16413,2257,10135,0.15691,0.17134
2014,West,female,Born in Germany or immigrated <1950,0.83693,9150,11851,0.83028,0.84358
2014,West,female,Not born in Germany,0.16307,2701,11851,0.15642,0.16972
2014,East,male,Born in Germany or immigrated <1950,0.96690,2435,2589,0.96000,0.97379
2014,East,male,Not born in Germany,0.03310,154,2589,0.02621,0.04000
2014,East,female,Born in Germany or immigrated <1950,0.95694,2859,3079,0.94977,0.96412
2014,East,female,Not born in Germany,0.04306,220,3079,0.03588,0.05023
2015,West,male,Born in Germany or immigrated <1950,0.82978,7482,10077,0.82244,0.83712
2015,West,male,Not born in Germany,0.17022,2595,10077,0.16288,0.17756
2015,West,female,Born in Germany or immigrated <1950,0.83076,8703,11769,0.82399,0.83754
2015,West,female,Not born in Germany,0.16924,3066,11769,0.16246,0.17601
2015,East,male,Born in Germany or immigrated <1950,0.95679,2316,2510,0.94883,0.96475
2015,East,male,Not born in Germany,0.04321,194,2510,0.03525,0.05117
2015,East,female,Born in Germany or immigrated <1950,0.95356,2731,2986,0.94601,0.96111
2015,East,female,Not born in Germany,0.04644,255,2986,0.03889,0.05399
2016,West,male,Born in Germany or immigrated <1950,0.82520,6933,10576,0.81797,0.83244
2016,West,male,Not born in Germany,0.17480,3643,10576,0.16756,0.18203
2016,West,female,Born in Germany or immigrated <1950,0.82593,8065,11723,0.81906,0.83279
2016,West,female,Not born in Germany,0.17407,3658,11723,0.16721,0.18094
2016,East,male,Born in Germany or immigrated <1950,0.94897,2172,2655,0.94060,0.95734
2016,East,male,Not born in Germany,0.05103,483,2655,0.04266,0.05940
2016,East,female,Born in Germany or immigrated <1950,0.95000,2577,3018,0.94223,0.95778
2016,East,female,Not born in Germany,0.05000,441,3018,0.04222,0.05777
2017,West,male,Born in Germany or immigrated <1950,0.82938,7919,11940,0.82263,0.83612
2017,West,male,Not born in Germany,0.17062,4021,11940,0.16388,0.17737
2017,West,female,Born in Germany or immigrated <1950,0.81900,9012,13041,0.81239,0.82561
2017,West,female,Not born in Germany,0.18100,4029,13041,0.17439,0.18761
2017,East,male,Born in Germany or immigrated <1950,0.95000,2438,2946,0.94213,0.95787
2017,East,male,Not born in Germany,0.05000,508,2946,0.04213,0.05787
2017,East,female,Born in Germany or immigrated <1950,0.94827,2844,3332,0.94074,0.95579
2017,East,female,Not born in Germany,0.05173,488,3332,0.04421,0.05926
2018,West,male,Born in Germany or immigrated <1950,0.82429,7583,11366,0.81730,0.83129
2018,West,male,Not born in Germany,0.17571,3783,11366,0.16871,0.18270
2018,West,female,Born in Germany or immigrated <1950,0.81579,8670,12389,0.80897,0.82262
2018,West,female,Not born in Germany,0.18421,3719,12389,0.17738,0.19103
2018,East,male,Born in Germany or immigrated <1950,0.94827,2406,2890,0.94020,0.95635
2018,East,male,Not born in Germany,0.05173,484,2890,0.04365,0.05980
2018,East,female,Born in Germany or immigrated <1950,0.95037,2804,3244,0.94290,0.95785
2018,East,female,Not born in Germany,0.04963,440,3244,0.04215,0.05710
2019,Does not apply,male,Born in Germany or immigrated <1950,0.95734,34,34,0.88839,1.02629
2019,Does not apply,female,Born in Germany or immigrated <1950,0.95341,36,36,0.88359,1.02324
2019,West,male,Born in Germany or immigrated <1950,0.82206,8161,11628,0.81511,0.82901
2019,West,male,Not born in Germany,0.17794,3467,11628,0.17099,0.18489
2019,West,female,Born in Germany or immigrated <1950,0.81583,8649,11983,0.80889,0.82277
2019,West,female,Not born in Germany,0.18417,3334,11983,0.17723,0.19111
2019,East,male,Born in Germany or immigrated <1950,0.94809,2550,2966,0.94011,0.95608
2019,East,male,Not born in Germany,0.05191,416,2966,0.04392,0.05989
2019,East,female,Born in Germany or immigrated <1950,0.95137,2794,3174,0.94388,0.95885
2019,East,female,Not born in Germany,0.04863,380,3174,0.04115,0.05612
2020,West,male,Born in Germany or immigrated <1950,0.83209,7399,12012,0.82541,0.83878
2020,West,male,Not born in Germany,0.16791,4613,12012,0.16122,0.17459
2020,West,female,Born in Germany or immigrated <1950,0.83154,8155,12048,0.82485,0.83822
2020,West,female,Not born in Germany,0.16846,3893,12048,0.16178,0.17515
2020,East,male,Born in Germany or immigrated <1950,0.95280,2329,2910,0.94510,0.96051
2020,East,male,Not born in Germany,0.04720,581,2910,0.03949,0.05490
2020,East,female,Born in Germany or immigrated <1950,0.95246,2578,3035,0.94489,0.96003
2020,East,female,Not born in Germany,0.04754,457,3035,0.03997,0.05511
2021,West,male,Born in Germany or immigrated <1950,0.82827,5212,7774,0.81989,0.83666
2021,West,male,Not born in Germany,0.17173,2562,7774,0.16334,0.18011
2021,West,female,Born in Germany or immigrated <1950,0.82256,5736,8175,0.81427,0.83084
2021,West,female,Not born in Germany,0.17744,2439,8175,0.16916,0.18573
2021,East,male,Born in Germany or immigrated <1950,0.93577,1583,1903,0.92476,0.94679
2021,East,male,Not born in Germany,0.06423,320,1903,0.05321,0.07524
2021,East,female,Born in Germany or immigrated <1950,0.94833,1825,2073,0.93879,0.95786
2021,East,female,Not born in Germany,0.05167,248,2073,0.04214,0.06121
2022,West,male,Born in Germany or immigrated <1950,0.80789,7317,10967,0.80052,0.81526
2022,West,male,Not born in Germany,0.19211,3650,10967,0.18474,0.19948
2022,West,female,Born in Germany or immigrated <1950,0.80807,7811,11362,0.80082,0.81531
2022,West,female,Not born in Germany,0.19193,3551,11362,0.18469,0.19918
2022,East,male,Born in Germany or immigrated <1950,0.91181,2276,2822,0.90135,0.92228
2022,East,male,Not born in Germany,0.08819,546,2822,0.07772,0.09865
2022,East,female,Born in Germany or immigrated <1950,0.92396,2612,3101,0.91462,0.93329
2022,East,female,Not born in Germany,0.07604,489,3101,0.06671,0.08538
