year,age_gr,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,30-45 y.,male,Born in Germany or immigrated <1950,0.87393,993,1444,0.85680,0.89106
1988,30-45 y.,male,Not born in Germany,0.12607,451,1444,0.10894,0.14320
1988,30-45 y.,female,Born in Germany or immigrated <1950,0.86531,1026,1508,0.84807,0.88254
1988,30-45 y.,female,Not born in Germany,0.13469,482,1508,0.11746,0.15193
1988,46-65 y.,male,Born in Germany or immigrated <1950,0.87524,1064,1579,0.85894,0.89154
1988,46-65 y.,male,Not born in Germany,0.12476,515,1579,0.10846,0.14106
1988,46-65 y.,female,Born in Germany or immigrated <1950,0.89197,1143,1532,0.87642,0.90752
1988,46-65 y.,female,Not born in Germany,0.10803,389,1532,0.09248,0.12358
1988,66 and older,male,Born in Germany or immigrated <1950,0.94412,388,388,0.92124,0.96701
1988,66 and older,female,Born in Germany or immigrated <1950,0.95917,585,621,0.94359,0.97475
1988,66 and older,female,Not born in Germany,0.04083,36,621,0.02525,0.05641
1989,17-29 y.,male,Born in Germany or immigrated <1950,0.90303,1072,1457,0.88783,0.91823
1989,17-29 y.,male,Not born in Germany,0.09697,385,1457,0.08177,0.11217
1989,17-29 y.,female,Born in Germany or immigrated <1950,0.90229,1018,1372,0.88658,0.91801
1989,17-29 y.,female,Not born in Germany,0.09771,354,1372,0.08199,0.11342
1989,30-45 y.,male,Born in Germany or immigrated <1950,0.87365,962,1378,0.85610,0.89120
1989,30-45 y.,male,Not born in Germany,0.12635,416,1378,0.10880,0.14390
1989,30-45 y.,female,Born in Germany or immigrated <1950,0.86132,1004,1464,0.84361,0.87903
1989,30-45 y.,female,Not born in Germany,0.13868,460,1464,0.12097,0.15639
1989,46-65 y.,male,Born in Germany or immigrated <1950,0.86912,1022,1533,0.85223,0.88601
1989,46-65 y.,male,Not born in Germany,0.13088,511,1533,0.11399,0.14777
1989,46-65 y.,female,Born in Germany or immigrated <1950,0.87871,1056,1449,0.86190,0.89553
1989,46-65 y.,female,Not born in Germany,0.12129,393,1449,0.10447,0.13810
1989,66 and older,male,Born in Germany or immigrated <1950,0.92359,361,394,0.89732,0.94985
1989,66 and older,male,Not born in Germany,0.07641,33,394,0.05015,0.10268
1989,66 and older,female,Born in Germany or immigrated <1950,0.95699,581,617,0.94097,0.97301
1989,66 and older,female,Not born in Germany,0.04301,36,617,0.02699,0.05903
1990,17-29 y.,male,Born in Germany or immigrated <1950,0.91383,1581,1952,0.90138,0.92629
1990,17-29 y.,male,Not born in Germany,0.08617,371,1952,0.07371,0.09862
1990,17-29 y.,female,Born in Germany or immigrated <1950,0.91877,1576,1909,0.90651,0.93103
1990,17-29 y.,female,Not born in Germany,0.08123,333,1909,0.06897,0.09349
1990,30-45 y.,male,Born in Germany or immigrated <1950,0.89095,1686,2116,0.87766,0.90423
1990,30-45 y.,male,Not born in Germany,0.10905,430,2116,0.09577,0.12234
1990,30-45 y.,female,Born in Germany or immigrated <1950,0.88739,1745,2190,0.87415,0.90063
1990,30-45 y.,female,Not born in Germany,0.11261,445,2190,0.09937,0.12585
1990,46-65 y.,male,Born in Germany or immigrated <1950,0.87198,1605,2151,0.85786,0.88610
1990,46-65 y.,male,Not born in Germany,0.12802,546,2151,0.11390,0.14214
1990,46-65 y.,female,Born in Germany or immigrated <1950,0.88160,1666,2111,0.86782,0.89539
1990,46-65 y.,female,Not born in Germany,0.11840,445,2111,0.10461,0.13218
1990,66 and older,male,Born in Germany or immigrated <1950,0.92722,503,552,0.90553,0.94891
1990,66 and older,male,Not born in Germany,0.07278,49,552,0.05109,0.09447
1990,66 and older,female,Born in Germany or immigrated <1950,0.95088,854,910,0.93683,0.96493
1990,66 and older,female,Not born in Germany,0.04912,56,910,0.03507,0.06317
1991,17-29 y.,male,Born in Germany or immigrated <1950,0.91202,1524,1875,0.89920,0.92485
1991,17-29 y.,male,Not born in Germany,0.08798,351,1875,0.07515,0.10080
1991,17-29 y.,female,Born in Germany or immigrated <1950,0.91528,1507,1822,0.90249,0.92807
1991,17-29 y.,female,Not born in Germany,0.08472,315,1822,0.07193,0.09751
1991,30-45 y.,male,Born in Germany or immigrated <1950,0.89358,1710,2113,0.88042,0.90673
1991,30-45 y.,male,Not born in Germany,0.10642,403,2113,0.09327,0.11958
1991,30-45 y.,female,Born in Germany or immigrated <1950,0.88325,1769,2202,0.86983,0.89667
1991,30-45 y.,female,Not born in Germany,0.11675,433,2202,0.10333,0.13017
1991,46-65 y.,male,Born in Germany or immigrated <1950,0.85974,1540,2093,0.84486,0.87462
1991,46-65 y.,male,Not born in Germany,0.14026,553,2093,0.12538,0.15514
1991,46-65 y.,female,Born in Germany or immigrated <1950,0.87471,1591,2039,0.86033,0.88908
1991,46-65 y.,female,Not born in Germany,0.12529,448,2039,0.11092,0.13967
1991,66 and older,male,Born in Germany or immigrated <1950,0.91355,492,551,0.89007,0.93704
1991,66 and older,male,Not born in Germany,0.08645,59,551,0.06296,0.10993
1991,66 and older,female,Born in Germany or immigrated <1950,0.94262,831,893,0.92736,0.95788
1991,66 and older,female,Not born in Germany,0.05738,62,893,0.04212,0.07264
1992,17-29 y.,male,Born in Germany or immigrated <1950,0.90838,1463,1800,0.89505,0.92171
1992,17-29 y.,male,Not born in Germany,0.09162,337,1800,0.07829,0.10495
1992,17-29 y.,female,Born in Germany or immigrated <1950,0.90988,1483,1775,0.89655,0.92320
1992,17-29 y.,female,Not born in Germany,0.09012,292,1775,0.07680,0.10345
1992,30-45 y.,male,Born in Germany or immigrated <1950,0.89197,1694,2062,0.87857,0.90537
1992,30-45 y.,male,Not born in Germany,0.10803,368,2062,0.09463,0.12143
1992,30-45 y.,female,Born in Germany or immigrated <1950,0.88016,1775,2199,0.86658,0.89374
1992,30-45 y.,female,Not born in Germany,0.11984,424,2199,0.10626,0.13342
1992,46-65 y.,male,Born in Germany or immigrated <1950,0.84833,1496,2051,0.83280,0.86386
1992,46-65 y.,male,Not born in Germany,0.15167,555,2051,0.13614,0.16720
1992,46-65 y.,female,Born in Germany or immigrated <1950,0.86988,1541,1981,0.85506,0.88469
1992,46-65 y.,female,Not born in Germany,0.13012,440,1981,0.11531,0.14494
1992,66 and older,male,Born in Germany or immigrated <1950,0.90961,486,550,0.88562,0.93359
1992,66 and older,male,Not born in Germany,0.09039,64,550,0.06641,0.11438
1992,66 and older,female,Born in Germany or immigrated <1950,0.93788,827,899,0.92210,0.95367
1992,66 and older,female,Not born in Germany,0.06212,72,899,0.04633,0.07790
1993,17-29 y.,male,Born in Germany or immigrated <1950,0.90328,1435,1743,0.88940,0.91716
1993,17-29 y.,male,Not born in Germany,0.09672,308,1743,0.08284,0.11060
1993,17-29 y.,female,Born in Germany or immigrated <1950,0.90332,1466,1741,0.88943,0.91720
1993,17-29 y.,female,Not born in Germany,0.09668,275,1741,0.08280,0.11057
1993,30-45 y.,male,Born in Germany or immigrated <1950,0.88881,1686,2044,0.87518,0.90244
1993,30-45 y.,male,Not born in Germany,0.11119,358,2044,0.09756,0.12482
1993,30-45 y.,female,Born in Germany or immigrated <1950,0.88485,1759,2154,0.87137,0.89833
1993,30-45 y.,female,Not born in Germany,0.11515,395,2154,0.10167,0.12863
1993,46-65 y.,male,Born in Germany or immigrated <1950,0.83935,1478,2023,0.82334,0.85536
1993,46-65 y.,male,Not born in Germany,0.16065,545,2023,0.14464,0.17666
1993,46-65 y.,female,Born in Germany or immigrated <1950,0.85991,1485,1927,0.84441,0.87541
1993,46-65 y.,female,Not born in Germany,0.14009,442,1927,0.12459,0.15559
1993,66 and older,male,Born in Germany or immigrated <1950,0.89550,480,555,0.87003,0.92098
1993,66 and older,male,Not born in Germany,0.10450,75,555,0.07902,0.12997
1993,66 and older,female,Born in Germany or immigrated <1950,0.93285,837,916,0.91664,0.94907
1993,66 and older,female,Not born in Germany,0.06715,79,916,0.05093,0.08336
1994,17-29 y.,male,Born in Germany or immigrated <1950,0.90557,1385,1646,0.89144,0.91971
1994,17-29 y.,male,Not born in Germany,0.09443,261,1646,0.08029,0.10856
1994,17-29 y.,female,Born in Germany or immigrated <1950,0.89572,1438,1699,0.88119,0.91026
1994,17-29 y.,female,Not born in Germany,0.10428,261,1699,0.08974,0.11881
1994,30-45 y.,male,Born in Germany or immigrated <1950,0.88722,1684,2032,0.87346,0.90097
1994,30-45 y.,male,Not born in Germany,0.11278,348,2032,0.09903,0.12654
1994,30-45 y.,female,Born in Germany or immigrated <1950,0.88120,1751,2116,0.86741,0.89499
1994,30-45 y.,female,Not born in Germany,0.11880,365,2116,0.10501,0.13259
1994,46-65 y.,male,Born in Germany or immigrated <1950,0.83730,1456,1970,0.82100,0.85360
1994,46-65 y.,male,Not born in Germany,0.16270,514,1970,0.14640,0.17900
1994,46-65 y.,female,Born in Germany or immigrated <1950,0.85632,1481,1919,0.84062,0.87202
1994,46-65 y.,female,Not born in Germany,0.14368,438,1919,0.12798,0.15938
1994,66 and older,male,Born in Germany or immigrated <1950,0.87967,481,567,0.85287,0.90647
1994,66 and older,male,Not born in Germany,0.12033,86,567,0.09353,0.14713
1994,66 and older,female,Born in Germany or immigrated <1950,0.92724,840,925,0.91050,0.94399
1994,66 and older,female,Not born in Germany,0.07276,85,925,0.05601,0.08950
1995,17-29 y.,male,Born in Germany or immigrated <1950,0.86309,1338,1638,0.84643,0.87974
1995,17-29 y.,male,Not born in Germany,0.13691,300,1638,0.12026,0.15357
1995,17-29 y.,female,Born in Germany or immigrated <1950,0.87132,1415,1719,0.85549,0.88715
1995,17-29 y.,female,Not born in Germany,0.12868,304,1719,0.11285,0.14451
1995,30-45 y.,male,Born in Germany or immigrated <1950,0.85666,1708,2156,0.84186,0.87145
1995,30-45 y.,male,Not born in Germany,0.14334,448,2156,0.12855,0.15814
1995,30-45 y.,female,Born in Germany or immigrated <1950,0.84731,1809,2284,0.83255,0.86206
1995,30-45 y.,female,Not born in Germany,0.15269,475,2284,0.13794,0.16745
1995,46-65 y.,male,Born in Germany or immigrated <1950,0.83088,1471,2028,0.81456,0.84720
1995,46-65 y.,male,Not born in Germany,0.16912,557,2028,0.15280,0.18544
1995,46-65 y.,female,Born in Germany or immigrated <1950,0.84752,1454,1939,0.83151,0.86352
1995,46-65 y.,female,Not born in Germany,0.15248,485,1939,0.13648,0.16849
1995,66 and older,male,Born in Germany or immigrated <1950,0.87358,484,588,0.84670,0.90046
1995,66 and older,male,Not born in Germany,0.12642,104,588,0.09954,0.15330
1995,66 and older,female,Born in Germany or immigrated <1950,0.90938,826,934,0.89096,0.92780
1995,66 and older,female,Not born in Germany,0.09062,108,934,0.07220,0.10904
1996,17-29 y.,male,Born in Germany or immigrated <1950,0.86860,1277,1535,0.85169,0.88550
1996,17-29 y.,male,Not born in Germany,0.13140,258,1535,0.11450,0.14831
1996,17-29 y.,female,Born in Germany or immigrated <1950,0.85913,1351,1628,0.84223,0.87603
1996,17-29 y.,female,Not born in Germany,0.14087,277,1628,0.12397,0.15777
1996,30-45 y.,male,Born in Germany or immigrated <1950,0.86844,1767,2184,0.85426,0.88262
1996,30-45 y.,male,Not born in Germany,0.13156,417,2184,0.11738,0.14574
1996,30-45 y.,female,Born in Germany or immigrated <1950,0.85416,1815,2251,0.83958,0.86875
1996,30-45 y.,female,Not born in Germany,0.14584,436,2251,0.13125,0.16042
1996,46-65 y.,male,Born in Germany or immigrated <1950,0.82307,1444,1972,0.80622,0.83992
1996,46-65 y.,male,Not born in Germany,0.17693,528,1972,0.16008,0.19378
1996,46-65 y.,female,Born in Germany or immigrated <1950,0.85569,1475,1930,0.84001,0.87137
1996,46-65 y.,female,Not born in Germany,0.14431,455,1930,0.12863,0.15999
1996,66 and older,male,Born in Germany or immigrated <1950,0.87201,497,602,0.84530,0.89872
1996,66 and older,male,Not born in Germany,0.12799,105,602,0.10128,0.15470
1996,66 and older,female,Born in Germany or immigrated <1950,0.90050,824,946,0.88141,0.91958
1996,66 and older,female,Not born in Germany,0.09950,122,946,0.08042,0.11859
1997,17-29 y.,male,Born in Germany or immigrated <1950,0.86517,1251,1488,0.84781,0.88253
1997,17-29 y.,male,Not born in Germany,0.13483,237,1488,0.11747,0.15219
1997,17-29 y.,female,Born in Germany or immigrated <1950,0.86318,1301,1542,0.84602,0.88033
1997,17-29 y.,female,Not born in Germany,0.13682,241,1542,0.11967,0.15398
1997,30-45 y.,male,Born in Germany or immigrated <1950,0.87567,1746,2155,0.86174,0.88961
1997,30-45 y.,male,Not born in Germany,0.12433,409,2155,0.11039,0.13826
1997,30-45 y.,female,Born in Germany or immigrated <1950,0.85640,1798,2210,0.84178,0.87103
1997,30-45 y.,female,Not born in Germany,0.14360,412,2210,0.12897,0.15822
1997,46-65 y.,male,Born in Germany or immigrated <1950,0.82120,1440,1929,0.80410,0.83830
1997,46-65 y.,male,Not born in Germany,0.17880,489,1929,0.16170,0.19590
1997,46-65 y.,female,Born in Germany or immigrated <1950,0.85009,1473,1924,0.83414,0.86605
1997,46-65 y.,female,Not born in Germany,0.14991,451,1924,0.13395,0.16586
1997,66 and older,male,Born in Germany or immigrated <1950,0.86957,521,637,0.84339,0.89574
1997,66 and older,male,Not born in Germany,0.13043,116,637,0.10426,0.15661
1997,66 and older,female,Born in Germany or immigrated <1950,0.90485,828,945,0.88613,0.92356
1997,66 and older,female,Not born in Germany,0.09515,117,945,0.07644,0.11387
1998,17-29 y.,male,Born in Germany or immigrated <1950,0.87934,1356,1567,0.86321,0.89547
1998,17-29 y.,male,Not born in Germany,0.12066,211,1567,0.10453,0.13679
1998,17-29 y.,female,Born in Germany or immigrated <1950,0.86805,1374,1598,0.85146,0.88465
1998,17-29 y.,female,Not born in Germany,0.13195,224,1598,0.11535,0.14854
1998,30-45 y.,male,Born in Germany or immigrated <1950,0.87322,1974,2375,0.85984,0.88660
1998,30-45 y.,male,Not born in Germany,0.12678,401,2375,0.11340,0.14016
1998,30-45 y.,female,Born in Germany or immigrated <1950,0.86457,2068,2452,0.85103,0.87812
1998,30-45 y.,female,Not born in Germany,0.13543,384,2452,0.12188,0.14897
1998,46-65 y.,male,Born in Germany or immigrated <1950,0.82770,1709,2189,0.81187,0.84352
1998,46-65 y.,male,Not born in Germany,0.17230,480,2189,0.15648,0.18813
1998,46-65 y.,female,Born in Germany or immigrated <1950,0.85375,1753,2204,0.83900,0.86851
1998,46-65 y.,female,Not born in Germany,0.14625,451,2204,0.13149,0.16100
1998,66 and older,male,Born in Germany or immigrated <1950,0.88140,638,758,0.85837,0.90443
1998,66 and older,male,Not born in Germany,0.11860,120,758,0.09557,0.14163
1998,66 and older,female,Born in Germany or immigrated <1950,0.90434,969,1097,0.88693,0.92176
1998,66 and older,female,Not born in Germany,0.09566,128,1097,0.07824,0.11307
1999,17-29 y.,male,Born in Germany or immigrated <1950,0.88311,1276,1449,0.86656,0.89966
1999,17-29 y.,male,Not born in Germany,0.11689,173,1449,0.10034,0.13344
1999,17-29 y.,female,Born in Germany or immigrated <1950,0.88168,1329,1524,0.86546,0.89790
1999,17-29 y.,female,Not born in Germany,0.11832,195,1524,0.10210,0.13454
1999,30-45 y.,male,Born in Germany or immigrated <1950,0.87656,1949,2330,0.86320,0.88992
1999,30-45 y.,male,Not born in Germany,0.12344,381,2330,0.11008,0.13680
1999,30-45 y.,female,Born in Germany or immigrated <1950,0.86447,2024,2383,0.85073,0.87822
1999,30-45 y.,female,Not born in Germany,0.13553,359,2383,0.12178,0.14927
1999,46-65 y.,male,Born in Germany or immigrated <1950,0.83561,1649,2080,0.81968,0.85155
1999,46-65 y.,male,Not born in Germany,0.16439,431,2080,0.14845,0.18032
1999,46-65 y.,female,Born in Germany or immigrated <1950,0.85337,1692,2109,0.83826,0.86847
1999,46-65 y.,female,Not born in Germany,0.14663,417,2109,0.13153,0.16174
1999,66 and older,male,Born in Germany or immigrated <1950,0.87118,627,750,0.84719,0.89517
1999,66 and older,male,Not born in Germany,0.12882,123,750,0.10483,0.15281
1999,66 and older,female,Born in Germany or immigrated <1950,0.90185,924,1049,0.88383,0.91986
1999,66 and older,female,Not born in Germany,0.09815,125,1049,0.08014,0.11617
2000,17-29 y.,male,Born in Germany or immigrated <1950,0.85924,1941,2227,0.84479,0.87369
2000,17-29 y.,male,Not born in Germany,0.14076,286,2227,0.12631,0.15521
2000,17-29 y.,female,Born in Germany or immigrated <1950,0.86129,2050,2356,0.84733,0.87525
2000,17-29 y.,female,Not born in Germany,0.13871,306,2356,0.12475,0.15267
2000,30-45 y.,male,Born in Germany or immigrated <1950,0.87185,3410,3993,0.86149,0.88222
2000,30-45 y.,male,Not born in Germany,0.12815,583,3993,0.11778,0.13851
2000,30-45 y.,female,Born in Germany or immigrated <1950,0.85658,3580,4172,0.84594,0.86721
2000,30-45 y.,female,Not born in Germany,0.14342,592,4172,0.13279,0.15406
2000,46-65 y.,male,Born in Germany or immigrated <1950,0.85565,3239,3831,0.84452,0.86678
2000,46-65 y.,male,Not born in Germany,0.14435,592,3831,0.13322,0.15548
2000,46-65 y.,female,Born in Germany or immigrated <1950,0.86555,3345,3936,0.85490,0.87621
2000,46-65 y.,female,Not born in Germany,0.13445,591,3936,0.12379,0.14510
2000,66 and older,male,Born in Germany or immigrated <1950,0.90276,1373,1535,0.88793,0.91759
2000,66 and older,male,Not born in Germany,0.09724,162,1535,0.08241,0.11207
2000,66 and older,female,Born in Germany or immigrated <1950,0.91337,1869,2062,0.90123,0.92552
2000,66 and older,female,Not born in Germany,0.08663,193,2062,0.07448,0.09877
2001,17-29 y.,male,Born in Germany or immigrated <1950,0.86244,1745,1981,0.84727,0.87761
2001,17-29 y.,male,Not born in Germany,0.13756,236,1981,0.12239,0.15273
2001,17-29 y.,female,Born in Germany or immigrated <1950,0.85400,1857,2118,0.83896,0.86905
2001,17-29 y.,female,Not born in Germany,0.14600,261,2118,0.13095,0.16104
2001,30-45 y.,male,Born in Germany or immigrated <1950,0.86847,3021,3542,0.85734,0.87960
2001,30-45 y.,male,Not born in Germany,0.13153,521,3542,0.12040,0.14266
2001,30-45 y.,female,Born in Germany or immigrated <1950,0.86163,3268,3786,0.85062,0.87263
2001,30-45 y.,female,Not born in Germany,0.13837,518,3786,0.12737,0.14938
2001,46-65 y.,male,Born in Germany or immigrated <1950,0.86414,3012,3525,0.85283,0.87546
2001,46-65 y.,male,Not born in Germany,0.13586,513,3525,0.12454,0.14717
2001,46-65 y.,female,Born in Germany or immigrated <1950,0.86777,3038,3570,0.85665,0.87888
2001,46-65 y.,female,Not born in Germany,0.13223,532,3570,0.12112,0.14335
2001,66 and older,male,Born in Germany or immigrated <1950,0.90548,1317,1477,0.89055,0.92040
2001,66 and older,male,Not born in Germany,0.09452,160,1477,0.07960,0.10945
2001,66 and older,female,Born in Germany or immigrated <1950,0.91725,1747,1922,0.90493,0.92957
2001,66 and older,female,Not born in Germany,0.08275,175,1922,0.07043,0.09507
2002,17-29 y.,male,Born in Germany or immigrated <1950,0.85833,1804,2017,0.84311,0.87355
2002,17-29 y.,male,Not born in Germany,0.14167,213,2017,0.12645,0.15689
2002,17-29 y.,female,Born in Germany or immigrated <1950,0.85623,1897,2125,0.84131,0.87116
2002,17-29 y.,female,Not born in Germany,0.14377,228,2125,0.12884,0.15869
2002,30-45 y.,male,Born in Germany or immigrated <1950,0.87005,3087,3565,0.85901,0.88109
2002,30-45 y.,male,Not born in Germany,0.12995,478,3565,0.11891,0.14099
2002,30-45 y.,female,Born in Germany or immigrated <1950,0.85690,3384,3875,0.84587,0.86792
2002,30-45 y.,female,Not born in Germany,0.14310,491,3875,0.13208,0.15413
2002,46-65 y.,male,Born in Germany or immigrated <1950,0.86385,3429,3929,0.85312,0.87457
2002,46-65 y.,male,Not born in Germany,0.13615,500,3929,0.12543,0.14688
2002,46-65 y.,female,Born in Germany or immigrated <1950,0.86010,3386,3925,0.84925,0.87096
2002,46-65 y.,female,Not born in Germany,0.13990,539,3925,0.12904,0.15075
2002,66 and older,male,Born in Germany or immigrated <1950,0.89991,1447,1617,0.88528,0.91454
2002,66 and older,male,Not born in Germany,0.10009,170,1617,0.08546,0.11472
2002,66 and older,female,Born in Germany or immigrated <1950,0.91467,1796,1974,0.90235,0.92700
2002,66 and older,female,Not born in Germany,0.08533,178,1974,0.07300,0.09765
2003,17-29 y.,male,Born in Germany or immigrated <1950,0.86923,1753,1933,0.85420,0.88427
2003,17-29 y.,male,Not born in Germany,0.13077,180,1933,0.11573,0.14580
2003,17-29 y.,female,Born in Germany or immigrated <1950,0.86962,1874,2074,0.85513,0.88412
2003,17-29 y.,female,Not born in Germany,0.13038,200,2074,0.11588,0.14487
2003,30-45 y.,male,Born in Germany or immigrated <1950,0.86332,2887,3329,0.85165,0.87499
2003,30-45 y.,male,Not born in Germany,0.13668,442,3329,0.12501,0.14835
2003,30-45 y.,female,Born in Germany or immigrated <1950,0.85626,3156,3608,0.84481,0.86771
2003,30-45 y.,female,Not born in Germany,0.14374,452,3608,0.13229,0.15519
2003,46-65 y.,male,Born in Germany or immigrated <1950,0.86415,3288,3755,0.85319,0.87511
2003,46-65 y.,male,Not born in Germany,0.13585,467,3755,0.12489,0.14681
2003,46-65 y.,female,Born in Germany or immigrated <1950,0.85415,3296,3817,0.84295,0.86535
2003,46-65 y.,female,Not born in Germany,0.14585,521,3817,0.13465,0.15705
2003,66 and older,male,Born in Germany or immigrated <1950,0.89858,1485,1660,0.88406,0.91311
2003,66 and older,male,Not born in Germany,0.10142,175,1660,0.08689,0.11594
2003,66 and older,female,Born in Germany or immigrated <1950,0.91209,1808,1990,0.89964,0.92453
2003,66 and older,female,Not born in Germany,0.08791,182,1990,0.07547,0.10036
2004,17-29 y.,male,Born in Germany or immigrated <1950,0.87123,1737,1912,0.85621,0.88625
2004,17-29 y.,male,Not born in Germany,0.12877,175,1912,0.11375,0.14379
2004,17-29 y.,female,Born in Germany or immigrated <1950,0.86996,1849,2048,0.85539,0.88453
2004,17-29 y.,female,Not born in Germany,0.13004,199,2048,0.11547,0.14461
2004,30-45 y.,male,Born in Germany or immigrated <1950,0.86134,2712,3126,0.84922,0.87345
2004,30-45 y.,male,Not born in Germany,0.13866,414,3126,0.12655,0.15078
2004,30-45 y.,female,Born in Germany or immigrated <1950,0.85098,2969,3403,0.83902,0.86295
