year,migback,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,No migration background,Urban regions,Born in Germany or immigrated <1950,0.84506,6265,6265,0.83610,0.85402
1991,No migration background,Rural regions,Born in Germany or immigrated <1950,0.82124,4263,4263,0.80973,0.83274
1991,Direct migration background,Urban regions,Not born in Germany,0.96700,2211,2211,0.95955,0.97445
1991,Direct migration background,Rural regions,Not born in Germany,0.96244,412,412,0.94405,0.98082
1991,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.21273,300,300,0.16634,0.25912
1991,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.19781,47,47,0.08269,0.31292
1992,No migration background,Urban regions,Born in Germany or immigrated <1950,0.84183,6186,6186,0.83274,0.85093
1992,No migration background,Rural regions,Born in Germany or immigrated <1950,0.81973,4056,4056,0.80790,0.83156
1992,Direct migration background,Urban regions,Not born in Germany,0.97993,2141,2141,0.97399,0.98587
1992,Direct migration background,Rural regions,Not born in Germany,0.98113,410,410,0.96795,0.99432
1992,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.25772,344,344,0.21143,0.30401
1992,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.26666,61,61,0.15477,0.37856
1993,No migration background,Urban regions,Born in Germany or immigrated <1950,0.83811,6151,6151,0.82890,0.84732
1993,No migration background,Rural regions,Born in Germany or immigrated <1950,0.81946,4008,4008,0.80755,0.83137
1993,Direct migration background,Urban regions,Not born in Germany,0.98603,2066,2066,0.98097,0.99109
1993,Direct migration background,Rural regions,Not born in Germany,0.97786,411,411,0.96361,0.99210
1993,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.31121,392,392,0.26532,0.35710
1993,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.33529,75,75,0.22773,0.44286
1994,No migration background,Urban regions,Born in Germany or immigrated <1950,0.83808,6090,6090,0.82883,0.84733
1994,No migration background,Rural regions,Born in Germany or immigrated <1950,0.81440,3936,3936,0.80225,0.82655
1994,Direct migration background,Urban regions,Not born in Germany,0.98821,1974,1974,0.98345,0.99297
1994,Direct migration background,Rural regions,Not born in Germany,0.98951,384,384,0.97931,0.99972
1994,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.32940,416,416,0.28418,0.37462
1994,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.34933,74,74,0.23997,0.45870
1995,No migration background,Urban regions,Born in Germany or immigrated <1950,0.83926,6003,6003,0.82997,0.84855
1995,No migration background,Rural regions,Born in Germany or immigrated <1950,0.81375,3999,3999,0.80169,0.82582
1995,Direct migration background,Urban regions,Not born in Germany,0.94307,2309,2309,0.93362,0.95253
1995,Direct migration background,Rural regions,Not born in Germany,0.93107,472,472,0.90819,0.95395
1995,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.32919,426,426,0.28452,0.37387
1995,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.31752,77,77,0.21286,0.42218
1996,No migration background,Urban regions,Born in Germany or immigrated <1950,0.84000,5950,5950,0.83068,0.84931
1996,No migration background,Rural regions,Born in Germany or immigrated <1950,0.81909,3958,3958,0.80709,0.83108
1996,Direct migration background,Urban regions,Not born in Germany,0.94681,2140,2140,0.93730,0.95632
1996,Direct migration background,Rural regions,Not born in Germany,0.93153,458,458,0.90837,0.95468
1996,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.33557,453,453,0.29204,0.37910
1996,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.35539,89,89,0.25539,0.45540
1997,No migration background,Urban regions,Born in Germany or immigrated <1950,0.84137,5866,5866,0.83202,0.85072
1997,No migration background,Rural regions,Born in Germany or immigrated <1950,0.81929,3925,3925,0.80725,0.83133
1997,Direct migration background,Urban regions,Not born in Germany,0.94858,2043,2043,0.93900,0.95816
1997,Direct migration background,Rural regions,Not born in Germany,0.94504,429,429,0.92344,0.96663
1997,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.37479,481,481,0.33148,0.41809
1997,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.34375,85,85,0.24217,0.44532
1998,No migration background,Urban regions,Born in Germany or immigrated <1950,0.84725,6802,6802,0.83870,0.85580
1998,No migration background,Rural regions,Born in Germany or immigrated <1950,0.82035,4444,4444,0.80906,0.83164
1998,Direct migration background,Urban regions,Not born in Germany,0.94353,1985,1985,0.93337,0.95368
1998,Direct migration background,Rural regions,Not born in Germany,0.95567,414,414,0.93582,0.97552
1998,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.40283,503,503,0.35992,0.44573
1998,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.34456,92,92,0.24692,0.44221
1999,No migration background,Urban regions,Born in Germany or immigrated <1950,0.84866,6534,6534,0.83996,0.85735
1999,No migration background,Rural regions,Born in Germany or immigrated <1950,0.82550,4332,4332,0.81419,0.83680
1999,Direct migration background,Urban regions,Not born in Germany,0.94995,1843,1843,0.94000,0.95991
1999,Direct migration background,Rural regions,Not born in Germany,0.95294,361,361,0.93107,0.97482
1999,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.42139,517,517,0.37878,0.46400
1999,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.31365,87,87,0.21559,0.41171
2000,No migration background,Urban regions,Born in Germany or immigrated <1950,0.85013,12315,12315,0.84383,0.85644
2000,No migration background,Rural regions,Born in Germany or immigrated <1950,0.83295,7674,7674,0.82460,0.84130
2000,Direct migration background,Urban regions,Not born in Germany,0.91832,2729,2729,0.90805,0.92860
2000,Direct migration background,Rural regions,Not born in Germany,0.91890,576,576,0.89658,0.94121
2000,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.41347,706,706,0.37712,0.44983
2000,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.32041,112,112,0.23360,0.40722
2001,No migration background,Urban regions,Born in Germany or immigrated <1950,0.85008,11268,11268,0.84349,0.85668
2001,No migration background,Rural regions,Born in Germany or immigrated <1950,0.84095,6973,6973,0.83236,0.84953
2001,Direct migration background,Urban regions,Not born in Germany,0.93741,2404,2404,0.92772,0.94709
2001,Direct migration background,Rural regions,Not born in Germany,0.93139,512,512,0.90947,0.95331
2001,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.40138,664,664,0.36406,0.43869
2001,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.27195,100,100,0.18430,0.35960
2002,No migration background,Urban regions,Born in Germany or immigrated <1950,0.85176,12318,12318,0.84548,0.85803
2002,No migration background,Rural regions,Born in Germany or immigrated <1950,0.84204,7143,7143,0.83359,0.85050
2002,Direct migration background,Urban regions,Not born in Germany,0.94651,2314,2314,0.93734,0.95568
2002,Direct migration background,Rural regions,Not born in Germany,0.93602,483,483,0.91417,0.95787
2002,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.39847,672,672,0.36142,0.43551
2002,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.30067,97,97,0.20894,0.39240
2003,No migration background,Urban regions,Born in Germany or immigrated <1950,0.85149,11927,11927,0.84511,0.85787
2003,No migration background,Rural regions,Born in Germany or immigrated <1950,0.84686,6843,6843,0.83833,0.85540
2003,Direct migration background,Urban regions,Not born in Germany,0.95272,2161,2161,0.94377,0.96167
2003,Direct migration background,Rural regions,Not born in Germany,0.93566,458,458,0.91316,0.95815
2003,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.41772,676,676,0.38051,0.45492
2003,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.32234,101,101,0.23074,0.41395
2004,No migration background,Urban regions,Born in Germany or immigrated <1950,0.85347,11598,11598,0.84704,0.85991
2004,No migration background,Rural regions,Born in Germany or immigrated <1950,0.85093,6680,6680,0.84239,0.85947
2004,Direct migration background,Urban regions,Not born in Germany,0.96085,2097,2097,0.95255,0.96916
2004,Direct migration background,Rural regions,Not born in Germany,0.96091,441,441,0.94280,0.97902
2004,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.43354,683,683,0.39635,0.47073
2004,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.40699,115,115,0.31681,0.49717
2005,No migration background,Urban regions,Born in Germany or immigrated <1950,0.85841,11104,11104,0.85192,0.86489
2005,No migration background,Rural regions,Born in Germany or immigrated <1950,0.85116,6401,6401,0.84244,0.85988
2005,Direct migration background,Urban regions,Not born in Germany,0.96625,1962,1962,0.95825,0.97424
2005,Direct migration background,Rural regions,Not born in Germany,0.96774,406,406,0.95053,0.98495
2005,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.47819,718,718,0.44163,0.51476
2005,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.41580,108,108,0.32241,0.50918
2006,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86033,11995,11995,0.85413,0.86653
2006,No migration background,Rural regions,Born in Germany or immigrated <1950,0.85617,7037,7037,0.84797,0.86437
2006,Direct migration background,Urban regions,Not born in Germany,0.96514,1955,1955,0.95701,0.97327
2006,Direct migration background,Rural regions,Not born in Germany,0.95775,430,430,0.93871,0.97679
2006,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.49822,726,726,0.46182,0.53461
2006,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.41536,128,128,0.32965,0.50107
2007,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86039,11255,11255,0.85399,0.86680
2007,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86586,6627,6627,0.85765,0.87407
2007,Direct migration background,Urban regions,Not born in Germany,0.97431,1736,1736,0.96686,0.98175
2007,Direct migration background,Rural regions,Not born in Germany,0.96587,397,397,0.94799,0.98376
2007,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.52202,714,714,0.48535,0.55868
2007,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.42878,121,121,0.34023,0.51733
2008,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86387,10613,10613,0.85735,0.87039
2008,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86378,6226,6226,0.85526,0.87230
2008,Direct migration background,Urban regions,Not born in Germany,0.97752,1561,1561,0.97016,0.98488
2008,Direct migration background,Rural regions,Not born in Germany,0.97889,349,349,0.96378,0.99399
2008,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.53848,699,699,0.50150,0.57546
2008,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.55133,123,123,0.46307,0.63958
2009,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86593,9915,9915,0.85923,0.87264
2009,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86152,5921,5921,0.85272,0.87032
2009,Direct migration background,Urban regions,Not born in Germany,0.98344,1348,1348,0.97663,0.99026
2009,Direct migration background,Rural regions,Not born in Germany,0.97752,319,319,0.96122,0.99381
2009,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.56757,625,625,0.52870,0.60644
2009,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.57090,126,126,0.48413,0.65767
2010,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87194,12582,12582,0.86610,0.87778
2010,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86794,7582,7582,0.86031,0.87556
2010,Direct migration background,Urban regions,Not born in Germany,0.97397,2360,2360,0.96755,0.98040
2010,Direct migration background,Rural regions,Not born in Germany,0.97169,637,637,0.95880,0.98458
2010,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.49444,960,960,0.46280,0.52609
2010,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.44655,207,207,0.37867,0.51444
2011,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86768,14888,14888,0.86223,0.87312
2011,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86269,9296,9296,0.85570,0.86969
2011,Direct migration background,Urban regions,Not born in Germany,0.97320,2568,2568,0.96695,0.97945
2011,Direct migration background,Rural regions,Not born in Germany,0.97436,805,805,0.96343,0.98528
2011,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.48949,1085,1085,0.45973,0.51925
2011,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.45237,258,258,0.39152,0.51323
2012,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86861,14455,14455,0.86310,0.87412
2012,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86400,9200,9200,0.85700,0.87101
2012,Direct migration background,Urban regions,Not born in Germany,0.96964,2391,2391,0.96276,0.97652
2012,Direct migration background,Rural regions,Not born in Germany,0.97567,822,822,0.96513,0.98621
2012,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.49175,1039,1039,0.46133,0.52216
2012,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.47466,259,259,0.41372,0.53559
2013,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87054,13766,13766,0.86494,0.87615
2013,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86843,8693,8693,0.86133,0.87554
2013,Direct migration background,Urban regions,Not born in Germany,0.96774,4965,4965,0.96283,0.97266
2013,Direct migration background,Rural regions,Not born in Germany,0.97194,1612,1612,0.96388,0.98001
2013,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.49430,1777,1777,0.47105,0.51755
2013,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.51715,370,370,0.46616,0.56813
2014,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87026,12560,12560,0.86438,0.87614
2014,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86961,7925,7925,0.86220,0.87703
2014,Direct migration background,Urban regions,Not born in Germany,0.96826,3988,3988,0.96282,0.97370
2014,Direct migration background,Rural regions,Not born in Germany,0.96802,1344,1344,0.95862,0.97743
2014,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.52083,1494,1494,0.49549,0.54617
2014,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.51195,343,343,0.45897,0.56493
2015,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87484,11927,11927,0.86890,0.88078
2015,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86645,7585,7585,0.85880,0.87411
2015,Direct migration background,Urban regions,Not born in Germany,0.96454,4555,4555,0.95917,0.96991
2015,Direct migration background,Rural regions,Not born in Germany,0.96839,1555,1555,0.95970,0.97709
2015,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.51675,1385,1385,0.49042,0.54308
2015,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.49185,335,335,0.43823,0.54547
2016,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87268,11087,11087,0.86648,0.87889
2016,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86329,7056,7056,0.85527,0.87131
2016,Direct migration background,Urban regions,Not born in Germany,0.95622,5972,5972,0.95103,0.96141
2016,Direct migration background,Rural regions,Not born in Germany,0.95266,2253,2253,0.94389,0.96143
2016,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.53919,1278,1278,0.51185,0.56653
2016,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.52328,326,326,0.46898,0.57759
2017,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87376,12512,12512,0.86794,0.87958
2017,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86090,7955,7955,0.85330,0.86851
2017,Direct migration background,Urban regions,Not born in Germany,0.95321,6492,6492,0.94808,0.95835
2017,Direct migration background,Rural regions,Not born in Germany,0.94493,2554,2554,0.93609,0.95378
2017,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.53590,1430,1430,0.51004,0.56176
2017,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.48528,316,316,0.43009,0.54048
2018,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87766,12139,12139,0.87183,0.88348
2018,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86320,7598,7598,0.85548,0.87093
2018,Direct migration background,Urban regions,Not born in Germany,0.94930,6151,6151,0.94382,0.95479
2018,Direct migration background,Rural regions,Not born in Germany,0.95115,2275,2275,0.94229,0.96001
2018,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.54254,1399,1399,0.51643,0.56866
2018,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.51171,327,327,0.45745,0.56597
2019,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87299,12437,12437,0.86714,0.87885
2019,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86128,7616,7616,0.85351,0.86904
2019,Direct migration background,Urban regions,Not born in Germany,0.95665,5549,5549,0.95129,0.96201
2019,Direct migration background,Rural regions,Not born in Germany,0.94630,2019,2019,0.93646,0.95613
2019,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.53414,1332,1332,0.50734,0.56094
2019,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.51273,320,320,0.45788,0.56758
2020,No migration background,Urban regions,Born in Germany or immigrated <1950,0.87017,11777,11777,0.86410,0.87624
2020,No migration background,Rural regions,Born in Germany or immigrated <1950,0.85866,7069,7069,0.85053,0.86678
2020,Direct migration background,Urban regions,Not born in Germany,0.95499,7262,7262,0.95022,0.95976
2020,Direct migration background,Rural regions,Not born in Germany,0.94347,2282,2282,0.93399,0.95295
2020,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.53014,1317,1317,0.50318,0.55711
2020,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.46712,305,305,0.41103,0.52320
2021,No migration background,Urban regions,Born in Germany or immigrated <1950,0.86913,8439,8439,0.86194,0.87633
2021,No migration background,Rural regions,Born in Germany or immigrated <1950,0.86246,4947,4947,0.85286,0.87206
2021,Direct migration background,Urban regions,Not born in Germany,0.95016,4345,4345,0.94369,0.95663
2021,Direct migration background,Rural regions,Not born in Germany,0.92621,1224,1224,0.91156,0.94086
2021,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.49471,775,775,0.45949,0.52993
2021,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.43174,201,201,0.36309,0.50039
2022,No migration background,Urban regions,Born in Germany or immigrated <1950,0.85299,11433,11433,0.84650,0.85948
2022,No migration background,Rural regions,Born in Germany or immigrated <1950,0.85694,7091,7091,0.84879,0.86509
2022,Direct migration background,Urban regions,Not born in Germany,0.93643,6792,6792,0.93063,0.94224
2022,Direct migration background,Rural regions,Not born in Germany,0.92487,1452,1452,0.91131,0.93843
2022,Indirect migration background,Urban regions,Born in Germany or immigrated <1950,0.56515,1151,1151,0.53650,0.59380
2022,Indirect migration background,Rural regions,Born in Germany or immigrated <1950,0.50873,354,354,0.45658,0.56089
