year,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,female,Not born in Germany,0.13829,4159,15633,0.13288,0.14371
2019,male,Born in Germany or immigrated <1950,0.71070,10745,14630,0.70335,0.71805
2019,male,Not born in Germany,0.13185,3885,14630,0.12636,0.13733
2019,female,Born in Germany or immigrated <1950,0.71769,11479,15194,0.71053,0.72485
2019,female,Not born in Germany,0.13716,3715,15194,0.13169,0.14263
2020,male,Born in Germany or immigrated <1950,0.71642,9728,14922,0.70918,0.72365
2020,male,Not born in Germany,0.12347,5194,14922,0.11819,0.12875
2020,female,Born in Germany or immigrated <1950,0.72664,10733,15083,0.71952,0.73375
2020,female,Not born in Germany,0.12547,4350,15083,0.12018,0.13076
2021,male,Born in Germany or immigrated <1950,0.70688,6795,9677,0.69781,0.71595
2021,male,Not born in Germany,0.12818,2882,9677,0.12152,0.13484
2021,female,Born in Germany or immigrated <1950,0.71549,7561,10248,0.70676,0.72423
2021,female,Not born in Germany,0.13214,2687,10248,0.12558,0.13870
2022,male,Born in Germany or immigrated <1950,0.68344,9593,13789,0.67568,0.69121
2022,male,Not born in Germany,0.14527,4196,13789,0.13939,0.15116
2022,female,Born in Germany or immigrated <1950,0.69679,10423,14463,0.68930,0.70428
2022,female,Not born in Germany,0.14497,4040,14463,0.13923,0.15071
