year,pgisced97,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Pre-primary Level,4th Quintile,Born in Germany or immigrated <1950,0.93346,32,32,0.84573,1.02119
1987,Primary Level,1st Quintile,Not born in Germany,0.62695,214,214,0.56200,0.69190
1987,Primary Level,2nd Quintile,Not born in Germany,0.63494,169,169,0.56214,0.70774
1987,Primary Level,3rd Quintile,Not born in Germany,0.62041,135,135,0.53825,0.70258
1987,Primary Level,4th Quintile,Not born in Germany,0.64512,107,107,0.55404,0.73621
1987,Primary Level,5th Quintile,Not born in Germany,0.66549,43,43,0.52280,0.80818
1987,Lower Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.86433,476,778,0.84025,0.88841
1987,Lower Secondary Level,1st Quintile,Not born in Germany,0.13567,302,778,0.11159,0.15975
1987,Lower Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.86868,427,669,0.84306,0.89429
1987,Lower Secondary Level,2nd Quintile,Not born in Germany,0.13132,242,669,0.10571,0.15694
1987,Lower Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.88025,396,568,0.85353,0.90697
1987,Lower Secondary Level,3rd Quintile,Not born in Germany,0.11953,172,568,0.09283,0.14624
1987,Lower Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.87937,334,480,0.85020,0.90854
1987,Lower Secondary Level,4th Quintile,Not born in Germany,0.12063,146,480,0.09146,0.14980
1987,Lower Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.90067,266,340,0.86883,0.93251
1987,Lower Secondary Level,5th Quintile,Not born in Germany,0.09933,74,340,0.06749,0.13117
1987,Upper Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.91442,594,788,0.89487,0.93396
1987,Upper Secondary Level,1st Quintile,Not born in Germany,0.08558,194,788,0.06604,0.10513
1987,Upper Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.91667,772,956,0.89914,0.93420
1987,Upper Secondary Level,2nd Quintile,Not born in Germany,0.08333,184,956,0.06580,0.10086
1987,Upper Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.91893,870,1067,0.90255,0.93532
1987,Upper Secondary Level,3rd Quintile,Not born in Germany,0.08107,197,1067,0.06468,0.09745
1987,Upper Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.93388,955,1127,0.91937,0.94840
1987,Upper Secondary Level,4th Quintile,Not born in Germany,0.06612,172,1127,0.05160,0.08063
1987,Upper Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.94044,916,1030,0.92598,0.95490
1987,Upper Secondary Level,5th Quintile,Not born in Germany,0.05956,114,1030,0.04510,0.07402
1987,Post-secondary Non-tertiary Level,1st Quintile,Not born in Germany,0.26693,31,31,0.10863,0.42522
1987,Post-secondary Non-tertiary Level,3rd Quintile,Born in Germany or immigrated <1950,0.84004,38,38,0.72192,0.95815
1987,Post-secondary Non-tertiary Level,4th Quintile,Born in Germany or immigrated <1950,0.93518,36,36,0.85361,1.01675
1987,Post-secondary Non-tertiary Level,5th Quintile,Born in Germany or immigrated <1950,0.94942,59,59,0.89302,1.00582
1987,First Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.94180,41,41,0.86924,1.01435
1987,First Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.89778,75,75,0.82876,0.96680
1987,First Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.90759,104,104,0.85167,0.96352
1987,First Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.93374,128,128,0.89048,0.97700
1987,First Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.95408,163,163,0.92185,0.98631
1987,Second Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.86152,37,37,0.74868,0.97435
1987,Second Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.89259,36,36,0.79000,0.99517
1987,Second Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.91237,67,67,0.84415,0.98059
1987,Second Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.90882,159,159,0.86394,0.95371
1987,Second Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.92342,343,380,0.89665,0.95019
1987,Second Stage of Tertiary Education,5th Quintile,Not born in Germany,0.07658,37,380,0.04981,0.10335
1988,Pre-primary Level,2nd Quintile,Born in Germany or immigrated <1950,0.97375,33,33,0.91835,1.02914
1988,Pre-primary Level,3rd Quintile,Born in Germany or immigrated <1950,0.99868,38,38,0.98696,1.01039
1988,Primary Level,1st Quintile,Born in Germany or immigrated <1950,0.46840,38,239,0.40500,0.53180
1988,Primary Level,1st Quintile,Not born in Germany,0.53160,201,239,0.46820,0.59500
1988,Primary Level,2nd Quintile,Not born in Germany,0.75364,150,150,0.68445,0.82283
1988,Primary Level,3rd Quintile,Not born in Germany,0.65768,126,126,0.57450,0.74086
1988,Primary Level,4th Quintile,Not born in Germany,0.68787,100,100,0.59659,0.77914
1988,Primary Level,5th Quintile,Not born in Germany,0.52836,36,36,0.36297,0.69374
1988,Lower Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.86414,457,758,0.83973,0.88855
1988,Lower Secondary Level,1st Quintile,Not born in Germany,0.13586,301,758,0.11145,0.16027
1988,Lower Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.87757,410,644,0.85224,0.90291
1988,Lower Secondary Level,2nd Quintile,Not born in Germany,0.12243,234,644,0.09709,0.14776
1988,Lower Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.87828,391,566,0.85132,0.90524
1988,Lower Secondary Level,3rd Quintile,Not born in Germany,0.12172,175,566,0.09476,0.14868
1988,Lower Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.88388,323,463,0.85467,0.91310
1988,Lower Secondary Level,4th Quintile,Not born in Germany,0.11612,140,463,0.08690,0.14533
1988,Lower Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.91214,228,288,0.87938,0.94489
1988,Lower Secondary Level,5th Quintile,Not born in Germany,0.08786,60,288,0.05511,0.12062
1988,Upper Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.89897,547,734,0.87715,0.92079
1988,Upper Secondary Level,1st Quintile,Not born in Germany,0.10103,187,734,0.07921,0.12285
1988,Upper Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.92490,765,936,0.90801,0.94180
1988,Upper Secondary Level,2nd Quintile,Not born in Germany,0.07510,171,936,0.05820,0.09199
1988,Upper Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.92189,816,998,0.90523,0.93854
1988,Upper Secondary Level,3rd Quintile,Not born in Germany,0.07811,182,998,0.06146,0.09477
1988,Upper Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.92494,912,1103,0.90938,0.94050
1988,Upper Secondary Level,4th Quintile,Not born in Germany,0.07506,191,1103,0.05950,0.09062
1988,Upper Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.94337,871,971,0.92882,0.95791
1988,Upper Secondary Level,5th Quintile,Not born in Germany,0.05663,100,971,0.04209,0.07118
1988,Post-secondary Non-tertiary Level,3rd Quintile,Born in Germany or immigrated <1950,0.91857,34,34,0.82525,1.01188
1988,Post-secondary Non-tertiary Level,4th Quintile,Born in Germany or immigrated <1950,0.87410,34,34,0.76091,0.98729
1988,Post-secondary Non-tertiary Level,5th Quintile,Born in Germany or immigrated <1950,0.96176,65,65,0.91477,1.00874
1988,First Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.93787,49,49,0.86958,1.00616
1988,First Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.86412,73,73,0.78497,0.94327
1988,First Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.94750,90,90,0.90116,0.99384
1988,First Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.90793,122,122,0.85641,0.95945
1988,First Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.94591,152,152,0.90983,0.98199
1988,Second Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.87591,40,40,0.77244,0.97938
1988,Second Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.94308,32,32,0.86152,1.02464
1988,Second Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.94578,82,82,0.89647,0.99510
1988,Second Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.89633,131,131,0.84393,0.94873
1988,Second Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.93267,331,362,0.90682,0.95852
1988,Second Stage of Tertiary Education,5th Quintile,Not born in Germany,0.06733,31,362,0.04148,0.09318
1989,Pre-primary Level,1st Quintile,Born in Germany or immigrated <1950,0.83036,33,33,0.70032,0.96040
1989,Pre-primary Level,2nd Quintile,Born in Germany or immigrated <1950,0.91263,34,34,0.81628,1.00897
1989,Pre-primary Level,3rd Quintile,Born in Germany or immigrated <1950,0.93994,33,33,0.85761,1.02226
1989,Primary Level,1st Quintile,Born in Germany or immigrated <1950,0.40147,32,232,0.33826,0.46469
1989,Primary Level,1st Quintile,Not born in Germany,0.59853,200,232,0.53531,0.66174
1989,Primary Level,2nd Quintile,Not born in Germany,0.70022,151,151,0.62690,0.77354
1989,Primary Level,3rd Quintile,Not born in Germany,0.61820,111,111,0.52741,0.70899
1989,Primary Level,4th Quintile,Not born in Germany,0.66349,81,81,0.55995,0.76704
1989,Primary Level,5th Quintile,Not born in Germany,0.49508,31,31,0.31616,0.67399
1989,Lower Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.84747,430,737,0.82150,0.87345
1989,Lower Secondary Level,1st Quintile,Not born in Germany,0.15253,307,737,0.12655,0.17850
1989,Lower Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.84714,403,641,0.81926,0.87502
1989,Lower Secondary Level,2nd Quintile,Not born in Germany,0.15286,238,641,0.12498,0.18074
1989,Lower Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.88464,341,485,0.85618,0.91310
1989,Lower Secondary Level,3rd Quintile,Not born in Germany,0.11489,144,485,0.08648,0.14330
1989,Lower Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.87436,304,437,0.84325,0.90547
1989,Lower Secondary Level,4th Quintile,Not born in Germany,0.12564,133,437,0.09453,0.15675
1989,Lower Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.91294,218,270,0.87924,0.94663
1989,Lower Secondary Level,5th Quintile,Not born in Germany,0.08706,52,270,0.05337,0.12076
1989,Upper Secondary Level,1st Quintile,Born in Germany or immigrated <1950,0.89387,522,712,0.87123,0.91651
1989,Upper Secondary Level,1st Quintile,Not born in Germany,0.10613,190,712,0.08349,0.12877
1989,Upper Secondary Level,2nd Quintile,Born in Germany or immigrated <1950,0.90166,712,916,0.88236,0.92095
1989,Upper Secondary Level,2nd Quintile,Not born in Germany,0.09834,204,916,0.07905,0.11764
1989,Upper Secondary Level,3rd Quintile,Born in Germany or immigrated <1950,0.91252,803,983,0.89485,0.93019
1989,Upper Secondary Level,3rd Quintile,Not born in Germany,0.08748,180,983,0.06981,0.10515
1989,Upper Secondary Level,4th Quintile,Born in Germany or immigrated <1950,0.94025,935,1102,0.92625,0.95425
1989,Upper Secondary Level,4th Quintile,Not born in Germany,0.05975,167,1102,0.04575,0.07375
1989,Upper Secondary Level,5th Quintile,Born in Germany or immigrated <1950,0.93996,820,908,0.92450,0.95542
1989,Upper Secondary Level,5th Quintile,Not born in Germany,0.06004,88,908,0.04458,0.07550
1989,Post-secondary Non-tertiary Level,3rd Quintile,Born in Germany or immigrated <1950,0.92153,34,34,0.82978,1.01328
1989,Post-secondary Non-tertiary Level,4th Quintile,Born in Germany or immigrated <1950,0.89602,49,49,0.80967,0.98237
1989,Post-secondary Non-tertiary Level,5th Quintile,Born in Germany or immigrated <1950,0.98359,71,71,0.95383,1.01335
1989,First Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.93875,48,48,0.87019,1.00730
1989,First Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.81152,58,58,0.70999,0.91305
1989,First Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.93022,99,99,0.87978,0.98067
1989,First Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.92174,108,108,0.87085,0.97263
1989,First Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.95558,152,152,0.92272,0.98844
1989,Second Stage of Tertiary Education,1st Quintile,Born in Germany or immigrated <1950,0.88515,36,36,0.77952,0.99078
1989,Second Stage of Tertiary Education,2nd Quintile,Born in Germany or immigrated <1950,0.84961,38,38,0.73444,0.96479
1989,Second Stage of Tertiary Education,3rd Quintile,Born in Germany or immigrated <1950,0.89597,84,84,0.83028,0.96165
1989,Second Stage of Tertiary Education,4th Quintile,Born in Germany or immigrated <1950,0.93468,121,121,0.89047,0.97889
1989,Second Stage of Tertiary Education,5th Quintile,Born in Germany or immigrated <1950,0.91963,331,363,0.89163,0.94764
1989,Second Stage of Tertiary Education,5th Quintile,Not born in Germany,0.08037,32,363,0.05236,0.10837
1990,Pre-primary Level,2nd Quintile,Born in Germany or immigrated <1950,0.96310,34,34,0.89879,1.02742
1990,Primary Level,1st Quintile,Born in Germany or immigrated <1950,0.39597,35,242,0.33422,0.45772
1990,Primary Level,1st Quintile,Not born in Germany,0.59625,207,242,0.53431,0.65820
1990,Primary Level,2nd Quintile,Not born in Germany,0.75443,138,138,0.68235,0.82651
1990,Primary Level,3rd Quintile,Not born in Germany,0.47277,98,98,0.37342,0.57213
1990,Primary Level,4th Quintile,Not born in Germany,0.63369,74,74,0.52317,0.74421
