year,migback,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1993,Direct migration background,Not born in Germany,0.98446,2477,2477,0.97959,0.98933
1993,Indirect migration background,Born in Germany or immigrated <1950,0.31514,467,467,0.27296,0.35732
1994,No migration background,Born in Germany or immigrated <1950,0.83012,10026,10026,0.82277,0.83747
1994,Direct migration background,Not born in Germany,0.98845,2358,2358,0.98414,0.99277
1994,Indirect migration background,Born in Germany or immigrated <1950,0.33258,490,490,0.29082,0.37434
1995,No migration background,Born in Germany or immigrated <1950,0.83046,10002,10002,0.82310,0.83781
1995,Direct migration background,Not born in Germany,0.94076,2781,2781,0.93198,0.94953
1995,Indirect migration background,Born in Germany or immigrated <1950,0.32722,503,503,0.28618,0.36827
1996,No migration background,Born in Germany or immigrated <1950,0.83292,9908,9908,0.82558,0.84027
1996,Direct migration background,Not born in Germany,0.94386,2598,2598,0.93501,0.95272
1996,Indirect migration background,Born in Germany or immigrated <1950,0.33879,542,542,0.29891,0.37867
1997,No migration background,Born in Germany or immigrated <1950,0.83390,9792,9792,0.82653,0.84127
1997,Direct migration background,Not born in Germany,0.94791,2472,2472,0.93915,0.95667
1997,Indirect migration background,Born in Germany or immigrated <1950,0.36961,566,566,0.32981,0.40941
1998,No migration background,Born in Germany or immigrated <1950,0.83797,11246,11246,0.83116,0.84478
1998,Direct migration background,Not born in Germany,0.94571,2399,2399,0.93664,0.95478
1998,Indirect migration background,Born in Germany or immigrated <1950,0.39273,595,595,0.35346,0.43201
1999,No migration background,Born in Germany or immigrated <1950,0.84070,10866,10866,0.83382,0.84758
1999,Direct migration background,Not born in Germany,0.95047,2204,2204,0.94141,0.95953
1999,Indirect migration background,Born in Germany or immigrated <1950,0.40419,604,604,0.36502,0.44336
2000,No migration background,Born in Germany or immigrated <1950,0.84413,19989,19989,0.83910,0.84916
2000,Direct migration background,Not born in Germany,0.91843,3305,3305,0.90909,0.92776
2000,Indirect migration background,Born in Germany or immigrated <1950,0.39908,818,818,0.36550,0.43266
2001,No migration background,Born in Germany or immigrated <1950,0.84693,18241,18241,0.84170,0.85215
2001,Direct migration background,Not born in Germany,0.93630,2916,2916,0.92744,0.94517
2001,Indirect migration background,Born in Germany or immigrated <1950,0.38114,764,764,0.34668,0.41560
2002,No migration background,Born in Germany or immigrated <1950,0.84837,19461,19461,0.84333,0.85341
2002,Direct migration background,Not born in Germany,0.94464,2797,2797,0.93617,0.95312
2002,Indirect migration background,Born in Germany or immigrated <1950,0.38225,769,769,0.34788,0.41662
2003,No migration background,Born in Germany or immigrated <1950,0.84990,18770,18770,0.84479,0.85501
2003,Direct migration background,Not born in Germany,0.94960,2619,2619,0.94122,0.95798
2003,Indirect migration background,Born in Germany or immigrated <1950,0.40179,777,777,0.36729,0.43628
2004,No migration background,Born in Germany or immigrated <1950,0.85260,18278,18278,0.84746,0.85774
2004,Direct migration background,Not born in Germany,0.96086,2538,2538,0.95332,0.96841
2004,Indirect migration background,Born in Germany or immigrated <1950,0.42888,798,798,0.39451,0.46324
2005,No migration background,Born in Germany or immigrated <1950,0.85589,17505,17505,0.85069,0.86109
2005,Direct migration background,Not born in Germany,0.96651,2368,2368,0.95926,0.97376
2005,Indirect migration background,Born in Germany or immigrated <1950,0.46841,826,826,0.43435,0.50246
2006,No migration background,Born in Germany or immigrated <1950,0.85887,19032,19032,0.85392,0.86381
2006,Direct migration background,Not born in Germany,0.96382,2385,2385,0.95632,0.97131
2006,Indirect migration background,Born in Germany or immigrated <1950,0.48337,854,854,0.44984,0.51691
2007,No migration background,Born in Germany or immigrated <1950,0.86230,17882,17882,0.85725,0.86735
2007,Direct migration background,Not born in Germany,0.97263,2133,2133,0.96571,0.97956
2007,Indirect migration background,Born in Germany or immigrated <1950,0.50565,835,835,0.47171,0.53958
2008,No migration background,Born in Germany or immigrated <1950,0.86384,16839,16839,0.85866,0.86902
2008,Direct migration background,Not born in Germany,0.97778,1910,1910,0.97117,0.98439
2008,Indirect migration background,Born in Germany or immigrated <1950,0.54070,822,822,0.50661,0.57479
2009,No migration background,Born in Germany or immigrated <1950,0.86439,15836,15836,0.85906,0.86972
2009,Direct migration background,Not born in Germany,0.98225,1667,1667,0.97591,0.98859
2009,Indirect migration background,Born in Germany or immigrated <1950,0.56818,751,751,0.53273,0.60363
2010,No migration background,Born in Germany or immigrated <1950,0.87056,20164,20164,0.86593,0.87519
2010,Direct migration background,Not born in Germany,0.97349,2997,2997,0.96773,0.97924
2010,Indirect migration background,Born in Germany or immigrated <1950,0.48581,1167,1167,0.45712,0.51450
2011,No migration background,Born in Germany or immigrated <1950,0.86593,24184,24184,0.86164,0.87023
2011,Direct migration background,Not born in Germany,0.97347,3373,3373,0.96804,0.97889
2011,Indirect migration background,Born in Germany or immigrated <1950,0.48222,1343,1343,0.45549,0.50896
2012,No migration background,Born in Germany or immigrated <1950,0.86699,23655,23655,0.86267,0.87132
2012,Direct migration background,Not born in Germany,0.97109,3213,3213,0.96530,0.97689
2012,Indirect migration background,Born in Germany or immigrated <1950,0.48844,1298,1298,0.46124,0.51565
2013,No migration background,Born in Germany or immigrated <1950,0.86979,22459,22459,0.86539,0.87419
2013,Direct migration background,Not born in Germany,0.96863,6577,6577,0.96442,0.97284
2013,Indirect migration background,Born in Germany or immigrated <1950,0.49846,2147,2147,0.47730,0.51961
2014,No migration background,Born in Germany or immigrated <1950,0.87003,20485,20485,0.86543,0.87464
2014,Direct migration background,Not born in Germany,0.96821,5332,5332,0.96350,0.97292
2014,Indirect migration background,Born in Germany or immigrated <1950,0.51928,1837,1837,0.49642,0.54213
2015,No migration background,Born in Germany or immigrated <1950,0.87188,19512,19512,0.86719,0.87657
2015,Direct migration background,Not born in Germany,0.96536,6110,6110,0.96078,0.96995
2015,Indirect migration background,Born in Germany or immigrated <1950,0.51229,1720,1720,0.48866,0.53592
2016,No migration background,Born in Germany or immigrated <1950,0.86936,18143,18143,0.86446,0.87427
2016,Direct migration background,Not born in Germany,0.95545,8225,8225,0.95099,0.95991
2016,Indirect migration background,Born in Germany or immigrated <1950,0.53639,1604,1604,0.51197,0.56080
2017,No migration background,Born in Germany or immigrated <1950,0.86928,20467,20467,0.86467,0.87390
2017,Direct migration background,Not born in Germany,0.95143,9046,9046,0.94700,0.95586
2017,Indirect migration background,Born in Germany or immigrated <1950,0.52801,1746,1746,0.50458,0.55143
2018,No migration background,Born in Germany or immigrated <1950,0.87261,19737,19737,0.86796,0.87726
2018,Direct migration background,Not born in Germany,0.94968,8426,8426,0.94501,0.95435
2018,Indirect migration background,Born in Germany or immigrated <1950,0.53766,1726,1726,0.51413,0.56119
2019,No migration background,Born in Germany or immigrated <1950,0.86865,20540,20540,0.86403,0.87327
2019,Direct migration background,Not born in Germany,0.95482,7600,7600,0.95014,0.95949
2019,Indirect migration background,Born in Germany or immigrated <1950,0.53360,1690,1690,0.50981,0.55739
2020,No migration background,Born in Germany or immigrated <1950,0.86614,18846,18846,0.86128,0.87100
2020,Direct migration background,Not born in Germany,0.95249,9544,9544,0.94823,0.95676
2020,Indirect migration background,Born in Germany or immigrated <1950,0.51906,1622,1622,0.49474,0.54338
2021,No migration background,Born in Germany or immigrated <1950,0.86682,13387,13387,0.86107,0.87258
2021,Direct migration background,Not born in Germany,0.94481,5569,5569,0.93881,0.95080
2021,Indirect migration background,Born in Germany or immigrated <1950,0.48376,976,976,0.45239,0.51513
2022,No migration background,Born in Germany or immigrated <1950,0.85437,18524,18524,0.84930,0.85945
2022,Direct migration background,Not born in Germany,0.93404,8244,8244,0.92868,0.93940
2022,Indirect migration background,Born in Germany or immigrated <1950,0.55394,1505,1505,0.52882,0.57907
