,Unnamed: 0,year,age_gr,migback,germborn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
27,27,1987,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2073,10423,0.98018,1.01858
28,28,1987,17-29 y.,Direct migration background,Not born in Germany,1.0,797,10423,0.92002,1.07047
29,29,1987,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,141,10423,0.79533,1.26218
30,30,1987,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,2098,10423,0.98669,1.01177
31,31,1987,30-45 y.,Direct migration background,Not born in Germany,1.0,1052,10423,0.94227,1.05616
32,32,1987,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2286,10423,0.98904,1.0143
33,33,1987,46-65 y.,Direct migration background,Not born in Germany,1.0,910,10423,0.91596,1.06543
34,34,1987,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1010,10423,0.98293,1.01685
35,35,1987,66 and older,Direct migration background,Not born in Germany,1.0,56,10423,0.8495,1.1342
36,36,1988,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,1915,9941,0.97982,1.0197
37,37,1988,17-29 y.,Direct migration background,Not born in Germany,1.0,769,9941,0.91161,1.07239
38,38,1988,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,189,9941,0.82335,1.21081
39,39,1988,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,2001,9941,0.98172,1.01768
40,40,1988,30-45 y.,Direct migration background,Not born in Germany,1.0,933,9941,0.93426,1.07783
41,41,1988,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2196,9941,0.98808,1.01262
42,42,1988,46-65 y.,Direct migration background,Not born in Germany,1.0,904,9941,0.92588,1.06939
43,43,1988,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,971,9941,0.97965,1.02016
44,44,1988,66 and older,Direct migration background,Not born in Germany,1.0,63,9941,0.8382,1.14718
45,45,1989,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,1866,9631,0.97812,1.01876
46,46,1989,17-29 y.,Direct migration background,Not born in Germany,1.0,739,9631,0.91956,1.08085
47,47,1989,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,224,9631,0.8665,1.14174
48,48,1989,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,1947,9631,0.98292,1.01484
49,49,1989,30-45 y.,Direct migration background,Not born in Germany,1.0,876,9631,0.94,1.06619
50,50,1989,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2066,9631,0.98421,1.01503
51,51,1989,46-65 y.,Direct migration background,Not born in Germany,1.0,904,9631,0.93468,1.06727
52,52,1989,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,940,9631,0.97938,1.02511
53,53,1989,66 and older,Direct migration background,Not born in Germany,1.0,69,9631,0.86512,1.14187
54,54,1990,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2895,13858,0.97842,1.01906
55,55,1990,17-29 y.,Direct migration background,Not born in Germany,1.0,704,13858,0.91287,1.0906
56,56,1990,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,262,13858,0.88891,1.16417
57,57,1990,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3411,13858,0.97787,1.02382
58,58,1990,30-45 y.,Direct migration background,Not born in Germany,1.0,875,13858,0.93628,1.06423
59,59,1990,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,3261,13858,0.97929,1.0179
60,60,1990,46-65 y.,Direct migration background,Not born in Germany,1.0,991,13858,0.93642,1.06578
61,61,1990,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1354,13858,0.97763,1.0255
62,62,1990,66 and older,Direct migration background,Not born in Germany,1.0,105,13858,0.90219,1.14657
63,63,1991,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2717,13554,0.97918,1.02362
64,64,1991,17-29 y.,Direct migration background,Not born in Germany,1.0,666,13554,0.91595,1.0849
65,65,1991,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,314,13554,0.88734,1.10158
66,66,1991,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3457,13554,0.97877,1.02106
67,67,1991,30-45 y.,Direct migration background,Not born in Germany,1.0,836,13554,0.94041,1.06956
68,68,1991,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,3122,13554,0.98004,1.01511
69,69,1991,46-65 y.,Direct migration background,Not born in Germany,1.0,1001,13554,0.93058,1.05793
70,70,1991,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1320,13554,0.97754,1.0221
71,71,1991,66 and older,Direct migration background,Not born in Germany,1.0,121,13554,0.89094,1.13774
72,72,1992,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2576,13281,0.97756,1.02457
73,73,1992,17-29 y.,Direct migration background,Not born in Germany,1.0,629,13281,0.90377,1.10337
74,74,1992,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,370,13281,0.92991,1.08345
75,75,1992,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3444,13281,0.97792,1.02284
76,76,1992,30-45 y.,Direct migration background,Not born in Germany,1.0,792,13281,0.92966,1.06556
77,77,1992,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,3028,13281,0.9821,1.0187
78,78,1992,46-65 y.,Direct migration background,Not born in Germany,1.0,995,13281,0.93763,1.05972
79,79,1992,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1311,13281,0.97887,1.0241
80,80,1992,66 and older,Direct migration background,Not born in Germany,1.0,136,13281,0.88805,1.13443
81,81,1993,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2479,13092,0.9733,1.02669
82,82,1993,17-29 y.,Direct migration background,Not born in Germany,1.0,583,13092,0.92259,1.08285
83,83,1993,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,422,13092,0.92206,1.08387
84,84,1993,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3410,13092,0.98053,1.02505
85,85,1993,30-45 y.,Direct migration background,Not born in Germany,1.0,753,13092,0.92673,1.0617
86,86,1993,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,35,13092,0.64857,1.36007
87,87,1993,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2954,13092,0.98261,1.01732
88,88,1993,46-65 y.,Direct migration background,Not born in Germany,1.0,987,13092,0.93904,1.05841
89,89,1993,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1315,13092,0.97817,1.02974
90,90,1993,66 and older,Direct migration background,Not born in Germany,1.0,154,13092,0.89442,1.11861
91,91,1994,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2384,12863,0.97323,1.02775
92,92,1994,17-29 y.,Direct migration background,Not born in Germany,1.0,522,12863,0.91816,1.0967
93,93,1994,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,439,12863,0.90771,1.07141
94,94,1994,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3394,12863,0.97489,1.02249
95,95,1994,30-45 y.,Direct migration background,Not born in Germany,1.0,713,12863,0.92047,1.08157
96,96,1994,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,41,12863,0.71248,1.3383
97,97,1994,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2928,12863,0.98073,1.02324
98,98,1994,46-65 y.,Direct migration background,Not born in Germany,1.0,952,12863,0.94876,1.04611
99,99,1994,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1319,12863,0.9758,1.02776
100,100,1994,66 and older,Direct migration background,Not born in Germany,1.0,171,12863,0.89813,1.11717
101,101,1995,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2310,13272,0.97,1.02932
102,102,1995,17-29 y.,Direct migration background,Not born in Germany,1.0,604,13272,0.92978,1.08017
103,103,1995,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,443,13272,0.90565,1.10316
104,104,1995,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3470,13272,0.97489,1.02035
105,105,1995,30-45 y.,Direct migration background,Not born in Germany,1.0,923,13272,0.93183,1.07398
106,106,1995,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,47,13272,0.7328,1.3115
107,107,1995,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2915,13272,0.97746,1.02554
108,108,1995,46-65 y.,Direct migration background,Not born in Germany,1.0,1042,13272,0.9417,1.06791
109,109,1995,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1306,13272,0.97233,1.03087
110,110,1995,66 and older,Direct migration background,Not born in Germany,1.0,212,13272,0.90975,1.11277
111,111,1996,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2165,13032,0.96945,1.02779
112,112,1996,17-29 y.,Direct migration background,Not born in Germany,1.0,535,13032,0.91302,1.09615
113,113,1996,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,463,13032,0.91819,1.09554
114,114,1996,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3518,13032,0.97572,1.02508
115,115,1996,30-45 y.,Direct migration background,Not born in Germany,1.0,854,13032,0.93199,1.06709
116,116,1996,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,64,13032,0.73267,1.29982
117,117,1996,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2909,13032,0.97749,1.02678
118,118,1996,46-65 y.,Direct migration background,Not born in Germany,1.0,982,13032,0.94007,1.07222
119,119,1996,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1315,13032,0.9742,1.03163
120,120,1996,66 and older,Direct migration background,Not born in Germany,1.0,227,13032,0.90035,1.10145
121,121,1997,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2076,12808,0.96548,1.03371
122,122,1997,17-29 y.,Direct migration background,Not born in Germany,1.0,478,12808,0.91221,1.08304
123,123,1997,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,476,12808,0.91335,1.10341
124,124,1997,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3475,12808,0.98021,1.02603
125,125,1997,30-45 y.,Direct migration background,Not born in Germany,1.0,822,12808,0.94506,1.059
126,126,1997,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,69,12808,0.7315,1.26284
127,127,1997,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,2898,12808,0.97566,1.02788
128,128,1997,46-65 y.,Direct migration background,Not born in Germany,1.0,939,12808,0.93783,1.06938
129,129,1997,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1342,12808,0.96968,1.02726
130,130,1997,66 and older,Direct migration background,Not born in Germany,1.0,233,12808,0.92849,1.11059
131,131,1998,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2245,14217,0.96841,1.02929
132,132,1998,17-29 y.,Direct migration background,Not born in Germany,1.0,435,14217,0.92358,1.07233
133,133,1998,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,485,14217,0.92161,1.09687
134,134,1998,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3953,14217,0.97534,1.02211
135,135,1998,30-45 y.,Direct migration background,Not born in Germany,1.0,786,14217,0.93931,1.07014
136,136,1998,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,89,14217,0.77424,1.25469
137,137,1998,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,3444,14217,0.97878,1.01747
138,138,1998,46-65 y.,Direct migration background,Not born in Germany,1.0,930,14217,0.93853,1.05881
139,139,1998,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1602,14217,0.97809,1.02364
140,140,1998,66 and older,Direct migration background,Not born in Germany,1.0,248,14217,0.90622,1.08996
141,141,1999,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2124,13650,0.96824,1.03308
142,142,1999,17-29 y.,Direct migration background,Not born in Germany,1.0,368,13650,0.92233,1.09053
143,143,1999,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,481,13650,0.91067,1.0864
144,144,1999,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3874,13650,0.97436,1.02224
145,145,1999,30-45 y.,Direct migration background,Not born in Germany,1.0,741,13650,0.92626,1.07197
146,146,1999,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,99,13650,0.77213,1.22683
147,147,1999,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,3323,13650,0.97843,1.02029
148,148,1999,46-65 y.,Direct migration background,Not born in Germany,1.0,847,13650,0.94605,1.06289
149,149,1999,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,1545,13650,0.97364,1.02658
150,150,1999,66 and older,Direct migration background,Not born in Germany,1.0,248,13650,0.90836,1.08237
151,151,2000,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,3379,24067,0.97549,1.02079
152,152,2000,17-29 y.,Direct migration background,Not born in Germany,1.0,591,24067,0.95181,1.05147
153,153,2000,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,612,24067,0.95226,1.06341
154,154,2000,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,6830,24067,0.98581,1.014
155,155,2000,30-45 y.,Direct migration background,Not born in Germany,1.0,1177,24067,0.95972,1.04124
156,156,2000,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,160,24067,0.87261,1.13709
157,157,2000,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6556,24067,0.98749,1.01447
158,158,2000,46-65 y.,Direct migration background,Not born in Germany,1.0,1182,24067,0.96399,1.03534
159,159,2000,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3225,24067,0.98395,1.01289
160,160,2000,66 and older,Direct migration background,Not born in Germany,1.0,355,24067,0.93935,1.06348
161,161,2001,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,3055,21904,0.9746,1.02463
162,162,2001,17-29 y.,Direct migration background,Not born in Germany,1.0,497,21904,0.92962,1.05449
163,163,2001,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,547,21904,0.94919,1.06938
164,164,2001,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,6120,21904,0.98461,1.01791
165,165,2001,30-45 y.,Direct migration background,Not born in Germany,1.0,1040,21904,0.95258,1.05736
166,166,2001,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,169,21904,0.87168,1.14836
167,167,2001,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6019,21904,0.98537,1.01426
168,168,2001,46-65 y.,Direct migration background,Not born in Germany,1.0,1044,21904,0.95973,1.04624
169,169,2001,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,31,21904,0.76583,1.26392
170,170,2001,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3047,21904,0.97991,1.01723
171,171,2001,66 and older,Direct migration background,Not born in Germany,1.0,335,21904,0.93822,1.06233
172,172,2002,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,3178,23012,0.97372,1.02539
173,173,2002,17-29 y.,Direct migration background,Not born in Germany,1.0,441,23012,0.927,1.06821
174,174,2002,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,523,23012,0.93132,1.08187
175,175,2002,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,6282,23012,0.97655,1.02163
176,176,2002,30-45 y.,Direct migration background,Not born in Germany,1.0,970,23012,0.955,1.04224
177,177,2002,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,188,23012,0.87305,1.14529
178,178,2002,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6774,23012,0.9811,1.02109
179,179,2002,46-65 y.,Direct migration background,Not born in Germany,1.0,1038,23012,0.94657,1.04653
180,180,2002,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,42,23012,0.74626,1.2781
181,181,2002,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3228,23012,0.97885,1.0219
182,182,2002,66 and older,Direct migration background,Not born in Germany,1.0,348,23012,0.92791,1.07443
183,183,2003,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,3123,22153,0.972,1.03169
184,184,2003,17-29 y.,Direct migration background,Not born in Germany,1.0,380,22153,0.92008,1.0911
185,185,2003,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,504,22153,0.91679,1.0822
186,186,2003,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,5829,22153,0.9815,1.02154
187,187,2003,30-45 y.,Direct migration background,Not born in Germany,1.0,895,22153,0.95749,1.05194
188,188,2003,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,214,22153,0.87479,1.10944
189,189,2003,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6540,22153,0.97973,1.02172
190,190,2003,46-65 y.,Direct migration background,Not born in Germany,1.0,987,22153,0.95386,1.05471
191,191,2003,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,44,22153,0.71749,1.27934
192,192,2003,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3280,22153,0.98035,1.0212
193,193,2003,66 and older,Direct migration background,Not born in Germany,1.0,357,22153,0.92694,1.07402
194,194,2004,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,3071,21603,0.96771,1.03118
195,195,2004,17-29 y.,Direct migration background,Not born in Germany,1.0,374,21603,0.93212,1.08605
196,196,2004,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,515,21603,0.9225,1.0808
197,197,2004,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,5459,21603,0.97767,1.02249
198,198,2004,30-45 y.,Direct migration background,Not born in Germany,1.0,849,21603,0.94634,1.05952
199,199,2004,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,222,21603,0.86596,1.10992
200,200,2004,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6364,21603,0.98152,1.02232
201,201,2004,46-65 y.,Direct migration background,Not born in Germany,1.0,953,21603,0.95766,1.05297
202,202,2004,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,48,21603,0.74879,1.29144
203,203,2004,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3386,21603,0.98121,1.02177
204,204,2004,66 and older,Direct migration background,Not born in Germany,1.0,362,21603,0.91743,1.07681
205,205,2005,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2993,20687,0.96951,1.03555
206,206,2005,17-29 y.,Direct migration background,Not born in Germany,1.0,316,20687,0.89307,1.08476
207,207,2005,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,520,20687,0.9324,1.09585
208,208,2005,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,5049,20687,0.97606,1.02468
209,209,2005,30-45 y.,Direct migration background,Not born in Germany,1.0,797,20687,0.94103,1.0598
210,210,2005,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,243,20687,0.88703,1.11123
211,211,2005,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6078,20687,0.98055,1.01987
212,212,2005,46-65 y.,Direct migration background,Not born in Germany,1.0,890,20687,0.95296,1.05747
213,213,2005,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,48,20687,0.76505,1.26143
214,214,2005,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3388,20687,0.97775,1.01649
215,215,2005,66 and older,Direct migration background,Not born in Germany,1.0,365,20687,0.92945,1.07402
216,216,2006,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,3143,22258,0.9749,1.02837
217,217,2006,17-29 y.,Direct migration background,Not born in Germany,1.0,330,22258,0.92056,1.08577
218,218,2006,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,511,22258,0.92312,1.0759
219,219,2006,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,5219,22258,0.97709,1.027
220,220,2006,30-45 y.,Direct migration background,Not born in Germany,1.0,785,22258,0.95275,1.06149
221,221,2006,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,277,22258,0.9096,1.11488
222,222,2006,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6645,22258,0.98185,1.02292
223,223,2006,46-65 y.,Direct migration background,Not born in Germany,1.0,881,22258,0.95781,1.05213
224,224,2006,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,51,22258,0.75092,1.24498
225,225,2006,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,4027,22258,0.98243,1.01835
226,226,2006,66 and older,Direct migration background,Not born in Germany,1.0,389,22258,0.93377,1.07007
227,227,2007,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2957,20839,0.96221,1.03224
228,228,2007,17-29 y.,Direct migration background,Not born in Germany,1.0,282,20839,0.90698,1.09595
229,229,2007,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,500,20839,0.92265,1.08629
230,230,2007,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,4752,20839,0.97252,1.02453
231,231,2007,30-45 y.,Direct migration background,Not born in Germany,1.0,687,20839,0.93755,1.06638
232,232,2007,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,271,20839,0.89106,1.09841
233,233,2007,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6220,20839,0.98209,1.02408
234,234,2007,46-65 y.,Direct migration background,Not born in Germany,1.0,789,20839,0.95213,1.04326
235,235,2007,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,51,20839,0.75606,1.22705
236,236,2007,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3955,20839,0.97737,1.01779
237,237,2007,66 and older,Direct migration background,Not born in Germany,1.0,375,20839,0.92916,1.07426
238,238,2008,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2694,19560,0.96259,1.03891
239,239,2008,17-29 y.,Direct migration background,Not born in Germany,1.0,229,19560,0.89385,1.10652
240,240,2008,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,489,19560,0.91514,1.08312
241,241,2008,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,4296,19560,0.97489,1.02257
242,242,2008,30-45 y.,Direct migration background,Not born in Germany,1.0,605,19560,0.92948,1.06989
243,243,2008,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,269,19560,0.89092,1.11573
244,244,2008,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,5935,19560,0.97644,1.0278
245,245,2008,46-65 y.,Direct migration background,Not born in Germany,1.0,708,19560,0.93462,1.06171
246,246,2008,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,51,19560,0.75455,1.27106
247,247,2008,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3916,19560,0.98144,1.02478
248,248,2008,66 and older,Direct migration background,Not born in Germany,1.0,368,19560,0.93566,1.09964
249,249,2009,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,2482,18248,0.96268,1.04133
250,250,2009,17-29 y.,Direct migration background,Not born in Germany,1.0,182,18248,0.88629,1.13249
251,251,2009,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,427,18248,0.91673,1.08952
252,252,2009,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,3876,18248,0.97591,1.03818
253,253,2009,30-45 y.,Direct migration background,Not born in Germany,1.0,531,18248,0.92988,1.07933
254,254,2009,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,269,18248,0.87741,1.13456
255,255,2009,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,5660,18248,0.97538,1.03019
256,256,2009,46-65 y.,Direct migration background,Not born in Germany,1.0,619,18248,0.92534,1.07103
257,257,2009,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,46,18248,0.69357,1.40745
258,258,2009,66 and older,No migration background,Born in Germany or immigrated <1950,1.0,3821,18248,0.97838,1.02673
259,259,2009,66 and older,Direct migration background,Not born in Germany,1.0,335,18248,0.92261,1.11739
260,260,2010,17-29 y.,No migration background,Born in Germany or immigrated <1950,1.0,3235,24323,0.95079,1.04829
261,261,2010,17-29 y.,Direct migration background,Not born in Germany,1.0,497,24323,0.87423,1.14411
262,262,2010,17-29 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,550,24323,0.88036,1.10728
263,263,2010,30-45 y.,No migration background,Born in Germany or immigrated <1950,1.0,7074,24323,0.96121,1.0428
264,264,2010,30-45 y.,Direct migration background,Not born in Germany,1.0,1453,24323,0.921,1.07711
265,265,2010,30-45 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,544,24323,0.83889,1.1326
266,266,2010,46-65 y.,No migration background,Born in Germany or immigrated <1950,1.0,6178,24323,0.97664,1.0291
267,267,2010,46-65 y.,Direct migration background,Not born in Germany,1.0,695,24323,0.9185,1.06684
268,268,2010,46-65 y.,Indirect migration background,Born in Germany or immigrated <1950,1.0,79,24323,0.81648,1.23518
