"germborn","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"in Deutschland geboren","1985","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1985","(Fach-)Abitur","indirekter Migrationshintergrund","5","","",""
"in Deutschland geboren","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1985","AkademikerIn","kein Migrationshintergrund","641","1","1","1"
"in Deutschland geboren","1985","AkademikerIn","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1985","AkademikerIn","indirekter Migrationshintergrund","4","","",""
"in Deutschland geboren","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","direkter Migrationshintergrund","844","1","1","1"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1985","Hauptschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","Hauptschule","direkter Migrationshintergrund","1504","1","1","1"
"nicht in Deutschland geboren","1985","Hauptschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1985","Realschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","Realschule","direkter Migrationshintergrund","138","1","1","1"
"nicht in Deutschland geboren","1985","Realschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1985","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","(Fach-)Abitur","direkter Migrationshintergrund","230","1","1","1"
"nicht in Deutschland geboren","1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1985","AkademikerIn","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","AkademikerIn","direkter Migrationshintergrund","110","1","1","1"
"nicht in Deutschland geboren","1985","AkademikerIn","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1985","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1986","(noch) kein Abschluss","kein Migrationshintergrund","219","1","1","1"
"in Deutschland geboren","1986","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","20","","",""
"in Deutschland geboren","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1986","Hauptschule","kein Migrationshintergrund","4525","1","1","1"
"in Deutschland geboren","1986","Hauptschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1986","Hauptschule","indirekter Migrationshintergrund","85","1","1","1"
"in Deutschland geboren","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1986","Realschule","kein Migrationshintergrund","1596","1","1","1"
"in Deutschland geboren","1986","Realschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1986","Realschule","indirekter Migrationshintergrund","31","1","1","1"
"in Deutschland geboren","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1986","(Fach-)Abitur","kein Migrationshintergrund","570","1","1","1"
"in Deutschland geboren","1986","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1986","(Fach-)Abitur","indirekter Migrationshintergrund","9","","",""
"in Deutschland geboren","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1986","AkademikerIn","kein Migrationshintergrund","635","1","1","1"
"in Deutschland geboren","1986","AkademikerIn","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1986","AkademikerIn","indirekter Migrationshintergrund","4","","",""
"in Deutschland geboren","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1986","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","(noch) kein Abschluss","direkter Migrationshintergrund","789","1","1","1"
"nicht in Deutschland geboren","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1986","Hauptschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","Hauptschule","direkter Migrationshintergrund","1480","1","1","1"
"nicht in Deutschland geboren","1986","Hauptschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1986","Realschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","Realschule","direkter Migrationshintergrund","145","1","1","1"
"nicht in Deutschland geboren","1986","Realschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1986","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","(Fach-)Abitur","direkter Migrationshintergrund","229","1","1","1"
"nicht in Deutschland geboren","1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1986","AkademikerIn","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","AkademikerIn","direkter Migrationshintergrund","110","1","1","1"
"nicht in Deutschland geboren","1986","AkademikerIn","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1987","(noch) kein Abschluss","kein Migrationshintergrund","211","1","1","1"
"in Deutschland geboren","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","20","","",""
"in Deutschland geboren","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1987","Hauptschule","kein Migrationshintergrund","4428","1","1","1"
"in Deutschland geboren","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1987","Hauptschule","indirekter Migrationshintergrund","95","1","1","1"
"in Deutschland geboren","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1987","Realschule","kein Migrationshintergrund","1578","1","1","1"
"in Deutschland geboren","1987","Realschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1987","Realschule","indirekter Migrationshintergrund","34","1","1","1"
"in Deutschland geboren","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1987","(Fach-)Abitur","kein Migrationshintergrund","538","1","1","1"
"in Deutschland geboren","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1987","(Fach-)Abitur","indirekter Migrationshintergrund","14","","",""
"in Deutschland geboren","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1987","AkademikerIn","kein Migrationshintergrund","638","1","1","1"
"in Deutschland geboren","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1987","AkademikerIn","indirekter Migrationshintergrund","4","","",""
"in Deutschland geboren","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","(noch) kein Abschluss","direkter Migrationshintergrund","772","1","1","1"
"nicht in Deutschland geboren","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1987","Hauptschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","Hauptschule","direkter Migrationshintergrund","1493","1","1","1"
"nicht in Deutschland geboren","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1987","Realschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","Realschule","direkter Migrationshintergrund","147","1","1","1"
"nicht in Deutschland geboren","1987","Realschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","(Fach-)Abitur","direkter Migrationshintergrund","228","1","1","1"
"nicht in Deutschland geboren","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","AkademikerIn","direkter Migrationshintergrund","100","1","1","1"
"nicht in Deutschland geboren","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1988","(noch) kein Abschluss","kein Migrationshintergrund","181","1","1","1"
"in Deutschland geboren","1988","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1988","(noch) kein Abschluss","indirekter Migrationshintergrund","29","","",""
"in Deutschland geboren","1988","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1988","Hauptschule","kein Migrationshintergrund","4181","1","1","1"
"in Deutschland geboren","1988","Hauptschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1988","Hauptschule","indirekter Migrationshintergrund","114","1","1","1"
"in Deutschland geboren","1988","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1988","Realschule","kein Migrationshintergrund","1507","1","1","1"
"in Deutschland geboren","1988","Realschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1988","Realschule","indirekter Migrationshintergrund","45","1","1","1"
"in Deutschland geboren","1988","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1988","(Fach-)Abitur","kein Migrationshintergrund","508","1","1","1"
"in Deutschland geboren","1988","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1988","(Fach-)Abitur","indirekter Migrationshintergrund","19","","",""
"in Deutschland geboren","1988","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1988","AkademikerIn","kein Migrationshintergrund","613","1","1","1"
"in Deutschland geboren","1988","AkademikerIn","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1988","AkademikerIn","indirekter Migrationshintergrund","4","","",""
"in Deutschland geboren","1988","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1988","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","(noch) kein Abschluss","direkter Migrationshintergrund","698","1","1","1"
"nicht in Deutschland geboren","1988","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1988","Hauptschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","Hauptschule","direkter Migrationshintergrund","1449","1","1","1"
"nicht in Deutschland geboren","1988","Hauptschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1988","Realschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","Realschule","direkter Migrationshintergrund","149","1","1","1"
"nicht in Deutschland geboren","1988","Realschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1988","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","(Fach-)Abitur","direkter Migrationshintergrund","210","1","1","1"
"nicht in Deutschland geboren","1988","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1988","AkademikerIn","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","AkademikerIn","direkter Migrationshintergrund","85","1","1","1"
"nicht in Deutschland geboren","1988","AkademikerIn","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1988","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1989","(noch) kein Abschluss","kein Migrationshintergrund","178","1","1","1"
"in Deutschland geboren","1989","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1989","(noch) kein Abschluss","indirekter Migrationshintergrund","41","1","1","1"
"in Deutschland geboren","1989","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1989","Hauptschule","kein Migrationshintergrund","3962","1","1","1"
"in Deutschland geboren","1989","Hauptschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1989","Hauptschule","indirekter Migrationshintergrund","129","1","1","1"
"in Deutschland geboren","1989","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1989","Realschule","kein Migrationshintergrund","1455","1","1","1"
"in Deutschland geboren","1989","Realschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1989","Realschule","indirekter Migrationshintergrund","50","1","1","1"
"in Deutschland geboren","1989","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1989","(Fach-)Abitur","kein Migrationshintergrund","522","1","1","1"
"in Deutschland geboren","1989","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1989","(Fach-)Abitur","indirekter Migrationshintergrund","22","","",""
"in Deutschland geboren","1989","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1989","AkademikerIn","kein Migrationshintergrund","606","1","1","1"
"in Deutschland geboren","1989","AkademikerIn","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1989","AkademikerIn","indirekter Migrationshintergrund","4","","",""
"in Deutschland geboren","1989","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1989","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","(noch) kein Abschluss","direkter Migrationshintergrund","669","1","1","1"
"nicht in Deutschland geboren","1989","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1989","Hauptschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","Hauptschule","direkter Migrationshintergrund","1403","1","1","1"
"nicht in Deutschland geboren","1989","Hauptschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1989","Realschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","Realschule","direkter Migrationshintergrund","146","1","1","1"
"nicht in Deutschland geboren","1989","Realschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1989","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","(Fach-)Abitur","direkter Migrationshintergrund","210","1","1","1"
"nicht in Deutschland geboren","1989","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1989","AkademikerIn","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","AkademikerIn","direkter Migrationshintergrund","88","1","1","1"
"nicht in Deutschland geboren","1989","AkademikerIn","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1989","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1990","(noch) kein Abschluss","kein Migrationshintergrund","200","1","1","1"
"in Deutschland geboren","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","50","1","1","1"
"in Deutschland geboren","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1990","Hauptschule","kein Migrationshintergrund","5418","1","1","1"
"in Deutschland geboren","1990","Hauptschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1990","Hauptschule","indirekter Migrationshintergrund","145","1","1","1"
"in Deutschland geboren","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1990","Realschule","kein Migrationshintergrund","2985","1","1","1"
"in Deutschland geboren","1990","Realschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1990","Realschule","indirekter Migrationshintergrund","53","1","1","1"
"in Deutschland geboren","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1990","(Fach-)Abitur","kein Migrationshintergrund","646","1","1","1"
"in Deutschland geboren","1990","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1990","(Fach-)Abitur","indirekter Migrationshintergrund","28","","",""
"in Deutschland geboren","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1990","AkademikerIn","kein Migrationshintergrund","1561","1","1","1"
"in Deutschland geboren","1990","AkademikerIn","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1990","AkademikerIn","indirekter Migrationshintergrund","3","","",""
"in Deutschland geboren","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1990","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","(noch) kein Abschluss","direkter Migrationshintergrund","640","1","1","1"
"nicht in Deutschland geboren","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1990","Hauptschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","Hauptschule","direkter Migrationshintergrund","1457","1","1","1"
"nicht in Deutschland geboren","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1990","Realschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","Realschule","direkter Migrationshintergrund","162","1","1","1"
"nicht in Deutschland geboren","1990","Realschule","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1990","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","(Fach-)Abitur","direkter Migrationshintergrund","203","1","1","1"
"nicht in Deutschland geboren","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1990","AkademikerIn","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","AkademikerIn","direkter Migrationshintergrund","127","1","1","1"
"nicht in Deutschland geboren","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1991","(noch) kein Abschluss","kein Migrationshintergrund","211","1","1","1"
"in Deutschland geboren","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","52","1","1","1"
"in Deutschland geboren","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1991","Hauptschule","kein Migrationshintergrund","5161","1","1","1"
"in Deutschland geboren","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1991","Hauptschule","indirekter Migrationshintergrund","166","1","1","1"
"in Deutschland geboren","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1991","Realschule","kein Migrationshintergrund","2918","1","1","1"
"in Deutschland geboren","1991","Realschule","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1991","Realschule","indirekter Migrationshintergrund","67","1","1","1"
"in Deutschland geboren","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1991","(Fach-)Abitur","kein Migrationshintergrund","648","1","1","1"
"in Deutschland geboren","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1991","(Fach-)Abitur","indirekter Migrationshintergrund","38","1","1","1"
"in Deutschland geboren","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"in Deutschland geboren","1991","AkademikerIn","kein Migrationshintergrund","1550","1","1","1"
"in Deutschland geboren","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"in Deutschland geboren","1991","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"in Deutschland geboren","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1991","(noch) kein Abschluss","direkter Migrationshintergrund","616","1","1","1"
"nicht in Deutschland geboren","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"nicht in Deutschland geboren","1991","Hauptschule","kein Migrationshintergrund","","","",""
"nicht in Deutschland geboren","1991","Hauptschule","direkter Migrationshintergrund","1428","1","1","1"
