year,regtyp,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Rural regions,male,Not born in Germany,0.05396,137,3077,0.04598,0.06194
2009,Rural regions,female,Born in Germany or immigrated <1950,0.79470,3107,3289,0.78090,0.80851
2009,Rural regions,female,Not born in Germany,0.07537,182,3289,0.06635,0.08440
2010,Urban regions,male,Born in Germany or immigrated <1950,0.71574,6148,7207,0.70532,0.72615
2010,Urban regions,male,Not born in Germany,0.12889,1059,7207,0.12115,0.13662
2010,Urban regions,female,Born in Germany or immigrated <1950,0.72138,7394,8695,0.71195,0.73080
2010,Urban regions,female,Not born in Germany,0.13627,1301,8695,0.12906,0.14349
2010,Rural regions,male,Born in Germany or immigrated <1950,0.78674,3607,3880,0.77385,0.79963
2010,Rural regions,male,Not born in Germany,0.06456,273,3880,0.05683,0.07229
2010,Rural regions,female,Born in Germany or immigrated <1950,0.77405,4182,4546,0.76190,0.78621
2010,Rural regions,female,Not born in Germany,0.09023,364,4546,0.08190,0.09856
2011,Urban regions,male,Born in Germany or immigrated <1950,0.71788,7230,8362,0.70823,0.72752
2011,Urban regions,male,Not born in Germany,0.12198,1132,8362,0.11497,0.12900
2011,Urban regions,female,Born in Germany or immigrated <1950,0.72262,8743,10179,0.71392,0.73132
2011,Urban regions,female,Not born in Germany,0.13165,1436,10179,0.12508,0.13822
2011,Rural regions,male,Born in Germany or immigrated <1950,0.77836,4419,4767,0.76657,0.79015
2011,Rural regions,male,Not born in Germany,0.06794,348,4767,0.06080,0.07509
2011,Rural regions,female,Born in Germany or immigrated <1950,0.77007,5135,5592,0.75904,0.78110
2011,Rural regions,female,Not born in Germany,0.08911,457,5592,0.08164,0.09658
2012,Urban regions,male,Born in Germany or immigrated <1950,0.70987,7024,8075,0.69997,0.71976
2012,Urban regions,male,Not born in Germany,0.12915,1051,8075,0.12184,0.13647
2012,Urban regions,female,Born in Germany or immigrated <1950,0.72134,8470,9810,0.71246,0.73021
2012,Urban regions,female,Not born in Germany,0.13432,1340,9810,0.12757,0.14107
2012,Rural regions,male,Born in Germany or immigrated <1950,0.77485,4375,4738,0.76296,0.78675
2012,Rural regions,male,Not born in Germany,0.07632,363,4738,0.06876,0.08388
2012,Rural regions,female,Born in Germany or immigrated <1950,0.76317,5084,5543,0.75198,0.77437
2012,Rural regions,female,Not born in Germany,0.09769,459,5543,0.08987,0.10551
2013,Urban regions,male,Born in Germany or immigrated <1950,0.70079,7119,9329,0.69150,0.71008
2013,Urban regions,male,Not born in Germany,0.13936,2210,9329,0.13233,0.14639
2013,Urban regions,female,Born in Germany or immigrated <1950,0.71442,8424,11179,0.70604,0.72279
2013,Urban regions,female,Not born in Germany,0.13958,2755,11179,0.13316,0.14601
2013,Rural regions,male,Born in Germany or immigrated <1950,0.78120,4191,4926,0.76966,0.79275
2013,Rural regions,male,Not born in Germany,0.07166,735,4926,0.06445,0.07886
2013,Rural regions,female,Born in Germany or immigrated <1950,0.78374,4872,5749,0.77310,0.79439
2013,Rural regions,female,Not born in Germany,0.08456,877,5749,0.07736,0.09175
2014,Urban regions,male,Born in Germany or immigrated <1950,0.70369,6463,8251,0.69384,0.71354
2014,Urban regions,male,Not born in Germany,0.13948,1788,8251,0.13201,0.14696
2014,Urban regions,female,Born in Germany or immigrated <1950,0.71513,7591,9791,0.70618,0.72407
2014,Urban regions,female,Not born in Germany,0.13875,2200,9791,0.13190,0.14560
2014,Rural regions,male,Born in Germany or immigrated <1950,0.77899,3850,4473,0.76683,0.79115
2014,Rural regions,male,Not born in Germany,0.07800,623,4473,0.07014,0.08586
2014,Rural regions,female,Born in Germany or immigrated <1950,0.78164,4418,5139,0.77035,0.79294
2014,Rural regions,female,Not born in Germany,0.08455,721,5139,0.07694,0.09216
2015,Urban regions,male,Born in Germany or immigrated <1950,0.69980,6121,8186,0.68987,0.70973
2015,Urban regions,male,Not born in Germany,0.14743,2065,8186,0.13975,0.15511
2015,Urban regions,female,Born in Germany or immigrated <1950,0.71275,7191,9681,0.70373,0.72176
2015,Urban regions,female,Not born in Germany,0.14406,2490,9681,0.13707,0.15106
2015,Rural regions,male,Born in Germany or immigrated <1950,0.77053,3677,4401,0.75810,0.78295
2015,Rural regions,male,Not born in Germany,0.07869,724,4401,0.07073,0.08664
2015,Rural regions,female,Born in Germany or immigrated <1950,0.77627,4243,5074,0.76480,0.78774
2015,Rural regions,female,Not born in Germany,0.08982,831,5074,0.08195,0.09768
2016,Urban regions,male,Born in Germany or immigrated <1950,0.69147,5668,8639,0.68173,0.70121
2016,Urban regions,male,Not born in Germany,0.15149,2971,8639,0.14393,0.15905
2016,Urban regions,female,Born in Germany or immigrated <1950,0.70975,6697,9698,0.70072,0.71879
2016,Urban regions,female,Not born in Germany,0.14831,3001,9698,0.14124,0.15538
2016,Rural regions,male,Born in Germany or immigrated <1950,0.76532,3437,4592,0.75306,0.77758
2016,Rural regions,male,Not born in Germany,0.08230,1155,4592,0.07435,0.09025
2016,Rural regions,female,Born in Germany or immigrated <1950,0.76934,3945,5043,0.75771,0.78096
2016,Rural regions,female,Not born in Germany,0.09320,1098,5043,0.08518,0.10122
2017,Urban regions,male,Born in Germany or immigrated <1950,0.69626,6470,9683,0.68710,0.70542
2017,Urban regions,male,Not born in Germany,0.14652,3213,9683,0.13948,0.15357
2017,Urban regions,female,Born in Germany or immigrated <1950,0.70108,7472,10751,0.69243,0.70974
2017,Urban regions,female,Not born in Germany,0.15306,3279,10751,0.14626,0.15987
2017,Rural regions,male,Born in Germany or immigrated <1950,0.76061,3887,5203,0.74901,0.77221
2017,Rural regions,male,Not born in Germany,0.08231,1316,5203,0.07484,0.08977
2017,Rural regions,female,Born in Germany or immigrated <1950,0.76299,4384,5622,0.75188,0.77411
2017,Rural regions,female,Not born in Germany,0.09783,1238,5622,0.09006,0.10560
2018,Urban regions,male,Born in Germany or immigrated <1950,0.69360,6279,9380,0.68427,0.70293
2018,Urban regions,male,Not born in Germany,0.15138,3101,9380,0.14413,0.15864
2018,Urban regions,female,Born in Germany or immigrated <1950,0.69869,7259,10309,0.68983,0.70755
2018,Urban regions,female,Not born in Germany,0.15887,3050,10309,0.15181,0.16593
2018,Rural regions,male,Born in Germany or immigrated <1950,0.76261,3710,4876,0.75067,0.77455
2018,Rural regions,male,Not born in Germany,0.08445,1166,4876,0.07664,0.09226
2018,Rural regions,female,Born in Germany or immigrated <1950,0.76995,4215,5324,0.75864,0.78126
2018,Rural regions,female,Not born in Germany,0.09228,1109,5324,0.08451,0.10006
2019,Urban regions,male,Born in Germany or immigrated <1950,0.68646,6635,9459,0.67711,0.69581
2019,Urban regions,male,Not born in Germany,0.15349,2824,9459,0.14623,0.16075
2019,Urban regions,female,Born in Germany or immigrated <1950,0.69355,7134,9859,0.68445,0.70265
2019,Urban regions,female,Not born in Germany,0.15994,2725,9859,0.15270,0.16717
2019,Rural regions,male,Born in Germany or immigrated <1950,0.75833,3830,4872,0.74630,0.77035
2019,Rural regions,male,Not born in Germany,0.08839,1042,4872,0.08042,0.09637
2019,Rural regions,female,Born in Germany or immigrated <1950,0.76823,4106,5083,0.75663,0.77983
2019,Rural regions,female,Not born in Germany,0.09000,977,5083,0.08214,0.09787
2020,Urban regions,male,Born in Germany or immigrated <1950,0.69499,6195,10158,0.68604,0.70394
2020,Urban regions,male,Not born in Germany,0.14222,3963,10158,0.13543,0.14902
2020,Urban regions,female,Born in Germany or immigrated <1950,0.70988,6892,10191,0.70107,0.71869
2020,Urban regions,female,Not born in Germany,0.14391,3299,10191,0.13710,0.15073
2020,Rural regions,male,Born in Germany or immigrated <1950,0.76153,3533,4764,0.74943,0.77364
2020,Rural regions,male,Not born in Germany,0.08397,1231,4764,0.07610,0.09185
2020,Rural regions,female,Born in Germany or immigrated <1950,0.76371,3841,4892,0.75180,0.77561
2020,Rural regions,female,Not born in Germany,0.08466,1051,4892,0.07686,0.09247
2021,Urban regions,male,Born in Germany or immigrated <1950,0.68401,4339,6604,0.67280,0.69522
2021,Urban regions,male,Not born in Germany,0.14607,2265,6604,0.13755,0.15459
2021,Urban regions,female,Born in Germany or immigrated <1950,0.69582,4868,6948,0.68500,0.70664
2021,Urban regions,female,Not born in Germany,0.15184,2080,6948,0.14340,0.16028
2021,Rural regions,male,Born in Germany or immigrated <1950,0.75489,2456,3073,0.73968,0.77010
2021,Rural regions,male,Not born in Germany,0.09062,617,3073,0.08047,0.10077
2021,Rural regions,female,Born in Germany or immigrated <1950,0.75836,2692,3299,0.74375,0.77297
2021,Rural regions,female,Not born in Germany,0.08901,607,3299,0.07929,0.09873
2022,Urban regions,male,Born in Germany or immigrated <1950,0.65491,6043,9541,0.64537,0.66445
2022,Urban regions,male,Not born in Germany,0.17122,3498,9541,0.16366,0.17878
2022,Urban regions,female,Born in Germany or immigrated <1950,0.67410,6529,9816,0.66483,0.68337
2022,Urban regions,female,Not born in Germany,0.16460,3287,9816,0.15727,0.17194
2022,Rural regions,male,Born in Germany or immigrated <1950,0.74709,3550,4248,0.73402,0.76016
2022,Rural regions,male,Not born in Germany,0.08740,698,4248,0.07891,0.09590
2022,Rural regions,female,Born in Germany or immigrated <1950,0.74600,3894,4647,0.73348,0.75852
2022,Rural regions,female,Not born in Germany,0.10239,753,4647,0.09368,0.11111
