year,pgisced97,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.84315,214,299,0.80186,0.88444
1992,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.15685,85,299,0.11556,0.19814
1992,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.90769,72,72,0.84035,0.97502
1992,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91736,424,471,0.89246,0.94225
1992,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.08264,47,471,0.05775,0.10754
1992,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.91712,276,276,0.88453,0.94971
1992,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.90945,895,996,0.89161,0.92728
1992,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.09055,101,996,0.07272,0.10839
1992,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.93940,599,599,0.92028,0.95853
1993,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.92315,118,118,0.87488,0.97141
1993,Pre-primary Level,Rural regions,Born in Germany or immigrated <1950,0.98079,57,57,0.94484,1.01674
1993,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.29813,68,507,0.25827,0.33799
1993,Primary Level,Urban regions,Not born in Germany,0.70187,439,507,0.66201,0.74173
1993,Primary Level,Rural regions,Born in Germany or immigrated <1950,0.62425,40,104,0.53072,0.71779
1993,Primary Level,Rural regions,Not born in Germany,0.37575,64,104,0.28221,0.46928
1993,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.80826,1193,1858,0.79036,0.82617
1993,Lower Secondary Level,Urban regions,Not born in Germany,0.19174,665,1858,0.17383,0.20964
1993,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.91393,702,820,0.89472,0.93314
1993,Lower Secondary Level,Rural regions,Not born in Germany,0.08607,118,820,0.06686,0.10528
1993,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.90120,3517,4192,0.89216,0.91023
1993,Upper Secondary Level,Urban regions,Not born in Germany,0.09880,675,4192,0.08977,0.10784
1993,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.94677,2308,2472,0.93792,0.95562
1993,Upper Secondary Level,Rural regions,Not born in Germany,0.05323,164,2472,0.04438,0.06208
1993,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.83152,209,291,0.78844,0.87460
1993,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.16848,82,291,0.12540,0.21156
1993,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.90777,81,81,0.84436,0.97118
1993,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91371,420,463,0.88811,0.93932
1993,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.08629,43,463,0.06068,0.11189
1993,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.91165,266,266,0.87748,0.94582
1993,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.90225,916,1017,0.88399,0.92052
1993,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.09775,101,1017,0.07948,0.11601
1993,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.93018,589,589,0.90958,0.95078
1994,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.94003,159,159,0.90301,0.97705
1994,Pre-primary Level,Rural regions,Born in Germany or immigrated <1950,0.95495,67,67,0.90491,1.00499
1994,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.27491,56,466,0.23433,0.31549
1994,Primary Level,Urban regions,Not born in Germany,0.72509,410,466,0.68451,0.76567
1994,Primary Level,Rural regions,Born in Germany or immigrated <1950,0.61761,33,90,0.51664,0.71858
1994,Primary Level,Rural regions,Not born in Germany,0.38239,57,90,0.28142,0.48336
1994,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.80869,1132,1734,0.79017,0.82720
1994,Lower Secondary Level,Urban regions,Not born in Germany,0.19131,602,1734,0.17280,0.20983
1994,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.90821,652,758,0.88764,0.92878
1994,Lower Secondary Level,Rural regions,Not born in Germany,0.09179,106,758,0.07122,0.11236
1994,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.89528,3480,4144,0.88596,0.90461
1994,Upper Secondary Level,Urban regions,Not born in Germany,0.10472,664,4144,0.09539,0.11404
1994,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.94701,2270,2424,0.93809,0.95593
1994,Upper Secondary Level,Rural regions,Not born in Germany,0.05299,154,2424,0.04407,0.06191
1994,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.84235,214,288,0.80019,0.88451
1994,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.15765,74,288,0.11549,0.19981
1994,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.91522,91,91,0.85766,0.97277
1994,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.90701,417,462,0.88050,0.93352
1994,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.09299,45,462,0.06648,0.11950
1994,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.90716,275,275,0.87280,0.94152
1994,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.90155,946,1040,0.88344,0.91967
1994,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.09845,94,1040,0.08033,0.11656
1994,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.92275,583,583,0.90106,0.94444
1995,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.83990,163,197,0.78856,0.89124
1995,Pre-primary Level,Urban regions,Not born in Germany,0.16010,34,197,0.10876,0.21144
1995,Pre-primary Level,Rural regions,Born in Germany or immigrated <1950,0.92884,86,86,0.87418,0.98350
1995,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.24056,47,448,0.20094,0.28019
1995,Primary Level,Urban regions,Not born in Germany,0.75944,401,448,0.71981,0.79906
1995,Primary Level,Rural regions,Not born in Germany,0.44269,58,58,0.31374,0.57163
1995,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.78337,1073,1729,0.76395,0.80280
1995,Lower Secondary Level,Urban regions,Not born in Germany,0.21663,656,1729,0.19720,0.23605
1995,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.89793,639,763,0.87644,0.91943
1995,Lower Secondary Level,Rural regions,Not born in Germany,0.10207,124,763,0.08057,0.12356
1995,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.87572,3437,4238,0.86579,0.88566
1995,Upper Secondary Level,Urban regions,Not born in Germany,0.12428,801,4238,0.11434,0.13421
1995,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.93974,2303,2489,0.93039,0.94909
1995,Upper Secondary Level,Rural regions,Not born in Germany,0.06026,186,2489,0.05091,0.06961
1995,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.73364,225,357,0.68772,0.77956
1995,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.26636,132,357,0.22044,0.31228
1995,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.88283,92,92,0.81674,0.94891
1995,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.91382,415,456,0.88803,0.93961
1995,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.08618,41,456,0.06039,0.11197
1995,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.89900,284,284,0.86389,0.93411
1995,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.86035,957,1106,0.83991,0.88079
1995,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.13965,149,1106,0.11921,0.16009
1995,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.89677,604,647,0.87330,0.92023
1995,Second Stage of Tertiary Education,Rural regions,Not born in Germany,0.10323,43,647,0.07977,0.12670
1996,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.86400,173,173,0.81277,0.91523
1996,Pre-primary Level,Rural regions,Born in Germany or immigrated <1950,0.94442,91,91,0.89709,0.99176
1996,Primary Level,Urban regions,Born in Germany or immigrated <1950,0.24913,45,406,0.20701,0.29126
1996,Primary Level,Urban regions,Not born in Germany,0.75087,361,406,0.70874,0.79299
1996,Primary Level,Rural regions,Not born in Germany,0.48687,61,61,0.36040,0.61335
1996,Lower Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.78108,1041,1646,0.76110,0.80106
1996,Lower Secondary Level,Urban regions,Not born in Germany,0.21892,605,1646,0.19894,0.23890
1996,Lower Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.89403,619,739,0.87182,0.91624
1996,Lower Secondary Level,Rural regions,Not born in Germany,0.10597,120,739,0.08376,0.12818
1996,Upper Secondary Level,Urban regions,Born in Germany or immigrated <1950,0.87780,3393,4147,0.86783,0.88777
1996,Upper Secondary Level,Urban regions,Not born in Germany,0.12220,754,4147,0.11223,0.13217
1996,Upper Secondary Level,Rural regions,Born in Germany or immigrated <1950,0.94005,2293,2472,0.93069,0.94941
1996,Upper Secondary Level,Rural regions,Not born in Germany,0.05995,179,2472,0.05059,0.06931
1996,Post-secondary Non-tertiary Level,Urban regions,Born in Germany or immigrated <1950,0.76064,234,355,0.71619,0.80509
1996,Post-secondary Non-tertiary Level,Urban regions,Not born in Germany,0.23936,121,355,0.19491,0.28381
1996,Post-secondary Non-tertiary Level,Rural regions,Born in Germany or immigrated <1950,0.86267,95,95,0.79309,0.93225
1996,First Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.90410,425,470,0.87745,0.93075
1996,First Stage of Tertiary Education,Urban regions,Not born in Germany,0.09590,45,470,0.06925,0.12255
1996,First Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.91428,278,278,0.88132,0.94725
1996,Second Stage of Tertiary Education,Urban regions,Born in Germany or immigrated <1950,0.86168,977,1119,0.84145,0.88192
1996,Second Stage of Tertiary Education,Urban regions,Not born in Germany,0.13832,142,1119,0.11808,0.15855
1996,Second Stage of Tertiary Education,Rural regions,Born in Germany or immigrated <1950,0.89615,602,645,0.87259,0.91971
1996,Second Stage of Tertiary Education,Rural regions,Not born in Germany,0.10385,43,645,0.08029,0.12741
1997,Pre-primary Level,Urban regions,Born in Germany or immigrated <1950,0.88805,184,184,0.84237,0.93374
