year,migback,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,No migration background,male,Born in Germany or immigrated <1950,0.82387,5093,5093,0.81340,0.83433
1991,No migration background,female,Born in Germany or immigrated <1950,0.84789,5524,5524,0.83842,0.85736
1991,Direct migration background,male,Not born in Germany,0.96244,1366,1366,0.95236,0.97253
1991,Direct migration background,female,Not born in Germany,0.96931,1258,1258,0.95977,0.97884
1991,Indirect migration background,male,Born in Germany or immigrated <1950,0.19891,173,173,0.13925,0.25857
1991,Indirect migration background,female,Born in Germany or immigrated <1950,0.22190,174,174,0.15998,0.28382
1992,No migration background,male,Born in Germany or immigrated <1950,0.82314,4934,4934,0.81250,0.83379
1992,No migration background,female,Born in Germany or immigrated <1950,0.84358,5426,5426,0.83391,0.85325
1992,Direct migration background,male,Not born in Germany,0.98122,1324,1324,0.97391,0.98854
1992,Direct migration background,female,Not born in Germany,0.97839,1228,1228,0.97026,0.98653
1992,Indirect migration background,male,Born in Germany or immigrated <1950,0.24396,205,205,0.18503,0.30290
1992,Indirect migration background,female,Born in Germany or immigrated <1950,0.27547,200,200,0.21340,0.33754
1993,No migration background,male,Born in Germany or immigrated <1950,0.82254,4843,4843,0.81178,0.83330
1993,No migration background,female,Born in Germany or immigrated <1950,0.84045,5316,5316,0.83060,0.85029
1993,Direct migration background,male,Not born in Germany,0.98602,1286,1286,0.97959,0.99244
1993,Direct migration background,female,Not born in Germany,0.98283,1191,1191,0.97544,0.99021
1993,Indirect migration background,male,Born in Germany or immigrated <1950,0.30194,236,236,0.24324,0.36064
1993,Indirect migration background,female,Born in Germany or immigrated <1950,0.32912,231,231,0.26839,0.38985
1994,No migration background,male,Born in Germany or immigrated <1950,0.81764,4761,4761,0.80667,0.82861
1994,No migration background,female,Born in Germany or immigrated <1950,0.84180,5265,5265,0.83194,0.85166
1994,Direct migration background,male,Not born in Germany,0.98808,1209,1209,0.98196,0.99420
1994,Direct migration background,female,Not born in Germany,0.98884,1149,1149,0.98276,0.99492
1994,Indirect migration background,male,Born in Germany or immigrated <1950,0.32641,245,245,0.26758,0.38525
1994,Indirect migration background,female,Born in Germany or immigrated <1950,0.33906,245,245,0.27966,0.39846
1995,No migration background,male,Born in Germany or immigrated <1950,0.81917,4751,4751,0.80823,0.83012
1995,No migration background,female,Born in Germany or immigrated <1950,0.84099,5251,5251,0.83110,0.85088
1995,Direct migration background,male,Not born in Germany,0.93690,1409,1409,0.92420,0.94960
1995,Direct migration background,female,Not born in Germany,0.94473,1372,1372,0.93264,0.95683
1995,Indirect migration background,male,Born in Germany or immigrated <1950,0.31431,250,250,0.25665,0.37198
1995,Indirect migration background,female,Born in Germany or immigrated <1950,0.34133,253,253,0.28278,0.39987
1996,No migration background,male,Born in Germany or immigrated <1950,0.82074,4720,4720,0.80980,0.83169
1996,No migration background,female,Born in Germany or immigrated <1950,0.84437,5188,5188,0.83451,0.85424
1996,Direct migration background,male,Not born in Germany,0.93904,1308,1308,0.92607,0.95201
1996,Direct migration background,female,Not born in Germany,0.94879,1290,1290,0.93676,0.96082
1996,Indirect migration background,male,Born in Germany or immigrated <1950,0.32197,265,265,0.26561,0.37833
1996,Indirect migration background,female,Born in Germany or immigrated <1950,0.35621,277,277,0.29972,0.41271
1997,No migration background,male,Born in Germany or immigrated <1950,0.82298,4670,4670,0.81203,0.83393
1997,No migration background,female,Born in Germany or immigrated <1950,0.84417,5122,5122,0.83423,0.85410
1997,Direct migration background,male,Not born in Germany,0.93955,1251,1251,0.92634,0.95276
1997,Direct migration background,female,Not born in Germany,0.95655,1221,1221,0.94511,0.96799
1997,Indirect migration background,male,Born in Germany or immigrated <1950,0.35662,288,288,0.30120,0.41204
1997,Indirect migration background,female,Born in Germany or immigrated <1950,0.38312,278,278,0.32587,0.44037
1998,No migration background,male,Born in Germany or immigrated <1950,0.82688,5371,5371,0.81676,0.83700
1998,No migration background,female,Born in Germany or immigrated <1950,0.84845,5875,5875,0.83928,0.85762
1998,Direct migration background,male,Not born in Germany,0.94278,1212,1212,0.92970,0.95587
1998,Direct migration background,female,Not born in Germany,0.94868,1187,1187,0.93613,0.96124
1998,Indirect migration background,male,Born in Germany or immigrated <1950,0.40632,306,306,0.35120,0.46144
1998,Indirect migration background,female,Born in Germany or immigrated <1950,0.37898,289,289,0.32295,0.43501
1999,No migration background,male,Born in Germany or immigrated <1950,0.83149,5196,5196,0.82131,0.84167
1999,No migration background,female,Born in Germany or immigrated <1950,0.84942,5670,5670,0.84011,0.85873
1999,Direct migration background,male,Not born in Germany,0.94454,1108,1108,0.93106,0.95802
1999,Direct migration background,female,Not born in Germany,0.95652,1096,1096,0.94444,0.96860
1999,Indirect migration background,male,Born in Germany or immigrated <1950,0.41426,305,305,0.35889,0.46964
1999,Indirect migration background,female,Born in Germany or immigrated <1950,0.39424,299,299,0.33876,0.44973
2000,No migration background,male,Born in Germany or immigrated <1950,0.83390,9561,9561,0.82644,0.84136
2000,No migration background,female,Born in Germany or immigrated <1950,0.85388,10428,10428,0.84710,0.86066
2000,Direct migration background,male,Not born in Germany,0.91771,1623,1623,0.90434,0.93108
2000,Direct migration background,female,Not born in Germany,0.91912,1682,1682,0.90609,0.93215
2000,Indirect migration background,male,Born in Germany or immigrated <1950,0.39643,402,402,0.34855,0.44431
2000,Indirect migration background,female,Born in Germany or immigrated <1950,0.40178,416,416,0.35461,0.44895
2001,No migration background,male,Born in Germany or immigrated <1950,0.83663,8724,8724,0.82887,0.84438
2001,No migration background,female,Born in Germany or immigrated <1950,0.85681,9517,9517,0.84977,0.86384
2001,Direct migration background,male,Not born in Germany,0.94071,1430,1430,0.92846,0.95295
2001,Direct migration background,female,Not born in Germany,0.93209,1486,1486,0.91929,0.94489
2001,Indirect migration background,male,Born in Germany or immigrated <1950,0.38318,371,371,0.33365,0.43272
2001,Indirect migration background,female,Born in Germany or immigrated <1950,0.37916,393,393,0.33113,0.42719
2002,No migration background,male,Born in Germany or immigrated <1950,0.83846,9403,9403,0.83102,0.84589
2002,No migration background,female,Born in Germany or immigrated <1950,0.85791,10058,10058,0.85108,0.86473
2002,Direct migration background,male,Not born in Germany,0.94526,1361,1361,0.93317,0.95735
2002,Direct migration background,female,Not born in Germany,0.94406,1436,1436,0.93217,0.95595
2002,Indirect migration background,male,Born in Germany or immigrated <1950,0.37775,364,364,0.32788,0.42763
2002,Indirect migration background,female,Born in Germany or immigrated <1950,0.38662,405,405,0.33914,0.43411
2003,No migration background,male,Born in Germany or immigrated <1950,0.84182,9047,9047,0.83430,0.84934
2003,No migration background,female,Born in Germany or immigrated <1950,0.85767,9723,9723,0.85072,0.86461
2003,Direct migration background,male,Not born in Germany,0.95053,1264,1264,0.93857,0.96249
2003,Direct migration background,female,Not born in Germany,0.94872,1355,1355,0.93697,0.96046
2003,Indirect migration background,male,Born in Germany or immigrated <1950,0.39032,366,366,0.34027,0.44036
2003,Indirect migration background,female,Born in Germany or immigrated <1950,0.41314,411,411,0.36548,0.46081
2004,No migration background,male,Born in Germany or immigrated <1950,0.84442,8781,8781,0.83684,0.85201
2004,No migration background,female,Born in Germany or immigrated <1950,0.86046,9497,9497,0.85349,0.86743
2004,Direct migration background,male,Not born in Germany,0.96597,1218,1218,0.95579,0.97616
2004,Direct migration background,female,Not born in Germany,0.95609,1320,1320,0.94503,0.96714
2004,Indirect migration background,male,Born in Germany or immigrated <1950,0.42761,382,382,0.37793,0.47729
2004,Indirect migration background,female,Born in Germany or immigrated <1950,0.43017,416,416,0.38254,0.47781
2005,No migration background,male,Born in Germany or immigrated <1950,0.84804,8383,8383,0.84036,0.85573
2005,No migration background,female,Born in Germany or immigrated <1950,0.86344,9122,9122,0.85639,0.87049
2005,Direct migration background,male,Not born in Germany,0.96640,1116,1116,0.95582,0.97697
2005,Direct migration background,female,Not born in Germany,0.96661,1252,1252,0.95666,0.97657
2005,Indirect migration background,male,Born in Germany or immigrated <1950,0.46087,400,400,0.41196,0.50978
2005,Indirect migration background,female,Born in Germany or immigrated <1950,0.47631,426,426,0.42883,0.52380
2006,No migration background,male,Born in Germany or immigrated <1950,0.85129,9118,9118,0.84399,0.85860
2006,No migration background,female,Born in Germany or immigrated <1950,0.86621,9914,9914,0.85951,0.87291
2006,Direct migration background,male,Not born in Germany,0.96601,1107,1107,0.95533,0.97669
2006,Direct migration background,female,Not born in Germany,0.96186,1278,1278,0.95135,0.97236
2006,Indirect migration background,male,Born in Germany or immigrated <1950,0.48823,406,406,0.43954,0.53691
2006,Indirect migration background,female,Born in Germany or immigrated <1950,0.47838,448,448,0.43207,0.52468
2007,No migration background,male,Born in Germany or immigrated <1950,0.85383,8570,8570,0.84635,0.86131
2007,No migration background,female,Born in Germany or immigrated <1950,0.87052,9312,9312,0.86370,0.87733
2007,Direct migration background,male,Not born in Germany,0.97492,985,985,0.96514,0.98469
2007,Direct migration background,female,Not born in Germany,0.97059,1148,1148,0.96082,0.98037
2007,Indirect migration background,male,Born in Germany or immigrated <1950,0.50256,397,397,0.45331,0.55181
2007,Indirect migration background,female,Born in Germany or immigrated <1950,0.50879,438,438,0.46191,0.55566
2008,No migration background,male,Born in Germany or immigrated <1950,0.85660,8059,8059,0.84895,0.86425
2008,No migration background,female,Born in Germany or immigrated <1950,0.87081,8780,8780,0.86380,0.87783
2008,Direct migration background,male,Not born in Germany,0.97564,883,883,0.96547,0.98582
2008,Direct migration background,female,Not born in Germany,0.97975,1027,1027,0.97113,0.98837
2008,Indirect migration background,male,Born in Germany or immigrated <1950,0.52992,394,394,0.48057,0.57926
2008,Indirect migration background,female,Born in Germany or immigrated <1950,0.55195,428,428,0.50478,0.59912
2009,No migration background,male,Born in Germany or immigrated <1950,0.85950,7608,7608,0.85169,0.86731
2009,No migration background,female,Born in Germany or immigrated <1950,0.86914,8228,8228,0.86185,0.87643
2009,Direct migration background,male,Not born in Germany,0.98145,764,764,0.97188,0.99102
2009,Direct migration background,female,Not born in Germany,0.98296,903,903,0.97451,0.99140
2009,Indirect migration background,male,Born in Germany or immigrated <1950,0.55033,356,356,0.49858,0.60208
2009,Indirect migration background,female,Born in Germany or immigrated <1950,0.58643,395,395,0.53781,0.63506
2010,No migration background,male,Born in Germany or immigrated <1950,0.86722,9226,9226,0.86030,0.87415
2010,No migration background,female,Born in Germany or immigrated <1950,0.87380,10938,10938,0.86757,0.88002
2010,Direct migration background,male,Not born in Germany,0.97344,1332,1332,0.96480,0.98208
2010,Direct migration background,female,Not born in Germany,0.97353,1665,1665,0.96582,0.98124
2010,Indirect migration background,male,Born in Germany or immigrated <1950,0.47197,529,529,0.42939,0.51455
2010,Indirect migration background,female,Born in Germany or immigrated <1950,0.50115,638,638,0.46233,0.53998
2011,No migration background,male,Born in Germany or immigrated <1950,0.86185,11038,11038,0.85541,0.86828
2011,No migration background,female,Born in Germany or immigrated <1950,0.86992,13146,13146,0.86417,0.87567
2011,Direct migration background,male,Not born in Germany,0.97105,1480,1480,0.96251,0.97960
2011,Direct migration background,female,Not born in Germany,0.97552,1893,1893,0.96856,0.98249
2011,Indirect migration background,male,Born in Germany or immigrated <1950,0.47533,611,611,0.43570,0.51496
2011,Indirect migration background,female,Born in Germany or immigrated <1950,0.48988,732,732,0.45364,0.52612
2012,No migration background,male,Born in Germany or immigrated <1950,0.86173,10807,10807,0.85522,0.86824
2012,No migration background,female,Born in Germany or immigrated <1950,0.87208,12848,12848,0.86631,0.87786
2012,Direct migration background,male,Not born in Germany,0.96997,1414,1414,0.96107,0.97887
2012,Direct migration background,female,Not born in Germany,0.97208,1799,1799,0.96447,0.97970
2012,Indirect migration background,male,Born in Germany or immigrated <1950,0.48368,592,592,0.44339,0.52397
2012,Indirect migration background,female,Born in Germany or immigrated <1950,0.49367,706,706,0.45677,0.53058
2013,No migration background,male,Born in Germany or immigrated <1950,0.86209,10276,10276,0.85542,0.86876
2013,No migration background,female,Born in Germany or immigrated <1950,0.87721,12183,12183,0.87138,0.88304
2013,Direct migration background,male,Not born in Germany,0.96986,2945,2945,0.96368,0.97603
2013,Direct migration background,female,Not born in Germany,0.96750,3632,3632,0.96173,0.97327
2013,Indirect migration background,male,Born in Germany or immigrated <1950,0.50435,1034,1034,0.47386,0.53484
2013,Indirect migration background,female,Born in Germany or immigrated <1950,0.49219,1113,1113,0.46281,0.52158
2014,No migration background,male,Born in Germany or immigrated <1950,0.86602,9443,9443,0.85915,0.87289
2014,No migration background,female,Born in Germany or immigrated <1950,0.87393,11042,11042,0.86773,0.88012
2014,Direct migration background,male,Not born in Germany,0.97118,2411,2411,0.96451,0.97786
2014,Direct migration background,female,Not born in Germany,0.96540,2921,2921,0.95877,0.97203
2014,Indirect migration background,male,Born in Germany or immigrated <1950,0.52363,870,870,0.49043,0.55684
2014,Indirect migration background,female,Born in Germany or immigrated <1950,0.51429,967,967,0.48277,0.54580
2015,No migration background,male,Born in Germany or immigrated <1950,0.86578,8991,8991,0.85874,0.87283
2015,No migration background,female,Born in Germany or immigrated <1950,0.87777,10521,10521,0.87151,0.88403
2015,Direct migration background,male,Not born in Germany,0.96797,2789,2789,0.96143,0.97451
2015,Direct migration background,female,Not born in Germany,0.96288,3321,3321,0.95645,0.96931
2015,Indirect migration background,male,Born in Germany or immigrated <1950,0.51757,807,807,0.48308,0.55207
2015,Indirect migration background,female,Born in Germany or immigrated <1950,0.50659,913,913,0.47414,0.53904
2016,No migration background,male,Born in Germany or immigrated <1950,0.86280,8360,8360,0.85543,0.87018
2016,No migration background,female,Born in Germany or immigrated <1950,0.87614,9783,9783,0.86962,0.88267
2016,Direct migration background,male,Not born in Germany,0.95607,4126,4126,0.94982,0.96233
2016,Direct migration background,female,Not born in Germany,0.95489,4099,4099,0.94853,0.96124
2016,Indirect migration background,male,Born in Germany or immigrated <1950,0.52823,745,745,0.49236,0.56410
2016,Indirect migration background,female,Born in Germany or immigrated <1950,0.54530,859,859,0.51198,0.57862
2017,No migration background,male,Born in Germany or immigrated <1950,0.86399,9534,9534,0.85711,0.87087
2017,No migration background,female,Born in Germany or immigrated <1950,0.87450,10933,10933,0.86829,0.88071
2017,Direct migration background,male,Not born in Germany,0.94944,4529,4529,0.94306,0.95582
2017,Direct migration background,female,Not born in Germany,0.95325,4517,4517,0.94709,0.95941
2017,Indirect migration background,male,Born in Germany or immigrated <1950,0.52907,823,823,0.49494,0.56319
2017,Indirect migration background,female,Born in Germany or immigrated <1950,0.52704,923,923,0.49482,0.55927
2018,No migration background,male,Born in Germany or immigrated <1950,0.86797,9183,9183,0.86105,0.87490
2018,No migration background,female,Born in Germany or immigrated <1950,0.87738,10554,10554,0.87112,0.88363
2018,Direct migration background,male,Not born in Germany,0.94828,4267,4267,0.94163,0.95493
2018,Direct migration background,female,Not born in Germany,0.95098,4159,4159,0.94442,0.95754
2018,Indirect migration background,male,Born in Germany or immigrated <1950,0.52943,806,806,0.49495,0.56391
2018,Indirect migration background,female,Born in Germany or immigrated <1950,0.54688,920,920,0.51470,0.57907
2019,No migration background,male,Born in Germany or immigrated <1950,0.86389,9934,9934,0.85715,0.87064
2019,No migration background,female,Born in Germany or immigrated <1950,0.87375,10600,10600,0.86743,0.88007
2019,Direct migration background,male,Not born in Germany,0.95368,3885,3885,0.94707,0.96029
2019,Direct migration background,female,Not born in Germany,0.95588,3715,3715,0.94928,0.96249
2019,Indirect migration background,male,Born in Germany or immigrated <1950,0.53002,811,811,0.49565,0.56439
2019,Indirect migration background,female,Born in Germany or immigrated <1950,0.53769,879,879,0.50471,0.57066
2020,No migration background,male,Born in Germany or immigrated <1950,0.86281,8953,8953,0.85568,0.86994
2020,No migration background,female,Born in Germany or immigrated <1950,0.86990,9886,9886,0.86326,0.87653
2020,Direct migration background,male,Not born in Germany,0.95301,5194,5194,0.94726,0.95877
2020,Direct migration background,female,Not born in Germany,0.95290,4350,4350,0.94660,0.95920
2020,Indirect migration background,male,Born in Germany or immigrated <1950,0.51433,775,775,0.47912,0.54955
2020,Indirect migration background,female,Born in Germany or immigrated <1950,0.52508,847,847,0.49143,0.55874
2021,No migration background,male,Born in Germany or immigrated <1950,0.86606,6326,6326,0.85767,0.87446
2021,No migration background,female,Born in Germany or immigrated <1950,0.86755,7054,7054,0.85964,0.87546
2021,Direct migration background,male,Not born in Germany,0.94423,2882,2882,0.93585,0.95261
2021,Direct migration background,female,Not born in Germany,0.94535,2687,2687,0.93676,0.95395
2021,Indirect migration background,male,Born in Germany or immigrated <1950,0.45975,469,469,0.41459,0.50490
2021,Indirect migration background,female,Born in Germany or immigrated <1950,0.51167,507,507,0.46811,0.55522
2022,No migration background,male,Born in Germany or immigrated <1950,0.84889,8893,8893,0.84145,0.85633
2022,No migration background,female,Born in Germany or immigrated <1950,0.85975,9618,9618,0.85281,0.86669
2022,Direct migration background,male,Not born in Germany,0.93639,4196,4196,0.92900,0.94377
2022,Direct migration background,female,Not born in Germany,0.93216,4040,4040,0.92440,0.93991
2022,Indirect migration background,male,Born in Germany or immigrated <1950,0.53443,700,700,0.49745,0.57141
2022,Indirect migration background,female,Born in Germany or immigrated <1950,0.57456,805,805,0.54038,0.60873
