"germborn","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht in Deutschland geboren","1986","Hauptschule","Westdeutschland","1480","","",""
"nicht in Deutschland geboren","1986","Hauptschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1986","Realschule","Westdeutschland","145","","",""
"nicht in Deutschland geboren","1986","Realschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1986","(Fach-)Abitur","Westdeutschland","229","","",""
"nicht in Deutschland geboren","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1986","AkademikerIn","Westdeutschland","110","","",""
"nicht in Deutschland geboren","1986","AkademikerIn","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1987","(noch) kein Abschluss","Westdeutschland","231","","",""
"in Deutschland geboren oder immigr.<1950","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1987","Hauptschule","Westdeutschland","4523","0.904535478340683","0.897109939390464","0.911961017290901"
"in Deutschland geboren oder immigr.<1950","1987","Hauptschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1987","Realschule","Westdeutschland","1612","","",""
"in Deutschland geboren oder immigr.<1950","1987","Realschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1987","(Fach-)Abitur","Westdeutschland","552","0.876623473380184","0.853544121577601","0.899702825182767"
"in Deutschland geboren oder immigr.<1950","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1987","AkademikerIn","Westdeutschland","642","0.912595586283206","0.892274262181448","0.932916910384963"
"in Deutschland geboren oder immigr.<1950","1987","AkademikerIn","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1987","(noch) kein Abschluss","Westdeutschland","772","0.453208644937419","0.422401068334107","0.48401622154073"
"nicht in Deutschland geboren","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1987","Hauptschule","Westdeutschland","1493","","",""
"nicht in Deutschland geboren","1987","Hauptschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1987","Realschule","Westdeutschland","147","","",""
"nicht in Deutschland geboren","1987","Realschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1987","(Fach-)Abitur","Westdeutschland","228","","",""
"nicht in Deutschland geboren","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1987","AkademikerIn","Westdeutschland","100","","",""
"nicht in Deutschland geboren","1987","AkademikerIn","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1988","(noch) kein Abschluss","Westdeutschland","210","","",""
"in Deutschland geboren oder immigr.<1950","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1988","Hauptschule","Westdeutschland","4295","0.90535602273437","0.897786002084622","0.912926043384119"
"in Deutschland geboren oder immigr.<1950","1988","Hauptschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1988","Realschule","Westdeutschland","1552","","",""
"in Deutschland geboren oder immigr.<1950","1988","Realschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1988","(Fach-)Abitur","Westdeutschland","527","0.880470979489327","0.857049811425566","0.903892147553088"
"in Deutschland geboren oder immigr.<1950","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1988","AkademikerIn","Westdeutschland","617","0.923004193794177","0.903283830676986","0.942724556911368"
"in Deutschland geboren oder immigr.<1950","1988","AkademikerIn","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1988","(noch) kein Abschluss","Westdeutschland","698","0.430243372965619","0.398039585318785","0.462447160612453"
"nicht in Deutschland geboren","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1988","Hauptschule","Westdeutschland","1449","","",""
"nicht in Deutschland geboren","1988","Hauptschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1988","Realschule","Westdeutschland","149","","",""
"nicht in Deutschland geboren","1988","Realschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1988","(Fach-)Abitur","Westdeutschland","210","","",""
"nicht in Deutschland geboren","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1988","AkademikerIn","Westdeutschland","85","0.0769958062058231","0.0572754430886322","0.0967161693230139"
"nicht in Deutschland geboren","1988","AkademikerIn","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1989","(noch) kein Abschluss","Westdeutschland","219","","",""
"in Deutschland geboren oder immigr.<1950","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1989","Hauptschule","Westdeutschland","4091","0.897880535493525","0.889873581994384","0.905887488992666"
"in Deutschland geboren oder immigr.<1950","1989","Hauptschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1989","Realschule","Westdeutschland","1505","","",""
"in Deutschland geboren oder immigr.<1950","1989","Realschule","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1989","(Fach-)Abitur","Westdeutschland","544","0.875840029779885","0.852302243607558","0.899377815952211"
"in Deutschland geboren oder immigr.<1950","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1989","AkademikerIn","Westdeutschland","610","0.912633018151145","0.891685038916214","0.933580997386076"
"in Deutschland geboren oder immigr.<1950","1989","AkademikerIn","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1989","(noch) kein Abschluss","Westdeutschland","669","0.415895956047969","0.383478490093754","0.448313422002185"
"nicht in Deutschland geboren","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1989","Hauptschule","Westdeutschland","1403","","",""
"nicht in Deutschland geboren","1989","Hauptschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1989","Realschule","Westdeutschland","146","","",""
"nicht in Deutschland geboren","1989","Realschule","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1989","(Fach-)Abitur","Westdeutschland","210","","",""
"nicht in Deutschland geboren","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"nicht in Deutschland geboren","1989","AkademikerIn","Westdeutschland","88","0.087366981848855","0.0664190026139243","0.108314961083786"
"nicht in Deutschland geboren","1989","AkademikerIn","Ostdeutschland","","","",""
"in Deutschland geboren oder immigr.<1950","1990","(noch) kein Abschluss","Westdeutschland","209","","",""
"in Deutschland geboren oder immigr.<1950","1990","(noch) kein Abschluss","Ostdeutschland","41","0.885768811147683","0.792830585965336","0.978707036330031"
"in Deutschland geboren oder immigr.<1950","1990","Hauptschule","Westdeutschland","3971","0.890795916141429","0.882436788818285","0.899155043464572"
"in Deutschland geboren oder immigr.<1950","1990","Hauptschule","Ostdeutschland","1592","","",""
"in Deutschland geboren oder immigr.<1950","1990","Realschule","Westdeutschland","1481","","",""
"in Deutschland geboren oder immigr.<1950","1990","Realschule","Ostdeutschland","1557","","",""
"in Deutschland geboren oder immigr.<1950","1990","(Fach-)Abitur","Westdeutschland","549","0.874568057199931","0.850832568820106","0.898303545579757"
"in Deutschland geboren oder immigr.<1950","1990","(Fach-)Abitur","Ostdeutschland","125","","",""
"in Deutschland geboren oder immigr.<1950","1990","AkademikerIn","Westdeutschland","609","0.907580125101727","0.886109994823018","0.929050255380437"
"in Deutschland geboren oder immigr.<1950","1990","AkademikerIn","Ostdeutschland","955","0.957742747766958","0.945223814688392","0.970261680845523"
"nicht in Deutschland geboren","1990","(noch) kein Abschluss","Westdeutschland","636","0.435614795134109","0.402183064608566","0.469046525659652"
"nicht in Deutschland geboren","1990","(noch) kein Abschluss","Ostdeutschland","4","0.114231188852316","0.0212929636699686","0.207169414034664"
"nicht in Deutschland geboren","1990","Hauptschule","Westdeutschland","1377","","",""
"nicht in Deutschland geboren","1990","Hauptschule","Ostdeutschland","80","0.047955972997929","0.0377140896674128","0.0581978563284452"
"nicht in Deutschland geboren","1990","Realschule","Westdeutschland","144","","",""
"nicht in Deutschland geboren","1990","Realschule","Ostdeutschland","18","","",""
"nicht in Deutschland geboren","1990","(Fach-)Abitur","Westdeutschland","199","","",""
"nicht in Deutschland geboren","1990","(Fach-)Abitur","Ostdeutschland","4","0.0476833196402281","0.0109104795763735","0.0844561597040827"
"nicht in Deutschland geboren","1990","AkademikerIn","Westdeutschland","90","0.092419874898273","0.0709497446195636","0.113890005176982"
"nicht in Deutschland geboren","1990","AkademikerIn","Ostdeutschland","37","0.0422572522330424","0.0297383191544769","0.054776185311608"
"in Deutschland geboren oder immigr.<1950","1991","(noch) kein Abschluss","Westdeutschland","213","","",""
"in Deutschland geboren oder immigr.<1950","1991","(noch) kein Abschluss","Ostdeutschland","50","0.895615541995312","0.814064419698238","0.977166664292387"
"in Deutschland geboren oder immigr.<1950","1991","Hauptschule","Westdeutschland","3909","0.883941130201843","0.875284530302344","0.892597730101343"
"in Deutschland geboren oder immigr.<1950","1991","Hauptschule","Ostdeutschland","1418","","",""
"in Deutschland geboren oder immigr.<1950","1991","Realschule","Westdeutschland","1506","","",""
"in Deutschland geboren oder immigr.<1950","1991","Realschule","Ostdeutschland","1479","","",""
"in Deutschland geboren oder immigr.<1950","1991","(Fach-)Abitur","Westdeutschland","575","0.869767605951202","0.846057213792271","0.893477998110133"
"in Deutschland geboren oder immigr.<1950","1991","(Fach-)Abitur","Ostdeutschland","111","","",""
"in Deutschland geboren oder immigr.<1950","1991","AkademikerIn","Westdeutschland","635","0.907316813127356","0.886193659070743","0.928439967183969"
"in Deutschland geboren oder immigr.<1950","1991","AkademikerIn","Ostdeutschland","917","0.950925266584949","0.937217204216266","0.964633328953632"
"nicht in Deutschland geboren","1991","(noch) kein Abschluss","Westdeutschland","612","0.462230034117839","0.428208924912757","0.496251143322922"
"nicht in Deutschland geboren","1991","(noch) kein Abschluss","Ostdeutschland","4","0.104384458004688","0.0228333357076134","0.185935580301762"
"nicht in Deutschland geboren","1991","Hauptschule","Westdeutschland","1350","","",""
"nicht in Deutschland geboren","1991","Hauptschule","Ostdeutschland","78","0.0541297296932741","0.0426636221418339","0.0655958372447142"
"nicht in Deutschland geboren","1991","Realschule","Westdeutschland","148","","",""
"nicht in Deutschland geboren","1991","Realschule","Ostdeutschland","17","","",""
"nicht in Deutschland geboren","1991","(Fach-)Abitur","Westdeutschland","199","","",""
"nicht in Deutschland geboren","1991","(Fach-)Abitur","Ostdeutschland","5","0.0700609768409271","0.0236111149796456","0.116510838702209"
"nicht in Deutschland geboren","1991","AkademikerIn","Westdeutschland","89","0.0926831868726444","0.0715600328160312","0.113806340929258"
"nicht in Deutschland geboren","1991","AkademikerIn","Ostdeutschland","37","0.0490747334150508","0.0353666710463678","0.0627827957837339"
"in Deutschland geboren oder immigr.<1950","1992","(noch) kein Abschluss","Westdeutschland","221","","",""
"in Deutschland geboren oder immigr.<1950","1992","(noch) kein Abschluss","Ostdeutschland","65","0.902027613445641","0.832387281745659","0.971667945145622"
"in Deutschland geboren oder immigr.<1950","1992","Hauptschule","Westdeutschland","3814","0.876568670007874","0.867559674310376","0.885577665705372"
"in Deutschland geboren oder immigr.<1950","1992","Hauptschule","Ostdeutschland","1340","","",""
"in Deutschland geboren oder immigr.<1950","1992","Realschule","Westdeutschland","1534","","",""
"in Deutschland geboren oder immigr.<1950","1992","Realschule","Ostdeutschland","1413","","",""
"in Deutschland geboren oder immigr.<1950","1992","(Fach-)Abitur","Westdeutschland","579","0.858150627970404","0.833681525191461","0.882619730749346"
"in Deutschland geboren oder immigr.<1950","1992","(Fach-)Abitur","Ostdeutschland","111","","",""
"in Deutschland geboren oder immigr.<1950","1992","AkademikerIn","Westdeutschland","646","0.90497835195104","0.883821537139212","0.926135166762869"
"in Deutschland geboren oder immigr.<1950","1992","AkademikerIn","Ostdeutschland","878","0.944367521910471","0.929532159936601","0.959202883884341"
"nicht in Deutschland geboren","1992","(noch) kein Abschluss","Westdeutschland","581","0.483786178008153","0.449200009790343","0.518372346225963"
"nicht in Deutschland geboren","1992","(noch) kein Abschluss","Ostdeutschland","5","0.0979723865543594","0.0283320548543782","0.167612718254341"
"nicht in Deutschland geboren","1992","Hauptschule","Westdeutschland","1307","","",""
"nicht in Deutschland geboren","1992","Hauptschule","Ostdeutschland","78","0.0562908679406678","0.0442945483563228","0.0682871875250127"
"nicht in Deutschland geboren","1992","Realschule","Westdeutschland","139","","",""
"nicht in Deutschland geboren","1992","Realschule","Ostdeutschland","18","","",""
"nicht in Deutschland geboren","1992","(Fach-)Abitur","Westdeutschland","202","","",""
"nicht in Deutschland geboren","1992","(Fach-)Abitur","Ostdeutschland","5","0.0725480895091115","0.025344199843599","0.119751979174624"
"nicht in Deutschland geboren","1992","AkademikerIn","Westdeutschland","92","0.0950216480489595","0.0738648332371313","0.116178462860788"
"nicht in Deutschland geboren","1992","AkademikerIn","Ostdeutschland","39","0.0556324780895285","0.0407971161156585","0.0704678400633986"
"in Deutschland geboren oder immigr.<1950","1993","(noch) kein Abschluss","Westdeutschland","204","","",""
"in Deutschland geboren oder immigr.<1950","1993","(noch) kein Abschluss","Ostdeutschland","77","0.920372533807808","0.861417776670041","0.979327290945575"
"in Deutschland geboren oder immigr.<1950","1993","Hauptschule","Westdeutschland","3745","0.869965139967065","0.860657273382626","0.879273006551504"
"in Deutschland geboren oder immigr.<1950","1993","Hauptschule","Ostdeutschland","1254","","",""
"in Deutschland geboren oder immigr.<1950","1993","Realschule","Westdeutschland","1568","","",""
"in Deutschland geboren oder immigr.<1950","1993","Realschule","Ostdeutschland","1380","","",""
"in Deutschland geboren oder immigr.<1950","1993","(Fach-)Abitur","Westdeutschland","589","0.846035782194055","0.820804397585404","0.871267166802706"
"in Deutschland geboren oder immigr.<1950","1993","(Fach-)Abitur","Ostdeutschland","120","","",""
"in Deutschland geboren oder immigr.<1950","1993","AkademikerIn","Westdeutschland","666","0.888507541755462","0.866174950007747","0.910840133503176"
"in Deutschland geboren oder immigr.<1950","1993","AkademikerIn","Ostdeutschland","839","0.950865689476932","0.936527543729469","0.965203835224396"
"nicht in Deutschland geboren","1993","(noch) kein Abschluss","Westdeutschland","565","0.504489114900271","0.469151484767607","0.539826745032936"
"nicht in Deutschland geboren","1993","(noch) kein Abschluss","Ostdeutschland","4","0.0796274661921922","0.0206727090544252","0.138582223329959"
"nicht in Deutschland geboren","1993","Hauptschule","Westdeutschland","1271","","",""
"nicht in Deutschland geboren","1993","Hauptschule","Ostdeutschland","77","0.0608101024324273","0.04797132598151","0.0736488788833445"
"nicht in Deutschland geboren","1993","Realschule","Westdeutschland","132","","",""
"nicht in Deutschland geboren","1993","Realschule","Ostdeutschland","16","","",""
"nicht in Deutschland geboren","1993","(Fach-)Abitur","Westdeutschland","197","","",""
"nicht in Deutschland geboren","1993","(Fach-)Abitur","Ostdeutschland","4","0.0640144829334433","0.0209309872324202","0.107097978634466"
"nicht in Deutschland geboren","1993","AkademikerIn","Westdeutschland","97","0.111492458244538","0.0891598664968235","0.133825049992253"
"nicht in Deutschland geboren","1993","AkademikerIn","Ostdeutschland","34","0.049134310523068","0.0347961647756045","0.0634724562705315"
"in Deutschland geboren oder immigr.<1950","1994","(noch) kein Abschluss","Westdeutschland","220","","",""
"in Deutschland geboren oder immigr.<1950","1994","(noch) kein Abschluss","Ostdeutschland","95","0.927579140603287","0.876780111146617","0.978378170059957"
"in Deutschland geboren oder immigr.<1950","1994","Hauptschule","Westdeutschland","3638","0.866557156717436","0.856962141179924","0.876152172254949"
"in Deutschland geboren oder immigr.<1950","1994","Hauptschule","Ostdeutschland","1200","","",""
"in Deutschland geboren oder immigr.<1950","1994","Realschule","Westdeutschland","1554","","",""
"in Deutschland geboren oder immigr.<1950","1994","Realschule","Ostdeutschland","1356","","",""
"in Deutschland geboren oder immigr.<1950","1994","(Fach-)Abitur","Westdeutschland","595","0.839178696270555","0.813447129884053","0.864910262657057"
"in Deutschland geboren oder immigr.<1950","1994","(Fach-)Abitur","Ostdeutschland","134","","",""
"in Deutschland geboren oder immigr.<1950","1994","AkademikerIn","Westdeutschland","707","0.891423599395854","0.869797693415946","0.913049505375762"
"in Deutschland geboren oder immigr.<1950","1994","AkademikerIn","Ostdeutschland","822","0.939383320131338","0.923416370989385","0.955350269273291"
"nicht in Deutschland geboren","1994","(noch) kein Abschluss","Westdeutschland","528","0.479881458682137","0.444078786239813","0.515684131124462"
"nicht in Deutschland geboren","1994","(noch) kein Abschluss","Ostdeutschland","5","0.0724208593967128","0.0216218299400429","0.123219888853383"
"nicht in Deutschland geboren","1994","Hauptschule","Westdeutschland","1187","","",""
"nicht in Deutschland geboren","1994","Hauptschule","Ostdeutschland","78","0.0652312332293085","0.051692982432191","0.078769484026426"
"nicht in Deutschland geboren","1994","Realschule","Westdeutschland","119","","",""
"nicht in Deutschland geboren","1994","Realschule","Ostdeutschland","19","","",""
"nicht in Deutschland geboren","1994","(Fach-)Abitur","Westdeutschland","188","","",""
"nicht in Deutschland geboren","1994","(Fach-)Abitur","Ostdeutschland","4","0.059842206069707","0.0202679535320813","0.0994164586073327"
"nicht in Deutschland geboren","1994","AkademikerIn","Westdeutschland","88","0.108576400604146","0.086950494624238","0.130202306584054"
"nicht in Deutschland geboren","1994","AkademikerIn","Ostdeutschland","36","0.0606166798686619","0.044649730726709","0.0765836290106149"
"in Deutschland geboren oder immigr.<1950","1995","(noch) kein Abschluss","Westdeutschland","218","","",""
"in Deutschland geboren oder immigr.<1950","1995","(noch) kein Abschluss","Ostdeutschland","108","","",""
"in Deutschland geboren oder immigr.<1950","1995","Hauptschule","Westdeutschland","3560","0.850016594559942","0.840023311992956","0.860009877126927"
"in Deutschland geboren oder immigr.<1950","1995","Hauptschule","Ostdeutschland","1142","","",""
"in Deutschland geboren oder immigr.<1950","1995","Realschule","Westdeutschland","1633","","",""
"in Deutschland geboren oder immigr.<1950","1995","Realschule","Ostdeutschland","1323","","",""
"in Deutschland geboren oder immigr.<1950","1995","(Fach-)Abitur","Westdeutschland","599","0.755963199082831","0.728025981163364","0.783900417002298"
"in Deutschland geboren oder immigr.<1950","1995","(Fach-)Abitur","Ostdeutschland","149","","",""
"in Deutschland geboren oder immigr.<1950","1995","AkademikerIn","Westdeutschland","761","0.838825623247808","0.81505316029943","0.862598086196187"
"in Deutschland geboren oder immigr.<1950","1995","AkademikerIn","Ostdeutschland","800","0.941042790908857","0.925056849749548","0.957028732068166"
"nicht in Deutschland geboren","1995","(noch) kein Abschluss","Westdeutschland","549","0.500816595179549","0.46543154350352","0.536201646855579"
"nicht in Deutschland geboren","1995","(noch) kein Abschluss","Ostdeutschland","6","0.0766400679890059","0.0278075500234339","0.125472585954578"
"nicht in Deutschland geboren","1995","Hauptschule","Westdeutschland","1344","","",""
"nicht in Deutschland geboren","1995","Hauptschule","Ostdeutschland","79","0.068075834363921","0.053947953230056","0.082203715497786"
"nicht in Deutschland geboren","1995","Realschule","Westdeutschland","142","","",""
"nicht in Deutschland geboren","1995","Realschule","Ostdeutschland","18","","",""
"nicht in Deutschland geboren","1995","(Fach-)Abitur","Westdeutschland","309","0.244036800917169","0.216099582997702","0.271974018836636"
"nicht in Deutschland geboren","1995","(Fach-)Abitur","Ostdeutschland","4","0.0471622716863384","0.0135723333931368","0.08075220997954"
"nicht in Deutschland geboren","1995","AkademikerIn","Westdeutschland","158","","",""
"nicht in Deutschland geboren","1995","AkademikerIn","Ostdeutschland","34","0.0589572090911433","0.0429712679318341","0.0749431502504525"
"in Deutschland geboren oder immigr.<1950","1996","(noch) kein Abschluss","Westdeutschland","227","","",""
"in Deutschland geboren oder immigr.<1950","1996","(noch) kein Abschluss","Ostdeutschland","112","","",""
"in Deutschland geboren oder immigr.<1950","1996","Hauptschule","Westdeutschland","3487","0.850841876457075","0.840716277687411","0.860967475226739"
"in Deutschland geboren oder immigr.<1950","1996","Hauptschule","Ostdeutschland","1110","","",""
"in Deutschland geboren oder immigr.<1950","1996","Realschule","Westdeutschland","1648","","",""
"in Deutschland geboren oder immigr.<1950","1996","Realschule","Ostdeutschland","1319","","",""
"in Deutschland geboren oder immigr.<1950","1996","(Fach-)Abitur","Westdeutschland","581","0.765141976538981","0.736908597410111","0.79337535566785"
"in Deutschland geboren oder immigr.<1950","1996","(Fach-)Abitur","Ostdeutschland","160","","",""
"in Deutschland geboren oder immigr.<1950","1996","AkademikerIn","Westdeutschland","773","0.839133122454933","0.815456160694923","0.862810084214943"
"in Deutschland geboren oder immigr.<1950","1996","AkademikerIn","Ostdeutschland","806","0.943376513062265","0.927737550302682","0.959015475821848"
"nicht in Deutschland geboren","1996","(noch) kein Abschluss","Westdeutschland","498","0.467400073998574","0.431081898157038","0.50371824984011"
"nicht in Deutschland geboren","1996","(noch) kein Abschluss","Ostdeutschland","4","0.0669879083341746","0.0214931941287285","0.112482622539621"
"nicht in Deutschland geboren","1996","Hauptschule","Westdeutschland","1268","","",""
"nicht in Deutschland geboren","1996","Hauptschule","Ostdeutschland","81","0.0734735617411504","0.0586556615505127","0.0882914619317881"
"nicht in Deutschland geboren","1996","Realschule","Westdeutschland","132","","",""
"nicht in Deutschland geboren","1996","Realschule","Ostdeutschland","17","","",""
"nicht in Deutschland geboren","1996","(Fach-)Abitur","Westdeutschland","285","","",""
"nicht in Deutschland geboren","1996","(Fach-)Abitur","Ostdeutschland","3","","",""
"nicht in Deutschland geboren","1996","AkademikerIn","Westdeutschland","152","","",""
"nicht in Deutschland geboren","1996","AkademikerIn","Ostdeutschland","33","0.0566234869377351","0.0409845241781524","0.0722624496973179"
"in Deutschland geboren oder immigr.<1950","1997","(noch) kein Abschluss","Westdeutschland","238","","",""
"in Deutschland geboren oder immigr.<1950","1997","(noch) kein Abschluss","Ostdeutschland","126","","",""
"in Deutschland geboren oder immigr.<1950","1997","Hauptschule","Westdeutschland","3411","0.846741675913051","0.836355214528814","0.857128137297288"
"in Deutschland geboren oder immigr.<1950","1997","Hauptschule","Ostdeutschland","1076","","",""
"in Deutschland geboren oder immigr.<1950","1997","Realschule","Westdeutschland","1644","","",""
"in Deutschland geboren oder immigr.<1950","1997","Realschule","Ostdeutschland","1283","","",""
"in Deutschland geboren oder immigr.<1950","1997","(Fach-)Abitur","Westdeutschland","589","0.78212821487308","0.754360910659109","0.809895519087051"
"in Deutschland geboren oder immigr.<1950","1997","(Fach-)Abitur","Ostdeutschland","166","","",""
"in Deutschland geboren oder immigr.<1950","1997","AkademikerIn","Westdeutschland","778","0.841811624632479","0.818358465033174","0.865264784231785"
"in Deutschland geboren oder immigr.<1950","1997","AkademikerIn","Ostdeutschland","808","0.94780904937458","0.932741473359694","0.962876625389465"
