year,regtyp,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Rural regions,West,Born in Germany or immigrated <1950,0.89436,1701,2060,0.88108,0.90763
1996,Rural regions,West,Not born in Germany,0.10564,359,2060,0.09237,0.11892
1996,Rural regions,East,Born in Germany or immigrated <1950,0.94375,2346,2445,0.93461,0.95288
1996,Rural regions,East,Not born in Germany,0.05625,99,2445,0.04712,0.06539
1997,Urban regions,West,Born in Germany or immigrated <1950,0.82329,5175,7180,0.81446,0.83211
1997,Urban regions,West,Not born in Germany,0.17671,2005,7180,0.16789,0.18554
1997,Urban regions,East,Born in Germany or immigrated <1950,0.96030,1172,1210,0.94929,0.97130
1997,Urban regions,East,Not born in Germany,0.03970,38,1210,0.02870,0.05071
1997,Rural regions,West,Born in Germany or immigrated <1950,0.89511,1677,2014,0.88172,0.90849
1997,Rural regions,West,Not born in Germany,0.10489,337,2014,0.09151,0.11828
1997,Rural regions,East,Born in Germany or immigrated <1950,0.94579,2333,2425,0.93678,0.95480
1997,Rural regions,East,Not born in Germany,0.05421,92,2425,0.04520,0.06322
1998,Urban regions,West,Born in Germany or immigrated <1950,0.82736,6082,8035,0.81909,0.83562
1998,Urban regions,West,Not born in Germany,0.17264,1953,8035,0.16438,0.18091
1998,Urban regions,East,Born in Germany or immigrated <1950,0.96679,1223,1255,0.95687,0.97670
1998,Urban regions,East,Not born in Germany,0.03321,32,1255,0.02330,0.04313
1998,Rural regions,West,Born in Germany or immigrated <1950,0.89981,2012,2340,0.88764,0.91197
1998,Rural regions,West,Not born in Germany,0.10019,328,2340,0.08803,0.11236
1998,Rural regions,East,Born in Germany or immigrated <1950,0.95358,2524,2610,0.94550,0.96165
1998,Rural regions,East,Not born in Germany,0.04642,86,2610,0.03835,0.05450
1999,Urban regions,West,Born in Germany or immigrated <1950,0.82880,5843,7656,0.82036,0.83724
1999,Urban regions,West,Not born in Germany,0.17120,1813,7656,0.16276,0.17964
1999,Urban regions,East,Born in Germany or immigrated <1950,0.96926,1208,1208,0.95952,0.97900
1999,Rural regions,West,Born in Germany or immigrated <1950,0.90560,1953,2235,0.89348,0.91773
1999,Rural regions,West,Not born in Germany,0.09440,282,2235,0.08227,0.10652
1999,Rural regions,East,Born in Germany or immigrated <1950,0.95678,2466,2545,0.94888,0.96468
1999,Rural regions,East,Not born in Germany,0.04322,79,2545,0.03532,0.05112
2000,Urban regions,West,Born in Germany or immigrated <1950,0.83194,11212,13897,0.82572,0.83816
2000,Urban regions,West,Not born in Germany,0.16806,2685,13897,0.16184,0.17428
2000,Urban regions,East,Born in Germany or immigrated <1950,0.97549,1809,1853,0.96845,0.98253
2000,Urban regions,East,Not born in Germany,0.02451,44,1853,0.01747,0.03155
2000,Rural regions,West,Born in Germany or immigrated <1950,0.90212,3892,4363,0.89330,0.91094
2000,Rural regions,West,Not born in Germany,0.09788,471,4363,0.08906,0.10670
2000,Rural regions,East,Born in Germany or immigrated <1950,0.96585,3894,3999,0.96022,0.97148
2000,Rural regions,East,Not born in Germany,0.03415,105,3999,0.02852,0.03978
2001,Urban regions,West,Born in Germany or immigrated <1950,0.83608,10215,12586,0.82961,0.84255
2001,Urban regions,West,Not born in Germany,0.16392,2371,12586,0.15745,0.17039
2001,Urban regions,East,Born in Germany or immigrated <1950,0.97831,1717,1750,0.97149,0.98514
2001,Urban regions,East,Not born in Germany,0.02169,33,1750,0.01486,0.02851
2001,Rural regions,West,Born in Germany or immigrated <1950,0.89999,3477,3900,0.89058,0.90941
2001,Rural regions,West,Not born in Germany,0.10001,423,3900,0.09059,0.10942
2001,Rural regions,East,Born in Germany or immigrated <1950,0.96802,3596,3685,0.96234,0.97370
2001,Rural regions,East,Not born in Germany,0.03198,89,3685,0.02630,0.03766
2002,Urban regions,West,Born in Germany or immigrated <1950,0.83097,11248,13533,0.82465,0.83728
2002,Urban regions,West,Not born in Germany,0.16903,2285,13533,0.16272,0.17535
2002,Urban regions,East,Born in Germany or immigrated <1950,0.98035,1742,1742,0.97383,0.98687
2002,Rural regions,West,Born in Germany or immigrated <1950,0.90313,3668,4065,0.89403,0.91222
2002,Rural regions,West,Not born in Germany,0.09687,397,4065,0.08778,0.10597
2002,Rural regions,East,Born in Germany or immigrated <1950,0.96730,3572,3658,0.96153,0.97306
2002,Rural regions,East,Not born in Germany,0.03270,86,3658,0.02694,0.03847
2003,Urban regions,West,Born in Germany or immigrated <1950,0.83216,10865,13000,0.82573,0.83858
2003,Urban regions,West,Not born in Germany,0.16784,2135,13000,0.16142,0.17427
2003,Urban regions,East,Born in Germany or immigrated <1950,0.98269,1738,1738,0.97656,0.98883
2003,Rural regions,West,Born in Germany or immigrated <1950,0.89581,3442,3822,0.88612,0.90550
2003,Rural regions,West,Not born in Germany,0.10419,380,3822,0.09450,0.11388
2003,Rural regions,East,Born in Germany or immigrated <1950,0.97182,3502,3580,0.96640,0.97724
2003,Rural regions,East,Not born in Germany,0.02818,78,3580,0.02276,0.03360
2004,Urban regions,West,Born in Germany or immigrated <1950,0.82835,10542,12614,0.82177,0.83493
2004,Urban regions,West,Not born in Germany,0.17165,2072,12614,0.16507,0.17823
2004,Urban regions,East,Born in Germany or immigrated <1950,0.98481,1739,1739,0.97906,0.99056
2004,Rural regions,West,Born in Germany or immigrated <1950,0.89738,3412,3777,0.88770,0.90706
2004,Rural regions,West,Not born in Germany,0.10262,365,3777,0.09294,0.11230
2004,Rural regions,East,Born in Germany or immigrated <1950,0.97149,3383,3459,0.96594,0.97703
2004,Rural regions,East,Not born in Germany,0.02851,76,3459,0.02297,0.03406
2005,Urban regions,West,Born in Germany or immigrated <1950,0.82828,10143,12079,0.82156,0.83501
2005,Urban regions,West,Not born in Germany,0.17172,1936,12079,0.16499,0.17844
2005,Urban regions,East,Born in Germany or immigrated <1950,0.97630,1679,1679,0.96902,0.98358
2005,Rural regions,West,Born in Germany or immigrated <1950,0.89961,3250,3583,0.88976,0.90945
2005,Rural regions,West,Not born in Germany,0.10039,333,3583,0.09055,0.11024
2005,Rural regions,East,Born in Germany or immigrated <1950,0.97150,3259,3332,0.96585,0.97715
2005,Rural regions,East,Not born in Germany,0.02850,73,3332,0.02285,0.03415
2006,Urban regions,West,Born in Germany or immigrated <1950,0.82905,10975,12901,0.82255,0.83554
2006,Urban regions,West,Not born in Germany,0.17095,1926,12901,0.16446,0.17745
2006,Urban regions,East,Born in Germany or immigrated <1950,0.97237,1746,1746,0.96467,0.98006
2006,Rural regions,West,Born in Germany or immigrated <1950,0.89909,3655,4004,0.88976,0.90842
2006,Rural regions,West,Not born in Germany,0.10091,349,4004,0.09158,0.11024
2006,Rural regions,East,Born in Germany or immigrated <1950,0.97263,3510,3591,0.96729,0.97797
2006,Rural regions,East,Not born in Germany,0.02737,81,3591,0.02203,0.03271
2007,Urban regions,West,Born in Germany or immigrated <1950,0.83639,10305,12010,0.82978,0.84301
2007,Urban regions,West,Not born in Germany,0.16361,1705,12010,0.15699,0.17022
2007,Urban regions,East,Born in Germany or immigrated <1950,0.96833,1664,1695,0.95999,0.97667
2007,Urban regions,East,Not born in Germany,0.03167,31,1695,0.02333,0.04001
2007,Rural regions,West,Born in Germany or immigrated <1950,0.88517,3413,3750,0.87496,0.89538
2007,Rural regions,West,Not born in Germany,0.11483,337,3750,0.10462,0.12504
2007,Rural regions,East,Born in Germany or immigrated <1950,0.97861,3335,3395,0.97374,0.98347
2007,Rural regions,East,Not born in Germany,0.02139,60,3395,0.01653,0.02626
2008,Urban regions,West,Born in Germany or immigrated <1950,0.83770,9714,11243,0.83088,0.84451
2008,Urban regions,West,Not born in Germany,0.16230,1529,11243,0.15549,0.16912
2008,Urban regions,East,Born in Germany or immigrated <1950,0.97393,1598,1630,0.96619,0.98167
2008,Urban regions,East,Not born in Germany,0.02607,32,1630,0.01833,0.03381
2008,Rural regions,West,Born in Germany or immigrated <1950,0.88790,3218,3520,0.87748,0.89833
2008,Rural regions,West,Not born in Germany,0.11210,302,3520,0.10167,0.12252
2008,Rural regions,East,Born in Germany or immigrated <1950,0.98239,3131,3178,0.97782,0.98697
2008,Rural regions,East,Not born in Germany,0.01761,47,3178,0.01303,0.02218
2009,Urban regions,West,Born in Germany or immigrated <1950,0.84456,9031,10348,0.83758,0.85155
2009,Urban regions,West,Not born in Germany,0.15544,1317,10348,0.14845,0.16242
2009,Urban regions,East,Born in Germany or immigrated <1950,0.97399,1509,1540,0.96604,0.98194
2009,Urban regions,East,Not born in Germany,0.02601,31,1540,0.01806,0.03396
2009,Rural regions,West,Born in Germany or immigrated <1950,0.88880,3061,3336,0.87813,0.89947
2009,Rural regions,West,Not born in Germany,0.11120,275,3336,0.10053,0.12187
2009,Rural regions,East,Born in Germany or immigrated <1950,0.98310,2986,3030,0.97851,0.98769
2009,Rural regions,East,Not born in Germany,0.01690,44,3030,0.01231,0.02149
2010,Urban regions,West,Born in Germany or immigrated <1950,0.83058,11697,13997,0.82437,0.83680
2010,Urban regions,West,Not born in Germany,0.16942,2300,13997,0.16320,0.17563
2010,Urban regions,East,Born in Germany or immigrated <1950,0.97316,1845,1905,0.96590,0.98042
2010,Urban regions,East,Not born in Germany,0.02684,60,1905,0.01958,0.03410
2010,Rural regions,West,Born in Germany or immigrated <1950,0.86780,4253,4814,0.85823,0.87737
2010,Rural regions,West,Not born in Germany,0.13220,561,4814,0.12263,0.14177
2010,Rural regions,East,Born in Germany or immigrated <1950,0.98087,3536,3612,0.97641,0.98534
2010,Rural regions,East,Not born in Germany,0.01913,76,3612,0.01466,0.02359
2011,Urban regions,West,Born in Germany or immigrated <1950,0.83760,13853,16345,0.83195,0.84326
2011,Urban regions,West,Not born in Germany,0.16240,2492,16345,0.15674,0.16805
2011,Urban regions,East,Born in Germany or immigrated <1950,0.97111,2120,2196,0.96410,0.97812
2011,Urban regions,East,Not born in Germany,0.02889,76,2196,0.02188,0.03590
2011,Rural regions,West,Born in Germany or immigrated <1950,0.86620,5460,6171,0.85771,0.87470
2011,Rural regions,West,Not born in Germany,0.13380,711,6171,0.12530,0.14229
2011,Rural regions,East,Born in Germany or immigrated <1950,0.98085,4094,4188,0.97670,0.98500
2011,Rural regions,East,Not born in Germany,0.01915,94,4188,0.01500,0.02330
2012,Urban regions,West,Born in Germany or immigrated <1950,0.83154,13440,15764,0.82569,0.83738
2012,Urban regions,West,Not born in Germany,0.16846,2324,15764,0.16262,0.17431
2012,Urban regions,East,Born in Germany or immigrated <1950,0.97213,2054,2121,0.96513,0.97914
2012,Urban regions,East,Not born in Germany,0.02787,67,2121,0.02086,0.03487
2012,Rural regions,West,Born in Germany or immigrated <1950,0.85610,5446,6158,0.84733,0.86487
2012,Rural regions,West,Not born in Germany,0.14390,712,6158,0.13513,0.15267
2012,Rural regions,East,Born in Germany or immigrated <1950,0.97532,4013,4123,0.97058,0.98005
2012,Rural regions,East,Not born in Germany,0.02468,110,4123,0.01995,0.02942
2013,Urban regions,West,Born in Germany or immigrated <1950,0.82322,13572,18358,0.81771,0.82874
2013,Urban regions,West,Not born in Germany,0.17678,4786,18358,0.17126,0.18229
2013,Urban regions,East,Born in Germany or immigrated <1950,0.95630,1971,2150,0.94766,0.96494
2013,Urban regions,East,Not born in Germany,0.04370,179,2150,0.03506,0.05234
2013,Rural regions,West,Born in Germany or immigrated <1950,0.87683,5291,6623,0.86891,0.88475
2013,Rural regions,West,Not born in Germany,0.12317,1332,6623,0.11525,0.13109
2013,Rural regions,East,Born in Germany or immigrated <1950,0.96674,3772,4052,0.96122,0.97226
2013,Rural regions,East,Not born in Germany,0.03326,280,4052,0.02774,0.03878
2014,Urban regions,West,Born in Germany or immigrated <1950,0.82457,12240,16078,0.81869,0.83045
2014,Urban regions,West,Not born in Germany,0.17543,3838,16078,0.16955,0.18131
2014,Urban regions,East,Born in Germany or immigrated <1950,0.94940,1814,1964,0.93970,0.95909
2014,Urban regions,East,Not born in Germany,0.05060,150,1964,0.04091,0.06030
2014,Rural regions,West,Born in Germany or immigrated <1950,0.87110,4788,5908,0.86255,0.87964
2014,Rural regions,West,Not born in Germany,0.12890,1120,5908,0.12036,0.13745
2014,Rural regions,East,Born in Germany or immigrated <1950,0.96854,3480,3704,0.96291,0.97416
2014,Rural regions,East,Not born in Germany,0.03146,224,3704,0.02584,0.03709
2015,Urban regions,West,Born in Germany or immigrated <1950,0.81757,11558,15913,0.81157,0.82357
2015,Urban regions,West,Not born in Germany,0.18243,4355,15913,0.17643,0.18843
2015,Urban regions,East,Born in Germany or immigrated <1950,0.93865,1754,1954,0.92801,0.94929
2015,Urban regions,East,Not born in Germany,0.06135,200,1954,0.05071,0.07199
2015,Rural regions,West,Born in Germany or immigrated <1950,0.86776,4627,5933,0.85914,0.87638
2015,Rural regions,West,Not born in Germany,0.13224,1306,5933,0.12362,0.14086
2015,Rural regions,East,Born in Germany or immigrated <1950,0.96451,3293,3542,0.95841,0.97060
2015,Rural regions,East,Not born in Germany,0.03549,249,3542,0.02940,0.04159
2016,Urban regions,West,Born in Germany or immigrated <1950,0.81273,10728,16328,0.80675,0.81872
2016,Urban regions,West,Not born in Germany,0.18727,5600,16328,0.18128,0.19325
2016,Urban regions,East,Born in Germany or immigrated <1950,0.93215,1637,2009,0.92115,0.94315
2016,Urban regions,East,Not born in Germany,0.06785,372,2009,0.05685,0.07885
2016,Rural regions,West,Born in Germany or immigrated <1950,0.86371,4270,5971,0.85501,0.87241
2016,Rural regions,West,Not born in Germany,0.13629,1701,5971,0.12759,0.14499
2016,Rural regions,East,Born in Germany or immigrated <1950,0.95918,3112,3664,0.95277,0.96558
2016,Rural regions,East,Not born in Germany,0.04082,552,3664,0.03442,0.04723
2017,Urban regions,West,Born in Germany or immigrated <1950,0.81246,12131,18181,0.80679,0.81813
2017,Urban regions,West,Not born in Germany,0.18754,6050,18181,0.18187,0.19321
2017,Urban regions,East,Born in Germany or immigrated <1950,0.93166,1811,2253,0.92124,0.94208
2017,Urban regions,East,Not born in Germany,0.06834,442,2253,0.05792,0.07876
2017,Rural regions,West,Born in Germany or immigrated <1950,0.85965,4800,6800,0.85139,0.86791
2017,Rural regions,West,Not born in Germany,0.14035,2000,6800,0.13209,0.14861
2017,Rural regions,East,Born in Germany or immigrated <1950,0.95925,3471,4025,0.95314,0.96536
2017,Rural regions,East,Not born in Germany,0.04075,554,4025,0.03464,0.04686
2018,Urban regions,West,Born in Germany or immigrated <1950,0.80650,11742,17467,0.80064,0.81236
2018,Urban regions,West,Not born in Germany,0.19350,5725,17467,0.18764,0.19936
2018,Urban regions,East,Born in Germany or immigrated <1950,0.92761,1796,2222,0.91683,0.93839
2018,Urban regions,East,Not born in Germany,0.07239,426,2222,0.06161,0.08317
2018,Rural regions,West,Born in Germany or immigrated <1950,0.86146,4511,6288,0.85292,0.87000
2018,Rural regions,West,Not born in Germany,0.13854,1777,6288,0.13000,0.14708
2018,Rural regions,East,Born in Germany or immigrated <1950,0.96211,3414,3912,0.95612,0.96809
2018,Rural regions,East,Not born in Germany,0.03789,498,3912,0.03191,0.04388
2019,No answer / don't know,Does not apply,Born in Germany or immigrated <1950,0.95640,73,73,0.90923,1.00357
2019,No answer / don't know,West,Born in Germany or immigrated <1950,0.92000,379,379,0.89266,0.94735
2019,No answer / don't know,East,Born in Germany or immigrated <1950,0.99675,73,73,0.98362,1.00989
2019,Urban regions,West,Born in Germany or immigrated <1950,0.80291,11967,17151,0.79696,0.80886
2019,Urban regions,West,Not born in Germany,0.19709,5184,17151,0.19114,0.20304
2019,Urban regions,East,Born in Germany or immigrated <1950,0.93638,1802,2167,0.92610,0.94666
2019,Urban regions,East,Not born in Germany,0.06362,365,2167,0.05334,0.07390
2019,Rural regions,West,Born in Germany or immigrated <1950,0.86202,4466,6055,0.85333,0.87070
2019,Rural regions,West,Not born in Germany,0.13798,1589,6055,0.12930,0.14667
2019,Rural regions,East,Born in Germany or immigrated <1950,0.95639,3470,3900,0.94997,0.96280
2019,Rural regions,East,Not born in Germany,0.04361,430,3900,0.03720,0.05003
2020,Urban regions,West,Born in Germany or immigrated <1950,0.82019,11391,18120,0.81460,0.82579
2020,Urban regions,West,Not born in Germany,0.17981,6729,18120,0.17421,0.18540
2020,Urban regions,East,Born in Germany or immigrated <1950,0.93690,1703,2236,0.92682,0.94698
2020,Urban regions,East,Not born in Germany,0.06310,533,2236,0.05302,0.07318
2020,Rural regions,West,Born in Germany or immigrated <1950,0.86712,4168,5945,0.85849,0.87575
2020,Rural regions,West,Not born in Germany,0.13288,1777,5945,0.12425,0.14151
2020,Rural regions,East,Born in Germany or immigrated <1950,0.96144,3206,3711,0.95524,0.96763
2020,Rural regions,East,Not born in Germany,0.03856,505,3711,0.03237,0.04476
2021,Urban regions,West,Born in Germany or immigrated <1950,0.81370,7992,12001,0.80673,0.82067
2021,Urban regions,West,Not born in Germany,0.18630,4009,12001,0.17933,0.19327
2021,Urban regions,East,Born in Germany or immigrated <1950,0.91292,1222,1558,0.89891,0.92692
2021,Urban regions,East,Not born in Germany,0.08708,336,1558,0.07308,0.10109
2021,Rural regions,West,Born in Germany or immigrated <1950,0.85994,2960,3952,0.84912,0.87076
2021,Rural regions,West,Not born in Germany,0.14006,992,3952,0.12924,0.15088
2021,Rural regions,East,Born in Germany or immigrated <1950,0.95824,2188,2420,0.95026,0.96621
2021,Rural regions,East,Not born in Germany,0.04176,232,2420,0.03379,0.04974
2022,Urban regions,West,Born in Germany or immigrated <1950,0.79013,10938,17044,0.78402,0.79625
2022,Urban regions,West,Not born in Germany,0.20987,6106,17044,0.20375,0.21598
2022,Urban regions,East,Born in Germany or immigrated <1950,0.87943,1646,2332,0.86621,0.89265
2022,Urban regions,East,Not born in Germany,0.12057,686,2332,0.10735,0.13379
2022,Rural regions,West,Born in Germany or immigrated <1950,0.86038,4201,5303,0.85105,0.86971
2022,Rural regions,West,Not born in Germany,0.13962,1102,5303,0.13029,0.14895
2022,Rural regions,East,Born in Germany or immigrated <1950,0.94220,3244,3594,0.93457,0.94983
2022,Rural regions,East,Not born in Germany,0.05780,350,3594,0.05017,0.06543
