year,pgisced97,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.81365,533,999,0.78949,0.83781
1987,Lower Secondary Level,male,Not born in Germany,0.18635,466,999,0.16219,0.21051
1987,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.89742,1366,1837,0.88354,0.91130
1987,Lower Secondary Level,female,Not born in Germany,0.10258,471,1837,0.08870,0.11646
1987,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.91427,2176,2729,0.90376,0.92477
1987,Upper Secondary Level,male,Not born in Germany,0.08573,553,2729,0.07523,0.09624
1987,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.93814,1932,2241,0.92817,0.94812
1987,Upper Secondary Level,female,Not born in Germany,0.06186,309,2241,0.05188,0.07183
1987,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.83922,91,158,0.78176,0.89668
1987,Post-secondary Non-tertiary Level,male,Not born in Germany,0.16078,67,158,0.10332,0.21824
1987,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.89135,83,116,0.83447,0.94823
1987,Post-secondary Non-tertiary Level,female,Not born in Germany,0.10865,33,116,0.05177,0.16553
1987,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.93451,290,290,0.90599,0.96303
1987,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92366,221,221,0.88857,0.95875
1987,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.91259,427,494,0.88766,0.93752
1987,Second Stage of Tertiary Education,male,Not born in Germany,0.08741,67,494,0.06248,0.11234
1987,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.91259,215,248,0.87737,0.94781
1987,Second Stage of Tertiary Education,female,Not born in Germany,0.08741,33,248,0.05219,0.12263
1988,No answer / don't know,male,Born in Germany or immigrated <1950,0.85110,45,45,0.74591,0.95629
1988,No answer / don't know,female,Born in Germany or immigrated <1950,0.80232,38,72,0.70968,0.89496
1988,No answer / don't know,female,Not born in Germany,0.19768,34,72,0.10504,0.29032
1988,Pre-primary Level,male,Born in Germany or immigrated <1950,0.92643,78,78,0.86812,0.98475
1988,Pre-primary Level,female,Born in Germany or immigrated <1950,0.93876,65,65,0.88002,0.99751
1988,Primary Level,male,Born in Germany or immigrated <1950,0.44192,39,273,0.38290,0.50093
1988,Primary Level,male,Not born in Germany,0.55808,234,273,0.49907,0.61710
1988,Primary Level,female,Born in Germany or immigrated <1950,0.33275,39,418,0.28752,0.37797
1988,Primary Level,female,Not born in Germany,0.66725,379,418,0.62203,0.71248
1988,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.81899,515,974,0.79479,0.84318
1988,Lower Secondary Level,male,Not born in Germany,0.18101,459,974,0.15682,0.20521
1988,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.90011,1294,1745,0.88603,0.91418
1988,Lower Secondary Level,female,Not born in Germany,0.09989,451,1745,0.08582,0.11397
1988,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.91485,2060,2585,0.90409,0.92561
1988,Upper Secondary Level,male,Not born in Germany,0.08515,525,2585,0.07439,0.09591
1988,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.93510,1852,2158,0.92471,0.94550
1988,Upper Secondary Level,female,Not born in Germany,0.06490,306,2158,0.05450,0.07529
1988,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.85635,90,152,0.80041,0.91229
1988,Post-secondary Non-tertiary Level,male,Not born in Germany,0.14365,62,152,0.08771,0.19959
1988,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.91046,84,116,0.85828,0.96265
1988,Post-secondary Non-tertiary Level,female,Not born in Germany,0.08954,32,116,0.03735,0.14172
1988,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.92339,280,311,0.89379,0.95300
1988,First Stage of Tertiary Education,male,Not born in Germany,0.07661,31,311,0.04700,0.10621
1988,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92393,206,206,0.88764,0.96022
1988,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.92645,416,472,0.90287,0.95002
1988,Second Stage of Tertiary Education,male,Not born in Germany,0.07355,56,472,0.04998,0.09713
1988,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.91629,201,201,0.87790,0.95467
1989,No answer / don't know,male,Born in Germany or immigrated <1950,0.86594,44,44,0.76411,0.96778
1989,No answer / don't know,female,Born in Germany or immigrated <1950,0.80203,42,73,0.70998,0.89407
1989,No answer / don't know,female,Not born in Germany,0.19797,31,73,0.10593,0.29002
1989,Pre-primary Level,male,Born in Germany or immigrated <1950,0.95084,80,80,0.90316,0.99852
1989,Pre-primary Level,female,Born in Germany or immigrated <1950,0.89768,70,70,0.82616,0.96919
1989,Primary Level,male,Born in Germany or immigrated <1950,0.42525,38,257,0.36468,0.48581
1989,Primary Level,male,Not born in Germany,0.57475,219,257,0.51419,0.63532
1989,Primary Level,female,Born in Germany or immigrated <1950,0.33046,40,395,0.28401,0.37691
1989,Primary Level,female,Not born in Germany,0.66954,355,395,0.62309,0.71599
1989,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.80434,474,905,0.77848,0.83021
1989,Lower Secondary Level,male,Not born in Germany,0.19566,431,905,0.16979,0.22152
1989,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.88855,1222,1665,0.87343,0.90367
1989,Lower Secondary Level,female,Not born in Germany,0.11145,443,1665,0.09633,0.12657
1989,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.91183,2009,2518,0.90075,0.92291
1989,Upper Secondary Level,male,Not born in Germany,0.08817,509,2518,0.07709,0.09925
1989,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.92902,1784,2104,0.91804,0.93999
1989,Upper Secondary Level,female,Not born in Germany,0.07098,320,2104,0.06001,0.08196
1989,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.85123,95,156,0.79520,0.90725
1989,Post-secondary Non-tertiary Level,male,Not born in Germany,0.14877,61,156,0.09275,0.20480
1989,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.91503,101,132,0.86728,0.96278
1989,Post-secondary Non-tertiary Level,female,Not born in Germany,0.08497,31,132,0.03722,0.13272
1989,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.92102,265,265,0.88848,0.95355
1989,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92157,200,200,0.88422,0.95893
1989,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.91301,411,472,0.88755,0.93846
1989,Second Stage of Tertiary Education,male,Not born in Germany,0.08699,61,472,0.06154,0.11245
1989,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.91188,199,199,0.87240,0.95137
1990,No answer / don't know,male,Born in Germany or immigrated <1950,0.78996,51,51,0.67706,0.90287
1990,No answer / don't know,female,Born in Germany or immigrated <1950,0.75133,44,83,0.65777,0.84489
1990,No answer / don't know,female,Not born in Germany,0.24867,39,83,0.15511,0.34223
1990,Pre-primary Level,male,Born in Germany or immigrated <1950,0.94257,95,95,0.89554,0.98961
1990,Pre-primary Level,female,Born in Germany or immigrated <1950,0.92809,71,71,0.86757,0.98861
1990,Primary Level,male,Born in Germany or immigrated <1950,0.44877,46,261,0.38831,0.50922
1990,Primary Level,male,Not born in Germany,0.55123,215,261,0.49078,0.61169
1990,Primary Level,female,Born in Germany or immigrated <1950,0.34991,47,382,0.30202,0.39780
1990,Primary Level,female,Not born in Germany,0.65009,335,382,0.60220,0.69798
1990,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.80319,579,1003,0.77858,0.82781
1990,Lower Secondary Level,male,Not born in Germany,0.19681,424,1003,0.17219,0.22142
1990,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.89035,1533,1982,0.87659,0.90411
1990,Lower Secondary Level,female,Not born in Germany,0.10965,449,1982,0.09589,0.12341
1990,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.92035,3146,3678,0.91160,0.92910
1990,Upper Secondary Level,male,Not born in Germany,0.07965,532,3678,0.07090,0.08840
1990,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.93595,3051,3390,0.92770,0.94419
1990,Upper Secondary Level,female,Not born in Germany,0.06405,339,3390,0.05581,0.07230
1990,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.85321,149,211,0.80535,0.90108
1990,Post-secondary Non-tertiary Level,male,Not born in Germany,0.14679,62,211,0.09892,0.19465
1990,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.89980,126,161,0.85327,0.94632
1990,Post-secondary Non-tertiary Level,female,Not born in Germany,0.10020,35,161,0.05368,0.14673
1990,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.92232,462,499,0.89881,0.94583
1990,First Stage of Tertiary Education,male,Not born in Germany,0.07768,37,499,0.05417,0.10119
1990,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92992,248,248,0.89808,0.96176
1990,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.92518,846,924,0.90821,0.94215
1990,Second Stage of Tertiary Education,male,Not born in Germany,0.07482,78,924,0.05785,0.09179
1990,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92744,718,767,0.90907,0.94581
1990,Second Stage of Tertiary Education,female,Not born in Germany,0.07256,49,767,0.05419,0.09093
1991,No answer / don't know,male,Born in Germany or immigrated <1950,0.77123,54,54,0.65815,0.88432
1991,No answer / don't know,female,Born in Germany or immigrated <1950,0.80054,63,101,0.72222,0.87886
1991,No answer / don't know,female,Not born in Germany,0.19946,38,101,0.12114,0.27778
1991,Pre-primary Level,male,Born in Germany or immigrated <1950,0.92538,78,78,0.86669,0.98408
1991,Pre-primary Level,female,Born in Germany or immigrated <1950,0.91436,64,64,0.84527,0.98346
1991,Primary Level,male,Born in Germany or immigrated <1950,0.46081,56,264,0.40057,0.52106
1991,Primary Level,male,Not born in Germany,0.53919,208,264,0.47894,0.59943
1991,Primary Level,female,Born in Germany or immigrated <1950,0.36762,67,395,0.32002,0.41523
1991,Primary Level,female,Not born in Germany,0.63238,328,395,0.58477,0.67998
1991,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.79205,573,983,0.76666,0.81743
1991,Lower Secondary Level,male,Not born in Germany,0.20795,410,983,0.18257,0.23334
1991,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.87988,1438,1875,0.86516,0.89460
1991,Lower Secondary Level,female,Not born in Germany,0.12012,437,1875,0.10540,0.13484
1991,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.91593,3052,3579,0.90684,0.92502
1991,Upper Secondary Level,male,Not born in Germany,0.08407,527,3579,0.07498,0.09316
1991,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.93323,2989,3332,0.92475,0.94171
1991,Upper Secondary Level,female,Not born in Germany,0.06677,343,3332,0.05829,0.07525
1991,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.84881,152,214,0.80070,0.89692
1991,Post-secondary Non-tertiary Level,male,Not born in Germany,0.15119,62,214,0.10308,0.19930
1991,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.88129,126,164,0.83163,0.93094
1991,Post-secondary Non-tertiary Level,female,Not born in Germany,0.11871,38,164,0.06906,0.16837
1991,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.91854,456,493,0.89437,0.94271
1991,First Stage of Tertiary Education,male,Not born in Germany,0.08146,37,493,0.05729,0.10563
1991,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92224,242,242,0.88843,0.95605
1991,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.91852,845,924,0.90087,0.93617
1991,Second Stage of Tertiary Education,male,Not born in Germany,0.08148,79,924,0.06383,0.09913
1991,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.93068,707,754,0.91254,0.94883
1991,Second Stage of Tertiary Education,female,Not born in Germany,0.06932,47,754,0.05117,0.08746
1992,No answer / don't know,male,Born in Germany or immigrated <1950,0.80333,59,92,0.72166,0.88500
1992,No answer / don't know,male,Not born in Germany,0.19667,33,92,0.11500,0.27834
1992,No answer / don't know,female,Born in Germany or immigrated <1950,0.79798,67,102,0.71967,0.87628
1992,No answer / don't know,female,Not born in Germany,0.20202,35,102,0.12372,0.28033
1992,Pre-primary Level,male,Born in Germany or immigrated <1950,0.94046,86,86,0.89015,0.99077
1992,Pre-primary Level,female,Born in Germany or immigrated <1950,0.92281,87,87,0.86641,0.97922
1992,Primary Level,male,Born in Germany or immigrated <1950,0.40471,52,251,0.34386,0.46555
1992,Primary Level,male,Not born in Germany,0.59529,199,251,0.53445,0.65614
1992,Primary Level,female,Born in Germany or immigrated <1950,0.35270,63,377,0.30441,0.40100
1992,Primary Level,female,Not born in Germany,0.64730,314,377,0.59900,0.69559
1992,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.77306,572,973,0.74673,0.79939
1992,Lower Secondary Level,male,Not born in Germany,0.22694,401,973,0.20061,0.25327
1992,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.87390,1391,1811,0.85861,0.88920
1992,Lower Secondary Level,female,Not born in Germany,0.12610,420,1811,0.11080,0.14139
1992,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.91231,2927,3434,0.90285,0.92177
1992,Upper Secondary Level,male,Not born in Germany,0.08769,507,3434,0.07823,0.09715
1992,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.93077,2946,3287,0.92209,0.93945
1992,Upper Secondary Level,female,Not born in Germany,0.06923,341,3287,0.06055,0.07791
1992,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.84522,160,217,0.79699,0.89346
1992,Post-secondary Non-tertiary Level,male,Not born in Germany,0.15478,57,217,0.10654,0.20301
1992,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.87017,127,166,0.81889,0.92146
1992,Post-secondary Non-tertiary Level,female,Not born in Germany,0.12983,39,166,0.07854,0.18111
1992,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.92334,454,492,0.89981,0.94687
1992,First Stage of Tertiary Education,male,Not born in Germany,0.07666,38,492,0.05313,0.10019
1992,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.90851,249,249,0.87263,0.94440
1992,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.91386,829,911,0.89563,0.93209
1992,Second Stage of Tertiary Education,male,Not born in Germany,0.08614,82,911,0.06791,0.10437
1992,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92747,695,744,0.90882,0.94612
1992,Second Stage of Tertiary Education,female,Not born in Germany,0.07253,49,744,0.05388,0.09118
1993,No answer / don't know,male,Born in Germany or immigrated <1950,0.82519,66,66,0.73286,0.91752
1993,No answer / don't know,female,Born in Germany or immigrated <1950,0.82893,74,107,0.75724,0.90062
1993,No answer / don't know,female,Not born in Germany,0.17107,33,107,0.09938,0.24276
1993,Pre-primary Level,male,Born in Germany or immigrated <1950,0.92273,80,80,0.86385,0.98161
1993,Pre-primary Level,female,Born in Germany or immigrated <1950,0.96223,95,95,0.92368,1.00077
1993,Primary Level,male,Born in Germany or immigrated <1950,0.41149,52,250,0.35037,0.47262
1993,Primary Level,male,Not born in Germany,0.58851,198,250,0.52738,0.64963
1993,Primary Level,female,Born in Germany or immigrated <1950,0.32899,56,361,0.28046,0.37753
1993,Primary Level,female,Not born in Germany,0.67101,305,361,0.62247,0.71954
1993,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.77355,564,943,0.74682,0.80028
1993,Lower Secondary Level,male,Not born in Germany,0.22645,379,943,0.19972,0.25318
1993,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.86961,1331,1735,0.85376,0.88546
1993,Lower Secondary Level,female,Not born in Germany,0.13039,404,1735,0.11454,0.14624
1993,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.90783,2895,3391,0.89809,0.91756
1993,Upper Secondary Level,male,Not born in Germany,0.09217,496,3391,0.08244,0.10191
1993,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.92451,2930,3273,0.91546,0.93357
1993,Upper Secondary Level,female,Not born in Germany,0.07549,343,3273,0.06643,0.08454
1993,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.82745,161,218,0.77718,0.87773
1993,Post-secondary Non-tertiary Level,male,Not born in Germany,0.17255,57,218,0.12227,0.22282
1993,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.87289,129,166,0.82206,0.92371
1993,Post-secondary Non-tertiary Level,female,Not born in Germany,0.12711,37,166,0.07629,0.17794
1993,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.90956,436,473,0.88369,0.93544
1993,First Stage of Tertiary Education,male,Not born in Germany,0.09044,37,473,0.06456,0.11631
1993,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.91830,250,250,0.88428,0.95233
1993,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.90086,825,909,0.88142,0.92030
1993,Second Stage of Tertiary Education,male,Not born in Germany,0.09914,84,909,0.07970,0.11858
1993,Second Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.92542,680,727,0.90630,0.94453
1993,Second Stage of Tertiary Education,female,Not born in Germany,0.07458,47,727,0.05547,0.09370
1994,No answer / don't know,male,Born in Germany or immigrated <1950,0.75515,66,103,0.67170,0.83860
1994,No answer / don't know,male,Not born in Germany,0.24485,37,103,0.16140,0.32830
1994,No answer / don't know,female,Born in Germany or immigrated <1950,0.68704,74,122,0.60442,0.76967
1994,No answer / don't know,female,Not born in Germany,0.31296,48,122,0.23033,0.39558
1994,Pre-primary Level,male,Born in Germany or immigrated <1950,0.95548,101,101,0.91506,0.99590
1994,Pre-primary Level,female,Born in Germany or immigrated <1950,0.94002,125,125,0.89822,0.98181
1994,Primary Level,male,Born in Germany or immigrated <1950,0.35550,39,226,0.29295,0.41804
1994,Primary Level,male,Not born in Germany,0.64450,187,226,0.58196,0.70705
1994,Primary Level,female,Born in Germany or immigrated <1950,0.32882,50,330,0.27805,0.37958
1994,Primary Level,female,Not born in Germany,0.67118,280,330,0.62042,0.72195
1994,Lower Secondary Level,male,Born in Germany or immigrated <1950,0.77341,520,855,0.74533,0.80149
1994,Lower Secondary Level,male,Not born in Germany,0.22659,335,855,0.19851,0.25467
1994,Lower Secondary Level,female,Born in Germany or immigrated <1950,0.86548,1264,1637,0.84895,0.88202
1994,Lower Secondary Level,female,Not born in Germany,0.13452,373,1637,0.11798,0.15105
1994,Upper Secondary Level,male,Born in Germany or immigrated <1950,0.90193,2843,3321,0.89182,0.91205
1994,Upper Secondary Level,male,Not born in Germany,0.09807,478,3321,0.08795,0.10818
1994,Upper Secondary Level,female,Born in Germany or immigrated <1950,0.92215,2907,3247,0.91294,0.93137
1994,Upper Secondary Level,female,Not born in Germany,0.07785,340,3247,0.06863,0.08706
1994,Post-secondary Non-tertiary Level,male,Born in Germany or immigrated <1950,0.85796,166,215,0.81119,0.90473
1994,Post-secondary Non-tertiary Level,male,Not born in Germany,0.14204,49,215,0.09527,0.18881
1994,Post-secondary Non-tertiary Level,female,Born in Germany or immigrated <1950,0.86395,139,175,0.81300,0.91489
1994,Post-secondary Non-tertiary Level,female,Not born in Germany,0.13605,36,175,0.08511,0.18700
1994,First Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.90111,436,475,0.87424,0.92799
1994,First Stage of Tertiary Education,male,Not born in Germany,0.09889,39,475,0.07201,0.12576
1994,First Stage of Tertiary Education,female,Born in Germany or immigrated <1950,0.91622,256,256,0.88222,0.95023
1994,Second Stage of Tertiary Education,male,Born in Germany or immigrated <1950,0.90093,835,913,0.88154,0.92032
1994,Second Stage of Tertiary Education,male,Not born in Germany,0.09907,78,913,0.07968,0.11846
