year,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,East,Born in Germany or immigrated <1950,0.94950,4749,5673,0.94380,0.95520
2016,East,Not born in Germany,0.05050,924,5673,0.04480,0.05620
2017,West,Born in Germany or immigrated <1950,0.82410,16931,24981,0.81937,0.82882
2017,West,Not born in Germany,0.17590,8050,24981,0.17118,0.18063
2017,East,Born in Germany or immigrated <1950,0.94912,5282,6278,0.94369,0.95456
2017,East,Not born in Germany,0.05088,996,6278,0.04544,0.05631
2018,West,Born in Germany or immigrated <1950,0.81997,16253,23755,0.81508,0.82485
2018,West,Not born in Germany,0.18003,7502,23755,0.17515,0.18492
2018,East,Born in Germany or immigrated <1950,0.94934,5210,6134,0.94385,0.95483
2018,East,Not born in Germany,0.05066,924,6134,0.04517,0.05615
2019,Does not apply,Born in Germany or immigrated <1950,0.95640,73,73,0.90923,1.00357
2019,West,Born in Germany or immigrated <1950,0.81892,16812,23613,0.81401,0.82383
2019,West,Not born in Germany,0.18108,6801,23613,0.17617,0.18599
2019,East,Born in Germany or immigrated <1950,0.94981,5345,6141,0.94435,0.95527
2019,East,Not born in Germany,0.05019,796,6141,0.04473,0.05565
2020,West,Born in Germany or immigrated <1950,0.83184,15559,24065,0.82711,0.83656
2020,West,Not born in Germany,0.16816,8506,24065,0.16344,0.17289
2020,East,Born in Germany or immigrated <1950,0.95265,4909,5947,0.94725,0.95805
2020,East,Not born in Germany,0.04735,1038,5947,0.04195,0.05275
2021,West,Born in Germany or immigrated <1950,0.82541,10953,15954,0.81952,0.83130
2021,West,Not born in Germany,0.17459,5001,15954,0.16870,0.18048
2021,East,Born in Germany or immigrated <1950,0.94223,3410,3978,0.93497,0.94948
2021,East,Not born in Germany,0.05777,568,3978,0.05052,0.06503
2022,West,Born in Germany or immigrated <1950,0.80803,15139,22347,0.80286,0.81319
2022,West,Not born in Germany,0.19197,7208,22347,0.18681,0.19714
2022,East,Born in Germany or immigrated <1950,0.91814,4890,5926,0.91116,0.92512
2022,East,Not born in Germany,0.08186,1036,5926,0.07488,0.08884
