year,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,3rd Quintile,Born in Germany or immigrated <1950,0.71689,2224,2685,0.69984,0.73393
1996,3rd Quintile,Not born in Germany,0.10305,461,2685,0.09155,0.11455
1996,4th Quintile,Born in Germany or immigrated <1950,0.76449,2320,2712,0.74852,0.78046
1996,4th Quintile,Not born in Germany,0.09342,392,2712,0.08247,0.10438
1996,5th Quintile,Born in Germany or immigrated <1950,0.81755,2179,2442,0.80223,0.83288
1996,5th Quintile,Not born in Germany,0.08613,263,2442,0.07500,0.09726
1997,1st Quintile,Born in Germany or immigrated <1950,0.58027,1574,2392,0.56049,0.60005
1997,1st Quintile,Not born in Germany,0.17798,818,2392,0.16265,0.19331
1997,2nd Quintile,Born in Germany or immigrated <1950,0.66891,2138,2740,0.65129,0.68654
1997,2nd Quintile,Not born in Germany,0.11700,602,2740,0.10496,0.12903
1997,3rd Quintile,Born in Germany or immigrated <1950,0.71126,2189,2626,0.69393,0.72860
1997,3rd Quintile,Not born in Germany,0.10340,437,2626,0.09175,0.11505
1997,4th Quintile,Born in Germany or immigrated <1950,0.76568,2282,2658,0.74958,0.78179
1997,4th Quintile,Not born in Germany,0.09583,376,2658,0.08464,0.10703
1997,5th Quintile,Born in Germany or immigrated <1950,0.82219,2175,2413,0.80693,0.83745
1997,5th Quintile,Not born in Germany,0.07876,238,2413,0.06801,0.08951
1998,1st Quintile,Born in Germany or immigrated <1950,0.56671,1583,2340,0.54662,0.58679
1998,1st Quintile,Not born in Germany,0.18447,757,2340,0.16875,0.20018
1998,2nd Quintile,Born in Germany or immigrated <1950,0.65704,1983,2504,0.63845,0.67564
1998,2nd Quintile,Not born in Germany,0.11941,521,2504,0.10671,0.13212
1998,3rd Quintile,Born in Germany or immigrated <1950,0.72774,2184,2581,0.71056,0.74491
1998,3rd Quintile,Not born in Germany,0.10272,397,2581,0.09100,0.11443
1998,4th Quintile,Born in Germany or immigrated <1950,0.77219,2271,2605,0.75608,0.78830
1998,4th Quintile,Not born in Germany,0.09841,334,2605,0.08697,0.10985
1998,5th Quintile,Born in Germany or immigrated <1950,0.81463,2085,2299,0.79874,0.83052
1998,5th Quintile,Not born in Germany,0.07951,214,2299,0.06845,0.09057
1999,1st Quintile,Born in Germany or immigrated <1950,0.58735,1879,2599,0.56842,0.60628
1999,1st Quintile,Not born in Germany,0.16564,720,2599,0.15134,0.17993
1999,2nd Quintile,Born in Germany or immigrated <1950,0.68110,2288,2872,0.66405,0.69814
1999,2nd Quintile,Not born in Germany,0.12323,584,2872,0.11121,0.13526
1999,3rd Quintile,Born in Germany or immigrated <1950,0.72514,2435,2826,0.70868,0.74161
1999,3rd Quintile,Not born in Germany,0.09820,391,2826,0.08723,0.10918
1999,4th Quintile,Born in Germany or immigrated <1950,0.77247,2451,2766,0.75684,0.78809
1999,4th Quintile,Not born in Germany,0.08804,315,2766,0.07748,0.09860
1999,5th Quintile,Born in Germany or immigrated <1950,0.82725,2417,2611,0.81274,0.84175
1999,5th Quintile,Not born in Germany,0.07146,194,2611,0.06158,0.08134
2000,1st Quintile,Born in Germany or immigrated <1950,0.58478,1859,2581,0.56576,0.60379
2000,1st Quintile,Not born in Germany,0.18112,722,2581,0.16626,0.19598
2000,2nd Quintile,Born in Germany or immigrated <1950,0.65881,2219,2741,0.64105,0.67656
2000,2nd Quintile,Not born in Germany,0.12830,522,2741,0.11578,0.14083
2000,3rd Quintile,Born in Germany or immigrated <1950,0.73127,2395,2732,0.71464,0.74790
2000,3rd Quintile,Not born in Germany,0.09419,337,2732,0.08324,0.10515
2000,4th Quintile,Born in Germany or immigrated <1950,0.75255,2385,2692,0.73624,0.76885
2000,4th Quintile,Not born in Germany,0.10116,307,2692,0.08977,0.11255
2000,5th Quintile,Born in Germany or immigrated <1950,0.81908,2335,2539,0.80410,0.83406
2000,5th Quintile,Not born in Germany,0.07466,204,2539,0.06443,0.08488
2001,1st Quintile,Born in Germany or immigrated <1950,0.58966,2915,3880,0.57418,0.60514
2001,1st Quintile,Not born in Germany,0.17806,965,3880,0.16602,0.19010
2001,2nd Quintile,Born in Germany or immigrated <1950,0.67100,3623,4350,0.65704,0.68497
2001,2nd Quintile,Not born in Germany,0.11935,727,4350,0.10971,0.12899
2001,3rd Quintile,Born in Germany or immigrated <1950,0.73105,3994,4541,0.71815,0.74395
2001,3rd Quintile,Not born in Germany,0.09961,547,4541,0.09090,0.10832
2001,4th Quintile,Born in Germany or immigrated <1950,0.78630,4229,4615,0.77447,0.79812
2001,4th Quintile,Not born in Germany,0.07090,386,4615,0.06349,0.07830
2001,5th Quintile,Born in Germany or immigrated <1950,0.84398,4241,4532,0.83342,0.85455
2001,5th Quintile,Not born in Germany,0.05528,291,4532,0.04863,0.06194
2002,1st Quintile,Born in Germany or immigrated <1950,0.59122,2619,3469,0.57486,0.60758
2002,1st Quintile,Not born in Germany,0.18485,850,3469,0.17193,0.19777
2002,2nd Quintile,Born in Germany or immigrated <1950,0.66755,3221,3923,0.65280,0.68229
2002,2nd Quintile,Not born in Germany,0.13363,702,3923,0.12298,0.14428
2002,3rd Quintile,Born in Germany or immigrated <1950,0.73044,3607,4040,0.71675,0.74412
2002,3rd Quintile,Not born in Germany,0.08485,433,4040,0.07626,0.09345
2002,4th Quintile,Born in Germany or immigrated <1950,0.78762,3994,4369,0.77549,0.79975
2002,4th Quintile,Not born in Germany,0.07216,375,4369,0.06448,0.07983
2002,5th Quintile,Born in Germany or immigrated <1950,0.85287,4666,4999,0.84305,0.86269
2002,5th Quintile,Not born in Germany,0.06366,333,4999,0.05689,0.07043
2003,1st Quintile,Born in Germany or immigrated <1950,0.60166,2619,3410,0.58523,0.61810
2003,1st Quintile,Not born in Germany,0.18237,791,3410,0.16941,0.19534
2003,2nd Quintile,Born in Germany or immigrated <1950,0.66832,3251,3861,0.65347,0.68317
2003,2nd Quintile,Not born in Germany,0.13042,610,3861,0.11980,0.14105
2003,3rd Quintile,Born in Germany or immigrated <1950,0.73407,3611,4069,0.72049,0.74765
2003,3rd Quintile,Not born in Germany,0.08542,458,4069,0.07683,0.09401
2003,4th Quintile,Born in Germany or immigrated <1950,0.77842,4056,4465,0.76624,0.79061
2003,4th Quintile,Not born in Germany,0.08285,409,4465,0.07476,0.09093
2003,5th Quintile,Born in Germany or immigrated <1950,0.84524,6006,6357,0.83634,0.85413
2003,5th Quintile,Not born in Germany,0.05550,351,6357,0.04987,0.06113
2004,1st Quintile,Born in Germany or immigrated <1950,0.59741,2507,3266,0.58059,0.61424
2004,1st Quintile,Not born in Germany,0.18923,759,3266,0.17580,0.20267
2004,2nd Quintile,Born in Germany or immigrated <1950,0.67036,3161,3786,0.65539,0.68534
2004,2nd Quintile,Not born in Germany,0.13515,625,3786,0.12426,0.14604
2004,3rd Quintile,Born in Germany or immigrated <1950,0.74017,3562,4015,0.72660,0.75374
2004,3rd Quintile,Not born in Germany,0.08967,453,4015,0.08083,0.09850
2004,4th Quintile,Born in Germany or immigrated <1950,0.78045,3993,4346,0.76814,0.79276
2004,4th Quintile,Not born in Germany,0.07717,353,4346,0.06923,0.08510
2004,5th Quintile,Born in Germany or immigrated <1950,0.84984,5851,6198,0.84095,0.85873
2004,5th Quintile,Not born in Germany,0.05573,347,6198,0.05002,0.06144
2005,1st Quintile,Born in Germany or immigrated <1950,0.59473,2451,3155,0.57760,0.61187
2005,1st Quintile,Not born in Germany,0.19349,704,3155,0.17970,0.20728
2005,2nd Quintile,Born in Germany or immigrated <1950,0.69336,3085,3633,0.67836,0.70836
2005,2nd Quintile,Not born in Germany,0.12719,548,3633,0.11636,0.13803
2005,3rd Quintile,Born in Germany or immigrated <1950,0.73327,3336,3758,0.71913,0.74741
2005,3rd Quintile,Not born in Germany,0.09290,422,3758,0.08362,0.10219
2005,4th Quintile,Born in Germany or immigrated <1950,0.79604,3940,4303,0.78400,0.80808
2005,4th Quintile,Not born in Germany,0.07550,363,4303,0.06760,0.08339
2005,5th Quintile,Born in Germany or immigrated <1950,0.84080,5517,5847,0.83142,0.85017
2005,5th Quintile,Not born in Germany,0.06152,330,5847,0.05536,0.06768
2006,1st Quintile,Born in Germany or immigrated <1950,0.61385,2400,3020,0.59648,0.63121
2006,1st Quintile,Not born in Germany,0.19404,620,3020,0.17993,0.20815
2006,2nd Quintile,Born in Germany or immigrated <1950,0.69608,2886,3384,0.68058,0.71158
2006,2nd Quintile,Not born in Germany,0.11822,498,3384,0.10734,0.12910
2006,3rd Quintile,Born in Germany or immigrated <1950,0.72261,3241,3639,0.70807,0.73716
2006,3rd Quintile,Not born in Germany,0.10841,398,3639,0.09830,0.11851
2006,4th Quintile,Born in Germany or immigrated <1950,0.78239,3709,4032,0.76966,0.79513
2006,4th Quintile,Not born in Germany,0.07703,323,4032,0.06880,0.08526
2006,5th Quintile,Born in Germany or immigrated <1950,0.84208,5250,5575,0.83251,0.85166
2006,5th Quintile,Not born in Germany,0.06694,325,5575,0.06038,0.07350
2007,1st Quintile,Born in Germany or immigrated <1950,0.63978,2653,3283,0.62335,0.65620
2007,1st Quintile,Not born in Germany,0.18105,630,3283,0.16788,0.19423
2007,2nd Quintile,Born in Germany or immigrated <1950,0.67873,3090,3595,0.66346,0.69400
2007,2nd Quintile,Not born in Germany,0.13400,505,3595,0.12287,0.14514
2007,3rd Quintile,Born in Germany or immigrated <1950,0.74583,3544,3930,0.73222,0.75945
2007,3rd Quintile,Not born in Germany,0.09544,386,3930,0.08626,0.10463
2007,4th Quintile,Born in Germany or immigrated <1950,0.79043,4068,4388,0.77839,0.80248
2007,4th Quintile,Not born in Germany,0.07154,320,4388,0.06391,0.07917
2007,5th Quintile,Born in Germany or immigrated <1950,0.84317,5359,5651,0.83369,0.85265
2007,5th Quintile,Not born in Germany,0.05932,292,5651,0.05316,0.06548
2008,1st Quintile,Born in Germany or immigrated <1950,0.62222,2442,3043,0.60499,0.63945
2008,1st Quintile,Not born in Germany,0.19326,601,3043,0.17923,0.20730
2008,2nd Quintile,Born in Germany or immigrated <1950,0.70600,3015,3425,0.69074,0.72126
2008,2nd Quintile,Not born in Germany,0.11709,410,3425,0.10632,0.12786
2008,3rd Quintile,Born in Germany or immigrated <1950,0.74496,3498,3868,0.73122,0.75870
2008,3rd Quintile,Not born in Germany,0.10417,370,3868,0.09454,0.11380
2008,4th Quintile,Born in Germany or immigrated <1950,0.79112,3642,3926,0.77840,0.80384
2008,4th Quintile,Not born in Germany,0.07195,284,3926,0.06386,0.08003
2008,5th Quintile,Born in Germany or immigrated <1950,0.85522,5062,5307,0.84575,0.86469
2008,5th Quintile,Not born in Germany,0.05017,245,5307,0.04429,0.05604
2009,1st Quintile,Born in Germany or immigrated <1950,0.64492,2398,2917,0.62755,0.66229
2009,1st Quintile,Not born in Germany,0.18040,519,2917,0.16644,0.19435
2009,2nd Quintile,Born in Germany or immigrated <1950,0.69350,2842,3223,0.67758,0.70942
2009,2nd Quintile,Not born in Germany,0.13011,381,3223,0.11849,0.14173
2009,3rd Quintile,Born in Germany or immigrated <1950,0.76331,3165,3450,0.74912,0.77749
2009,3rd Quintile,Not born in Germany,0.08801,285,3450,0.07855,0.09746
2009,4th Quintile,Born in Germany or immigrated <1950,0.80315,3551,3813,0.79052,0.81577
2009,4th Quintile,Not born in Germany,0.06190,262,3813,0.05425,0.06955
2009,5th Quintile,Born in Germany or immigrated <1950,0.84690,4627,4846,0.83676,0.85704
2009,5th Quintile,Not born in Germany,0.05649,219,4846,0.04999,0.06299
2010,1st Quintile,Born in Germany or immigrated <1950,0.71616,2169,2627,0.69891,0.73340
2010,1st Quintile,Not born in Germany,0.21042,458,2627,0.19483,0.22601
2010,2nd Quintile,Born in Germany or immigrated <1950,0.77641,2713,3047,0.76161,0.79120
2010,2nd Quintile,Not born in Germany,0.12923,334,3047,0.11731,0.14114
2010,3rd Quintile,Born in Germany or immigrated <1950,0.78976,2981,3244,0.77573,0.80378
2010,3rd Quintile,Not born in Germany,0.10816,263,3244,0.09747,0.11885
2010,4th Quintile,Born in Germany or immigrated <1950,0.82255,3284,3503,0.80989,0.83520
2010,4th Quintile,Not born in Germany,0.07441,219,3503,0.06572,0.08311
2010,5th Quintile,Born in Germany or immigrated <1950,0.87223,4208,4404,0.86237,0.88209
2010,5th Quintile,Not born in Germany,0.05646,196,4404,0.04964,0.06328
2011,1st Quintile,Born in Germany or immigrated <1950,0.64588,3728,4720,0.63224,0.65953
2011,1st Quintile,Not born in Germany,0.17852,992,4720,0.16760,0.18945
2011,2nd Quintile,Born in Germany or immigrated <1950,0.70037,3796,4414,0.68685,0.71389
2011,2nd Quintile,Not born in Germany,0.14098,618,4414,0.13071,0.15124
2011,3rd Quintile,Born in Germany or immigrated <1950,0.76277,3827,4200,0.74990,0.77563
2011,3rd Quintile,Not born in Germany,0.09310,373,4200,0.08432,0.10189
2011,4th Quintile,Born in Germany or immigrated <1950,0.78855,3898,4184,0.77617,0.80092
2011,4th Quintile,Not born in Germany,0.06831,286,4184,0.06067,0.07596
2011,5th Quintile,Born in Germany or immigrated <1950,0.83119,4496,4756,0.82055,0.84184
2011,5th Quintile,Not born in Germany,0.06385,260,4756,0.05690,0.07079
2012,1st Quintile,Born in Germany or immigrated <1950,0.63281,4423,5492,0.62006,0.64556
2012,1st Quintile,Not born in Germany,0.17833,1069,5492,0.16820,0.18845
2012,2nd Quintile,Born in Germany or immigrated <1950,0.68176,4369,5072,0.66894,0.69458
2012,2nd Quintile,Not born in Germany,0.15160,703,5072,0.14173,0.16147
2012,3rd Quintile,Born in Germany or immigrated <1950,0.74196,4472,4930,0.72975,0.75418
2012,3rd Quintile,Not born in Germany,0.10314,458,4930,0.09465,0.11163
2012,4th Quintile,Born in Germany or immigrated <1950,0.79201,4541,4888,0.78063,0.80339
2012,4th Quintile,Not born in Germany,0.07365,347,4888,0.06632,0.08097
2012,5th Quintile,Born in Germany or immigrated <1950,0.82690,5017,5310,0.81672,0.83708
2012,5th Quintile,Not born in Germany,0.06950,293,5310,0.06266,0.07634
2013,1st Quintile,Born in Germany or immigrated <1950,0.70353,4348,5349,0.69129,0.71577
2013,1st Quintile,Not born in Germany,0.12638,1001,5349,0.11747,0.13529
2013,2nd Quintile,Born in Germany or immigrated <1950,0.74968,4660,5393,0.73812,0.76124
2013,2nd Quintile,Not born in Germany,0.09374,733,5393,0.08596,0.10152
2013,3rd Quintile,Born in Germany or immigrated <1950,0.78939,4521,4991,0.77808,0.80071
2013,3rd Quintile,Not born in Germany,0.06726,470,4991,0.06031,0.07421
2013,4th Quintile,Born in Germany or immigrated <1950,0.82518,4598,4928,0.81457,0.83578
2013,4th Quintile,Not born in Germany,0.05027,330,4928,0.04417,0.05637
2013,5th Quintile,Born in Germany or immigrated <1950,0.85101,5233,5571,0.84166,0.86036
2013,5th Quintile,Not born in Germany,0.05365,338,5571,0.04773,0.05957
2014,1st Quintile,Born in Germany or immigrated <1950,0.60821,4041,6024,0.59589,0.62054
2014,1st Quintile,Not born in Germany,0.19993,1983,6024,0.18983,0.21003
2014,2nd Quintile,Born in Germany or immigrated <1950,0.68049,4316,5658,0.66833,0.69264
2014,2nd Quintile,Not born in Germany,0.15116,1342,5658,0.14182,0.16049
2014,3rd Quintile,Born in Germany or immigrated <1950,0.74141,4366,5262,0.72958,0.75325
2014,3rd Quintile,Not born in Germany,0.10840,896,5262,0.10000,0.11680
2014,4th Quintile,Born in Germany or immigrated <1950,0.79989,4640,5244,0.78906,0.81072
2014,4th Quintile,Not born in Germany,0.06952,604,5244,0.06263,0.07640
2014,5th Quintile,Born in Germany or immigrated <1950,0.83135,4954,5459,0.82142,0.84129
2014,5th Quintile,Not born in Germany,0.07351,505,5459,0.06658,0.08043
2015,1st Quintile,Born in Germany or immigrated <1950,0.62108,3686,5311,0.60803,0.63413
2015,1st Quintile,Not born in Germany,0.19140,1625,5311,0.18082,0.20198
2015,2nd Quintile,Born in Germany or immigrated <1950,0.70178,4238,5383,0.68956,0.71400
2015,2nd Quintile,Not born in Germany,0.14227,1145,5383,0.13294,0.15160
2015,3rd Quintile,Born in Germany or immigrated <1950,0.75236,4128,4950,0.74033,0.76439
2015,3rd Quintile,Not born in Germany,0.09780,822,4950,0.08953,0.10608
2015,4th Quintile,Born in Germany or immigrated <1950,0.80195,4332,4851,0.79073,0.81316
2015,4th Quintile,Not born in Germany,0.07208,519,4851,0.06480,0.07936
2015,5th Quintile,Born in Germany or immigrated <1950,0.83191,4714,5171,0.82172,0.84211
2015,5th Quintile,Not born in Germany,0.06934,457,5171,0.06242,0.07627
2016,1st Quintile,Born in Germany or immigrated <1950,0.59473,3369,5234,0.58143,0.60803
2016,1st Quintile,Not born in Germany,0.20606,1865,5234,0.19510,0.21702
2016,2nd Quintile,Born in Germany or immigrated <1950,0.68725,3957,5231,0.67468,0.69981
2016,2nd Quintile,Not born in Germany,0.15574,1274,5231,0.14591,0.16557
2016,3rd Quintile,Born in Germany or immigrated <1950,0.73594,3897,4706,0.72334,0.74854
2016,3rd Quintile,Not born in Germany,0.10916,809,4706,0.10025,0.11807
2016,4th Quintile,Born in Germany or immigrated <1950,0.78753,4091,4710,0.77585,0.79922
