year,hhtyp,regtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Multi-generational household,Rural regions,No,0.61528,33,33,0.44671,0.78386
2001,Other Combinations,Urban regions,No,0.75988,66,66,0.65603,0.86372
2006,Single-person household,Urban regions,Yes,0.08733,204,2260,0.07569,0.09898
2006,Single-person household,Urban regions,No,0.91267,2056,2260,0.90102,0.92431
2006,Single-person household,Rural regions,Yes,0.13055,145,1028,0.10995,0.15116
2006,Single-person household,Rural regions,No,0.86945,883,1028,0.84884,0.89005
2006,Couple without children,Urban regions,Yes,0.12029,366,2787,0.10821,0.13237
2006,Couple without children,Urban regions,No,0.87971,2421,2787,0.86763,0.89179
2006,Couple without children,Rural regions,Yes,0.20859,288,1371,0.18707,0.23010
2006,Couple without children,Rural regions,No,0.79141,1083,1371,0.76990,0.81293
2006,Single parent,Urban regions,Yes,0.17804,89,495,0.14431,0.21177
2006,Single parent,Urban regions,No,0.82196,406,495,0.78823,0.85569
2006,Single parent,Rural regions,Yes,0.27965,82,277,0.22670,0.33260
2006,Single parent,Rural regions,No,0.72035,195,277,0.66740,0.77330
2006,Couple with children,Urban regions,Yes,0.17161,461,2499,0.15683,0.18640
2006,Couple with children,Urban regions,No,0.82839,2038,2499,0.81360,0.84317
2006,Couple with children,Rural regions,Yes,0.30560,409,1338,0.28090,0.33029
2006,Couple with children,Rural regions,No,0.69440,929,1338,0.66971,0.71910
2006,Multi-generational household,Urban regions,No,0.78622,49,49,0.67024,0.90221
2006,Other Combinations,Urban regions,No,0.85529,57,57,0.76315,0.94744
2006,Other Combinations,Rural regions,No,0.85082,31,31,0.72333,0.97831
2011,Single-person household,Urban regions,Yes,0.08691,223,2389,0.07561,0.09820
2011,Single-person household,Urban regions,No,0.91140,2166,2389,0.90001,0.92280
2011,Single-person household,Rural regions,Yes,0.13235,152,1121,0.11250,0.15220
2011,Single-person household,Rural regions,No,0.86551,969,1121,0.84553,0.88549
2011,Couple without children,Urban regions,Yes,0.13599,403,2772,0.12322,0.14875
2011,Couple without children,Urban regions,No,0.86398,2369,2772,0.85121,0.87674
2011,Couple without children,Rural regions,Yes,0.19561,328,1599,0.17616,0.21506
2011,Couple without children,Rural regions,No,0.80363,1271,1599,0.78415,0.82310
2011,Single parent,Urban regions,Yes,0.11140,115,518,0.08428,0.13852
2011,Single parent,Urban regions,No,0.41349,403,518,0.37104,0.45594
2011,Single parent,Rural regions,Yes,0.15295,64,266,0.10961,0.19628
2011,Single parent,Rural regions,No,0.37180,202,266,0.31362,0.42999
2011,Couple with children,Urban regions,Yes,0.16939,426,2087,0.15329,0.18548
2011,Couple with children,Urban regions,No,0.62598,1661,2087,0.60522,0.64675
2011,Couple with children,Rural regions,Yes,0.24449,355,1153,0.21967,0.26931
2011,Couple with children,Rural regions,No,0.54786,798,1153,0.51912,0.57660
2011,Multi-generational household,Urban regions,No,0.69880,35,35,0.54458,0.85301
2011,Other Combinations,Urban regions,No,0.81975,52,52,0.71425,0.92525
2016,Single-person household,Urban regions,Yes,0.08619,219,2319,0.07476,0.09761
2016,Single-person household,Urban regions,No,0.90747,2100,2319,0.89567,0.91927
2016,Single-person household,Rural regions,Yes,0.14907,157,1069,0.12771,0.17043
2016,Single-person household,Rural regions,No,0.84502,912,1069,0.82332,0.86673
2016,Couple without children,Urban regions,Yes,0.13232,341,2568,0.11922,0.14543
2016,Couple without children,Urban regions,No,0.86677,2227,2568,0.85362,0.87991
2016,Couple without children,Rural regions,Yes,0.20559,327,1529,0.18533,0.22586
2016,Couple without children,Rural regions,No,0.79388,1202,1529,0.77360,0.81417
2016,Single parent,Urban regions,Yes,0.20437,221,992,0.17926,0.22947
2016,Single parent,Urban regions,No,0.78882,771,992,0.76341,0.81423
2016,Single parent,Rural regions,Yes,0.29210,164,532,0.25343,0.33078
2016,Single parent,Rural regions,No,0.70234,368,532,0.66345,0.74123
2016,Couple with children,Urban regions,Yes,0.19060,600,3297,0.17719,0.20401
2016,Couple with children,Urban regions,No,0.80186,2697,3297,0.78825,0.81547
2016,Couple with children,Rural regions,Yes,0.29078,516,1693,0.26914,0.31241
2016,Couple with children,Rural regions,No,0.70159,1177,1693,0.67979,0.72340
2016,Multi-generational household,Urban regions,No,0.82084,52,52,0.71559,0.92609
2016,Other Combinations,Urban regions,No,0.83191,121,121,0.76500,0.89882
2016,Other Combinations,Rural regions,No,0.64365,50,50,0.50955,0.77775
2021,Single-person household,Urban regions,Yes,0.09961,228,2248,0.08723,0.11199
2021,Single-person household,Urban regions,No,0.88791,2020,2248,0.87486,0.90095
2021,Single-person household,Rural regions,Yes,0.14762,141,939,0.12492,0.17032
2021,Single-person household,Rural regions,No,0.84665,798,939,0.82359,0.86971
2021,Couple without children,Urban regions,Yes,0.14675,323,2217,0.13202,0.16148
2021,Couple without children,Urban regions,No,0.85115,1894,2217,0.83633,0.86597
2021,Couple without children,Rural regions,Yes,0.22170,267,1197,0.19816,0.24524
2021,Couple without children,Rural regions,No,0.77636,930,1197,0.75274,0.79997
2021,Single parent,Urban regions,Yes,0.23592,141,572,0.20109,0.27074
2021,Single parent,Urban regions,No,0.74229,431,572,0.70641,0.77816
2021,Single parent,Rural regions,Yes,0.34914,123,324,0.29715,0.40113
2021,Single parent,Rural regions,No,0.64616,201,324,0.59401,0.69831
2021,Couple with children,Urban regions,Yes,0.19701,435,2101,0.18000,0.21402
2021,Couple with children,Urban regions,No,0.77932,1666,2101,0.76158,0.79705
2021,Couple with children,Rural regions,Yes,0.26533,350,1061,0.23875,0.29191
2021,Couple with children,Rural regions,No,0.71361,711,1061,0.68639,0.74082
2021,Multi-generational household,Urban regions,No,0.86092,35,35,0.74460,0.97723
2021,Other Combinations,Urban regions,No,0.84736,156,156,0.79074,0.90398
2021,Other Combinations,Rural regions,No,0.65561,52,52,0.52520,0.78603
