"plj0588","year","bildungsniveau","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr oft","2013","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Sehr oft","2013","(Fach-)Abitur","Sachsen","1","","",""
"Sehr oft","2013","(Fach-)Abitur","Sachsen-Anhalt","1","","",""
"Sehr oft","2013","(Fach-)Abitur","Thueringen","","","",""
"Sehr oft","2013","AkademikerIn","Schleswig-Holstein","1","","",""
"Sehr oft","2013","AkademikerIn","Hamburg","","","",""
"Sehr oft","2013","AkademikerIn","Niedersachsen","1","","",""
"Sehr oft","2013","AkademikerIn","Bremen","","","",""
"Sehr oft","2013","AkademikerIn","Nordrhein-Westfalen","5","","",""
"Sehr oft","2013","AkademikerIn","Hessen","2","","",""
"Sehr oft","2013","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Sehr oft","2013","AkademikerIn","Baden-Wuerttemberg","1","","",""
"Sehr oft","2013","AkademikerIn","Bayern","8","","",""
"Sehr oft","2013","AkademikerIn","Saarland","","","",""
"Sehr oft","2013","AkademikerIn","Berlin","3","","",""
"Sehr oft","2013","AkademikerIn","Brandenburg","1","","",""
"Sehr oft","2013","AkademikerIn","Mecklenburg-Vorpommern","2","","",""
"Sehr oft","2013","AkademikerIn","Sachsen","2","","",""
"Sehr oft","2013","AkademikerIn","Sachsen-Anhalt","3","","",""
"Sehr oft","2013","AkademikerIn","Thueringen","1","","",""
"Oft","2013","(noch) kein Abschluss","Schleswig-Holstein","4","","",""
"Oft","2013","(noch) kein Abschluss","Hamburg","1","","",""
"Oft","2013","(noch) kein Abschluss","Niedersachsen","12","","",""
"Oft","2013","(noch) kein Abschluss","Bremen","","","",""
"Oft","2013","(noch) kein Abschluss","Nordrhein-Westfalen","15","","",""
"Oft","2013","(noch) kein Abschluss","Hessen","3","","",""
"Oft","2013","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","2","","",""
"Oft","2013","(noch) kein Abschluss","Baden-Wuerttemberg","7","","",""
"Oft","2013","(noch) kein Abschluss","Bayern","12","","",""
"Oft","2013","(noch) kein Abschluss","Saarland","","","",""
"Oft","2013","(noch) kein Abschluss","Berlin","3","","",""
"Oft","2013","(noch) kein Abschluss","Brandenburg","3","","",""
"Oft","2013","(noch) kein Abschluss","Mecklenburg-Vorpommern","1","","",""
"Oft","2013","(noch) kein Abschluss","Sachsen","4","","",""
"Oft","2013","(noch) kein Abschluss","Sachsen-Anhalt","1","","",""
"Oft","2013","(noch) kein Abschluss","Thueringen","2","","",""
"Oft","2013","Hauptschule","Schleswig-Holstein","21","","",""
"Oft","2013","Hauptschule","Hamburg","3","","",""
"Oft","2013","Hauptschule","Niedersachsen","41","0.0558309522409956","0.0396351733901958","0.0720267310917953"
"Oft","2013","Hauptschule","Bremen","1","","",""
"Oft","2013","Hauptschule","Nordrhein-Westfalen","97","0.0624100178928301","0.0506631744253234","0.0741568613603368"
"Oft","2013","Hauptschule","Hessen","33","0.071252370228411","0.0476413807964708","0.0948633596603511"
"Oft","2013","Hauptschule","Rheinland-Pfalz,Saarland","28","","",""
"Oft","2013","Hauptschule","Baden-Wuerttemberg","53","0.0480608416157587","0.0344665020286439","0.0616551812028736"
"Oft","2013","Hauptschule","Bayern","73","0.0468532179924536","0.0361410567792387","0.0575653792056685"
"Oft","2013","Hauptschule","Saarland","","","",""
"Oft","2013","Hauptschule","Berlin","13","","",""
"Oft","2013","Hauptschule","Brandenburg","18","","",""
"Oft","2013","Hauptschule","Mecklenburg-Vorpommern","12","","",""
"Oft","2013","Hauptschule","Sachsen","16","","",""
"Oft","2013","Hauptschule","Sachsen-Anhalt","22","","",""
"Oft","2013","Hauptschule","Thueringen","19","","",""
"Oft","2013","Realschule","Schleswig-Holstein","12","","",""
"Oft","2013","Realschule","Hamburg","","","",""
"Oft","2013","Realschule","Niedersachsen","33","0.0465758667991011","0.0314743407731776","0.0616773928250246"
"Oft","2013","Realschule","Bremen","5","","",""
"Oft","2013","Realschule","Nordrhein-Westfalen","41","0.044319761866004","0.032073931648769","0.056565592083239"
"Oft","2013","Realschule","Hessen","27","","",""
"Oft","2013","Realschule","Rheinland-Pfalz,Saarland","17","","",""
"Oft","2013","Realschule","Baden-Wuerttemberg","40","0.0666561056569933","0.0491519323971715","0.0841602789168151"
"Oft","2013","Realschule","Bayern","45","0.0469300245583802","0.0340017871551047","0.0598582619616557"
"Oft","2013","Realschule","Saarland","","","",""
"Oft","2013","Realschule","Berlin","22","","",""
"Oft","2013","Realschule","Brandenburg","24","","",""
"Oft","2013","Realschule","Mecklenburg-Vorpommern","19","","",""
"Oft","2013","Realschule","Sachsen","55","0.0951106139090193","0.073814686075936","0.116406541742103"
"Oft","2013","Realschule","Sachsen-Anhalt","23","","",""
"Oft","2013","Realschule","Thueringen","35","0.0909197562851245","0.0629547246124625","0.118884787957786"
"Oft","2013","(Fach-)Abitur","Schleswig-Holstein","7","","",""
"Oft","2013","(Fach-)Abitur","Hamburg","2","","",""
"Oft","2013","(Fach-)Abitur","Niedersachsen","19","","",""
"Oft","2013","(Fach-)Abitur","Bremen","","","",""
"Oft","2013","(Fach-)Abitur","Nordrhein-Westfalen","46","0.0588780843334919","0.0433868486919365","0.0743693199750474"
"Oft","2013","(Fach-)Abitur","Hessen","15","","",""
"Oft","2013","(Fach-)Abitur","Rheinland-Pfalz,Saarland","13","","",""
"Oft","2013","(Fach-)Abitur","Baden-Wuerttemberg","14","","",""
"Oft","2013","(Fach-)Abitur","Bayern","16","","",""
"Oft","2013","(Fach-)Abitur","Saarland","","","",""
"Oft","2013","(Fach-)Abitur","Berlin","13","","",""
"Oft","2013","(Fach-)Abitur","Brandenburg","8","","",""
"Oft","2013","(Fach-)Abitur","Mecklenburg-Vorpommern","2","","",""
"Oft","2013","(Fach-)Abitur","Sachsen","3","","",""
"Oft","2013","(Fach-)Abitur","Sachsen-Anhalt","1","","",""
"Oft","2013","(Fach-)Abitur","Thueringen","1","","",""
"Oft","2013","AkademikerIn","Schleswig-Holstein","2","","",""
"Oft","2013","AkademikerIn","Hamburg","2","","",""
"Oft","2013","AkademikerIn","Niedersachsen","19","","",""
"Oft","2013","AkademikerIn","Bremen","2","","",""
"Oft","2013","AkademikerIn","Nordrhein-Westfalen","39","0.0466358176552211","0.0342090052842379","0.0590626300262043"
"Oft","2013","AkademikerIn","Hessen","14","","",""
"Oft","2013","AkademikerIn","Rheinland-Pfalz,Saarland","10","","",""
"Oft","2013","AkademikerIn","Baden-Wuerttemberg","18","","",""
"Oft","2013","AkademikerIn","Bayern","27","","",""
"Oft","2013","AkademikerIn","Saarland","","","",""
"Oft","2013","AkademikerIn","Berlin","22","","",""
"Oft","2013","AkademikerIn","Brandenburg","11","","",""
"Oft","2013","AkademikerIn","Mecklenburg-Vorpommern","6","","",""
"Oft","2013","AkademikerIn","Sachsen","18","","",""
"Oft","2013","AkademikerIn","Sachsen-Anhalt","5","","",""
"Oft","2013","AkademikerIn","Thueringen","8","","",""
"Manchmal","2013","(noch) kein Abschluss","Schleswig-Holstein","9","","",""
"Manchmal","2013","(noch) kein Abschluss","Hamburg","2","","",""
"Manchmal","2013","(noch) kein Abschluss","Niedersachsen","18","","",""
"Manchmal","2013","(noch) kein Abschluss","Bremen","1","","",""
"Manchmal","2013","(noch) kein Abschluss","Nordrhein-Westfalen","53","0.239838754374981","0.183158422226641","0.296519086523321"
"Manchmal","2013","(noch) kein Abschluss","Hessen","18","","",""
"Manchmal","2013","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","10","","",""
"Manchmal","2013","(noch) kein Abschluss","Baden-Wuerttemberg","13","","",""
"Manchmal","2013","(noch) kein Abschluss","Bayern","26","","",""
"Manchmal","2013","(noch) kein Abschluss","Saarland","","","",""
"Manchmal","2013","(noch) kein Abschluss","Berlin","6","","",""
"Manchmal","2013","(noch) kein Abschluss","Brandenburg","4","","",""
"Manchmal","2013","(noch) kein Abschluss","Mecklenburg-Vorpommern","4","","",""
"Manchmal","2013","(noch) kein Abschluss","Sachsen","7","","",""
"Manchmal","2013","(noch) kein Abschluss","Sachsen-Anhalt","2","","",""
"Manchmal","2013","(noch) kein Abschluss","Thueringen","1","","",""
"Manchmal","2013","Hauptschule","Schleswig-Holstein","57","0.185343683979755","0.140466256155801","0.230221111803709"
"Manchmal","2013","Hauptschule","Hamburg","18","","",""
"Manchmal","2013","Hauptschule","Niedersachsen","151","0.196267547668743","0.168250688892758","0.224284406444728"
"Manchmal","2013","Hauptschule","Bremen","10","","",""
"Manchmal","2013","Hauptschule","Nordrhein-Westfalen","313","0.164509475242201","0.146506106701765","0.182512843782637"
"Manchmal","2013","Hauptschule","Hessen","106","0.261683593662153","0.221339944645631","0.302027242678676"
"Manchmal","2013","Hauptschule","Rheinland-Pfalz,Saarland","114","0.206772409432797","0.17423111621011","0.239313702655483"
"Manchmal","2013","Hauptschule","Baden-Wuerttemberg","204","0.238464784085408","0.211380650043554","0.265548918127262"
"Manchmal","2013","Hauptschule","Bayern","318","0.241061638526361","0.219379865214794","0.262743411837927"
"Manchmal","2013","Hauptschule","Saarland","","","",""
"Manchmal","2013","Hauptschule","Berlin","37","0.249073527736607","0.182476771381545","0.31567028409167"
"Manchmal","2013","Hauptschule","Brandenburg","64","0.334077928625736","0.274154699379971","0.3940011578715"
"Manchmal","2013","Hauptschule","Mecklenburg-Vorpommern","34","0.355850884092706","0.270544283109084","0.441157485076328"
"Manchmal","2013","Hauptschule","Sachsen","76","0.235455707315812","0.189469229127409","0.281442185504215"
"Manchmal","2013","Hauptschule","Sachsen-Anhalt","52","0.217090929452868","0.164604090326466","0.269577768579271"
"Manchmal","2013","Hauptschule","Thueringen","55","0.200762635531349","0.152534054133688","0.248991216929011"
"Manchmal","2013","Realschule","Schleswig-Holstein","46","0.173322677164434","0.128255624973963","0.218389729354906"
"Manchmal","2013","Realschule","Hamburg","15","","",""
"Manchmal","2013","Realschule","Niedersachsen","146","0.201352476845126","0.172614687645557","0.230090266044695"
"Manchmal","2013","Realschule","Bremen","5","","",""
"Manchmal","2013","Realschule","Nordrhein-Westfalen","209","0.210324151214912","0.186074682817089","0.234573619612734"
"Manchmal","2013","Realschule","Hessen","93","0.242906092045779","0.201893471007228","0.283918713084329"
"Manchmal","2013","Realschule","Rheinland-Pfalz,Saarland","53","0.203084076324518","0.157176826998796","0.248991325650241"
"Manchmal","2013","Realschule","Baden-Wuerttemberg","147","0.218244313687336","0.189257012523175","0.247231614851497"
"Manchmal","2013","Realschule","Bayern","220","0.206159873654526","0.18143010081273","0.230889646496322"
"Manchmal","2013","Realschule","Saarland","","","",""
"Manchmal","2013","Realschule","Berlin","70","0.316016953279252","0.261067977265787","0.370965929292717"
"Manchmal","2013","Realschule","Brandenburg","72","0.17051789751268","0.132248675738798","0.208787119286562"
"Manchmal","2013","Realschule","Mecklenburg-Vorpommern","57","0.272665610769416","0.216788309526297","0.328542912012534"
"Manchmal","2013","Realschule","Sachsen","149","0.223390761410205","0.193155188134787","0.253626334685623"
"Manchmal","2013","Realschule","Sachsen-Anhalt","93","0.194052654868452","0.154803625922376","0.233301683814528"
"Manchmal","2013","Realschule","Thueringen","95","0.231019495667194","0.190021081851335","0.272017909483054"
"Manchmal","2013","(Fach-)Abitur","Schleswig-Holstein","32","0.343874734513457","0.261906279248659","0.425843189778254"
"Manchmal","2013","(Fach-)Abitur","Hamburg","9","","",""
"Manchmal","2013","(Fach-)Abitur","Niedersachsen","53","0.162675003414608","0.120630456579091","0.204719550250126"
"Manchmal","2013","(Fach-)Abitur","Bremen","3","","",""
"Manchmal","2013","(Fach-)Abitur","Nordrhein-Westfalen","174","0.204299523500643","0.177766009690946","0.23083303731034"
"Manchmal","2013","(Fach-)Abitur","Hessen","59","0.205124251354659","0.15696005292465","0.253288449784669"
"Manchmal","2013","(Fach-)Abitur","Rheinland-Pfalz,Saarland","38","0.215507881165301","0.154588576498221","0.276427185832381"
"Manchmal","2013","(Fach-)Abitur","Baden-Wuerttemberg","89","0.25917772733956","0.215577567409604","0.302777887269517"
"Manchmal","2013","(Fach-)Abitur","Bayern","96","0.184337413707115","0.148431076923798","0.220243750490433"
"Manchmal","2013","(Fach-)Abitur","Saarland","","","",""
"Manchmal","2013","(Fach-)Abitur","Berlin","30","0.276120098540921","0.199561369979017","0.352678827102825"
"Manchmal","2013","(Fach-)Abitur","Brandenburg","20","","",""
"Manchmal","2013","(Fach-)Abitur","Mecklenburg-Vorpommern","15","","",""
"Manchmal","2013","(Fach-)Abitur","Sachsen","37","0.331042006225703","0.252810504426599","0.409273508024806"
"Manchmal","2013","(Fach-)Abitur","Sachsen-Anhalt","15","","",""
"Manchmal","2013","(Fach-)Abitur","Thueringen","12","","",""
"Manchmal","2013","AkademikerIn","Schleswig-Holstein","26","","",""
"Manchmal","2013","AkademikerIn","Hamburg","17","","",""
"Manchmal","2013","AkademikerIn","Niedersachsen","74","0.148427611300774","0.116721523312865","0.180133699288683"
"Manchmal","2013","AkademikerIn","Bremen","10","","",""
"Manchmal","2013","AkademikerIn","Nordrhein-Westfalen","173","0.160886300410671","0.13923218406384","0.182540416757501"
"Manchmal","2013","AkademikerIn","Hessen","86","0.192929834106826","0.15802683974172","0.227832828471933"
"Manchmal","2013","AkademikerIn","Rheinland-Pfalz,Saarland","26","","",""
"Manchmal","2013","AkademikerIn","Baden-Wuerttemberg","112","0.180666582461259","0.152286412668297","0.209046752254222"
"Manchmal","2013","AkademikerIn","Bayern","139","0.151795947271957","0.126884486753426","0.176707407790488"
"Manchmal","2013","AkademikerIn","Saarland","","","",""
"Manchmal","2013","AkademikerIn","Berlin","77","0.2002777781971","0.159276866605056","0.241278689789145"
"Manchmal","2013","AkademikerIn","Brandenburg","66","0.297471486012806","0.241689639354535","0.353253332671077"
"Manchmal","2013","AkademikerIn","Mecklenburg-Vorpommern","21","","",""
"Manchmal","2013","AkademikerIn","Sachsen","87","0.223216966844299","0.184786710020876","0.261647223667721"
"Manchmal","2013","AkademikerIn","Sachsen-Anhalt","43","0.215043430377815","0.160753078742898","0.269333782012731"
"Manchmal","2013","AkademikerIn","Thueringen","41","0.225791353654137","0.169510221806189","0.282072485502086"
"Selten","2013","(noch) kein Abschluss","Schleswig-Holstein","18","","",""
"Selten","2013","(noch) kein Abschluss","Hamburg","4","","",""
"Selten","2013","(noch) kein Abschluss","Niedersachsen","34","0.386320250850817","0.285162836258602","0.487477665443033"
"Selten","2013","(noch) kein Abschluss","Bremen","2","","",""
"Selten","2013","(noch) kein Abschluss","Nordrhein-Westfalen","92","0.325156557500752","0.262974137647788","0.387338977353716"
"Selten","2013","(noch) kein Abschluss","Hessen","26","","",""
"Selten","2013","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","21","","",""
"Selten","2013","(noch) kein Abschluss","Baden-Wuerttemberg","35","0.482008256482528","0.375783122973633","0.588233389991422"
"Selten","2013","(noch) kein Abschluss","Bayern","43","0.280309072666892","0.19926921331429","0.361348932019493"
"Selten","2013","(noch) kein Abschluss","Saarland","","","",""
"Selten","2013","(noch) kein Abschluss","Berlin","14","","",""
"Selten","2013","(noch) kein Abschluss","Brandenburg","8","","",""
"Selten","2013","(noch) kein Abschluss","Mecklenburg-Vorpommern","10","","",""
"Selten","2013","(noch) kein Abschluss","Sachsen","9","","",""
"Selten","2013","(noch) kein Abschluss","Sachsen-Anhalt","10","","",""
"Selten","2013","(noch) kein Abschluss","Thueringen","7","","",""
"Selten","2013","Hauptschule","Schleswig-Holstein","130","0.40419334167095","0.347517353522634","0.460869329819265"
"Selten","2013","Hauptschule","Hamburg","38","0.389071589549232","0.292049160258036","0.486094018840429"
"Selten","2013","Hauptschule","Niedersachsen","342","0.461681851609503","0.426515253914993","0.496848449304014"
"Selten","2013","Hauptschule","Bremen","17","","",""
"Selten","2013","Hauptschule","Nordrhein-Westfalen","605","0.378015211312307","0.354468401891756","0.401562020732858"
"Selten","2013","Hauptschule","Hessen","171","0.361769883356702","0.317666640733724","0.405873125979681"
"Selten","2013","Hauptschule","Rheinland-Pfalz,Saarland","195","0.335734167925857","0.297788837741717","0.373679498109996"
"Selten","2013","Hauptschule","Baden-Wuerttemberg","396","0.407623990817342","0.376392951890482","0.438855029744202"
"Selten","2013","Hauptschule","Bayern","615","0.389727304145651","0.365006085187874","0.414448523103427"
"Selten","2013","Hauptschule","Saarland","","","",""
"Selten","2013","Hauptschule","Berlin","67","0.366297792068783","0.292106942489583","0.440488641647983"
"Selten","2013","Hauptschule","Brandenburg","95","0.337947961047764","0.277854033164064","0.398041888931463"
"Selten","2013","Hauptschule","Mecklenburg-Vorpommern","42","0.330089403266258","0.246301828308217","0.413876978224298"
"Selten","2013","Hauptschule","Sachsen","123","0.378052706589639","0.325496116319126","0.430609296860152"
"Selten","2013","Hauptschule","Sachsen-Anhalt","81","0.315431591136575","0.256270668525022","0.374592513748129"
"Selten","2013","Hauptschule","Thueringen","93","0.364382017572302","0.306438919801395","0.422325115343209"
"Selten","2013","Realschule","Schleswig-Holstein","142","0.530399275205949","0.470979735143591","0.589818815268306"
"Selten","2013","Realschule","Hamburg","34","0.513223053308673","0.41163919688406","0.614806909733287"
"Selten","2013","Realschule","Niedersachsen","360","0.476437172776919","0.440645292535836","0.512229053018002"
"Selten","2013","Realschule","Bremen","19","","",""
"Selten","2013","Realschule","Nordrhein-Westfalen","499","0.471520661031879","0.441817847271835","0.501223474791923"
"Selten","2013","Realschule","Hessen","203","0.447524601434664","0.399970456729195","0.495078746140133"
"Selten","2013","Realschule","Rheinland-Pfalz,Saarland","118","0.489635978378942","0.432591479460524","0.546680477297359"
"Selten","2013","Realschule","Baden-Wuerttemberg","360","0.438123582825001","0.403304325215892","0.472942840434109"
"Selten","2013","Realschule","Bayern","469","0.444300782411003","0.413926224522139","0.474675340299867"
"Selten","2013","Realschule","Saarland","","","",""
"Selten","2013","Realschule","Berlin","115","0.401002679444226","0.343077442198168","0.458927916690283"
"Selten","2013","Realschule","Brandenburg","180","0.510331383283429","0.459464115662737","0.561198650904121"
"Selten","2013","Realschule","Mecklenburg-Vorpommern","115","0.479954335563308","0.417267856483058","0.542640814643557"
"Selten","2013","Realschule","Sachsen","331","0.429777747232765","0.393841860131127","0.465713634334404"
"Selten","2013","Realschule","Sachsen-Anhalt","162","0.46249727375976","0.413013739377801","0.51198080814172"
"Selten","2013","Realschule","Thueringen","165","0.400998061258024","0.353325298107698","0.448670824408351"
"Selten","2013","(Fach-)Abitur","Schleswig-Holstein","68","0.482774943454186","0.396543555867672","0.5690063310407"
"Selten","2013","(Fach-)Abitur","Hamburg","30","0.441366154602629","0.323345839364786","0.559386469840472"
"Selten","2013","(Fach-)Abitur","Niedersachsen","144","0.543335707768344","0.486589755756746","0.600081659779942"
"Selten","2013","(Fach-)Abitur","Bremen","12","","",""
"Selten","2013","(Fach-)Abitur","Nordrhein-Westfalen","388","0.415061242832271","0.382634929778893","0.447487555885648"
"Selten","2013","(Fach-)Abitur","Hessen","128","0.478460170123364","0.418875732510232","0.538044607736496"
"Selten","2013","(Fach-)Abitur","Rheinland-Pfalz,Saarland","87","0.546579224401041","0.472821699521549","0.620336749280532"
"Selten","2013","(Fach-)Abitur","Baden-Wuerttemberg","168","0.403453544649412","0.354638787767277","0.452268301531547"
"Selten","2013","(Fach-)Abitur","Bayern","213","0.519329575499161","0.473064389494392","0.565594761503931"
"Selten","2013","(Fach-)Abitur","Saarland","","","",""
"Selten","2013","(Fach-)Abitur","Berlin","63","0.463754919528324","0.378358754365305","0.549151084691342"
"Selten","2013","(Fach-)Abitur","Brandenburg","41","0.37343070555025","0.278146688013557","0.468714723086942"
"Selten","2013","(Fach-)Abitur","Mecklenburg-Vorpommern","26","","",""
"Selten","2013","(Fach-)Abitur","Sachsen","60","0.399999007599708","0.318557438550877","0.481440576648539"
"Selten","2013","(Fach-)Abitur","Sachsen-Anhalt","35","0.415234167559937","0.299799406936933","0.530668928182941"
"Selten","2013","(Fach-)Abitur","Thueringen","42","0.580066635073089","0.469828498772221","0.690304771373957"
"Selten","2013","AkademikerIn","Schleswig-Holstein","74","0.632839270847867","0.555180224003183","0.71049831769255"
"Selten","2013","AkademikerIn","Hamburg","55","0.461481407084195","0.37478049109367","0.548182323074721"
"Selten","2013","AkademikerIn","Niedersachsen","255","0.563301319911364","0.519069393976715","0.607533245846013"
"Selten","2013","AkademikerIn","Bremen","27","","",""
"Selten","2013","AkademikerIn","Nordrhein-Westfalen","495","0.468310141216908","0.438902072994323","0.497718209439494"
"Selten","2013","AkademikerIn","Hessen","263","0.516118503419062","0.471915521551516","0.560321485286607"
"Selten","2013","AkademikerIn","Rheinland-Pfalz,Saarland","129","0.55299208327332","0.491968871014953","0.614015295531686"
"Selten","2013","AkademikerIn","Baden-Wuerttemberg","335","0.45832519278857","0.421571420177417","0.495078965399722"
"Selten","2013","AkademikerIn","Bayern","388","0.51087760304929","0.476173075465805","0.545582130632774"
"Selten","2013","AkademikerIn","Saarland","","","",""
"Selten","2013","AkademikerIn","Berlin","190","0.562878593322605","0.51206078250038","0.61369640414483"
"Selten","2013","AkademikerIn","Brandenburg","130","0.485028477447911","0.424044820478745","0.546012134417077"
"Selten","2013","AkademikerIn","Mecklenburg-Vorpommern","82","0.53436143971545","0.451436967624792","0.617285911806109"
"Selten","2013","AkademikerIn","Sachsen","214","0.490415914644074","0.444278843028217","0.536552986259931"
"Selten","2013","AkademikerIn","Sachsen-Anhalt","113","0.465024239396979","0.399115713466017","0.530932765327942"
"Selten","2013","AkademikerIn","Thueringen","110","0.467130289738974","0.39997044364915","0.534290135828797"
"Nie","2013","(noch) kein Abschluss","Schleswig-Holstein","7","","",""
"Nie","2013","(noch) kein Abschluss","Hamburg","5","","",""
"Nie","2013","(noch) kein Abschluss","Niedersachsen","24","","",""
"Nie","2013","(noch) kein Abschluss","Bremen","3","","",""
"Nie","2013","(noch) kein Abschluss","Nordrhein-Westfalen","56","0.324813620212706","0.262648211022617","0.386979029402795"
"Nie","2013","(noch) kein Abschluss","Hessen","21","","",""
"Nie","2013","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","7","","",""
"Nie","2013","(noch) kein Abschluss","Baden-Wuerttemberg","28","","",""
"Nie","2013","(noch) kein Abschluss","Bayern","36","0.291967708301068","0.209932359207794","0.374003057394343"
"Nie","2013","(noch) kein Abschluss","Saarland","","","",""
"Nie","2013","(noch) kein Abschluss","Berlin","4","","",""
"Nie","2013","(noch) kein Abschluss","Brandenburg","5","","",""
"Nie","2013","(noch) kein Abschluss","Mecklenburg-Vorpommern","3","","",""
"Nie","2013","(noch) kein Abschluss","Sachsen","6","","",""
"Nie","2013","(noch) kein Abschluss","Sachsen-Anhalt","7","","",""
"Nie","2013","(noch) kein Abschluss","Thueringen","2","","",""
"Nie","2013","Hauptschule","Schleswig-Holstein","77","0.322650984114857","0.268659583199391","0.376642385030323"
"Nie","2013","Hauptschule","Hamburg","37","0.391331873114078","0.294208196353226","0.48845554987493"
"Nie","2013","Hauptschule","Niedersachsen","217","0.267557210469609","0.236329896879562","0.298784524059656"
"Nie","2013","Hauptschule","Bremen","23","","",""
"Nie","2013","Hauptschule","Nordrhein-Westfalen","589","0.3829120540227","0.359306695581249","0.406517412464151"
"Nie","2013","Hauptschule","Hessen","137","0.286478384943174","0.244981531548186","0.327975238338163"
"Nie","2013","Hauptschule","Rheinland-Pfalz,Saarland","250","0.404622736976942","0.365185101134464","0.444060372819419"
"Nie","2013","Hauptschule","Baden-Wuerttemberg","290","0.291925658120456","0.263029946445114","0.320821369795798"
