year,migback,sex,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,No migration background,male,Often,0.04802,285,6191,0.04269,0.05335
2021,No migration background,male,Sometimes,0.17958,1065,6191,0.17002,0.18914
2021,No migration background,male,Seldom,0.48029,2916,6191,0.46784,0.49273
2021,No migration background,male,Never,0.28291,1884,6191,0.27169,0.29413
2021,No migration background,female,Very often,0.01988,127,6912,0.01659,0.02317
2021,No migration background,female,Often,0.05943,421,6912,0.05386,0.06500
2021,No migration background,female,Sometimes,0.21557,1443,6912,0.20588,0.22527
2021,No migration background,female,Seldom,0.44574,3065,6912,0.43403,0.45746
2021,No migration background,female,Never,0.25937,1856,6912,0.24904,0.26971
2021,Direct migration background,male,Very often,0.03270,118,2652,0.02593,0.03947
2021,Direct migration background,male,Often,0.09433,254,2652,0.08321,0.10546
2021,Direct migration background,male,Sometimes,0.21823,708,2652,0.20251,0.23396
2021,Direct migration background,male,Seldom,0.44864,706,2652,0.42971,0.46757
2021,Direct migration background,male,Never,0.20610,866,2652,0.19070,0.22149
2021,Direct migration background,female,Very often,0.01342,104,2465,0.00887,0.01796
2021,Direct migration background,female,Often,0.08911,258,2465,0.07786,0.10036
2021,Direct migration background,female,Sometimes,0.28393,667,2465,0.26613,0.30173
2021,Direct migration background,female,Seldom,0.37302,717,2465,0.35392,0.39211
2021,Direct migration background,female,Never,0.24052,719,2465,0.22365,0.25740
2021,Indirect migration background,male,Sometimes,0.19841,85,420,0.16022,0.23660
2021,Indirect migration background,male,Seldom,0.53465,217,420,0.48689,0.58241
2021,Indirect migration background,male,Never,0.21586,118,420,0.17646,0.25525
2021,Indirect migration background,female,Sometimes,0.20132,109,443,0.16393,0.23870
2021,Indirect migration background,female,Seldom,0.42355,207,443,0.37749,0.46962
2021,Indirect migration background,female,Never,0.30589,127,443,0.26293,0.34885
