"plj0588","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Nie","2013","Laendlicher Raum","Ostdeutschland","1014","0.261353290161668","0.247277572491704","0.275429007831633"
"Sehr oft","2014","Staedtischer Raum","Westdeutschland","","","",""
"Sehr oft","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Sehr oft","2014","Laendlicher Raum","Westdeutschland","","","",""
"Sehr oft","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Oft","2014","Staedtischer Raum","Westdeutschland","","","",""
"Oft","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Oft","2014","Laendlicher Raum","Westdeutschland","","","",""
"Oft","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Manchmal","2014","Staedtischer Raum","Westdeutschland","","","",""
"Manchmal","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Manchmal","2014","Laendlicher Raum","Westdeutschland","","","",""
"Manchmal","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Selten","2014","Staedtischer Raum","Westdeutschland","","","",""
"Selten","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Selten","2014","Laendlicher Raum","Westdeutschland","","","",""
"Selten","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Nie","2014","Staedtischer Raum","Westdeutschland","","","",""
"Nie","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Nie","2014","Laendlicher Raum","Westdeutschland","","","",""
"Nie","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Sehr oft","2015","Staedtischer Raum","Westdeutschland","","","",""
"Sehr oft","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Sehr oft","2015","Laendlicher Raum","Westdeutschland","","","",""
"Sehr oft","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Oft","2015","Staedtischer Raum","Westdeutschland","","","",""
"Oft","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Oft","2015","Laendlicher Raum","Westdeutschland","","","",""
"Oft","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Manchmal","2015","Staedtischer Raum","Westdeutschland","","","",""
"Manchmal","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Manchmal","2015","Laendlicher Raum","Westdeutschland","","","",""
"Manchmal","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Selten","2015","Staedtischer Raum","Westdeutschland","","","",""
"Selten","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Selten","2015","Laendlicher Raum","Westdeutschland","","","",""
"Selten","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Nie","2015","Staedtischer Raum","Westdeutschland","","","",""
"Nie","2015","Staedtischer Raum","Ostdeutschland","","","",""
"Nie","2015","Laendlicher Raum","Westdeutschland","","","",""
"Nie","2015","Laendlicher Raum","Ostdeutschland","","","",""
"Sehr oft","2016","Staedtischer Raum","Westdeutschland","111","0.0795992632405387","0.0671776307247988","0.0920208957562786"
"Sehr oft","2016","Staedtischer Raum","Ostdeutschland","13","","",""
"Sehr oft","2016","Laendlicher Raum","Westdeutschland","27","","",""
"Sehr oft","2016","Laendlicher Raum","Ostdeutschland","15","","",""
"Oft","2016","Staedtischer Raum","Westdeutschland","205","0.134356552443688","0.118705821596712","0.150007283290665"
"Oft","2016","Staedtischer Raum","Ostdeutschland","22","","",""
"Oft","2016","Laendlicher Raum","Westdeutschland","71","0.126426835899223","0.0984487677110595","0.154404904087386"
"Oft","2016","Laendlicher Raum","Ostdeutschland","44","0.16488475977449","0.121574877877679","0.208194641671302"
"Manchmal","2016","Staedtischer Raum","Westdeutschland","427","0.252090205116978","0.232163372614243","0.272017037619713"
"Manchmal","2016","Staedtischer Raum","Ostdeutschland","60","0.331650225566575","0.263989964321169","0.399310486811982"
"Manchmal","2016","Laendlicher Raum","Westdeutschland","152","0.250911045670588","0.214412544142766","0.287409547198409"
"Manchmal","2016","Laendlicher Raum","Ostdeutschland","92","0.296868827584403","0.24354466896084","0.350192986207965"
"Selten","2016","Staedtischer Raum","Westdeutschland","407","0.216822617561131","0.19791146344131","0.235733771680952"
"Selten","2016","Staedtischer Raum","Ostdeutschland","30","0.156668616554548","0.104431192314572","0.208906040794525"
"Selten","2016","Laendlicher Raum","Westdeutschland","124","0.233874547394021","0.198238471659508","0.269510623128533"
"Selten","2016","Laendlicher Raum","Ostdeutschland","46","0.18866335727086","0.142999997603613","0.234326716938108"
"Nie","2016","Staedtischer Raum","Westdeutschland","674","0.317131361637664","0.295775167803923","0.338487555471405"
"Nie","2016","Staedtischer Raum","Ostdeutschland","61","0.303169897276361","0.237116051354729","0.369223743197993"
"Nie","2016","Laendlicher Raum","Westdeutschland","168","0.308111107507936","0.269240591625","0.346981623390872"
"Nie","2016","Laendlicher Raum","Ostdeutschland","85","0.306090988763751","0.252301171030689","0.359880806496813"
"Sehr oft","2017","Staedtischer Raum","Westdeutschland","242","0.0118318268137616","0.010166861806985","0.0134967918205383"
"Sehr oft","2017","Staedtischer Raum","Ostdeutschland","26","","",""
"Sehr oft","2017","Laendlicher Raum","Westdeutschland","100","0.0115705604619673","0.0089232858775571","0.0142178350463775"
"Sehr oft","2017","Laendlicher Raum","Ostdeutschland","51","0.0128632170043636","0.00924600798682301","0.0164804260219042"
"Oft","2017","Staedtischer Raum","Westdeutschland","904","0.0526336416125798","0.0491952569106514","0.0560720263145082"
"Oft","2017","Staedtischer Raum","Ostdeutschland","118","0.0486072271492912","0.0393027974191523","0.0579116568794301"
"Oft","2017","Laendlicher Raum","Westdeutschland","359","0.0525475665987948","0.0470241987384516","0.0580709344591381"
"Oft","2017","Laendlicher Raum","Ostdeutschland","235","0.0645436377083025","0.0566559696592931","0.0724313057573119"
"Manchmal","2017","Staedtischer Raum","Westdeutschland","3329","0.204406407060343","0.198196906539241","0.210615907581444"
"Manchmal","2017","Staedtischer Raum","Ostdeutschland","431","0.21993107924572","0.202009791906154","0.237852366585287"
"Manchmal","2017","Laendlicher Raum","Westdeutschland","1289","0.197230457751351","0.187380567518395","0.207080347984306"
"Manchmal","2017","Laendlicher Raum","Ostdeutschland","681","0.187420883083704","0.174893742318565","0.199948023848844"
"Selten","2017","Staedtischer Raum","Westdeutschland","6545","0.415954082377126","0.408364638234921","0.423543526519332"
"Selten","2017","Staedtischer Raum","Ostdeutschland","885","0.461236129010041","0.439667611049093","0.482804646970989"
"Selten","2017","Laendlicher Raum","Westdeutschland","2729","0.462702240414986","0.450359622864391","0.475044857965582"
"Selten","2017","Laendlicher Raum","Ostdeutschland","1596","0.43885600767828","0.422926281082839","0.454785734273721"
"Nie","2017","Staedtischer Raum","Westdeutschland","5182","0.315174042136189","0.308020368800239","0.32232771547214"
"Nie","2017","Staedtischer Raum","Ostdeutschland","592","0.258556098427339","0.239611912197747","0.27750028465693"
"Nie","2017","Laendlicher Raum","Westdeutschland","1792","0.275949174772901","0.264884261039202","0.2870140885066"
"Nie","2017","Laendlicher Raum","Ostdeutschland","1165","0.29631625452535","0.28165818974912","0.31097431930158"
"Sehr oft","2018","Staedtischer Raum","Westdeutschland","21","","",""
"Sehr oft","2018","Staedtischer Raum","Ostdeutschland","","","",""
"Sehr oft","2018","Laendlicher Raum","Westdeutschland","6","","",""
"Sehr oft","2018","Laendlicher Raum","Ostdeutschland","3","","",""
"Oft","2018","Staedtischer Raum","Westdeutschland","22","","",""
"Oft","2018","Staedtischer Raum","Ostdeutschland","1","","",""
"Oft","2018","Laendlicher Raum","Westdeutschland","10","","",""
"Oft","2018","Laendlicher Raum","Ostdeutschland","5","","",""
"Manchmal","2018","Staedtischer Raum","Westdeutschland","59","0.289170760373801","0.227996786417832","0.35034473432977"
"Manchmal","2018","Staedtischer Raum","Ostdeutschland","5","","",""
"Manchmal","2018","Laendlicher Raum","Westdeutschland","33","0.390715968528416","0.302307139432572","0.47912479762426"
"Manchmal","2018","Laendlicher Raum","Ostdeutschland","7","","",""
"Selten","2018","Staedtischer Raum","Westdeutschland","32","0.136376556088586","0.0900703783427986","0.182682733834374"
"Selten","2018","Staedtischer Raum","Ostdeutschland","1","","",""
"Selten","2018","Laendlicher Raum","Westdeutschland","23","","",""
"Selten","2018","Laendlicher Raum","Ostdeutschland","6","","",""
"Nie","2018","Staedtischer Raum","Westdeutschland","77","0.348244541600776","0.283962248468172","0.41252683473338"
"Nie","2018","Staedtischer Raum","Ostdeutschland","6","","",""
"Nie","2018","Laendlicher Raum","Westdeutschland","45","0.419311562678142","0.329899694620526","0.508723430735758"
"Nie","2018","Laendlicher Raum","Ostdeutschland","11","","",""
"Sehr oft","2019","Staedtischer Raum","Westdeutschland","3","","",""
"Sehr oft","2019","Staedtischer Raum","Ostdeutschland","","","",""
"Sehr oft","2019","Laendlicher Raum","Westdeutschland","3","","",""
"Sehr oft","2019","Laendlicher Raum","Ostdeutschland","1","","",""
"Oft","2019","Staedtischer Raum","Westdeutschland","13","","",""
"Oft","2019","Staedtischer Raum","Ostdeutschland","1","","",""
"Oft","2019","Laendlicher Raum","Westdeutschland","6","","",""
"Oft","2019","Laendlicher Raum","Ostdeutschland","1","","",""
"Manchmal","2019","Staedtischer Raum","Westdeutschland","22","","",""
"Manchmal","2019","Staedtischer Raum","Ostdeutschland","2","","",""
"Manchmal","2019","Laendlicher Raum","Westdeutschland","20","","",""
"Manchmal","2019","Laendlicher Raum","Ostdeutschland","5","","",""
"Selten","2019","Staedtischer Raum","Westdeutschland","35","0.194121886550427","0.131449777799787","0.256793995301067"
"Selten","2019","Staedtischer Raum","Ostdeutschland","","","",""
"Selten","2019","Laendlicher Raum","Westdeutschland","17","","",""
"Selten","2019","Laendlicher Raum","Ostdeutschland","5","","",""
"Nie","2019","Staedtischer Raum","Westdeutschland","80","0.541754111042787","0.462803995095928","0.620704226989645"
"Nie","2019","Staedtischer Raum","Ostdeutschland","2","","",""
"Nie","2019","Laendlicher Raum","Westdeutschland","32","0.422569783684708","0.312947268483025","0.532192298886391"
"Nie","2019","Laendlicher Raum","Ostdeutschland","6","","",""
