year,regtyp,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2018,Rural regions,East,No,0.90383,1977,2175,0.89144,0.91623
2019,Urban regions,West,Yes,0.08877,725,7215,0.08221,0.09533
2019,Urban regions,West,No,0.91123,6490,7215,0.90467,0.91779
2019,Urban regions,East,Yes,0.05033,52,1020,0.03691,0.06376
2019,Urban regions,East,No,0.94967,968,1020,0.93624,0.96309
2019,Rural regions,West,Yes,0.15379,472,2548,0.13978,0.16780
2019,Rural regions,West,No,0.84621,2076,2548,0.83220,0.86022
2019,Rural regions,East,Yes,0.09831,174,1824,0.08464,0.11198
2019,Rural regions,East,No,0.90169,1650,1824,0.88802,0.91536
2020,Urban regions,West,Yes,0.09673,1023,9684,0.09084,0.10262
2020,Urban regions,West,No,0.90327,8661,9684,0.89738,0.90916
2020,Urban regions,East,Yes,0.05843,79,1288,0.04561,0.07124
2020,Urban regions,East,No,0.94157,1209,1288,0.92876,0.95439
2020,Rural regions,West,Yes,0.17151,598,3139,0.15833,0.18470
2020,Rural regions,West,No,0.82849,2541,3139,0.81530,0.84167
2020,Rural regions,East,Yes,0.09563,239,2137,0.08316,0.10810
2020,Rural regions,East,No,0.90437,1898,2137,0.89190,0.91684
2021,Urban regions,West,Yes,0.09538,671,5802,0.08782,0.10294
2021,Urban regions,West,No,0.90462,5131,5802,0.89706,0.91218
2021,Urban regions,East,Yes,0.05262,48,813,0.03726,0.06797
2021,Urban regions,East,No,0.94738,765,813,0.93203,0.96274
2021,Rural regions,West,Yes,0.16100,393,1969,0.14476,0.17723
2021,Rural regions,West,No,0.83900,1576,1969,0.82277,0.85524
2021,Rural regions,East,Yes,0.10838,153,1361,0.09186,0.12490
2021,Rural regions,East,No,0.89162,1208,1361,0.87510,0.90814
2022,Urban regions,West,Yes,0.12374,1546,11509,0.11772,0.12975
2022,Urban regions,West,No,0.87626,9963,11509,0.87025,0.88228
2022,Urban regions,East,Yes,0.06131,125,1634,0.04968,0.07295
2022,Urban regions,East,No,0.93869,1509,1634,0.92705,0.95032
2022,Rural regions,West,Yes,0.21673,901,3500,0.20308,0.23039
2022,Rural regions,West,No,0.78327,2599,3500,0.76961,0.79692
2022,Rural regions,East,Yes,0.12322,390,2568,0.11050,0.13593
2022,Rural regions,East,No,0.87678,2178,2568,0.86407,0.88950
