,Unnamed: 0,year,hhtyp,hgeqpsol,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
65,65,2013,Multi-generational household,No,1.0,141,17837,0.82528,1.22819
66,66,2013,Other Combinations,No,1.0,334,17837,0.88219,1.12095
67,67,2014,Single-person household,Yes,0.04067,144,15796,0.03562,0.04573
68,68,2014,Single-person household,No,0.95933,3415,15796,0.938,0.98373
69,69,2014,Couple without children,Yes,0.10732,448,15796,0.09629,0.11703
70,70,2014,Couple without children,No,0.89268,3913,15796,0.86991,0.92558
71,71,2014,Single parent,Yes,0.04676,103,15796,0.03959,0.05418
72,72,2014,Single parent,No,0.95324,1711,15796,0.89471,1.004
73,73,2014,Couple with children,Yes,0.15657,826,15796,0.14575,0.16916
74,74,2014,Couple with children,No,0.84343,4872,15796,0.81097,0.87002
75,75,2014,Multi-generational household,No,1.0,114,15796,0.8048,1.2798
76,76,2014,Other Combinations,No,1.0,250,15796,0.89252,1.14468
77,77,2015,Single-person household,Yes,0.04302,164,15723,0.03776,0.04807
78,78,2015,Single-person household,No,0.95698,3453,15723,0.9331,0.97975
79,79,2015,Couple without children,Yes,0.10555,446,15723,0.09612,0.11402
80,80,2015,Couple without children,No,0.89445,3924,15723,0.8686,0.92253
81,81,2015,Single parent,Yes,0.05443,94,15723,0.04127,0.06638
82,82,2015,Single parent,No,0.94557,1616,15723,0.89814,1.00569
83,83,2015,Couple with children,Yes,0.17162,842,15723,0.1547,0.18954
84,84,2015,Couple with children,No,0.82838,4815,15723,0.79743,0.86047
85,85,2015,Multi-generational household,No,1.0,130,15723,0.75208,1.2787
86,86,2015,Other Combinations,No,1.0,239,15723,0.87007,1.13806
87,87,2016,Single-person household,Yes,0.03378,129,14270,0.0294,0.03841
88,88,2016,Single-person household,No,0.96622,3250,14270,0.94361,0.99063
89,89,2016,Couple without children,Yes,0.11374,451,14270,0.10391,0.12351
90,90,2016,Couple without children,No,0.88626,3641,14270,0.85762,0.91815
91,91,2016,Single parent,Yes,0.065,81,14270,0.04717,0.08082
92,92,2016,Single parent,No,0.935,1443,14270,0.8791,0.9863
93,93,2016,Couple with children,Yes,0.16343,745,14270,0.14891,0.17878
94,94,2016,Couple with children,No,0.83657,4244,14270,0.80131,0.86428
95,95,2016,Multi-generational household,No,1.0,98,14270,0.75208,1.25285
96,96,2016,Other Combinations,No,1.0,188,14270,0.88202,1.13696
97,97,2017,Single-person household,Yes,0.04627,181,15623,0.04085,0.05214
98,98,2017,Single-person household,No,0.95373,3645,15623,0.93345,0.97549
99,99,2017,Couple without children,Yes,0.11609,529,15623,0.10519,0.12693
100,100,2017,Couple without children,No,0.88391,4075,15623,0.86261,0.91097
101,101,2017,Single parent,Yes,0.07095,97,15623,0.05197,0.08957
102,102,2017,Single parent,No,0.92905,1440,15623,0.87347,0.97902
103,103,2017,Couple with children,Yes,0.16359,846,15623,0.14825,0.17793
104,104,2017,Couple with children,No,0.83641,4470,15623,0.80881,0.86666
105,105,2017,Multi-generational household,No,1.0,106,15623,0.74904,1.26327
106,106,2017,Other Combinations,No,1.0,234,15623,0.89883,1.12233
107,107,2018,Single-person household,Yes,0.04595,181,15392,0.04057,0.05175
108,108,2018,Single-person household,No,0.95405,3836,15392,0.93012,0.98245
109,109,2018,Couple without children,Yes,0.11571,520,15392,0.10648,0.12611
110,110,2018,Couple without children,No,0.88429,4017,15392,0.8564,0.91309
111,111,2018,Single parent,Yes,0.06704,99,15392,0.05318,0.08326
112,112,2018,Single parent,No,0.93296,1411,15392,0.87378,0.99867
113,113,2018,Couple with children,Yes,0.16977,806,15392,0.15569,0.18456
114,114,2018,Couple with children,No,0.83023,4209,15392,0.79571,0.85731
115,115,2018,Multi-generational household,No,1.0,106,15392,0.80113,1.2512
116,116,2018,Other Combinations,No,1.0,207,15392,0.87253,1.11694
117,117,2019,Single-person household,Yes,0.04936,158,12584,0.04364,0.05609
118,118,2019,Single-person household,No,0.95064,3103,12584,0.92781,0.97974
119,119,2019,Couple without children,Yes,0.12312,469,12584,0.11172,0.13456
120,120,2019,Couple without children,No,0.87688,3389,12584,0.8478,0.90821
121,121,2019,Single parent,Yes,0.07743,82,12584,0.05464,0.10334
122,122,2019,Single parent,No,0.92257,1151,12584,0.85608,0.99114
123,123,2019,Couple with children,Yes,0.17384,691,12584,0.1584,0.19231
124,124,2019,Couple with children,No,0.82616,3318,12584,0.78702,0.86362
125,125,2019,Multi-generational household,No,1.0,77,12584,0.76335,1.27575
126,126,2019,Other Combinations,No,1.0,146,12584,0.83374,1.15396
127,127,2020,Single-person household,Yes,0.05423,254,16207,0.04784,0.06155
128,128,2020,Single-person household,No,0.94577,4334,16207,0.91587,0.9794
129,129,2020,Couple without children,Yes,0.12871,670,16207,0.11618,0.14114
130,130,2020,Couple without children,No,0.87129,4343,16207,0.84463,0.89896
131,131,2020,Single parent,Yes,0.08079,103,16207,0.06305,0.10417
132,132,2020,Single parent,No,0.91921,1234,16207,0.85241,0.98477
133,133,2020,Couple with children,Yes,0.18832,871,16207,0.17058,0.20917
134,134,2020,Couple with children,No,0.81168,4025,16207,0.77798,0.85222
135,135,2020,Multi-generational household,No,1.0,102,16207,0.74007,1.33244
136,136,2020,Other Combinations,No,1.0,271,16207,0.8532,1.19923
137,137,2021,Single-person household,Yes,0.05491,171,9890,0.04613,0.0638
138,138,2021,Single-person household,No,0.94509,2634,9890,0.90481,0.98628
139,139,2021,Couple without children,Yes,0.12767,439,9890,0.11267,0.14155
140,140,2021,Couple without children,No,0.87233,2674,9890,0.83056,0.91349
141,141,2021,Single parent,Yes,0.09464,69,9890,0.06818,0.12779
142,142,2021,Single parent,No,0.90536,754,9890,0.82813,0.98985
143,143,2021,Couple with children,Yes,0.19641,538,9890,0.1745,0.21929
144,144,2021,Couple with children,No,0.80359,2332,9890,0.76114,0.84651
145,145,2021,Multi-generational household,No,1.0,59,9890,0.66174,1.54794
146,146,2021,Other Combinations,Yes,0.10228,31,9890,0.07365,0.13602
147,147,2021,Other Combinations,No,0.89772,189,9890,0.7632,1.04758
