year,regtyp,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2020,Rural regions,Tenant,Yes,0.06399,169,2601,0.05458,0.07340
2020,Rural regions,Tenant,No,0.93601,2432,2601,0.92660,0.94542
2021,Urban regions,Owner,Yes,0.15454,559,2841,0.14125,0.16784
2021,Urban regions,Owner,No,0.84546,2282,2841,0.83216,0.85875
2021,Urban regions,Tenant,Yes,0.03887,160,3771,0.03270,0.04504
2021,Urban regions,Tenant,No,0.96113,3611,3771,0.95496,0.96730
2021,Rural regions,Owner,Yes,0.21238,457,1806,0.19351,0.23125
2021,Rural regions,Owner,No,0.78762,1349,1806,0.76875,0.80649
2021,Rural regions,Tenant,Yes,0.06004,89,1523,0.04810,0.07197
2021,Rural regions,Tenant,No,0.93996,1434,1523,0.92803,0.95190
2022,Urban regions,Owner,Yes,0.20224,1228,4686,0.19073,0.21374
2022,Urban regions,Owner,No,0.79776,3458,4686,0.78626,0.80927
2022,Urban regions,Tenant,Yes,0.05090,443,8449,0.04621,0.05559
2022,Urban regions,Tenant,No,0.94910,8006,8449,0.94441,0.95379
2022,Rural regions,Owner,Yes,0.27240,1013,3150,0.25685,0.28795
2022,Rural regions,Owner,No,0.72760,2137,3150,0.71205,0.74315
2022,Rural regions,Tenant,Yes,0.08510,278,2911,0.07496,0.09524
2022,Rural regions,Tenant,No,0.91490,2633,2911,0.90476,0.92504
