"plh0110","year","age_gr","n","percent","lower_confidence","upper_confidence","NA"
"2 Wichtig","1995","35-65","1956","0.348820091610019","0.336469114447837","0.361171068772201",""
"2 Wichtig","1995","66 +","574","0.406514887498766","0.380803990628989","0.432225784368543",""
"3 Weniger wichtig","1995","17-34","842","0.232160447626134","0.218988685356487","0.245332209895781",""
"3 Weniger wichtig","1995","35-65","447","0.101421382518641","0.093598030363168","0.109244734674114",""
"3 Weniger wichtig","1995","66 +","95","0.0769442374892674","0.0629941765994825","0.0908942983790522",""
"4 Ganz unwichtig","1995","17-34","244","0.0704042656671197","0.0624231964843482","0.0783853348498912",""
"4 Ganz unwichtig","1995","35-65","267","0.0634179819448188","0.0571021699566182","0.0697337939330195",""
"4 Ganz unwichtig","1995","66 +","141","0.10662793736674","0.0904722376694251","0.122783637064054",""
"1 Sehr wichtig","1996","17-34","","","","",""
"1 Sehr wichtig","1996","35-65","","","","",""
"1 Sehr wichtig","1996","66 +","","","","",""
"2 Wichtig","1996","17-34","","","","",""
"2 Wichtig","1996","35-65","","","","",""
"2 Wichtig","1996","66 +","","","","",""
"3 Weniger wichtig","1996","17-34","","","","",""
"3 Weniger wichtig","1996","35-65","","","","",""
"3 Weniger wichtig","1996","66 +","","","","",""
"4 Ganz unwichtig","1996","17-34","","","","",""
"4 Ganz unwichtig","1996","35-65","","","","",""
"4 Ganz unwichtig","1996","66 +","","","","",""
"1 Sehr wichtig","1997","17-34","","","","",""
"1 Sehr wichtig","1997","35-65","","","","",""
"1 Sehr wichtig","1997","66 +","","","","",""
"2 Wichtig","1997","17-34","","","","",""
"2 Wichtig","1997","35-65","","","","",""
"2 Wichtig","1997","66 +","","","","",""
"3 Weniger wichtig","1997","17-34","","","","",""
"3 Weniger wichtig","1997","35-65","","","","",""
"3 Weniger wichtig","1997","66 +","","","","",""
"4 Ganz unwichtig","1997","17-34","","","","",""
"4 Ganz unwichtig","1997","35-65","","","","",""
"4 Ganz unwichtig","1997","66 +","","","","",""
"1 Sehr wichtig","1998","17-34","","","","",""
"1 Sehr wichtig","1998","35-65","","","","",""
"1 Sehr wichtig","1998","66 +","","","","",""
"2 Wichtig","1998","17-34","","","","",""
"2 Wichtig","1998","35-65","","","","",""
"2 Wichtig","1998","66 +","","","","",""
"3 Weniger wichtig","1998","17-34","","","","",""
"3 Weniger wichtig","1998","35-65","","","","",""
"3 Weniger wichtig","1998","66 +","","","","",""
"4 Ganz unwichtig","1998","17-34","","","","",""
"4 Ganz unwichtig","1998","35-65","","","","",""
"4 Ganz unwichtig","1998","66 +","","","","",""
"1 Sehr wichtig","1999","17-34","","","","",""
"1 Sehr wichtig","1999","35-65","","","","",""
"1 Sehr wichtig","1999","66 +","","","","",""
"2 Wichtig","1999","17-34","","","","",""
"2 Wichtig","1999","35-65","","","","",""
"2 Wichtig","1999","66 +","","","","",""
"3 Weniger wichtig","1999","17-34","","","","",""
"3 Weniger wichtig","1999","35-65","","","","",""
"3 Weniger wichtig","1999","66 +","","","","",""
"4 Ganz unwichtig","1999","17-34","","","","",""
"4 Ganz unwichtig","1999","35-65","","","","",""
"4 Ganz unwichtig","1999","66 +","","","","",""
"1 Sehr wichtig","2000","17-34","","","","",""
"1 Sehr wichtig","2000","35-65","","","","",""
"1 Sehr wichtig","2000","66 +","","","","",""
"2 Wichtig","2000","17-34","","","","",""
"2 Wichtig","2000","35-65","","","","",""
"2 Wichtig","2000","66 +","","","","",""
"3 Weniger wichtig","2000","17-34","","","","",""
"3 Weniger wichtig","2000","35-65","","","","",""
"3 Weniger wichtig","2000","66 +","","","","",""
"4 Ganz unwichtig","2000","17-34","","","","",""
"4 Ganz unwichtig","2000","35-65","","","","",""
"4 Ganz unwichtig","2000","66 +","","","","",""
"1 Sehr wichtig","2001","17-34","","","","",""
"1 Sehr wichtig","2001","35-65","","","","",""
"1 Sehr wichtig","2001","66 +","","","","",""
"2 Wichtig","2001","17-34","","","","",""
"2 Wichtig","2001","35-65","","","","",""
"2 Wichtig","2001","66 +","","","","",""
"3 Weniger wichtig","2001","17-34","","","","",""
"3 Weniger wichtig","2001","35-65","","","","",""
"3 Weniger wichtig","2001","66 +","","","","",""
"4 Ganz unwichtig","2001","17-34","","","","",""
"4 Ganz unwichtig","2001","35-65","","","","",""
"4 Ganz unwichtig","2001","66 +","","","","",""
"1 Sehr wichtig","2002","17-34","","","","",""
"1 Sehr wichtig","2002","35-65","","","","",""
"1 Sehr wichtig","2002","66 +","","","","",""
"2 Wichtig","2002","17-34","","","","",""
"2 Wichtig","2002","35-65","","","","",""
"2 Wichtig","2002","66 +","","","","",""
"3 Weniger wichtig","2002","17-34","","","","",""
"3 Weniger wichtig","2002","35-65","","","","",""
"3 Weniger wichtig","2002","66 +","","","","",""
"4 Ganz unwichtig","2002","17-34","","","","",""
"4 Ganz unwichtig","2002","35-65","","","","",""
"4 Ganz unwichtig","2002","66 +","","","","",""
"1 Sehr wichtig","2003","17-34","","","","",""
"1 Sehr wichtig","2003","35-65","","","","",""
"1 Sehr wichtig","2003","66 +","","","","",""
"2 Wichtig","2003","17-34","","","","",""
"2 Wichtig","2003","35-65","","","","",""
"2 Wichtig","2003","66 +","","","","",""
"3 Weniger wichtig","2003","17-34","","","","",""
"3 Weniger wichtig","2003","35-65","","","","",""
"3 Weniger wichtig","2003","66 +","","","","",""
"4 Ganz unwichtig","2003","17-34","","","","",""
"4 Ganz unwichtig","2003","35-65","","","","",""
"4 Ganz unwichtig","2003","66 +","","","","",""
"1 Sehr wichtig","2004","17-34","1892","0.334176182027591","0.321724686853206","0.346627677201975",""
"1 Sehr wichtig","2004","35-65","6065","0.45589302778616","0.447002652541344","0.464783403030977",""
"1 Sehr wichtig","2004","66 +","1653","0.430129461496527","0.413970147215824","0.446288775777231",""
"2 Wichtig","2004","17-34","1864","0.341630777805201","0.329111843809841","0.354149711800561",""
"2 Wichtig","2004","35-65","4097","0.348441985908659","0.339936712929525","0.356947258887793",""
"2 Wichtig","2004","66 +","1494","0.429005676127404","0.412851580683562","0.445159771571246",""
"3 Weniger wichtig","2004","17-34","1333","0.241933742416682","0.230629124205449","0.253238360627914",""
"3 Weniger wichtig","2004","35-65","1261","0.123311086679114","0.117442003141418","0.12918017021681",""
"3 Weniger wichtig","2004","66 +","233","0.0707479514555774","0.0623792335659858","0.079116669345169",""
"4 Ganz unwichtig","2004","17-34","424","0.082259297750527","0.0750064829120315","0.0895121125890226",""
"4 Ganz unwichtig","2004","35-65","633","0.0723538996260665","0.0677293589415497","0.0769784403105833",""
"4 Ganz unwichtig","2004","66 +","226","0.0701169109204915","0.0617827709148296","0.0784510509261534",""
"1 Sehr wichtig","2005","17-34","","","","",""
"1 Sehr wichtig","2005","35-65","","","","",""
"1 Sehr wichtig","2005","66 +","","","","",""
"2 Wichtig","2005","17-34","","","","",""
"2 Wichtig","2005","35-65","","","","",""
"2 Wichtig","2005","66 +","","","","",""
"3 Weniger wichtig","2005","17-34","","","","",""
"3 Weniger wichtig","2005","35-65","","","","",""
"3 Weniger wichtig","2005","66 +","","","","",""
"4 Ganz unwichtig","2005","17-34","","","","",""
"4 Ganz unwichtig","2005","35-65","","","","",""
"4 Ganz unwichtig","2005","66 +","","","","",""
"1 Sehr wichtig","2006","17-34","","","","",""
"1 Sehr wichtig","2006","35-65","","","","",""
"1 Sehr wichtig","2006","66 +","","","","",""
"2 Wichtig","2006","17-34","","","","",""
"2 Wichtig","2006","35-65","","","","",""
"2 Wichtig","2006","66 +","","","","",""
"3 Weniger wichtig","2006","17-34","","","","",""
"3 Weniger wichtig","2006","35-65","","","","",""
"3 Weniger wichtig","2006","66 +","","","","",""
"4 Ganz unwichtig","2006","17-34","","","","",""
"4 Ganz unwichtig","2006","35-65","","","","",""
"4 Ganz unwichtig","2006","66 +","","","","",""
"1 Sehr wichtig","2007","17-34","","","","",""
"1 Sehr wichtig","2007","35-65","","","","",""
"1 Sehr wichtig","2007","66 +","","","","",""
"2 Wichtig","2007","17-34","","","","",""
"2 Wichtig","2007","35-65","","","","",""
"2 Wichtig","2007","66 +","","","","",""
"3 Weniger wichtig","2007","17-34","","","","",""
"3 Weniger wichtig","2007","35-65","","","","",""
"3 Weniger wichtig","2007","66 +","","","","",""
"4 Ganz unwichtig","2007","17-34","","","","",""
"4 Ganz unwichtig","2007","35-65","","","","",""
"4 Ganz unwichtig","2007","66 +","","","","",""
"1 Sehr wichtig","2008","17-34","1570","0.352660374991927","0.3383909956488","0.366929754335054",""
"1 Sehr wichtig","2008","35-65","5441","0.461839523094489","0.452333151463129","0.47134589472585",""
"1 Sehr wichtig","2008","66 +","2011","0.46332747771129","0.448172603386585","0.478482352035994",""
"2 Wichtig","2008","17-34","1559","0.354391495721163","0.340106276080651","0.368676715361676",""
"2 Wichtig","2008","35-65","3397","0.323236243625794","0.3143177416669","0.332154745584688",""
"2 Wichtig","2008","66 +","1679","0.405796943918745","0.390873280094636","0.420720607742854",""
"3 Weniger wichtig","2008","17-34","925","0.232350589906769","0.219737717420657","0.244963462392881",""
"3 Weniger wichtig","2008","35-65","1089","0.1300212234929","0.123608023350968","0.136434423634832",""
"3 Weniger wichtig","2008","66 +","246","0.0634785161677645","0.0560683851574962","0.0708886471780328",""
"4 Ganz unwichtig","2008","17-34","253","0.0605975393801414","0.0534720614931473","0.0677230172671355",""
"4 Ganz unwichtig","2008","35-65","638","0.0849030097868165","0.0795879464168009","0.0902180731568321",""
"4 Ganz unwichtig","2008","66 +","223","0.0673970622022008","0.0597776318502534","0.0750164925541482",""
"1 Sehr wichtig","2009","17-34","","","","",""
"1 Sehr wichtig","2009","35-65","","","","",""
"1 Sehr wichtig","2009","66 +","","","","",""
"2 Wichtig","2009","17-34","","","","",""
"2 Wichtig","2009","35-65","","","","",""
"2 Wichtig","2009","66 +","","","","",""
"3 Weniger wichtig","2009","17-34","","","","",""
"3 Weniger wichtig","2009","35-65","","","","",""
"3 Weniger wichtig","2009","66 +","","","","",""
"4 Ganz unwichtig","2009","17-34","","","","",""
"4 Ganz unwichtig","2009","35-65","","","","",""
"4 Ganz unwichtig","2009","66 +","","","","",""
"1 Sehr wichtig","2010","17-34","2087","0.644923575530516","0.627748078368351","0.662099072692681",""
"1 Sehr wichtig","2010","35-65","3028","0.689344304833681","0.675528785599779","0.703159824067583",""
"1 Sehr wichtig","2010","66 +","9","","","",""
"2 Wichtig","2010","17-34","744","0.276770159014479","0.260712136160855","0.292828181868103",""
"2 Wichtig","2010","35-65","1188","0.286715675980073","0.273214658023322","0.300216693936824",""
"2 Wichtig","2010","66 +","4","","","",""
"3 Weniger wichtig","2010","17-34","127","0.0644696149612831","0.0556550525236151","0.0732841773989512",""
"3 Weniger wichtig","2010","35-65","86","0.0221477785214973","0.0177542732152757","0.026541283827719",""
"3 Weniger wichtig","2010","66 +","1","","","",""
"4 Ganz unwichtig","2010","17-34","24","","","",""
"4 Ganz unwichtig","2010","35-65","8","","","",""
"4 Ganz unwichtig","2010","66 +","","","","",""
"1 Sehr wichtig","2011","17-34","","","","",""
"1 Sehr wichtig","2011","35-65","","","","",""
"1 Sehr wichtig","2011","66 +","","","","",""
"2 Wichtig","2011","17-34","","","","",""
"2 Wichtig","2011","35-65","","","","",""
"2 Wichtig","2011","66 +","","","","",""
"3 Weniger wichtig","2011","17-34","","","","",""
"3 Weniger wichtig","2011","35-65","","","","",""
"3 Weniger wichtig","2011","66 +","","","","",""
"4 Ganz unwichtig","2011","17-34","","","","",""
"4 Ganz unwichtig","2011","35-65","","","","",""
"4 Ganz unwichtig","2011","66 +","","","","",""
"1 Sehr wichtig","2012","17-34","2901","0.352739792684018","0.340913561288088","0.364566024079947",""
"1 Sehr wichtig","2012","35-65","9048","0.468875686978321","0.461135529852862","0.476615844103779",""
"1 Sehr wichtig","2012","66 +","2310","0.441078034781308","0.427362119638522","0.454793949924095",""
"2 Wichtig","2012","17-34","2035","0.357465429609017","0.345603783466512","0.369327075751521",""
"2 Wichtig","2012","35-65","5024","0.326038774473914","0.318768096482821","0.333309452465008",""
"2 Wichtig","2012","66 +","2123","0.426467429404697","0.412805455144971","0.440129403664423",""
"3 Weniger wichtig","2012","17-34","1019","0.222619496983594","0.212323269926222","0.232915724040965",""
"3 Weniger wichtig","2012","35-65","1173","0.117499222627903","0.112504655275473","0.122493789980334",""
"3 Weniger wichtig","2012","66 +","323","0.070288696910198","0.0632270127920752","0.0773503810283209",""
"4 Ganz unwichtig","2012","17-34","316","0.0671752807233722","0.0609796652078424","0.073370896238902",""
"4 Ganz unwichtig","2012","35-65","723","0.0875863159198616","0.0832016465178685","0.0919709853218546",""
"4 Ganz unwichtig","2012","66 +","278","0.0621658389037967","0.0554957686414055","0.0688359091661879",""
"1 Sehr wichtig","2013","17-34","","","","",""
"1 Sehr wichtig","2013","35-65","","","","",""
"1 Sehr wichtig","2013","66 +","","","","",""
"2 Wichtig","2013","17-34","","","","",""
"2 Wichtig","2013","35-65","","","","",""
"2 Wichtig","2013","66 +","","","","",""
"3 Weniger wichtig","2013","17-34","","","","",""
"3 Weniger wichtig","2013","35-65","","","","",""
"3 Weniger wichtig","2013","66 +","","","","",""
"4 Ganz unwichtig","2013","17-34","","","","",""
"4 Ganz unwichtig","2013","35-65","","","","",""
"4 Ganz unwichtig","2013","66 +","","","","",""
"1 Sehr wichtig","2014","17-34","","","","",""
"1 Sehr wichtig","2014","35-65","","","","",""
"1 Sehr wichtig","2014","66 +","","","","",""
"2 Wichtig","2014","17-34","","","","",""
"2 Wichtig","2014","35-65","","","","",""
"2 Wichtig","2014","66 +","","","","",""
"3 Weniger wichtig","2014","17-34","","","","",""
"3 Weniger wichtig","2014","35-65","","","","",""
"3 Weniger wichtig","2014","66 +","","","","",""
"4 Ganz unwichtig","2014","17-34","","","","",""
"4 Ganz unwichtig","2014","35-65","","","","",""
"4 Ganz unwichtig","2014","66 +","","","","",""
"1 Sehr wichtig","2015","17-34","","","","",""
"1 Sehr wichtig","2015","35-65","","","","",""
"1 Sehr wichtig","2015","66 +","","","","",""
"2 Wichtig","2015","17-34","","","","",""
"2 Wichtig","2015","35-65","","","","",""
"2 Wichtig","2015","66 +","","","","",""
"3 Weniger wichtig","2015","17-34","","","","",""
"3 Weniger wichtig","2015","35-65","","","","",""
"3 Weniger wichtig","2015","66 +","","","","",""
"4 Ganz unwichtig","2015","17-34","","","","",""
"4 Ganz unwichtig","2015","35-65","","","","",""
"4 Ganz unwichtig","2015","66 +","","","","",""
"1 Sehr wichtig","2016","17-34","2506","0.383868511264556","0.371101402579764","0.396635619949348",""
"1 Sehr wichtig","2016","35-65","8327","0.510973716831934","0.50263779282691","0.519309640836957",""
"1 Sehr wichtig","2016","66 +","2291","0.467162242063163","0.452725548120036","0.481598936006291",""
"2 Wichtig","2016","17-34","1794","0.33455531962002","0.322168649903218","0.346941989336823",""
"2 Wichtig","2016","35-65","3905","0.293198730758715","0.285607397304428","0.300790064213001",""
"2 Wichtig","2016","66 +","1791","0.400708162598239","0.386528377064491","0.414887948131988",""
"3 Weniger wichtig","2016","17-34","940","0.207908198170281","0.197254799601064","0.218561596739497",""
"3 Weniger wichtig","2016","35-65","975","0.116331355888494","0.11098470924726","0.121678002529729",""
"3 Weniger wichtig","2016","66 +","270","0.0681704186947847","0.0608774791462444","0.075463358243325",""
"4 Ganz unwichtig","2016","17-34","334","0.0736679709451433","0.0668101316589221","0.0805258102313645",""
"4 Ganz unwichtig","2016","35-65","607","0.0794961965208573","0.0749851808680601","0.0840072121736546",""
"4 Ganz unwichtig","2016","66 +","236","0.0639591766438128","0.0568791447584743","0.0710392085291513",""
