"plh0110","year","sampreg","n","percent","lower_confidence","upper_confidence","NA"
"2 Wichtig","1993","Westdeutschland","","","","",""
"2 Wichtig","1993","Ostdeutschland","","","","",""
"3 Weniger wichtig","1993","Westdeutschland","","","","",""
"3 Weniger wichtig","1993","Ostdeutschland","","","","",""
"4 Ganz unwichtig","1993","Westdeutschland","","","","",""
"4 Ganz unwichtig","1993","Ostdeutschland","","","","",""
"1 Sehr wichtig","1994","Westdeutschland","","","","",""
"1 Sehr wichtig","1994","Ostdeutschland","","","","",""
"2 Wichtig","1994","Westdeutschland","","","","",""
"2 Wichtig","1994","Ostdeutschland","","","","",""
"3 Weniger wichtig","1994","Westdeutschland","","","","",""
"3 Weniger wichtig","1994","Ostdeutschland","","","","",""
"4 Ganz unwichtig","1994","Westdeutschland","","","","",""
"4 Ganz unwichtig","1994","Ostdeutschland","","","","",""
"1 Sehr wichtig","1995","Westdeutschland","3388","0.423560518036586","0.412340968915359","0.434780067157813",""
"1 Sehr wichtig","1995","Ostdeutschland","1845","0.488923692536989","0.472635337560338","0.505212047513639",""
"2 Wichtig","1995","Westdeutschland","2587","0.35660700132123","0.345730883406517","0.367483119235943",""
"2 Wichtig","1995","Ostdeutschland","1213","0.344255531634061","0.328773726695051","0.359737336573072",""
"3 Weniger wichtig","1995","Westdeutschland","1017","0.144385869227201","0.13640514820947","0.152366590244933",""
"3 Weniger wichtig","1995","Ostdeutschland","367","0.100226742827938","0.0904414875796292","0.110011998076246",""
"4 Ganz unwichtig","1995","Westdeutschland","459","0.0754466114149827","0.0694497132220164","0.081443509607949",""
"4 Ganz unwichtig","1995","Ostdeutschland","193","0.0665940330010123","0.0584700921130875","0.0747179738889371",""
"1 Sehr wichtig","1996","Westdeutschland","","","","",""
"1 Sehr wichtig","1996","Ostdeutschland","","","","",""
"2 Wichtig","1996","Westdeutschland","","","","",""
"2 Wichtig","1996","Ostdeutschland","","","","",""
"3 Weniger wichtig","1996","Westdeutschland","","","","",""
"3 Weniger wichtig","1996","Ostdeutschland","","","","",""
"4 Ganz unwichtig","1996","Westdeutschland","","","","",""
"4 Ganz unwichtig","1996","Ostdeutschland","","","","",""
"1 Sehr wichtig","1997","Westdeutschland","","","","",""
"1 Sehr wichtig","1997","Ostdeutschland","","","","",""
"2 Wichtig","1997","Westdeutschland","","","","",""
"2 Wichtig","1997","Ostdeutschland","","","","",""
"3 Weniger wichtig","1997","Westdeutschland","","","","",""
"3 Weniger wichtig","1997","Ostdeutschland","","","","",""
"4 Ganz unwichtig","1997","Westdeutschland","","","","",""
"4 Ganz unwichtig","1997","Ostdeutschland","","","","",""
"1 Sehr wichtig","1998","Westdeutschland","","","","",""
"1 Sehr wichtig","1998","Ostdeutschland","","","","",""
"2 Wichtig","1998","Westdeutschland","","","","",""
"2 Wichtig","1998","Ostdeutschland","","","","",""
"3 Weniger wichtig","1998","Westdeutschland","","","","",""
"3 Weniger wichtig","1998","Ostdeutschland","","","","",""
"4 Ganz unwichtig","1998","Westdeutschland","","","","",""
"4 Ganz unwichtig","1998","Ostdeutschland","","","","",""
"1 Sehr wichtig","1999","Westdeutschland","","","","",""
"1 Sehr wichtig","1999","Ostdeutschland","","","","",""
"2 Wichtig","1999","Westdeutschland","","","","",""
"2 Wichtig","1999","Ostdeutschland","","","","",""
"3 Weniger wichtig","1999","Westdeutschland","","","","",""
"3 Weniger wichtig","1999","Ostdeutschland","","","","",""
"4 Ganz unwichtig","1999","Westdeutschland","","","","",""
"4 Ganz unwichtig","1999","Ostdeutschland","","","","",""
"1 Sehr wichtig","2000","Westdeutschland","","","","",""
"1 Sehr wichtig","2000","Ostdeutschland","","","","",""
"2 Wichtig","2000","Westdeutschland","","","","",""
"2 Wichtig","2000","Ostdeutschland","","","","",""
"3 Weniger wichtig","2000","Westdeutschland","","","","",""
"3 Weniger wichtig","2000","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2000","Westdeutschland","","","","",""
"4 Ganz unwichtig","2000","Ostdeutschland","","","","",""
"1 Sehr wichtig","2001","Westdeutschland","","","","",""
"1 Sehr wichtig","2001","Ostdeutschland","","","","",""
"2 Wichtig","2001","Westdeutschland","","","","",""
"2 Wichtig","2001","Ostdeutschland","","","","",""
"3 Weniger wichtig","2001","Westdeutschland","","","","",""
"3 Weniger wichtig","2001","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2001","Westdeutschland","","","","",""
"4 Ganz unwichtig","2001","Ostdeutschland","","","","",""
"1 Sehr wichtig","2002","Westdeutschland","","","","",""
"1 Sehr wichtig","2002","Ostdeutschland","","","","",""
"2 Wichtig","2002","Westdeutschland","","","","",""
"2 Wichtig","2002","Ostdeutschland","","","","",""
"3 Weniger wichtig","2002","Westdeutschland","","","","",""
"3 Weniger wichtig","2002","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2002","Westdeutschland","","","","",""
"4 Ganz unwichtig","2002","Ostdeutschland","","","","",""
"1 Sehr wichtig","2003","Westdeutschland","","","","",""
"1 Sehr wichtig","2003","Ostdeutschland","","","","",""
"2 Wichtig","2003","Westdeutschland","","","","",""
"2 Wichtig","2003","Ostdeutschland","","","","",""
"3 Weniger wichtig","2003","Westdeutschland","","","","",""
"3 Weniger wichtig","2003","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2003","Westdeutschland","","","","",""
"4 Ganz unwichtig","2003","Ostdeutschland","","","","",""
"1 Sehr wichtig","2004","Westdeutschland","7298","0.419186728204117","0.411554736051102","0.426818720357132",""
"1 Sehr wichtig","2004","Ostdeutschland","2312","0.426298681291977","0.412749973731637","0.439847388852318",""
"2 Wichtig","2004","Westdeutschland","5590","0.362616243958523","0.355180233182894","0.370052254734152",""
"2 Wichtig","2004","Ostdeutschland","1865","0.370723215564698","0.357490660896491","0.383955770232904",""
"3 Weniger wichtig","2004","Westdeutschland","2180","0.143068768309927","0.137652984842273","0.148484551777581",""
"3 Weniger wichtig","2004","Ostdeutschland","647","0.132294337769114","0.123012055000526","0.141576620537701",""
"4 Ganz unwichtig","2004","Westdeutschland","989","0.0751282595274327","0.0710510943518311","0.0792054247030343",""
"4 Ganz unwichtig","2004","Ostdeutschland","294","0.0706837653742114","0.0636621093483197","0.077705421400103",""
"1 Sehr wichtig","2005","Westdeutschland","","","","",""
"1 Sehr wichtig","2005","Ostdeutschland","","","","",""
"2 Wichtig","2005","Westdeutschland","","","","",""
"2 Wichtig","2005","Ostdeutschland","","","","",""
"3 Weniger wichtig","2005","Westdeutschland","","","","",""
"3 Weniger wichtig","2005","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2005","Westdeutschland","","","","",""
"4 Ganz unwichtig","2005","Ostdeutschland","","","","",""
"1 Sehr wichtig","2006","Westdeutschland","","","","",""
"1 Sehr wichtig","2006","Ostdeutschland","","","","",""
"2 Wichtig","2006","Westdeutschland","","","","",""
"2 Wichtig","2006","Ostdeutschland","","","","",""
"3 Weniger wichtig","2006","Westdeutschland","","","","",""
"3 Weniger wichtig","2006","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2006","Westdeutschland","","","","",""
"4 Ganz unwichtig","2006","Ostdeutschland","","","","",""
"1 Sehr wichtig","2007","Westdeutschland","","","","",""
"1 Sehr wichtig","2007","Ostdeutschland","","","","",""
"2 Wichtig","2007","Westdeutschland","","","","",""
"2 Wichtig","2007","Ostdeutschland","","","","",""
"3 Weniger wichtig","2007","Westdeutschland","","","","",""
"3 Weniger wichtig","2007","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2007","Westdeutschland","","","","",""
"4 Ganz unwichtig","2007","Ostdeutschland","","","","",""
"1 Sehr wichtig","2008","Westdeutschland","6749","0.434039513931678","0.425929997410639","0.442149030452716",""
"1 Sehr wichtig","2008","Ostdeutschland","2273","0.444984239264112","0.430749242955336","0.459219235572889",""
"2 Wichtig","2008","Westdeutschland","4938","0.345208062459682","0.337428961642068","0.352987163277296",""
"2 Wichtig","2008","Ostdeutschland","1697","0.368806957972943","0.354986798938103","0.382627117007783",""
"3 Weniger wichtig","2008","Westdeutschland","1782","0.143076583993847","0.137347402772679","0.148805765215015",""
"3 Weniger wichtig","2008","Ostdeutschland","478","0.122517200465498","0.113125370426173","0.131909030504823",""
"4 Ganz unwichtig","2008","Westdeutschland","880","0.0776758396147936","0.0732963646910018","0.0820553145385854",""
"4 Ganz unwichtig","2008","Ostdeutschland","234","0.0636916022974463","0.0566966793814012","0.0706865252134914",""
"1 Sehr wichtig","2009","Westdeutschland","","","","",""
"1 Sehr wichtig","2009","Ostdeutschland","","","","",""
"2 Wichtig","2009","Westdeutschland","","","","",""
"2 Wichtig","2009","Ostdeutschland","","","","",""
"3 Weniger wichtig","2009","Westdeutschland","","","","",""
"3 Weniger wichtig","2009","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2009","Westdeutschland","","","","",""
"4 Ganz unwichtig","2009","Ostdeutschland","","","","",""
"1 Sehr wichtig","2010","Westdeutschland","4189","0.670984727611696","0.659058133166679","0.682911322056713",""
"1 Sehr wichtig","2010","Ostdeutschland","935","0.666175066114149","0.640963371998848","0.691386760229451",""
"2 Wichtig","2010","Westdeutschland","1571","0.281116491339409","0.26970546973876","0.292527512940059",""
"2 Wichtig","2010","Ostdeutschland","365","0.289483284156737","0.265236879329604","0.313729688983869",""
"3 Weniger wichtig","2010","Westdeutschland","178","0.0408037227441679","0.0357819651915379","0.0458254802967979",""
"3 Weniger wichtig","2010","Ostdeutschland","36","0.0383012126479929","0.028040577311691","0.0485618479842948",""
"4 Ganz unwichtig","2010","Westdeutschland","24","","","",""
"4 Ganz unwichtig","2010","Ostdeutschland","8","","","",""
"1 Sehr wichtig","2011","Westdeutschland","","","","",""
"1 Sehr wichtig","2011","Ostdeutschland","","","","",""
"2 Wichtig","2011","Westdeutschland","","","","",""
"2 Wichtig","2011","Ostdeutschland","","","","",""
"3 Weniger wichtig","2011","Westdeutschland","","","","",""
"3 Weniger wichtig","2011","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2011","Westdeutschland","","","","",""
"4 Ganz unwichtig","2011","Ostdeutschland","","","","",""
"1 Sehr wichtig","2012","Westdeutschland","11029","0.434300280734154","0.427625102019493","0.440975459448814",""
"1 Sehr wichtig","2012","Ostdeutschland","3230","0.436730182803557","0.424275490934333","0.449184874672781",""
"2 Wichtig","2012","Westdeutschland","7079","0.35236980692776","0.345936448489833","0.358803165365688",""
"2 Wichtig","2012","Ostdeutschland","2103","0.379373773259611","0.367189016669901","0.391558529849321",""
"3 Weniger wichtig","2012","Westdeutschland","2016","0.134221869160821","0.129631053992451","0.138812684329191",""
"3 Weniger wichtig","2012","Ostdeutschland","499","0.118042516545086","0.109940162838394","0.126144870251777",""
"4 Ganz unwichtig","2012","Westdeutschland","1057","0.0791080431772651","0.0754731678315941","0.082742918522936",""
"4 Ganz unwichtig","2012","Ostdeutschland","260","0.065853527391746","0.0596252900493503","0.0720817647341418",""
"1 Sehr wichtig","2013","Westdeutschland","","","","",""
"1 Sehr wichtig","2013","Ostdeutschland","","","","",""
"2 Wichtig","2013","Westdeutschland","","","","",""
"2 Wichtig","2013","Ostdeutschland","","","","",""
"3 Weniger wichtig","2013","Westdeutschland","","","","",""
"3 Weniger wichtig","2013","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2013","Westdeutschland","","","","",""
"4 Ganz unwichtig","2013","Ostdeutschland","","","","",""
"1 Sehr wichtig","2014","Westdeutschland","","","","",""
"1 Sehr wichtig","2014","Ostdeutschland","","","","",""
"2 Wichtig","2014","Westdeutschland","","","","",""
"2 Wichtig","2014","Ostdeutschland","","","","",""
"3 Weniger wichtig","2014","Westdeutschland","","","","",""
"3 Weniger wichtig","2014","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2014","Westdeutschland","","","","",""
"4 Ganz unwichtig","2014","Ostdeutschland","","","","",""
"1 Sehr wichtig","2015","Westdeutschland","","","","",""
"1 Sehr wichtig","2015","Ostdeutschland","","","","",""
"2 Wichtig","2015","Westdeutschland","","","","",""
"2 Wichtig","2015","Ostdeutschland","","","","",""
"3 Weniger wichtig","2015","Westdeutschland","","","","",""
"3 Weniger wichtig","2015","Ostdeutschland","","","","",""
"4 Ganz unwichtig","2015","Westdeutschland","","","","",""
"4 Ganz unwichtig","2015","Ostdeutschland","","","","",""
"1 Sehr wichtig","2016","Westdeutschland","10330","0.465169348736016","0.458077269950122","0.47226142752191",""
"1 Sehr wichtig","2016","Ostdeutschland","2794","0.493831687776193","0.479938928771035","0.50772444678135",""
"2 Wichtig","2016","Westdeutschland","5904","0.327644017444634","0.320970410567621","0.334317624321647",""
"2 Wichtig","2016","Ostdeutschland","1586","0.333066290215996","0.319969700482116","0.346162879949876",""
"3 Weniger wichtig","2016","Westdeutschland","1801","0.130029188901092","0.125246935005661","0.134811442796522",""
"3 Weniger wichtig","2016","Ostdeutschland","384","0.111450917216499","0.102706435311101","0.120195399121896",""
"4 Ganz unwichtig","2016","Westdeutschland","966","0.0771574449182581","0.0733633115982897","0.0809515782382264",""
"4 Ganz unwichtig","2016","Ostdeutschland","211","0.0616511047913128","0.0549676016921252","0.0683346078905004",""
