"plh0110","year","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"1 Sehr wichtig","1991","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1991","Thueringen","","","",""
"2 Wichtig","1991","Schleswig-Holstein","","","",""
"2 Wichtig","1991","Hamburg","","","",""
"2 Wichtig","1991","Niedersachsen","","","",""
"2 Wichtig","1991","Bremen","","","",""
"2 Wichtig","1991","Nordrhein-Westfalen","","","",""
"2 Wichtig","1991","Hessen","","","",""
"2 Wichtig","1991","Rheinland-Pfalz,Saarland","","","",""
"2 Wichtig","1991","Baden-Wuerttemberg","","","",""
"2 Wichtig","1991","Bayern","","","",""
"2 Wichtig","1991","Saarland","","","",""
"2 Wichtig","1991","Berlin","","","",""
"2 Wichtig","1991","Brandenburg","","","",""
"2 Wichtig","1991","Mecklenburg-Vorpommern","","","",""
"2 Wichtig","1991","Sachsen","","","",""
"2 Wichtig","1991","Sachsen-Anhalt","","","",""
"2 Wichtig","1991","Thueringen","","","",""
"3 Weniger wichtig","1991","Schleswig-Holstein","","","",""
"3 Weniger wichtig","1991","Hamburg","","","",""
"3 Weniger wichtig","1991","Niedersachsen","","","",""
"3 Weniger wichtig","1991","Bremen","","","",""
"3 Weniger wichtig","1991","Nordrhein-Westfalen","","","",""
"3 Weniger wichtig","1991","Hessen","","","",""
"3 Weniger wichtig","1991","Rheinland-Pfalz,Saarland","","","",""
"3 Weniger wichtig","1991","Baden-Wuerttemberg","","","",""
"3 Weniger wichtig","1991","Bayern","","","",""
"3 Weniger wichtig","1991","Saarland","","","",""
"3 Weniger wichtig","1991","Berlin","","","",""
"3 Weniger wichtig","1991","Brandenburg","","","",""
"3 Weniger wichtig","1991","Mecklenburg-Vorpommern","","","",""
"3 Weniger wichtig","1991","Sachsen","","","",""
"3 Weniger wichtig","1991","Sachsen-Anhalt","","","",""
"3 Weniger wichtig","1991","Thueringen","","","",""
"4 Ganz unwichtig","1991","Schleswig-Holstein","","","",""
"4 Ganz unwichtig","1991","Hamburg","","","",""
"4 Ganz unwichtig","1991","Niedersachsen","","","",""
"4 Ganz unwichtig","1991","Bremen","","","",""
"4 Ganz unwichtig","1991","Nordrhein-Westfalen","","","",""
"4 Ganz unwichtig","1991","Hessen","","","",""
"4 Ganz unwichtig","1991","Rheinland-Pfalz,Saarland","","","",""
"4 Ganz unwichtig","1991","Baden-Wuerttemberg","","","",""
"4 Ganz unwichtig","1991","Bayern","","","",""
"4 Ganz unwichtig","1991","Saarland","","","",""
"4 Ganz unwichtig","1991","Berlin","","","",""
"4 Ganz unwichtig","1991","Brandenburg","","","",""
"4 Ganz unwichtig","1991","Mecklenburg-Vorpommern","","","",""
"4 Ganz unwichtig","1991","Sachsen","","","",""
"4 Ganz unwichtig","1991","Sachsen-Anhalt","","","",""
"4 Ganz unwichtig","1991","Thueringen","","","",""
"1 Sehr wichtig","1992","Schleswig-Holstein","119","0.493652973602228","0.430400504843162","0.556905442361294"
"1 Sehr wichtig","1992","Hamburg","31","0.24403053537024","0.164485460878141","0.323575609862339"
"1 Sehr wichtig","1992","Niedersachsen","362","0.41042107588326","0.37697590790739","0.443866243859131"
"1 Sehr wichtig","1992","Bremen","42","0.49221618940025","0.38655481937238","0.597877559428119"
"1 Sehr wichtig","1992","Nordrhein-Westfalen","800","0.39746122722759","0.375292791314706","0.419629663140475"
"1 Sehr wichtig","1992","Hessen","267","0.392083085742221","0.354464096904693","0.429702074579748"
"1 Sehr wichtig","1992","Rheinland-Pfalz,Saarland","227","0.381606689490461","0.340672156545823","0.422541222435098"
"1 Sehr wichtig","1992","Baden-Wuerttemberg","492","0.421418587611812","0.392091209842555","0.450745965381069"
"1 Sehr wichtig","1992","Bayern","536","0.381717072769396","0.355288411521769","0.408145734017023"
"1 Sehr wichtig","1992","Saarland","","","",""
"1 Sehr wichtig","1992","Berlin","214","0.347425371727977","0.305308781558534","0.38954196189742"
"1 Sehr wichtig","1992","Brandenburg","346","0.489148242765168","0.450480548896349","0.527815936633986"
"1 Sehr wichtig","1992","Mecklenburg-Vorpommern","253","0.568443464806319","0.52038382658285","0.616503103029789"
"1 Sehr wichtig","1992","Sachsen","602","0.488527217560371","0.459510297599664","0.517544137521078"
"1 Sehr wichtig","1992","Sachsen-Anhalt","384","0.464783300793998","0.429300549378298","0.500266052209698"
"1 Sehr wichtig","1992","Thueringen","393","0.535141864820054","0.497515619191732","0.572768110448376"
"2 Wichtig","1992","Schleswig-Holstein","76","0.315103114120713","0.256329633125496","0.373876595115931"
"2 Wichtig","1992","Hamburg","49","0.410781537082798","0.319668041041571","0.501895033124025"
"2 Wichtig","1992","Niedersachsen","289","0.360159995319842","0.327521433778519","0.392798556861165"
"2 Wichtig","1992","Bremen","30","0.345952216796459","0.245418517518109","0.446485916074809"
"2 Wichtig","1992","Nordrhein-Westfalen","704","0.390747012051362","0.368644489844802","0.412849534257922"
"2 Wichtig","1992","Hessen","232","0.369262458338059","0.332075738696864","0.406449177979253"
"2 Wichtig","1992","Rheinland-Pfalz,Saarland","217","0.420497060692992","0.378900371784618","0.462093749601367"
"2 Wichtig","1992","Baden-Wuerttemberg","373","0.353951044926976","0.325549728874953","0.382352360978999"
"2 Wichtig","1992","Bayern","473","0.376509882495571","0.350151805528048","0.402867959463094"
"2 Wichtig","1992","Saarland","","","",""
"2 Wichtig","1992","Berlin","161","0.350914805979546","0.308700559396495","0.393129052562597"
"2 Wichtig","1992","Brandenburg","197","0.322740436517196","0.286575738650082","0.358905134384311"
"2 Wichtig","1992","Mecklenburg-Vorpommern","110","0.308815056233873","0.263985506467329","0.353644606000417"
"2 Wichtig","1992","Sachsen","353","0.319284130614819","0.292221670745565","0.346346590484073"
"2 Wichtig","1992","Sachsen-Anhalt","255","0.357611843759114","0.323513607735257","0.391710079782972"
"2 Wichtig","1992","Thueringen","183","0.282821185785175","0.248845682407182","0.316796689163167"
"3 Weniger wichtig","1992","Schleswig-Holstein","29","","",""
"3 Weniger wichtig","1992","Hamburg","17","","",""
"3 Weniger wichtig","1992","Niedersachsen","128","0.15967222087672","0.1347672165039","0.184577225249539"
"3 Weniger wichtig","1992","Bremen","4","","",""
"3 Weniger wichtig","1992","Nordrhein-Westfalen","258","0.144656816398161","0.128722449249413","0.160591183546908"
"3 Weniger wichtig","1992","Hessen","93","0.136893956114672","0.11040772485057","0.163380187378775"
"3 Weniger wichtig","1992","Rheinland-Pfalz,Saarland","69","0.134504193763733","0.105753398952908","0.163254988574558"
"3 Weniger wichtig","1992","Baden-Wuerttemberg","163","0.15341712767368","0.132012591871611","0.174821663475749"
"3 Weniger wichtig","1992","Bayern","188","0.150432183705484","0.130983950627837","0.169880416783131"
"3 Weniger wichtig","1992","Saarland","","","",""
"3 Weniger wichtig","1992","Berlin","74","0.175112523798814","0.141495187121837","0.208729860475792"
"3 Weniger wichtig","1992","Brandenburg","67","0.124728697598024","0.0991702121049552","0.150287183091092"
"3 Weniger wichtig","1992","Mecklenburg-Vorpommern","36","0.0932076611392947","0.0649980086747817","0.121417313603808"
"3 Weniger wichtig","1992","Sachsen","100","0.0956189708337485","0.0785485817633818","0.112689359904115"
"3 Weniger wichtig","1992","Sachsen-Anhalt","77","0.112878012377387","0.0903655214098006","0.135390503344974"
"3 Weniger wichtig","1992","Thueringen","48","0.0725554768353905","0.0529861775427618","0.0921247761280192"
"4 Ganz unwichtig","1992","Schleswig-Holstein","16","","",""
"4 Ganz unwichtig","1992","Hamburg","15","","",""
"4 Ganz unwichtig","1992","Niedersachsen","52","0.0697467079201779","0.0524282171018651","0.0870651987384908"
"4 Ganz unwichtig","1992","Bremen","10","","",""
"4 Ganz unwichtig","1992","Nordrhein-Westfalen","110","0.0671349443228872","0.0557984467886142","0.0784714418571602"
"4 Ganz unwichtig","1992","Hessen","55","0.101760499805048","0.0784644846034638","0.125056515006633"
"4 Ganz unwichtig","1992","Rheinland-Pfalz,Saarland","28","","",""
"4 Ganz unwichtig","1992","Baden-Wuerttemberg","61","0.0712132397875316","0.0559385453502276","0.0864879342248356"
"4 Ganz unwichtig","1992","Bayern","101","0.0913408610295488","0.0756681619588599","0.107013560100238"
"4 Ganz unwichtig","1992","Saarland","","","",""
"4 Ganz unwichtig","1992","Berlin","42","0.126547298493662","0.0971401116898211","0.155954485297503"
"4 Ganz unwichtig","1992","Brandenburg","32","0.0633826231196122","0.0445354253924837","0.0822298208467407"
"4 Ganz unwichtig","1992","Mecklenburg-Vorpommern","9","","",""
"4 Ganz unwichtig","1992","Sachsen","85","0.0965696809910616","0.0794236582896333","0.11371570369249"
"4 Ganz unwichtig","1992","Sachsen-Anhalt","43","0.0647268430695001","0.0472227888114321","0.0822308973275681"
"4 Ganz unwichtig","1992","Thueringen","51","0.109481472559381","0.0859262072903733","0.133036737828388"
"1 Sehr wichtig","1993","Schleswig-Holstein","","","",""
"1 Sehr wichtig","1993","Hamburg","","","",""
"1 Sehr wichtig","1993","Niedersachsen","","","",""
"1 Sehr wichtig","1993","Bremen","","","",""
"1 Sehr wichtig","1993","Nordrhein-Westfalen","","","",""
"1 Sehr wichtig","1993","Hessen","","","",""
"1 Sehr wichtig","1993","Rheinland-Pfalz,Saarland","","","",""
"1 Sehr wichtig","1993","Baden-Wuerttemberg","","","",""
"1 Sehr wichtig","1993","Bayern","","","",""
"1 Sehr wichtig","1993","Saarland","","","",""
"1 Sehr wichtig","1993","Berlin","","","",""
"1 Sehr wichtig","1993","Brandenburg","","","",""
"1 Sehr wichtig","1993","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1993","Sachsen","","","",""
"1 Sehr wichtig","1993","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1993","Thueringen","","","",""
"2 Wichtig","1993","Schleswig-Holstein","","","",""
"2 Wichtig","1993","Hamburg","","","",""
"2 Wichtig","1993","Niedersachsen","","","",""
"2 Wichtig","1993","Bremen","","","",""
"2 Wichtig","1993","Nordrhein-Westfalen","","","",""
"2 Wichtig","1993","Hessen","","","",""
"2 Wichtig","1993","Rheinland-Pfalz,Saarland","","","",""
"2 Wichtig","1993","Baden-Wuerttemberg","","","",""
"2 Wichtig","1993","Bayern","","","",""
"2 Wichtig","1993","Saarland","","","",""
"2 Wichtig","1993","Berlin","","","",""
"2 Wichtig","1993","Brandenburg","","","",""
"2 Wichtig","1993","Mecklenburg-Vorpommern","","","",""
"2 Wichtig","1993","Sachsen","","","",""
"2 Wichtig","1993","Sachsen-Anhalt","","","",""
"2 Wichtig","1993","Thueringen","","","",""
"3 Weniger wichtig","1993","Schleswig-Holstein","","","",""
"3 Weniger wichtig","1993","Hamburg","","","",""
"3 Weniger wichtig","1993","Niedersachsen","","","",""
"3 Weniger wichtig","1993","Bremen","","","",""
"3 Weniger wichtig","1993","Nordrhein-Westfalen","","","",""
"3 Weniger wichtig","1993","Hessen","","","",""
"3 Weniger wichtig","1993","Rheinland-Pfalz,Saarland","","","",""
"3 Weniger wichtig","1993","Baden-Wuerttemberg","","","",""
"3 Weniger wichtig","1993","Bayern","","","",""
"3 Weniger wichtig","1993","Saarland","","","",""
"3 Weniger wichtig","1993","Berlin","","","",""
"3 Weniger wichtig","1993","Brandenburg","","","",""
"3 Weniger wichtig","1993","Mecklenburg-Vorpommern","","","",""
"3 Weniger wichtig","1993","Sachsen","","","",""
"3 Weniger wichtig","1993","Sachsen-Anhalt","","","",""
"3 Weniger wichtig","1993","Thueringen","","","",""
"4 Ganz unwichtig","1993","Schleswig-Holstein","","","",""
"4 Ganz unwichtig","1993","Hamburg","","","",""
"4 Ganz unwichtig","1993","Niedersachsen","","","",""
"4 Ganz unwichtig","1993","Bremen","","","",""
"4 Ganz unwichtig","1993","Nordrhein-Westfalen","","","",""
"4 Ganz unwichtig","1993","Hessen","","","",""
"4 Ganz unwichtig","1993","Rheinland-Pfalz,Saarland","","","",""
"4 Ganz unwichtig","1993","Baden-Wuerttemberg","","","",""
"4 Ganz unwichtig","1993","Bayern","","","",""
"4 Ganz unwichtig","1993","Saarland","","","",""
"4 Ganz unwichtig","1993","Berlin","","","",""
"4 Ganz unwichtig","1993","Brandenburg","","","",""
"4 Ganz unwichtig","1993","Mecklenburg-Vorpommern","","","",""
"4 Ganz unwichtig","1993","Sachsen","","","",""
"4 Ganz unwichtig","1993","Sachsen-Anhalt","","","",""
"4 Ganz unwichtig","1993","Thueringen","","","",""
"1 Sehr wichtig","1994","Schleswig-Holstein","","","",""
"1 Sehr wichtig","1994","Hamburg","","","",""
"1 Sehr wichtig","1994","Niedersachsen","","","",""
"1 Sehr wichtig","1994","Bremen","","","",""
"1 Sehr wichtig","1994","Nordrhein-Westfalen","","","",""
"1 Sehr wichtig","1994","Hessen","","","",""
"1 Sehr wichtig","1994","Rheinland-Pfalz,Saarland","","","",""
"1 Sehr wichtig","1994","Baden-Wuerttemberg","","","",""
"1 Sehr wichtig","1994","Bayern","","","",""
"1 Sehr wichtig","1994","Saarland","","","",""
"1 Sehr wichtig","1994","Berlin","","","",""
"1 Sehr wichtig","1994","Brandenburg","","","",""
"1 Sehr wichtig","1994","Mecklenburg-Vorpommern","","","",""
"1 Sehr wichtig","1994","Sachsen","","","",""
"1 Sehr wichtig","1994","Sachsen-Anhalt","","","",""
"1 Sehr wichtig","1994","Thueringen","","","",""
"2 Wichtig","1994","Schleswig-Holstein","","","",""
"2 Wichtig","1994","Hamburg","","","",""
"2 Wichtig","1994","Niedersachsen","","","",""
"2 Wichtig","1994","Bremen","","","",""
"2 Wichtig","1994","Nordrhein-Westfalen","","","",""
"2 Wichtig","1994","Hessen","","","",""
"2 Wichtig","1994","Rheinland-Pfalz,Saarland","","","",""
"2 Wichtig","1994","Baden-Wuerttemberg","","","",""
"2 Wichtig","1994","Bayern","","","",""
"2 Wichtig","1994","Saarland","","","",""
"2 Wichtig","1994","Berlin","","","",""
"2 Wichtig","1994","Brandenburg","","","",""
"2 Wichtig","1994","Mecklenburg-Vorpommern","","","",""
"2 Wichtig","1994","Sachsen","","","",""
"2 Wichtig","1994","Sachsen-Anhalt","","","",""
"2 Wichtig","1994","Thueringen","","","",""
"3 Weniger wichtig","1994","Schleswig-Holstein","","","",""
"3 Weniger wichtig","1994","Hamburg","","","",""
"3 Weniger wichtig","1994","Niedersachsen","","","",""
"3 Weniger wichtig","1994","Bremen","","","",""
"3 Weniger wichtig","1994","Nordrhein-Westfalen","","","",""
"3 Weniger wichtig","1994","Hessen","","","",""
"3 Weniger wichtig","1994","Rheinland-Pfalz,Saarland","","","",""
"3 Weniger wichtig","1994","Baden-Wuerttemberg","","","",""
"3 Weniger wichtig","1994","Bayern","","","",""
"3 Weniger wichtig","1994","Saarland","","","",""
"3 Weniger wichtig","1994","Berlin","","","",""
"3 Weniger wichtig","1994","Brandenburg","","","",""
"3 Weniger wichtig","1994","Mecklenburg-Vorpommern","","","",""
"3 Weniger wichtig","1994","Sachsen","","","",""
"3 Weniger wichtig","1994","Sachsen-Anhalt","","","",""
"3 Weniger wichtig","1994","Thueringen","","","",""
"4 Ganz unwichtig","1994","Schleswig-Holstein","","","",""
"4 Ganz unwichtig","1994","Hamburg","","","",""
"4 Ganz unwichtig","1994","Niedersachsen","","","",""
"4 Ganz unwichtig","1994","Bremen","","","",""
"4 Ganz unwichtig","1994","Nordrhein-Westfalen","","","",""
"4 Ganz unwichtig","1994","Hessen","","","",""
"4 Ganz unwichtig","1994","Rheinland-Pfalz,Saarland","","","",""
"4 Ganz unwichtig","1994","Baden-Wuerttemberg","","","",""
"4 Ganz unwichtig","1994","Bayern","","","",""
"4 Ganz unwichtig","1994","Saarland","","","",""
"4 Ganz unwichtig","1994","Berlin","","","",""
"4 Ganz unwichtig","1994","Brandenburg","","","",""
"4 Ganz unwichtig","1994","Mecklenburg-Vorpommern","","","",""
"4 Ganz unwichtig","1994","Sachsen","","","",""
"4 Ganz unwichtig","1994","Sachsen-Anhalt","","","",""
"4 Ganz unwichtig","1994","Thueringen","","","",""
"1 Sehr wichtig","1995","Schleswig-Holstein","133","0.500890621236377","0.43987970411364","0.561901538359114"
"1 Sehr wichtig","1995","Hamburg","33","0.306245851891639","0.21722999382936","0.395261709953919"
"1 Sehr wichtig","1995","Niedersachsen","429","0.427811035839982","0.395523079847481","0.460098991832484"
"1 Sehr wichtig","1995","Bremen","33","0.366473011193396","0.261540723719645","0.471405298667148"
"1 Sehr wichtig","1995","Nordrhein-Westfalen","922","0.428770960779904","0.407108453415095","0.450433468144714"
"1 Sehr wichtig","1995","Hessen","310","0.448170207461788","0.410901519518211","0.485438895405365"
"1 Sehr wichtig","1995","Rheinland-Pfalz,Saarland","284","0.407647676378849","0.369030062806761","0.446265289950937"
"1 Sehr wichtig","1995","Baden-Wuerttemberg","532","0.442248390339853","0.413826521460056","0.47067025921965"
"1 Sehr wichtig","1995","Bayern","619","0.402368991715359","0.376421233100121","0.428316750330598"
"1 Sehr wichtig","1995","Saarland","","","",""
"1 Sehr wichtig","1995","Berlin","227","0.410380335627136","0.367046738404259","0.453713932850014"
"1 Sehr wichtig","1995","Brandenburg","269","0.459620802992168","0.418956874420721","0.500284731563615"
"1 Sehr wichtig","1995","Mecklenburg-Vorpommern","207","0.492735603986585","0.444283727682182","0.541187480290987"
"1 Sehr wichtig","1995","Sachsen","542","0.495098494181456","0.465084857270714","0.525112131092197"
"1 Sehr wichtig","1995","Sachsen-Anhalt","345","0.478895549429926","0.441293108668282","0.516497990191569"
"1 Sehr wichtig","1995","Thueringen","348","0.498334243828691","0.459717757830425","0.536950729826957"
"2 Wichtig","1995","Schleswig-Holstein","89","0.34529630824463","0.287279130252936","0.403313486236324"
"2 Wichtig","1995","Hamburg","41","0.359477049501699","0.266808490315414","0.452145608687983"
"2 Wichtig","1995","Niedersachsen","312","0.384531508704933","0.352783703982624","0.416279313427241"
"2 Wichtig","1995","Bremen","29","","",""
"2 Wichtig","1995","Nordrhein-Westfalen","720","0.370231010163361","0.349095246966356","0.391366773360367"
"2 Wichtig","1995","Hessen","235","0.340999625476668","0.305474156332444","0.376525094620891"
"2 Wichtig","1995","Rheinland-Pfalz,Saarland","237","0.378230149780976","0.340119548516641","0.416340751045311"
"2 Wichtig","1995","Baden-Wuerttemberg","384","0.327716608131479","0.300855464329449","0.35457775193351"
"2 Wichtig","1995","Bayern","450","0.348388635711634","0.323177213221254","0.373600058202014"
"2 Wichtig","1995","Saarland","","","",""
"2 Wichtig","1995","Berlin","151","0.304764542407806","0.264214280161179","0.345314804654433"
"2 Wichtig","1995","Brandenburg","204","0.35319609959288","0.314197011782016","0.392195187403743"
"2 Wichtig","1995","Mecklenburg-Vorpommern","145","0.36917741513294","0.322408465518062","0.415946364747818"
"2 Wichtig","1995","Sachsen","355","0.336851492275019","0.308479219612945","0.365223764937093"
"2 Wichtig","1995","Sachsen-Anhalt","227","0.35708496565797","0.321019145090543","0.393150786225397"
"2 Wichtig","1995","Thueringen","221","0.364166238599451","0.327001867355733","0.401330609843168"
"3 Weniger wichtig","1995","Schleswig-Holstein","24","","",""
"3 Weniger wichtig","1995","Hamburg","19","","",""
"3 Weniger wichtig","1995","Niedersachsen","123","0.136366034440343","0.113970430165868","0.158761638714818"
"3 Weniger wichtig","1995","Bremen","9","","",""
"3 Weniger wichtig","1995","Nordrhein-Westfalen","262","0.142705437894358","0.127395402373964","0.158015473414752"
"3 Weniger wichtig","1995","Hessen","95","0.143415802360284","0.117149219762983","0.169682384957585"
"3 Weniger wichtig","1995","Rheinland-Pfalz,Saarland","69","0.13163544901334","0.105065521396289","0.15820537663039"
"3 Weniger wichtig","1995","Baden-Wuerttemberg","179","0.15433927593329","0.133664757876013","0.175013793990566"
"3 Weniger wichtig","1995","Bayern","200","0.155301708358459","0.136136658218106","0.174466758498811"
"3 Weniger wichtig","1995","Saarland","","","",""
"3 Weniger wichtig","1995","Berlin","63","0.140918277322386","0.110267154106684","0.171569400538087"
"3 Weniger wichtig","1995","Brandenburg","75","0.131985737320075","0.104368062197388","0.159603412442762"
"3 Weniger wichtig","1995","Mecklenburg-Vorpommern","37","0.0794239223574932","0.0532184528570548","0.105629391857932"
"3 Weniger wichtig","1995","Sachsen","114","0.103065638001766","0.08481379317422","0.121317482829313"
"3 Weniger wichtig","1995","Sachsen-Anhalt","69","0.0950242711974779","0.0729508838900134","0.117097658504942"
"3 Weniger wichtig","1995","Thueringen","46","0.0787522518662447","0.0579493046331345","0.0995551990993549"
"4 Ganz unwichtig","1995","Schleswig-Holstein","12","","",""
"4 Ganz unwichtig","1995","Hamburg","10","","",""
"4 Ganz unwichtig","1995","Niedersachsen","38","0.0512914210147421","0.0368956940255603","0.0656871480039238"
"4 Ganz unwichtig","1995","Bremen","10","","",""
"4 Ganz unwichtig","1995","Nordrhein-Westfalen","101","0.0582925911623762","0.0480371209757154","0.0685480613490369"
"4 Ganz unwichtig","1995","Hessen","44","0.0674143647012602","0.0486237657233706","0.0862049636791497"
"4 Ganz unwichtig","1995","Rheinland-Pfalz,Saarland","32","0.0824867248268359","0.0608669529555767","0.104106496698095"
"4 Ganz unwichtig","1995","Baden-Wuerttemberg","78","0.0756957255953778","0.0605586407976975","0.0908328103930582"
"4 Ganz unwichtig","1995","Bayern","103","0.0939406642145483","0.0785031927295121","0.109378135699585"
"4 Ganz unwichtig","1995","Saarland","","","",""
"4 Ganz unwichtig","1995","Berlin","54","0.143936844642672","0.113013647918118","0.174860041367226"
"4 Ganz unwichtig","1995","Brandenburg","29","","",""
"4 Ganz unwichtig","1995","Mecklenburg-Vorpommern","20","","",""
"4 Ganz unwichtig","1995","Sachsen","55","0.0649843755417588","0.050187044230032","0.0797817068534857"
"4 Ganz unwichtig","1995","Sachsen-Anhalt","37","0.0689952137146267","0.0499178357969766","0.0880725916322768"
"4 Ganz unwichtig","1995","Thueringen","29","","",""
