year,hhtyp,regtyp,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Single parent,Urban regions,No,0.89609,456,518,0.86979,0.92240
2011,Single parent,Rural regions,Yes,0.11602,37,266,0.07746,0.15458
2011,Single parent,Rural regions,No,0.88398,229,266,0.84542,0.92254
2011,Couple with children,Urban regions,Yes,0.14835,345,2087,0.13310,0.16361
2011,Couple with children,Urban regions,No,0.85165,1742,2087,0.83639,0.86690
2011,Couple with children,Rural regions,Yes,0.19991,242,1153,0.17682,0.22301
2011,Couple with children,Rural regions,No,0.80009,911,1153,0.77699,0.82318
2011,Multi-generational household,Urban regions,No,0.89773,42,42,0.80498,0.99048
2011,Multi-generational household,Rural regions,No,0.93195,33,33,0.84469,1.01921
2011,Other Combinations,Urban regions,No,0.92816,56,56,0.85991,0.99640
2011,Other Combinations,Rural regions,No,0.93061,32,32,0.84115,1.02007
2016,Single-person household,Urban regions,No,0.99260,2295,2295,0.98909,0.99611
2016,Single-person household,Rural regions,No,0.98153,1046,1046,0.97337,0.98969
2016,Couple without children,Urban regions,Yes,0.01414,36,2567,0.00957,0.01870
2016,Couple without children,Urban regions,No,0.98586,2531,2567,0.98130,0.99043
2016,Couple without children,Rural regions,Yes,0.03206,47,1529,0.02322,0.04089
2016,Couple without children,Rural regions,No,0.96794,1482,1529,0.95911,0.97678
2016,Single parent,Urban regions,Yes,0.05081,40,992,0.03714,0.06449
2016,Single parent,Urban regions,No,0.94919,952,992,0.93551,0.96286
2016,Single parent,Rural regions,No,0.95050,505,505,0.93156,0.96943
2016,Couple with children,Urban regions,Yes,0.03638,132,3297,0.02999,0.04277
2016,Couple with children,Urban regions,No,0.96362,3165,3297,0.95723,0.97001
2016,Couple with children,Rural regions,Yes,0.06714,105,1693,0.05521,0.07906
2016,Couple with children,Rural regions,No,0.93286,1588,1693,0.92094,0.94479
2016,Multi-generational household,Urban regions,No,0.92700,60,60,0.86062,0.99338
2016,Multi-generational household,Rural regions,No,0.97584,43,43,0.92941,1.02228
2016,Other Combinations,Urban regions,No,0.98771,136,136,0.96913,1.00630
2016,Other Combinations,Rural regions,No,0.99098,57,57,0.96623,1.01574
2021,Single-person household,Urban regions,No,0.99106,2225,2225,0.98715,0.99497
2021,Single-person household,Rural regions,No,0.98308,919,919,0.97474,0.99142
2021,Couple without children,Urban regions,Yes,0.01823,51,2217,0.01266,0.02380
2021,Couple without children,Urban regions,No,0.98177,2166,2217,0.97620,0.98734
2021,Couple without children,Rural regions,Yes,0.03898,41,1197,0.02801,0.04995
2021,Couple without children,Rural regions,No,0.96102,1156,1197,0.95005,0.97199
2021,Single parent,Urban regions,No,0.95968,547,547,0.94318,0.97618
2021,Single parent,Rural regions,No,0.92378,296,296,0.89350,0.95406
2021,Couple with children,Urban regions,Yes,0.05442,111,2101,0.04472,0.06413
2021,Couple with children,Urban regions,No,0.94558,1990,2101,0.93587,0.95528
2021,Couple with children,Rural regions,Yes,0.06887,85,1061,0.05363,0.08412
2021,Couple with children,Rural regions,No,0.93113,976,1061,0.91588,0.94637
2021,Other Combinations,Urban regions,No,0.97134,183,183,0.94710,0.99558
2021,Other Combinations,Rural regions,No,0.91958,71,71,0.85587,0.98328
