year,hhtyp,quintil_oecd_hh,pet_other,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Couple without children,5th Quintile,No,0.95160,1349,1416,0.94042,0.96278
2011,Single parent,1st Quintile,Yes,0.05345,43,323,0.02889,0.07802
2011,Single parent,1st Quintile,No,0.37901,280,323,0.32602,0.43200
2011,Single parent,2nd Quintile,No,0.44477,149,149,0.36471,0.52483
2011,Single parent,3rd Quintile,No,0.56275,124,124,0.47509,0.65042
2011,Single parent,4th Quintile,No,0.60411,81,81,0.49694,0.71127
2011,Single parent,5th Quintile,No,0.60453,51,51,0.46899,0.74006
2011,Couple with children,1st Quintile,Yes,0.08383,69,405,0.05681,0.11086
2011,Couple with children,1st Quintile,No,0.49173,336,405,0.44298,0.54048
2011,Couple with children,2nd Quintile,Yes,0.10121,97,584,0.07673,0.12569
2011,Couple with children,2nd Quintile,No,0.62859,487,584,0.58937,0.66782
2011,Couple with children,3rd Quintile,Yes,0.15797,155,734,0.13157,0.18437
2011,Couple with children,3rd Quintile,No,0.66527,579,734,0.63110,0.69943
2011,Couple with children,4th Quintile,Yes,0.15449,154,800,0.12943,0.17955
2011,Couple with children,4th Quintile,No,0.71581,646,800,0.68454,0.74709
2011,Couple with children,5th Quintile,Yes,0.13181,112,717,0.10703,0.15658
2011,Couple with children,5th Quintile,No,0.73807,605,717,0.70587,0.77028
2016,Single-person household,1st Quintile,No,0.96909,978,978,0.95824,0.97994
2016,Single-person household,2nd Quintile,No,0.98863,718,718,0.98087,0.99639
2016,Single-person household,3rd Quintile,No,0.98367,623,623,0.97370,0.99363
2016,Single-person household,4th Quintile,No,0.98802,542,542,0.97885,0.99719
2016,Single-person household,5th Quintile,No,0.99587,476,476,0.99011,1.00164
2016,Couple without children,1st Quintile,No,0.97954,424,424,0.96605,0.99303
2016,Couple without children,2nd Quintile,No,0.97673,692,692,0.96549,0.98797
2016,Couple without children,3rd Quintile,No,0.96676,741,741,0.95385,0.97968
2016,Couple without children,4th Quintile,No,0.98407,910,910,0.97593,0.99221
2016,Couple without children,5th Quintile,No,0.98272,1246,1246,0.97548,0.98996
2016,Single parent,1st Quintile,Yes,0.06172,34,653,0.04325,0.08019
2016,Single parent,1st Quintile,No,0.92200,619,653,0.90142,0.94259
2016,Single parent,2nd Quintile,No,0.95649,389,389,0.93619,0.97679
2016,Single parent,3rd Quintile,No,0.95518,223,223,0.92796,0.98240
2016,Single parent,4th Quintile,No,0.96039,145,145,0.92853,0.99224
2016,Single parent,5th Quintile,No,0.96290,81,81,0.92148,1.00432
2016,Couple with children,1st Quintile,Yes,0.03798,45,926,0.02566,0.05030
2016,Couple with children,1st Quintile,No,0.90863,881,926,0.89006,0.92720
2016,Couple with children,2nd Quintile,Yes,0.05527,61,1112,0.04183,0.06871
2016,Couple with children,2nd Quintile,No,0.94473,1051,1112,0.93129,0.95817
2016,Couple with children,3rd Quintile,Yes,0.03449,47,1057,0.02348,0.04550
2016,Couple with children,3rd Quintile,No,0.96551,1010,1057,0.95450,0.97652
2016,Couple with children,4th Quintile,Yes,0.05384,49,993,0.03979,0.06789
2016,Couple with children,4th Quintile,No,0.94616,944,993,0.93211,0.96021
2016,Couple with children,5th Quintile,Yes,0.04419,35,901,0.03076,0.05762
2016,Couple with children,5th Quintile,No,0.95581,866,901,0.94238,0.96924
2016,Multi-generational household,1st Quintile,No,0.96621,35,35,0.90548,1.02695
2016,Multi-generational household,2nd Quintile,No,0.94263,34,34,0.86329,1.02198
2016,Other Combinations,1st Quintile,No,0.78037,58,58,0.67289,0.88784
2016,Other Combinations,3rd Quintile,No,0.99343,38,38,0.96739,1.01947
2021,Single-person household,1st Quintile,No,0.96640,924,924,0.95477,0.97802
2021,Single-person household,2nd Quintile,No,0.97136,615,615,0.95816,0.98455
2021,Single-person household,3rd Quintile,No,0.99019,548,548,0.98193,0.99845
2021,Single-person household,4th Quintile,No,0.99167,504,504,0.98373,0.99961
2021,Single-person household,5th Quintile,No,0.98621,538,538,0.97634,0.99607
2021,Couple without children,1st Quintile,No,0.96961,330,330,0.95106,0.98816
2021,Couple without children,2nd Quintile,No,0.98259,548,548,0.97163,0.99355
2021,Couple without children,3rd Quintile,No,0.97114,550,550,0.95714,0.98515
2021,Couple without children,4th Quintile,No,0.97052,679,679,0.95779,0.98325
2021,Couple without children,5th Quintile,Yes,0.02770,37,1250,0.01860,0.03680
2021,Couple without children,5th Quintile,No,0.97228,1213,1250,0.96317,0.98138
2021,Single parent,1st Quintile,No,0.92969,262,262,0.89867,0.96071
2021,Single parent,2nd Quintile,No,0.93619,262,262,0.90654,0.96584
2021,Single parent,3rd Quintile,No,0.94189,132,132,0.90183,0.98196
2021,Single parent,4th Quintile,No,0.92035,114,114,0.87043,0.97027
2021,Single parent,5th Quintile,No,0.92114,72,72,0.85845,0.98383
2021,Couple with children,1st Quintile,No,0.81796,389,389,0.77957,0.85636
2021,Couple with children,2nd Quintile,Yes,0.03413,33,631,0.01995,0.04830
2021,Couple with children,2nd Quintile,No,0.95469,598,631,0.93845,0.97093
2021,Couple with children,3rd Quintile,Yes,0.07307,54,688,0.05361,0.09253
2021,Couple with children,3rd Quintile,No,0.92488,634,688,0.90517,0.94459
2021,Couple with children,4th Quintile,Yes,0.09488,51,669,0.07265,0.11710
2021,Couple with children,4th Quintile,No,0.90361,618,669,0.88123,0.92599
2021,Couple with children,5th Quintile,Yes,0.03695,42,769,0.02361,0.05029
2021,Couple with children,5th Quintile,No,0.95381,727,769,0.93896,0.96865
2021,Other Combinations,1st Quintile,No,0.83678,52,52,0.73535,0.93821
2021,Other Combinations,2nd Quintile,No,0.98813,53,53,0.95869,1.01757
2021,Other Combinations,3rd Quintile,No,0.94279,47,47,0.87567,1.00990
2021,Other Combinations,4th Quintile,No,0.99976,52,52,0.99549,1.00402
2021,Other Combinations,5th Quintile,No,0.87026,50,50,0.77618,0.96435
