,Unnamed: 0,year,hhtyp,sampreg,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
69,69,2016,Single parent,East,No,0.9105,305,14198,0.81213,1.02509
70,70,2016,Couple with children,West,Yes,0.07051,301,14198,0.0595,0.08057
71,71,2016,Couple with children,West,No,0.92949,3868,14198,0.89192,0.96782
72,72,2016,Couple with children,East,Yes,0.12307,99,14198,0.09359,0.15397
73,73,2016,Couple with children,East,No,0.87693,722,14198,0.79372,0.9711
74,74,2016,Multi-generational household,West,No,1.0,79,14198,0.73007,1.32152
75,75,2016,Other Combinations,West,No,1.0,163,14198,0.8329,1.19463
76,76,2021,Single-person household,West,No,1.0,2453,10854,0.95279,1.04122
77,77,2021,Single-person household,East,No,1.0,691,10854,0.9285,1.07106
78,78,2021,Couple without children,West,Yes,0.02621,82,10854,0.01919,0.03418
79,79,2021,Couple without children,West,No,0.97379,2501,10854,0.93259,1.01817
80,80,2021,Couple without children,East,Yes,0.04099,39,10854,0.02962,0.05444
81,81,2021,Couple without children,East,No,0.95901,776,10854,0.8772,1.04236
82,82,2021,Single parent,West,Yes,0.05106,39,10854,0.03392,0.07015
83,83,2021,Single parent,West,No,0.94894,616,10854,0.8502,1.04784
84,84,2021,Single parent,East,No,1.0,221,10854,0.84431,1.1612
85,85,2021,Couple with children,West,Yes,0.06137,160,10854,0.04952,0.07582
86,86,2021,Couple with children,West,No,0.93863,2434,10854,0.89992,0.99237
87,87,2021,Couple with children,East,Yes,0.10117,60,10854,0.07553,0.13531
88,88,2021,Couple with children,East,No,0.89883,485,10854,0.77384,1.02929
89,89,2021,Multi-generational household,West,No,1.0,56,10854,0.67042,1.42167
90,90,2021,Other Combinations,West,No,1.0,202,10854,0.81996,1.15542
91,91,2021,Other Combinations,East,No,1.0,39,10854,0.65208,1.487
