year,hhtyp,quintil_oecd_hh,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Couple without children,3rd Quintile,Yes,0.05896,47,770,0.04231,0.07560
2006,Couple without children,3rd Quintile,No,0.94104,723,770,0.92440,0.95769
2006,Couple without children,4th Quintile,Yes,0.06662,56,834,0.04968,0.08355
2006,Couple without children,4th Quintile,No,0.93338,778,834,0.91645,0.95032
2006,Couple without children,5th Quintile,Yes,0.05530,80,1463,0.04358,0.06702
2006,Couple without children,5th Quintile,No,0.94470,1383,1463,0.93298,0.95642
2006,Single parent,1st Quintile,No,0.94037,316,316,0.91422,0.96652
2006,Single parent,2nd Quintile,No,0.98352,152,152,0.96321,1.00383
2006,Single parent,3rd Quintile,No,0.95271,115,115,0.91374,0.99167
2006,Single parent,4th Quintile,No,0.96484,91,91,0.92679,1.00289
2006,Single parent,5th Quintile,No,0.92766,58,58,0.86041,0.99491
2006,Couple with children,1st Quintile,Yes,0.08992,46,459,0.06372,0.11612
2006,Couple with children,1st Quintile,No,0.91008,413,459,0.88388,0.93628
2006,Couple with children,2nd Quintile,Yes,0.11025,86,709,0.08718,0.13332
2006,Couple with children,2nd Quintile,No,0.88975,623,709,0.86668,0.91282
2006,Couple with children,3rd Quintile,Yes,0.15355,124,857,0.12940,0.17770
2006,Couple with children,3rd Quintile,No,0.84645,733,857,0.82230,0.87060
2006,Couple with children,4th Quintile,Yes,0.11448,97,920,0.09390,0.13507
2006,Couple with children,4th Quintile,No,0.88552,823,920,0.86493,0.90610
2006,Couple with children,5th Quintile,Yes,0.07089,67,892,0.05404,0.08774
2006,Couple with children,5th Quintile,No,0.92911,825,892,0.91226,0.94596
2006,Other Combinations,5th Quintile,No,0.95587,33,33,0.88472,1.02703
2011,Single-person household,1st Quintile,No,0.98359,999,999,0.97571,0.99147
2011,Single-person household,2nd Quintile,No,0.98697,714,714,0.97865,0.99530
2011,Single-person household,3rd Quintile,No,0.96840,637,637,0.95480,0.98199
2011,Single-person household,4th Quintile,No,0.96626,528,528,0.95084,0.98167
2011,Single-person household,5th Quintile,No,0.97624,547,547,0.96346,0.98901
2011,Couple without children,1st Quintile,No,0.97789,458,458,0.96441,0.99137
2011,Couple without children,2nd Quintile,Yes,0.04309,34,721,0.02826,0.05793
2011,Couple without children,2nd Quintile,No,0.95691,687,721,0.94207,0.97174
2011,Couple without children,3rd Quintile,Yes,0.05684,48,804,0.04083,0.07286
2011,Couple without children,3rd Quintile,No,0.94316,756,804,0.92714,0.95917
2011,Couple without children,4th Quintile,Yes,0.05292,55,955,0.03872,0.06713
2011,Couple without children,4th Quintile,No,0.94708,900,955,0.93287,0.96128
2011,Couple without children,5th Quintile,Yes,0.05490,79,1416,0.04303,0.06677
2011,Couple without children,5th Quintile,No,0.94510,1337,1416,0.93323,0.95697
2011,Single parent,1st Quintile,No,0.93924,302,302,0.91225,0.96623
2011,Single parent,2nd Quintile,No,0.97303,168,168,0.94846,0.99760
2011,Single parent,3rd Quintile,No,0.94545,131,131,0.90641,0.98449
2011,Single parent,4th Quintile,No,0.97040,88,88,0.93479,1.00602
2011,Single parent,5th Quintile,No,0.93175,55,55,0.86450,0.99901
2011,Couple with children,1st Quintile,Yes,0.07698,45,405,0.05098,0.10297
2011,Couple with children,1st Quintile,No,0.92302,360,405,0.89703,0.94902
2011,Couple with children,2nd Quintile,Yes,0.10714,69,584,0.08203,0.13225
2011,Couple with children,2nd Quintile,No,0.89286,515,584,0.86775,0.91797
2011,Couple with children,3rd Quintile,Yes,0.10899,82,734,0.08643,0.13154
2011,Couple with children,3rd Quintile,No,0.89101,652,734,0.86846,0.91357
2011,Couple with children,4th Quintile,Yes,0.11132,93,800,0.08951,0.13313
2011,Couple with children,4th Quintile,No,0.88868,707,800,0.86687,0.91049
2011,Couple with children,5th Quintile,Yes,0.11288,74,717,0.08970,0.13606
2011,Couple with children,5th Quintile,No,0.88712,643,717,0.86394,0.91030
2016,Single-person household,1st Quintile,No,0.98967,979,979,0.98334,0.99601
2016,Single-person household,2nd Quintile,No,0.98550,717,717,0.97674,0.99425
2016,Single-person household,3rd Quintile,No,0.98398,625,625,0.97413,0.99383
2016,Single-person household,4th Quintile,No,0.97575,543,543,0.96280,0.98870
2016,Single-person household,5th Quintile,No,0.99510,477,477,0.98882,1.00137
2016,Couple without children,1st Quintile,No,0.97001,421,421,0.95370,0.98632
2016,Couple without children,2nd Quintile,No,0.97138,682,682,0.95886,0.98390
2016,Couple without children,3rd Quintile,Yes,0.03889,31,760,0.02514,0.05265
2016,Couple without children,3rd Quintile,No,0.96111,729,760,0.94735,0.97486
2016,Couple without children,4th Quintile,Yes,0.03433,41,928,0.02261,0.04606
2016,Couple without children,4th Quintile,No,0.96567,887,928,0.95394,0.97739
2016,Couple without children,5th Quintile,Yes,0.03567,46,1264,0.02545,0.04590
2016,Couple without children,5th Quintile,No,0.96433,1218,1264,0.95410,0.97455
2016,Single parent,1st Quintile,No,0.96427,623,623,0.94968,0.97886
2016,Single parent,2nd Quintile,No,0.95962,384,384,0.93991,0.97934
2016,Single parent,3rd Quintile,No,0.95113,220,220,0.92258,0.97968
2016,Single parent,4th Quintile,No,0.96919,146,146,0.94106,0.99731
2016,Single parent,5th Quintile,No,0.94683,78,78,0.89671,0.99694
2016,Couple with children,1st Quintile,Yes,0.08536,70,926,0.06735,0.10336
2016,Couple with children,1st Quintile,No,0.91464,856,926,0.89664,0.93265
2016,Couple with children,2nd Quintile,Yes,0.07064,87,1112,0.05557,0.08571
2016,Couple with children,2nd Quintile,No,0.92936,1025,1112,0.91429,0.94443
2016,Couple with children,3rd Quintile,Yes,0.09452,96,1057,0.07688,0.11217
2016,Couple with children,3rd Quintile,No,0.90548,961,1057,0.88783,0.92312
2016,Couple with children,4th Quintile,Yes,0.06867,73,993,0.05293,0.08441
2016,Couple with children,4th Quintile,No,0.93133,920,993,0.91559,0.94707
2016,Couple with children,5th Quintile,Yes,0.07104,74,901,0.05426,0.08782
2016,Couple with children,5th Quintile,No,0.92896,827,901,0.91218,0.94574
2016,Multi-generational household,1st Quintile,No,0.87226,32,32,0.75475,0.98976
2016,Multi-generational household,2nd Quintile,No,0.92155,35,35,0.83117,1.01193
2016,Other Combinations,1st Quintile,No,0.99167,58,58,0.96808,1.01526
2016,Other Combinations,2nd Quintile,No,0.98362,46,46,0.94653,1.02071
2016,Other Combinations,3rd Quintile,No,0.95474,38,38,0.88776,1.02172
2021,Single-person household,1st Quintile,No,0.99502,927,927,0.99048,0.99955
2021,Single-person household,2nd Quintile,No,0.99214,615,615,0.98516,0.99913
2021,Single-person household,3rd Quintile,No,0.97551,546,546,0.96253,0.98849
2021,Single-person household,4th Quintile,No,0.98487,505,505,0.97421,0.99553
2021,Single-person household,5th Quintile,No,0.96930,530,530,0.95460,0.98400
2021,Couple without children,1st Quintile,No,0.99900,336,336,0.99562,1.00238
2021,Couple without children,2nd Quintile,No,0.96278,536,536,0.94673,0.97882
2021,Couple without children,3rd Quintile,No,0.97043,544,544,0.95618,0.98468
2021,Couple without children,4th Quintile,No,0.97988,680,680,0.96931,0.99044
2021,Couple without children,5th Quintile,Yes,0.03825,56,1250,0.02761,0.04889
2021,Couple without children,5th Quintile,No,0.96175,1194,1250,0.95111,0.97239
2021,Single parent,1st Quintile,No,0.94074,257,257,0.91182,0.96967
2021,Single parent,2nd Quintile,No,0.90777,257,257,0.87233,0.94322
2021,Single parent,3rd Quintile,No,0.96749,137,137,0.93769,0.99730
2021,Single parent,4th Quintile,No,0.94517,113,113,0.90301,0.98733
2021,Single parent,5th Quintile,No,0.96966,74,74,0.93031,1.00901
2021,Couple with children,1st Quintile,No,0.96011,387,387,0.94058,0.97963
2021,Couple with children,2nd Quintile,Yes,0.07858,59,631,0.05757,0.09960
2021,Couple with children,2nd Quintile,No,0.92142,572,631,0.90040,0.94243
2021,Couple with children,3rd Quintile,Yes,0.09555,53,688,0.07357,0.11754
2021,Couple with children,3rd Quintile,No,0.90445,635,688,0.88246,0.92643
2021,Couple with children,4th Quintile,Yes,0.06493,47,669,0.04624,0.08361
2021,Couple with children,4th Quintile,No,0.93507,622,669,0.91639,0.95376
2021,Couple with children,5th Quintile,Yes,0.03727,45,769,0.02388,0.05067
2021,Couple with children,5th Quintile,No,0.96273,724,769,0.94933,0.97612
2021,Other Combinations,1st Quintile,No,0.96981,53,53,0.92330,1.01632
2021,Other Combinations,2nd Quintile,No,0.94811,50,50,0.88601,1.01022
2021,Other Combinations,4th Quintile,No,0.99705,51,51,0.98202,1.01208
2021,Other Combinations,5th Quintile,No,0.96922,48,48,0.91984,1.01860
