,Unnamed: 0,year,hhtyp,regtyp,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
38,38,2006,Couple without children,Urban regions,No,0.94971,2631,12212,0.91614,0.97358
39,39,2006,Couple without children,Rural regions,Yes,0.06046,79,12212,0.04839,0.07436
40,40,2006,Couple without children,Rural regions,No,0.93954,1299,12212,0.90002,0.97597
41,41,2006,Single parent,Urban regions,No,1.0,476,12212,0.92868,1.06682
42,42,2006,Single parent,Rural regions,No,1.0,256,12212,0.91739,1.08009
43,43,2006,Couple with children,Urban regions,Yes,0.10036,246,12212,0.08976,0.11155
44,44,2006,Couple with children,Urban regions,No,0.89964,2243,12212,0.86266,0.9284
45,45,2006,Couple with children,Rural regions,Yes,0.1358,174,12212,0.11998,0.15365
46,46,2006,Couple with children,Rural regions,No,0.8642,1174,12212,0.83187,0.90499
47,47,2006,Multi-generational household,Urban regions,No,1.0,55,12212,0.75991,1.25831
48,48,2006,Multi-generational household,Rural regions,No,1.0,40,12212,0.78574,1.25955
49,49,2006,Other Combinations,Urban regions,No,1.0,66,12212,0.8229,1.26189
50,50,2006,Other Combinations,Rural regions,No,1.0,36,12212,0.72067,1.27728
51,51,2011,Single-person household,Urban regions,Yes,0.02187,54,12009,0.01806,0.02561
52,52,2011,Single-person household,Urban regions,No,0.97813,2334,12009,0.95487,1.00139
53,53,2011,Single-person household,Rural regions,No,1.0,1094,12009,0.96183,1.0396
54,54,2011,Couple without children,Urban regions,Yes,0.04866,141,12009,0.04121,0.05679
55,55,2011,Couple without children,Urban regions,No,0.95134,2625,12009,0.92231,0.98286
56,56,2011,Couple without children,Rural regions,Yes,0.0499,92,12009,0.04255,0.05921
57,57,2011,Couple without children,Rural regions,No,0.9501,1513,12009,0.90976,1.00182
58,58,2011,Single parent,Urban regions,No,1.0,494,12009,0.9038,1.08675
59,59,2011,Single parent,Rural regions,No,1.0,250,12009,0.87466,1.12872
60,60,2011,Couple with children,Urban regions,Yes,0.10188,222,12009,0.08768,0.12288
61,61,2011,Couple with children,Urban regions,No,0.89812,1860,12009,0.86185,0.93773
62,62,2011,Couple with children,Rural regions,Yes,0.11983,141,12009,0.10055,0.14291
63,63,2011,Couple with children,Rural regions,No,0.88017,1017,12009,0.81363,0.93731
64,64,2011,Multi-generational household,Urban regions,No,1.0,43,12009,0.73668,1.46411
65,65,2011,Multi-generational household,Rural regions,No,1.0,36,12009,0.74778,1.35213
66,66,2011,Other Combinations,Urban regions,No,1.0,60,12009,0.77876,1.27189
67,67,2011,Other Combinations,Rural regions,No,1.0,33,12009,0.73786,1.40432
68,68,2016,Single-person household,Urban regions,No,1.0,2297,14248,0.96955,1.02552
69,69,2016,Single-person household,Rural regions,No,1.0,1048,14248,0.94591,1.05061
70,70,2016,Couple without children,Urban regions,Yes,0.03206,87,14248,0.02611,0.03956
71,71,2016,Couple without children,Urban regions,No,0.96794,2480,14248,0.92493,0.9979
72,72,2016,Couple without children,Rural regions,Yes,0.03823,73,14248,0.03142,0.04586
73,73,2016,Couple without children,Rural regions,No,0.96177,1457,14248,0.91253,1.006
74,74,2016,Single parent,Urban regions,Yes,0.03295,41,14248,0.02486,0.04205
75,75,2016,Single parent,Urban regions,No,0.96705,950,14248,0.90053,1.03017
76,76,2016,Single parent,Rural regions,Yes,0.05141,32,14248,0.03749,0.06845
77,77,2016,Single parent,Rural regions,No,0.94859,501,14248,0.85464,1.08132
78,78,2016,Couple with children,Urban regions,Yes,0.06083,226,14248,0.05131,0.07275
79,79,2016,Couple with children,Urban regions,No,0.93917,3063,14248,0.88728,0.97547
80,80,2016,Couple with children,Rural regions,Yes,0.11716,174,14248,0.09763,0.13908
81,81,2016,Couple with children,Rural regions,No,0.88284,1527,14248,0.81806,0.93762
82,82,2016,Multi-generational household,Urban regions,No,1.0,61,14248,0.73245,1.34939
83,83,2016,Multi-generational household,Rural regions,No,1.0,41,14248,0.57606,1.62824
84,84,2016,Other Combinations,Urban regions,No,1.0,133,14248,0.83827,1.14732
85,85,2016,Other Combinations,Rural regions,No,1.0,57,14248,0.74015,1.35528
86,86,2021,Single-person household,Urban regions,No,1.0,2222,10803,0.95698,1.03907
87,87,2021,Single-person household,Rural regions,No,1.0,921,10803,0.93957,1.06064
88,88,2021,Couple without children,Urban regions,Yes,0.02464,65,10803,0.01844,0.03053
89,89,2021,Couple without children,Urban regions,No,0.97536,2141,10803,0.92094,1.02326
90,90,2021,Couple without children,Rural regions,Yes,0.03777,56,10803,0.02689,0.04962
91,91,2021,Couple without children,Rural regions,No,0.96223,1136,10803,0.89249,1.02316
92,92,2021,Single parent,Urban regions,No,1.0,540,10803,0.90306,1.10701
93,93,2021,Single parent,Rural regions,No,1.0,297,10803,0.86805,1.1853
94,94,2021,Couple with children,Urban regions,Yes,0.04836,127,10803,0.04034,0.05808
95,95,2021,Couple with children,Urban regions,No,0.95164,1952,10803,0.89425,0.99934
96,96,2021,Couple with children,Rural regions,Yes,0.10641,93,10803,0.07829,0.13905
97,97,2021,Couple with children,Rural regions,No,0.89359,967,10803,0.80698,0.98101
98,98,2021,Multi-generational household,Urban regions,No,1.0,45,10803,0.64498,1.58313
99,99,2021,Other Combinations,Urban regions,No,1.0,166,10803,0.82954,1.20606
100,100,2021,Other Combinations,Rural regions,No,1.0,75,10803,0.76163,1.32193
