year,age_gr,sex,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,30-45 y.,female,Both equally,0.57213,548,981,0.54115,0.60311
2000,46-65 y.,male,Earn money,0.46444,112,227,0.39941,0.52946
2000,46-65 y.,male,Both equally,0.46915,115,227,0.40409,0.53422
2000,46-65 y.,female,Earn money,0.36558,116,310,0.31188,0.41927
2000,46-65 y.,female,Other reasons,0.16412,45,310,0.12282,0.20542
2000,46-65 y.,female,Both equally,0.47030,149,310,0.41465,0.52595
2001,17-29 y.,male,Earn money,0.43464,253,594,0.39474,0.47454
2001,17-29 y.,male,Both equally,0.53763,341,594,0.49750,0.57776
2001,17-29 y.,female,Earn money,0.39396,281,788,0.35982,0.42810
2001,17-29 y.,female,Other reasons,0.04652,31,788,0.03181,0.06124
2001,17-29 y.,female,Both equally,0.55952,476,788,0.52483,0.59420
2001,30-45 y.,male,Earn money,0.58081,148,251,0.51964,0.64197
2001,30-45 y.,male,Both equally,0.40066,103,251,0.33992,0.46141
2001,30-45 y.,female,Earn money,0.29346,254,836,0.26258,0.32435
2001,30-45 y.,female,Other reasons,0.08155,69,836,0.06299,0.10012
2001,30-45 y.,female,Both equally,0.62498,513,836,0.59215,0.65782
2001,46-65 y.,male,Earn money,0.41889,99,211,0.35216,0.48562
2001,46-65 y.,male,Both equally,0.54503,112,211,0.47768,0.61238
2001,46-65 y.,female,Earn money,0.36888,111,261,0.31023,0.42753
2001,46-65 y.,female,Both equally,0.53022,150,261,0.46956,0.59089
2003,17-29 y.,male,Earn money,0.45438,308,668,0.41660,0.49217
2003,17-29 y.,male,Both equally,0.51431,360,668,0.47638,0.55224
2003,17-29 y.,female,Earn money,0.39218,274,763,0.35752,0.42685
2003,17-29 y.,female,Other reasons,0.03927,34,763,0.02548,0.05306
2003,17-29 y.,female,Both equally,0.56855,455,763,0.53339,0.60372
2003,30-45 y.,male,Earn money,0.54127,177,313,0.48597,0.59656
2003,30-45 y.,male,Both equally,0.43680,136,313,0.38176,0.49183
2003,30-45 y.,female,Earn money,0.39899,280,741,0.36371,0.43427
2003,30-45 y.,female,Other reasons,0.04924,49,741,0.03365,0.06482
2003,30-45 y.,female,Both equally,0.55178,412,741,0.51594,0.58761
2003,46-65 y.,male,Earn money,0.53232,128,246,0.46984,0.59480
2003,46-65 y.,male,Both equally,0.44628,118,246,0.38403,0.50852
2003,46-65 y.,female,Earn money,0.38798,122,295,0.33228,0.44368
2003,46-65 y.,female,Both equally,0.53796,173,295,0.48097,0.59495
2005,17-29 y.,male,Earn money,0.41169,237,557,0.37078,0.45260
2005,17-29 y.,male,Both equally,0.56042,320,557,0.51916,0.60167
2005,17-29 y.,female,Earn money,0.35145,229,647,0.31464,0.38827
2005,17-29 y.,female,Both equally,0.61392,418,647,0.57638,0.65147
2005,30-45 y.,male,Earn money,0.58440,148,254,0.52367,0.64513
2005,30-45 y.,male,Both equally,0.41485,106,254,0.35414,0.47556
2005,30-45 y.,female,Earn money,0.35196,196,555,0.31219,0.39172
2005,30-45 y.,female,Other reasons,0.04508,32,555,0.02780,0.06235
2005,30-45 y.,female,Both equally,0.60297,327,555,0.56222,0.64371
2005,46-65 y.,male,Earn money,0.45275,102,216,0.38622,0.51929
2005,46-65 y.,male,Both equally,0.51234,114,216,0.44552,0.57915
2005,46-65 y.,female,Earn money,0.41925,118,268,0.36006,0.47843
2005,46-65 y.,female,Both equally,0.52477,150,268,0.46487,0.58467
2007,17-29 y.,male,Earn money,0.42493,230,521,0.38244,0.46742
2007,17-29 y.,male,Both equally,0.52347,291,521,0.48054,0.56640
2007,17-29 y.,female,Earn money,0.34699,235,663,0.31073,0.38325
2007,17-29 y.,female,Both equally,0.61479,428,663,0.57772,0.65187
2007,30-45 y.,male,Earn money,0.50809,93,180,0.43485,0.58133
2007,30-45 y.,male,Both equally,0.49145,87,180,0.41821,0.56469
2007,30-45 y.,female,Earn money,0.36090,197,584,0.32191,0.39988
2007,30-45 y.,female,Other reasons,0.06148,34,584,0.04198,0.08098
2007,30-45 y.,female,Both equally,0.57762,353,584,0.53753,0.61772
2007,46-65 y.,male,Earn money,0.42882,92,213,0.36220,0.49544
2007,46-65 y.,male,Both equally,0.54160,121,213,0.47452,0.60867
2007,46-65 y.,female,Earn money,0.43150,129,300,0.37536,0.48764
2007,46-65 y.,female,Both equally,0.52638,171,300,0.46978,0.58297
2009,17-29 y.,male,Earn money,0.41575,208,466,0.37095,0.46055
2009,17-29 y.,male,Both equally,0.54058,258,466,0.49528,0.58587
2009,17-29 y.,female,Earn money,0.44288,192,486,0.39867,0.48709
2009,17-29 y.,female,Both equally,0.53197,294,486,0.48757,0.57638
2009,30-45 y.,male,Earn money,0.62957,96,155,0.55330,0.70584
2009,30-45 y.,male,Both equally,0.34396,59,155,0.26893,0.41898
2009,30-45 y.,female,Earn money,0.39945,172,406,0.35175,0.44716
2009,30-45 y.,female,Both equally,0.52315,234,406,0.47450,0.57179
2009,46-65 y.,male,Earn money,0.47500,96,200,0.40562,0.54438
2009,46-65 y.,male,Both equally,0.49256,104,200,0.42310,0.56202
2009,46-65 y.,female,Earn money,0.44675,111,231,0.38250,0.51100
2009,46-65 y.,female,Both equally,0.49130,120,231,0.42669,0.55591
2011,17-29 y.,male,Earn money,0.45200,151,355,0.40015,0.50385
2011,17-29 y.,male,Both equally,0.52470,204,355,0.47267,0.57672
2011,17-29 y.,female,Earn money,0.30392,110,355,0.25600,0.35183
2011,17-29 y.,female,Both equally,0.66521,245,355,0.61605,0.71437
2011,30-45 y.,male,Earn money,0.44477,52,95,0.34431,0.54523
2011,30-45 y.,male,Both equally,0.42770,43,95,0.32768,0.52772
2011,30-45 y.,female,Earn money,0.46888,127,327,0.41471,0.52305
2011,30-45 y.,female,Both equally,0.46356,200,327,0.40942,0.51769
2011,46-65 y.,male,Earn money,0.48894,84,166,0.41267,0.56522
2011,46-65 y.,male,Both equally,0.49460,82,166,0.41831,0.57088
2011,46-65 y.,female,Earn money,0.42383,92,218,0.35808,0.48958
2011,46-65 y.,female,Both equally,0.47338,126,218,0.40695,0.53982
2013,17-29 y.,male,Earn money,0.38989,163,372,0.34026,0.43952
2013,17-29 y.,male,Both equally,0.55327,209,372,0.50268,0.60386
2013,17-29 y.,female,Earn money,0.36556,170,423,0.31961,0.41151
2013,17-29 y.,female,Both equally,0.53576,253,423,0.48818,0.58334
2013,30-45 y.,male,Earn money,0.49158,70,140,0.40847,0.57469
2013,30-45 y.,male,Both equally,0.46218,70,140,0.37930,0.54507
2013,30-45 y.,female,Earn money,0.33941,149,411,0.29357,0.38524
2013,30-45 y.,female,Other reasons,0.12402,37,411,0.09212,0.15593
2013,30-45 y.,female,Both equally,0.53657,225,411,0.48830,0.58484
2013,46-65 y.,male,Earn money,0.49049,100,203,0.42155,0.55943
2013,46-65 y.,male,Both equally,0.48189,103,203,0.41298,0.55080
2013,46-65 y.,female,Earn money,0.46694,125,312,0.41149,0.52239
2013,46-65 y.,female,Other reasons,0.12933,35,312,0.09203,0.16662
2013,46-65 y.,female,Both equally,0.40374,152,312,0.34920,0.45827
2017,17-29 y.,male,Earn money,0.37017,276,700,0.33437,0.40596
2017,17-29 y.,male,Other reasons,0.06778,54,700,0.04914,0.08641
2017,17-29 y.,male,Both equally,0.56206,370,700,0.52528,0.59884
2017,17-29 y.,female,Earn money,0.35104,284,787,0.31768,0.38441
2017,17-29 y.,female,Other reasons,0.05391,50,787,0.03812,0.06970
2017,17-29 y.,female,Both equally,0.59505,453,787,0.56073,0.62936
2017,30-45 y.,male,Earn money,0.38682,120,250,0.32633,0.44732
2017,30-45 y.,male,Both equally,0.57075,130,250,0.50927,0.63223
2017,30-45 y.,female,Earn money,0.36934,329,916,0.33806,0.40061
2017,30-45 y.,female,Other reasons,0.08858,85,916,0.07017,0.10699
2017,30-45 y.,female,Both equally,0.54209,502,916,0.50980,0.57437
2017,46-65 y.,male,Earn money,0.41205,108,237,0.34925,0.47485
2017,46-65 y.,male,Both equally,0.48682,129,237,0.42305,0.55059
2017,46-65 y.,female,Earn money,0.37451,157,432,0.32881,0.42020
2017,46-65 y.,female,Other reasons,0.13350,56,432,0.10139,0.16561
2017,46-65 y.,female,Both equally,0.49200,219,432,0.44480,0.53919
