"ple0040","year","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein","1997","Staedtischer Raum","7401","0.859563390648311","0.852094184489271","0.867032596807351"
"Nein","1997","Laendlicher Raum","4000","0.869965921647351","0.860066040996783","0.87986580229792"
"Ja","1998","Staedtischer Raum","1048","0.140088347630035","0.132988020970652","0.147188674289417"
"Ja","1998","Laendlicher Raum","495","0.125694542448214","0.116446489216702","0.134942595679725"
"Nein","1998","Staedtischer Raum","8131","0.859911652369965","0.852811325710583","0.867011979029348"
"Nein","1998","Laendlicher Raum","4441","0.874305457551786","0.865057404320275","0.883553510783298"
"Ja","1999","Staedtischer Raum","1016","0.142772355449868","0.135477116190536","0.150067594709199"
"Ja","1999","Laendlicher Raum","482","0.125700694687771","0.116326251159436","0.135075138216107"
"Nein","1999","Staedtischer Raum","7818","0.857227644550132","0.849932405290801","0.864522883809464"
"Nein","1999","Laendlicher Raum","4322","0.874299305312228","0.864924861783893","0.883673748840564"
"Ja","2000","Staedtischer Raum","1774","0.127729318995252","0.12249310273023","0.132965535260274"
"Ja","2000","Laendlicher Raum","844","0.114395354454448","0.10759357421359","0.121197134695306"
"Nein","2000","Staedtischer Raum","13836","0.872270681004748","0.867034464739726","0.87750689726977"
"Nein","2000","Laendlicher Raum","7568","0.885604645545552","0.878802865304694","0.89240642578641"
"Ja","2001","Staedtischer Raum","1634","0.129907010722682","0.124379821378866","0.135434200066498"
"Ja","2001","Laendlicher Raum","746","0.113379243958553","0.106258114804229","0.120500373112876"
"Nein","2001","Staedtischer Raum","12579","0.870092989277318","0.864565799933502","0.875620178621134"
"Nein","2001","Laendlicher Raum","6869","0.886620756041448","0.879499626887124","0.893741885195771"
"Ja","2002","Staedtischer Raum","1739","0.137725371449432","0.132238633359764","0.1432121095391"
"Ja","2002","Laendlicher Raum","807","0.123650272758014","0.116317202861804","0.130983342654224"
"Nein","2002","Staedtischer Raum","13415","0.862274628550568","0.8567878904609","0.867761366640236"
"Nein","2002","Laendlicher Raum","6934","0.876349727241986","0.869016657345776","0.883682797138196"
"Ja","2003","Staedtischer Raum","1692","0.135717295807384","0.130165293702158","0.141269297912609"
"Ja","2003","Laendlicher Raum","788","0.122575659431377","0.115120224524147","0.130031094338607"
"Nein","2003","Staedtischer Raum","12926","0.864282704192616","0.858730702087391","0.869834706297842"
"Nein","2003","Laendlicher Raum","6645","0.877424340568623","0.869968905661393","0.884879775475853"
"Ja","2004","Staedtischer Raum","1703","0.139368201041293","0.133683278422561","0.145053123660025"
"Ja","2004","Laendlicher Raum","797","0.128899973524434","0.121194652997872","0.136605294050997"
"Nein","2004","Staedtischer Raum","12554","0.860631798958707","0.854946876339975","0.866316721577439"
"Nein","2004","Laendlicher Raum","6468","0.871100026475566","0.863394705949003","0.878805347002128"
"Ja","2005","Staedtischer Raum","1658","0.135999566309246","0.130247776889301","0.141751355729192"
"Ja","2005","Laendlicher Raum","792","0.129386317214497","0.121482010803803","0.137290623625192"
"Nein","2005","Staedtischer Raum","11986","0.864000433690754","0.858248644270808","0.869752223110699"
"Nein","2005","Laendlicher Raum","6134","0.870613682785503","0.862709376374808","0.878517989196197"
"Ja","2006","Staedtischer Raum","1822","0.141872251932941","0.136166803966236","0.147577699899647"
"Ja","2006","Laendlicher Raum","887","0.130351162031187","0.122748012683811","0.137954311378562"
"Nein","2006","Staedtischer Raum","12545","0.858127748067059","0.852422300100353","0.863833196033765"
"Nein","2006","Laendlicher Raum","6646","0.869648837968813","0.862045688621437","0.877251987316189"
"Ja","2007","Staedtischer Raum","1703","0.14153950363128","0.135624528941716","0.147454478320844"
"Ja","2007","Laendlicher Raum","849","0.12992267748882","0.122086606336458","0.137758748641183"
"Nein","2007","Staedtischer Raum","11638","0.85846049636872","0.852545521679156","0.864375471058284"
"Nein","2007","Laendlicher Raum","6223","0.87007732251118","0.862241251358817","0.877913393663542"
"Ja","2008","Staedtischer Raum","1590","0.137426022196143","0.131409809609339","0.143442234782947"
"Ja","2008","Laendlicher Raum","817","0.133937444895838","0.125749764392161","0.142125125399516"
"Nein","2008","Staedtischer Raum","10991","0.862573977803857","0.856557765217053","0.868590190390661"
"Nein","2008","Laendlicher Raum","5830","0.866062555104161","0.857874874600484","0.874250235607839"
"Ja","2009","Staedtischer Raum","1514","0.140413627292326","0.134090333245654","0.146736921338998"
"Ja","2009","Laendlicher Raum","798","0.130664356368826","0.122366258598832","0.138962454138821"
"Nein","2009","Staedtischer Raum","10082","0.859586372707674","0.853263078661002","0.865909666754346"
"Nein","2009","Laendlicher Raum","5539","0.869335643631173","0.861037545861179","0.877633741401168"
"Ja","2010","Staedtischer Raum","1606","0.138603175075588","0.133173854649625","0.144032495501551"
"Ja","2010","Laendlicher Raum","835","0.135148998924537","0.127812479680344","0.142485518168731"
"Nein","2010","Staedtischer Raum","13953","0.861396824924412","0.855967504498449","0.866826145350375"
"Nein","2010","Laendlicher Raum","7507","0.864851001075463","0.857514481831269","0.872187520319656"
"Ja","2011","Staedtischer Raum","1969","0.138129540302128","0.133094183851887","0.143164896752369"
"Ja","2011","Laendlicher Raum","1113","0.133000404465571","0.126409780769614","0.139591028161527"
"Nein","2011","Staedtischer Raum","16068","0.861870459697872","0.856835103247631","0.866905816148113"
"Nein","2011","Laendlicher Raum","9085","0.866999595534429","0.860408971838473","0.873590219230386"
"Ja","2012","Staedtischer Raum","2047","0.142292000842466","0.137103149072826","0.147480852612105"
"Ja","2012","Laendlicher Raum","1204","0.144335235157965","0.137487967581873","0.151182502734056"
"Nein","2012","Staedtischer Raum","15366","0.857707999157534","0.852519147387895","0.862896850927174"
"Nein","2012","Laendlicher Raum","8915","0.855664764842035","0.848817497265944","0.862512032418127"
"Ja","2013","Staedtischer Raum","2113","0.139411946051947","0.1346171399734","0.144206752130494"
"Ja","2013","Laendlicher Raum","1149","0.140970104410707","0.134306365144859","0.147633843676555"
"Nein","2013","Staedtischer Raum","17934","0.860588053948053","0.855793247869506","0.8653828600266"
"Nein","2013","Laendlicher Raum","9327","0.859029895589293","0.852366156323445","0.865693634855141"
"Ja","2014","Staedtischer Raum","2009","0.145134409656155","0.139925809217108","0.150343010095202"
"Ja","2014","Laendlicher Raum","1170","0.150321895568884","0.14311819488059","0.157525596257178"
"Nein","2014","Staedtischer Raum","15559","0.854865590343845","0.849656989904798","0.860074190782892"
"Nein","2014","Laendlicher Raum","8285","0.849678104431116","0.842474403742822","0.85688180511941"
"Ja","2015","Staedtischer Raum","1860","0.142416901039836","0.137219430238307","0.147614371841364"
"Ja","2015","Laendlicher Raum","1071","0.143611614453961","0.136479902791668","0.150743326116254"
"Nein","2015","Staedtischer Raum","15508","0.857583098960164","0.852385628158635","0.862780569761693"
"Nein","2015","Laendlicher Raum","8218","0.856388385546039","0.849256673883746","0.863520097208332"
"Ja","2016","Staedtischer Raum","1742","0.139562596065934","0.134139293498401","0.144985898633467"
"Ja","2016","Laendlicher Raum","1012","0.143489633702121","0.136045659336765","0.150933608067477"
"Nein","2016","Staedtischer Raum","13942","0.860437403934066","0.855014101366533","0.865860706501599"
"Nein","2016","Laendlicher Raum","7508","0.856510366297879","0.849066391932523","0.863954340663235"
"Ja","2017","Staedtischer Raum","1925","0.137719758103439","0.132552466834058","0.142887049372819"
"Ja","2017","Laendlicher Raum","1120","0.139973052800944","0.132959852956411","0.146986252645478"
"Nein","2017","Staedtischer Raum","15160","0.862280241896561","0.857112950627181","0.867447533165942"
"Nein","2017","Laendlicher Raum","8282","0.860026947199056","0.853013747354523","0.867040147043589"
"Ja","2018","Staedtischer Raum","1971","0.136418945748979","0.131198694623898","0.141639196874061"
"Ja","2018","Laendlicher Raum","1133","0.145716092514245","0.138417529708916","0.153014655319574"
"Nein","2018","Staedtischer Raum","14636","0.863581054251021","0.858360803125939","0.868801305376102"
"Nein","2018","Laendlicher Raum","7844","0.854283907485755","0.846985344680426","0.861582470291084"
"Ja","2019","Staedtischer Raum","1847","0.133876113843631","0.128656272137982","0.13909595554928"
"Ja","2019","Laendlicher Raum","1096","0.149810863534747","0.14237375614094","0.157247970928554"
"Nein","2019","Staedtischer Raum","14501","0.866123886156369","0.86090404445072","0.871343727862018"
"Nein","2019","Laendlicher Raum","7750","0.850189136465253","0.842752029071446","0.85762624385906"
"Ja","2020","Staedtischer Raum","1858","0.132810583357743","0.12798505783276","0.137636108882726"
"Ja","2020","Laendlicher Raum","1106","0.152874422472044","0.145609203244655","0.160139641699433"
"Nein","2020","Staedtischer Raum","17142","0.867189416642257","0.862363891117274","0.872014942167239"
"Nein","2020","Laendlicher Raum","8319","0.847125577527956","0.839860358300567","0.854390796755345"
