,Unnamed: 0,year,sampreg,ple0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
75,75,2008,East,No,0.87706,4215,19228,0.85328,0.9003
76,76,2009,West,Yes,0.14109,1786,17933,0.13612,0.14636
77,77,2009,West,No,0.85891,11623,17933,0.84133,0.87374
78,78,2009,East,Yes,0.12032,526,17933,0.11019,0.13142
79,79,2009,East,No,0.87968,3998,17933,0.85736,0.91043
80,80,2010,West,Yes,0.13855,1878,23901,0.13305,0.14368
81,81,2010,West,No,0.86145,16572,23901,0.84624,0.87676
82,82,2010,East,Yes,0.13299,563,23901,0.12249,0.14438
83,83,2010,East,No,0.86701,4888,23901,0.84101,0.89785
84,84,2011,West,Yes,0.13822,2391,28235,0.1334,0.14422
85,85,2011,West,No,0.86178,19567,28235,0.84523,0.87556
86,86,2011,East,Yes,0.12837,691,28235,0.12009,0.13747
87,87,2011,East,No,0.87163,5586,28235,0.84997,0.89822
88,88,2012,West,Yes,0.14234,2500,27532,0.13774,0.1468
89,89,2012,West,No,0.85766,18886,27532,0.84506,0.86839
90,90,2012,East,Yes,0.1448,751,27532,0.13548,0.15412
91,91,2012,East,No,0.8552,5395,27532,0.8301,0.88347
92,92,2013,West,Yes,0.14012,2566,30523,0.13539,0.14597
93,93,2013,West,No,0.85988,21875,30523,0.84735,0.87718
94,94,2013,East,Yes,0.13788,696,30523,0.12747,0.14829
95,95,2013,East,No,0.86212,5386,30523,0.83677,0.88803
96,96,2014,West,Yes,0.14675,2474,27023,0.14213,0.15187
97,97,2014,West,No,0.85325,18984,27023,0.84047,0.86646
98,98,2014,East,Yes,0.14688,705,27023,0.13486,0.15749
99,99,2014,East,No,0.85312,4860,27023,0.82915,0.88264
100,100,2015,West,Yes,0.14346,2293,26657,0.13794,0.1491
101,101,2015,West,No,0.85654,18993,26657,0.83938,0.8716
102,102,2015,East,Yes,0.14,638,26657,0.1289,0.14999
103,103,2015,East,No,0.86,4733,26657,0.82784,0.88847
104,104,2016,West,Yes,0.14177,2152,24204,0.13629,0.14749
105,105,2016,West,No,0.85823,17040,24204,0.84197,0.87256
106,106,2016,East,Yes,0.1365,602,24204,0.12519,0.14876
107,107,2016,East,No,0.8635,4410,24204,0.83233,0.89155
108,108,2017,West,Yes,0.13989,2378,26487,0.13509,0.14579
109,109,2017,West,No,0.86011,18528,26487,0.8452,0.873
110,110,2017,East,Yes,0.13208,667,26487,0.12196,0.14185
111,111,2017,East,No,0.86792,4914,26487,0.8436,0.89571
112,112,2018,West,Yes,0.13949,2413,25584,0.13374,0.1445
113,113,2018,West,No,0.86051,17697,25584,0.84773,0.87383
114,114,2018,East,Yes,0.13819,691,25584,0.12558,0.14987
115,115,2018,East,No,0.86181,4783,25584,0.83296,0.88924
116,116,2019,West,Yes,0.1381,2303,25571,0.13222,0.14576
117,117,2019,West,No,0.8619,17737,25571,0.84541,0.87721
118,118,2019,East,Yes,0.14288,691,25571,0.13123,0.15536
119,119,2019,East,No,0.85712,4840,25571,0.82876,0.89329
120,120,2020,West,Yes,0.13725,2242,28318,0.1318,0.14227
121,121,2020,West,No,0.86275,20383,28318,0.84595,0.87857
122,122,2020,East,Yes,0.14563,686,28318,0.13369,0.15816
123,123,2020,East,No,0.85437,5007,28318,0.82726,0.88593
124,124,2021,West,Yes,0.14049,1671,19264,0.13301,0.1492
125,125,2021,West,No,0.85951,13715,19264,0.84033,0.87833
126,126,2021,East,Yes,0.15678,495,19264,0.1413,0.17536
127,127,2021,East,No,0.84322,3383,19264,0.80504,0.88087
