"ple0040","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","1988","Staedtischer Raum","Westdeutschland","7004","0.86214764963228","0.854518481071764","0.869776818192796"
"Nein","1988","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","1988","Laendlicher Raum","Westdeutschland","1879","0.885310303989265","0.87160654212756","0.899014065850971"
"Nein","1988","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1989","Staedtischer Raum","Westdeutschland","807","0.137103490115432","0.129391319966618","0.144815660264245"
"Ja","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1989","Laendlicher Raum","Westdeutschland","212","0.133824074659413","0.118801141765737","0.148847007553089"
"Ja","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","1989","Staedtischer Raum","Westdeutschland","6834","0.862896509884568","0.855184339735755","0.870608680033382"
"Nein","1989","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","1989","Laendlicher Raum","Westdeutschland","1761","0.866175925340587","0.851152992446911","0.881198858234263"
"Nein","1989","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1990","Staedtischer Raum","Westdeutschland","","","",""
"Ja","1990","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1990","Laendlicher Raum","Westdeutschland","","","",""
"Ja","1990","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","1990","Staedtischer Raum","Westdeutschland","","","",""
"Nein","1990","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","1990","Laendlicher Raum","Westdeutschland","","","",""
"Nein","1990","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1991","Staedtischer Raum","Westdeutschland","821","0.142257842557323","0.134274169104144","0.150241516010501"
"Ja","1991","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1991","Laendlicher Raum","Westdeutschland","215","0.135064946712612","0.120085486352304","0.15004440707292"
"Ja","1991","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","1991","Staedtischer Raum","Westdeutschland","6533","0.857742157442677","0.849758483989498","0.865725830895856"
"Nein","1991","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","1991","Laendlicher Raum","Westdeutschland","1785","0.864935053287388","0.84995559292708","0.879914513647696"
"Nein","1991","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1992","Staedtischer Raum","Westdeutschland","846","0.148607146868255","0.140406390462262","0.156807903274248"
"Ja","1992","Staedtischer Raum","Ostdeutschland","87","0.0737923006356624","0.0595972939334772","0.0879873073378476"
"Ja","1992","Laendlicher Raum","Westdeutschland","217","0.133646971953745","0.118655226335834","0.148638717571656"
"Ja","1992","Laendlicher Raum","Ostdeutschland","201","0.0999214216993332","0.0881891869153212","0.111653656483345"
"Nein","1992","Staedtischer Raum","Westdeutschland","6381","0.851392853131745","0.843192096725752","0.859593609537738"
"Nein","1992","Staedtischer Raum","Ostdeutschland","1216","0.926207699364338","0.912012692662152","0.940402706066523"
"Nein","1992","Laendlicher Raum","Westdeutschland","1762","0.866353028046255","0.851361282428344","0.881344773664166"
"Nein","1992","Laendlicher Raum","Ostdeutschland","2309","0.900078578300667","0.888346343516655","0.911810813084679"
"Ja","1993","Staedtischer Raum","Westdeutschland","","","",""
"Ja","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","1993","Laendlicher Raum","Westdeutschland","","","",""
"Ja","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","1993","Staedtischer Raum","Westdeutschland","","","",""
"Nein","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","1993","Laendlicher Raum","Westdeutschland","","","",""
"Nein","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","1994","Staedtischer Raum","Westdeutschland","805","0.142168205502818","0.134020405831637","0.150316005173998"
"Ja","1994","Staedtischer Raum","Ostdeutschland","83","0.0786932658056391","0.0640168591771356","0.0933696724341426"
"Ja","1994","Laendlicher Raum","Westdeutschland","207","0.128848754817416","0.113909414389249","0.143788095245583"
"Ja","1994","Laendlicher Raum","Ostdeutschland","184","0.0916065072269418","0.0801722270696449","0.103040787384239"
"Nein","1994","Staedtischer Raum","Westdeutschland","6252","0.857831794497182","0.849683994826002","0.865979594168363"
"Nein","1994","Staedtischer Raum","Ostdeutschland","1210","0.921306734194361","0.906630327565857","0.935983140822864"
"Nein","1994","Laendlicher Raum","Westdeutschland","1725","0.871151245182583","0.856211904754416","0.88609058561075"
"Nein","1994","Laendlicher Raum","Ostdeutschland","2261","0.908393492773058","0.896959212615761","0.919827772930355"
"Ja","1995","Staedtischer Raum","Westdeutschland","865","0.150024222091109","0.141889222841329","0.158159221340889"
"Ja","1995","Staedtischer Raum","Ostdeutschland","93","0.0957963921912112","0.0791235856774177","0.112469198705005"
"Ja","1995","Laendlicher Raum","Westdeutschland","211","0.137479170646637","0.122677044738193","0.152281296555081"
"Ja","1995","Laendlicher Raum","Ostdeutschland","187","0.0924736312425469","0.0810072483400965","0.103940014144997"
"Nein","1995","Staedtischer Raum","Westdeutschland","6537","0.849975777908891","0.841840778659111","0.858110777158671"
"Nein","1995","Staedtischer Raum","Ostdeutschland","1104","0.904203607808789","0.887530801294996","0.920876414322582"
"Nein","1995","Laendlicher Raum","Westdeutschland","1868","0.862520829353363","0.847718703444919","0.877322955261807"
"Nein","1995","Laendlicher Raum","Ostdeutschland","2265","0.907526368757453","0.896059985855003","0.918992751659903"
"Ja","1996","Staedtischer Raum","Westdeutschland","838","0.14586073316744","0.137745443036413","0.153976023298466"
"Ja","1996","Staedtischer Raum","Ostdeutschland","94","0.099020739848661","0.0822944150011752","0.115747064696147"
"Ja","1996","Laendlicher Raum","Westdeutschland","228","0.148193587048583","0.132968758563968","0.163418415533198"
"Ja","1996","Laendlicher Raum","Ostdeutschland","205","0.100062362700893","0.0881138742458576","0.112010851155929"
"Nein","1996","Staedtischer Raum","Westdeutschland","6429","0.85413926683256","0.846023976701534","0.862254556963587"
"Nein","1996","Staedtischer Raum","Ostdeutschland","1131","0.900979260151339","0.884252935303853","0.917705584998825"
"Nein","1996","Laendlicher Raum","Westdeutschland","1864","0.851806412951417","0.836581584466802","0.867031241436032"
"Nein","1996","Laendlicher Raum","Ostdeutschland","2218","0.899937637299107","0.887989148844071","0.911886125754142"
"Ja","1997","Staedtischer Raum","Westdeutschland","817","0.145062707583151","0.136874657134402","0.153250758031901"
"Ja","1997","Staedtischer Raum","Ostdeutschland","94","0.097341303382214","0.080611732513076","0.114070874251352"
"Ja","1997","Laendlicher Raum","Westdeutschland","226","0.149991090719439","0.134446986938488","0.165535194500391"
"Ja","1997","Laendlicher Raum","Ostdeutschland","208","0.100096675019229","0.0881067132081517","0.112086636830307"
"Nein","1997","Staedtischer Raum","Westdeutschland","6289","0.854937292416849","0.846749241968099","0.863125342865598"
"Nein","1997","Staedtischer Raum","Ostdeutschland","1112","0.902658696617786","0.885929125748648","0.919388267486924"
"Nein","1997","Laendlicher Raum","Westdeutschland","1801","0.850008909280561","0.834464805499609","0.865553013061512"
"Nein","1997","Laendlicher Raum","Ostdeutschland","2199","0.899903324980771","0.887913363169693","0.911893286791848"
"Ja","1998","Staedtischer Raum","Westdeutschland","943","0.144245615706746","0.136515728821103","0.151975502592389"
"Ja","1998","Staedtischer Raum","Ostdeutschland","105","0.0997931707439455","0.0831309037513777","0.116455437736513"
"Ja","1998","Laendlicher Raum","Westdeutschland","271","0.146543188441003","0.132229542835479","0.160856834046527"
"Ja","1998","Laendlicher Raum","Ostdeutschland","224","0.095555077511944","0.0842354449028522","0.106874710121036"
"Nein","1998","Staedtischer Raum","Westdeutschland","6993","0.855754384293254","0.848024497407611","0.863484271178897"
"Nein","1998","Staedtischer Raum","Ostdeutschland","1138","0.900206829256055","0.883544562263487","0.916869096248622"
"Nein","1998","Laendlicher Raum","Westdeutschland","2074","0.853456811558997","0.839143165953473","0.867770457164521"
"Nein","1998","Laendlicher Raum","Ostdeutschland","2367","0.904444922488056","0.893125289878964","0.915764555097148"
"Ja","1999","Staedtischer Raum","Westdeutschland","915","0.147708680042833","0.13973065330031","0.155686706785356"
"Ja","1999","Staedtischer Raum","Ostdeutschland","101","0.0947306565994707","0.0784049105714773","0.111056402627464"
"Ja","1999","Laendlicher Raum","Westdeutschland","254","0.143336570715303","0.128892771970179","0.157780369460427"
"Ja","1999","Laendlicher Raum","Ostdeutschland","228","0.099536599969574","0.0879007170030263","0.111172482936122"
"Nein","1999","Staedtischer Raum","Westdeutschland","6683","0.852291319957167","0.844313293214644","0.86026934669969"
"Nein","1999","Staedtischer Raum","Ostdeutschland","1135","0.905269343400529","0.888943597372536","0.921595089428523"
"Nein","1999","Laendlicher Raum","Westdeutschland","2007","0.856663429284697","0.842219630539573","0.871107228029821"
"Nein","1999","Laendlicher Raum","Ostdeutschland","2315","0.900463400030426","0.888827517063878","0.912099282996974"
"Ja","2000","Staedtischer Raum","Westdeutschland","1609","0.130445268105591","0.124818971682187","0.136071564528994"
"Ja","2000","Staedtischer Raum","Ostdeutschland","165","0.10028442042173","0.0865781511189811","0.113990689724478"
"Ja","2000","Laendlicher Raum","Westdeutschland","474","0.122809579358292","0.113138954966142","0.132480203750443"
"Ja","2000","Laendlicher Raum","Ostdeutschland","370","0.102087033387708","0.0926892076749852","0.111484859100431"
"Nein","2000","Staedtischer Raum","Westdeutschland","12156","0.869554731894409","0.863928435471006","0.875181028317813"
"Nein","2000","Staedtischer Raum","Ostdeutschland","1680","0.89971557957827","0.886009310275522","0.913421848881019"
"Nein","2000","Laendlicher Raum","Westdeutschland","3951","0.877190420641708","0.867519796249557","0.886861045033858"
"Nein","2000","Laendlicher Raum","Ostdeutschland","3617","0.897912966612292","0.888515140899569","0.907310792325015"
"Ja","2001","Staedtischer Raum","Westdeutschland","1468","0.132255288614201","0.126309630088646","0.138200947139756"
"Ja","2001","Staedtischer Raum","Ostdeutschland","166","0.106594354026653","0.0921027832228185","0.121085924830488"
"Ja","2001","Laendlicher Raum","Westdeutschland","417","0.123347640656287","0.113083707172092","0.133611574140482"
"Ja","2001","Laendlicher Raum","Ostdeutschland","329","0.0983359601904503","0.0887048730816617","0.107967047299239"
"Nein","2001","Staedtischer Raum","Westdeutschland","11003","0.867744711385799","0.861799052860243","0.873690369911354"
"Nein","2001","Staedtischer Raum","Ostdeutschland","1576","0.893405645973347","0.878914075169512","0.907897216777181"
"Nein","2001","Laendlicher Raum","Westdeutschland","3526","0.876652359343713","0.866388425859518","0.886916292827908"
"Nein","2001","Laendlicher Raum","Ostdeutschland","3343","0.90166403980955","0.892032952700761","0.911295126918338"
"Ja","2002","Staedtischer Raum","Westdeutschland","1571","0.140649791196046","0.134761625673303","0.14653795671879"
"Ja","2002","Staedtischer Raum","Ostdeutschland","168","0.108674781487727","0.0941427067098102","0.123206856265644"
"Ja","2002","Laendlicher Raum","Westdeutschland","431","0.126921634777082","0.116734672336076","0.137108597218088"
"Ja","2002","Laendlicher Raum","Ostdeutschland","376","0.118697416891884","0.108188929229154","0.129205904554614"
"Nein","2002","Staedtischer Raum","Westdeutschland","11821","0.859350208803954","0.85346204328121","0.865238374326697"
"Nein","2002","Staedtischer Raum","Ostdeutschland","1594","0.891325218512273","0.876793143734356","0.90585729329019"
"Nein","2002","Laendlicher Raum","Westdeutschland","3671","0.873078365222918","0.862891402781912","0.883265327663924"
"Nein","2002","Laendlicher Raum","Ostdeutschland","3263","0.881302583108116","0.870794095445386","0.891811070770846"
"Ja","2003","Staedtischer Raum","Westdeutschland","1524","0.138702557499885","0.132729512735761","0.144675602264008"
"Ja","2003","Staedtischer Raum","Ostdeutschland","168","0.105659838538049","0.0912779516474739","0.120041725428625"
"Ja","2003","Laendlicher Raum","Westdeutschland","424","0.125685966559093","0.115241897669559","0.136130035448628"
"Ja","2003","Laendlicher Raum","Ostdeutschland","364","0.117908299979817","0.107318951598147","0.128497648361487"
"Nein","2003","Staedtischer Raum","Westdeutschland","11339","0.861297442500115","0.855324397735992","0.867270487264239"
"Nein","2003","Staedtischer Raum","Ostdeutschland","1587","0.894340161461951","0.879958274571375","0.908722048352526"
"Nein","2003","Laendlicher Raum","Westdeutschland","3446","0.874314033440907","0.863869964551372","0.884758102330441"
"Nein","2003","Laendlicher Raum","Ostdeutschland","3199","0.882091700020183","0.871502351638513","0.892681048401853"
"Ja","2004","Staedtischer Raum","Westdeutschland","1525","0.14195736902849","0.135839863377044","0.148074874679936"
"Ja","2004","Staedtischer Raum","Ostdeutschland","178","0.114089275958154","0.0992110658335069","0.128967486082801"
"Ja","2004","Laendlicher Raum","Westdeutschland","435","0.134808335039269","0.123976855148599","0.145639814929939"
"Ja","2004","Laendlicher Raum","Ostdeutschland","362","0.119560227056112","0.108727603616568","0.130392850495656"
"Nein","2004","Staedtischer Raum","Westdeutschland","10978","0.85804263097151","0.851925125320064","0.864160136622956"
"Nein","2004","Staedtischer Raum","Ostdeutschland","1576","0.885910724041846","0.871032513917199","0.900788934166493"
"Nein","2004","Laendlicher Raum","Westdeutschland","3384","0.865191664960731","0.854360185070061","0.876023144851401"
"Nein","2004","Laendlicher Raum","Ostdeutschland","3084","0.880439772943888","0.869607149504344","0.891272396383432"
"Ja","2005","Staedtischer Raum","Westdeutschland","1482","0.137801535330406","0.13162196257855","0.143981108082262"
"Ja","2005","Staedtischer Raum","Ostdeutschland","176","0.118791853659649","0.10337554159456","0.134208165724738"
"Ja","2005","Laendlicher Raum","Westdeutschland","427","0.132696981677912","0.121644246853334","0.14374971650249"
"Ja","2005","Laendlicher Raum","Ostdeutschland","365","0.124019529908624","0.112785818937675","0.135253240879573"
"Nein","2005","Staedtischer Raum","Westdeutschland","10470","0.862198464669593","0.856018891917738","0.868378037421449"
"Nein","2005","Staedtischer Raum","Ostdeutschland","1516","0.881208146340351","0.865791834275262","0.89662445840544"
"Nein","2005","Laendlicher Raum","Westdeutschland","3192","0.867303018322088","0.85625028349751","0.878355753146666"
"Nein","2005","Laendlicher Raum","Ostdeutschland","2942","0.875980470091376","0.864746759120427","0.887214181062325"
"Ja","2006","Staedtischer Raum","Westdeutschland","1627","0.142069857000445","0.135980450929505","0.148159263071386"
"Ja","2006","Staedtischer Raum","Ostdeutschland","195","0.139984276069058","0.12368132254245","0.156287229595666"
"Ja","2006","Laendlicher Raum","Westdeutschland","485","0.133328123269209","0.122814813182385","0.143841433356032"
"Ja","2006","Laendlicher Raum","Ostdeutschland","402","0.125549646678534","0.114599063885223","0.136500229471845"
"Nein","2006","Staedtischer Raum","Westdeutschland","11000","0.857930142999555","0.851840736928614","0.864019549070495"
"Nein","2006","Staedtischer Raum","Ostdeutschland","1545","0.860015723930942","0.843712770404334","0.87631867745755"
"Nein","2006","Laendlicher Raum","Westdeutschland","3531","0.866671876730791","0.856158566643968","0.877185186817614"
"Nein","2006","Laendlicher Raum","Ostdeutschland","3115","0.874450353321466","0.863499770528155","0.885400936114777"
"Ja","2007","Staedtischer Raum","Westdeutschland","1528","0.143066743827618","0.136717348980837","0.149416138674398"
"Ja","2007","Staedtischer Raum","Ostdeutschland","175","0.126995622189433","0.110973225357087","0.143018019021779"
"Ja","2007","Laendlicher Raum","Westdeutschland","464","0.134750887831326","0.123816345673852","0.1456854299888"
"Ja","2007","Laendlicher Raum","Ostdeutschland","385","0.122226547559608","0.111094861187863","0.133358233931353"
"Nein","2007","Staedtischer Raum","Westdeutschland","10154","0.856933256172382","0.850583861325602","0.863282651019163"
"Nein","2007","Staedtischer Raum","Ostdeutschland","1484","0.873004377810567","0.856981980978221","0.889026774642913"
"Nein","2007","Laendlicher Raum","Westdeutschland","3282","0.865249112168674","0.8543145700112","0.876183654326148"
"Nein","2007","Laendlicher Raum","Ostdeutschland","2941","0.877773452440392","0.866641766068647","0.888905138812137"
"Ja","2008","Staedtischer Raum","Westdeutschland","1418","0.139348726140875","0.132868796341019","0.14582865594073"
"Ja","2008","Staedtischer Raum","Ostdeutschland","172","0.119213101589611","0.10337994577983","0.135046257399391"
"Ja","2008","Laendlicher Raum","Westdeutschland","460","0.13937345807567","0.127919166263475","0.150827749887866"
"Ja","2008","Laendlicher Raum","Ostdeutschland","357","0.124946331995919","0.113371667300988","0.136520996690851"
"Nein","2008","Staedtischer Raum","Westdeutschland","9554","0.860651273859125","0.85417134405927","0.867131203658981"
"Nein","2008","Staedtischer Raum","Ostdeutschland","1437","0.880786898410389","0.864953742600609","0.89662005422017"
"Nein","2008","Laendlicher Raum","Westdeutschland","3052","0.86062654192433","0.849172250112134","0.872080833736525"
"Nein","2008","Laendlicher Raum","Ostdeutschland","2778","0.875053668004081","0.86347900330915","0.886628332699012"
"Ja","2009","Staedtischer Raum","Westdeutschland","1338","0.142141371226474","0.135320425405373","0.148962317047575"
"Ja","2009","Staedtischer Raum","Ostdeutschland","176","0.124480645982382","0.107927894068728","0.141033397896037"
"Ja","2009","Laendlicher Raum","Westdeutschland","448","0.138185163922275","0.126483502033878","0.149886825810673"
"Ja","2009","Laendlicher Raum","Ostdeutschland","350","0.118064131945279","0.106509538253044","0.129618725637514"
"Nein","2009","Staedtischer Raum","Westdeutschland","8730","0.857858628773526","0.851037682952425","0.864679574594627"
"Nein","2009","Staedtischer Raum","Ostdeutschland","1352","0.875519354017617","0.858966602103963","0.892072105931272"
"Nein","2009","Laendlicher Raum","Westdeutschland","2893","0.861814836077725","0.850113174189327","0.873516497966122"
"Nein","2009","Laendlicher Raum","Ostdeutschland","2646","0.881935868054721","0.870381274362486","0.893490461746956"
"Ja","2010","Staedtischer Raum","Westdeutschland","1426","0.140095250865311","0.134275611877307","0.145914889853315"
"Ja","2010","Staedtischer Raum","Ostdeutschland","180","0.124614762362762","0.109744184684485","0.139485340041039"
"Ja","2010","Laendlicher Raum","Westdeutschland","452","0.133587869375266","0.123949412299455","0.143226326451077"
"Ja","2010","Laendlicher Raum","Ostdeutschland","383","0.137855081816825","0.126524068724171","0.14918609490948"
"Nein","2010","Staedtischer Raum","Westdeutschland","12238","0.859904749134689","0.854085110146685","0.865724388122693"
"Nein","2010","Staedtischer Raum","Ostdeutschland","1715","0.875385237637238","0.860514659958961","0.890255815315515"
"Nein","2010","Laendlicher Raum","Westdeutschland","4334","0.866412130624734","0.856773673548923","0.876050587700545"
"Nein","2010","Laendlicher Raum","Ostdeutschland","3173","0.862144918183175","0.85081390509052","0.873475931275829"
"Ja","2011","Staedtischer Raum","Westdeutschland","1737","0.139665352231044","0.134272601941953","0.145058102520135"
"Ja","2011","Staedtischer Raum","Ostdeutschland","232","0.123462742959958","0.109605644857671","0.137319841062245"
"Ja","2011","Laendlicher Raum","Westdeutschland","654","0.134036704616475","0.125477296579988","0.142596112652963"
"Ja","2011","Laendlicher Raum","Ostdeutschland","459","0.131162004515306","0.120844017829382","0.141479991201231"
"Nein","2011","Staedtischer Raum","Westdeutschland","14135","0.860334647768956","0.854941897479865","0.865727398058047"
"Nein","2011","Staedtischer Raum","Ostdeutschland","1933","0.876537257040042","0.862680158937755","0.890394355142329"
"Nein","2011","Laendlicher Raum","Westdeutschland","5432","0.865963295383525","0.857403887347037","0.874522703420012"
"Nein","2011","Laendlicher Raum","Ostdeutschland","3653","0.868837995484694","0.858520008798769","0.879155982170618"
"Ja","2012","Staedtischer Raum","Westdeutschland","1793","0.142435652976309","0.136903535426359","0.147967770526259"
"Ja","2012","Staedtischer Raum","Ostdeutschland","254","0.140886358862268","0.125938746355309","0.155833971369227"
"Ja","2012","Laendlicher Raum","Westdeutschland","707","0.142789411086631","0.13397651503802","0.151602307135242"
"Ja","2012","Laendlicher Raum","Ostdeutschland","497","0.147158142600187","0.136267732895151","0.158048552305223"
"Nein","2012","Staedtischer Raum","Westdeutschland","13539","0.857564347023691","0.852032229473741","0.86309646457364"
"Nein","2012","Staedtischer Raum","Ostdeutschland","1827","0.859113641137732","0.844166028630773","0.874061253644691"
"Nein","2012","Laendlicher Raum","Westdeutschland","5347","0.857210588913369","0.848397692864758","0.86602348496198"
"Nein","2012","Laendlicher Raum","Ostdeutschland","3568","0.852841857399813","0.841951447694777","0.86373226710485"
"Ja","2013","Staedtischer Raum","Westdeutschland","1874","0.139629096770889","0.134556524747033","0.144701668794744"
"Ja","2013","Staedtischer Raum","Ostdeutschland","239","0.13724863020367","0.122572959033446","0.151924301373895"
"Ja","2013","Laendlicher Raum","Westdeutschland","692","0.14199989412196","0.133518275458129","0.150481512785791"
"Ja","2013","Laendlicher Raum","Ostdeutschland","457","0.139143328387422","0.128377450331652","0.149909206443192"
"Nein","2013","Staedtischer Raum","Westdeutschland","16061","0.860370903229111","0.855298331205256","0.865443475252967"
"Nein","2013","Staedtischer Raum","Ostdeutschland","1873","0.86275136979633","0.848075698626105","0.877427040966554"
"Nein","2013","Laendlicher Raum","Westdeutschland","5814","0.85800010587804","0.849518487214209","0.866481724541871"
"Nein","2013","Laendlicher Raum","Ostdeutschland","3513","0.860856671612578","0.850090793556808","0.871622549668348"
"Ja","2014","Staedtischer Raum","Westdeutschland","1770","0.145417858557721","0.139893072111461","0.15094264500398"
"Ja","2014","Staedtischer Raum","Ostdeutschland","239","0.142349980909718","0.126753438385645","0.157946523433791"
"Ja","2014","Laendlicher Raum","Westdeutschland","704","0.150682812518792","0.14149043085213","0.159875194185454"
"Ja","2014","Laendlicher Raum","Ostdeutschland","466","0.14966356496769","0.138069656230877","0.161257473704503"
"Nein","2014","Staedtischer Raum","Westdeutschland","13870","0.85458214144228","0.84905735499602","0.860106927888539"
"Nein","2014","Staedtischer Raum","Ostdeutschland","1689","0.857650019090282","0.842053476566209","0.873246561614355"
"Nein","2014","Laendlicher Raum","Westdeutschland","5114","0.849317187481208","0.840124805814546","0.85850956914787"
"Nein","2014","Laendlicher Raum","Ostdeutschland","3171","0.85033643503231","0.838742526295497","0.861930343769123"
"Ja","2015","Staedtischer Raum","Westdeutschland","1642","0.143284142341755","0.137761323303164","0.148806961380346"
"Ja","2015","Staedtischer Raum","Ostdeutschland","218","0.134099687286491","0.11880971364852","0.149389660924462"
"Ja","2015","Laendlicher Raum","Westdeutschland","651","0.143123853777143","0.134131406748615","0.152116300805671"
"Ja","2015","Laendlicher Raum","Ostdeutschland","420","0.144521821871785","0.132810847595047","0.156232796148522"
"Nein","2015","Staedtischer Raum","Westdeutschland","13818","0.856715857658245","0.851193038619654","0.862238676696836"
"Nein","2015","Staedtischer Raum","Ostdeutschland","1690","0.865900312713509","0.850610339075538","0.88119028635148"
"Nein","2015","Laendlicher Raum","Westdeutschland","5175","0.856876146222857","0.847883699194329","0.865868593251385"
"Nein","2015","Laendlicher Raum","Ostdeutschland","3043","0.855478178128215","0.843767203851478","0.867189152404953"
"Ja","2016","Staedtischer Raum","Westdeutschland","1544","0.141487106717542","0.135698181657141","0.147276031777944"
"Ja","2016","Staedtischer Raum","Ostdeutschland","198","0.120777359650544","0.10555317810844","0.136001541192649"
"Ja","2016","Laendlicher Raum","Westdeutschland","608","0.142236759948988","0.132804519823711","0.151669000074265"
"Ja","2016","Laendlicher Raum","Ostdeutschland","404","0.145813354845078","0.133683716219992","0.157942993470164"
"Nein","2016","Staedtischer Raum","Westdeutschland","12380","0.858512893282458","0.852723968222057","0.864301818342859"
"Nein","2016","Staedtischer Raum","Ostdeutschland","1562","0.879222640349456","0.863998458807351","0.89444682189156"
"Nein","2016","Laendlicher Raum","Westdeutschland","4660","0.857763240051012","0.848330999925735","0.867195480176289"
"Nein","2016","Laendlicher Raum","Ostdeutschland","2848","0.854186645154922","0.842057006529836","0.866316283780008"
"Ja","2017","Staedtischer Raum","Westdeutschland","1703","0.139010526522324","0.133499629934358","0.14452142311029"
"Ja","2017","Staedtischer Raum","Ostdeutschland","222","0.125019911190152","0.110325054628954","0.13971476775135"
"Ja","2017","Laendlicher Raum","Westdeutschland","675","0.141561898439136","0.13256483470202","0.150558962176251"
"Ja","2017","Laendlicher Raum","Ostdeutschland","445","0.137000648951146","0.125822692065649","0.148178605836642"
"Nein","2017","Staedtischer Raum","Westdeutschland","13436","0.860989473477676","0.85547857688971","0.866500370065642"
"Nein","2017","Staedtischer Raum","Ostdeutschland","1724","0.874980088809848","0.86028523224865","0.889674945371046"
"Nein","2017","Laendlicher Raum","Westdeutschland","5092","0.858438101560864","0.849441037823749","0.86743516529798"
"Nein","2017","Laendlicher Raum","Ostdeutschland","3190","0.862999351048854","0.851821394163358","0.874177307934351"
"Ja","2018","Staedtischer Raum","Westdeutschland","1734","0.136049973538001","0.130505877623615","0.141594069452388"
"Ja","2018","Staedtischer Raum","Ostdeutschland","237","0.140063981435943","0.124528191578619","0.155599771293267"
"Ja","2018","Laendlicher Raum","Westdeutschland","679","0.149830421206149","0.140328723084444","0.159332119327854"
"Ja","2018","Laendlicher Raum","Ostdeutschland","454","0.137920025602152","0.126588363877573","0.149251687326731"
"Nein","2018","Staedtischer Raum","Westdeutschland","12956","0.863950026461999","0.858405930547612","0.869494122376385"
"Nein","2018","Staedtischer Raum","Ostdeutschland","1680","0.859936018564057","0.844400228706733","0.875471808421381"
"Nein","2018","Laendlicher Raum","Westdeutschland","4741","0.850169578793851","0.840667880672146","0.859671276915556"
"Nein","2018","Laendlicher Raum","Ostdeutschland","3103","0.862079974397848","0.850748312673269","0.873411636122427"
"Ja","2019","Staedtischer Raum","Westdeutschland","1610","0.132584772080604","0.127054842526039","0.138114701635169"
"Ja","2019","Staedtischer Raum","Ostdeutschland","237","0.146991643297997","0.131073954925192","0.162909331670801"
