"ple0040","year","sex","n","percent","lower_confidence","upper_confidence","NA"
"Ja","1993","weiblich","","","","",""
"Nein","1993","maennlich","","","","",""
"Nein","1993","weiblich","","","","",""
"Ja","1994","maennlich","722","0.145606801698585","0.136795937492808","0.154417665904362",""
"Ja","1994","weiblich","557","0.112929166703576","0.105276468806548","0.120581864600603",""
"Nein","1994","maennlich","5434","0.854393198301415","0.845582334095638","0.863204062507192",""
"Nein","1994","weiblich","6014","0.887070833296424","0.879418135399397","0.894723531193451",""
"Ja","1995","maennlich","747","0.150680865294967","0.141877859030235","0.159483871559698",""
"Ja","1995","weiblich","609","0.123619942707291","0.115788682119483","0.131451203295098",""
"Nein","1995","maennlich","5597","0.849319134705033","0.840516128440302","0.858122140969765",""
"Nein","1995","weiblich","6177","0.876380057292709","0.868548796704902","0.884211317880517",""
"Ja","1996","maennlich","753","0.156889255728273","0.147890548150002","0.165887963306543",""
"Ja","1996","weiblich","612","0.119666394212578","0.111913108640858","0.127419679784298",""
"Nein","1996","maennlich","5522","0.843110744271727","0.834112036693457","0.852109451849997",""
"Nein","1996","weiblich","6120","0.880333605787422","0.872580320215702","0.888086891359142",""
"Ja","1997","maennlich","743","0.158068703237061","0.148969761542437","0.167167644931685",""
"Ja","1997","weiblich","602","0.117669605150233","0.10987943251859","0.125459777781876",""
"Nein","1997","maennlich","5432","0.841931296762939","0.832832355068315","0.851030238457563",""
"Nein","1997","weiblich","5970","0.882330394849767","0.874540222218124","0.89012056748141",""
"Ja","1998","maennlich","849","0.151838225866242","0.143329970588934","0.160346481143549",""
"Ja","1998","weiblich","694","0.120296640621405","0.112824458466618","0.127768822776193",""
"Nein","1998","maennlich","5985","0.848161774133758","0.839653518856451","0.856670029411066",""
"Nein","1998","weiblich","6587","0.879703359378594","0.872231177223807","0.887175541533382",""
"Ja","1999","maennlich","810","0.151259584492986","0.142610136639544","0.159909032346428",""
"Ja","1999","weiblich","688","0.124437326696102","0.116730142700067","0.132144510692136",""
"Nein","1999","maennlich","5782","0.848740415507014","0.840090967653572","0.857389863360456",""
"Nein","1999","weiblich","6358","0.875562673303898","0.867855489307864","0.883269857299933",""
"Ja","2000","maennlich","1456","0.140305041448168","0.133970121334276","0.146639961562061",""
"Ja","2000","weiblich","1162","0.107642983859491","0.102204565752171","0.113081401966812",""
"Nein","2000","maennlich","10090","0.859694958551832","0.853360038437939","0.866029878665724",""
"Nein","2000","weiblich","11314","0.892357016140509","0.886918598033188","0.89779543424783",""
"Ja","2001","maennlich","1306","0.140122321371361","0.13347664100925","0.146768001733471",""
"Ja","2001","weiblich","1074","0.110019217543502","0.10426199499205","0.115776440094953",""
"Nein","2001","maennlich","9174","0.859877678628639","0.853231998266529","0.86652335899075",""
"Nein","2001","weiblich","10274","0.889980782456498","0.884223559905047","0.89573800500795",""
"Ja","2002","maennlich","1395","0.147351727695866","0.140748198685011","0.153955256706721",""
"Ja","2002","weiblich","1151","0.119867450797727","0.11401368330605","0.125721218289404",""
"Nein","2002","maennlich","9673","0.852648272304134","0.846044743293279","0.859251801314989",""
"Nein","2002","weiblich","10676","0.880132549202273","0.874278781710596","0.88598631669395",""
"Ja","2003","maennlich","1352","0.145487227174374","0.138784159558961","0.152190294789787",""
"Ja","2003","weiblich","1128","0.118282850476866","0.112360384860233","0.124205316093499",""
"Nein","2003","maennlich","9277","0.854512772825626","0.847809705210212","0.861215840441039",""
"Nein","2003","weiblich","10294","0.881717149523134","0.875794683906501","0.887639615139767",""
"Ja","2004","maennlich","1354","0.149826422840724","0.142951244528842","0.156701601152605",""
"Ja","2004","weiblich","1146","0.122906476469961","0.11681767462232","0.128995278317602",""
"Nein","2004","maennlich","8998","0.850173577159276","0.843298398847395","0.857048755471158",""
"Nein","2004","weiblich","10024","0.877093523530039","0.871004721682398","0.88318232537768",""
"Ja","2005","maennlich","1340","0.149300666184514","0.142261242671832","0.156340089697197",""
"Ja","2005","weiblich","1110","0.119308622964499","0.113173581857145","0.125443664071853",""
"Nein","2005","maennlich","8506","0.850699333815486","0.843659910302803","0.857738757328168",""
"Nein","2005","weiblich","9614","0.880691377035501","0.874556335928147","0.886826418142855",""
"Ja","2006","maennlich","1462","0.151268758601718","0.144396897460373","0.158140619743063",""
"Ja","2006","weiblich","1247","0.125732927713251","0.119661677054979","0.131804178371524",""
"Nein","2006","maennlich","8982","0.848731241398282","0.841859380256937","0.855603102539627",""
"Nein","2006","weiblich","10209","0.874267072286749","0.868195821628476","0.880338322945021",""
"Ja","2007","maennlich","1370","0.151957758658993","0.144823829124541","0.159091688193445",""
"Ja","2007","weiblich","1182","0.124346974155856","0.118090579400454","0.130603368911258",""
"Nein","2007","maennlich","8357","0.848042241341007","0.840908311806554","0.855176170875459",""
"Nein","2007","weiblich","9504","0.875653025844144","0.869396631088742","0.881909420599546",""
"Ja","2008","maennlich","1295","0.148213350717283","0.140941435254461","0.155485266180104",""
"Ja","2008","weiblich","1112","0.124989190164702","0.118525853143002","0.131452527186401",""
"Nein","2008","maennlich","7876","0.851786649282717","0.844514733819896","0.859058564745539",""
"Nein","2008","weiblich","8945","0.875010809835298","0.868547472813599","0.881474146856998",""
"Ja","2009","maennlich","1250","0.14939985354824","0.141847196539309","0.156952510557171",""
"Ja","2009","weiblich","1062","0.12568148313388","0.118971322150115","0.132391644117644",""
"Nein","2009","maennlich","7308","0.85060014645176","0.843047489442829","0.858152803460691",""
"Nein","2009","weiblich","8313","0.87431851686612","0.867608355882356","0.881028677849885",""
"Ja","2010","maennlich","1303","0.14812966689167","0.141452977130883","0.154806356652456",""
"Ja","2010","weiblich","1138","0.127400224501282","0.121674657126174","0.13312579187639",""
"Nein","2010","maennlich","9571","0.85187033310833","0.845193643347544","0.858547022869117",""
"Nein","2010","weiblich","11889","0.872599775498718","0.86687420812361","0.878325342873826",""
"Ja","2011","maennlich","1593","0.142902477198736","0.136835341856973","0.148969612540498",""
"Ja","2011","weiblich","1489","0.130387662220361","0.125078539251963","0.135696785188759",""
"Nein","2011","maennlich","11189","0.857097522801264","0.851030387459502","0.863164658143027",""
"Nein","2011","weiblich","13964","0.869612337779639","0.864303214811241","0.874921460748037",""
"Ja","2012","maennlich","1693","0.154469007288138","0.14813607449032","0.160801940085956",""
"Ja","2012","weiblich","1558","0.132066459595586","0.126652391475969","0.137480527715204",""
"Nein","2012","maennlich","10817","0.845530992711862","0.839198059914044","0.851863925509681",""
"Nein","2012","weiblich","13464","0.867933540404414","0.862519472284796","0.873347608524031",""
"Ja","2013","maennlich","1700","0.147503911295729","0.141616887019482","0.153390935571976",""
"Ja","2013","weiblich","1562","0.132747581286617","0.1275836979581","0.137911464615134",""
"Nein","2013","maennlich","12238","0.852496088704271","0.846609064428024","0.858383112980518",""
"Nein","2013","weiblich","15023","0.867252418713383","0.862088535384866","0.8724163020419",""
"Ja","2014","maennlich","1634","0.15316013542503","0.146823324975058","0.159496945875002",""
"Ja","2014","weiblich","1545","0.14078535005705","0.135146659648851","0.14642404046525",""
"Nein","2014","maennlich","10774","0.84683986457497","0.840503054124998","0.853176675024942",""
"Nein","2014","weiblich","13070","0.85921464994295","0.85357595953475","0.864853340351149",""
"Ja","2015","maennlich","1474","0.150413826988034","0.144085027836251","0.156742626139816",""
"Ja","2015","weiblich","1457","0.135505536469579","0.129915541797842","0.141095531141315",""
"Nein","2015","maennlich","10782","0.849586173011966","0.843257373860184","0.855914972163749",""
"Nein","2015","weiblich","12944","0.864494463530421","0.858904468858685","0.870084458202158",""
"Ja","2016","maennlich","1394","0.15072156579775","0.144063079887993","0.157380051707506",""
"Ja","2016","weiblich","1360","0.131312852707952","0.125532126818009","0.137093578597895",""
"Nein","2016","maennlich","9697","0.84927843420225","0.842619948292493","0.855936920112007",""
"Nein","2016","weiblich","11753","0.868687147292048","0.862906421402105","0.874467873181991",""
"Ja","2017","maennlich","1528","0.145746718636236","0.139494943747585","0.151998493524887",""
"Ja","2017","weiblich","1517","0.131376177169577","0.125829730555643","0.136922623783511",""
"Nein","2017","maennlich","10709","0.854253281363764","0.848001506475113","0.860505056252415",""
"Nein","2017","weiblich","12733","0.868623822830423","0.863077376216489","0.874170269444357",""
"Ja","2018","maennlich","1551","0.150190069353159","0.143737803351804","0.156642335354515",""
"Ja","2018","weiblich","1553","0.12887492583032","0.123286070086394","0.134463781574247",""
"Nein","2018","maennlich","10226","0.849809930646841","0.843357664645485","0.856262196648196",""
"Nein","2018","weiblich","12254","0.87112507416968","0.865536218425753","0.876713929913606",""
"Ja","2019","maennlich","1545","0.147136157113022","0.140871527182931","0.153400787043113",""
"Ja","2019","weiblich","1489","0.130854551553698","0.125156866022112","0.136552237085283",""
"Nein","2019","maennlich","10738","0.852863842886978","0.846599212956887","0.859128472817069",""
"Nein","2019","weiblich","11969","0.869145448446303","0.863447762914717","0.874843133977888",""
"Ja","2020","maennlich","1491","0.146077041050301","0.140220587926564","0.151933494174037",""
"Ja","2020","weiblich","1471","0.132524313045614","0.126995451795298","0.138053174295929",""
"Nein","2020","maennlich","12480","0.853922958949699","0.848066505825963","0.859779412073436",""
"Nein","2020","weiblich","12976","0.867475686954386","0.861946825704071","0.873004548204702",""
