"corigin","year","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Rumaenien","1995","1 Einkommensschwächstes Quintil","30","0.00529332064113551","0.00327637520673746","0.00731026607553356"
"Rumaenien","1995","2","34","0.00818771415076374","0.00533675047641857","0.0110386778251089"
"Rumaenien","1995","3","8","","",""
"Rumaenien","1995","4","3","","",""
"Rumaenien","1995","5 Einkommensstärkstes Quintil","11","","",""
"Polen","1995","1 Einkommensschwächstes Quintil","130","0.0223228681244239","0.0182165248077553","0.0264292114410925"
"Polen","1995","2","77","0.0170383580909392","0.0129440759981622","0.0211326401837161"
"Polen","1995","3","14","","",""
"Polen","1995","4","12","","",""
"Polen","1995","5 Einkommensstärkstes Quintil","2","","",""
"Korea","1995","1 Einkommensschwächstes Quintil","1","","",""
"Korea","1995","2","","","",""
"Korea","1995","3","1","","",""
"Korea","1995","4","","","",""
"Korea","1995","5 Einkommensstärkstes Quintil","","","",""
"Iran","1995","1 Einkommensschwächstes Quintil","6","","",""
"Iran","1995","2","","","",""
"Iran","1995","3","","","",""
"Iran","1995","4","","","",""
"Iran","1995","5 Einkommensstärkstes Quintil","1","","",""
"Indonesien","1995","1 Einkommensschwächstes Quintil","","","",""
"Indonesien","1995","2","","","",""
"Indonesien","1995","3","","","",""
"Indonesien","1995","4","","","",""
"Indonesien","1995","5 Einkommensstärkstes Quintil","","","",""
"Ungarn","1995","1 Einkommensschwächstes Quintil","4","","",""
"Ungarn","1995","2","6","","",""
"Ungarn","1995","3","3","","",""
"Ungarn","1995","4","4","","",""
"Ungarn","1995","5 Einkommensstärkstes Quintil","3","","",""
"Bolivien","1995","1 Einkommensschwächstes Quintil","","","",""
"Bolivien","1995","2","","","",""
"Bolivien","1995","3","","","",""
"Bolivien","1995","4","","","",""
"Bolivien","1995","5 Einkommensstärkstes Quintil","","","",""
"Portugal","1995","1 Einkommensschwächstes Quintil","4","","",""
"Portugal","1995","2","","","",""
"Portugal","1995","3","3","","",""
"Portugal","1995","4","","","",""
"Portugal","1995","5 Einkommensstärkstes Quintil","","","",""
"Bulgarien","1995","1 Einkommensschwächstes Quintil","6","","",""
"Bulgarien","1995","2","4","","",""
"Bulgarien","1995","3","1","","",""
"Bulgarien","1995","4","","","",""
"Bulgarien","1995","5 Einkommensstärkstes Quintil","","","",""
"Syrien","1995","1 Einkommensschwächstes Quintil","","","",""
"Syrien","1995","2","","","",""
"Syrien","1995","3","","","",""
"Syrien","1995","4","","","",""
"Syrien","1995","5 Einkommensstärkstes Quintil","","","",""
"Tschechien","1995","1 Einkommensschwächstes Quintil","24","","",""
"Tschechien","1995","2","17","","",""
"Tschechien","1995","3","12","","",""
"Tschechien","1995","4","7","","",""
"Tschechien","1995","5 Einkommensstärkstes Quintil","2","","",""
"Russland","1995","1 Einkommensschwächstes Quintil","57","0.00947137450215166","0.00677908008260647","0.0121636689216968"
"Russland","1995","2","18","","",""
"Russland","1995","3","3","","",""
"Russland","1995","4","2","","",""
"Russland","1995","5 Einkommensstärkstes Quintil","","","",""
"Mexiko","1995","1 Einkommensschwächstes Quintil","2","","",""
"Mexiko","1995","2","","","",""
"Mexiko","1995","3","","","",""
"Mexiko","1995","4","","","",""
"Mexiko","1995","5 Einkommensstärkstes Quintil","","","",""
"Argentinien","1995","1 Einkommensschwächstes Quintil","1","","",""
"Argentinien","1995","2","","","",""
"Argentinien","1995","3","","","",""
"Argentinien","1995","4","1","","",""
"Argentinien","1995","5 Einkommensstärkstes Quintil","","","",""
"Benin","1995","1 Einkommensschwächstes Quintil","","","",""
"Benin","1995","2","","","",""
"Benin","1995","3","","","",""
"Benin","1995","4","","","",""
"Benin","1995","5 Einkommensstärkstes Quintil","","","",""
"Philippinen","1995","1 Einkommensschwächstes Quintil","3","","",""
"Philippinen","1995","2","","","",""
"Philippinen","1995","3","1","","",""
"Philippinen","1995","4","1","","",""
"Philippinen","1995","5 Einkommensstärkstes Quintil","","","",""
"Israel","1995","1 Einkommensschwächstes Quintil","","","",""
"Israel","1995","2","","","",""
"Israel","1995","3","","","",""
"Israel","1995","4","","","",""
"Israel","1995","5 Einkommensstärkstes Quintil","","","",""
"Japan","1995","1 Einkommensschwächstes Quintil","","","",""
"Japan","1995","2","1","","",""
"Japan","1995","3","","","",""
"Japan","1995","4","","","",""
"Japan","1995","5 Einkommensstärkstes Quintil","","","",""
"Australien","1995","1 Einkommensschwächstes Quintil","1","","",""
"Australien","1995","2","","","",""
"Australien","1995","3","1","","",""
"Australien","1995","4","","","",""
"Australien","1995","5 Einkommensstärkstes Quintil","","","",""
"Indien","1995","1 Einkommensschwächstes Quintil","","","",""
"Indien","1995","2","","","",""
"Indien","1995","3","","","",""
"Indien","1995","4","","","",""
"Indien","1995","5 Einkommensstärkstes Quintil","","","",""
"Afghanistan","1995","1 Einkommensschwächstes Quintil","","","",""
"Afghanistan","1995","2","","","",""
"Afghanistan","1995","3","","","",""
"Afghanistan","1995","4","","","",""
"Afghanistan","1995","5 Einkommensstärkstes Quintil","","","",""
"Thailand","1995","1 Einkommensschwächstes Quintil","","","",""
"Thailand","1995","2","","","",""
"Thailand","1995","3","","","",""
"Thailand","1995","4","","","",""
"Thailand","1995","5 Einkommensstärkstes Quintil","","","",""
"Jamaika","1995","1 Einkommensschwächstes Quintil","","","",""
"Jamaika","1995","2","","","",""
"Jamaika","1995","3","","","",""
"Jamaika","1995","4","1","","",""
"Jamaika","1995","5 Einkommensstärkstes Quintil","","","",""
"Saudi-Arabien","1995","1 Einkommensschwächstes Quintil","","","",""
"Saudi-Arabien","1995","2","","","",""
"Saudi-Arabien","1995","3","","","",""
"Saudi-Arabien","1995","4","","","",""
"Saudi-Arabien","1995","5 Einkommensstärkstes Quintil","","","",""
"Aethiopien","1995","1 Einkommensschwächstes Quintil","","","",""
"Aethiopien","1995","2","","","",""
"Aethiopien","1995","3","","","",""
"Aethiopien","1995","4","","","",""
"Aethiopien","1995","5 Einkommensstärkstes Quintil","","","",""
"Kolumbien","1995","1 Einkommensschwächstes Quintil","","","",""
"Kolumbien","1995","2","","","",""
"Kolumbien","1995","3","","","",""
"Kolumbien","1995","4","","","",""
"Kolumbien","1995","5 Einkommensstärkstes Quintil","","","",""
"Ghana","1995","1 Einkommensschwächstes Quintil","1","","",""
"Ghana","1995","2","","","",""
"Ghana","1995","3","","","",""
"Ghana","1995","4","","","",""
"Ghana","1995","5 Einkommensstärkstes Quintil","","","",""
"Bangla Desh","1995","1 Einkommensschwächstes Quintil","","","",""
"Bangla Desh","1995","2","","","",""
"Bangla Desh","1995","3","","","",""
"Bangla Desh","1995","4","","","",""
"Bangla Desh","1995","5 Einkommensstärkstes Quintil","","","",""
"Venezuela","1995","1 Einkommensschwächstes Quintil","","","",""
"Venezuela","1995","2","1","","",""
"Venezuela","1995","3","","","",""
"Venezuela","1995","4","","","",""
"Venezuela","1995","5 Einkommensstärkstes Quintil","","","",""
"Tunesien","1995","1 Einkommensschwächstes Quintil","1","","",""
"Tunesien","1995","2","1","","",""
"Tunesien","1995","3","","","",""
"Tunesien","1995","4","","","",""
"Tunesien","1995","5 Einkommensstärkstes Quintil","","","",""
"Mauritius","1995","1 Einkommensschwächstes Quintil","","","",""
"Mauritius","1995","2","1","","",""
"Mauritius","1995","3","1","","",""
"Mauritius","1995","4","","","",""
"Mauritius","1995","5 Einkommensstärkstes Quintil","","","",""
"Nigeria","1995","1 Einkommensschwächstes Quintil","1","","",""
"Nigeria","1995","2","","","",""
"Nigeria","1995","3","","","",""
"Nigeria","1995","4","","","",""
"Nigeria","1995","5 Einkommensstärkstes Quintil","","","",""
"Kanada","1995","1 Einkommensschwächstes Quintil","","","",""
"Kanada","1995","2","","","",""
"Kanada","1995","3","","","",""
"Kanada","1995","4","2","","",""
"Kanada","1995","5 Einkommensstärkstes Quintil","1","","",""
"Neuseeland","1995","1 Einkommensschwächstes Quintil","","","",""
"Neuseeland","1995","2","","","",""
"Neuseeland","1995","3","","","",""
"Neuseeland","1995","4","","","",""
"Neuseeland","1995","5 Einkommensstärkstes Quintil","","","",""
"Tansania","1995","1 Einkommensschwächstes Quintil","","","",""
"Tansania","1995","2","","","",""
"Tansania","1995","3","1","","",""
"Tansania","1995","4","","","",""
"Tansania","1995","5 Einkommensstärkstes Quintil","","","",""
"Zypern","1995","1 Einkommensschwächstes Quintil","","","",""
"Zypern","1995","2","","","",""
"Zypern","1995","3","","","",""
"Zypern","1995","4","","","",""
"Zypern","1995","5 Einkommensstärkstes Quintil","","","",""
"Kuba","1995","1 Einkommensschwächstes Quintil","","","",""
"Kuba","1995","2","","","",""
"Kuba","1995","3","","","",""
"Kuba","1995","4","","","",""
"Kuba","1995","5 Einkommensstärkstes Quintil","","","",""
"Irak","1995","1 Einkommensschwächstes Quintil","","","",""
"Irak","1995","2","","","",""
"Irak","1995","3","","","",""
"Irak","1995","4","","","",""
"Irak","1995","5 Einkommensstärkstes Quintil","","","",""
"Brasilien","1995","1 Einkommensschwächstes Quintil","1","","",""
"Brasilien","1995","2","1","","",""
"Brasilien","1995","3","1","","",""
"Brasilien","1995","4","","","",""
"Brasilien","1995","5 Einkommensstärkstes Quintil","","","",""
"Hongkong","1995","1 Einkommensschwächstes Quintil","","","",""
"Hongkong","1995","2","","","",""
"Hongkong","1995","3","","","",""
"Hongkong","1995","4","","","",""
"Hongkong","1995","5 Einkommensstärkstes Quintil","","","",""
"Peru","1995","1 Einkommensschwächstes Quintil","","","",""
"Peru","1995","2","","","",""
"Peru","1995","3","","","",""
"Peru","1995","4","","","",""
"Peru","1995","5 Einkommensstärkstes Quintil","","","",""
"Sri Lanka","1995","1 Einkommensschwächstes Quintil","","","",""
"Sri Lanka","1995","2","","","",""
"Sri Lanka","1995","3","","","",""
"Sri Lanka","1995","4","","","",""
"Sri Lanka","1995","5 Einkommensstärkstes Quintil","","","",""
"Nepal","1995","1 Einkommensschwächstes Quintil","","","",""
"Nepal","1995","2","","","",""
"Nepal","1995","3","","","",""
"Nepal","1995","4","","","",""
"Nepal","1995","5 Einkommensstärkstes Quintil","","","",""
"Marokko","1995","1 Einkommensschwächstes Quintil","1","","",""
"Marokko","1995","2","","","",""
"Marokko","1995","3","","","",""
"Marokko","1995","4","","","",""
"Marokko","1995","5 Einkommensstärkstes Quintil","","","",""
"China","1995","1 Einkommensschwächstes Quintil","","","",""
"China","1995","2","","","",""
"China","1995","3","","","",""
"China","1995","4","","","",""
"China","1995","5 Einkommensstärkstes Quintil","1","","",""
"Irland","1995","1 Einkommensschwächstes Quintil","","","",""
"Irland","1995","2","","","",""
"Irland","1995","3","","","",""
"Irland","1995","4","","","",""
"Irland","1995","5 Einkommensstärkstes Quintil","","","",""
"Moldawien","1995","1 Einkommensschwächstes Quintil","","","",""
"Moldawien","1995","2","1","","",""
"Moldawien","1995","3","","","",""
"Moldawien","1995","4","","","",""
"Moldawien","1995","5 Einkommensstärkstes Quintil","","","",""
"Kasachstan","1995","1 Einkommensschwächstes Quintil","44","0.00535357556683735","0.00332524440675381","0.00738190672692089"
"Kasachstan","1995","2","20","","",""
"Kasachstan","1995","3","2","","",""
"Kasachstan","1995","4","","","",""
"Kasachstan","1995","5 Einkommensstärkstes Quintil","","","",""
"Albanien","1995","1 Einkommensschwächstes Quintil","1","","",""
"Albanien","1995","2","","","",""
"Albanien","1995","3","","","",""
"Albanien","1995","4","","","",""
"Albanien","1995","5 Einkommensstärkstes Quintil","","","",""
"Libanon","1995","1 Einkommensschwächstes Quintil","","","",""
"Libanon","1995","2","","","",""
"Libanon","1995","3","","","",""
"Libanon","1995","4","","","",""
"Libanon","1995","5 Einkommensstärkstes Quintil","","","",""
"Kirgistan","1995","1 Einkommensschwächstes Quintil","6","","",""
"Kirgistan","1995","2","","","",""
"Kirgistan","1995","3","","","",""
"Kirgistan","1995","4","","","",""
"Kirgistan","1995","5 Einkommensstärkstes Quintil","","","",""
"Ukraine","1995","1 Einkommensschwächstes Quintil","12","","",""
"Ukraine","1995","2","2","","",""
"Ukraine","1995","3","1","","",""
"Ukraine","1995","4","","","",""
"Ukraine","1995","5 Einkommensstärkstes Quintil","","","",""
"Algerien","1995","1 Einkommensschwächstes Quintil","","","",""
"Algerien","1995","2","2","","",""
"Algerien","1995","3","","","",""
"Algerien","1995","4","","","",""
"Algerien","1995","5 Einkommensstärkstes Quintil","","","",""
"Mocambique","1995","1 Einkommensschwächstes Quintil","","","",""
"Mocambique","1995","2","","","",""
"Mocambique","1995","3","","","",""
"Mocambique","1995","4","","","",""
"Mocambique","1995","5 Einkommensstärkstes Quintil","","","",""
"Aegypten","1995","1 Einkommensschwächstes Quintil","1","","",""
"Aegypten","1995","2","","","",""
"Aegypten","1995","3","","","",""
"Aegypten","1995","4","","","",""
"Aegypten","1995","5 Einkommensstärkstes Quintil","","","",""
"Tadschikistan","1995","1 Einkommensschwächstes Quintil","6","","",""
"Tadschikistan","1995","2","2","","",""
"Tadschikistan","1995","3","","","",""
"Tadschikistan","1995","4","","","",""
"Tadschikistan","1995","5 Einkommensstärkstes Quintil","","","",""
"Vietnam","1995","1 Einkommensschwächstes Quintil","2","","",""
"Vietnam","1995","2","","","",""
"Vietnam","1995","3","3","","",""
"Vietnam","1995","4","","","",""
"Vietnam","1995","5 Einkommensstärkstes Quintil","","","",""
"Somalia","1995","1 Einkommensschwächstes Quintil","","","",""
"Somalia","1995","2","","","",""
"Somalia","1995","3","","","",""
"Somalia","1995","4","","","",""
"Somalia","1995","5 Einkommensstärkstes Quintil","","","",""
"Pakistan","1995","1 Einkommensschwächstes Quintil","","","",""
"Pakistan","1995","2","","","",""
"Pakistan","1995","3","","","",""
"Pakistan","1995","4","","","",""
"Pakistan","1995","5 Einkommensstärkstes Quintil","","","",""
"Südafrika","1995","1 Einkommensschwächstes Quintil","","","",""
"Südafrika","1995","2","","","",""
"Südafrika","1995","3","","","",""
"Südafrika","1995","4","","","",""
"Südafrika","1995","5 Einkommensstärkstes Quintil","","","",""
"Vereinigte Arabische Emirate","1995","1 Einkommensschwächstes Quintil","","","",""
"Vereinigte Arabische Emirate","1995","2","","","",""
"Vereinigte Arabische Emirate","1995","3","","","",""
"Vereinigte Arabische Emirate","1995","4","","","",""
"Vereinigte Arabische Emirate","1995","5 Einkommensstärkstes Quintil","","","",""
"El Salvador","1995","1 Einkommensschwächstes Quintil","","","",""
"El Salvador","1995","2","","","",""
"El Salvador","1995","3","","","",""
"El Salvador","1995","4","","","",""
"El Salvador","1995","5 Einkommensstärkstes Quintil","","","",""
"Eritrea","1995","1 Einkommensschwächstes Quintil","7","","",""
"Eritrea","1995","2","","","",""
"Eritrea","1995","3","","","",""
"Eritrea","1995","4","","","",""
"Eritrea","1995","5 Einkommensstärkstes Quintil","","","",""
"Jordanien","1995","1 Einkommensschwächstes Quintil","2","","",""
"Jordanien","1995","2","","","",""
"Jordanien","1995","3","","","",""
"Jordanien","1995","4","","","",""
"Jordanien","1995","5 Einkommensstärkstes Quintil","","","",""
"Costa Rica","1995","1 Einkommensschwächstes Quintil","1","","",""
"Costa Rica","1995","2","","","",""
"Costa Rica","1995","3","","","",""
"Costa Rica","1995","4","","","",""
"Costa Rica","1995","5 Einkommensstärkstes Quintil","","","",""
"Singapur","1995","1 Einkommensschwächstes Quintil","","","",""
"Singapur","1995","2","","","",""
"Singapur","1995","3","","","",""
"Singapur","1995","4","","","",""
"Singapur","1995","5 Einkommensstärkstes Quintil","","","",""
"Burkina Faso","1995","1 Einkommensschwächstes Quintil","","","",""
"Burkina Faso","1995","2","","","",""
"Burkina Faso","1995","3","","","",""
"Burkina Faso","1995","4","","","",""
"Burkina Faso","1995","5 Einkommensstärkstes Quintil","","","",""
"Sambia","1995","1 Einkommensschwächstes Quintil","","","",""
"Sambia","1995","2","","","",""
"Sambia","1995","3","","","",""
"Sambia","1995","4","","","",""
"Sambia","1995","5 Einkommensstärkstes Quintil","","","",""
"Ecuador","1995","1 Einkommensschwächstes Quintil","","","",""
"Ecuador","1995","2","","","",""
"Ecuador","1995","3","1","","",""
"Ecuador","1995","4","","","",""
"Ecuador","1995","5 Einkommensstärkstes Quintil","","","",""
"Usbekistan","1995","1 Einkommensschwächstes Quintil","6","","",""
"Usbekistan","1995","2","","","",""
"Usbekistan","1995","3","","","",""
"Usbekistan","1995","4","","","",""
"Usbekistan","1995","5 Einkommensstärkstes Quintil","","","",""
"Staatenlos","1995","1 Einkommensschwächstes Quintil","","","",""
"Staatenlos","1995","2","1","","",""
"Staatenlos","1995","3","","","",""
"Staatenlos","1995","4","","","",""
"Staatenlos","1995","5 Einkommensstärkstes Quintil","","","",""
"Laos","1995","1 Einkommensschwächstes Quintil","","","",""
"Laos","1995","2","","","",""
"Laos","1995","3","","","",""
"Laos","1995","4","","","",""
"Laos","1995","5 Einkommensstärkstes Quintil","","","",""
"Estland","1995","1 Einkommensschwächstes Quintil","","","",""
"Estland","1995","2","","","",""
"Estland","1995","3","","","",""
"Estland","1995","4","","","",""
"Estland","1995","5 Einkommensstärkstes Quintil","","","",""
"Angola","1995","1 Einkommensschwächstes Quintil","3","","",""
"Angola","1995","2","","","",""
"Angola","1995","3","","","",""
"Angola","1995","4","","","",""
"Angola","1995","5 Einkommensstärkstes Quintil","","","",""
"Lettland","1995","1 Einkommensschwächstes Quintil","2","","",""
"Lettland","1995","2","","","",""
"Lettland","1995","3","","","",""
"Lettland","1995","4","","","",""
"Lettland","1995","5 Einkommensstärkstes Quintil","","","",""
"Namibia","1995","1 Einkommensschwächstes Quintil","1","","",""
"Namibia","1995","2","","","",""
"Namibia","1995","3","","","",""
"Namibia","1995","4","1","","",""
"Namibia","1995","5 Einkommensstärkstes Quintil","","","",""
"Dominikanische Republik","1995","1 Einkommensschwächstes Quintil","","","",""
"Dominikanische Republik","1995","2","","","",""
"Dominikanische Republik","1995","3","","","",""
"Dominikanische Republik","1995","4","","","",""
"Dominikanische Republik","1995","5 Einkommensstärkstes Quintil","","","",""
"Nicaragua","1995","1 Einkommensschwächstes Quintil","","","",""
"Nicaragua","1995","2","","","",""
"Nicaragua","1995","3","","","",""
"Nicaragua","1995","4","","","",""
"Nicaragua","1995","5 Einkommensstärkstes Quintil","","","",""
"Kenia","1995","1 Einkommensschwächstes Quintil","","","",""
"Kenia","1995","2","","","",""
"Kenia","1995","3","","","",""
"Kenia","1995","4","","","",""
"Kenia","1995","5 Einkommensstärkstes Quintil","","","",""
"Libyen","1995","1 Einkommensschwächstes Quintil","","","",""
"Libyen","1995","2","","","",""
"Libyen","1995","3","","","",""
"Libyen","1995","4","","","",""
"Libyen","1995","5 Einkommensstärkstes Quintil","","","",""
"Botswana","1995","1 Einkommensschwächstes Quintil","","","",""
"Botswana","1995","2","","","",""
"Botswana","1995","3","","","",""
"Botswana","1995","4","","","",""
"Botswana","1995","5 Einkommensstärkstes Quintil","","","",""
"Haiti","1995","1 Einkommensschwächstes Quintil","","","",""
"Haiti","1995","2","","","",""
"Haiti","1995","3","","","",""
"Haiti","1995","4","","","",""
"Haiti","1995","5 Einkommensstärkstes Quintil","","","",""
"Luxemburg","1995","1 Einkommensschwächstes Quintil","","","",""
"Luxemburg","1995","2","","","",""
"Luxemburg","1995","3","3","","",""
"Luxemburg","1995","4","","","",""
"Luxemburg","1995","5 Einkommensstärkstes Quintil","","","",""
"Belgien","1995","1 Einkommensschwächstes Quintil","1","","",""
"Belgien","1995","2","1","","",""
"Belgien","1995","3","1","","",""
"Belgien","1995","4","","","",""
"Belgien","1995","5 Einkommensstärkstes Quintil","1","","",""
"Niederlande","1995","1 Einkommensschwächstes Quintil","7","","",""
"Niederlande","1995","2","1","","",""
"Niederlande","1995","3","","","",""
"Niederlande","1995","4","1","","",""
"Niederlande","1995","5 Einkommensstärkstes Quintil","","","",""
"Kroatien","1995","1 Einkommensschwächstes Quintil","27","","",""
"Kroatien","1995","2","53","0.00685368180669449","0.0042435394570947","0.00946382415629429"
"Kroatien","1995","3","27","","",""
"Kroatien","1995","4","5","","",""
"Kroatien","1995","5 Einkommensstärkstes Quintil","5","","",""
"Bosnien/Herzegowina","1995","1 Einkommensschwächstes Quintil","54","0.00871610723343685","0.00613240275432754","0.0112998117125462"
"Bosnien/Herzegowina","1995","2","29","","",""
"Bosnien/Herzegowina","1995","3","15","","",""
"Bosnien/Herzegowina","1995","4","5","","",""
"Bosnien/Herzegowina","1995","5 Einkommensstärkstes Quintil","7","","",""
"Makedonien","1995","1 Einkommensschwächstes Quintil","6","","",""
"Makedonien","1995","2","4","","",""
"Makedonien","1995","3","","","",""
"Makedonien","1995","4","1","","",""
"Makedonien","1995","5 Einkommensstärkstes Quintil","","","",""
"Slowenien","1995","1 Einkommensschwächstes Quintil","4","","",""
"Slowenien","1995","2","5","","",""
"Slowenien","1995","3","7","","",""
"Slowenien","1995","4","5","","",""
"Slowenien","1995","5 Einkommensstärkstes Quintil","","","",""
"Slowakei","1995","1 Einkommensschwächstes Quintil","","","",""
"Slowakei","1995","2","","","",""
"Slowakei","1995","3","","","",""
"Slowakei","1995","4","2","","",""
"Slowakei","1995","5 Einkommensstärkstes Quintil","","","",""
"Paraguay","1995","1 Einkommensschwächstes Quintil","","","",""
"Paraguay","1995","2","2","","",""
"Paraguay","1995","3","","","",""
"Paraguay","1995","4","1","","",""
"Paraguay","1995","5 Einkommensstärkstes Quintil","","","",""
"Guinea","1995","1 Einkommensschwächstes Quintil","","","",""
"Guinea","1995","2","","","",""
"Guinea","1995","3","","","",""
"Guinea","1995","4","","","",""
"Guinea","1995","5 Einkommensstärkstes Quintil","","","",""
"Kuwait","1995","1 Einkommensschwächstes Quintil","","","",""
"Kuwait","1995","2","","","",""
"Kuwait","1995","3","","","",""
"Kuwait","1995","4","","","",""
"Kuwait","1995","5 Einkommensstärkstes Quintil","","","",""
"Elfenbeinkueste","1995","1 Einkommensschwächstes Quintil","","","",""
"Elfenbeinkueste","1995","2","","","",""
"Elfenbeinkueste","1995","3","","","",""
"Elfenbeinkueste","1995","4","","","",""
"Elfenbeinkueste","1995","5 Einkommensstärkstes Quintil","","","",""
"Malaysia_(128)","1995","1 Einkommensschwächstes Quintil","","","",""
"Malaysia_(128)","1995","2","","","",""
"Malaysia_(128)","1995","3","","","",""
"Malaysia_(128)","1995","4","","","",""
"Malaysia_(128)","1995","5 Einkommensstärkstes Quintil","","","",""
"Samoa","1995","1 Einkommensschwächstes Quintil","","","",""
"Samoa","1995","2","","","",""
"Samoa","1995","3","","","",""
"Samoa","1995","4","","","",""
"Samoa","1995","5 Einkommensstärkstes Quintil","","","",""
"Aserbaidschan","1995","1 Einkommensschwächstes Quintil","","","",""
"Aserbaidschan","1995","2","","","",""
"Aserbaidschan","1995","3","","","",""
"Aserbaidschan","1995","4","","","",""
"Aserbaidschan","1995","5 Einkommensstärkstes Quintil","","","",""
"Weissrussland","1995","1 Einkommensschwächstes Quintil","","","",""
"Weissrussland","1995","2","","","",""
"Weissrussland","1995","3","","","",""
"Weissrussland","1995","4","1","","",""
