"corigin","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Saudi-Arabien","1984","direkter Migrationshintergrund","","","",""
"Saudi-Arabien","1984","indirekter Migrationshintergrund","","","",""
"Saudi-Arabien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Aethiopien","1984","kein Migrationshintergrund","","","",""
"Aethiopien","1984","direkter Migrationshintergrund","","","",""
"Aethiopien","1984","indirekter Migrationshintergrund","","","",""
"Aethiopien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Kolumbien","1984","kein Migrationshintergrund","","","",""
"Kolumbien","1984","direkter Migrationshintergrund","","","",""
"Kolumbien","1984","indirekter Migrationshintergrund","","","",""
"Kolumbien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ghana","1984","kein Migrationshintergrund","","","",""
"Ghana","1984","direkter Migrationshintergrund","","","",""
"Ghana","1984","indirekter Migrationshintergrund","","","",""
"Ghana","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Bangla Desh","1984","kein Migrationshintergrund","","","",""
"Bangla Desh","1984","direkter Migrationshintergrund","","","",""
"Bangla Desh","1984","indirekter Migrationshintergrund","","","",""
"Bangla Desh","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Venezuela","1984","kein Migrationshintergrund","","","",""
"Venezuela","1984","direkter Migrationshintergrund","","","",""
"Venezuela","1984","indirekter Migrationshintergrund","","","",""
"Venezuela","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Tunesien","1984","kein Migrationshintergrund","","","",""
"Tunesien","1984","direkter Migrationshintergrund","","","",""
"Tunesien","1984","indirekter Migrationshintergrund","","","",""
"Tunesien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mauritius","1984","kein Migrationshintergrund","","","",""
"Mauritius","1984","direkter Migrationshintergrund","1","","",""
"Mauritius","1984","indirekter Migrationshintergrund","","","",""
"Mauritius","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nigeria","1984","kein Migrationshintergrund","","","",""
"Nigeria","1984","direkter Migrationshintergrund","","","",""
"Nigeria","1984","indirekter Migrationshintergrund","","","",""
"Nigeria","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Kanada","1984","kein Migrationshintergrund","","","",""
"Kanada","1984","direkter Migrationshintergrund","1","","",""
"Kanada","1984","indirekter Migrationshintergrund","","","",""
"Kanada","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Neuseeland","1984","kein Migrationshintergrund","","","",""
"Neuseeland","1984","direkter Migrationshintergrund","","","",""
"Neuseeland","1984","indirekter Migrationshintergrund","","","",""
"Neuseeland","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Tansania","1984","kein Migrationshintergrund","","","",""
"Tansania","1984","direkter Migrationshintergrund","","","",""
"Tansania","1984","indirekter Migrationshintergrund","","","",""
"Tansania","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Zypern","1984","kein Migrationshintergrund","","","",""
"Zypern","1984","direkter Migrationshintergrund","","","",""
"Zypern","1984","indirekter Migrationshintergrund","","","",""
"Zypern","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Kuba","1984","kein Migrationshintergrund","","","",""
"Kuba","1984","direkter Migrationshintergrund","","","",""
"Kuba","1984","indirekter Migrationshintergrund","","","",""
"Kuba","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Irak","1984","kein Migrationshintergrund","","","",""
"Irak","1984","direkter Migrationshintergrund","","","",""
"Irak","1984","indirekter Migrationshintergrund","","","",""
"Irak","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Brasilien","1984","kein Migrationshintergrund","","","",""
"Brasilien","1984","direkter Migrationshintergrund","2","","",""
"Brasilien","1984","indirekter Migrationshintergrund","","","",""
"Brasilien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Hongkong","1984","kein Migrationshintergrund","","","",""
"Hongkong","1984","direkter Migrationshintergrund","","","",""
"Hongkong","1984","indirekter Migrationshintergrund","","","",""
"Hongkong","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Peru","1984","kein Migrationshintergrund","","","",""
"Peru","1984","direkter Migrationshintergrund","","","",""
"Peru","1984","indirekter Migrationshintergrund","","","",""
"Peru","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sri Lanka","1984","kein Migrationshintergrund","","","",""
"Sri Lanka","1984","direkter Migrationshintergrund","","","",""
"Sri Lanka","1984","indirekter Migrationshintergrund","","","",""
"Sri Lanka","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nepal","1984","kein Migrationshintergrund","","","",""
"Nepal","1984","direkter Migrationshintergrund","","","",""
"Nepal","1984","indirekter Migrationshintergrund","","","",""
"Nepal","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Marokko","1984","kein Migrationshintergrund","","","",""
"Marokko","1984","direkter Migrationshintergrund","","","",""
"Marokko","1984","indirekter Migrationshintergrund","","","",""
"Marokko","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"China","1984","kein Migrationshintergrund","","","",""
"China","1984","direkter Migrationshintergrund","","","",""
"China","1984","indirekter Migrationshintergrund","","","",""
"China","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Irland","1984","kein Migrationshintergrund","","","",""
"Irland","1984","direkter Migrationshintergrund","","","",""
"Irland","1984","indirekter Migrationshintergrund","","","",""
"Irland","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Moldawien","1984","kein Migrationshintergrund","","","",""
"Moldawien","1984","direkter Migrationshintergrund","","","",""
"Moldawien","1984","indirekter Migrationshintergrund","","","",""
"Moldawien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Kasachstan","1984","kein Migrationshintergrund","","","",""
"Kasachstan","1984","direkter Migrationshintergrund","","","",""
"Kasachstan","1984","indirekter Migrationshintergrund","","","",""
"Kasachstan","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Albanien","1984","kein Migrationshintergrund","","","",""
"Albanien","1984","direkter Migrationshintergrund","","","",""
"Albanien","1984","indirekter Migrationshintergrund","","","",""
"Albanien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Libanon","1984","kein Migrationshintergrund","","","",""
"Libanon","1984","direkter Migrationshintergrund","","","",""
"Libanon","1984","indirekter Migrationshintergrund","","","",""
"Libanon","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Kirgistan","1984","kein Migrationshintergrund","","","",""
"Kirgistan","1984","direkter Migrationshintergrund","","","",""
"Kirgistan","1984","indirekter Migrationshintergrund","","","",""
"Kirgistan","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ukraine","1984","kein Migrationshintergrund","","","",""
"Ukraine","1984","direkter Migrationshintergrund","","","",""
"Ukraine","1984","indirekter Migrationshintergrund","","","",""
"Ukraine","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Algerien","1984","kein Migrationshintergrund","","","",""
"Algerien","1984","direkter Migrationshintergrund","","","",""
"Algerien","1984","indirekter Migrationshintergrund","","","",""
"Algerien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Mocambique","1984","kein Migrationshintergrund","","","",""
"Mocambique","1984","direkter Migrationshintergrund","","","",""
"Mocambique","1984","indirekter Migrationshintergrund","","","",""
"Mocambique","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Aegypten","1984","kein Migrationshintergrund","","","",""
"Aegypten","1984","direkter Migrationshintergrund","","","",""
"Aegypten","1984","indirekter Migrationshintergrund","","","",""
"Aegypten","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Tadschikistan","1984","kein Migrationshintergrund","","","",""
"Tadschikistan","1984","direkter Migrationshintergrund","2","","",""
"Tadschikistan","1984","indirekter Migrationshintergrund","","","",""
"Tadschikistan","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vietnam","1984","kein Migrationshintergrund","","","",""
"Vietnam","1984","direkter Migrationshintergrund","","","",""
"Vietnam","1984","indirekter Migrationshintergrund","","","",""
"Vietnam","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Somalia","1984","kein Migrationshintergrund","","","",""
"Somalia","1984","direkter Migrationshintergrund","","","",""
"Somalia","1984","indirekter Migrationshintergrund","","","",""
"Somalia","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Pakistan","1984","kein Migrationshintergrund","","","",""
"Pakistan","1984","direkter Migrationshintergrund","","","",""
"Pakistan","1984","indirekter Migrationshintergrund","","","",""
"Pakistan","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Südafrika","1984","kein Migrationshintergrund","","","",""
"Südafrika","1984","direkter Migrationshintergrund","","","",""
"Südafrika","1984","indirekter Migrationshintergrund","","","",""
"Südafrika","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Vereinigte Arabische Emirate","1984","kein Migrationshintergrund","","","",""
"Vereinigte Arabische Emirate","1984","direkter Migrationshintergrund","","","",""
"Vereinigte Arabische Emirate","1984","indirekter Migrationshintergrund","","","",""
"Vereinigte Arabische Emirate","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"El Salvador","1984","kein Migrationshintergrund","","","",""
"El Salvador","1984","direkter Migrationshintergrund","","","",""
"El Salvador","1984","indirekter Migrationshintergrund","","","",""
"El Salvador","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Eritrea","1984","kein Migrationshintergrund","","","",""
"Eritrea","1984","direkter Migrationshintergrund","","","",""
"Eritrea","1984","indirekter Migrationshintergrund","","","",""
"Eritrea","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Jordanien","1984","kein Migrationshintergrund","","","",""
"Jordanien","1984","direkter Migrationshintergrund","","","",""
"Jordanien","1984","indirekter Migrationshintergrund","","","",""
"Jordanien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Costa Rica","1984","kein Migrationshintergrund","","","",""
"Costa Rica","1984","direkter Migrationshintergrund","","","",""
"Costa Rica","1984","indirekter Migrationshintergrund","","","",""
"Costa Rica","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Singapur","1984","kein Migrationshintergrund","","","",""
"Singapur","1984","direkter Migrationshintergrund","","","",""
"Singapur","1984","indirekter Migrationshintergrund","","","",""
"Singapur","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Burkina Faso","1984","kein Migrationshintergrund","","","",""
"Burkina Faso","1984","direkter Migrationshintergrund","","","",""
"Burkina Faso","1984","indirekter Migrationshintergrund","","","",""
"Burkina Faso","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sambia","1984","kein Migrationshintergrund","","","",""
"Sambia","1984","direkter Migrationshintergrund","","","",""
"Sambia","1984","indirekter Migrationshintergrund","","","",""
"Sambia","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ecuador","1984","kein Migrationshintergrund","","","",""
"Ecuador","1984","direkter Migrationshintergrund","","","",""
"Ecuador","1984","indirekter Migrationshintergrund","","","",""
"Ecuador","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Usbekistan","1984","kein Migrationshintergrund","","","",""
"Usbekistan","1984","direkter Migrationshintergrund","","","",""
"Usbekistan","1984","indirekter Migrationshintergrund","","","",""
"Usbekistan","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Staatenlos","1984","kein Migrationshintergrund","","","",""
"Staatenlos","1984","direkter Migrationshintergrund","4","","",""
"Staatenlos","1984","indirekter Migrationshintergrund","","","",""
"Staatenlos","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Laos","1984","kein Migrationshintergrund","","","",""
"Laos","1984","direkter Migrationshintergrund","","","",""
"Laos","1984","indirekter Migrationshintergrund","","","",""
"Laos","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Estland","1984","kein Migrationshintergrund","","","",""
"Estland","1984","direkter Migrationshintergrund","","","",""
"Estland","1984","indirekter Migrationshintergrund","","","",""
"Estland","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Angola","1984","kein Migrationshintergrund","","","",""
"Angola","1984","direkter Migrationshintergrund","","","",""
"Angola","1984","indirekter Migrationshintergrund","","","",""
"Angola","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Lettland","1984","kein Migrationshintergrund","","","",""
"Lettland","1984","direkter Migrationshintergrund","","","",""
"Lettland","1984","indirekter Migrationshintergrund","","","",""
"Lettland","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Namibia","1984","kein Migrationshintergrund","","","",""
"Namibia","1984","direkter Migrationshintergrund","1","","",""
"Namibia","1984","indirekter Migrationshintergrund","","","",""
"Namibia","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Dominikanische Republik","1984","kein Migrationshintergrund","","","",""
"Dominikanische Republik","1984","direkter Migrationshintergrund","","","",""
"Dominikanische Republik","1984","indirekter Migrationshintergrund","","","",""
"Dominikanische Republik","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nicaragua","1984","kein Migrationshintergrund","","","",""
"Nicaragua","1984","direkter Migrationshintergrund","","","",""
"Nicaragua","1984","indirekter Migrationshintergrund","","","",""
"Nicaragua","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Kenia","1984","kein Migrationshintergrund","","","",""
"Kenia","1984","direkter Migrationshintergrund","","","",""
"Kenia","1984","indirekter Migrationshintergrund","","","",""
"Kenia","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Libyen","1984","kein Migrationshintergrund","","","",""
"Libyen","1984","direkter Migrationshintergrund","","","",""
"Libyen","1984","indirekter Migrationshintergrund","","","",""
"Libyen","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Botswana","1984","kein Migrationshintergrund","","","",""
"Botswana","1984","direkter Migrationshintergrund","","","",""
"Botswana","1984","indirekter Migrationshintergrund","","","",""
"Botswana","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Haiti","1984","kein Migrationshintergrund","","","",""
"Haiti","1984","direkter Migrationshintergrund","","","",""
"Haiti","1984","indirekter Migrationshintergrund","","","",""
"Haiti","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Luxemburg","1984","kein Migrationshintergrund","","","",""
"Luxemburg","1984","direkter Migrationshintergrund","","","",""
"Luxemburg","1984","indirekter Migrationshintergrund","","","",""
"Luxemburg","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Belgien","1984","kein Migrationshintergrund","","","",""
"Belgien","1984","direkter Migrationshintergrund","3","","",""
"Belgien","1984","indirekter Migrationshintergrund","","","",""
"Belgien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Niederlande","1984","kein Migrationshintergrund","","","",""
"Niederlande","1984","direkter Migrationshintergrund","6","","",""
"Niederlande","1984","indirekter Migrationshintergrund","","","",""
"Niederlande","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Kroatien","1984","kein Migrationshintergrund","","","",""
"Kroatien","1984","direkter Migrationshintergrund","92","0.0188612642341845","0.0142213477102566","0.0235011807581123"
"Kroatien","1984","indirekter Migrationshintergrund","","","",""
"Kroatien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Bosnien/Herzegowina","1984","kein Migrationshintergrund","","","",""
"Bosnien/Herzegowina","1984","direkter Migrationshintergrund","60","0.0132405497407033","0.00934186415566994","0.0171392353257366"
"Bosnien/Herzegowina","1984","indirekter Migrationshintergrund","","","",""
"Bosnien/Herzegowina","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Makedonien","1984","kein Migrationshintergrund","","","",""
"Makedonien","1984","direkter Migrationshintergrund","9","","",""
"Makedonien","1984","indirekter Migrationshintergrund","","","",""
"Makedonien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Slowenien","1984","kein Migrationshintergrund","","","",""
"Slowenien","1984","direkter Migrationshintergrund","17","","",""
"Slowenien","1984","indirekter Migrationshintergrund","","","",""
"Slowenien","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Slowakei","1984","kein Migrationshintergrund","","","",""
"Slowakei","1984","direkter Migrationshintergrund","2","","",""
"Slowakei","1984","indirekter Migrationshintergrund","","","",""
"Slowakei","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Paraguay","1984","kein Migrationshintergrund","","","",""
"Paraguay","1984","direkter Migrationshintergrund","3","","",""
"Paraguay","1984","indirekter Migrationshintergrund","","","",""
"Paraguay","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Guinea","1984","kein Migrationshintergrund","","","",""
"Guinea","1984","direkter Migrationshintergrund","","","",""
"Guinea","1984","indirekter Migrationshintergrund","","","",""
"Guinea","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Kuwait","1984","kein Migrationshintergrund","","","",""
"Kuwait","1984","direkter Migrationshintergrund","","","",""
"Kuwait","1984","indirekter Migrationshintergrund","","","",""
"Kuwait","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Elfenbeinkueste","1984","kein Migrationshintergrund","","","",""
"Elfenbeinkueste","1984","direkter Migrationshintergrund","","","",""
"Elfenbeinkueste","1984","indirekter Migrationshintergrund","","","",""
"Elfenbeinkueste","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Malaysia_(128)","1984","kein Migrationshintergrund","","","",""
"Malaysia_(128)","1984","direkter Migrationshintergrund","","","",""
"Malaysia_(128)","1984","indirekter Migrationshintergrund","","","",""
"Malaysia_(128)","1984","Migrationshintergrund - n. w. differenzierbar","","","",""
"Samoa","1984","kein Migrationshintergrund","","","",""
"Samoa","1984","direkter Migrationshintergrund","","","",""
"Samoa","1984","indirekter Migrationshintergrund","","","",""
