"corigin","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grossbritannien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Grossbritannien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grossbritannien","1984","Hauptschule","Westdeutschland","2","","",""
"Grossbritannien","1984","Hauptschule","Ostdeutschland","","","",""
"Grossbritannien","1984","Realschule","Westdeutschland","","","",""
"Grossbritannien","1984","Realschule","Ostdeutschland","","","",""
"Grossbritannien","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Grossbritannien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Grossbritannien","1984","AkademikerIn","Westdeutschland","1","","",""
"Grossbritannien","1984","AkademikerIn","Ostdeutschland","","","",""
"Schweden","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Schweden","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Schweden","1984","Hauptschule","Westdeutschland","","","",""
"Schweden","1984","Hauptschule","Ostdeutschland","","","",""
"Schweden","1984","Realschule","Westdeutschland","","","",""
"Schweden","1984","Realschule","Ostdeutschland","","","",""
"Schweden","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Schweden","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Schweden","1984","AkademikerIn","Westdeutschland","1","","",""
"Schweden","1984","AkademikerIn","Ostdeutschland","","","",""
"Norwegen","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Norwegen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Norwegen","1984","Hauptschule","Westdeutschland","","","",""
"Norwegen","1984","Hauptschule","Ostdeutschland","","","",""
"Norwegen","1984","Realschule","Westdeutschland","","","",""
"Norwegen","1984","Realschule","Ostdeutschland","","","",""
"Norwegen","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Norwegen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Norwegen","1984","AkademikerIn","Westdeutschland","","","",""
"Norwegen","1984","AkademikerIn","Ostdeutschland","","","",""
"Finnland","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Finnland","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Finnland","1984","Hauptschule","Westdeutschland","","","",""
"Finnland","1984","Hauptschule","Ostdeutschland","","","",""
"Finnland","1984","Realschule","Westdeutschland","","","",""
"Finnland","1984","Realschule","Ostdeutschland","","","",""
"Finnland","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Finnland","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Finnland","1984","AkademikerIn","Westdeutschland","","","",""
"Finnland","1984","AkademikerIn","Ostdeutschland","","","",""
"USA","1984","(noch) kein Abschluss","Westdeutschland","2","","",""
"USA","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"USA","1984","Hauptschule","Westdeutschland","5","","",""
"USA","1984","Hauptschule","Ostdeutschland","","","",""
"USA","1984","Realschule","Westdeutschland","4","","",""
"USA","1984","Realschule","Ostdeutschland","","","",""
"USA","1984","(Fach-)Abitur","Westdeutschland","4","","",""
"USA","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"USA","1984","AkademikerIn","Westdeutschland","2","","",""
"USA","1984","AkademikerIn","Ostdeutschland","","","",""
"Schweiz","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Schweiz","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Schweiz","1984","Hauptschule","Westdeutschland","4","","",""
"Schweiz","1984","Hauptschule","Ostdeutschland","","","",""
"Schweiz","1984","Realschule","Westdeutschland","4","","",""
"Schweiz","1984","Realschule","Ostdeutschland","","","",""
"Schweiz","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Schweiz","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Schweiz","1984","AkademikerIn","Westdeutschland","2","","",""
"Schweiz","1984","AkademikerIn","Ostdeutschland","","","",""
"Chile","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Chile","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Chile","1984","Hauptschule","Westdeutschland","2","","",""
"Chile","1984","Hauptschule","Ostdeutschland","","","",""
"Chile","1984","Realschule","Westdeutschland","","","",""
"Chile","1984","Realschule","Ostdeutschland","","","",""
"Chile","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Chile","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Chile","1984","AkademikerIn","Westdeutschland","","","",""
"Chile","1984","AkademikerIn","Ostdeutschland","","","",""
"Rumaenien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Rumaenien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Rumaenien","1984","Hauptschule","Westdeutschland","10","","",""
"Rumaenien","1984","Hauptschule","Ostdeutschland","","","",""
"Rumaenien","1984","Realschule","Westdeutschland","1","","",""
"Rumaenien","1984","Realschule","Ostdeutschland","","","",""
"Rumaenien","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Rumaenien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Rumaenien","1984","AkademikerIn","Westdeutschland","","","",""
"Rumaenien","1984","AkademikerIn","Ostdeutschland","","","",""
"Polen","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Polen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Polen","1984","Hauptschule","Westdeutschland","25","","",""
"Polen","1984","Hauptschule","Ostdeutschland","","","",""
"Polen","1984","Realschule","Westdeutschland","5","","",""
"Polen","1984","Realschule","Ostdeutschland","","","",""
"Polen","1984","(Fach-)Abitur","Westdeutschland","7","","",""
"Polen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Polen","1984","AkademikerIn","Westdeutschland","1","","",""
"Polen","1984","AkademikerIn","Ostdeutschland","","","",""
"Korea","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Korea","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Korea","1984","Hauptschule","Westdeutschland","","","",""
"Korea","1984","Hauptschule","Ostdeutschland","","","",""
"Korea","1984","Realschule","Westdeutschland","","","",""
"Korea","1984","Realschule","Ostdeutschland","","","",""
"Korea","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Korea","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Korea","1984","AkademikerIn","Westdeutschland","5","","",""
"Korea","1984","AkademikerIn","Ostdeutschland","","","",""
"Iran","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Iran","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Iran","1984","Hauptschule","Westdeutschland","","","",""
"Iran","1984","Hauptschule","Ostdeutschland","","","",""
"Iran","1984","Realschule","Westdeutschland","","","",""
"Iran","1984","Realschule","Ostdeutschland","","","",""
"Iran","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Iran","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Iran","1984","AkademikerIn","Westdeutschland","1","","",""
"Iran","1984","AkademikerIn","Ostdeutschland","","","",""
"Indonesien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Indonesien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Indonesien","1984","Hauptschule","Westdeutschland","","","",""
"Indonesien","1984","Hauptschule","Ostdeutschland","","","",""
"Indonesien","1984","Realschule","Westdeutschland","1","","",""
"Indonesien","1984","Realschule","Ostdeutschland","","","",""
"Indonesien","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Indonesien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Indonesien","1984","AkademikerIn","Westdeutschland","1","","",""
"Indonesien","1984","AkademikerIn","Ostdeutschland","","","",""
"Ungarn","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Ungarn","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ungarn","1984","Hauptschule","Westdeutschland","8","","",""
"Ungarn","1984","Hauptschule","Ostdeutschland","","","",""
"Ungarn","1984","Realschule","Westdeutschland","2","","",""
"Ungarn","1984","Realschule","Ostdeutschland","","","",""
"Ungarn","1984","(Fach-)Abitur","Westdeutschland","3","","",""
"Ungarn","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Ungarn","1984","AkademikerIn","Westdeutschland","2","","",""
"Ungarn","1984","AkademikerIn","Ostdeutschland","","","",""
"Bolivien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Bolivien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Bolivien","1984","Hauptschule","Westdeutschland","","","",""
"Bolivien","1984","Hauptschule","Ostdeutschland","","","",""
"Bolivien","1984","Realschule","Westdeutschland","","","",""
"Bolivien","1984","Realschule","Ostdeutschland","","","",""
"Bolivien","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Bolivien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Bolivien","1984","AkademikerIn","Westdeutschland","","","",""
"Bolivien","1984","AkademikerIn","Ostdeutschland","","","",""
"Portugal","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Portugal","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Portugal","1984","Hauptschule","Westdeutschland","4","","",""
"Portugal","1984","Hauptschule","Ostdeutschland","","","",""
"Portugal","1984","Realschule","Westdeutschland","","","",""
"Portugal","1984","Realschule","Ostdeutschland","","","",""
"Portugal","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Portugal","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Portugal","1984","AkademikerIn","Westdeutschland","","","",""
"Portugal","1984","AkademikerIn","Ostdeutschland","","","",""
"Bulgarien","1984","(noch) kein Abschluss","Westdeutschland","4","","",""
"Bulgarien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Bulgarien","1984","Hauptschule","Westdeutschland","3","","",""
"Bulgarien","1984","Hauptschule","Ostdeutschland","","","",""
"Bulgarien","1984","Realschule","Westdeutschland","","","",""
"Bulgarien","1984","Realschule","Ostdeutschland","","","",""
"Bulgarien","1984","(Fach-)Abitur","Westdeutschland","2","","",""
"Bulgarien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Bulgarien","1984","AkademikerIn","Westdeutschland","","","",""
"Bulgarien","1984","AkademikerIn","Ostdeutschland","","","",""
"Syrien","1984","(noch) kein Abschluss","Westdeutschland","1","","",""
"Syrien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Syrien","1984","Hauptschule","Westdeutschland","","","",""
"Syrien","1984","Hauptschule","Ostdeutschland","","","",""
"Syrien","1984","Realschule","Westdeutschland","","","",""
"Syrien","1984","Realschule","Ostdeutschland","","","",""
"Syrien","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Syrien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Syrien","1984","AkademikerIn","Westdeutschland","","","",""
"Syrien","1984","AkademikerIn","Ostdeutschland","","","",""
"Tschechien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Tschechien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Tschechien","1984","Hauptschule","Westdeutschland","24","","",""
"Tschechien","1984","Hauptschule","Ostdeutschland","","","",""
"Tschechien","1984","Realschule","Westdeutschland","11","","",""
"Tschechien","1984","Realschule","Ostdeutschland","","","",""
"Tschechien","1984","(Fach-)Abitur","Westdeutschland","3","","",""
"Tschechien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Tschechien","1984","AkademikerIn","Westdeutschland","4","","",""
"Tschechien","1984","AkademikerIn","Ostdeutschland","","","",""
"Russland","1984","(noch) kein Abschluss","Westdeutschland","1","","",""
"Russland","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Russland","1984","Hauptschule","Westdeutschland","1","","",""
"Russland","1984","Hauptschule","Ostdeutschland","","","",""
"Russland","1984","Realschule","Westdeutschland","2","","",""
"Russland","1984","Realschule","Ostdeutschland","","","",""
"Russland","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Russland","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Russland","1984","AkademikerIn","Westdeutschland","","","",""
"Russland","1984","AkademikerIn","Ostdeutschland","","","",""
"Mexiko","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Mexiko","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Mexiko","1984","Hauptschule","Westdeutschland","1","","",""
"Mexiko","1984","Hauptschule","Ostdeutschland","","","",""
"Mexiko","1984","Realschule","Westdeutschland","1","","",""
"Mexiko","1984","Realschule","Ostdeutschland","","","",""
"Mexiko","1984","(Fach-)Abitur","Westdeutschland","2","","",""
"Mexiko","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Mexiko","1984","AkademikerIn","Westdeutschland","","","",""
"Mexiko","1984","AkademikerIn","Ostdeutschland","","","",""
"Argentinien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Argentinien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Argentinien","1984","Hauptschule","Westdeutschland","","","",""
"Argentinien","1984","Hauptschule","Ostdeutschland","","","",""
"Argentinien","1984","Realschule","Westdeutschland","","","",""
"Argentinien","1984","Realschule","Ostdeutschland","","","",""
"Argentinien","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Argentinien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Argentinien","1984","AkademikerIn","Westdeutschland","1","","",""
"Argentinien","1984","AkademikerIn","Ostdeutschland","","","",""
"Cap Verden","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Cap Verden","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Cap Verden","1984","Hauptschule","Westdeutschland","1","","",""
"Cap Verden","1984","Hauptschule","Ostdeutschland","","","",""
"Cap Verden","1984","Realschule","Westdeutschland","","","",""
"Cap Verden","1984","Realschule","Ostdeutschland","","","",""
"Cap Verden","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Cap Verden","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Cap Verden","1984","AkademikerIn","Westdeutschland","","","",""
"Cap Verden","1984","AkademikerIn","Ostdeutschland","","","",""
"Benin","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Benin","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Benin","1984","Hauptschule","Westdeutschland","","","",""
"Benin","1984","Hauptschule","Ostdeutschland","","","",""
"Benin","1984","Realschule","Westdeutschland","","","",""
"Benin","1984","Realschule","Ostdeutschland","","","",""
"Benin","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Benin","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Benin","1984","AkademikerIn","Westdeutschland","","","",""
"Benin","1984","AkademikerIn","Ostdeutschland","","","",""
"Philippinen","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Philippinen","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Philippinen","1984","Hauptschule","Westdeutschland","1","","",""
"Philippinen","1984","Hauptschule","Ostdeutschland","","","",""
"Philippinen","1984","Realschule","Westdeutschland","","","",""
"Philippinen","1984","Realschule","Ostdeutschland","","","",""
"Philippinen","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Philippinen","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Philippinen","1984","AkademikerIn","Westdeutschland","","","",""
"Philippinen","1984","AkademikerIn","Ostdeutschland","","","",""
"Israel","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Israel","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Israel","1984","Hauptschule","Westdeutschland","","","",""
"Israel","1984","Hauptschule","Ostdeutschland","","","",""
"Israel","1984","Realschule","Westdeutschland","1","","",""
"Israel","1984","Realschule","Ostdeutschland","","","",""
"Israel","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Israel","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Israel","1984","AkademikerIn","Westdeutschland","","","",""
"Israel","1984","AkademikerIn","Ostdeutschland","","","",""
"Japan","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Japan","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Japan","1984","Hauptschule","Westdeutschland","","","",""
"Japan","1984","Hauptschule","Ostdeutschland","","","",""
"Japan","1984","Realschule","Westdeutschland","","","",""
"Japan","1984","Realschule","Ostdeutschland","","","",""
"Japan","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Japan","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Japan","1984","AkademikerIn","Westdeutschland","1","","",""
"Japan","1984","AkademikerIn","Ostdeutschland","","","",""
"Australien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Australien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Australien","1984","Hauptschule","Westdeutschland","2","","",""
"Australien","1984","Hauptschule","Ostdeutschland","","","",""
"Australien","1984","Realschule","Westdeutschland","","","",""
"Australien","1984","Realschule","Ostdeutschland","","","",""
"Australien","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Australien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Australien","1984","AkademikerIn","Westdeutschland","","","",""
"Australien","1984","AkademikerIn","Ostdeutschland","","","",""
"Indien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Indien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Indien","1984","Hauptschule","Westdeutschland","","","",""
"Indien","1984","Hauptschule","Ostdeutschland","","","",""
"Indien","1984","Realschule","Westdeutschland","","","",""
"Indien","1984","Realschule","Ostdeutschland","","","",""
"Indien","1984","(Fach-)Abitur","Westdeutschland","1","","",""
"Indien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Indien","1984","AkademikerIn","Westdeutschland","","","",""
"Indien","1984","AkademikerIn","Ostdeutschland","","","",""
"Afghanistan","1984","(noch) kein Abschluss","Westdeutschland","1","","",""
"Afghanistan","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Afghanistan","1984","Hauptschule","Westdeutschland","","","",""
"Afghanistan","1984","Hauptschule","Ostdeutschland","","","",""
"Afghanistan","1984","Realschule","Westdeutschland","","","",""
"Afghanistan","1984","Realschule","Ostdeutschland","","","",""
"Afghanistan","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Afghanistan","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Afghanistan","1984","AkademikerIn","Westdeutschland","1","","",""
"Afghanistan","1984","AkademikerIn","Ostdeutschland","","","",""
"Thailand","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Thailand","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Thailand","1984","Hauptschule","Westdeutschland","","","",""
"Thailand","1984","Hauptschule","Ostdeutschland","","","",""
"Thailand","1984","Realschule","Westdeutschland","","","",""
"Thailand","1984","Realschule","Ostdeutschland","","","",""
"Thailand","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Thailand","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Thailand","1984","AkademikerIn","Westdeutschland","","","",""
"Thailand","1984","AkademikerIn","Ostdeutschland","","","",""
"Jamaika","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Jamaika","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Jamaika","1984","Hauptschule","Westdeutschland","","","",""
"Jamaika","1984","Hauptschule","Ostdeutschland","","","",""
"Jamaika","1984","Realschule","Westdeutschland","1","","",""
"Jamaika","1984","Realschule","Ostdeutschland","","","",""
"Jamaika","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Jamaika","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Jamaika","1984","AkademikerIn","Westdeutschland","","","",""
"Jamaika","1984","AkademikerIn","Ostdeutschland","","","",""
"Saudi-Arabien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Saudi-Arabien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Saudi-Arabien","1984","Hauptschule","Westdeutschland","","","",""
"Saudi-Arabien","1984","Hauptschule","Ostdeutschland","","","",""
"Saudi-Arabien","1984","Realschule","Westdeutschland","","","",""
"Saudi-Arabien","1984","Realschule","Ostdeutschland","","","",""
"Saudi-Arabien","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Saudi-Arabien","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Saudi-Arabien","1984","AkademikerIn","Westdeutschland","","","",""
"Saudi-Arabien","1984","AkademikerIn","Ostdeutschland","","","",""
"Aethiopien","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Aethiopien","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Aethiopien","1984","Hauptschule","Westdeutschland","","","",""
