"corigin","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ex-Jugoslawien","1995","3","weiblich","10","","",""
"Ex-Jugoslawien","1995","4","männlich","5","","",""
"Ex-Jugoslawien","1995","4","weiblich","1","","",""
"Ex-Jugoslawien","1995","5 Einkommensstärkstes Quintil","männlich","1","","",""
"Ex-Jugoslawien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Griechenland","1995","1 Einkommensschwächstes Quintil","männlich","44","0.00768099963332727","0.00410682877026083","0.0112551704963937"
"Griechenland","1995","1 Einkommensschwächstes Quintil","weiblich","46","0.00502024491494352","0.00234446574501217","0.00769602408487487"
"Griechenland","1995","2","männlich","35","0.00431067650169532","0.00131068518580679","0.00731066781758384"
"Griechenland","1995","2","weiblich","34","0.00346408499717797","0.000892958914265481","0.00603521108009046"
"Griechenland","1995","3","männlich","19","","",""
"Griechenland","1995","3","weiblich","12","","",""
"Griechenland","1995","4","männlich","16","","",""
"Griechenland","1995","4","weiblich","10","","",""
"Griechenland","1995","5 Einkommensstärkstes Quintil","männlich","3","","",""
"Griechenland","1995","5 Einkommensstärkstes Quintil","weiblich","1","","",""
"Italien","1995","1 Einkommensschwächstes Quintil","männlich","85","0.0141432720841387","0.00930909411501764","0.0189774500532597"
"Italien","1995","1 Einkommensschwächstes Quintil","weiblich","71","0.0107223161534336","0.00682303900632497","0.0146215933005422"
"Italien","1995","2","männlich","47","0.0116482280587446","0.0067349531849022","0.016561502932587"
"Italien","1995","2","weiblich","41","0.00685545104948025","0.00324462243538303","0.0104662796635775"
"Italien","1995","3","männlich","24","","",""
"Italien","1995","3","weiblich","12","","",""
"Italien","1995","4","männlich","20","","",""
"Italien","1995","4","weiblich","9","","",""
"Italien","1995","5 Einkommensstärkstes Quintil","männlich","2","","",""
"Italien","1995","5 Einkommensstärkstes Quintil","weiblich","1","","",""
"Spanien","1995","1 Einkommensschwächstes Quintil","männlich","15","","",""
"Spanien","1995","1 Einkommensschwächstes Quintil","weiblich","15","","",""
"Spanien","1995","2","männlich","23","","",""
"Spanien","1995","2","weiblich","18","","",""
"Spanien","1995","3","männlich","10","","",""
"Spanien","1995","3","weiblich","7","","",""
"Spanien","1995","4","männlich","9","","",""
"Spanien","1995","4","weiblich","5","","",""
"Spanien","1995","5 Einkommensstärkstes Quintil","männlich","2","","",""
"Spanien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"österreich","1995","1 Einkommensschwächstes Quintil","männlich","3","","",""
"österreich","1995","1 Einkommensschwächstes Quintil","weiblich","3","","",""
"österreich","1995","2","männlich","1","","",""
"österreich","1995","2","weiblich","5","","",""
"österreich","1995","3","männlich","2","","",""
"österreich","1995","3","weiblich","7","","",""
"österreich","1995","4","männlich","2","","",""
"österreich","1995","4","weiblich","1","","",""
"österreich","1995","5 Einkommensstärkstes Quintil","männlich","2","","",""
"österreich","1995","5 Einkommensstärkstes Quintil","weiblich","3","","",""
"Frankreich","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"Frankreich","1995","1 Einkommensschwächstes Quintil","weiblich","1","","",""
"Frankreich","1995","2","männlich","1","","",""
"Frankreich","1995","2","weiblich","2","","",""
"Frankreich","1995","3","männlich","","","",""
"Frankreich","1995","3","weiblich","3","","",""
"Frankreich","1995","4","männlich","2","","",""
"Frankreich","1995","4","weiblich","1","","",""
"Frankreich","1995","5 Einkommensstärkstes Quintil","männlich","1","","",""
"Frankreich","1995","5 Einkommensstärkstes Quintil","weiblich","2","","",""
"Benelux","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Benelux","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Benelux","1995","2","männlich","1","","",""
"Benelux","1995","2","weiblich","","","",""
"Benelux","1995","3","männlich","","","",""
"Benelux","1995","3","weiblich","","","",""
"Benelux","1995","4","männlich","","","",""
"Benelux","1995","4","weiblich","","","",""
"Benelux","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Benelux","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Dänemark","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Dänemark","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Dänemark","1995","2","männlich","","","",""
"Dänemark","1995","2","weiblich","","","",""
"Dänemark","1995","3","männlich","","","",""
"Dänemark","1995","3","weiblich","","","",""
"Dänemark","1995","4","männlich","","","",""
"Dänemark","1995","4","weiblich","","","",""
"Dänemark","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Dänemark","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Grossbritannien","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"Grossbritannien","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Grossbritannien","1995","2","männlich","","","",""
"Grossbritannien","1995","2","weiblich","","","",""
"Grossbritannien","1995","3","männlich","","","",""
"Grossbritannien","1995","3","weiblich","","","",""
"Grossbritannien","1995","4","männlich","3","","",""
"Grossbritannien","1995","4","weiblich","","","",""
"Grossbritannien","1995","5 Einkommensstärkstes Quintil","männlich","1","","",""
"Grossbritannien","1995","5 Einkommensstärkstes Quintil","weiblich","1","","",""
"Schweden","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Schweden","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Schweden","1995","2","männlich","","","",""
"Schweden","1995","2","weiblich","","","",""
"Schweden","1995","3","männlich","","","",""
"Schweden","1995","3","weiblich","","","",""
"Schweden","1995","4","männlich","1","","",""
"Schweden","1995","4","weiblich","","","",""
"Schweden","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Schweden","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Norwegen","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Norwegen","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Norwegen","1995","2","männlich","","","",""
"Norwegen","1995","2","weiblich","","","",""
"Norwegen","1995","3","männlich","","","",""
"Norwegen","1995","3","weiblich","","","",""
"Norwegen","1995","4","männlich","","","",""
"Norwegen","1995","4","weiblich","","","",""
"Norwegen","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Norwegen","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Finnland","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Finnland","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Finnland","1995","2","männlich","","","",""
"Finnland","1995","2","weiblich","","","",""
"Finnland","1995","3","männlich","","","",""
"Finnland","1995","3","weiblich","","","",""
"Finnland","1995","4","männlich","","","",""
"Finnland","1995","4","weiblich","","","",""
"Finnland","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Finnland","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"USA","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"USA","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"USA","1995","2","männlich","1","","",""
"USA","1995","2","weiblich","3","","",""
"USA","1995","3","männlich","1","","",""
"USA","1995","3","weiblich","","","",""
"USA","1995","4","männlich","","","",""
"USA","1995","4","weiblich","1","","",""
"USA","1995","5 Einkommensstärkstes Quintil","männlich","1","","",""
"USA","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Schweiz","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"Schweiz","1995","1 Einkommensschwächstes Quintil","weiblich","2","","",""
"Schweiz","1995","2","männlich","","","",""
"Schweiz","1995","2","weiblich","","","",""
"Schweiz","1995","3","männlich","1","","",""
"Schweiz","1995","3","weiblich","1","","",""
"Schweiz","1995","4","männlich","","","",""
"Schweiz","1995","4","weiblich","1","","",""
"Schweiz","1995","5 Einkommensstärkstes Quintil","männlich","1","","",""
"Schweiz","1995","5 Einkommensstärkstes Quintil","weiblich","1","","",""
"Chile","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Chile","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Chile","1995","2","männlich","","","",""
"Chile","1995","2","weiblich","","","",""
"Chile","1995","3","männlich","1","","",""
"Chile","1995","3","weiblich","1","","",""
"Chile","1995","4","männlich","1","","",""
"Chile","1995","4","weiblich","","","",""
"Chile","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Chile","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Rumaenien","1995","1 Einkommensschwächstes Quintil","männlich","15","","",""
"Rumaenien","1995","1 Einkommensschwächstes Quintil","weiblich","15","","",""
"Rumaenien","1995","2","männlich","12","","",""
"Rumaenien","1995","2","weiblich","22","","",""
"Rumaenien","1995","3","männlich","5","","",""
"Rumaenien","1995","3","weiblich","3","","",""
"Rumaenien","1995","4","männlich","1","","",""
"Rumaenien","1995","4","weiblich","2","","",""
"Rumaenien","1995","5 Einkommensstärkstes Quintil","männlich","5","","",""
"Rumaenien","1995","5 Einkommensstärkstes Quintil","weiblich","6","","",""
"Polen","1995","1 Einkommensschwächstes Quintil","männlich","62","0.0236647291067894","0.0174418546058592","0.0298876036077197"
"Polen","1995","1 Einkommensschwächstes Quintil","weiblich","68","0.0212257561854675","0.0157687613106266","0.0266827510603084"
"Polen","1995","2","männlich","36","0.0198980085446198","0.0135032257370876","0.0262927913521521"
"Polen","1995","2","weiblich","41","0.0144690876605955","0.0092434616342218","0.0196947136869693"
"Polen","1995","3","männlich","5","","",""
"Polen","1995","3","weiblich","9","","",""
"Polen","1995","4","männlich","4","","",""
"Polen","1995","4","weiblich","8","","",""
"Polen","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Polen","1995","5 Einkommensstärkstes Quintil","weiblich","2","","",""
"Korea","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"Korea","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Korea","1995","2","männlich","","","",""
"Korea","1995","2","weiblich","","","",""
"Korea","1995","3","männlich","","","",""
"Korea","1995","3","weiblich","1","","",""
"Korea","1995","4","männlich","","","",""
"Korea","1995","4","weiblich","","","",""
"Korea","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Korea","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Iran","1995","1 Einkommensschwächstes Quintil","männlich","3","","",""
"Iran","1995","1 Einkommensschwächstes Quintil","weiblich","3","","",""
"Iran","1995","2","männlich","","","",""
"Iran","1995","2","weiblich","","","",""
"Iran","1995","3","männlich","","","",""
"Iran","1995","3","weiblich","","","",""
"Iran","1995","4","männlich","","","",""
"Iran","1995","4","weiblich","","","",""
"Iran","1995","5 Einkommensstärkstes Quintil","männlich","1","","",""
"Iran","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Indonesien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Indonesien","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Indonesien","1995","2","männlich","","","",""
"Indonesien","1995","2","weiblich","","","",""
"Indonesien","1995","3","männlich","","","",""
"Indonesien","1995","3","weiblich","","","",""
"Indonesien","1995","4","männlich","","","",""
"Indonesien","1995","4","weiblich","","","",""
"Indonesien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Indonesien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Ungarn","1995","1 Einkommensschwächstes Quintil","männlich","2","","",""
"Ungarn","1995","1 Einkommensschwächstes Quintil","weiblich","2","","",""
"Ungarn","1995","2","männlich","3","","",""
"Ungarn","1995","2","weiblich","3","","",""
"Ungarn","1995","3","männlich","","","",""
"Ungarn","1995","3","weiblich","3","","",""
"Ungarn","1995","4","männlich","2","","",""
"Ungarn","1995","4","weiblich","2","","",""
"Ungarn","1995","5 Einkommensstärkstes Quintil","männlich","1","","",""
"Ungarn","1995","5 Einkommensstärkstes Quintil","weiblich","2","","",""
"Bolivien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Bolivien","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Bolivien","1995","2","männlich","","","",""
"Bolivien","1995","2","weiblich","","","",""
"Bolivien","1995","3","männlich","","","",""
"Bolivien","1995","3","weiblich","","","",""
"Bolivien","1995","4","männlich","","","",""
"Bolivien","1995","4","weiblich","","","",""
"Bolivien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Bolivien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Portugal","1995","1 Einkommensschwächstes Quintil","männlich","2","","",""
"Portugal","1995","1 Einkommensschwächstes Quintil","weiblich","2","","",""
"Portugal","1995","2","männlich","","","",""
"Portugal","1995","2","weiblich","","","",""
"Portugal","1995","3","männlich","2","","",""
"Portugal","1995","3","weiblich","1","","",""
"Portugal","1995","4","männlich","","","",""
"Portugal","1995","4","weiblich","","","",""
"Portugal","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Portugal","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Bulgarien","1995","1 Einkommensschwächstes Quintil","männlich","2","","",""
"Bulgarien","1995","1 Einkommensschwächstes Quintil","weiblich","4","","",""
"Bulgarien","1995","2","männlich","1","","",""
"Bulgarien","1995","2","weiblich","3","","",""
"Bulgarien","1995","3","männlich","1","","",""
"Bulgarien","1995","3","weiblich","","","",""
"Bulgarien","1995","4","männlich","","","",""
"Bulgarien","1995","4","weiblich","","","",""
"Bulgarien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Bulgarien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Syrien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Syrien","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Syrien","1995","2","männlich","","","",""
"Syrien","1995","2","weiblich","","","",""
"Syrien","1995","3","männlich","","","",""
"Syrien","1995","3","weiblich","","","",""
"Syrien","1995","4","männlich","","","",""
"Syrien","1995","4","weiblich","","","",""
"Syrien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Syrien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Tschechien","1995","1 Einkommensschwächstes Quintil","männlich","9","","",""
"Tschechien","1995","1 Einkommensschwächstes Quintil","weiblich","15","","",""
"Tschechien","1995","2","männlich","5","","",""
"Tschechien","1995","2","weiblich","12","","",""
"Tschechien","1995","3","männlich","6","","",""
"Tschechien","1995","3","weiblich","6","","",""
"Tschechien","1995","4","männlich","3","","",""
"Tschechien","1995","4","weiblich","4","","",""
"Tschechien","1995","5 Einkommensstärkstes Quintil","männlich","1","","",""
"Tschechien","1995","5 Einkommensstärkstes Quintil","weiblich","1","","",""
"Russland","1995","1 Einkommensschwächstes Quintil","männlich","28","","",""
"Russland","1995","1 Einkommensschwächstes Quintil","weiblich","29","","",""
"Russland","1995","2","männlich","9","","",""
"Russland","1995","2","weiblich","9","","",""
"Russland","1995","3","männlich","1","","",""
"Russland","1995","3","weiblich","2","","",""
"Russland","1995","4","männlich","1","","",""
"Russland","1995","4","weiblich","1","","",""
"Russland","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Russland","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Mexiko","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Mexiko","1995","1 Einkommensschwächstes Quintil","weiblich","2","","",""
"Mexiko","1995","2","männlich","","","",""
"Mexiko","1995","2","weiblich","","","",""
"Mexiko","1995","3","männlich","","","",""
"Mexiko","1995","3","weiblich","","","",""
"Mexiko","1995","4","männlich","","","",""
"Mexiko","1995","4","weiblich","","","",""
"Mexiko","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Mexiko","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Argentinien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Argentinien","1995","1 Einkommensschwächstes Quintil","weiblich","1","","",""
"Argentinien","1995","2","männlich","","","",""
"Argentinien","1995","2","weiblich","","","",""
"Argentinien","1995","3","männlich","","","",""
"Argentinien","1995","3","weiblich","","","",""
"Argentinien","1995","4","männlich","1","","",""
"Argentinien","1995","4","weiblich","","","",""
"Argentinien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Argentinien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Benin","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Benin","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Benin","1995","2","männlich","","","",""
"Benin","1995","2","weiblich","","","",""
"Benin","1995","3","männlich","","","",""
"Benin","1995","3","weiblich","","","",""
"Benin","1995","4","männlich","","","",""
"Benin","1995","4","weiblich","","","",""
"Benin","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Benin","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Philippinen","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Philippinen","1995","1 Einkommensschwächstes Quintil","weiblich","3","","",""
"Philippinen","1995","2","männlich","","","",""
"Philippinen","1995","2","weiblich","","","",""
"Philippinen","1995","3","männlich","","","",""
"Philippinen","1995","3","weiblich","1","","",""
"Philippinen","1995","4","männlich","","","",""
"Philippinen","1995","4","weiblich","1","","",""
"Philippinen","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Philippinen","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Israel","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Israel","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Israel","1995","2","männlich","","","",""
"Israel","1995","2","weiblich","","","",""
"Israel","1995","3","männlich","","","",""
"Israel","1995","3","weiblich","","","",""
"Israel","1995","4","männlich","","","",""
"Israel","1995","4","weiblich","","","",""
"Israel","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Israel","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Japan","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Japan","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Japan","1995","2","männlich","","","",""
"Japan","1995","2","weiblich","1","","",""
"Japan","1995","3","männlich","","","",""
"Japan","1995","3","weiblich","","","",""
"Japan","1995","4","männlich","","","",""
"Japan","1995","4","weiblich","","","",""
"Japan","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Japan","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Australien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Australien","1995","1 Einkommensschwächstes Quintil","weiblich","1","","",""
"Australien","1995","2","männlich","","","",""
"Australien","1995","2","weiblich","","","",""
"Australien","1995","3","männlich","1","","",""
"Australien","1995","3","weiblich","","","",""
"Australien","1995","4","männlich","","","",""
"Australien","1995","4","weiblich","","","",""
"Australien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Australien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Indien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Indien","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Indien","1995","2","männlich","","","",""
"Indien","1995","2","weiblich","","","",""
"Indien","1995","3","männlich","","","",""
"Indien","1995","3","weiblich","","","",""
"Indien","1995","4","männlich","","","",""
"Indien","1995","4","weiblich","","","",""
"Indien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Indien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Afghanistan","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Afghanistan","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Afghanistan","1995","2","männlich","","","",""
"Afghanistan","1995","2","weiblich","","","",""
"Afghanistan","1995","3","männlich","","","",""
"Afghanistan","1995","3","weiblich","","","",""
"Afghanistan","1995","4","männlich","","","",""
"Afghanistan","1995","4","weiblich","","","",""
"Afghanistan","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Afghanistan","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Thailand","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Thailand","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Thailand","1995","2","männlich","","","",""
"Thailand","1995","2","weiblich","","","",""
"Thailand","1995","3","männlich","","","",""
"Thailand","1995","3","weiblich","","","",""
"Thailand","1995","4","männlich","","","",""
"Thailand","1995","4","weiblich","","","",""
"Thailand","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Thailand","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Jamaika","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Jamaika","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Jamaika","1995","2","männlich","","","",""
"Jamaika","1995","2","weiblich","","","",""
"Jamaika","1995","3","männlich","","","",""
"Jamaika","1995","3","weiblich","","","",""
"Jamaika","1995","4","männlich","1","","",""
"Jamaika","1995","4","weiblich","","","",""
"Jamaika","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Jamaika","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Saudi-Arabien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Saudi-Arabien","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Saudi-Arabien","1995","2","männlich","","","",""
"Saudi-Arabien","1995","2","weiblich","","","",""
"Saudi-Arabien","1995","3","männlich","","","",""
"Saudi-Arabien","1995","3","weiblich","","","",""
"Saudi-Arabien","1995","4","männlich","","","",""
"Saudi-Arabien","1995","4","weiblich","","","",""
"Saudi-Arabien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Saudi-Arabien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Aethiopien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Aethiopien","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Aethiopien","1995","2","männlich","","","",""
"Aethiopien","1995","2","weiblich","","","",""
"Aethiopien","1995","3","männlich","","","",""
"Aethiopien","1995","3","weiblich","","","",""
"Aethiopien","1995","4","männlich","","","",""
"Aethiopien","1995","4","weiblich","","","",""
"Aethiopien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Aethiopien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Kolumbien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Kolumbien","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Kolumbien","1995","2","männlich","","","",""
"Kolumbien","1995","2","weiblich","","","",""
"Kolumbien","1995","3","männlich","","","",""
"Kolumbien","1995","3","weiblich","","","",""
"Kolumbien","1995","4","männlich","","","",""
"Kolumbien","1995","4","weiblich","","","",""
"Kolumbien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Kolumbien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Ghana","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"Ghana","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Ghana","1995","2","männlich","","","",""
"Ghana","1995","2","weiblich","","","",""
"Ghana","1995","3","männlich","","","",""
"Ghana","1995","3","weiblich","","","",""
"Ghana","1995","4","männlich","","","",""
"Ghana","1995","4","weiblich","","","",""
"Ghana","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Ghana","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Bangla Desh","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Bangla Desh","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Bangla Desh","1995","2","männlich","","","",""
"Bangla Desh","1995","2","weiblich","","","",""
"Bangla Desh","1995","3","männlich","","","",""
"Bangla Desh","1995","3","weiblich","","","",""
"Bangla Desh","1995","4","männlich","","","",""
"Bangla Desh","1995","4","weiblich","","","",""
"Bangla Desh","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Bangla Desh","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Venezuela","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Venezuela","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Venezuela","1995","2","männlich","1","","",""
"Venezuela","1995","2","weiblich","","","",""
"Venezuela","1995","3","männlich","","","",""
"Venezuela","1995","3","weiblich","","","",""
"Venezuela","1995","4","männlich","","","",""
"Venezuela","1995","4","weiblich","","","",""
"Venezuela","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Venezuela","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Tunesien","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Tunesien","1995","1 Einkommensschwächstes Quintil","weiblich","1","","",""
"Tunesien","1995","2","männlich","1","","",""
"Tunesien","1995","2","weiblich","","","",""
"Tunesien","1995","3","männlich","","","",""
"Tunesien","1995","3","weiblich","","","",""
"Tunesien","1995","4","männlich","","","",""
"Tunesien","1995","4","weiblich","","","",""
"Tunesien","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Tunesien","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Mauritius","1995","1 Einkommensschwächstes Quintil","männlich","","","",""
"Mauritius","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Mauritius","1995","2","männlich","","","",""
"Mauritius","1995","2","weiblich","1","","",""
"Mauritius","1995","3","männlich","1","","",""
"Mauritius","1995","3","weiblich","","","",""
"Mauritius","1995","4","männlich","","","",""
"Mauritius","1995","4","weiblich","","","",""
"Mauritius","1995","5 Einkommensstärkstes Quintil","männlich","","","",""
"Mauritius","1995","5 Einkommensstärkstes Quintil","weiblich","","","",""
"Nigeria","1995","1 Einkommensschwächstes Quintil","männlich","1","","",""
"Nigeria","1995","1 Einkommensschwächstes Quintil","weiblich","","","",""
"Nigeria","1995","2","männlich","","","",""
