year,pgisced97,pld0044,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,First Stage of Tertiary Education,Sometimes,0.08980,118,1387,0.07475,0.10485
2008,First Stage of Tertiary Education,Seldom,0.36239,500,1387,0.33709,0.38770
2008,First Stage of Tertiary Education,Never,0.52126,769,1387,0.49496,0.54756
2008,Second Stage of Tertiary Education,Often,0.01535,64,4161,0.01162,0.01909
2008,Second Stage of Tertiary Education,Sometimes,0.13211,506,4161,0.12182,0.14240
2008,Second Stage of Tertiary Education,Seldom,0.39099,1586,4161,0.37617,0.40582
2008,Second Stage of Tertiary Education,Never,0.45169,2005,4161,0.43657,0.46681
2013,Pre-primary Level,Often,0.07927,74,434,0.05382,0.10471
2013,Pre-primary Level,Sometimes,0.15083,158,434,0.11712,0.18454
2013,Pre-primary Level,Seldom,0.13285,124,434,0.10088,0.16482
2013,Pre-primary Level,Never,0.06320,78,434,0.04028,0.08611
2013,Primary Level,Sometimes,0.09648,55,298,0.06290,0.13005
2013,Primary Level,Seldom,0.17673,67,298,0.13334,0.22011
2013,Primary Level,Never,0.38805,176,298,0.33263,0.44347
2013,Lower Secondary Level,Often,0.02662,127,2541,0.02036,0.03288
2013,Lower Secondary Level,Sometimes,0.10130,376,2541,0.08957,0.11304
2013,Lower Secondary Level,Seldom,0.19069,622,2541,0.17541,0.20597
2013,Lower Secondary Level,Never,0.48887,1416,2541,0.46943,0.50831
2013,Upper Secondary Level,Very often,0.00230,35,12353,0.00146,0.00315
2013,Upper Secondary Level,Often,0.02253,284,12353,0.01991,0.02515
2013,Upper Secondary Level,Sometimes,0.10483,1377,12353,0.09943,0.11024
2013,Upper Secondary Level,Seldom,0.26614,3565,12353,0.25835,0.27394
2013,Upper Secondary Level,Never,0.53293,7092,12353,0.52413,0.54173
2013,Post-secondary Non-tertiary Level,Often,0.02929,42,1759,0.02141,0.03718
2013,Post-secondary Non-tertiary Level,Sometimes,0.10116,213,1759,0.08706,0.11525
2013,Post-secondary Non-tertiary Level,Seldom,0.33314,650,1759,0.31111,0.35518
2013,Post-secondary Non-tertiary Level,Never,0.37266,854,1759,0.35006,0.39526
2013,First Stage of Tertiary Education,Sometimes,0.09994,153,1641,0.08542,0.11445
2013,First Stage of Tertiary Education,Seldom,0.35813,563,1641,0.33493,0.38134
2013,First Stage of Tertiary Education,Never,0.51334,925,1641,0.48915,0.53754
2013,Second Stage of Tertiary Education,Often,0.01825,100,5798,0.01481,0.02170
2013,Second Stage of Tertiary Education,Sometimes,0.12546,759,5798,0.11693,0.13399
2013,Second Stage of Tertiary Education,Seldom,0.35429,2193,5798,0.34198,0.36660
2013,Second Stage of Tertiary Education,Never,0.41273,2746,5798,0.40006,0.42541
2018,Pre-primary Level,Often,0.09958,62,327,0.06707,0.13209
2018,Pre-primary Level,Sometimes,0.18292,138,327,0.14096,0.22489
2018,Pre-primary Level,Seldom,0.10917,69,327,0.07532,0.14303
2018,Pre-primary Level,Never,0.11388,58,327,0.07939,0.14836
2018,Primary Level,Often,0.05159,31,472,0.03161,0.07157
2018,Primary Level,Sometimes,0.21394,99,472,0.17690,0.25097
2018,Primary Level,Seldom,0.15419,103,472,0.12158,0.18680
2018,Primary Level,Never,0.42306,239,472,0.37844,0.46767
2018,Lower Secondary Level,Very often,0.01124,42,2679,0.00725,0.01524
2018,Lower Secondary Level,Often,0.03868,129,2679,0.03138,0.04599
2018,Lower Secondary Level,Sometimes,0.17383,521,2679,0.15948,0.18819
2018,Lower Secondary Level,Seldom,0.24655,724,2679,0.23022,0.26287
2018,Lower Secondary Level,Never,0.47808,1263,2679,0.45916,0.49700
2018,Upper Secondary Level,Very often,0.00479,80,11484,0.00353,0.00606
2018,Upper Secondary Level,Often,0.03489,414,11484,0.03154,0.03825
2018,Upper Secondary Level,Sometimes,0.14525,1696,11484,0.13880,0.15169
2018,Upper Secondary Level,Seldom,0.30676,3520,11484,0.29832,0.31519
2018,Upper Secondary Level,Never,0.50015,5774,11484,0.49100,0.50929
2018,Post-secondary Non-tertiary Level,Often,0.06076,99,2106,0.05055,0.07096
2018,Post-secondary Non-tertiary Level,Sometimes,0.18033,378,2106,0.16390,0.19675
2018,Post-secondary Non-tertiary Level,Seldom,0.37430,777,2106,0.35363,0.39497
2018,Post-secondary Non-tertiary Level,Never,0.37408,852,2106,0.35341,0.39475
2018,First Stage of Tertiary Education,Sometimes,0.12930,170,1419,0.11183,0.14676
2018,First Stage of Tertiary Education,Seldom,0.35180,523,1419,0.32695,0.37666
2018,First Stage of Tertiary Education,Never,0.49311,726,1419,0.46709,0.51913
2018,Second Stage of Tertiary Education,Often,0.04154,229,6314,0.03661,0.04646
2018,Second Stage of Tertiary Education,Sometimes,0.19913,1163,6314,0.18928,0.20898
2018,Second Stage of Tertiary Education,Seldom,0.37845,2472,6314,0.36649,0.39042
2018,Second Stage of Tertiary Education,Never,0.36904,2450,6314,0.35714,0.38094
