,Unnamed: 0,year,age_gr,quintil_oecd,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
46,46,1995,30-45 y.,3rd Quintile,"No, definitely not",0.2505,33,4616,0.21473,0.28554
47,47,1995,30-45 y.,3rd Quintile,Probably,0.35721,40,4616,0.27646,0.45785
48,48,1995,30-45 y.,3rd Quintile,"Yes, definitely",0.39229,57,4616,0.32043,0.46445
49,49,1995,30-45 y.,4th Quintile,"Yes, definitely",1.0,42,4616,0.84187,1.173
50,50,1995,46-65 y.,1st Quintile,"No, definitely not",0.82161,375,4616,0.76172,0.87779
51,51,1995,46-65 y.,1st Quintile,Probably,0.0628,35,4616,0.04037,0.08529
52,52,1995,46-65 y.,1st Quintile,"Yes, definitely",0.11559,45,4616,0.09116,0.14103
53,53,1995,46-65 y.,2nd Quintile,"No, definitely not",1.0,327,4616,0.92261,1.07118
54,54,1995,46-65 y.,3rd Quintile,"No, definitely not",1.0,231,4616,0.91298,1.07723
55,55,1995,46-65 y.,4th Quintile,"No, definitely not",1.0,195,4616,0.9084,1.08588
56,56,1995,46-65 y.,5th Quintile,"No, definitely not",1.0,180,4616,0.91745,1.08498
57,57,1995,66 and older,1st Quintile,"No, definitely not",1.0,290,4616,0.94001,1.05506
58,58,1995,66 and older,2nd Quintile,"No, definitely not",1.0,396,4616,0.94434,1.05557
59,59,1995,66 and older,3rd Quintile,"No, definitely not",1.0,315,4616,0.93795,1.06508
60,60,1995,66 and older,4th Quintile,"No, definitely not",1.0,258,4616,0.938,1.06173
61,61,1995,66 and older,5th Quintile,"No, definitely not",1.0,199,4616,0.92529,1.09901
62,62,1996,17-29 y.,1st Quintile,"No, definitely not",0.13156,64,4651,0.1088,0.1564
63,63,1996,17-29 y.,1st Quintile,Probably,0.13547,55,4651,0.09963,0.17159
64,64,1996,17-29 y.,1st Quintile,"Yes, definitely",0.73297,262,4651,0.66197,0.81497
65,65,1996,17-29 y.,2nd Quintile,"No, definitely not",0.10659,36,4651,0.07836,0.13286
66,66,1996,17-29 y.,2nd Quintile,Probably,0.21905,54,4651,0.16506,0.27975
67,67,1996,17-29 y.,2nd Quintile,"Yes, definitely",0.67436,186,4651,0.60078,0.73718
68,68,1996,17-29 y.,3rd Quintile,Probably,0.22122,38,4651,0.16312,0.3137
69,69,1996,17-29 y.,3rd Quintile,"Yes, definitely",0.77878,143,4651,0.69467,0.86791
70,70,1996,17-29 y.,4th Quintile,"Yes, definitely",1.0,108,4651,0.913,1.09681
71,71,1996,17-29 y.,5th Quintile,"Yes, definitely",1.0,112,4651,0.89136,1.13737
72,72,1996,30-45 y.,1st Quintile,"No, definitely not",0.19663,73,4651,0.16418,0.23899
73,73,1996,30-45 y.,1st Quintile,Probably,0.30051,101,4651,0.25446,0.36467
74,74,1996,30-45 y.,1st Quintile,"Yes, definitely",0.50286,161,4651,0.43323,0.56432
75,75,1996,30-45 y.,2nd Quintile,"No, definitely not",0.23224,49,4651,0.18506,0.28536
76,76,1996,30-45 y.,2nd Quintile,Probably,0.25584,48,4651,0.20672,0.3157
77,77,1996,30-45 y.,2nd Quintile,"Yes, definitely",0.51192,120,4651,0.43505,0.59348
78,78,1996,30-45 y.,3rd Quintile,"Yes, definitely",1.0,62,4651,0.83855,1.16421
79,79,1996,30-45 y.,4th Quintile,Probably,0.4957,35,4651,0.40795,0.59848
80,80,1996,30-45 y.,4th Quintile,"Yes, definitely",0.5043,42,4651,0.41204,0.62821
81,81,1996,30-45 y.,5th Quintile,"Yes, definitely",1.0,36,4651,0.84326,1.17986
82,82,1996,46-65 y.,1st Quintile,"No, definitely not",0.8628,346,4651,0.79597,0.93971
83,83,1996,46-65 y.,1st Quintile,"Yes, definitely",0.1372,51,4651,0.10878,0.17045
84,84,1996,46-65 y.,2nd Quintile,"No, definitely not",1.0,288,4651,0.91274,1.07658
85,85,1996,46-65 y.,3rd Quintile,"No, definitely not",0.90475,262,4651,0.82718,0.99264
86,86,1996,46-65 y.,3rd Quintile,"Yes, definitely",0.09525,32,4651,0.06418,0.12965
87,87,1996,46-65 y.,4th Quintile,"No, definitely not",1.0,233,4651,0.9181,1.06915
88,88,1996,46-65 y.,5th Quintile,"No, definitely not",1.0,184,4651,0.91839,1.12352
89,89,1996,66 and older,1st Quintile,"No, definitely not",1.0,321,4651,0.93506,1.05755
90,90,1996,66 and older,2nd Quintile,"No, definitely not",1.0,370,4651,0.95158,1.05231
91,91,1996,66 and older,3rd Quintile,"No, definitely not",1.0,323,4651,0.92943,1.05799
92,92,1996,66 and older,4th Quintile,"No, definitely not",1.0,275,4651,0.93955,1.06738
93,93,1996,66 and older,5th Quintile,"No, definitely not",1.0,181,4651,0.9247,1.07611
94,94,1997,17-29 y.,1st Quintile,"No, definitely not",0.11042,50,4633,0.08545,0.13936
95,95,1997,17-29 y.,1st Quintile,Probably,0.19866,62,4633,0.1625,0.23245
96,96,1997,17-29 y.,1st Quintile,"Yes, definitely",0.69092,224,4633,0.61641,0.76122
97,97,1997,17-29 y.,2nd Quintile,"No, definitely not",0.08194,32,4633,0.05823,0.10563
98,98,1997,17-29 y.,2nd Quintile,Probably,0.22143,58,4633,0.18255,0.266
99,99,1997,17-29 y.,2nd Quintile,"Yes, definitely",0.69662,184,4633,0.61078,0.77851
100,100,1997,17-29 y.,3rd Quintile,Probably,0.2497,38,4633,0.17309,0.34631
101,101,1997,17-29 y.,3rd Quintile,"Yes, definitely",0.7503,134,4633,0.66696,0.82597
102,102,1997,17-29 y.,4th Quintile,"Yes, definitely",1.0,126,4633,0.87619,1.11649
103,103,1997,17-29 y.,5th Quintile,"Yes, definitely",1.0,79,4633,0.85835,1.15261
104,104,1997,30-45 y.,1st Quintile,"No, definitely not",0.21718,79,4633,0.18644,0.25007
105,105,1997,30-45 y.,1st Quintile,Probably,0.22041,76,4633,0.18978,0.24865
106,106,1997,30-45 y.,1st Quintile,"Yes, definitely",0.56241,165,4633,0.48352,0.64267
107,107,1997,30-45 y.,2nd Quintile,"No, definitely not",0.24978,54,4633,0.19019,0.31185
108,108,1997,30-45 y.,2nd Quintile,Probably,0.2805,55,4633,0.23366,0.33426
109,109,1997,30-45 y.,2nd Quintile,"Yes, definitely",0.46972,108,4633,0.40377,0.54605
110,110,1997,30-45 y.,3rd Quintile,Probably,0.37953,43,4633,0.29331,0.46932
111,111,1997,30-45 y.,3rd Quintile,"Yes, definitely",0.62047,76,4633,0.51081,0.76408
112,112,1997,30-45 y.,4th Quintile,"Yes, definitely",1.0,47,4633,0.71623,1.32154
113,113,1997,46-65 y.,1st Quintile,"No, definitely not",0.82539,344,4633,0.7567,0.90061
114,114,1997,46-65 y.,1st Quintile,Probably not,0.0738,31,4633,0.05278,0.10267
115,115,1997,46-65 y.,1st Quintile,"Yes, definitely",0.10081,42,4633,0.0738,0.13789
116,116,1997,46-65 y.,2nd Quintile,"No, definitely not",0.90487,294,4633,0.83304,0.99806
117,117,1997,46-65 y.,2nd Quintile,"Yes, definitely",0.09513,41,4633,0.0716,0.12459
118,118,1997,46-65 y.,3rd Quintile,"No, definitely not",0.87851,230,4633,0.8085,0.95752
119,119,1997,46-65 y.,3rd Quintile,"Yes, definitely",0.12149,35,4633,0.09226,0.16084
120,120,1997,46-65 y.,4th Quintile,"No, definitely not",1.0,219,4633,0.92965,1.09009
121,121,1997,46-65 y.,5th Quintile,"No, definitely not",1.0,207,4633,0.9133,1.10765
122,122,1997,66 and older,1st Quintile,"No, definitely not",1.0,329,4633,0.92659,1.05946
123,123,1997,66 and older,2nd Quintile,"No, definitely not",1.0,399,4633,0.95402,1.06669
124,124,1997,66 and older,3rd Quintile,"No, definitely not",1.0,327,4633,0.9468,1.06504
125,125,1997,66 and older,4th Quintile,"No, definitely not",1.0,236,4633,0.93272,1.07714
126,126,1997,66 and older,5th Quintile,"No, definitely not",1.0,209,4633,0.93358,1.06595
127,127,1998,17-29 y.,1st Quintile,"No, definitely not",0.14286,52,4479,0.11118,0.18453
128,128,1998,17-29 y.,1st Quintile,Probably,0.13553,46,4479,0.11007,0.17566
129,129,1998,17-29 y.,1st Quintile,"Yes, definitely",0.72161,240,4479,0.66727,0.78568
130,130,1998,17-29 y.,2nd Quintile,"No, definitely not",0.14322,41,4479,0.10897,0.18195
131,131,1998,17-29 y.,2nd Quintile,Probably,0.19009,45,4479,0.143,0.24328
132,132,1998,17-29 y.,2nd Quintile,"Yes, definitely",0.66669,180,4479,0.59488,0.74758
133,133,1998,17-29 y.,3rd Quintile,"Yes, definitely",1.0,136,4479,0.87887,1.1051
134,134,1998,17-29 y.,4th Quintile,"Yes, definitely",1.0,113,4479,0.87518,1.12499
135,135,1998,17-29 y.,5th Quintile,"Yes, definitely",1.0,84,4479,0.87275,1.16076
136,136,1998,30-45 y.,1st Quintile,"No, definitely not",0.20374,78,4479,0.16725,0.23652
137,137,1998,30-45 y.,1st Quintile,Probably not,0.08678,31,4479,0.07124,0.10712
138,138,1998,30-45 y.,1st Quintile,Probably,0.22407,68,4479,0.17874,0.26803
139,139,1998,30-45 y.,1st Quintile,"Yes, definitely",0.4854,153,4479,0.41606,0.54808
140,140,1998,30-45 y.,2nd Quintile,"No, definitely not",0.23581,49,4479,0.18674,0.27782
141,141,1998,30-45 y.,2nd Quintile,Probably,0.28245,53,4479,0.22781,0.33878
142,142,1998,30-45 y.,2nd Quintile,"Yes, definitely",0.48174,103,4479,0.41814,0.56505
143,143,1998,30-45 y.,3rd Quintile,"No, definitely not",0.25473,33,4479,0.18657,0.33815
144,144,1998,30-45 y.,3rd Quintile,Probably,0.22052,34,4479,0.16959,0.28266
145,145,1998,30-45 y.,3rd Quintile,"Yes, definitely",0.52475,71,4479,0.42895,0.64772
146,146,1998,30-45 y.,4th Quintile,"Yes, definitely",1.0,49,4479,0.78671,1.23704
147,147,1998,46-65 y.,1st Quintile,"No, definitely not",0.84523,308,4479,0.77536,0.91758
148,148,1998,46-65 y.,1st Quintile,"Yes, definitely",0.15477,53,4479,0.12677,0.18215
149,149,1998,46-65 y.,2nd Quintile,"No, definitely not",1.0,279,4479,0.9188,1.08448
150,150,1998,46-65 y.,3rd Quintile,"No, definitely not",0.92087,251,4479,0.82716,1.00639
151,151,1998,46-65 y.,3rd Quintile,"Yes, definitely",0.07913,35,4479,0.05695,0.1156
152,152,1998,46-65 y.,4th Quintile,"No, definitely not",1.0,232,4479,0.93021,1.09625
153,153,1998,46-65 y.,5th Quintile,"No, definitely not",1.0,192,4479,0.91082,1.08517
154,154,1998,66 and older,1st Quintile,"No, definitely not",1.0,301,4479,0.93401,1.06257
155,155,1998,66 and older,2nd Quintile,"No, definitely not",1.0,344,4479,0.94742,1.05909
156,156,1998,66 and older,3rd Quintile,"No, definitely not",1.0,352,4479,0.93859,1.05192
157,157,1998,66 and older,4th Quintile,"No, definitely not",1.0,262,4479,0.93137,1.07165
158,158,1998,66 and older,5th Quintile,"No, definitely not",1.0,211,4479,0.92368,1.08528
159,159,1999,17-29 y.,1st Quintile,"No, definitely not",0.10103,49,4993,0.08736,0.11975
160,160,1999,17-29 y.,1st Quintile,Probably,0.15607,55,4993,0.12532,0.18488
161,161,1999,17-29 y.,1st Quintile,"Yes, definitely",0.74289,259,4993,0.67095,0.81261
162,162,1999,17-29 y.,2nd Quintile,"No, definitely not",0.11517,39,4993,0.09289,0.14262
163,163,1999,17-29 y.,2nd Quintile,Probably,0.15511,39,4993,0.12173,0.19691
164,164,1999,17-29 y.,2nd Quintile,"Yes, definitely",0.72972,180,4993,0.63431,0.82057
165,165,1999,17-29 y.,3rd Quintile,Probably,0.15782,31,4993,0.118,0.20803
166,166,1999,17-29 y.,3rd Quintile,"Yes, definitely",0.84218,128,4993,0.71538,0.9689
167,167,1999,17-29 y.,4th Quintile,"Yes, definitely",1.0,98,4993,0.87718,1.11832
168,168,1999,17-29 y.,5th Quintile,"Yes, definitely",1.0,97,4993,0.88212,1.12948
169,169,1999,30-45 y.,1st Quintile,"No, definitely not",0.23888,76,4993,0.20394,0.27497
170,170,1999,30-45 y.,1st Quintile,Probably,0.19602,61,4993,0.16327,0.24583
171,171,1999,30-45 y.,1st Quintile,"Yes, definitely",0.56511,175,4993,0.5094,0.62945
172,172,1999,30-45 y.,2nd Quintile,"No, definitely not",0.23128,50,4993,0.18879,0.27569
173,173,1999,30-45 y.,2nd Quintile,Probably,0.3014,53,4993,0.25067,0.35503
174,174,1999,30-45 y.,2nd Quintile,"Yes, definitely",0.46732,93,4993,0.36822,0.57636
175,175,1999,30-45 y.,3rd Quintile,"No, definitely not",0.18758,33,4993,0.1371,0.24212
176,176,1999,30-45 y.,3rd Quintile,Probably,0.28364,38,4993,0.22302,0.35791
177,177,1999,30-45 y.,3rd Quintile,"Yes, definitely",0.52878,69,4993,0.43507,0.61813
178,178,1999,30-45 y.,4th Quintile,"Yes, definitely",1.0,46,4993,0.7972,1.24415
179,179,1999,46-65 y.,1st Quintile,"No, definitely not",0.87875,347,4993,0.81174,0.94697
180,180,1999,46-65 y.,1st Quintile,"Yes, definitely",0.12125,44,4993,0.09283,0.14761
181,181,1999,46-65 y.,2nd Quintile,"No, definitely not",0.91066,327,4993,0.84473,0.97573
182,182,1999,46-65 y.,2nd Quintile,"Yes, definitely",0.08934,35,4993,0.0691,0.1129
183,183,1999,46-65 y.,3rd Quintile,"No, definitely not",0.92072,299,4993,0.85805,0.99027
184,184,1999,46-65 y.,3rd Quintile,"Yes, definitely",0.07928,34,4993,0.06397,0.09648
185,185,1999,46-65 y.,4th Quintile,"No, definitely not",1.0,282,4993,0.93975,1.06035
186,186,1999,46-65 y.,5th Quintile,"No, definitely not",1.0,232,4993,0.91716,1.07791
187,187,1999,66 and older,1st Quintile,"No, definitely not",1.0,352,4993,0.94408,1.05484
188,188,1999,66 and older,2nd Quintile,"No, definitely not",1.0,436,4993,0.94901,1.05256
189,189,1999,66 and older,3rd Quintile,"No, definitely not",1.0,403,4993,0.9485,1.05489
190,190,1999,66 and older,4th Quintile,"No, definitely not",1.0,291,4993,0.94159,1.07164
191,191,1999,66 and older,5th Quintile,"No, definitely not",1.0,242,4993,0.93538,1.07287
192,192,2000,17-29 y.,1st Quintile,"No, definitely not",0.12003,48,4792,0.09245,0.15082
193,193,2000,17-29 y.,1st Quintile,Probably,0.14747,47,4792,0.1201,0.18193
194,194,2000,17-29 y.,1st Quintile,"Yes, definitely",0.7325,255,4792,0.66493,0.80787
195,195,2000,17-29 y.,2nd Quintile,Probably,0.21644,46,4792,0.17291,0.27447
196,196,2000,17-29 y.,2nd Quintile,"Yes, definitely",0.78356,170,4792,0.70591,0.87214
197,197,2000,17-29 y.,3rd Quintile,"Yes, definitely",1.0,138,4792,0.85277,1.12798
198,198,2000,17-29 y.,4th Quintile,"Yes, definitely",1.0,108,4792,0.85812,1.11969
199,199,2000,17-29 y.,5th Quintile,"Yes, definitely",1.0,92,4792,0.86033,1.12885
200,200,2000,30-45 y.,1st Quintile,"No, definitely not",0.19872,71,4792,0.1681,0.22832
201,201,2000,30-45 y.,1st Quintile,Probably,0.22888,63,4792,0.1876,0.267
202,202,2000,30-45 y.,1st Quintile,"Yes, definitely",0.5724,167,4792,0.5073,0.63563
203,203,2000,30-45 y.,2nd Quintile,"No, definitely not",0.17407,35,4792,0.12901,0.23689
204,204,2000,30-45 y.,2nd Quintile,Probably,0.33452,59,4792,0.27005,0.3971
205,205,2000,30-45 y.,2nd Quintile,"Yes, definitely",0.49141,94,4792,0.41295,0.58279
206,206,2000,30-45 y.,3rd Quintile,"No, definitely not",0.24532,31,4792,0.15463,0.32269
207,207,2000,30-45 y.,3rd Quintile,Probably,0.3364,42,4792,0.24911,0.43666
208,208,2000,30-45 y.,3rd Quintile,"Yes, definitely",0.41827,56,4792,0.33652,0.51448
209,209,2000,30-45 y.,4th Quintile,"Yes, definitely",1.0,35,4792,0.77424,1.2545
210,210,2000,46-65 y.,1st Quintile,"No, definitely not",0.89473,359,4792,0.83712,0.963
211,211,2000,46-65 y.,1st Quintile,"Yes, definitely",0.10527,43,4792,0.08994,0.12252
212,212,2000,46-65 y.,2nd Quintile,"No, definitely not",1.0,323,4792,0.92516,1.06916
213,213,2000,46-65 y.,3rd Quintile,"No, definitely not",1.0,277,4792,0.93292,1.07671
214,214,2000,46-65 y.,4th Quintile,"No, definitely not",1.0,270,4792,0.92093,1.10367
215,215,2000,46-65 y.,5th Quintile,"No, definitely not",1.0,228,4792,0.92828,1.08593
216,216,2000,66 and older,1st Quintile,"No, definitely not",1.0,436,4792,0.94096,1.04829
217,217,2000,66 and older,2nd Quintile,"No, definitely not",1.0,423,4792,0.9518,1.05737
218,218,2000,66 and older,3rd Quintile,"No, definitely not",1.0,374,4792,0.94974,1.05055
219,219,2000,66 and older,4th Quintile,"No, definitely not",1.0,280,4792,0.93683,1.06741
220,220,2000,66 and older,5th Quintile,"No, definitely not",1.0,222,4792,0.92858,1.06423
221,221,2001,17-29 y.,1st Quintile,"No, definitely not",0.10926,52,8582,0.0874,0.13405
222,222,2001,17-29 y.,1st Quintile,Probably,0.12455,65,8582,0.10222,0.14895
223,223,2001,17-29 y.,1st Quintile,"Yes, definitely",0.76618,345,8582,0.70785,0.81605
224,224,2001,17-29 y.,2nd Quintile,Probably,0.14183,44,8582,0.10699,0.1828
225,225,2001,17-29 y.,2nd Quintile,"Yes, definitely",0.85817,263,8582,0.79356,0.92804
226,226,2001,17-29 y.,3rd Quintile,Probably,0.14693,34,8582,0.11632,0.17947
227,227,2001,17-29 y.,3rd Quintile,"Yes, definitely",0.85307,214,8582,0.78206,0.91259
228,228,2001,17-29 y.,4th Quintile,"Yes, definitely",1.0,195,8582,0.92565,1.08569
229,229,2001,17-29 y.,5th Quintile,"Yes, definitely",1.0,144,8582,0.91874,1.09792
230,230,2001,30-45 y.,1st Quintile,"No, definitely not",0.17241,99,8582,0.15708,0.19159
231,231,2001,30-45 y.,1st Quintile,Probably not,0.07506,38,8582,0.06316,0.08722
232,232,2001,30-45 y.,1st Quintile,Probably,0.22058,103,8582,0.19315,0.24987
233,233,2001,30-45 y.,1st Quintile,"Yes, definitely",0.53195,241,8582,0.49351,0.57576
234,234,2001,30-45 y.,2nd Quintile,"No, definitely not",0.21333,79,8582,0.18271,0.25271
235,235,2001,30-45 y.,2nd Quintile,Probably,0.27396,82,8582,0.23618,0.31301
236,236,2001,30-45 y.,2nd Quintile,"Yes, definitely",0.5127,160,8582,0.46354,0.57426
237,237,2001,30-45 y.,3rd Quintile,"No, definitely not",0.21243,45,8582,0.16956,0.25994
238,238,2001,30-45 y.,3rd Quintile,Probably,0.33516,66,8582,0.29698,0.37831
239,239,2001,30-45 y.,3rd Quintile,"Yes, definitely",0.45241,106,8582,0.40113,0.51364
240,240,2001,30-45 y.,4th Quintile,"No, definitely not",0.20542,33,8582,0.17736,0.23918
241,241,2001,30-45 y.,4th Quintile,Probably,0.3179,47,8582,0.27194,0.39748
242,242,2001,30-45 y.,4th Quintile,"Yes, definitely",0.47668,67,8582,0.41987,0.53525
243,243,2001,30-45 y.,5th Quintile,Probably,0.40604,37,8582,0.33714,0.4838
244,244,2001,30-45 y.,5th Quintile,"Yes, definitely",0.59396,54,8582,0.48971,0.70282
245,245,2001,46-65 y.,1st Quintile,"No, definitely not",0.72022,512,8582,0.68642,0.75697
246,246,2001,46-65 y.,1st Quintile,Probably not,0.08823,55,8582,0.07318,0.10378
247,247,2001,46-65 y.,1st Quintile,Probably,0.06921,46,8582,0.05713,0.08294
248,248,2001,46-65 y.,1st Quintile,"Yes, definitely",0.12234,87,8582,0.10542,0.13981
249,249,2001,46-65 y.,2nd Quintile,"No, definitely not",0.93397,489,8582,0.891,0.98269
250,250,2001,46-65 y.,2nd Quintile,"Yes, definitely",0.06603,44,8582,0.0558,0.07916
251,251,2001,46-65 y.,3rd Quintile,"No, definitely not",0.92356,497,8582,0.87659,0.97421
252,252,2001,46-65 y.,3rd Quintile,"Yes, definitely",0.07644,45,8582,0.063,0.09172
253,253,2001,46-65 y.,4th Quintile,"No, definitely not",1.0,480,8582,0.96053,1.04821
254,254,2001,46-65 y.,5th Quintile,"No, definitely not",1.0,453,8582,0.9507,1.05011
255,255,2001,66 and older,1st Quintile,"No, definitely not",1.0,685,8582,0.9609,1.0368
256,256,2001,66 and older,2nd Quintile,"No, definitely not",1.0,818,8582,0.9703,1.03315
257,257,2001,66 and older,3rd Quintile,"No, definitely not",1.0,710,8582,0.96427,1.03216
258,258,2001,66 and older,4th Quintile,"No, definitely not",1.0,569,8582,0.96655,1.04879
259,259,2001,66 and older,5th Quintile,"No, definitely not",1.0,479,8582,0.95011,1.03757
260,260,2002,17-29 y.,1st Quintile,"No, definitely not",0.09357,44,8362,0.07507,0.11627
261,261,2002,17-29 y.,1st Quintile,Probably,0.1243,48,8362,0.09743,0.15726
262,262,2002,17-29 y.,1st Quintile,"Yes, definitely",0.78213,338,8362,0.73183,0.84494
263,263,2002,17-29 y.,2nd Quintile,"No, definitely not",0.12347,42,8362,0.09861,0.151
264,264,2002,17-29 y.,2nd Quintile,Probably,0.10873,33,8362,0.07954,0.13913
265,265,2002,17-29 y.,2nd Quintile,"Yes, definitely",0.7678,248,8362,0.69539,0.85504
266,266,2002,17-29 y.,3rd Quintile,"Yes, definitely",1.0,217,8362,0.90183,1.10166
267,267,2002,17-29 y.,4th Quintile,"Yes, definitely",1.0,186,8362,0.89586,1.14672
268,268,2002,17-29 y.,5th Quintile,"Yes, definitely",1.0,169,8362,0.85915,1.16594
269,269,2002,30-45 y.,1st Quintile,"No, definitely not",0.14176,73,8362,0.12621,0.15955
270,270,2002,30-45 y.,1st Quintile,Probably not,0.07708,35,8362,0.06541,0.091
271,271,2002,30-45 y.,1st Quintile,Probably,0.20408,91,8362,0.17562,0.22609
272,272,2002,30-45 y.,1st Quintile,"Yes, definitely",0.57709,242,8362,0.53122,0.62953
273,273,2002,30-45 y.,2nd Quintile,"No, definitely not",0.18851,54,8362,0.15514,0.2216
274,274,2002,30-45 y.,2nd Quintile,Probably,0.25159,71,8362,0.21148,0.2926
275,275,2002,30-45 y.,2nd Quintile,"Yes, definitely",0.5599,140,8362,0.49315,0.62019
276,276,2002,30-45 y.,3rd Quintile,"No, definitely not",0.14965,39,8362,0.11932,0.17938
277,277,2002,30-45 y.,3rd Quintile,Probably,0.33675,70,8362,0.28792,0.3826
278,278,2002,30-45 y.,3rd Quintile,"Yes, definitely",0.5136,112,8362,0.45812,0.57934
279,279,2002,30-45 y.,4th Quintile,"No, definitely not",0.17563,33,8362,0.12969,0.25214
280,280,2002,30-45 y.,4th Quintile,Probably,0.23302,45,8362,0.18077,0.29173
281,281,2002,30-45 y.,4th Quintile,"Yes, definitely",0.59135,81,8362,0.51302,0.68624
282,282,2002,30-45 y.,5th Quintile,Probably,0.32955,42,8362,0.23307,0.41863
283,283,2002,30-45 y.,5th Quintile,"Yes, definitely",0.67045,67,8362,0.55037,0.79147
284,284,2002,46-65 y.,1st Quintile,"No, definitely not",0.69989,483,8362,0.65761,0.73943
285,285,2002,46-65 y.,1st Quintile,Probably not,0.07355,41,8362,0.05973,0.09175
286,286,2002,46-65 y.,1st Quintile,Probably,0.06955,38,8362,0.05867,0.08474
