,Unnamed: 0,year,pgisced97,sampreg,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
121,121,1998,Upper Secondary Level,East,"No, definitely not",0.62254,507,5355,0.59974,0.64676
122,122,1998,Upper Secondary Level,East,Probably not,0.03879,39,5355,0.03024,0.04826
123,123,1998,Upper Secondary Level,East,Probably,0.06868,64,5355,0.05886,0.08002
124,124,1998,Upper Secondary Level,East,"Yes, definitely",0.26999,318,5355,0.25141,0.29085
125,125,1998,Post-secondary Non-tertiary Level,West,"No, definitely not",0.59135,49,5355,0.47161,0.70262
126,126,1998,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.40865,41,5355,0.33526,0.50452
127,127,1998,First Stage of Tertiary Education,West,"No, definitely not",1.0,95,5355,0.89557,1.11449
128,128,1998,First Stage of Tertiary Education,East,"No, definitely not",1.0,55,5355,0.88847,1.11347
129,129,1998,Second Stage of Tertiary Education,West,"No, definitely not",0.72679,130,5355,0.65785,0.78777
130,130,1998,Second Stage of Tertiary Education,West,"Yes, definitely",0.27321,63,5355,0.23064,0.32264
131,131,1998,Second Stage of Tertiary Education,East,"No, definitely not",0.79715,173,5355,0.74342,0.84992
132,132,1998,Second Stage of Tertiary Education,East,"Yes, definitely",0.20285,65,5355,0.17051,0.24001
133,133,1999,Pre-primary Level,West,"Yes, definitely",1.0,134,5084,0.87741,1.1074
134,134,1999,Pre-primary Level,East,"Yes, definitely",1.0,72,5084,0.86867,1.12754
135,135,1999,Primary Level,West,"No, definitely not",1.0,189,5084,0.89098,1.10782
136,136,1999,Lower Secondary Level,West,"No, definitely not",0.80891,838,5084,0.77462,0.84726
137,137,1999,Lower Secondary Level,West,Probably not,0.03125,45,5084,0.02481,0.03769
138,138,1999,Lower Secondary Level,West,Probably,0.04798,80,5084,0.04181,0.05567
139,139,1999,Lower Secondary Level,West,"Yes, definitely",0.11186,180,5084,0.10103,0.12391
140,140,1999,Lower Secondary Level,East,"No, definitely not",0.85497,147,5084,0.78544,0.92796
141,141,1999,Lower Secondary Level,East,"Yes, definitely",0.14503,41,5084,0.12363,0.16901
142,142,1999,Upper Secondary Level,West,"No, definitely not",0.7469,1218,5084,0.72165,0.76798
143,143,1999,Upper Secondary Level,West,Probably not,0.04159,85,5084,0.03548,0.047
144,144,1999,Upper Secondary Level,West,Probably,0.05817,135,5084,0.0507,0.06548
145,145,1999,Upper Secondary Level,West,"Yes, definitely",0.15334,339,5084,0.14132,0.16655
146,146,1999,Upper Secondary Level,East,"No, definitely not",0.6543,535,5084,0.63087,0.68327
147,147,1999,Upper Secondary Level,East,Probably not,0.04297,42,5084,0.03376,0.05281
148,148,1999,Upper Secondary Level,East,Probably,0.05864,65,5084,0.04918,0.06769
149,149,1999,Upper Secondary Level,East,"Yes, definitely",0.24409,277,5084,0.22515,0.26785
150,150,1999,Post-secondary Non-tertiary Level,West,"No, definitely not",0.58271,45,5084,0.4866,0.69535
151,151,1999,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.41729,48,5084,0.34021,0.49361
152,152,1999,First Stage of Tertiary Education,West,"No, definitely not",1.0,100,5084,0.89715,1.12067
153,153,1999,First Stage of Tertiary Education,East,"No, definitely not",1.0,58,5084,0.86644,1.11309
154,154,1999,Second Stage of Tertiary Education,West,"No, definitely not",0.78025,128,5084,0.7046,0.8345
155,155,1999,Second Stage of Tertiary Education,West,"Yes, definitely",0.21975,47,5084,0.16856,0.27323
156,156,1999,Second Stage of Tertiary Education,East,"No, definitely not",0.84744,185,5084,0.79545,0.90745
157,157,1999,Second Stage of Tertiary Education,East,"Yes, definitely",0.15256,51,5084,0.12533,0.1899
158,158,2000,Pre-primary Level,West,"No, definitely not",0.18917,46,9788,0.15937,0.21677
159,159,2000,Pre-primary Level,West,"Yes, definitely",0.81083,219,9788,0.74991,0.86469
160,160,2000,Pre-primary Level,East,"Yes, definitely",1.0,96,9788,0.89599,1.11928
161,161,2000,Primary Level,West,"No, definitely not",1.0,185,9788,0.9315,1.08972
162,162,2000,Lower Secondary Level,West,"No, definitely not",0.78549,1306,9788,0.7617,0.80872
163,163,2000,Lower Secondary Level,West,Probably not,0.03355,71,9788,0.03018,0.03752
164,164,2000,Lower Secondary Level,West,Probably,0.0474,103,9788,0.0416,0.05305
165,165,2000,Lower Secondary Level,West,"Yes, definitely",0.13357,282,9788,0.12339,0.14198
166,166,2000,Lower Secondary Level,East,"No, definitely not",0.82483,211,9788,0.78052,0.87766
167,167,2000,Lower Secondary Level,East,"Yes, definitely",0.17517,69,9788,0.15847,0.19293
168,168,2000,Upper Secondary Level,West,"No, definitely not",0.76136,2726,9788,0.74828,0.77737
169,169,2000,Upper Secondary Level,West,Probably not,0.03618,158,9788,0.03273,0.03967
170,170,2000,Upper Secondary Level,West,Probably,0.07094,340,9788,0.06681,0.07471
171,171,2000,Upper Secondary Level,West,"Yes, definitely",0.13152,626,9788,0.12504,0.13805
172,172,2000,Upper Secondary Level,East,"No, definitely not",0.66226,918,9788,0.64431,0.68183
173,173,2000,Upper Secondary Level,East,Probably not,0.04046,69,9788,0.03569,0.04532
174,174,2000,Upper Secondary Level,East,Probably,0.05285,87,9788,0.04353,0.06151
175,175,2000,Upper Secondary Level,East,"Yes, definitely",0.24443,452,9788,0.23177,0.25704
176,176,2000,Post-secondary Non-tertiary Level,West,"No, definitely not",0.55958,149,9788,0.5175,0.60094
177,177,2000,Post-secondary Non-tertiary Level,West,Probably,0.12219,44,9788,0.10101,0.14163
178,178,2000,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.31823,102,9788,0.28622,0.35515
179,179,2000,First Stage of Tertiary Education,West,"No, definitely not",0.79196,268,9788,0.74766,0.84228
180,180,2000,First Stage of Tertiary Education,West,Probably,0.08962,49,9788,0.07959,0.09913
181,181,2000,First Stage of Tertiary Education,West,"Yes, definitely",0.11842,61,9788,0.10012,0.13735
182,182,2000,First Stage of Tertiary Education,East,"No, definitely not",0.85711,145,9788,0.78465,0.92606
183,183,2000,First Stage of Tertiary Education,East,"Yes, definitely",0.14289,35,9788,0.11786,0.17297
184,184,2000,Second Stage of Tertiary Education,West,"No, definitely not",0.69716,395,9788,0.6697,0.7321
185,185,2000,Second Stage of Tertiary Education,West,Probably not,0.04207,35,9788,0.03648,0.04811
186,186,2000,Second Stage of Tertiary Education,West,Probably,0.07893,54,9788,0.06836,0.09216
187,187,2000,Second Stage of Tertiary Education,West,"Yes, definitely",0.18184,128,9788,0.16339,0.20143
188,188,2000,Second Stage of Tertiary Education,East,"No, definitely not",0.85928,291,9788,0.82016,0.90151
189,189,2000,Second Stage of Tertiary Education,East,"Yes, definitely",0.14072,68,9788,0.12739,0.15212
190,190,2001,Pre-primary Level,West,"No, definitely not",0.12581,31,8786,0.10451,0.14653
191,191,2001,Pre-primary Level,West,"Yes, definitely",0.87419,242,8786,0.83197,0.92827
192,192,2001,Pre-primary Level,East,"Yes, definitely",1.0,110,8786,0.90496,1.12202
193,193,2001,Primary Level,West,"No, definitely not",1.0,140,8786,0.87792,1.11355
194,194,2001,Lower Secondary Level,West,"No, definitely not",0.79121,1124,8786,0.7618,0.8128
195,195,2001,Lower Secondary Level,West,Probably not,0.02536,50,8786,0.02128,0.03053
196,196,2001,Lower Secondary Level,West,Probably,0.04658,93,8786,0.03996,0.05192
197,197,2001,Lower Secondary Level,West,"Yes, definitely",0.13685,246,8786,0.12484,0.14802
198,198,2001,Lower Secondary Level,East,"No, definitely not",0.84416,185,8786,0.7879,0.90454
199,199,2001,Lower Secondary Level,East,"Yes, definitely",0.15584,60,8786,0.13367,0.17584
200,200,2001,Upper Secondary Level,West,"No, definitely not",0.76549,2496,8786,0.7483,0.78115
201,201,2001,Upper Secondary Level,West,Probably not,0.0391,158,8786,0.03536,0.04302
202,202,2001,Upper Secondary Level,West,Probably,0.05662,232,8786,0.05235,0.06178
203,203,2001,Upper Secondary Level,West,"Yes, definitely",0.13878,549,8786,0.13165,0.14609
204,204,2001,Upper Secondary Level,East,"No, definitely not",0.67238,861,8786,0.65372,0.6932
205,205,2001,Upper Secondary Level,East,Probably not,0.0342,56,8786,0.02951,0.03921
206,206,2001,Upper Secondary Level,East,Probably,0.06254,98,8786,0.0538,0.07211
207,207,2001,Upper Secondary Level,East,"Yes, definitely",0.23089,383,8786,0.21682,0.2449
208,208,2001,Post-secondary Non-tertiary Level,West,"No, definitely not",0.61434,158,8786,0.56323,0.67156
209,209,2001,Post-secondary Non-tertiary Level,West,Probably,0.12119,43,8786,0.10162,0.14547
210,210,2001,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.26448,87,8786,0.23339,0.29777
211,211,2001,First Stage of Tertiary Education,West,"No, definitely not",0.8277,258,8786,0.77559,0.87772
212,212,2001,First Stage of Tertiary Education,West,Probably,0.06402,32,8786,0.05404,0.07807
213,213,2001,First Stage of Tertiary Education,West,"Yes, definitely",0.10828,56,8786,0.08669,0.13113
214,214,2001,First Stage of Tertiary Education,East,"No, definitely not",1.0,130,8786,0.91776,1.07343
215,215,2001,Second Stage of Tertiary Education,West,"No, definitely not",0.72946,388,8786,0.69806,0.76494
216,216,2001,Second Stage of Tertiary Education,West,Probably,0.08015,45,8786,0.06455,0.09558
217,217,2001,Second Stage of Tertiary Education,West,"Yes, definitely",0.19039,118,8786,0.16913,0.21105
218,218,2001,Second Stage of Tertiary Education,East,"No, definitely not",0.85552,293,8786,0.80635,0.90313
219,219,2001,Second Stage of Tertiary Education,East,"Yes, definitely",0.14448,64,8786,0.12196,0.16809
220,220,2002,Pre-primary Level,West,"No, definitely not",0.14744,47,8985,0.11412,0.18262
221,221,2002,Pre-primary Level,West,Probably,0.09671,32,8985,0.07047,0.12744
222,222,2002,Pre-primary Level,West,"Yes, definitely",0.75585,285,8985,0.69257,0.84309
223,223,2002,Pre-primary Level,East,"Yes, definitely",1.0,115,8985,0.86452,1.12924
224,224,2002,Primary Level,West,"No, definitely not",1.0,128,8985,0.85921,1.13269
225,225,2002,Lower Secondary Level,West,"No, definitely not",0.78698,1055,8985,0.75932,0.8101
226,226,2002,Lower Secondary Level,West,Probably not,0.02322,38,8985,0.01793,0.02845
227,227,2002,Lower Secondary Level,West,Probably,0.05463,86,8985,0.04619,0.06395
228,228,2002,Lower Secondary Level,West,"Yes, definitely",0.13517,241,8985,0.12257,0.14717
229,229,2002,Lower Secondary Level,East,"No, definitely not",0.79936,177,8985,0.73462,0.85544
230,230,2002,Lower Secondary Level,East,"Yes, definitely",0.20064,62,8985,0.16483,0.23374
231,231,2002,Upper Secondary Level,West,"No, definitely not",0.74154,2469,8985,0.72373,0.75686
232,232,2002,Upper Secondary Level,West,Probably not,0.03701,142,8985,0.03245,0.04089
233,233,2002,Upper Secondary Level,West,Probably,0.05665,242,8985,0.05185,0.06246
234,234,2002,Upper Secondary Level,West,"Yes, definitely",0.1648,669,8985,0.15514,0.17367
235,235,2002,Upper Secondary Level,East,"No, definitely not",0.64106,839,8985,0.61928,0.66142
236,236,2002,Upper Secondary Level,East,Probably not,0.03482,49,8985,0.02865,0.04352
237,237,2002,Upper Secondary Level,East,Probably,0.0547,80,8985,0.04655,0.06291
238,238,2002,Upper Secondary Level,East,"Yes, definitely",0.26941,419,8985,0.25335,0.28455
239,239,2002,Post-secondary Non-tertiary Level,West,"No, definitely not",0.56156,161,8985,0.48846,0.62836
240,240,2002,Post-secondary Non-tertiary Level,West,Probably,0.1095,43,8985,0.0824,0.13648
241,241,2002,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.32894,98,8985,0.28348,0.37728
242,242,2002,First Stage of Tertiary Education,West,"No, definitely not",0.87488,265,8985,0.81817,0.93248
243,243,2002,First Stage of Tertiary Education,West,"Yes, definitely",0.12512,44,8985,0.09504,0.16084
244,244,2002,First Stage of Tertiary Education,East,"No, definitely not",1.0,121,8985,0.90588,1.0935
245,245,2002,Second Stage of Tertiary Education,West,"No, definitely not",0.72029,503,8985,0.66877,0.76531
246,246,2002,Second Stage of Tertiary Education,West,Probably not,0.03411,32,8985,0.02432,0.04691
247,247,2002,Second Stage of Tertiary Education,West,Probably,0.05659,47,8985,0.04384,0.06951
248,248,2002,Second Stage of Tertiary Education,West,"Yes, definitely",0.18902,127,8985,0.16748,0.21381
249,249,2002,Second Stage of Tertiary Education,East,"No, definitely not",0.84803,302,8985,0.8083,0.90182
250,250,2002,Second Stage of Tertiary Education,East,"Yes, definitely",0.15197,67,8985,0.12175,0.18365
251,251,2003,Pre-primary Level,West,"No, definitely not",0.17123,56,8775,0.13875,0.21058
252,252,2003,Pre-primary Level,West,Probably,0.11534,43,8775,0.09002,0.13672
253,253,2003,Pre-primary Level,West,"Yes, definitely",0.71343,272,8775,0.63415,0.78426
254,254,2003,Pre-primary Level,East,"Yes, definitely",1.0,111,8775,0.86462,1.15161
255,255,2003,Primary Level,West,"No, definitely not",1.0,123,8775,0.87669,1.12064
256,256,2003,Lower Secondary Level,West,"No, definitely not",0.77906,986,8775,0.75017,0.80624
257,257,2003,Lower Secondary Level,West,Probably not,0.0228,33,8775,0.01856,0.02702
258,258,2003,Lower Secondary Level,West,Probably,0.05784,76,8775,0.04958,0.06912
259,259,2003,Lower Secondary Level,West,"Yes, definitely",0.1403,218,8775,0.1269,0.15642
260,260,2003,Lower Secondary Level,East,"No, definitely not",0.74405,168,8775,0.68684,0.78686
261,261,2003,Lower Secondary Level,East,"Yes, definitely",0.25595,62,8775,0.20503,0.30074
262,262,2003,Upper Secondary Level,West,"No, definitely not",0.74813,2398,8775,0.72823,0.76603
263,263,2003,Upper Secondary Level,West,Probably not,0.03276,127,8775,0.0282,0.03733
264,264,2003,Upper Secondary Level,West,Probably,0.04983,207,8775,0.04445,0.05465
265,265,2003,Upper Secondary Level,West,"Yes, definitely",0.16928,632,8775,0.15916,0.18075
266,266,2003,Upper Secondary Level,East,"No, definitely not",0.62629,819,8775,0.60185,0.65
267,267,2003,Upper Secondary Level,East,Probably not,0.0406,54,8775,0.0338,0.04851
268,268,2003,Upper Secondary Level,East,Probably,0.05759,90,8775,0.04937,0.06791
269,269,2003,Upper Secondary Level,East,"Yes, definitely",0.27553,420,8775,0.25335,0.29954
270,270,2003,Post-secondary Non-tertiary Level,West,"No, definitely not",0.57676,160,8775,0.5129,0.63613
271,271,2003,Post-secondary Non-tertiary Level,West,Probably,0.09796,39,8775,0.07406,0.12651
272,272,2003,Post-secondary Non-tertiary Level,West,"Yes, definitely",0.32528,87,8775,0.28213,0.38323
273,273,2003,First Stage of Tertiary Education,West,"No, definitely not",0.78209,263,8775,0.7184,0.84512
274,274,2003,First Stage of Tertiary Education,West,Probably,0.0701,32,8775,0.05404,0.08442
275,275,2003,First Stage of Tertiary Education,West,"Yes, definitely",0.14781,61,8775,0.11709,0.1747
276,276,2003,First Stage of Tertiary Education,East,"No, definitely not",1.0,133,8775,0.91689,1.08792
277,277,2003,Second Stage of Tertiary Education,West,"No, definitely not",0.70785,519,8775,0.65844,0.76599
278,278,2003,Second Stage of Tertiary Education,West,Probably not,0.05449,36,8775,0.03548,0.07692
279,279,2003,Second Stage of Tertiary Education,West,Probably,0.07014,51,8775,0.05826,0.0831
280,280,2003,Second Stage of Tertiary Education,West,"Yes, definitely",0.16753,115,8775,0.13953,0.19289
281,281,2003,Second Stage of Tertiary Education,East,"No, definitely not",0.84582,311,8775,0.79672,0.89648
282,282,2003,Second Stage of Tertiary Education,East,"Yes, definitely",0.15418,73,8775,0.12886,0.17835
283,283,2004,Pre-primary Level,West,"No, definitely not",0.12949,50,8638,0.09098,0.16601
284,284,2004,Pre-primary Level,West,Probably,0.10175,35,8638,0.06973,0.13593
285,285,2004,Pre-primary Level,West,"Yes, definitely",0.76875,323,8638,0.69371,0.8365
286,286,2004,Pre-primary Level,East,"Yes, definitely",1.0,121,8638,0.87756,1.15269
287,287,2004,Primary Level,West,"No, definitely not",1.0,113,8638,0.86916,1.155
288,288,2004,Lower Secondary Level,West,"No, definitely not",0.76493,946,8638,0.7303,0.79704
289,289,2004,Lower Secondary Level,West,Probably not,0.03023,36,8638,0.02195,0.03765
290,290,2004,Lower Secondary Level,West,Probably,0.04942,75,8638,0.03912,0.0589
291,291,2004,Lower Secondary Level,West,"Yes, definitely",0.15542,228,8638,0.13822,0.17007
292,292,2004,Lower Secondary Level,East,"No, definitely not",0.67541,149,8638,0.63696,0.72948
