year,bula_h,migback,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,Berlin,No migration background,"Yes, definitely",0.21448,45,142,0.14673,0.28224
1994,Brandenburg,No migration background,"No, definitely not",0.71436,131,206,0.65252,0.77619
1994,Brandenburg,No migration background,"Yes, definitely",0.21762,75,206,0.16114,0.27411
1994,Mecklenburg-Western Pomerania,No migration background,"No, definitely not",0.52642,75,140,0.44341,0.60942
1994,Mecklenburg-Western Pomerania,No migration background,"Yes, definitely",0.33608,65,140,0.25756,0.41461
1994,Saxony,No migration background,"No, definitely not",0.63684,239,411,0.59029,0.68339
1994,Saxony,No migration background,Probably,0.07372,38,411,0.04843,0.09901
1994,Saxony,No migration background,"Yes, definitely",0.23693,134,411,0.19577,0.27809
1994,Saxony-Anhalt,No migration background,"No, definitely not",0.62028,138,229,0.55729,0.68328
1994,Saxony-Anhalt,No migration background,"Yes, definitely",0.29553,91,229,0.23630,0.35476
1994,Thuringa,No migration background,"No, definitely not",0.61613,136,222,0.55201,0.68025
1994,Thuringa,No migration background,"Yes, definitely",0.28754,86,222,0.22787,0.34722
1995,Schleswig-Holstein,No migration background,"No, definitely not",0.66366,62,62,0.54510,0.78223
1995,Lower Saxony,No migration background,"No, definitely not",0.71293,201,268,0.65866,0.76719
1995,Lower Saxony,No migration background,"Yes, definitely",0.18505,67,268,0.13847,0.23163
1995,Lower Saxony,Direct migration background,"No, definitely not",0.53694,50,88,0.43216,0.64172
1995,Lower Saxony,Direct migration background,"Yes, definitely",0.34325,38,88,0.24348,0.44302
1995,Bremen,No migration background,"No, definitely not",0.77860,32,32,0.63244,0.92475
1995,North Rhine-Westphalia,No migration background,"No, definitely not",0.71166,415,676,0.67749,0.74584
1995,North Rhine-Westphalia,No migration background,Probably not,0.05054,44,676,0.03402,0.06707
1995,North Rhine-Westphalia,No migration background,Probably,0.06136,57,676,0.04326,0.07947
1995,North Rhine-Westphalia,No migration background,"Yes, definitely",0.17643,160,676,0.14768,0.20519
1995,North Rhine-Westphalia,Direct migration background,"No, definitely not",0.65236,175,290,0.59746,0.70727
1995,North Rhine-Westphalia,Direct migration background,Probably,0.11498,41,290,0.07820,0.15176
1995,North Rhine-Westphalia,Direct migration background,"Yes, definitely",0.21285,74,290,0.16566,0.26004
1995,North Rhine-Westphalia,Indirect migration background,"Yes, definitely",0.38571,34,34,0.21963,0.55179
1995,Hesse,No migration background,"No, definitely not",0.73464,146,185,0.67084,0.79844
1995,Hesse,No migration background,"Yes, definitely",0.16580,39,185,0.11207,0.21954
1995,Hesse,Direct migration background,"No, definitely not",0.67528,85,85,0.57513,0.77542
1995,"Rhineland-Palatinate, Saarland",No migration background,"No, definitely not",0.76448,166,206,0.70639,0.82257
1995,"Rhineland-Palatinate, Saarland",No migration background,"Yes, definitely",0.12955,40,206,0.08358,0.17551
1995,"Rhineland-Palatinate, Saarland",Direct migration background,"No, definitely not",0.40400,31,31,0.22840,0.57959
1995,Baden-Wuerttemberg,No migration background,"No, definitely not",0.70736,228,347,0.65942,0.75530
1995,Baden-Wuerttemberg,No migration background,Probably,0.09704,45,347,0.06585,0.12823
1995,Baden-Wuerttemberg,No migration background,"Yes, definitely",0.14574,74,347,0.10856,0.18292
1995,Baden-Wuerttemberg,Direct migration background,"No, definitely not",0.72445,168,262,0.67024,0.77865
1995,Baden-Wuerttemberg,Direct migration background,Probably,0.08271,35,262,0.04930,0.11613
1995,Baden-Wuerttemberg,Direct migration background,"Yes, definitely",0.16601,59,262,0.12086,0.21115
1995,Bavaria,No migration background,"No, definitely not",0.72568,279,447,0.68427,0.76709
1995,Bavaria,No migration background,Probably not,0.05889,36,447,0.03704,0.08074
1995,Bavaria,No migration background,Probably,0.07621,44,447,0.05159,0.10084
1995,Bavaria,No migration background,"Yes, definitely",0.13921,88,447,0.10709,0.17134
1995,Bavaria,Direct migration background,"No, definitely not",0.58465,88,131,0.49994,0.66936
1995,Bavaria,Direct migration background,"Yes, definitely",0.30871,43,131,0.22930,0.38813
1995,Berlin,No migration background,"No, definitely not",0.67552,100,144,0.59879,0.75226
1995,Berlin,No migration background,"Yes, definitely",0.18303,44,144,0.11965,0.24641
1995,Brandenburg,No migration background,"No, definitely not",0.69675,124,190,0.63122,0.76229
1995,Brandenburg,No migration background,"Yes, definitely",0.21831,66,190,0.15942,0.27721
1995,Mecklenburg-Western Pomerania,No migration background,"No, definitely not",0.60858,78,127,0.52336,0.69380
1995,Mecklenburg-Western Pomerania,No migration background,"Yes, definitely",0.27164,49,127,0.19397,0.34930
1995,Saxony,No migration background,"No, definitely not",0.67505,240,398,0.62898,0.72113
1995,Saxony,No migration background,Probably,0.07714,39,398,0.05089,0.10338
1995,Saxony,No migration background,"Yes, definitely",0.19841,119,398,0.15918,0.23764
1995,Saxony-Anhalt,No migration background,"No, definitely not",0.68850,136,219,0.62702,0.74997
1995,Saxony-Anhalt,No migration background,"Yes, definitely",0.22753,83,219,0.17187,0.28318
1995,Thuringa,No migration background,"No, definitely not",0.65148,129,203,0.58577,0.71719
1995,Thuringa,No migration background,"Yes, definitely",0.24966,74,203,0.18997,0.30935
1996,Schleswig-Holstein,No migration background,"No, definitely not",0.66413,60,60,0.54362,0.78465
1996,Lower Saxony,No migration background,"No, definitely not",0.73641,212,277,0.68443,0.78839
1996,Lower Saxony,No migration background,"Yes, definitely",0.16127,65,277,0.11788,0.20466
1996,Lower Saxony,Direct migration background,"No, definitely not",0.66492,51,51,0.53408,0.79576
1996,North Rhine-Westphalia,No migration background,"No, definitely not",0.70545,405,670,0.67091,0.74000
1996,North Rhine-Westphalia,No migration background,Probably not,0.04670,40,670,0.03071,0.06269
1996,North Rhine-Westphalia,No migration background,Probably,0.06853,64,670,0.04939,0.08768
1996,North Rhine-Westphalia,No migration background,"Yes, definitely",0.17931,161,670,0.15024,0.20838
1996,North Rhine-Westphalia,Direct migration background,"No, definitely not",0.61621,199,268,0.55788,0.67455
1996,North Rhine-Westphalia,Direct migration background,"Yes, definitely",0.21005,69,268,0.16119,0.25891
1996,North Rhine-Westphalia,Indirect migration background,"Yes, definitely",0.46645,43,43,0.31557,0.61732
1996,Hesse,No migration background,"No, definitely not",0.77244,152,190,0.71267,0.83221
1996,Hesse,No migration background,"Yes, definitely",0.15127,38,190,0.10018,0.20235
1996,Hesse,Direct migration background,"No, definitely not",0.65613,75,75,0.54791,0.76436
1996,"Rhineland-Palatinate, Saarland",No migration background,"No, definitely not",0.74660,157,195,0.68539,0.80780
1996,"Rhineland-Palatinate, Saarland",No migration background,"Yes, definitely",0.13441,38,195,0.08641,0.18241
1996,Baden-Wuerttemberg,No migration background,"No, definitely not",0.69571,224,338,0.64659,0.74484
1996,Baden-Wuerttemberg,No migration background,Probably,0.09089,43,338,0.06020,0.12158
1996,Baden-Wuerttemberg,No migration background,"Yes, definitely",0.15376,71,338,0.11525,0.19227
1996,Baden-Wuerttemberg,Direct migration background,"No, definitely not",0.68680,152,213,0.62437,0.74923
1996,Baden-Wuerttemberg,Direct migration background,"Yes, definitely",0.15646,61,213,0.10756,0.20536
1996,Baden-Wuerttemberg,Indirect migration background,"Yes, definitely",0.56453,33,33,0.39274,0.73633
1996,Bavaria,No migration background,"No, definitely not",0.74376,284,410,0.70145,0.78607
1996,Bavaria,No migration background,Probably,0.07375,43,410,0.04842,0.09908
1996,Bavaria,No migration background,"Yes, definitely",0.14110,83,410,0.10736,0.17484
1996,Bavaria,Direct migration background,"No, definitely not",0.56435,84,130,0.47879,0.64992
1996,Bavaria,Direct migration background,"Yes, definitely",0.28607,46,130,0.20809,0.36406
1996,Berlin,No migration background,"No, definitely not",0.67565,101,147,0.59972,0.75159
1996,Berlin,No migration background,"Yes, definitely",0.19799,46,147,0.13335,0.26263
1996,Brandenburg,No migration background,"No, definitely not",0.64098,128,207,0.57547,0.70649
1996,Brandenburg,No migration background,"Yes, definitely",0.28473,79,207,0.22310,0.34636
1996,Mecklenburg-Western Pomerania,No migration background,"No, definitely not",0.58742,81,142,0.50616,0.66868
1996,Mecklenburg-Western Pomerania,No migration background,"Yes, definitely",0.32936,61,142,0.25178,0.40693
1996,Saxony,No migration background,"No, definitely not",0.66243,236,388,0.61532,0.70955
1996,Saxony,No migration background,Probably,0.06183,36,388,0.03783,0.08583
1996,Saxony,No migration background,"Yes, definitely",0.21687,116,388,0.17581,0.25793
1996,Saxony-Anhalt,No migration background,"No, definitely not",0.65077,141,231,0.58915,0.71238
1996,Saxony-Anhalt,No migration background,"Yes, definitely",0.26155,90,231,0.20475,0.31835
1996,Thuringa,No migration background,"No, definitely not",0.63625,133,208,0.57071,0.70178
1996,Thuringa,No migration background,"Yes, definitely",0.22822,75,208,0.17104,0.28539
1997,Schleswig-Holstein,No migration background,"No, definitely not",0.57372,56,56,0.44303,0.70442
1997,Lower Saxony,No migration background,"No, definitely not",0.75160,215,268,0.69977,0.80343
1997,Lower Saxony,No migration background,"Yes, definitely",0.12443,53,268,0.08484,0.16402
1997,Lower Saxony,Direct migration background,"No, definitely not",0.60217,50,50,0.46512,0.73921
1997,North Rhine-Westphalia,No migration background,"No, definitely not",0.72622,416,659,0.69215,0.76029
1997,North Rhine-Westphalia,No migration background,Probably not,0.04450,39,659,0.02874,0.06025
1997,North Rhine-Westphalia,No migration background,Probably,0.08586,74,659,0.06446,0.10727
1997,North Rhine-Westphalia,No migration background,"Yes, definitely",0.14342,130,659,0.11664,0.17020
1997,North Rhine-Westphalia,Direct migration background,"No, definitely not",0.64959,178,273,0.59289,0.70629
1997,North Rhine-Westphalia,Direct migration background,Probably,0.12976,32,273,0.08983,0.16970
1997,North Rhine-Westphalia,Direct migration background,"Yes, definitely",0.19946,63,273,0.15197,0.24695
1997,North Rhine-Westphalia,Indirect migration background,"Yes, definitely",0.41925,42,42,0.26821,0.57029
1997,Hesse,No migration background,"No, definitely not",0.73705,142,178,0.67219,0.80190
1997,Hesse,No migration background,"Yes, definitely",0.15657,36,178,0.10304,0.21011
1997,Hesse,Direct migration background,"No, definitely not",0.70238,77,77,0.59958,0.80517
1997,"Rhineland-Palatinate, Saarland",No migration background,"No, definitely not",0.75564,170,208,0.69711,0.81418
1997,"Rhineland-Palatinate, Saarland",No migration background,"Yes, definitely",0.14851,38,208,0.10007,0.19695
1997,"Rhineland-Palatinate, Saarland",Direct migration background,"No, definitely not",0.45341,35,35,0.28607,0.62075
1997,Baden-Wuerttemberg,No migration background,"No, definitely not",0.70646,235,320,0.65649,0.75643
1997,Baden-Wuerttemberg,No migration background,"Yes, definitely",0.18209,85,320,0.13974,0.22444
1997,Baden-Wuerttemberg,Direct migration background,"No, definitely not",0.63602,154,263,0.57776,0.69428
1997,Baden-Wuerttemberg,Direct migration background,Probably,0.09391,31,263,0.05859,0.12924
1997,Baden-Wuerttemberg,Direct migration background,"Yes, definitely",0.23601,78,263,0.18459,0.28742
1997,Baden-Wuerttemberg,Indirect migration background,"Yes, definitely",0.62933,32,32,0.45931,0.79935
1997,Bavaria,No migration background,"No, definitely not",0.71217,278,453,0.67043,0.75391
1997,Bavaria,No migration background,Probably not,0.06230,36,453,0.04002,0.08458
1997,Bavaria,No migration background,Probably,0.07554,49,453,0.05117,0.09990
1997,Bavaria,No migration background,"Yes, definitely",0.15000,90,453,0.11708,0.18291
1997,Bavaria,Direct migration background,"No, definitely not",0.57413,79,113,0.48255,0.66570
1997,Bavaria,Direct migration background,"Yes, definitely",0.29258,34,113,0.20832,0.37684
1997,Berlin,No migration background,"No, definitely not",0.69545,106,150,0.62155,0.76935
1997,Berlin,No migration background,"Yes, definitely",0.21282,44,150,0.14710,0.27854
1997,Brandenburg,No migration background,"No, definitely not",0.64935,139,207,0.58419,0.71452
1997,Brandenburg,No migration background,"Yes, definitely",0.24923,68,207,0.19016,0.30830
1997,Mecklenburg-Western Pomerania,No migration background,"No, definitely not",0.60104,82,135,0.51813,0.68395
1997,Mecklenburg-Western Pomerania,No migration background,"Yes, definitely",0.27288,53,135,0.19746,0.34831
1997,Saxony,No migration background,"No, definitely not",0.66278,229,382,0.61530,0.71025
1997,Saxony,No migration background,Probably,0.09859,42,382,0.06866,0.12852
1997,Saxony,No migration background,"Yes, definitely",0.19423,111,382,0.15450,0.23395
1997,Saxony-Anhalt,No migration background,"No, definitely not",0.64921,143,233,0.58781,0.71062
1997,Saxony-Anhalt,No migration background,"Yes, definitely",0.24876,90,233,0.19313,0.30439
1997,Thuringa,No migration background,"No, definitely not",0.60600,136,226,0.54215,0.66984
1997,Thuringa,No migration background,"Yes, definitely",0.26657,90,226,0.20879,0.32434
1998,Schleswig-Holstein,No migration background,"No, definitely not",0.69762,84,115,0.61331,0.78194
1998,Schleswig-Holstein,No migration background,"Yes, definitely",0.20332,31,115,0.12944,0.27721
1998,Hamburg,No migration background,"No, definitely not",0.71300,34,34,0.55866,0.86734
1998,Lower Saxony,No migration background,"No, definitely not",0.74708,256,323,0.69960,0.79456
1998,Lower Saxony,No migration background,"Yes, definitely",0.15374,67,323,0.11434,0.19314
1998,Lower Saxony,Direct migration background,"No, definitely not",0.61212,48,48,0.47281,0.75143
1998,North Rhine-Westphalia,No migration background,"No, definitely not",0.74468,565,840,0.71517,0.77418
1998,North Rhine-Westphalia,No migration background,Probably not,0.03711,41,840,0.02432,0.04991
1998,North Rhine-Westphalia,No migration background,Probably,0.05601,66,840,0.04045,0.07157
1998,North Rhine-Westphalia,No migration background,"Yes, definitely",0.16220,168,840,0.13726,0.18715
1998,North Rhine-Westphalia,Direct migration background,"No, definitely not",0.60154,179,235,0.53881,0.66427
1998,North Rhine-Westphalia,Direct migration background,"Yes, definitely",0.20359,56,235,0.15200,0.25519
1998,North Rhine-Westphalia,Indirect migration background,"Yes, definitely",0.49860,51,51,0.36000,0.63719
1998,Hesse,No migration background,"No, definitely not",0.76830,176,221,0.71254,0.82405
1998,Hesse,No migration background,"Yes, definitely",0.14317,45,221,0.09689,0.18946
1998,Hesse,Direct migration background,"No, definitely not",0.66861,79,79,0.56415,0.77308
1998,"Rhineland-Palatinate, Saarland",No migration background,"No, definitely not",0.78422,208,247,0.73281,0.83562
1998,"Rhineland-Palatinate, Saarland",No migration background,"Yes, definitely",0.09653,39,247,0.05963,0.13344
1998,"Rhineland-Palatinate, Saarland",Direct migration background,"No, definitely not",0.49831,36,36,0.33266,0.66396
1998,Baden-Wuerttemberg,No migration background,"No, definitely not",0.72499,260,378,0.67992,0.77007
1998,Baden-Wuerttemberg,No migration background,Probably,0.08642,46,378,0.05805,0.11478
1998,Baden-Wuerttemberg,No migration background,"Yes, definitely",0.14187,72,378,0.10665,0.17710
1998,Baden-Wuerttemberg,Direct migration background,"No, definitely not",0.70583,169,230,0.64681,0.76485
1998,Baden-Wuerttemberg,Direct migration background,"Yes, definitely",0.19255,61,230,0.14148,0.24362
1998,Baden-Wuerttemberg,Indirect migration background,"Yes, definitely",0.62871,31,31,0.45582,0.80161
1998,Bavaria,No migration background,"No, definitely not",0.71261,380,589,0.67603,0.74919
1998,Bavaria,No migration background,Probably not,0.05980,43,589,0.04063,0.07897
1998,Bavaria,No migration background,Probably,0.05107,39,589,0.03328,0.06886
1998,Bavaria,No migration background,"Yes, definitely",0.17652,127,589,0.14570,0.20733
1998,Bavaria,Direct migration background,"No, definitely not",0.64546,87,119,0.55915,0.73177
1998,Bavaria,Direct migration background,"Yes, definitely",0.23541,32,119,0.15886,0.31196
1998,Berlin,No migration background,"No, definitely not",0.70021,119,159,0.62877,0.77165
1998,Berlin,No migration background,"Yes, definitely",0.17591,40,159,0.11654,0.23528
1998,Brandenburg,No migration background,"No, definitely not",0.64147,145,230,0.57936,0.70359
1998,Brandenburg,No migration background,"Yes, definitely",0.26934,85,230,0.21189,0.32680
1998,Mecklenburg-Western Pomerania,No migration background,"No, definitely not",0.58838,82,150,0.50936,0.66740
1998,Mecklenburg-Western Pomerania,No migration background,"Yes, definitely",0.32330,68,150,0.24819,0.39840
1998,Saxony,No migration background,"No, definitely not",0.65414,246,401,0.60752,0.70075
1998,Saxony,No migration background,"Yes, definitely",0.26465,155,401,0.22142,0.30789
1998,Saxony-Anhalt,No migration background,"No, definitely not",0.66435,164,247,0.60534,0.72336
1998,Saxony-Anhalt,No migration background,"Yes, definitely",0.22233,83,247,0.17037,0.27430
1998,Thuringa,No migration background,"No, definitely not",0.62429,166,268,0.56620,0.68238
1998,Thuringa,No migration background,"Yes, definitely",0.25525,102,268,0.20295,0.30755
1999,Schleswig-Holstein,No migration background,"No, definitely not",0.68889,71,71,0.58044,0.79734
1999,Lower Saxony,No migration background,"No, definitely not",0.75589,251,320,0.70875,0.80303
1999,Lower Saxony,No migration background,"Yes, definitely",0.15781,69,320,0.11780,0.19781
1999,Lower Saxony,Direct migration background,"No, definitely not",0.75712,48,48,0.63452,0.87972
1999,North Rhine-Westphalia,No migration background,"No, definitely not",0.76201,508,747,0.73145,0.79257
1999,North Rhine-Westphalia,No migration background,Probably not,0.03033,38,747,0.01802,0.04263
1999,North Rhine-Westphalia,No migration background,Probably,0.07258,67,747,0.05396,0.09120
1999,North Rhine-Westphalia,No migration background,"Yes, definitely",0.13508,134,747,0.11055,0.15961
1999,North Rhine-Westphalia,Direct migration background,"No, definitely not",0.67779,181,248,0.61951,0.73608
1999,North Rhine-Westphalia,Direct migration background,"Yes, definitely",0.25223,67,248,0.19807,0.30640
1999,North Rhine-Westphalia,Indirect migration background,"Yes, definitely",0.41812,39,39,0.26129,0.57495
1999,Hesse,No migration background,"No, definitely not",0.77177,170,214,0.71541,0.82813
1999,Hesse,No migration background,"Yes, definitely",0.15981,44,214,0.11060,0.20902
1999,Hesse,Direct migration background,"No, definitely not",0.71229,65,65,0.60138,0.82320
1999,"Rhineland-Palatinate, Saarland",No migration background,"No, definitely not",0.82060,207,207,0.76820,0.87300
1999,Baden-Wuerttemberg,No migration background,"No, definitely not",0.72136,250,357,0.67478,0.76793
1999,Baden-Wuerttemberg,No migration background,Probably,0.06682,34,357,0.04088,0.09276
1999,Baden-Wuerttemberg,No migration background,"Yes, definitely",0.17100,73,357,0.13189,0.21011
1999,Baden-Wuerttemberg,Direct migration background,"No, definitely not",0.71072,167,218,0.65039,0.77105
1999,Baden-Wuerttemberg,Direct migration background,"Yes, definitely",0.16956,51,218,0.11963,0.21948
1999,Baden-Wuerttemberg,Indirect migration background,"Yes, definitely",0.61964,34,34,0.45400,0.78528
1999,Bavaria,No migration background,"No, definitely not",0.76322,367,496,0.72577,0.80067
1999,Bavaria,No migration background,Probably,0.04657,35,496,0.02800,0.06513
1999,Bavaria,No migration background,"Yes, definitely",0.14141,94,496,0.11071,0.17210
1999,Bavaria,Direct migration background,"No, definitely not",0.80903,90,90,0.72736,0.89069
1999,Berlin,No migration background,"No, definitely not",0.69148,120,166,0.62100,0.76196
1999,Berlin,No migration background,"Yes, definitely",0.22021,46,166,0.15698,0.28344
1999,Brandenburg,No migration background,"No, definitely not",0.67734,152,232,0.61706,0.73763
1999,Brandenburg,No migration background,"Yes, definitely",0.26719,80,232,0.21013,0.32425
1999,Mecklenburg-Western Pomerania,No migration background,"No, definitely not",0.65706,88,135,0.57669,0.73743
1999,Mecklenburg-Western Pomerania,No migration background,"Yes, definitely",0.27190,47,135,0.19657,0.34724
1999,Saxony,No migration background,"No, definitely not",0.67194,264,444,0.62821,0.71566
1999,Saxony,No migration background,Probably,0.05249,36,444,0.03172,0.07325
1999,Saxony,No migration background,"Yes, definitely",0.23819,144,444,0.19852,0.27786
1999,Saxony-Anhalt,No migration background,"No, definitely not",0.70367,162,248,0.64672,0.76062
1999,Saxony-Anhalt,No migration background,"Yes, definitely",0.19857,86,248,0.14882,0.24832
1999,Thuringa,No migration background,"No, definitely not",0.63628,162,244,0.57579,0.69677
1999,Thuringa,No migration background,"Yes, definitely",0.23916,82,244,0.18552,0.29279
2000,Schleswig-Holstein,No migration background,"No, definitely not",0.75870,185,222,0.70229,0.81511
2000,Schleswig-Holstein,No migration background,"Yes, definitely",0.12977,37,222,0.08546,0.17407
2000,Hamburg,No migration background,"No, definitely not",0.75984,78,78,0.66442,0.85526
2000,Lower Saxony,No migration background,"No, definitely not",0.78210,517,677,0.75098,0.81322
2000,Lower Saxony,No migration background,Probably,0.05764,47,677,0.04007,0.07521
2000,Lower Saxony,No migration background,"Yes, definitely",0.12946,113,677,0.10415,0.15477
2000,Lower Saxony,Direct migration background,"No, definitely not",0.65419,57,57,0.52962,0.77877
2000,Bremen,No migration background,"No, definitely not",0.84303,58,58,0.74860,0.93747
2000,North Rhine-Westphalia,No migration background,"No, definitely not",0.78870,1228,1672,0.76912,0.80827
2000,North Rhine-Westphalia,No migration background,Probably not,0.03363,72,1672,0.02499,0.04228
2000,North Rhine-Westphalia,No migration background,Probably,0.05853,123,1672,0.04727,0.06978
2000,North Rhine-Westphalia,No migration background,"Yes, definitely",0.11914,249,1672,0.10361,0.13467
2000,North Rhine-Westphalia,Direct migration background,"No, definitely not",0.61045,256,392,0.56211,0.65879
2000,North Rhine-Westphalia,Direct migration background,Probably,0.10336,36,392,0.07318,0.13353
2000,North Rhine-Westphalia,Direct migration background,"Yes, definitely",0.23209,100,392,0.19025,0.27394
2000,North Rhine-Westphalia,Indirect migration background,"Yes, definitely",0.50476,54,54,0.37015,0.63936
2000,Hesse,No migration background,"No, definitely not",0.74922,341,469,0.70994,0.78849
2000,Hesse,No migration background,Probably,0.06670,43,469,0.04410,0.08931
2000,Hesse,No migration background,"Yes, definitely",0.14050,85,469,0.10902,0.17199
2000,Hesse,Direct migration background,"No, definitely not",0.59353,89,130,0.50877,0.67829
2000,Hesse,Direct migration background,"Yes, definitely",0.21753,41,130,0.14633,0.28872
2000,"Rhineland-Palatinate, Saarland",No migration background,"No, definitely not",0.78511,406,526,0.74998,0.82025
2000,"Rhineland-Palatinate, Saarland",No migration background,Probably,0.07111,47,526,0.04913,0.09310
2000,"Rhineland-Palatinate, Saarland",No migration background,"Yes, definitely",0.11377,73,526,0.08661,0.14093
2000,"Rhineland-Palatinate, Saarland",Direct migration background,"No, definitely not",0.56553,54,54,0.43208,0.69899
2000,Baden-Wuerttemberg,No migration background,"No, definitely not",0.75966,531,761,0.72928,0.79003
2000,Baden-Wuerttemberg,No migration background,Probably not,0.03713,35,761,0.02369,0.05058
2000,Baden-Wuerttemberg,No migration background,Probably,0.06482,63,761,0.04731,0.08232
2000,Baden-Wuerttemberg,No migration background,"Yes, definitely",0.13839,132,761,0.11384,0.16295
2000,Baden-Wuerttemberg,Direct migration background,"No, definitely not",0.68300,224,296,0.62990,0.73610
2000,Baden-Wuerttemberg,Direct migration background,"Yes, definitely",0.19512,72,296,0.14990,0.24035
2000,Baden-Wuerttemberg,Indirect migration background,"Yes, definitely",0.67222,55,55,0.54702,0.79742
2000,Bavaria,No migration background,"No, definitely not",0.76245,761,1071,0.73695,0.78795
2000,Bavaria,No migration background,Probably not,0.03961,53,1071,0.02792,0.05129
2000,Bavaria,No migration background,Probably,0.06274,92,1071,0.04821,0.07727
2000,Bavaria,No migration background,"Yes, definitely",0.13521,165,1071,0.11472,0.15570
2000,Bavaria,Direct migration background,"No, definitely not",0.68707,123,158,0.61454,0.75960
2000,Bavaria,Direct migration background,"Yes, definitely",0.17066,35,158,0.11181,0.22951
2000,Berlin,No migration background,"No, definitely not",0.66489,184,270,0.60848,0.72130
2000,Berlin,No migration background,"Yes, definitely",0.25947,86,270,0.20708,0.31185
2000,Brandenburg,No migration background,"No, definitely not",0.69227,279,398,0.64687,0.73768
2000,Brandenburg,No migration background,"Yes, definitely",0.22899,119,398,0.18766,0.27032
2000,Mecklenburg-Western Pomerania,No migration background,"No, definitely not",0.68651,127,191,0.62054,0.75247
2000,Mecklenburg-Western Pomerania,No migration background,"Yes, definitely",0.22881,64,191,0.16908,0.28854
2000,Saxony,No migration background,"No, definitely not",0.66588,445,756,0.63223,0.69952
2000,Saxony,No migration background,Probably not,0.04035,33,756,0.02631,0.05439
2000,Saxony,No migration background,Probably,0.04790,44,756,0.03267,0.06314
2000,Saxony,No migration background,"Yes, definitely",0.24587,234,756,0.21515,0.27659
2000,Saxony-Anhalt,No migration background,"No, definitely not",0.70941,293,416,0.66573,0.75310
2000,Saxony-Anhalt,No migration background,"Yes, definitely",0.20323,123,416,0.16451,0.24195
2000,Thuringa,No migration background,"No, definitely not",0.67316,277,401,0.62720,0.71913
2000,Thuringa,No migration background,"Yes, definitely",0.23035,124,401,0.18909,0.27161
2001,Schleswig-Holstein,No migration background,"No, definitely not",0.72873,175,216,0.66930,0.78816
2001,Schleswig-Holstein,No migration background,"Yes, definitely",0.16186,41,216,0.11263,0.21110
2001,Hamburg,No migration background,"No, definitely not",0.78635,73,73,0.69167,0.88103
2001,Lower Saxony,No migration background,"No, definitely not",0.78369,484,646,0.75191,0.81546
2001,Lower Saxony,No migration background,Probably,0.04490,46,646,0.02892,0.06088
2001,Lower Saxony,No migration background,"Yes, definitely",0.14589,116,646,0.11865,0.17314
2001,Lower Saxony,Direct migration background,"No, definitely not",0.60531,55,55,0.47494,0.73568
