year,quintil_oecd,regtyp,plb0417_v2,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,5th Quintile,Urban regions,Probably,0.06701,45,451,0.04391,0.09012
1994,5th Quintile,Urban regions,"Yes, definitely",0.15425,98,451,0.12088,0.18762
1994,5th Quintile,Rural regions,"No, definitely not",0.59517,68,100,0.49848,0.69186
1994,5th Quintile,Rural regions,"Yes, definitely",0.23483,32,100,0.15133,0.31834
1995,1st Quintile,Urban regions,"No, definitely not",0.58794,516,985,0.55719,0.61870
1995,1st Quintile,Urban regions,Probably not,0.04029,55,985,0.02800,0.05257
1995,1st Quintile,Urban regions,Probably,0.10156,124,985,0.08268,0.12043
1995,1st Quintile,Urban regions,"Yes, definitely",0.27021,290,985,0.24246,0.29796
1995,1st Quintile,Rural regions,"No, definitely not",0.63652,263,497,0.59419,0.67885
1995,1st Quintile,Rural regions,Probably,0.07841,61,497,0.05476,0.10207
1995,1st Quintile,Rural regions,"Yes, definitely",0.24371,173,497,0.20592,0.28149
1995,2nd Quintile,Urban regions,"No, definitely not",0.71215,506,841,0.68153,0.74277
1995,2nd Quintile,Urban regions,Probably not,0.03961,41,841,0.02642,0.05280
1995,2nd Quintile,Urban regions,Probably,0.07736,93,841,0.05929,0.09543
1995,2nd Quintile,Urban regions,"Yes, definitely",0.17088,201,841,0.14543,0.19634
1995,2nd Quintile,Rural regions,"No, definitely not",0.72489,330,498,0.68563,0.76415
1995,2nd Quintile,Rural regions,Probably,0.05351,41,498,0.03373,0.07330
1995,2nd Quintile,Rural regions,"Yes, definitely",0.18994,127,498,0.15546,0.22443
1995,3rd Quintile,Urban regions,"No, definitely not",0.72661,384,593,0.69070,0.76251
1995,3rd Quintile,Urban regions,Probably,0.07850,58,593,0.05683,0.10016
1995,3rd Quintile,Urban regions,"Yes, definitely",0.16028,151,593,0.13073,0.18984
1995,3rd Quintile,Rural regions,"No, definitely not",0.77600,231,316,0.72996,0.82205
1995,3rd Quintile,Rural regions,"Yes, definitely",0.13633,85,316,0.09844,0.17422
1995,4th Quintile,Urban regions,"No, definitely not",0.73856,342,515,0.70057,0.77655
1995,4th Quintile,Urban regions,Probably,0.06546,51,515,0.04408,0.08684
1995,4th Quintile,Urban regions,"Yes, definitely",0.14384,122,515,0.11350,0.17418
1995,4th Quintile,Rural regions,"No, definitely not",0.67353,136,197,0.60788,0.73918
1995,4th Quintile,Rural regions,"Yes, definitely",0.19665,61,197,0.14101,0.25230
1995,5th Quintile,Urban regions,"No, definitely not",0.72754,329,477,0.68754,0.76753
1995,5th Quintile,Urban regions,Probably,0.05846,37,477,0.03738,0.07953
1995,5th Quintile,Urban regions,"Yes, definitely",0.16644,111,477,0.13298,0.19990
1995,5th Quintile,Rural regions,"No, definitely not",0.61050,77,115,0.52099,0.70002
1995,5th Quintile,Rural regions,"Yes, definitely",0.18858,38,115,0.11677,0.26038
1996,1st Quintile,Urban regions,"No, definitely not",0.58749,522,1001,0.55698,0.61800
1996,1st Quintile,Urban regions,Probably not,0.02777,42,1001,0.01759,0.03796
1996,1st Quintile,Urban regions,Probably,0.11174,129,1001,0.09222,0.13127
1996,1st Quintile,Urban regions,"Yes, definitely",0.27299,308,1001,0.24538,0.30060
1996,1st Quintile,Rural regions,"No, definitely not",0.66606,277,513,0.62521,0.70691
1996,1st Quintile,Rural regions,Probably,0.06749,62,513,0.04576,0.08922
1996,1st Quintile,Rural regions,"Yes, definitely",0.23894,174,513,0.20200,0.27587
1996,2nd Quintile,Urban regions,"No, definitely not",0.69460,463,782,0.66229,0.72690
1996,2nd Quintile,Urban regions,Probably not,0.04494,38,782,0.03041,0.05947
1996,2nd Quintile,Urban regions,Probably,0.09679,84,782,0.07605,0.11752
1996,2nd Quintile,Urban regions,"Yes, definitely",0.16368,197,782,0.13773,0.18962
1996,2nd Quintile,Rural regions,"No, definitely not",0.71385,265,411,0.67010,0.75759
1996,2nd Quintile,Rural regions,Probably,0.05727,34,411,0.03478,0.07977
1996,2nd Quintile,Rural regions,"Yes, definitely",0.18663,112,411,0.14892,0.22434
1996,3rd Quintile,Urban regions,"No, definitely not",0.71902,379,583,0.68250,0.75554
1996,3rd Quintile,Urban regions,Probably,0.07681,61,583,0.05518,0.09845
1996,3rd Quintile,Urban regions,"Yes, definitely",0.16721,143,583,0.13690,0.19753
1996,3rd Quintile,Rural regions,"No, definitely not",0.71711,264,359,0.67045,0.76377
1996,3rd Quintile,Rural regions,"Yes, definitely",0.18610,95,359,0.14579,0.22642
1996,4th Quintile,Urban regions,"No, definitely not",0.73936,375,565,0.70313,0.77559
1996,4th Quintile,Urban regions,Probably not,0.06545,33,565,0.04504,0.08586
1996,4th Quintile,Urban regions,Probably,0.06474,50,565,0.04443,0.08504
1996,4th Quintile,Urban regions,"Yes, definitely",0.13045,107,565,0.10265,0.15824
1996,4th Quintile,Rural regions,"No, definitely not",0.70924,166,244,0.65214,0.76634
1996,4th Quintile,Rural regions,"Yes, definitely",0.19685,78,244,0.14685,0.24684
1996,5th Quintile,Urban regions,"No, definitely not",0.74662,321,465,0.70704,0.78620
1996,5th Quintile,Urban regions,Probably not,0.05620,34,465,0.03524,0.07715
1996,5th Quintile,Urban regions,"Yes, definitely",0.16738,110,465,0.13341,0.20135
1996,5th Quintile,Rural regions,"No, definitely not",0.57706,80,131,0.49213,0.66198
1996,5th Quintile,Rural regions,"Yes, definitely",0.25667,51,131,0.18158,0.33176
1997,1st Quintile,Urban regions,"No, definitely not",0.61608,532,997,0.58587,0.64628
1997,1st Quintile,Urban regions,Probably not,0.04595,59,997,0.03295,0.05895
1997,1st Quintile,Urban regions,Probably,0.10550,122,997,0.08642,0.12458
1997,1st Quintile,Urban regions,"Yes, definitely",0.23247,284,997,0.20624,0.25871
1997,1st Quintile,Rural regions,"No, definitely not",0.62647,256,449,0.58167,0.67126
1997,1st Quintile,Rural regions,Probably,0.08636,54,449,0.06035,0.11237
1997,1st Quintile,Rural regions,"Yes, definitely",0.23533,139,449,0.19605,0.27461
1997,2nd Quintile,Urban regions,"No, definitely not",0.70068,471,791,0.66875,0.73262
1997,2nd Quintile,Urban regions,Probably not,0.03811,39,791,0.02476,0.05146
1997,2nd Quintile,Urban regions,Probably,0.09092,87,791,0.07087,0.11097
1997,2nd Quintile,Urban regions,"Yes, definitely",0.17029,194,791,0.14408,0.19650
1997,2nd Quintile,Rural regions,"No, definitely not",0.69687,304,490,0.65613,0.73761
1997,2nd Quintile,Rural regions,Probably,0.06781,42,490,0.04553,0.09010
1997,2nd Quintile,Rural regions,"Yes, definitely",0.19861,144,490,0.16324,0.23397
1997,3rd Quintile,Urban regions,"No, definitely not",0.68538,388,616,0.64867,0.72208
1997,3rd Quintile,Urban regions,Probably,0.08009,65,616,0.05864,0.10154
1997,3rd Quintile,Urban regions,"Yes, definitely",0.19417,163,616,0.16290,0.22543
1997,3rd Quintile,Rural regions,"No, definitely not",0.71873,227,358,0.67209,0.76537
1997,3rd Quintile,Rural regions,Probably,0.05743,32,358,0.03329,0.08156
1997,3rd Quintile,Rural regions,"Yes, definitely",0.19483,99,358,0.15375,0.23592
1997,4th Quintile,Urban regions,"No, definitely not",0.72529,346,546,0.68782,0.76277
1997,4th Quintile,Urban regions,Probably not,0.05548,38,546,0.03626,0.07470
1997,4th Quintile,Urban regions,Probably,0.05492,43,546,0.03579,0.07404
1997,4th Quintile,Urban regions,"Yes, definitely",0.16431,119,546,0.13320,0.19542
1997,4th Quintile,Rural regions,"No, definitely not",0.67964,154,217,0.61741,0.74187
1997,4th Quintile,Rural regions,"Yes, definitely",0.16675,63,217,0.11704,0.21647
1997,5th Quintile,Urban regions,"No, definitely not",0.77943,341,427,0.74005,0.81880
1997,5th Quintile,Urban regions,"Yes, definitely",0.12588,86,427,0.09438,0.15738
1997,5th Quintile,Rural regions,"No, definitely not",0.64851,98,137,0.56827,0.72875
1997,5th Quintile,Rural regions,"Yes, definitely",0.17191,39,137,0.10850,0.23532
1998,1st Quintile,Urban regions,"No, definitely not",0.56047,475,929,0.52854,0.59241
1998,1st Quintile,Urban regions,Probably not,0.07763,64,929,0.06041,0.09484
1998,1st Quintile,Urban regions,Probably,0.10457,112,929,0.08489,0.12426
1998,1st Quintile,Urban regions,"Yes, definitely",0.25733,278,929,0.22920,0.28545
1998,1st Quintile,Rural regions,"No, definitely not",0.59686,236,446,0.55128,0.64244
1998,1st Quintile,Rural regions,Probably,0.07613,45,446,0.05149,0.10077
1998,1st Quintile,Rural regions,"Yes, definitely",0.28942,165,446,0.24728,0.33155
1998,2nd Quintile,Urban regions,"No, definitely not",0.71377,446,690,0.68002,0.74752
1998,2nd Quintile,Urban regions,Probably,0.07412,66,690,0.05456,0.09368
1998,2nd Quintile,Urban regions,"Yes, definitely",0.17806,178,690,0.14949,0.20662
1998,2nd Quintile,Rural regions,"No, definitely not",0.69557,268,434,0.65223,0.73892
1998,2nd Quintile,Rural regions,Probably,0.06506,34,434,0.04183,0.08829
1998,2nd Quintile,Rural regions,"Yes, definitely",0.20377,132,434,0.16583,0.24171
1998,3rd Quintile,Urban regions,"No, definitely not",0.77428,415,620,0.74135,0.80722
1998,3rd Quintile,Urban regions,Probably not,0.03859,32,620,0.02341,0.05376
1998,3rd Quintile,Urban regions,Probably,0.05229,44,620,0.03475,0.06983
1998,3rd Quintile,Urban regions,"Yes, definitely",0.13484,129,620,0.10793,0.16175
1998,3rd Quintile,Rural regions,"No, definitely not",0.74586,261,376,0.70180,0.78993
1998,3rd Quintile,Rural regions,"Yes, definitely",0.18097,115,376,0.14200,0.21994
1998,4th Quintile,Urban regions,"No, definitely not",0.76357,371,515,0.72683,0.80030
1998,4th Quintile,Urban regions,Probably,0.03774,32,515,0.02126,0.05421
1998,4th Quintile,Urban regions,"Yes, definitely",0.16689,112,515,0.13465,0.19912
1998,4th Quintile,Rural regions,"No, definitely not",0.71068,173,250,0.65435,0.76700
1998,4th Quintile,Rural regions,"Yes, definitely",0.19545,77,250,0.14619,0.24470
1998,5th Quintile,Urban regions,"No, definitely not",0.76076,318,410,0.71942,0.80211
1998,5th Quintile,Urban regions,"Yes, definitely",0.15143,92,410,0.11668,0.18617
1998,5th Quintile,Rural regions,"No, definitely not",0.69162,98,137,0.61400,0.76924
1998,5th Quintile,Rural regions,"Yes, definitely",0.19756,39,137,0.13065,0.26448
1999,1st Quintile,Urban regions,"No, definitely not",0.60661,536,960,0.57569,0.63753
1999,1st Quintile,Urban regions,Probably not,0.04451,41,960,0.03146,0.05756
1999,1st Quintile,Urban regions,Probably,0.08773,103,960,0.06982,0.10563
1999,1st Quintile,Urban regions,"Yes, definitely",0.26115,280,960,0.23335,0.28895
1999,1st Quintile,Rural regions,"No, definitely not",0.61382,274,505,0.57131,0.65633
1999,1st Quintile,Rural regions,Probably,0.06195,39,505,0.04090,0.08299
1999,1st Quintile,Rural regions,"Yes, definitely",0.27203,192,505,0.23318,0.31088
1999,2nd Quintile,Urban regions,"No, definitely not",0.71525,505,792,0.68380,0.74670
1999,2nd Quintile,Urban regions,Probably not,0.04040,36,792,0.02668,0.05412
1999,2nd Quintile,Urban regions,Probably,0.07400,74,792,0.05576,0.09224
1999,2nd Quintile,Urban regions,"Yes, definitely",0.17035,177,792,0.14415,0.19655
1999,2nd Quintile,Rural regions,"No, definitely not",0.74086,350,490,0.70202,0.77969
1999,2nd Quintile,Rural regions,"Yes, definitely",0.18800,140,490,0.15337,0.22263
1999,3rd Quintile,Urban regions,"No, definitely not",0.75385,477,701,0.72194,0.78576
1999,3rd Quintile,Urban regions,Probably not,0.03091,32,701,0.01809,0.04374
1999,3rd Quintile,Urban regions,Probably,0.06649,60,701,0.04803,0.08495
1999,3rd Quintile,Urban regions,"Yes, definitely",0.14875,132,701,0.12238,0.17511
1999,3rd Quintile,Rural regions,"No, definitely not",0.73830,285,386,0.69439,0.78221
1999,3rd Quintile,Rural regions,"Yes, definitely",0.19386,101,386,0.15437,0.23335
1999,4th Quintile,Urban regions,"No, definitely not",0.80713,440,579,0.77497,0.83930
1999,4th Quintile,Urban regions,Probably,0.04683,37,579,0.02961,0.06406
1999,4th Quintile,Urban regions,"Yes, definitely",0.11940,102,579,0.09296,0.14583
1999,4th Quintile,Rural regions,"No, definitely not",0.78910,181,238,0.73716,0.84104
1999,4th Quintile,Rural regions,"Yes, definitely",0.14946,57,238,0.10407,0.19485
1999,5th Quintile,Urban regions,"No, definitely not",0.78722,370,467,0.75006,0.82438
1999,5th Quintile,Urban regions,"Yes, definitely",0.14639,97,467,0.11430,0.17849
1999,5th Quintile,Rural regions,"No, definitely not",0.75789,125,160,0.69131,0.82448
1999,5th Quintile,Rural regions,"Yes, definitely",0.14600,35,160,0.09111,0.20088
2000,1st Quintile,Urban regions,"No, definitely not",0.62973,568,984,0.59955,0.65992
2000,1st Quintile,Urban regions,Probably not,0.03978,43,984,0.02756,0.05200
2000,1st Quintile,Urban regions,Probably,0.08126,90,984,0.06418,0.09834
2000,1st Quintile,Urban regions,"Yes, definitely",0.24923,283,984,0.22219,0.27627
2000,1st Quintile,Rural regions,"No, definitely not",0.66133,328,551,0.62178,0.70088
2000,1st Quintile,Rural regions,Probably,0.04944,39,551,0.03132,0.06756
2000,1st Quintile,Rural regions,"Yes, definitely",0.23416,184,551,0.19877,0.26955
2000,2nd Quintile,Urban regions,"No, definitely not",0.72474,502,791,0.69359,0.75589
2000,2nd Quintile,Urban regions,Probably not,0.03136,32,791,0.01921,0.04351
2000,2nd Quintile,Urban regions,Probably,0.07694,78,791,0.05836,0.09553
2000,2nd Quintile,Urban regions,"Yes, definitely",0.16696,179,791,0.14095,0.19296
2000,2nd Quintile,Rural regions,"No, definitely not",0.73929,299,450,0.69868,0.77990
2000,2nd Quintile,Rural regions,Probably,0.05675,41,450,0.03535,0.07815
2000,2nd Quintile,Rural regions,"Yes, definitely",0.17040,110,450,0.13562,0.20518
2000,3rd Quintile,Urban regions,"No, definitely not",0.75778,427,603,0.72356,0.79201
2000,3rd Quintile,Urban regions,Probably,0.05923,47,603,0.04038,0.07809
2000,3rd Quintile,Urban regions,"Yes, definitely",0.15264,129,603,0.12391,0.18137
2000,3rd Quintile,Rural regions,"No, definitely not",0.73617,290,414,0.69367,0.77868
2000,3rd Quintile,Rural regions,Probably,0.07740,36,414,0.05163,0.10318
2000,3rd Quintile,Rural regions,"Yes, definitely",0.14281,88,414,0.10906,0.17655
2000,4th Quintile,Urban regions,"No, definitely not",0.82520,428,522,0.79259,0.85782
2000,4th Quintile,Urban regions,"Yes, definitely",0.09909,94,522,0.07343,0.12475
2000,4th Quintile,Rural regions,"No, definitely not",0.70449,156,222,0.64434,0.76465
2000,4th Quintile,Rural regions,"Yes, definitely",0.18555,66,222,0.13429,0.23680
2000,5th Quintile,Urban regions,"No, definitely not",0.76946,343,469,0.73130,0.80762
2000,5th Quintile,Urban regions,Probably,0.05336,37,469,0.03300,0.07372
2000,5th Quintile,Urban regions,"Yes, definitely",0.13587,89,469,0.10482,0.16691
2000,5th Quintile,Rural regions,"No, definitely not",0.74682,120,159,0.67902,0.81462
2000,5th Quintile,Rural regions,"Yes, definitely",0.17095,39,159,0.11225,0.22965
2001,1st Quintile,Urban regions,"No, definitely not",0.62455,850,1478,0.59985,0.64924
2001,1st Quintile,Urban regions,Probably not,0.04380,68,1478,0.03336,0.05423
2001,1st Quintile,Urban regions,Probably,0.07999,147,1478,0.06615,0.09382
2001,1st Quintile,Urban regions,"Yes, definitely",0.25167,413,1478,0.22954,0.27380
2001,1st Quintile,Rural regions,"No, definitely not",0.63647,485,868,0.60446,0.66849
2001,1st Quintile,Rural regions,Probably not,0.03960,37,868,0.02662,0.05258
2001,1st Quintile,Rural regions,Probably,0.07389,77,868,0.05648,0.09130
2001,1st Quintile,Rural regions,"Yes, definitely",0.25004,269,868,0.22121,0.27886
2001,2nd Quintile,Urban regions,"No, definitely not",0.71890,809,1224,0.69371,0.74410
2001,2nd Quintile,Urban regions,Probably not,0.03734,54,1224,0.02671,0.04796
2001,2nd Quintile,Urban regions,Probably,0.06212,89,1224,0.04859,0.07565
2001,2nd Quintile,Urban regions,"Yes, definitely",0.18164,272,1224,0.16003,0.20325
2001,2nd Quintile,Rural regions,"No, definitely not",0.73709,590,875,0.70791,0.76628
2001,2nd Quintile,Rural regions,Probably not,0.03400,31,875,0.02198,0.04601
2001,2nd Quintile,Rural regions,Probably,0.06104,56,875,0.04517,0.07691
2001,2nd Quintile,Rural regions,"Yes, definitely",0.16787,198,875,0.14309,0.19265
2001,3rd Quintile,Urban regions,"No, definitely not",0.76943,833,1150,0.74508,0.79379
2001,3rd Quintile,Urban regions,Probably not,0.03082,41,1150,0.02083,0.04081
2001,3rd Quintile,Urban regions,Probably,0.05507,68,1150,0.04188,0.06826
2001,3rd Quintile,Urban regions,"Yes, definitely",0.14468,208,1150,0.12434,0.16502
2001,3rd Quintile,Rural regions,"No, definitely not",0.73745,467,656,0.70375,0.77115
2001,3rd Quintile,Rural regions,Probably,0.06541,46,656,0.04647,0.08434
2001,3rd Quintile,Rural regions,"Yes, definitely",0.16952,143,656,0.14078,0.19825
2001,4th Quintile,Urban regions,"No, definitely not",0.78292,748,1023,0.75764,0.80819
2001,4th Quintile,Urban regions,Probably not,0.02848,39,1023,0.01828,0.03868
2001,4th Quintile,Urban regions,Probably,0.04291,54,1023,0.03048,0.05533
2001,4th Quintile,Urban regions,"Yes, definitely",0.14569,182,1023,0.12406,0.16732
2001,4th Quintile,Rural regions,"No, definitely not",0.72731,341,496,0.68808,0.76654
2001,4th Quintile,Rural regions,Probably,0.04171,31,496,0.02410,0.05932
2001,4th Quintile,Rural regions,"Yes, definitely",0.20050,124,496,0.16523,0.23578
2001,5th Quintile,Urban regions,"No, definitely not",0.79557,762,1012,0.77072,0.82043
2001,5th Quintile,Urban regions,Probably not,0.03336,37,1012,0.02229,0.04443
2001,5th Quintile,Urban regions,Probably,0.04397,50,1012,0.03133,0.05661
2001,5th Quintile,Urban regions,"Yes, definitely",0.12710,163,1012,0.10657,0.14763
2001,5th Quintile,Rural regions,"No, definitely not",0.77865,229,280,0.72993,0.82737
2001,5th Quintile,Rural regions,"Yes, definitely",0.13337,51,280,0.09348,0.17326
2002,1st Quintile,Urban regions,"No, definitely not",0.58820,767,1362,0.56205,0.61435
2002,1st Quintile,Urban regions,Probably not,0.04401,61,1362,0.03311,0.05491
2002,1st Quintile,Urban regions,Probably,0.08485,122,1362,0.07004,0.09965
2002,1st Quintile,Urban regions,"Yes, definitely",0.28295,412,1362,0.25902,0.30688
2002,1st Quintile,Rural regions,"No, definitely not",0.59784,447,786,0.56354,0.63214
2002,1st Quintile,Rural regions,Probably,0.07642,62,786,0.05783,0.09500
2002,1st Quintile,Rural regions,"Yes, definitely",0.28880,277,786,0.25709,0.32050
2002,2nd Quintile,Urban regions,"No, definitely not",0.71987,809,1185,0.69429,0.74545
2002,2nd Quintile,Urban regions,Probably not,0.03395,42,1185,0.02364,0.04427
2002,2nd Quintile,Urban regions,Probably,0.06249,84,1185,0.04870,0.07628
2002,2nd Quintile,Urban regions,"Yes, definitely",0.18369,250,1185,0.16163,0.20574
2002,2nd Quintile,Rural regions,"No, definitely not",0.76191,578,799,0.73236,0.79146
2002,2nd Quintile,Rural regions,Probably,0.04547,50,799,0.03101,0.05992
2002,2nd Quintile,Rural regions,"Yes, definitely",0.16638,171,799,0.14054,0.19222
2002,3rd Quintile,Urban regions,"No, definitely not",0.75236,766,1091,0.72673,0.77798
2002,3rd Quintile,Urban regions,Probably not,0.02229,32,1091,0.01352,0.03105
2002,3rd Quintile,Urban regions,Probably,0.05581,69,1091,0.04219,0.06944
2002,3rd Quintile,Urban regions,"Yes, definitely",0.16954,224,1091,0.14726,0.19182
2002,3rd Quintile,Rural regions,"No, definitely not",0.69351,418,606,0.65678,0.73025
2002,3rd Quintile,Rural regions,Probably,0.04922,32,606,0.03198,0.06645
2002,3rd Quintile,Rural regions,"Yes, definitely",0.21471,156,606,0.18199,0.24743
2002,4th Quintile,Urban regions,"No, definitely not",0.76695,687,975,0.74039,0.79350
2002,4th Quintile,Urban regions,Probably not,0.03324,40,975,0.02198,0.04449
2002,4th Quintile,Urban regions,Probably,0.03877,54,975,0.02664,0.05089
2002,4th Quintile,Urban regions,"Yes, definitely",0.16105,194,975,0.13797,0.18414
2002,4th Quintile,Rural regions,"No, definitely not",0.75102,363,511,0.71349,0.78855
2002,4th Quintile,Rural regions,Probably,0.04872,33,511,0.03004,0.06741
2002,4th Quintile,Rural regions,"Yes, definitely",0.17186,115,511,0.13912,0.20460
2002,5th Quintile,Urban regions,"No, definitely not",0.80620,756,1038,0.78214,0.83026
2002,5th Quintile,Urban regions,Probably not,0.02680,37,1038,0.01697,0.03663
2002,5th Quintile,Urban regions,Probably,0.03349,51,1038,0.02254,0.04444
2002,5th Quintile,Urban regions,"Yes, definitely",0.13351,194,1038,0.11281,0.15421
2002,5th Quintile,Rural regions,"No, definitely not",0.75714,216,291,0.70778,0.80649
2002,5th Quintile,Rural regions,"Yes, definitely",0.17156,75,291,0.12817,0.21496
2003,1st Quintile,Urban regions,"No, definitely not",0.57415,763,1372,0.54798,0.60033
2003,1st Quintile,Urban regions,Probably not,0.04413,65,1372,0.03326,0.05501
2003,1st Quintile,Urban regions,Probably,0.08477,123,1372,0.07003,0.09952
2003,1st Quintile,Urban regions,"Yes, definitely",0.29694,421,1372,0.27275,0.32112
2003,1st Quintile,Rural regions,"No, definitely not",0.58282,417,780,0.54819,0.61745
2003,1st Quintile,Rural regions,Probably not,0.04624,39,780,0.03149,0.06098
2003,1st Quintile,Rural regions,Probably,0.07132,62,780,0.05325,0.08939
2003,1st Quintile,Rural regions,"Yes, definitely",0.29963,262,780,0.26746,0.33180
2003,2nd Quintile,Urban regions,"No, definitely not",0.71169,789,1171,0.68573,0.73765
2003,2nd Quintile,Urban regions,Probably not,0.03103,38,1171,0.02109,0.04097
2003,2nd Quintile,Urban regions,Probably,0.06083,78,1171,0.04714,0.07453
2003,2nd Quintile,Urban regions,"Yes, definitely",0.19645,266,1171,0.17368,0.21921
2003,2nd Quintile,Rural regions,"No, definitely not",0.72735,567,804,0.69655,0.75815
2003,2nd Quintile,Rural regions,Probably,0.05058,47,804,0.03542,0.06574
2003,2nd Quintile,Rural regions,"Yes, definitely",0.20711,190,804,0.17908,0.23514
2003,3rd Quintile,Urban regions,"No, definitely not",0.77228,761,1084,0.74730,0.79725
2003,3rd Quintile,Urban regions,Probably not,0.02306,37,1084,0.01412,0.03200
2003,3rd Quintile,Urban regions,Probably,0.05521,67,1084,0.04161,0.06881
2003,3rd Quintile,Urban regions,"Yes, definitely",0.14945,219,1084,0.12821,0.17068
2003,3rd Quintile,Rural regions,"No, definitely not",0.74444,443,611,0.70983,0.77905
2003,3rd Quintile,Rural regions,Probably,0.05160,35,611,0.03405,0.06916
2003,3rd Quintile,Rural regions,"Yes, definitely",0.17266,133,611,0.14267,0.20266
2003,4th Quintile,Urban regions,"No, definitely not",0.74888,693,1005,0.72206,0.77571
2003,4th Quintile,Urban regions,Probably not,0.03145,36,1005,0.02065,0.04224
2003,4th Quintile,Urban regions,Probably,0.05257,63,1005,0.03876,0.06637
2003,4th Quintile,Urban regions,"Yes, definitely",0.16711,213,1005,0.14403,0.19018
2003,4th Quintile,Rural regions,"No, definitely not",0.73771,338,456,0.69729,0.77813
2003,4th Quintile,Rural regions,"Yes, definitely",0.19145,118,456,0.15530,0.22761
2003,5th Quintile,Urban regions,"No, definitely not",0.79186,973,1369,0.77035,0.81338
2003,5th Quintile,Urban regions,Probably not,0.02579,49,1369,0.01739,0.03419
2003,5th Quintile,Urban regions,Probably,0.03203,75,1369,0.02270,0.04136
2003,5th Quintile,Urban regions,"Yes, definitely",0.15032,272,1369,0.13139,0.16926
2003,5th Quintile,Rural regions,"No, definitely not",0.71239,256,356,0.66530,0.75948
2003,5th Quintile,Rural regions,"Yes, definitely",0.17080,100,356,0.13165,0.20995
2004,1st Quintile,Urban regions,"No, definitely not",0.56035,696,1298,0.53334,0.58736
2004,1st Quintile,Urban regions,Probably not,0.04793,63,1298,0.03631,0.05956
2004,1st Quintile,Urban regions,Probably,0.07997,102,1298,0.06521,0.09473
2004,1st Quintile,Urban regions,"Yes, definitely",0.31174,437,1298,0.28654,0.33695
2004,1st Quintile,Rural regions,"No, definitely not",0.51967,352,756,0.48404,0.55531
2004,1st Quintile,Rural regions,Probably not,0.04132,32,756,0.02712,0.05552
2004,1st Quintile,Rural regions,Probably,0.08931,68,756,0.06897,0.10966
2004,1st Quintile,Rural regions,"Yes, definitely",0.34969,304,756,0.31568,0.38371
2004,2nd Quintile,Urban regions,"No, definitely not",0.70842,755,1154,0.68219,0.73466
2004,2nd Quintile,Urban regions,Probably not,0.03200,40,1154,0.02184,0.04216
2004,2nd Quintile,Urban regions,Probably,0.06808,91,1154,0.05354,0.08262
2004,2nd Quintile,Urban regions,"Yes, definitely",0.19149,268,1154,0.16878,0.21421
2004,2nd Quintile,Rural regions,"No, definitely not",0.69152,536,781,0.65910,0.72393
2004,2nd Quintile,Rural regions,Probably,0.05011,48,781,0.03479,0.06542
2004,2nd Quintile,Rural regions,"Yes, definitely",0.22136,197,781,0.19222,0.25049
2004,3rd Quintile,Urban regions,"No, definitely not",0.73321,766,1096,0.70701,0.75940
