,Unnamed: 0,year,bula_h,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
68,68,1995,Saxony,Probably,0.07835,40,5001,0.06598,0.09237
69,69,1995,Saxony,"Yes, definitely",0.20034,122,5001,0.18259,0.22104
70,70,1995,Saxony-Anhalt,"No, definitely not",0.7729,157,5001,0.70847,0.8429
71,71,1995,Saxony-Anhalt,"Yes, definitely",0.2271,85,5001,0.1998,0.25892
72,72,1995,Thuringa,"No, definitely not",0.73865,143,5001,0.67459,0.81023
73,73,1995,Thuringa,"Yes, definitely",0.26135,75,5001,0.2205,0.29328
74,74,1996,Schleswig-Holstein,"No, definitely not",1.0,67,4965,0.87991,1.11581
75,75,1996,Hamburg,"No, definitely not",1.0,35,4965,0.83362,1.19902
76,76,1996,Lower Saxony,"No, definitely not",0.74813,266,4965,0.69728,0.7986
77,77,1996,Lower Saxony,Probably,0.06524,40,4965,0.05414,0.07825
78,78,1996,Lower Saxony,"Yes, definitely",0.18663,103,4965,0.16419,0.20467
79,79,1996,Bremen,"No, definitely not",1.0,37,4965,0.84844,1.17442
80,80,1996,North Rhine-Westphalia,"No, definitely not",0.67982,619,4965,0.64588,0.7268
81,81,1996,North Rhine-Westphalia,Probably not,0.04446,53,4965,0.03763,0.05289
82,82,1996,North Rhine-Westphalia,Probably,0.08212,102,4965,0.06795,0.09679
83,83,1996,North Rhine-Westphalia,"Yes, definitely",0.1936,273,4965,0.17759,0.21059
84,84,1996,Hesse,"No, definitely not",0.75608,228,4965,0.69584,0.82263
85,85,1996,Hesse,Probably,0.05736,33,4965,0.04403,0.07118
86,86,1996,Hesse,"Yes, definitely",0.18656,87,4965,0.1581,0.22293
87,87,1996,"Rhineland-Palatinate, Saarland","No, definitely not",0.75823,187,4965,0.69963,0.82403
88,88,1996,"Rhineland-Palatinate, Saarland",Probably,0.07386,34,4965,0.06297,0.08726
89,89,1996,"Rhineland-Palatinate, Saarland","Yes, definitely",0.16791,59,4965,0.13987,0.19836
90,90,1996,Baden-Wuerttemberg,"No, definitely not",0.68341,387,4965,0.63347,0.74208
91,91,1996,Baden-Wuerttemberg,Probably not,0.06187,39,4965,0.04009,0.08742
92,92,1996,Baden-Wuerttemberg,Probably,0.08711,76,4965,0.06847,0.10336
93,93,1996,Baden-Wuerttemberg,"Yes, definitely",0.16761,165,4965,0.14403,0.19174
94,94,1996,Bavaria,"No, definitely not",0.69803,372,4965,0.65832,0.73557
95,95,1996,Bavaria,Probably not,0.0414,31,4965,0.0329,0.05027
96,96,1996,Bavaria,Probably,0.08179,72,4965,0.06662,0.1026
97,97,1996,Bavaria,"Yes, definitely",0.17878,148,4965,0.15851,0.20737
98,98,1996,Berlin,"No, definitely not",0.71454,125,4965,0.64092,0.7929
99,99,1996,Berlin,"Yes, definitely",0.28546,66,4965,0.23907,0.33408
100,100,1996,Brandenburg,"No, definitely not",0.70563,137,4965,0.65965,0.74798
101,101,1996,Brandenburg,"Yes, definitely",0.29437,80,4965,0.25579,0.33627
102,102,1996,Mecklenburg-Western Pomerania,"No, definitely not",0.64694,86,4965,0.58194,0.70557
103,103,1996,Mecklenburg-Western Pomerania,"Yes, definitely",0.35306,63,4965,0.29011,0.41033
104,104,1996,Saxony,"No, definitely not",0.71719,260,4965,0.67649,0.76082
105,105,1996,Saxony,Probably,0.06366,38,4965,0.0534,0.0743
106,106,1996,Saxony,"Yes, definitely",0.21915,119,4965,0.19472,0.24782
107,107,1996,Saxony-Anhalt,"No, definitely not",0.74483,163,4965,0.68583,0.80178
108,108,1996,Saxony-Anhalt,"Yes, definitely",0.25517,91,4965,0.22235,0.29096
109,109,1996,Thuringa,"No, definitely not",0.75079,147,4965,0.70042,0.81263
110,110,1996,Thuringa,"Yes, definitely",0.24921,77,4965,0.21674,0.28859
111,111,1997,Schleswig-Holstein,"No, definitely not",0.6664,61,4978,0.57033,0.7348
112,112,1997,Schleswig-Holstein,"Yes, definitely",0.3336,33,4978,0.26718,0.41039
113,113,1997,Hamburg,"No, definitely not",1.0,33,4978,0.79749,1.25267
114,114,1997,Lower Saxony,"No, definitely not",0.76521,265,4978,0.70519,0.81697
115,115,1997,Lower Saxony,Probably,0.07601,35,4978,0.05752,0.1008
116,116,1997,Lower Saxony,"Yes, definitely",0.15878,93,4978,0.13577,0.18103
117,117,1997,Bremen,"No, definitely not",1.0,37,4978,0.82761,1.17116
118,118,1997,North Rhine-Westphalia,"No, definitely not",0.70397,613,4978,0.67212,0.74479
119,119,1997,North Rhine-Westphalia,Probably not,0.03999,52,4978,0.03114,0.04788
120,120,1997,North Rhine-Westphalia,Probably,0.09335,114,4978,0.07997,0.10547
121,121,1997,North Rhine-Westphalia,"Yes, definitely",0.16268,235,4978,0.14652,0.17828
122,122,1997,Hesse,"No, definitely not",0.73648,221,4978,0.68326,0.80035
123,123,1997,Hesse,Probably,0.08436,42,4978,0.07002,0.09933
124,124,1997,Hesse,"Yes, definitely",0.17916,74,4978,0.14308,0.23092
125,125,1997,"Rhineland-Palatinate, Saarland","No, definitely not",0.74273,206,4978,0.68356,0.79541
126,126,1997,"Rhineland-Palatinate, Saarland",Probably,0.08052,37,4978,0.06766,0.09499
127,127,1997,"Rhineland-Palatinate, Saarland","Yes, definitely",0.17675,61,4978,0.15211,0.20023
128,128,1997,Baden-Wuerttemberg,"No, definitely not",0.67698,399,4978,0.63308,0.73572
129,129,1997,Baden-Wuerttemberg,Probably not,0.04663,38,4978,0.02837,0.06622
130,130,1997,Baden-Wuerttemberg,Probably,0.06939,67,4978,0.05565,0.08567
131,131,1997,Baden-Wuerttemberg,"Yes, definitely",0.207,195,4978,0.18119,0.23562
132,132,1997,Bavaria,"No, definitely not",0.67732,358,4978,0.63907,0.72034
133,133,1997,Bavaria,Probably not,0.05696,45,4978,0.04425,0.0731
134,134,1997,Bavaria,Probably,0.0799,76,4978,0.06438,0.0983
135,135,1997,Bavaria,"Yes, definitely",0.18582,144,4978,0.16443,0.21092
136,136,1997,Berlin,"No, definitely not",0.75859,124,4978,0.67708,0.84667
137,137,1997,Berlin,"Yes, definitely",0.24141,54,4978,0.20059,0.29089
138,138,1997,Brandenburg,"No, definitely not",0.73537,147,4978,0.68878,0.78639
139,139,1997,Brandenburg,"Yes, definitely",0.26463,68,4978,0.233,0.29806
140,140,1997,Mecklenburg-Western Pomerania,"No, definitely not",0.67918,88,4978,0.59645,0.74115
141,141,1997,Mecklenburg-Western Pomerania,"Yes, definitely",0.32082,56,4978,0.26606,0.37841
142,142,1997,Saxony,"No, definitely not",0.70625,252,4978,0.66587,0.74653
143,143,1997,Saxony,Probably,0.09786,43,4978,0.07884,0.12602
144,144,1997,Saxony,"Yes, definitely",0.1959,115,4978,0.1766,0.21981
145,145,1997,Saxony-Anhalt,"No, definitely not",0.74732,162,4978,0.6892,0.79891
146,146,1997,Saxony-Anhalt,"Yes, definitely",0.25268,92,4978,0.221,0.28864
147,147,1997,Thuringa,"No, definitely not",0.7216,151,4978,0.66032,0.78798
148,148,1997,Thuringa,"Yes, definitely",0.2784,92,4978,0.24902,0.31365
149,149,1998,Schleswig-Holstein,"No, definitely not",0.76605,89,5540,0.68436,0.85906
150,150,1998,Schleswig-Holstein,"Yes, definitely",0.23395,33,5540,0.1898,0.28426
151,151,1998,Hamburg,"No, definitely not",1.0,40,5540,0.85419,1.16142
152,152,1998,Lower Saxony,"No, definitely not",0.74949,309,5540,0.70359,0.79061
153,153,1998,Lower Saxony,Probably,0.06597,36,5540,0.05732,0.07712
154,154,1998,Lower Saxony,"Yes, definitely",0.18454,101,5540,0.15598,0.21226
155,155,1998,Bremen,"No, definitely not",1.0,36,5540,0.85353,1.13705
156,156,1998,North Rhine-Westphalia,"No, definitely not",0.70315,760,5540,0.6712,0.7351
157,157,1998,North Rhine-Westphalia,Probably not,0.04387,63,5540,0.03677,0.05168
158,158,1998,North Rhine-Westphalia,Probably,0.07043,105,5540,0.06096,0.0812
159,159,1998,North Rhine-Westphalia,"Yes, definitely",0.18256,275,5540,0.17079,0.19556
160,160,1998,Hesse,"No, definitely not",0.81085,260,5540,0.75696,0.8593
161,161,1998,Hesse,"Yes, definitely",0.18915,83,5540,0.16474,0.21843
162,162,1998,"Rhineland-Palatinate, Saarland","No, definitely not",0.86025,247,5540,0.8092,0.91065
163,163,1998,"Rhineland-Palatinate, Saarland","Yes, definitely",0.13975,61,5540,0.11679,0.16742
164,164,1998,Baden-Wuerttemberg,"No, definitely not",0.70326,441,5540,0.65022,0.75245
165,165,1998,Baden-Wuerttemberg,Probably not,0.04484,43,5540,0.03563,0.05564
166,166,1998,Baden-Wuerttemberg,Probably,0.08185,76,5540,0.06687,0.09953
167,167,1998,Baden-Wuerttemberg,"Yes, definitely",0.17005,164,5540,0.15053,0.19512
168,168,1998,Bavaria,"No, definitely not",0.68899,470,5540,0.65481,0.72287
169,169,1998,Bavaria,Probably not,0.05494,48,5540,0.04468,0.06826
170,170,1998,Bavaria,Probably,0.0571,58,5540,0.04861,0.06872
171,171,1998,Bavaria,"Yes, definitely",0.19897,178,5540,0.17621,0.21948
172,172,1998,Berlin,"No, definitely not",0.76093,135,5540,0.69967,0.83936
173,173,1998,Berlin,"Yes, definitely",0.23907,54,5540,0.20311,0.28528
174,174,1998,Brandenburg,"No, definitely not",0.70449,154,5540,0.6556,0.75762
175,175,1998,Brandenburg,"Yes, definitely",0.29551,88,5540,0.25721,0.33729
176,176,1998,Mecklenburg-Western Pomerania,"No, definitely not",0.65194,88,5540,0.58912,0.71374
177,177,1998,Mecklenburg-Western Pomerania,"Yes, definitely",0.34806,70,5540,0.29842,0.41511
178,178,1998,Saxony,"No, definitely not",0.72351,266,5540,0.68811,0.76296
179,179,1998,Saxony,"Yes, definitely",0.27649,159,5540,0.25134,0.30038
180,180,1998,Saxony-Anhalt,"No, definitely not",0.75985,183,5540,0.70615,0.80533
181,181,1998,Saxony-Anhalt,"Yes, definitely",0.24015,87,5540,0.20881,0.2735
182,182,1998,Thuringa,"No, definitely not",0.72585,177,5540,0.68057,0.78136
183,183,1998,Thuringa,"Yes, definitely",0.27415,103,5540,0.24098,0.31153
184,184,1999,Schleswig-Holstein,"No, definitely not",0.75783,74,5185,0.67019,0.83932
185,185,1999,Schleswig-Holstein,"Yes, definitely",0.24217,32,5185,0.20048,0.29237
186,186,1999,Hamburg,"No, definitely not",1.0,33,5185,0.83278,1.15963
187,187,1999,Lower Saxony,"No, definitely not",0.77325,308,5185,0.7255,0.82005
188,188,1999,Lower Saxony,Probably,0.05214,31,5185,0.04071,0.06815
189,189,1999,Lower Saxony,"Yes, definitely",0.17461,94,5185,0.15135,0.20394
190,190,1999,Bremen,"No, definitely not",1.0,33,5185,0.82888,1.16484
191,191,1999,North Rhine-Westphalia,"No, definitely not",0.73178,708,5185,0.69971,0.76313
192,192,1999,North Rhine-Westphalia,Probably not,0.03425,47,5185,0.0287,0.04072
193,193,1999,North Rhine-Westphalia,Probably,0.06925,86,5185,0.05922,0.07743
194,194,1999,North Rhine-Westphalia,"Yes, definitely",0.16472,240,5185,0.15022,0.18023
195,195,1999,Hesse,"No, definitely not",0.81308,236,5185,0.75481,0.86664
196,196,1999,Hesse,"Yes, definitely",0.18692,77,5185,0.15378,0.22745
197,197,1999,"Rhineland-Palatinate, Saarland","No, definitely not",0.82911,236,5185,0.78286,0.88365
198,198,1999,"Rhineland-Palatinate, Saarland","Yes, definitely",0.17089,57,5185,0.1415,0.2046
199,199,1999,Baden-Wuerttemberg,"No, definitely not",0.72278,425,5185,0.66428,0.77928
200,200,1999,Baden-Wuerttemberg,Probably,0.07663,67,5185,0.05812,0.092
201,201,1999,Baden-Wuerttemberg,"Yes, definitely",0.2006,158,5185,0.17687,0.22936
202,202,1999,Bavaria,"No, definitely not",0.76051,460,5185,0.71428,0.80689
203,203,1999,Bavaria,Probably not,0.04427,34,5185,0.03382,0.05558
204,204,1999,Bavaria,Probably,0.04938,48,5185,0.0398,0.05966
205,205,1999,Bavaria,"Yes, definitely",0.14584,125,5185,0.13023,0.16411
206,206,1999,Berlin,"No, definitely not",0.72225,132,5185,0.65126,0.78734
207,207,1999,Berlin,"Yes, definitely",0.27775,59,5185,0.23383,0.32892
208,208,1999,Brandenburg,"No, definitely not",0.73343,164,5185,0.68004,0.78476
209,209,1999,Brandenburg,"Yes, definitely",0.26657,80,5185,0.2295,0.30981
210,210,1999,Mecklenburg-Western Pomerania,"No, definitely not",0.71809,94,5185,0.65243,0.80426
211,211,1999,Mecklenburg-Western Pomerania,"Yes, definitely",0.28191,48,5185,0.22937,0.33251
212,212,1999,Saxony,"No, definitely not",0.70375,282,5185,0.66544,0.73778
213,213,1999,Saxony,Probably,0.05136,36,5185,0.04206,0.06168
214,214,1999,Saxony,"Yes, definitely",0.24489,150,5185,0.224,0.27057
215,215,1999,Saxony-Anhalt,"No, definitely not",0.78927,182,5185,0.73949,0.84754
216,216,1999,Saxony-Anhalt,"Yes, definitely",0.21073,90,5185,0.18382,0.2364
217,217,1999,Thuringa,"No, definitely not",0.74648,176,5185,0.69137,0.80081
218,218,1999,Thuringa,"Yes, definitely",0.25352,83,5185,0.2135,0.29293
219,219,2000,Schleswig-Holstein,"No, definitely not",0.83547,192,9738,0.77426,0.89431
220,220,2000,Schleswig-Holstein,"Yes, definitely",0.16453,47,9738,0.14276,0.18557
221,221,2000,Hamburg,"No, definitely not",1.0,85,9738,0.9083,1.08477
222,222,2000,Lower Saxony,"No, definitely not",0.77407,577,9738,0.74253,0.80784
223,223,2000,Lower Saxony,Probably,0.06651,64,9738,0.05683,0.07595
224,224,2000,Lower Saxony,"Yes, definitely",0.15942,159,9738,0.14627,0.17581
225,225,2000,Bremen,"No, definitely not",1.0,64,9738,0.89446,1.11591
226,226,2000,North Rhine-Westphalia,"No, definitely not",0.74623,1509,9738,0.72605,0.76614
227,227,2000,North Rhine-Westphalia,Probably not,0.03602,94,9738,0.03307,0.03974
228,228,2000,North Rhine-Westphalia,Probably,0.06761,171,9738,0.06252,0.07351
229,229,2000,North Rhine-Westphalia,"Yes, definitely",0.15014,403,9738,0.14308,0.15895
230,230,2000,Hesse,"No, definitely not",0.69347,435,9738,0.66392,0.72091
231,231,2000,Hesse,Probably not,0.05487,38,9738,0.04406,0.06541
232,232,2000,Hesse,Probably,0.0745,67,9738,0.06737,0.08138
233,233,2000,Hesse,"Yes, definitely",0.17716,151,9738,0.16003,0.19333
234,234,2000,"Rhineland-Palatinate, Saarland","No, definitely not",0.76927,462,9738,0.74448,0.80299
235,235,2000,"Rhineland-Palatinate, Saarland",Probably,0.08162,65,9738,0.07333,0.09111
236,236,2000,"Rhineland-Palatinate, Saarland","Yes, definitely",0.1491,112,9738,0.13724,0.15997
237,237,2000,Baden-Wuerttemberg,"No, definitely not",0.71717,770,9738,0.68826,0.7456
238,238,2000,Baden-Wuerttemberg,Probably not,0.03941,56,9738,0.03443,0.04497
239,239,2000,Baden-Wuerttemberg,Probably,0.06937,95,9738,0.06238,0.07815
240,240,2000,Baden-Wuerttemberg,"Yes, definitely",0.17405,259,9738,0.16289,0.19091
241,241,2000,Bavaria,"No, definitely not",0.74317,891,9738,0.72079,0.7659
242,242,2000,Bavaria,Probably not,0.0394,63,9738,0.03314,0.04645
243,243,2000,Bavaria,Probably,0.07066,117,9738,0.06396,0.07873
244,244,2000,Bavaria,"Yes, definitely",0.14678,218,9738,0.13653,0.15834
245,245,2000,Berlin,"No, definitely not",0.68584,201,9738,0.64482,0.72844
246,246,2000,Berlin,"Yes, definitely",0.31416,105,9738,0.2821,0.35417
247,247,2000,Brandenburg,"No, definitely not",0.75726,293,9738,0.72087,0.79566
248,248,2000,Brandenburg,"Yes, definitely",0.24274,122,9738,0.21998,0.26754
249,249,2000,Mecklenburg-Western Pomerania,"No, definitely not",0.75292,137,9738,0.70576,0.80615
250,250,2000,Mecklenburg-Western Pomerania,"Yes, definitely",0.24708,68,9738,0.21964,0.2788
251,251,2000,Saxony,"No, definitely not",0.66835,463,9738,0.64396,0.69782
252,252,2000,Saxony,Probably not,0.04083,34,9738,0.03466,0.04757
253,253,2000,Saxony,Probably,0.04781,45,9738,0.03816,0.06201
254,254,2000,Saxony,"Yes, definitely",0.243,243,9738,0.22974,0.25993
255,255,2000,Saxony-Anhalt,"No, definitely not",0.7813,316,9738,0.74744,0.81906
256,256,2000,Saxony-Anhalt,"Yes, definitely",0.2187,130,9738,0.19642,0.24048
257,257,2000,Thuringa,"No, definitely not",0.74885,289,9738,0.70578,0.79377
258,258,2000,Thuringa,"Yes, definitely",0.25115,128,9738,0.227,0.2746
259,259,2001,Schleswig-Holstein,"No, definitely not",0.79735,181,8796,0.74048,0.86112
260,260,2001,Schleswig-Holstein,"Yes, definitely",0.20265,53,8796,0.16893,0.24745
261,261,2001,Hamburg,"No, definitely not",1.0,82,8796,0.91378,1.11244
262,262,2001,Lower Saxony,"No, definitely not",0.77047,543,8796,0.73914,0.8078
263,263,2001,Lower Saxony,Probably,0.05591,61,8796,0.04834,0.06587
264,264,2001,Lower Saxony,"Yes, definitely",0.17362,161,8796,0.16097,0.19043
265,265,2001,Bremen,"No, definitely not",1.0,45,8796,0.88564,1.1196
266,266,2001,North Rhine-Westphalia,"No, definitely not",0.74391,1365,8796,0.72638,0.76489
267,267,2001,North Rhine-Westphalia,Probably not,0.03384,76,8796,0.02943,0.03855
268,268,2001,North Rhine-Westphalia,Probably,0.0604,134,8796,0.05356,0.06625
269,269,2001,North Rhine-Westphalia,"Yes, definitely",0.16185,379,8796,0.15208,0.17171
270,270,2001,Hesse,"No, definitely not",0.74279,400,8796,0.70489,0.78171
271,271,2001,Hesse,Probably,0.06109,48,8796,0.05243,0.06915
272,272,2001,Hesse,"Yes, definitely",0.19612,130,8796,0.17691,0.22048
273,273,2001,"Rhineland-Palatinate, Saarland","No, definitely not",0.74775,414,8796,0.71802,0.77967
274,274,2001,"Rhineland-Palatinate, Saarland",Probably,0.06108,43,8796,0.05109,0.07407
275,275,2001,"Rhineland-Palatinate, Saarland","Yes, definitely",0.19117,127,8796,0.1722,0.21353
276,276,2001,Baden-Wuerttemberg,"No, definitely not",0.73794,673,8796,0.701,0.78097
277,277,2001,Baden-Wuerttemberg,Probably not,0.03996,50,8796,0.03468,0.04631
278,278,2001,Baden-Wuerttemberg,Probably,0.07158,80,8796,0.06103,0.08417
279,279,2001,Baden-Wuerttemberg,"Yes, definitely",0.15052,191,8796,0.13424,0.16571
280,280,2001,Bavaria,"No, definitely not",0.73849,808,8796,0.7098,0.77134
281,281,2001,Bavaria,Probably not,0.04152,56,8796,0.03532,0.04922
282,282,2001,Bavaria,Probably,0.0487,70,8796,0.04143,0.05642
283,283,2001,Bavaria,"Yes, definitely",0.17129,222,8796,0.15845,0.18589
284,284,2001,Berlin,"No, definitely not",0.72733,190,8796,0.67515,0.78175
285,285,2001,Berlin,"Yes, definitely",0.27267,89,8796,0.23665,0.31435
286,286,2001,Brandenburg,"No, definitely not",0.76964,287,8796,0.73426,0.81173
287,287,2001,Brandenburg,"Yes, definitely",0.23036,107,8796,0.20374,0.25652
288,288,2001,Mecklenburg-Western Pomerania,"No, definitely not",0.77996,129,8796,0.72338,0.82749
289,289,2001,Mecklenburg-Western Pomerania,"Yes, definitely",0.22004,56,8796,0.18825,0.25325
290,290,2001,Saxony,"No, definitely not",0.71665,449,8796,0.68645,0.74607
291,291,2001,Saxony,Probably,0.053,44,8796,0.04391,0.0622
292,292,2001,Saxony,"Yes, definitely",0.23035,202,8796,0.21452,0.24803
293,293,2001,Saxony-Anhalt,"No, definitely not",0.74662,290,8796,0.7128,0.77911
294,294,2001,Saxony-Anhalt,"Yes, definitely",0.25338,140,8796,0.23226,0.27871
295,295,2001,Thuringa,"No, definitely not",0.68064,259,8796,0.64176,0.72176
296,296,2001,Thuringa,Probably,0.06333,33,8796,0.04976,0.08214
297,297,2001,Thuringa,"Yes, definitely",0.25603,129,8796,0.22619,0.28605
298,298,2002,Schleswig-Holstein,"No, definitely not",0.81152,190,8992,0.7453,0.87722
299,299,2002,Schleswig-Holstein,"Yes, definitely",0.18848,57,8992,0.15918,0.21841
300,300,2002,Hamburg,"No, definitely not",1.0,81,8992,0.88254,1.13595
301,301,2002,Lower Saxony,"No, definitely not",0.75943,575,8992,0.72153,0.79517
302,302,2002,Lower Saxony,Probably,0.04563,50,8992,0.03482,0.05837
303,303,2002,Lower Saxony,"Yes, definitely",0.19494,180,8992,0.17118,0.21198
304,304,2002,Bremen,"No, definitely not",1.0,45,8992,0.89489,1.09444
305,305,2002,North Rhine-Westphalia,"No, definitely not",0.7152,1355,8992,0.6882,0.73384
306,306,2002,North Rhine-Westphalia,Probably not,0.03546,80,8992,0.02996,0.04249
307,307,2002,North Rhine-Westphalia,Probably,0.06338,139,8992,0.05538,0.07071
308,308,2002,North Rhine-Westphalia,"Yes, definitely",0.18595,427,8992,0.17198,0.20219
309,309,2002,Hesse,"No, definitely not",0.74386,410,8992,0.70024,0.78979
310,310,2002,Hesse,Probably,0.06807,40,8992,0.05367,0.08507
311,311,2002,Hesse,"Yes, definitely",0.18807,137,8992,0.1653,0.21147
312,312,2002,"Rhineland-Palatinate, Saarland","No, definitely not",0.74356,411,8992,0.69967,0.78325
313,313,2002,"Rhineland-Palatinate, Saarland",Probably,0.07328,49,8992,0.05863,0.09199
314,314,2002,"Rhineland-Palatinate, Saarland","Yes, definitely",0.18315,113,8992,0.15857,0.20637
315,315,2002,Baden-Wuerttemberg,"No, definitely not",0.695,682,8992,0.66189,0.7284
316,316,2002,Baden-Wuerttemberg,Probably not,0.03515,39,8992,0.02566,0.04404
317,317,2002,Baden-Wuerttemberg,Probably,0.05949,84,8992,0.04912,0.07184
