,Unnamed: 0,year,sex,plb0417_v2,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
37,37,1998,female,Probably not,0.05633,235,5899,0.05084,0.06197
38,38,1998,female,Probably,0.07986,372,5899,0.0734,0.0866
39,39,1998,female,"Yes, definitely",0.16063,783,5899,0.1517,0.16841
40,40,1999,male,"No, definitely not",0.72424,1346,5493,0.70439,0.75368
41,41,1999,male,Probably not,0.02104,47,5493,0.01679,0.0265
42,42,1999,male,Probably,0.03085,76,5493,0.02672,0.036
43,43,1999,male,"Yes, definitely",0.22387,587,5493,0.21114,0.23866
44,44,1999,female,"No, definitely not",0.72026,2197,5493,0.704,0.73955
45,45,1999,female,Probably not,0.04686,182,5493,0.04218,0.05192
46,46,1999,female,Probably,0.07367,332,5493,0.06863,0.07906
47,47,1999,female,"Yes, definitely",0.1592,726,5493,0.15151,0.16925
48,48,2000,male,"No, definitely not",0.72608,2619,10080,0.71166,0.74032
49,49,2000,male,Probably not,0.02164,90,10080,0.01869,0.0244
50,50,2000,male,Probably,0.03527,152,10080,0.03253,0.03801
51,51,2000,male,"Yes, definitely",0.21701,972,10080,0.2088,0.22406
52,52,2000,female,"No, definitely not",0.72044,4065,10080,0.7073,0.73323
53,53,2000,female,Probably not,0.04672,344,10080,0.04403,0.04968
54,54,2000,female,Probably,0.08316,622,10080,0.07936,0.08685
55,55,2000,female,"Yes, definitely",0.14968,1216,10080,0.14474,0.15496
56,56,2001,male,"No, definitely not",0.72363,2447,9143,0.70617,0.74021
57,57,2001,male,Probably not,0.02591,95,9143,0.02262,0.02853
58,58,2001,male,Probably,0.03487,139,9143,0.03152,0.03867
59,59,2001,male,"Yes, definitely",0.2156,872,9143,0.20642,0.22567
60,60,2001,female,"No, definitely not",0.72332,3668,9143,0.71035,0.73698
61,61,2001,female,Probably not,0.0413,275,9143,0.03824,0.04444
62,62,2001,female,Probably,0.07504,495,9143,0.07105,0.07928
63,63,2001,female,"Yes, definitely",0.16034,1152,9143,0.15474,0.16738
64,64,2002,male,"No, definitely not",0.69754,2469,9352,0.6817,0.71769
65,65,2002,male,Probably not,0.02468,91,9352,0.02139,0.02855
66,66,2002,male,Probably,0.03695,148,9352,0.03258,0.04106
67,67,2002,male,"Yes, definitely",0.24084,1015,9352,0.23004,0.253
68,68,2002,female,"No, definitely not",0.70893,3654,9352,0.69333,0.72259
69,69,2002,female,Probably not,0.03967,265,9352,0.03637,0.04414
70,70,2002,female,Probably,0.07218,477,9352,0.06703,0.07739
71,71,2002,female,"Yes, definitely",0.17922,1233,9352,0.17238,0.18801
72,72,2003,male,"No, definitely not",0.68249,2426,9149,0.66925,0.69742
73,73,2003,male,Probably not,0.02347,88,9149,0.0202,0.02788
74,74,2003,male,Probably,0.03722,163,9149,0.03348,0.04145
75,75,2003,male,"Yes, definitely",0.25681,1044,9149,0.24665,0.26958
76,76,2003,female,"No, definitely not",0.71251,3574,9149,0.69743,0.72833
77,77,2003,female,Probably not,0.04105,262,9149,0.03654,0.04642
78,78,2003,female,Probably,0.07195,440,9149,0.06687,0.07712
79,79,2003,female,"Yes, definitely",0.17448,1152,9149,0.16706,0.18246
80,80,2004,male,"No, definitely not",0.65983,2380,9039,0.64275,0.67754
81,81,2004,male,Probably not,0.02878,92,9039,0.0239,0.0335
82,82,2004,male,Probably,0.04311,152,9039,0.03705,0.04816
83,83,2004,male,"Yes, definitely",0.26827,1068,9039,0.25487,0.28301
84,84,2004,female,"No, definitely not",0.70557,3443,9039,0.6892,0.72198
85,85,2004,female,Probably not,0.03836,227,9039,0.03349,0.04236
86,86,2004,female,Probably,0.07563,461,9039,0.07025,0.08193
87,87,2004,female,"Yes, definitely",0.18044,1216,9039,0.17283,0.18917
88,88,2005,male,"No, definitely not",0.65947,2351,8758,0.63873,0.67572
89,89,2005,male,Probably not,0.02451,93,8758,0.0206,0.02893
90,90,2005,male,Probably,0.04474,145,8758,0.03882,0.05033
91,91,2005,male,"Yes, definitely",0.27128,1018,8758,0.25647,0.28297
92,92,2005,female,"No, definitely not",0.68458,3300,8758,0.66711,0.69983
93,93,2005,female,Probably not,0.03916,226,8758,0.03545,0.04368
94,94,2005,female,Probably,0.07866,432,8758,0.07145,0.08613
95,95,2005,female,"Yes, definitely",0.1976,1193,8758,0.1886,0.20734
96,96,2006,male,"No, definitely not",0.6799,2685,9405,0.65882,0.69835
97,97,2006,male,Probably not,0.02477,100,9405,0.02085,0.02779
98,98,2006,male,Probably,0.04229,134,9405,0.03616,0.04913
99,99,2006,male,"Yes, definitely",0.25303,973,9405,0.24134,0.26546
100,100,2006,female,"No, definitely not",0.68668,3621,9405,0.66884,0.70463
101,101,2006,female,Probably not,0.03877,238,9405,0.03496,0.04388
102,102,2006,female,Probably,0.08032,448,9405,0.07517,0.08716
103,103,2006,female,"Yes, definitely",0.19423,1206,9405,0.18482,0.20362
104,104,2007,male,"No, definitely not",0.70871,2528,8507,0.69092,0.73233
105,105,2007,male,Probably not,0.02529,83,8507,0.02117,0.0301
106,106,2007,male,Probably,0.04582,134,8507,0.03997,0.05205
107,107,2007,male,"Yes, definitely",0.22019,760,8507,0.20905,0.23522
108,108,2007,female,"No, definitely not",0.69716,3377,8507,0.68111,0.71307
109,109,2007,female,Probably not,0.04045,208,8507,0.0373,0.04459
110,110,2007,female,Probably,0.07478,379,8507,0.06678,0.0817
111,111,2007,female,"Yes, definitely",0.18762,1038,8507,0.17683,0.19864
112,112,2008,male,"No, definitely not",0.71258,2425,7915,0.69303,0.73391
113,113,2008,male,Probably not,0.03238,92,7915,0.02788,0.03822
114,114,2008,male,Probably,0.04082,120,7915,0.03461,0.04767
115,115,2008,male,"Yes, definitely",0.21423,682,7915,0.19932,0.22966
116,116,2008,female,"No, definitely not",0.72588,3194,7915,0.70709,0.74497
117,117,2008,female,Probably not,0.03391,180,7915,0.03015,0.03849
118,118,2008,female,Probably,0.06366,300,7915,0.05774,0.06985
119,119,2008,female,"Yes, definitely",0.17655,922,7915,0.16647,0.18617
120,120,2009,male,"No, definitely not",0.69831,2281,7350,0.67716,0.71934
121,121,2009,male,Probably not,0.0215,83,7350,0.0177,0.0263
122,122,2009,male,Probably,0.04798,122,7350,0.04097,0.05758
123,123,2009,male,"Yes, definitely",0.23222,671,7350,0.21307,0.24995
124,124,2009,female,"No, definitely not",0.72806,2971,7350,0.70654,0.74947
125,125,2009,female,Probably not,0.02933,145,7350,0.02458,0.03383
126,126,2009,female,Probably,0.07374,291,7350,0.06627,0.08096
127,127,2009,female,"Yes, definitely",0.16887,786,7350,0.15842,0.17996
128,128,2010,male,"No, definitely not",0.68102,2189,9552,0.65136,0.70701
129,129,2010,male,Probably not,0.02598,93,9552,0.02083,0.03285
130,130,2010,male,Probably,0.04468,150,9552,0.03557,0.05211
131,131,2010,male,"Yes, definitely",0.24832,993,9552,0.22439,0.27029
132,132,2010,female,"No, definitely not",0.71035,2931,9552,0.68558,0.73024
133,133,2010,female,Probably not,0.03525,314,9552,0.03019,0.0407
134,134,2010,female,Probably,0.06687,793,9552,0.05874,0.0753
135,135,2010,female,"Yes, definitely",0.18753,2089,9552,0.17658,0.20116
136,136,2011,male,"No, definitely not",0.72003,2898,11049,0.70001,0.74248
137,137,2011,male,Probably not,0.0231,110,11049,0.0176,0.02766
138,138,2011,male,Probably,0.04368,181,11049,0.03678,0.05166
139,139,2011,male,"Yes, definitely",0.21319,1015,11049,0.19719,0.2249
140,140,2011,female,"No, definitely not",0.72227,3792,11049,0.70113,0.74184
141,141,2011,female,Probably not,0.03722,364,11049,0.03223,0.04288
142,142,2011,female,Probably,0.06139,742,11049,0.05503,0.06833
143,143,2011,female,"Yes, definitely",0.17912,1947,11049,0.17032,0.18819
144,144,2012,male,"No, definitely not",0.70719,2905,10639,0.6851,0.72979
145,145,2012,male,Probably not,0.03877,155,10639,0.0335,0.04666
146,146,2012,male,Probably,0.04328,170,10639,0.03539,0.05101
147,147,2012,male,"Yes, definitely",0.21075,950,10639,0.19722,0.22496
148,148,2012,female,"No, definitely not",0.71578,3704,10639,0.69655,0.73417
149,149,2012,female,Probably not,0.03389,325,10639,0.0296,0.03805
150,150,2012,female,Probably,0.06679,687,10639,0.06112,0.07236
151,151,2012,female,"Yes, definitely",0.18353,1743,10639,0.17327,0.19584
152,152,2013,male,"No, definitely not",0.70399,2856,11341,0.67968,0.7281
153,153,2013,male,Probably not,0.03752,153,11341,0.0308,0.04322
154,154,2013,male,Probably,0.03724,191,11341,0.03113,0.04489
155,155,2013,male,"Yes, definitely",0.22125,1285,11341,0.2075,0.2368
156,156,2013,female,"No, definitely not",0.71316,3653,11341,0.69425,0.72979
157,157,2013,female,Probably not,0.03688,362,11341,0.03189,0.04135
158,158,2013,female,Probably,0.06254,763,11341,0.05634,0.06857
159,159,2013,female,"Yes, definitely",0.18742,2078,11341,0.17772,0.19625
160,160,2014,male,"No, definitely not",0.70689,2709,10046,0.68272,0.72952
161,161,2014,male,Probably not,0.03451,141,10046,0.02869,0.04134
162,162,2014,male,Probably,0.04249,180,10046,0.03369,0.05027
163,163,2014,male,"Yes, definitely",0.21611,1041,10046,0.19988,0.23213
164,164,2014,female,"No, definitely not",0.70797,3369,10046,0.68657,0.72687
165,165,2014,female,Probably not,0.03961,308,10046,0.03429,0.045
166,166,2014,female,Probably,0.06276,619,10046,0.05707,0.06895
167,167,2014,female,"Yes, definitely",0.18965,1679,10046,0.17836,0.20169
168,168,2015,male,"No, definitely not",0.7058,2646,10031,0.67958,0.73332
169,169,2015,male,Probably not,0.03513,145,10031,0.02898,0.04331
170,170,2015,male,Probably,0.03693,180,10031,0.03002,0.04377
171,171,2015,male,"Yes, definitely",0.22214,1077,10031,0.20376,0.23962
172,172,2015,female,"No, definitely not",0.71981,3323,10031,0.69969,0.74609
173,173,2015,female,Probably not,0.03846,346,10031,0.03396,0.04267
174,174,2015,female,Probably,0.06133,600,10031,0.05486,0.06831
175,175,2015,female,"Yes, definitely",0.1804,1714,10031,0.17023,0.19282
176,176,2016,male,"No, definitely not",0.70019,2581,11605,0.67432,0.72761
177,177,2016,male,Probably not,0.03565,151,11605,0.02634,0.04446
178,178,2016,male,Probably,0.04777,347,11605,0.03926,0.06043
179,179,2016,male,"Yes, definitely",0.21639,2098,11605,0.19745,0.23852
180,180,2016,female,"No, definitely not",0.70767,3204,11605,0.68715,0.72946
181,181,2016,female,Probably not,0.03625,355,11605,0.03213,0.04176
182,182,2016,female,Probably,0.06336,873,11605,0.05643,0.07135
183,183,2016,female,"Yes, definitely",0.19272,1996,11605,0.17775,0.20958
184,184,2017,male,"No, definitely not",0.6898,2708,12678,0.66336,0.71831
185,185,2017,male,Probably not,0.03732,148,12678,0.02986,0.04527
186,186,2017,male,Probably,0.04492,335,12678,0.03551,0.0533
187,187,2017,male,"Yes, definitely",0.22796,2463,12678,0.20892,0.24663
188,188,2017,female,"No, definitely not",0.71137,3354,12678,0.68559,0.73591
189,189,2017,female,Probably not,0.04373,401,12678,0.03812,0.05057
190,190,2017,female,Probably,0.05663,934,12678,0.04947,0.06364
191,191,2017,female,"Yes, definitely",0.18828,2335,12678,0.17373,0.20006
192,192,2018,male,"No, definitely not",0.71516,2676,11792,0.68759,0.7408
193,193,2018,male,Probably not,0.03255,155,11792,0.02717,0.03834
194,194,2018,male,Probably,0.04537,340,11792,0.03619,0.05304
195,195,2018,male,"Yes, definitely",0.20692,1955,11792,0.19038,0.22594
196,196,2018,female,"No, definitely not",0.71727,3319,11792,0.69559,0.74289
197,197,2018,female,Probably not,0.03765,326,11792,0.03258,0.0432
198,198,2018,female,Probably,0.05297,810,11792,0.04696,0.06166
199,199,2018,female,"Yes, definitely",0.19211,2211,11792,0.17852,0.20316
200,200,2019,male,"No, definitely not",0.72786,2728,10802,0.70225,0.75551
201,201,2019,male,Probably not,0.03277,158,10802,0.02644,0.03914
202,202,2019,male,Probably,0.04432,272,10802,0.03672,0.0537
203,203,2019,male,"Yes, definitely",0.19506,1570,10802,0.17582,0.21726
204,204,2019,female,"No, definitely not",0.71992,3191,10802,0.69615,0.74716
205,205,2019,female,Probably not,0.04022,269,10802,0.03407,0.04855
206,206,2019,female,Probably,0.0596,707,10802,0.05191,0.06706
207,207,2019,female,"Yes, definitely",0.18027,1907,10802,0.16978,0.19657
208,208,2020,male,"No, definitely not",0.71853,2549,10773,0.68598,0.75023
209,209,2020,male,Probably not,0.03742,179,10773,0.02898,0.04637
210,210,2020,male,Probably,0.04589,266,10773,0.03832,0.05538
211,211,2020,male,"Yes, definitely",0.19816,1727,10773,0.17842,0.22199
212,212,2020,female,"No, definitely not",0.71926,3056,10773,0.69316,0.74548
213,213,2020,female,Probably not,0.04141,293,10773,0.03512,0.04983
214,214,2020,female,Probably,0.06417,761,10773,0.05507,0.07406
215,215,2020,female,"Yes, definitely",0.17516,1942,10773,0.16217,0.1872
216,216,2021,male,"No, definitely not",0.71277,1817,7150,0.67589,0.74972
217,217,2021,male,Probably not,0.03403,116,7150,0.02687,0.04043
218,218,2021,male,Probably,0.06429,245,7150,0.04556,0.07982
219,219,2021,male,"Yes, definitely",0.18891,877,7150,0.16127,0.21384
220,220,2021,female,"No, definitely not",0.6967,2099,7150,0.66627,0.72563
221,221,2021,female,Probably not,0.04875,195,7150,0.03991,0.05862
222,222,2021,female,Probably,0.07131,569,7150,0.05909,0.08122
223,223,2021,female,"Yes, definitely",0.18324,1232,7150,0.16559,0.20274
