,Unnamed: 0,year,migback,sampreg,pli0079,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
51,51,1998,Indirect migration background,West,At least once per month,0.29379,152,14098,0.25158,0.35797
52,52,1998,Indirect migration background,West,Seldom,0.25312,129,14098,0.21004,0.28885
53,53,2003,No migration background,West,Daily,0.017,235,22027,0.01528,0.01893
54,54,2003,No migration background,West,At least once per week,0.23905,3528,22027,0.23171,0.2452
55,55,2003,No migration background,West,At least once per month,0.31286,4509,22027,0.30534,0.32012
56,56,2003,No migration background,West,Seldom,0.34559,4366,22027,0.33847,0.35336
57,57,2003,No migration background,West,Never,0.0855,899,22027,0.08182,0.08825
58,58,2003,No migration background,East,Daily,0.00789,44,22027,0.00622,0.00929
59,59,2003,No migration background,East,At least once per week,0.13023,724,22027,0.12366,0.13889
60,60,2003,No migration background,East,At least once per month,0.23914,1311,22027,0.22937,0.24879
61,61,2003,No migration background,East,Seldom,0.46922,2475,22027,0.45577,0.48235
62,62,2003,No migration background,East,Never,0.15353,653,22027,0.14766,0.15946
63,63,2003,Direct migration background,West,Daily,0.01844,46,22027,0.01375,0.02362
64,64,2003,Direct migration background,West,At least once per week,0.1504,388,22027,0.13932,0.1622
65,65,2003,Direct migration background,West,At least once per month,0.22868,596,22027,0.21274,0.24595
66,66,2003,Direct migration background,West,Seldom,0.4045,983,22027,0.38749,0.42491
67,67,2003,Direct migration background,West,Never,0.19797,494,22027,0.18722,0.21076
68,68,2003,Direct migration background,East,Seldom,1.0,54,22027,0.89342,1.13412
69,69,2003,Indirect migration background,West,At least once per week,0.36504,276,22027,0.33458,0.4044
70,70,2003,Indirect migration background,West,At least once per month,0.29016,217,22027,0.25784,0.32627
71,71,2003,Indirect migration background,West,Seldom,0.2712,186,22027,0.23706,0.30117
72,72,2003,Indirect migration background,West,Never,0.0736,43,22027,0.05099,0.09658
73,73,2008,No migration background,West,Daily,0.01652,180,19183,0.01461,0.01853
74,74,2008,No migration background,West,At least once per week,0.23515,2956,19183,0.22745,0.24284
75,75,2008,No migration background,West,At least once per month,0.31361,3916,19183,0.30508,0.32287
76,76,2008,No migration background,West,Seldom,0.3533,4118,19183,0.34388,0.36005
77,77,2008,No migration background,West,Never,0.08143,800,19183,0.07732,0.08502
78,78,2008,No migration background,East,Daily,0.00858,32,19183,0.00621,0.01137
79,79,2008,No migration background,East,At least once per week,0.11582,533,19183,0.10496,0.12664
80,80,2008,No migration background,East,At least once per month,0.25636,1191,19183,0.24323,0.2715
81,81,2008,No migration background,East,Seldom,0.47229,2308,19183,0.4569,0.49146
82,82,2008,No migration background,East,Never,0.14696,581,19183,0.13826,0.1556
83,83,2008,Direct migration background,West,Daily,0.01876,32,19183,0.01457,0.02403
84,84,2008,Direct migration background,West,At least once per week,0.14023,265,19183,0.12711,0.15375
85,85,2008,Direct migration background,West,At least once per month,0.22565,414,19183,0.20439,0.24379
86,86,2008,Direct migration background,West,Seldom,0.43346,794,19183,0.40841,0.4605
87,87,2008,Direct migration background,West,Never,0.1819,315,19183,0.16816,0.19565
88,88,2008,Direct migration background,East,Seldom,1.0,43,19183,0.77844,1.20961
89,89,2008,Indirect migration background,West,At least once per week,0.34068,230,19183,0.29812,0.38016
90,90,2008,Indirect migration background,West,At least once per month,0.2983,229,19183,0.26235,0.34432
91,91,2008,Indirect migration background,West,Seldom,0.30248,206,19183,0.26793,0.34076
92,92,2008,Indirect migration background,West,Never,0.05855,40,19183,0.04386,0.07397
93,93,2013,No migration background,West,Daily,0.01727,246,25347,0.01517,0.0193
94,94,2013,No migration background,West,At least once per week,0.2622,3895,25347,0.25438,0.26932
95,95,2013,No migration background,West,At least once per month,0.33972,5706,25347,0.3307,0.34908
96,96,2013,No migration background,West,Seldom,0.31304,5268,25347,0.30343,0.3227
97,97,2013,No migration background,West,Never,0.06777,974,25347,0.06383,0.07144
98,98,2013,No migration background,East,Daily,0.00942,44,25347,0.00615,0.01332
99,99,2013,No migration background,East,At least once per week,0.11446,622,25347,0.10302,0.12534
100,100,2013,No migration background,East,At least once per month,0.28904,1577,25347,0.27343,0.30603
101,101,2013,No migration background,East,Seldom,0.45561,2577,25347,0.43481,0.47314
102,102,2013,No migration background,East,Never,0.13148,670,25347,0.12158,0.14047
103,103,2013,Direct migration background,West,Daily,0.02087,44,25347,0.01389,0.02789
104,104,2013,Direct migration background,West,At least once per week,0.18816,426,25347,0.16244,0.21543
105,105,2013,Direct migration background,West,At least once per month,0.28107,736,25347,0.25288,0.30747
106,106,2013,Direct migration background,West,Seldom,0.34993,1011,25347,0.32397,0.3758
107,107,2013,Direct migration background,West,Never,0.15996,392,25347,0.13779,0.18169
108,108,2013,Direct migration background,East,At least once per month,0.19859,34,25347,0.13124,0.28838
109,109,2013,Direct migration background,East,Seldom,0.49129,58,25347,0.34998,0.61666
110,110,2013,Direct migration background,East,Never,0.31011,35,25347,0.13555,0.5575
111,111,2013,Indirect migration background,West,At least once per week,0.31885,334,25347,0.26892,0.37829
112,112,2013,Indirect migration background,West,At least once per month,0.35341,351,25347,0.30348,0.4014
113,113,2013,Indirect migration background,West,Seldom,0.28604,310,25347,0.24672,0.33598
114,114,2013,Indirect migration background,West,Never,0.04169,37,25347,0.02625,0.05682
115,115,2017,Direct migration background,West,Daily,0.0318,106,3956,0.02555,0.03943
116,116,2017,Direct migration background,West,At least once per week,0.22201,644,3956,0.20429,0.23806
117,117,2017,Direct migration background,West,At least once per month,0.23745,764,3956,0.21631,0.25391
118,118,2017,Direct migration background,West,Seldom,0.20069,738,3956,0.18411,0.21587
119,119,2017,Direct migration background,West,Never,0.30805,1136,3956,0.28836,0.32572
120,120,2017,Direct migration background,East,At least once per week,0.23508,114,3956,0.18889,0.27594
121,121,2017,Direct migration background,East,At least once per month,0.24104,135,3956,0.197,0.28334
122,122,2017,Direct migration background,East,Seldom,0.14321,98,3956,0.11188,0.17047
123,123,2017,Direct migration background,East,Never,0.38067,221,3956,0.32814,0.4382
124,124,2018,Direct migration background,West,Daily,0.02458,55,3163,0.01566,0.03389
125,125,2018,Direct migration background,West,At least once per week,0.31043,690,3163,0.28276,0.33362
126,126,2018,Direct migration background,West,At least once per month,0.30845,887,3163,0.28086,0.33317
127,127,2018,Direct migration background,West,Seldom,0.19027,560,3163,0.16963,0.21012
128,128,2018,Direct migration background,West,Never,0.16626,502,3163,0.14895,0.18726
129,129,2018,Direct migration background,East,At least once per week,0.25644,95,3163,0.20608,0.32491
130,130,2018,Direct migration background,East,At least once per month,0.21718,113,3163,0.17533,0.27252
131,131,2018,Direct migration background,East,Seldom,0.22753,101,3163,0.188,0.27577
132,132,2018,Direct migration background,East,Never,0.29884,160,3163,0.2526,0.3525
133,133,2019,No migration background,West,Daily,0.01625,273,28696,0.01398,0.01884
134,134,2019,No migration background,West,At least once per week,0.28361,4454,28696,0.27407,0.29351
135,135,2019,No migration background,West,At least once per month,0.38499,5733,28696,0.37245,0.39581
136,136,2019,No migration background,West,Seldom,0.26025,3825,28696,0.25171,0.26923
137,137,2019,No migration background,West,Never,0.0549,680,28696,0.05058,0.05955
138,138,2019,No migration background,East,Daily,0.00718,45,28696,0.0048,0.00979
139,139,2019,No migration background,East,At least once per week,0.15296,818,28696,0.13678,0.16893
140,140,2019,No migration background,East,At least once per month,0.33956,1842,28696,0.32002,0.36268
141,141,2019,No migration background,East,Seldom,0.3937,1957,28696,0.37468,0.41183
142,142,2019,No migration background,East,Never,0.1066,462,28696,0.09675,0.11751
143,143,2019,Direct migration background,West,Daily,0.01748,131,28696,0.01351,0.02146
144,144,2019,Direct migration background,West,At least once per week,0.24506,1548,28696,0.22198,0.26751
145,145,2019,Direct migration background,West,At least once per month,0.3354,2152,28696,0.30939,0.36363
146,146,2019,Direct migration background,West,Seldom,0.31514,1674,28696,0.28506,0.33933
147,147,2019,Direct migration background,West,Never,0.08693,817,28696,0.07603,0.10223
148,148,2019,Direct migration background,East,At least once per week,0.23333,150,28696,0.16624,0.31704
149,149,2019,Direct migration background,East,At least once per month,0.3618,195,28696,0.25737,0.46322
150,150,2019,Direct migration background,East,Seldom,0.29221,229,28696,0.21261,0.37644
151,151,2019,Direct migration background,East,Never,0.11267,149,28696,0.08295,0.14472
152,152,2019,Indirect migration background,West,Daily,0.02622,49,28696,0.01838,0.03448
153,153,2019,Indirect migration background,West,At least once per week,0.40044,541,28696,0.35852,0.45884
154,154,2019,Indirect migration background,West,At least once per month,0.36051,516,28696,0.32114,0.40364
155,155,2019,Indirect migration background,West,Seldom,0.18819,303,28696,0.16479,0.21401
156,156,2019,Indirect migration background,West,Never,0.02464,47,28696,0.01592,0.03359
157,157,2019,Indirect migration background,East,At least once per week,0.30443,32,28696,0.18502,0.44953
158,158,2019,Indirect migration background,East,At least once per month,0.37032,43,28696,0.21518,0.59709
159,159,2019,Indirect migration background,East,Seldom,0.32525,31,28696,0.22013,0.41756
