,Unnamed: 0,year,migback,regtyp,pli0079,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
31,31,1995,Direct migration background,Urban regions,Daily,0.01755,47,13100,0.01326,0.02251
32,32,1995,Direct migration background,Urban regions,At least once per week,0.18798,378,13100,0.16867,0.20965
33,33,1995,Direct migration background,Urban regions,At least once per month,0.22271,521,13100,0.20265,0.24489
34,34,1995,Direct migration background,Urban regions,Seldom,0.33935,807,13100,0.31465,0.36334
35,35,1995,Direct migration background,Urban regions,Never,0.23242,549,13100,0.21121,0.24912
36,36,1995,Direct migration background,Rural regions,At least once per week,0.137,67,13100,0.09708,0.18564
37,37,1995,Direct migration background,Rural regions,At least once per month,0.19601,89,13100,0.16398,0.2459
38,38,1995,Direct migration background,Rural regions,Seldom,0.37458,174,13100,0.33302,0.42521
39,39,1995,Direct migration background,Rural regions,Never,0.2924,127,13100,0.2508,0.34073
40,40,1995,Indirect migration background,Urban regions,At least once per week,0.41188,168,13100,0.34856,0.47206
41,41,1995,Indirect migration background,Urban regions,At least once per month,0.34441,117,13100,0.28803,0.42188
42,42,1995,Indirect migration background,Urban regions,Seldom,0.2437,94,13100,0.20108,0.29068
43,43,1998,No migration background,Urban regions,Daily,0.01601,106,14088,0.0141,0.01789
44,44,1998,No migration background,Urban regions,At least once per week,0.24898,1614,14088,0.24172,0.25629
45,45,1998,No migration background,Urban regions,At least once per month,0.31444,2178,14088,0.30568,0.32332
46,46,1998,No migration background,Urban regions,Seldom,0.32676,2305,14088,0.31845,0.33494
47,47,1998,No migration background,Urban regions,Never,0.09381,555,14088,0.08897,0.09876
48,48,1998,No migration background,Rural regions,Daily,0.01257,51,14088,0.01081,0.01406
49,49,1998,No migration background,Rural regions,At least once per week,0.1724,737,14088,0.16502,0.18103
50,50,1998,No migration background,Rural regions,At least once per month,0.26148,1191,14088,0.25228,0.27113
51,51,1998,No migration background,Rural regions,Seldom,0.43273,2001,14088,0.41913,0.44598
52,52,1998,No migration background,Rural regions,Never,0.12083,472,14088,0.11467,0.12744
53,53,1998,Direct migration background,Urban regions,Daily,0.02724,46,14088,0.02094,0.03536
54,54,1998,Direct migration background,Urban regions,At least once per week,0.17452,337,14088,0.15732,0.19483
55,55,1998,Direct migration background,Urban regions,At least once per month,0.25291,472,14088,0.23507,0.27501
56,56,1998,Direct migration background,Urban regions,Seldom,0.37185,749,14088,0.35057,0.39539
57,57,1998,Direct migration background,Urban regions,Never,0.17348,374,14088,0.15903,0.1883
58,58,1998,Direct migration background,Rural regions,At least once per week,0.10589,51,14088,0.08621,0.12602
59,59,1998,Direct migration background,Rural regions,At least once per month,0.23699,80,14088,0.194,0.28309
60,60,1998,Direct migration background,Rural regions,Seldom,0.37558,168,14088,0.33072,0.43047
61,61,1998,Direct migration background,Rural regions,Never,0.28154,108,14088,0.23685,0.32234
62,62,1998,Indirect migration background,Urban regions,At least once per week,0.45614,215,14088,0.39192,0.52735
63,63,1998,Indirect migration background,Urban regions,At least once per month,0.28113,128,14088,0.23544,0.33209
64,64,1998,Indirect migration background,Urban regions,Seldom,0.26274,116,14088,0.22642,0.30475
65,65,1998,Indirect migration background,Rural regions,At least once per week,1.0,34,14088,0.74647,1.36505
66,66,2003,No migration background,Urban regions,Daily,0.01619,191,22067,0.01435,0.0183
67,67,2003,No migration background,Urban regions,At least once per week,0.2455,3092,22067,0.23802,0.25251
68,68,2003,No migration background,Urban regions,At least once per month,0.31399,3937,22067,0.3068,0.32231
69,69,2003,No migration background,Urban regions,Seldom,0.33778,3855,22067,0.33031,0.34569
70,70,2003,No migration background,Urban regions,Never,0.08654,817,22067,0.08269,0.09124
71,71,2003,No migration background,Rural regions,Daily,0.01278,88,22067,0.01069,0.01464
72,72,2003,No migration background,Rural regions,At least once per week,0.15795,1160,22067,0.14953,0.16501
73,73,2003,No migration background,Rural regions,At least once per month,0.26409,1883,22067,0.25465,0.27284
74,74,2003,No migration background,Rural regions,Seldom,0.43866,2986,22067,0.42797,0.44831
75,75,2003,No migration background,Rural regions,Never,0.12653,735,22067,0.12139,0.13206
76,76,2003,Direct migration background,Urban regions,Daily,0.0172,39,22067,0.01286,0.02189
77,77,2003,Direct migration background,Urban regions,At least once per week,0.15757,338,22067,0.14507,0.17041
78,78,2003,Direct migration background,Urban regions,At least once per month,0.23307,521,22067,0.21604,0.25351
79,79,2003,Direct migration background,Urban regions,Seldom,0.3918,829,22067,0.37332,0.41329
80,80,2003,Direct migration background,Urban regions,Never,0.20036,418,22067,0.18748,0.21444
81,81,2003,Direct migration background,Rural regions,At least once per week,0.10813,58,22067,0.08719,0.13232
82,82,2003,Direct migration background,Rural regions,At least once per month,0.19551,87,22067,0.16116,0.23126
83,83,2003,Direct migration background,Rural regions,Seldom,0.48601,208,22067,0.43725,0.52661
84,84,2003,Direct migration background,Rural regions,Never,0.21035,106,22067,0.17958,0.23724
85,85,2003,Indirect migration background,Urban regions,At least once per week,0.35563,247,22067,0.31392,0.38906
86,86,2003,Indirect migration background,Urban regions,At least once per month,0.30341,198,22067,0.26786,0.34507
87,87,2003,Indirect migration background,Urban regions,Seldom,0.26682,166,22067,0.23553,0.30952
88,88,2003,Indirect migration background,Urban regions,Never,0.07413,40,22067,0.05163,0.10016
89,89,2003,Indirect migration background,Rural regions,At least once per week,0.53558,35,22067,0.42278,0.68915
90,90,2003,Indirect migration background,Rural regions,Seldom,0.46442,33,22067,0.36164,0.60587
91,91,2008,No migration background,Urban regions,Daily,0.01507,131,19195,0.01324,0.01716
92,92,2008,No migration background,Urban regions,At least once per week,0.23933,2558,19195,0.23178,0.24871
93,93,2008,No migration background,Urban regions,At least once per month,0.3132,3402,19195,0.30419,0.32293
94,94,2008,No migration background,Urban regions,Seldom,0.35074,3636,19195,0.3413,0.35843
95,95,2008,No migration background,Urban regions,Never,0.08166,711,19195,0.07703,0.08654
96,96,2008,No migration background,Rural regions,Daily,0.01425,81,19195,0.01177,0.01651
97,97,2008,No migration background,Rural regions,At least once per week,0.15256,931,19195,0.14212,0.1609
98,98,2008,No migration background,Rural regions,At least once per month,0.27848,1705,19195,0.26816,0.29023
99,99,2008,No migration background,Rural regions,Seldom,0.43265,2790,19195,0.41834,0.44696
100,100,2008,No migration background,Rural regions,Never,0.12206,670,19195,0.11439,0.12849
101,101,2008,Direct migration background,Urban regions,At least once per week,0.14281,229,19195,0.12661,0.15814
102,102,2008,Direct migration background,Urban regions,At least once per month,0.23855,361,19195,0.21502,0.25731
103,103,2008,Direct migration background,Urban regions,Seldom,0.43771,666,19195,0.41434,0.46781
104,104,2008,Direct migration background,Urban regions,Never,0.18092,263,19195,0.16657,0.19654
105,105,2008,Direct migration background,Rural regions,At least once per week,0.13111,43,19195,0.09861,0.17006
106,106,2008,Direct migration background,Rural regions,At least once per month,0.18411,64,19195,0.14843,0.22567
107,107,2008,Direct migration background,Rural regions,Seldom,0.4721,171,19195,0.4211,0.53289
108,108,2008,Direct migration background,Rural regions,Never,0.21269,69,19195,0.18444,0.23852
109,109,2008,Indirect migration background,Urban regions,At least once per week,0.36552,217,19195,0.32251,0.41532
110,110,2008,Indirect migration background,Urban regions,At least once per month,0.30746,208,19195,0.25863,0.34721
111,111,2008,Indirect migration background,Urban regions,Seldom,0.26999,175,19195,0.23259,0.3114
112,112,2008,Indirect migration background,Urban regions,Never,0.05702,36,19195,0.04237,0.07914
113,113,2008,Indirect migration background,Rural regions,At least once per month,0.36208,33,19195,0.26206,0.48659
114,114,2008,Indirect migration background,Rural regions,Seldom,0.63792,45,19195,0.47693,0.81744
115,115,2013,No migration background,Urban regions,Daily,0.01756,196,25375,0.01523,0.02029
116,116,2013,No migration background,Urban regions,At least once per week,0.25823,3148,25375,0.25018,0.26671
117,117,2013,No migration background,Urban regions,At least once per month,0.34211,4650,25375,0.33116,0.35298
118,118,2013,No migration background,Urban regions,Seldom,0.31349,4341,25375,0.30235,0.3223
119,119,2013,No migration background,Urban regions,Never,0.06861,840,25375,0.0647,0.07269
120,120,2013,No migration background,Rural regions,Daily,0.01209,94,25375,0.01008,0.0145
121,121,2013,No migration background,Rural regions,At least once per week,0.18146,1369,25375,0.1728,0.1918
122,122,2013,No migration background,Rural regions,At least once per month,0.30528,2633,25375,0.29272,0.31697
123,123,2013,No migration background,Rural regions,Seldom,0.39702,3504,25375,0.38327,0.41194
124,124,2013,No migration background,Rural regions,Never,0.10415,804,25375,0.09672,0.11141
125,125,2013,Direct migration background,Urban regions,Daily,0.02288,36,25375,0.01436,0.03196
126,126,2013,Direct migration background,Urban regions,At least once per week,0.19691,363,25375,0.17124,0.2265
127,127,2013,Direct migration background,Urban regions,At least once per month,0.2818,580,25375,0.24642,0.3169
128,128,2013,Direct migration background,Urban regions,Seldom,0.3503,805,25375,0.31312,0.37461
129,129,2013,Direct migration background,Urban regions,Never,0.14811,286,25375,0.12636,0.17385
130,130,2013,Direct migration background,Rural regions,At least once per week,0.14109,80,25375,0.09931,0.19143
131,131,2013,Direct migration background,Rural regions,At least once per month,0.26479,190,25375,0.21197,0.31517
132,132,2013,Direct migration background,Rural regions,Seldom,0.36949,264,25375,0.30321,0.42743
133,133,2013,Direct migration background,Rural regions,Never,0.22463,141,25375,0.17037,0.29288
134,134,2013,Indirect migration background,Urban regions,At least once per week,0.34799,303,25375,0.30579,0.40483
135,135,2013,Indirect migration background,Urban regions,At least once per month,0.36227,294,25375,0.31157,0.41556
136,136,2013,Indirect migration background,Urban regions,Seldom,0.28974,260,25375,0.24568,0.34573
137,137,2013,Indirect migration background,Rural regions,At least once per week,0.32152,48,25375,0.20106,0.47085
138,138,2013,Indirect migration background,Rural regions,At least once per month,0.35791,75,25375,0.27089,0.45824
139,139,2013,Indirect migration background,Rural regions,Seldom,0.32057,71,25375,0.23842,0.40666
140,140,2017,Direct migration background,Urban regions,Daily,0.03207,91,3941,0.02576,0.03947
141,141,2017,Direct migration background,Urban regions,At least once per week,0.24004,558,3941,0.21777,0.2625
142,142,2017,Direct migration background,Urban regions,At least once per month,0.25582,660,3941,0.23326,0.27891
143,143,2017,Direct migration background,Urban regions,Seldom,0.18239,575,3941,0.16691,0.19966
144,144,2017,Direct migration background,Urban regions,Never,0.28969,870,3941,0.26923,0.31276
145,145,2017,Direct migration background,Rural regions,At least once per week,0.19029,200,3941,0.1602,0.22112
146,146,2017,Direct migration background,Rural regions,At least once per month,0.20002,239,3941,0.17328,0.23218
147,147,2017,Direct migration background,Rural regions,Seldom,0.21498,261,3941,0.18621,0.24827
148,148,2017,Direct migration background,Rural regions,Never,0.39471,487,3941,0.35539,0.42917
149,149,2018,Direct migration background,Urban regions,Daily,0.02283,46,3154,0.01502,0.03407
150,150,2018,Direct migration background,Urban regions,At least once per week,0.30002,587,3154,0.27168,0.33083
151,151,2018,Direct migration background,Urban regions,At least once per month,0.31013,768,3154,0.28695,0.3344
152,152,2018,Direct migration background,Urban regions,Seldom,0.20051,488,3154,0.17727,0.2237
153,153,2018,Direct migration background,Urban regions,Never,0.16652,426,3154,0.15026,0.18477
154,154,2018,Direct migration background,Rural regions,At least once per week,0.31089,198,3154,0.25913,0.36233
155,155,2018,Direct migration background,Rural regions,At least once per month,0.25433,232,3154,0.21566,0.29941
156,156,2018,Direct migration background,Rural regions,Seldom,0.18788,173,3154,0.15551,0.22696
157,157,2018,Direct migration background,Rural regions,Never,0.2469,236,3154,0.21111,0.28444
158,158,2019,No migration background,Urban regions,Daily,0.01587,229,28192,0.01353,0.01864
159,159,2019,No migration background,Urban regions,At least once per week,0.28421,3623,28192,0.27241,0.29691
160,160,2019,No migration background,Urban regions,At least once per month,0.38624,4584,28192,0.37212,0.39829
161,161,2019,No migration background,Urban regions,Seldom,0.25537,3135,28192,0.24592,0.26525
162,162,2019,No migration background,Urban regions,Never,0.05831,607,28192,0.05298,0.06439
163,163,2019,No migration background,Rural regions,Daily,0.01124,78,28192,0.00843,0.01492
164,164,2019,No migration background,Rural regions,At least once per week,0.20016,1483,28192,0.18899,0.21287
165,165,2019,No migration background,Rural regions,At least once per month,0.3586,2860,28192,0.34231,0.37539
166,166,2019,No migration background,Rural regions,Seldom,0.35017,2551,28192,0.33199,0.36527
167,167,2019,No migration background,Rural regions,Never,0.07984,521,28192,0.07269,0.08737
168,168,2019,Direct migration background,Urban regions,Daily,0.01961,111,28192,0.01511,0.02539
169,169,2019,Direct migration background,Urban regions,At least once per week,0.25143,1346,28192,0.22237,0.27805
170,170,2019,Direct migration background,Urban regions,At least once per month,0.34066,1734,28192,0.31358,0.37496
171,171,2019,Direct migration background,Urban regions,Seldom,0.30202,1347,28192,0.2691,0.33546
172,172,2019,Direct migration background,Urban regions,Never,0.08628,644,28192,0.07509,0.09924
173,173,2019,Direct migration background,Rural regions,At least once per week,0.21239,339,28192,0.16868,0.26971
174,174,2019,Direct migration background,Rural regions,At least once per month,0.31904,604,28192,0.26588,0.3788
175,175,2019,Direct migration background,Rural regions,Seldom,0.36921,551,28192,0.30913,0.45199
176,176,2019,Direct migration background,Rural regions,Never,0.09936,322,28192,0.08099,0.11876
177,177,2019,Indirect migration background,Urban regions,Daily,0.02717,46,28192,0.02054,0.03688
178,178,2019,Indirect migration background,Urban regions,At least once per week,0.40534,475,28192,0.35299,0.45575
179,179,2019,Indirect migration background,Urban regions,At least once per month,0.35743,428,28192,0.3078,0.40083
180,180,2019,Indirect migration background,Urban regions,Seldom,0.18528,260,28192,0.16071,0.21022
181,181,2019,Indirect migration background,Urban regions,Never,0.02478,41,28192,0.01671,0.03445
182,182,2019,Indirect migration background,Rural regions,At least once per week,0.35673,85,28192,0.27405,0.46833
183,183,2019,Indirect migration background,Rural regions,At least once per month,0.38809,119,28192,0.3211,0.48563
184,184,2019,Indirect migration background,Rural regions,Seldom,0.25518,69,28192,0.18987,0.33382
