year,migback,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2005,kein Migrationshintergrund,weiblich,5.192268565456711,5.176534121335061,5.208003009578361,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,8921.0
2005,direkter Migrationshintergrund,maennlich,5.381239639841159,5.338449462492226,5.424029817190092,4.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,1094.0
2005,direkter Migrationshintergrund,weiblich,5.365961143990163,5.323004602162857,5.408917685817469,4.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,1222.0
2005,indirekter Migrationshintergrund,maennlich,5.466160597657309,5.3964595136768745,5.535861681637743,4.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,363.0
2005,indirekter Migrationshintergrund,weiblich,5.296948773318819,5.225758785003012,5.3681387616346266,4.0,5.210122361062439,6.142366845068765,1.0,7.0,6.0,6.0,7.0,391.0
2006,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2006,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2006,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2006,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2006,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2006,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2007,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2007,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2007,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2007,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2007,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2007,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2008,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2008,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2008,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2008,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2008,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2008,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2009,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2009,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2009,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2009,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2009,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2009,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2010,kein Migrationshintergrund,maennlich,5.215580990499207,5.198962947804296,5.232199033194118,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,6920.0
2010,kein Migrationshintergrund,weiblich,5.121156390271845,5.104259010365519,5.138053770178171,4.0,5.0,6.0,1.0,7.0,5.0,5.0,5.0,7522.0
2010,direkter Migrationshintergrund,maennlich,5.370306454777105,5.314255460811446,5.426357448742764,4.0,6.0,7.0,1.0,7.0,6.0,6.0,6.0249999999999995,656.0
2010,direkter Migrationshintergrund,weiblich,5.330605996516061,5.277939737233561,5.383272255798561,4.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,795.0
2010,indirekter Migrationshintergrund,maennlich,5.565630311508749,5.496627698641707,5.634632924375791,5.0,6.0,7.0,2.0,7.0,6.0,6.0,7.0,310.0
2010,indirekter Migrationshintergrund,weiblich,5.356518573812956,5.280173410572819,5.432863737053093,4.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,341.0
2011,kein Migrationshintergrund,-3,,,,,,,,,,,,
2011,kein Migrationshintergrund,-1,,,,,,,,,,,,
2011,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2011,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2011,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2011,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2011,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2011,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2012,kein Migrationshintergrund,-3,,,,,,,,,,,,
2012,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2012,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2012,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2012,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2012,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2012,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2013,kein Migrationshintergrund,-3,,,,,,,,,,,,
2013,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2013,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2013,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2013,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2013,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2013,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2014,kein Migrationshintergrund,-3,,,,,,,,,,,,
2014,kein Migrationshintergrund,-1,,,,,,,,,,,,
2014,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2014,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2014,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2014,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2014,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2014,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2015,kein Migrationshintergrund,-3,,,,,,,,,,,,
2015,kein Migrationshintergrund,-1,,,,,,,,,,,,
2015,kein Migrationshintergrund,maennlich,5.309160859544795,5.29483943417914,5.323482284910449,5.0,6.0,6.0,3.5,7.0,6.0,6.0,7.0,8783.0
2015,kein Migrationshintergrund,weiblich,5.194540030403903,5.180257921973228,5.208822138834579,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,10286.0
2015,direkter Migrationshintergrund,maennlich,5.487153322145231,5.4588410344134335,5.515465609877028,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,2662.0
2015,direkter Migrationshintergrund,weiblich,5.457841316785054,5.43111099584148,5.484571637728629,4.0,6.0,7.0,1.0,7.0,6.0,6.0,6.0,3145.0
2015,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
2015,indirekter Migrationshintergrund,maennlich,5.464251918412152,5.41235531597063,5.516148520853673,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,740.0
2015,indirekter Migrationshintergrund,weiblich,5.2736154788894485,5.224380028272876,5.322850929506021,4.0,6.0,7.0,1.0,7.0,6.0,6.0,7.0,872.0
2016,kein Migrationshintergrund,-3,,,,,,,,,,,,
2016,kein Migrationshintergrund,-1,,,,,,,,,,,,
2016,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2016,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2016,direkter Migrationshintergrund,-1,,,,,,,,,,,,
2016,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2016,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2016,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
2016,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2016,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2017,kein Migrationshintergrund,-3,,,,,,,,,,,,
2017,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2017,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2017,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2017,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2017,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
2017,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2017,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2018,kein Migrationshintergrund,-3,,,,,,,,,,,,
2018,kein Migrationshintergrund,-1,,,,,,,,,,,,
2018,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2018,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2018,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2018,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2018,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
2018,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2018,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2019,kein Migrationshintergrund,-3,,,,,,,,,,,,
2019,kein Migrationshintergrund,-1,,,,,,,,,,,,
2019,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2019,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2019,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2019,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2019,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
2019,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2019,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
2020,kein Migrationshintergrund,-3,,,,,,,,,,,,
2020,kein Migrationshintergrund,-1,,,,,,,,,,,,
2020,kein Migrationshintergrund,maennlich,5.426521446774038,5.413101768964825,5.439941124583251,5.0,6.0,6.0,3.5,7.0,6.0,6.0,6.0,8777.0
2020,kein Migrationshintergrund,weiblich,5.233157790951798,5.218923073689418,5.247392508214177,4.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,9713.0
2020,direkter Migrationshintergrund,-1,,,,,,,,,,,,
2020,direkter Migrationshintergrund,maennlich,5.715529487903815,5.697934045068053,5.733124930739577,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,5015.0
2020,direkter Migrationshintergrund,weiblich,5.626230342640353,5.605511609024071,5.646949076256635,5.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,4177.0
2020,indirekter Migrationshintergrund,-1,,,,,,,,,,,,
2020,indirekter Migrationshintergrund,maennlich,5.545510776612772,5.502498345442161,5.588523207783382,5.0,6.0,7.0,2.0,7.0,6.0,6.0,7.0,724.0
2020,indirekter Migrationshintergrund,weiblich,5.350318883550779,5.300071989736202,5.4005657773653555,5.0,6.0,7.0,2.0,7.0,6.0,6.0,7.0,808.0
2021,kein Migrationshintergrund,-3,,,,,,,,,,,,
2021,kein Migrationshintergrund,-1,,,,,,,,,,,,
2021,kein Migrationshintergrund,maennlich,,,,,,,,,,,,
2021,kein Migrationshintergrund,weiblich,,,,,,,,,,,,
2021,direkter Migrationshintergrund,maennlich,,,,,,,,,,,,
2021,direkter Migrationshintergrund,weiblich,,,,,,,,,,,,
2021,indirekter Migrationshintergrund,maennlich,,,,,,,,,,,,
2021,indirekter Migrationshintergrund,weiblich,,,,,,,,,,,,
