"year","sampreg","sex","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2014","Westdeutschland","maennlich","","","","","","","","","","","","","",""
"2014","Westdeutschland","weiblich","","","","","","","","","","","","","",""
"2015","Ostdeutschland","maennlich","5.26","5.5","2461","3","4","6","7","7","5.2","5.32","1","7","5","6"
"2015","Ostdeutschland","weiblich","5.21","5.5","2923","3","4","6","7","7","5.16","5.26","1","7","5","6"
"2015","Westdeutschland","maennlich","5.36","5.5","9724","4","5","6","7","7","5.33","5.39","1","7","6","6"
"2015","Westdeutschland","weiblich","5.25","5.5","11383","3","4","6","7","7","5.22","5.28","1","7","5","6"
"2016","Ostdeutschland","maennlich","6.6","6.5","280","6","6","7","7","7","6.5","6.7","1","7","7","7"
"2016","Ostdeutschland","weiblich","5.98","6.5","189","2","6","7","7","7","5.81","6.15","1","7","7","7"
"2016","Westdeutschland","maennlich","5.96","6.5","1450","4","5","7","7","7","5.9","6.02","1","7","7","7"
"2016","Westdeutschland","weiblich","5.53","5.5","1037","3","4","7","7","7","5.46","5.6","1","7","7","7"
"2017","Ostdeutschland","maennlich","6.51","6.5","96","5","7","7","7","7","6.29","6.73","1","7","7","7"
"2017","Ostdeutschland","weiblich","6.48","6.5","106","5","7","7","7","7","6.23","6.73","1","7","7","7"
"2017","Westdeutschland","maennlich","6.37","6.5","862","5","6","7","7","7","6.29","6.45","1","7","7","7"
"2017","Westdeutschland","weiblich","6.36","6.5","757","5","6","7","7","7","6.28","6.44","1","7","7","7"
"2018","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2018","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2018","Westdeutschland","maennlich","6.25","6.5","157","4","6","7","7","7","6.06","6.44","1","7","7","7"
"2018","Westdeutschland","weiblich","6.47","6.5","172","5","7","7","7","7","6.26","6.68","1","7","7","7"
"2019","Ostdeutschland","maennlich","","","","","","","","","","","","","",""
"2019","Ostdeutschland","weiblich","","","","","","","","","","","","","",""
"2019","Westdeutschland","maennlich","6.31","6.5","114","4","6","7","7","7","6.08","6.54","1","7","7","7"
"2019","Westdeutschland","weiblich","6.03","6.5","121","4","5","7","7","7","5.78","6.28","2","7","6","7"
"2020","Ostdeutschland","maennlich","5.42","5.5","2841","4","5","7","7","7","5.37","5.47","1","7","6","6"
"2020","Ostdeutschland","weiblich","5.28","5.5","2981","3","4","6","7","7","5.23","5.33","1","7","6","6"
"2020","Westdeutschland","maennlich","5.49","5.5","11726","4","5","6","7","7","5.47","5.51","1","7","6","6"
"2020","Westdeutschland","weiblich","5.3","5.5","11778","3","4","6","7","7","5.27","5.33","1","7","6","6"
